sequence,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBCiBllBe?sBznBXrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFUhBFiB6qBz?nBXnB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBllBcrBm?nBXsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBGiBllBy?sBXrBzrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFGdB/mBanB0?lBznBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBFhB6qBc?rBmnBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFzcBqiB/mB0?lB2sBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBXiBllBz?nBmrBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFFiBxlBznB0?lBOsBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFThBZnBfoB0?lBGnBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFTdBllBmnBx?rBqrB0qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFSiBllB3mBz?nBmmBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeG9IvhFZnBllBcrBz?nB6qB/rB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFOnBllBcrBz?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeT8IvhFOiBfoBxlBU?rBFsB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je0BJvhFfoBllBxrB6?qBOsBTrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFllBcrBmnBT?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhFXiBllBznB0?mB2wB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFfoBllBUnBT?rBOsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhF1lB0hBznBX?nB6qB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBOnBllBz?nBXrBqrB
IZOLTSJ,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOTJZLS,O,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IOTSJZL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZJSL,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTZSLJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
IOTZSJL,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLZJTS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJTZLS,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOJLTSZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
IOJSTZL,O,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IOSTJZL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IOSJTZL,X,X,O,X,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZTJSL,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZLTJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZLJTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISJZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSIZOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSZIOJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSZJIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTSZOJI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSOJZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSOZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJOSI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTZSIJO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZSIOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZSJIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZOJIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZOSJI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJZIS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOSIJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTOSJZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
LTOSZIJ,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTOZJIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOZJSI,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
