sequence,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFagBGcBxdBzgB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFegBCcBxdBXhB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFCcBxdBXhB0iBzf?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jem6IvhFRcBSiB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFRbBchBTdBSlBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jey/IvhFGdBRhB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jei6IvhFWhBxdBzfB0iBXh?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFShBxdB2lB0iBfq?BlqB,v115@FhC8DeB8BeB8CeH8AeG8JeT9IvhF6kBxgBmfBFhBXj?BcqB,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFTcBxdB2lB0iBSq?BFqB
TSOLIJZ,O,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,X,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,X,O,X,O,O,X,X
TSOLZIJ,O,O,O,O,O,X,O,O,X,X
TSOLZJI,O,O,O,O,O,X,O,O,X,X
TSOJILZ,O,O,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,X,O,X,O,O,X,X
TSOJZIL,O,O,O,X,X,X,O,O,X,O
TSOJZLI,O,O,O,X,O,X,O,O,X,O
TSOZILJ,O,O,O,O,X,X,O,O,X,X
TSOZIJL,O,O,O,O,X,X,O,O,X,O
TSOZLIJ,O,O,O,O,O,X,O,O,X,X
TSOZLJI,O,O,O,O,O,X,O,O,X,X
TSOZJIL,O,O,O,O,X,X,O,O,X,O
TSOZJLI,O,O,O,O,O,X,O,O,X,O
TZILJSO,O,O,O,X,O,O,X,X,X,X
TZILJOS,O,O,X,O,O,O,O,X,X,X
TZILSJO,O,O,O,X,O,X,X,O,X,X
TZILSOJ,O,O,O,X,O,X,O,O,X,X
TZILOJS,O,O,X,O,O,X,O,X,O,X
TZILOSJ,O,O,X,O,O,X,O,X,O,X
TZIJLSO,O,O,O,X,O,O,X,X,X,X
TZIJLOS,O,O,X,O,O,O,O,X,X,X
TZIJSLO,O,O,O,X,X,X,X,X,X,O
TZIJSOL,O,O,O,X,X,X,O,X,X,O
TZIJOLS,O,O,X,O,O,X,O,X,X,X
TZIJOSL,O,O,O,O,X,X,O,X,X,O
TZISLJO,O,O,O,X,X,X,X,O,X,X
TZISLOJ,O,O,O,X,X,X,O,O,X,X
TZISJLO,O,O,O,X,X,X,X,O,X,O
TZISJOL,O,O,O,X,X,X,O,O,X,O
TZISOLJ,O,O,O,X,X,X,O,O,X,X
TZISOJL,O,O,O,X,X,X,O,O,X,O
TZIOLJS,O,O,X,O,O,X,O,X,O,X
TZIOLSJ,O,O,X,O,O,X,O,X,O,X
TZIOJLS,O,O,X,O,O,X,O,X,X,X
TZIOJSL,O,O,O,O,X,X,O,X,X,O
TZIOSLJ,O,O,O,O,X,X,O,O,X,X
TZIOSJL,O,O,O,O,X,X,O,O,X,O
TZLIJSO,O,O,O,X,O,O,X,X,X,X
TZLIJOS,O,O,X,O,O,O,O,X,X,X
TZLISJO,O,O,O,X,O,X,X,O,X,X
TZLISOJ,O,O,O,X,O,X,O,O,X,X
TZLIOJS,O,O,X,O,O,X,O,X,O,X
TZLIOSJ,O,O,X,O,O,X,O,X,O,X
TZLJISO,O,O,O,X,O,X,X,X,X,X
TZLJIOS,O,O,X,O,O,X,O,X,X,X
TZLJSIO,O,O,O,X,O,X,X,X,X,X
TZLJSOI,O,O,O,O,O,X,X,X,X,X
TZLJOIS,O,O,X,O,O,X,O,X,X,X
TZLJOSI,O,O,X,O,O,X,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,O,X,X
TZLSIOJ,O,O,O,X,O,X,O,O,X,X
TZLSJIO,O,O,O,X,O,X,X,O,X,X
TZLSJOI,O,O,O,O,O,X,X,O,X,X
TZLSOIJ,O,O,O,O,O,X,O,O,X,X
TZLSOJI,O,O,O,O,O,X,O,O,X,X
TZLOIJS,O,O,X,O,O,X,O,X,O,X
TZLOISJ,O,O,X,O,O,X,O,X,O,X
TZLOJIS,O,O,X,O,O,X,O,X,X,X
TZLOJSI,O,O,X,O,O,X,O,X,X,X
TZLOSIJ,O,O,X,O,O,X,O,X,X,X
TZLOSJI,O,O,X,O,O,X,O,X,X,X
TZJILSO,O,O,O,X,O,X,X,X,X,X
TZJILOS,O,O,X,O,O,X,O,X,X,X
TZJISLO,O,O,O,X,X,X,X,X,X,O
TZJISOL,O,O,O,X,X,X,O,X,X,O
TZJIOLS,O,O,X,O,O,X,O,X,X,X
TZJIOSL,O,O,O,O,X,X,O,X,X,O
TZJLISO,O,O,O,X,O,X,X,X,X,X
TZJLIOS,O,O,X,O,O,X,O,X,X,X
TZJLSIO,O,O,O,X,O,X,X,X,X,X
TZJLSOI,O,O,O,O,O,X,X,X,X,X
TZJLOIS,O,O,X,O,O,X,O,X,X,X
TZJLOSI,O,O,X,O,O,X,O,X,X,X
TZJSILO,O,O,O,X,X,X,X,X,X,O
TZJSIOL,O,O,O,X,X,X,O,X,X,O
TZJSLIO,O,O,O,X,O,X,X,X,X,O
TZJSLOI,O,O,O,O,O,X,X,X,X,O
TZJSOIL,O,O,O,O,X,X,O,X,X,O
TZJSOLI,O,O,O,O,O,X,O,X,X,O
TZJOILS,O,O,X,O,O,X,O,X,X,X
TZJOISL,O,O,O,O,X,X,O,X,X,O
TZJOLIS,O,O,X,O,O,X,O,X,X,X
TZJOLSI,O,O,X,O,O,X,O,X,X,X
TZJOSIL,O,O,O,O,X,X,O,X,X,O
TZJOSLI,O,O,O,O,O,X,O,X,X,O
TZSILJO,O,O,O,X,X,X,X,O,X,X
TZSILOJ,O,O,O,X,X,X,O,O,X,X
TZSIJLO,O,O,O,X,X,X,X,O,X,O
TZSIJOL,O,O,O,X,X,X,O,O,X,O
TZSIOLJ,O,O,O,X,X,X,O,O,X,X
TZSIOJL,O,O,O,X,X,X,O,O,X,O
TZSLIJO,O,O,O,X,O,X,X,O,X,X
TZSLIOJ,O,O,O,X,O,X,O,O,X,X
TZSLJIO,O,O,O,X,O,X,X,O,X,X
TZSLJOI,O,O,O,O,O,X,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,O,O,X,X
TZSLOJI,O,O,O,O,O,X,O,O,X,X
TZSJILO,O,O,O,X,X,X,X,O,X,O
TZSJIOL,O,O,O,X,X,X,O,O,X,O
TZSJLIO,O,O,O,X,O,X,X,O,X,O
TZSJLOI,O,O,O,O,O,X,X,O,X,O
TZSJOIL,O,O,O,O,X,X,O,O,X,O
TZSJOLI,O,O,O,O,O,X,O,O,X,O
TZSOILJ,O,O,O,O,X,X,O,O,X,X
TZSOIJL,O,O,O,O,X,X,O,O,X,O
TZSOLIJ,O,O,O,O,O,X,O,O,X,X
TZSOLJI,O,O,O,O,O,X,O,O,X,X
TZSOJIL,O,O,O,O,X,X,O,O,X,O
TZSOJLI,O,O,O,O,O,X,O,O,X,O
TZOILJS,O,O,X,O,O,X,O,X,O,X
TZOILSJ,O,O,X,O,O,X,O,X,O,X
TZOIJLS,O,O,X,O,O,X,O,X,X,X
TZOIJSL,O,O,O,O,X,X,O,X,X,O
TZOISLJ,O,O,O,O,X,X,O,O,X,X
TZOISJL,O,O,O,O,X,X,O,O,X,O
TZOLIJS,O,O,X,O,O,X,O,X,O,X
TZOLISJ,O,O,X,O,O,X,O,X,O,X
TZOLJIS,O,O,X,O,O,X,O,X,X,X
TZOLJSI,O,O,X,O,O,X,O,X,X,X
TZOLSIJ,O,O,X,O,O,X,O,X,X,X
TZOLSJI,O,O,X,O,O,X,O,X,X,X
TZOJILS,O,O,X,O,O,X,O,X,X,X
TZOJISL,O,O,O,O,X,X,O,X,X,O
TZOJLIS,O,O,X,O,O,X,O,X,X,X
TZOJLSI,O,O,X,O,O,X,O,X,X,X
TZOJSIL,O,O,O,O,X,X,O,X,X,O
TZOJSLI,O,O,O,O,O,X,O,X,X,O
TZOSILJ,O,O,O,O,X,X,O,O,X,X
TZOSIJL,O,O,O,O,X,X,O,O,X,O
TZOSLIJ,O,O,O,O,O,X,O,O,X,X
TZOSLJI,O,O,O,O,O,X,O,O,X,X
TZOSJIL,O,O,O,O,X,X,O,O,X,O
TZOSJLI,O,O,O,O,O,X,O,O,X,O
TOILJSZ,O,O,X,X,X,O,X,X,X,X
TOILJZS,X,X,X,O,O,O,O,X,X,X
TOILSJZ,O,O,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,O,X,X,X,X,O,X
TOILZJS,X,X,X,O,O,X,O,X,O,X
TOILZSJ,X,X,X,O,O,X,O,X,O,X
TOIJLSZ,O,O,X,X,X,O,X,X,X,X
TOIJLZS,X,X,X,O,O,O,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,X,O,O,X,O,X,X,X
TOIJZSL,O,O,X,O,X,X,O,X,X,X
TOISLJZ,O,O,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,O,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X,X,X
TOISZLJ,O,O,X,O,X,X,X,X,X,X
TOISZJL,O,O,X,O,X,X,X,X,X,X
TOIZLJS,O,O,X,O,O,X,O,X,X,X
TOIZLSJ,O,O,X,O,O,X,O,X,X,X
TOIZJLS,O,O,X,O,O,X,O,X,X,X
TOIZJSL,O,O,X,O,X,X,O,X,X,X
TOIZSLJ,O,O,X,O,X,X,O,X,X,X
TOIZSJL,O,O,X,O,X,X,O,X,X,X
TOLIJSZ,O,O,X,X,X,O,X,X,X,X
TOLIJZS,X,X,X,O,O,O,O,X,X,X
TOLISJZ,O,O,X,X,X,X,X,X,X,X
TOLISZJ,O,X,X,O,X,X,X,X,O,X
TOLIZJS,X,X,X,O,O,X,O,X,O,X
TOLIZSJ,X,X,X,O,O,X,O,X,O,X
TOLJISZ,O,O,X,X,X,X,X,X,X,X
TOLJIZS,X,X,X,O,O,X,O,X,X,X
TOLJSIZ,O,O,X,X,X,X,X,X,X,X
TOLJSZI,O,O,X,X,O,X,O,X,X,X
TOLJZIS,O,O,X,O,O,X,O,X,X,X
TOLJZSI,O,O,X,O,O,X,O,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,O,X,O,X,X,X
TOLSZIJ,O,O,X,O,O,X,O,X,X,X
TOLSZJI,O,O,X,O,O,X,O,X,X,X
TOLZIJS,O,O,X,O,O,X,O,X,O,X
TOLZISJ,O,O,X,O,O,X,O,X,O,X
TOLZJIS,O,O,X,O,O,X,O,X,X,X
TOLZJSI,O,O,X,O,O,X,O,X,X,X
TOLZSIJ,O,O,X,O,O,X,O,X,X,X
TOLZSJI,O,O,X,O,O,X,O,X,X,X
TOJILSZ,O,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,X,O,O,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X,X,X
TOJIZLS,O,O,X,O,O,X,O,X,X,X
TOJIZSL,O,O,X,O,X,X,O,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,X,O,O,X,O,X,X,X
TOJLSIZ,O,O,X,X,X,X,X,X,X,X
TOJLSZI,O,O,X,X,O,X,O,X,X,X
TOJLZIS,O,O,X,O,O,X,O,X,X,X
TOJLZSI,O,O,X,O,O,X,O,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,X,X,X,X,X,X
TOJSLZI,O,O,O,X,O,X,O,X,X,X
TOJSZIL,O,O,O,X,X,X,O,X,X,O
TOJSZLI,O,O,O,X,O,X,O,X,X,O
TOJZILS,O,O,X,O,O,X,O,X,X,X
TOJZISL,O,O,O,O,X,X,O,X,X,O
TOJZLIS,O,O,X,O,O,X,O,X,X,X
TOJZLSI,O,O,X,O,O,X,O,X,X,X
TOJZSIL,O,O,O,O,X,X,O,X,X,O
TOJZSLI,O,O,O,O,O,X,O,X,X,O
TOSILJZ,O,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,X,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,X,O,X,X,X,X,X,X
TOSIZJL,O,O,X,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,X,O,X,O,O,X,X
TOSLZIJ,O,O,O,O,O,X,O,O,X,X
TOSLZJI,O,O,O,O,O,X,O,O,X,X
TOSJILZ,O,O,X,X,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,X,O,X,O,O,X,X
TOSJZIL,O,O,O,X,X,X,O,O,X,O
TOSJZLI,O,O,O,X,O,X,O,O,X,O
TOSZILJ,O,O,O,O,X,X,O,O,X,X
TOSZIJL,O,O,O,O,X,X,O,O,X,O
TOSZLIJ,O,O,O,O,O,X,O,O,X,X
TOSZLJI,O,O,O,O,O,X,O,O,X,X
TOSZJIL,O,O,O,O,X,X,O,O,X,O
TOSZJLI,O,O,O,O,O,X,O,O,X,O
TOZILJS,O,O,X,O,O,X,O,X,O,X
TOZILSJ,O,O,X,O,O,X,O,X,O,X
TOZIJLS,O,O,X,O,O,X,O,X,X,X
TOZIJSL,O,O,O,O,X,X,O,X,X,O
TOZISLJ,O,O,O,O,X,X,O,O,X,X
TOZISJL,O,O,O,O,X,X,O,O,X,O
TOZLIJS,O,O,X,O,O,X,O,X,O,X
TOZLISJ,O,O,X,O,O,X,O,X,O,X
TOZLJIS,O,O,X,O,O,X,O,X,X,X
TOZLJSI,O,O,X,O,O,X,O,X,X,X
TOZLSIJ,O,O,X,O,O,X,O,X,X,X
TOZLSJI,O,O,X,O,O,X,O,X,X,X
TOZJILS,O,O,X,O,O,X,O,X,X,X
TOZJISL,O,O,O,O,X,X,O,X,X,O
TOZJLIS,O,O,X,O,O,X,O,X,X,X
TOZJLSI,O,O,X,O,O,X,O,X,X,X
TOZJSIL,O,O,O,O,X,X,O,X,X,O
TOZJSLI,O,O,O,O,O,X,O,X,X,O
TOZSILJ,O,O,O,O,X,X,O,O,X,X
TOZSIJL,O,O,O,O,X,X,O,O,X,O
TOZSLIJ,O,O,O,O,O,X,O,O,X,X
TOZSLJI,O,O,O,O,O,X,O,O,X,X
TOZSJIL,O,O,O,O,X,X,O,O,X,O
TOZSJLI,O,O,O,O,O,X,O,O,X,O
ITLJSZO,O,O,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,O,X,X,X,X
ITLJZSO,X,X,X,X,O,O,X,X,X,X
ITLJZOS,X,X,X,X,O,O,X,X,X,X
ITLJOSZ,O,O,X,X,X,O,X,X,X,X
ITLJOZS,X,X,X,O,O,O,X,X,X,X
ITLSJZO,O,O,X,X,X,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,X,X,X
ITLZJSO,X,X,X,X,O,O,X,X,X,X
ITLZJOS,X,X,X,O,O,O,O,X,X,X
ITLZSJO,X,X,X,X,O,X,X,X,X,X
ITLZSOJ,X,X,X,X,O,X,O,X,X,X
ITLZOJS,X,X,X,O,O,X,O,X,X,X
ITLZOSJ,X,X,X,O,O,X,O,X,X,X
ITLOJSZ,O,O,X,X,X,O,X,X,X,X
ITLOJZS,X,X,X,O,O,O,O,X,X,X
ITLOSJZ,O,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,O,X,X,X,X,O,X
ITLOZJS,X,X,X,O,O,X,O,X,O,X
ITLOZSJ,X,X,X,O,O,X,O,X,O,X
ITJLSZO,O,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,O,X,X,X,X
ITJLZSO,X,X,X,X,O,O,X,X,X,X
ITJLZOS,X,X,X,X,O,O,X,X,X,X
ITJLOSZ,O,O,X,X,X,O,X,X,X,X
ITJLOZS,X,X,X,X,O,O,X,X,X,X
ITJSLZO,O,O,O,X,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,O,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X,X,X
ITJZLSO,O,O,O,X,O,O,X,X,X,X
ITJZLOS,O,O,X,X,O,O,O,X,X,X
ITJZSLO,O,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,O,X,X,X,O,X,X,X
ITJZOLS,O,O,X,X,O,X,O,X,X,X
ITJZOSL,O,O,O,X,X,X,O,X,X,X
ITJOLSZ,O,O,X,X,X,O,X,X,X,X
ITJOLZS,X,X,X,X,O,O,O,X,X,X
ITJOSLZ,O,O,X,X,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X,X,X
ITJOZLS,O,O,X,X,O,X,O,X,X,X
ITJOZSL,O,O,X,X,X,X,O,X,X,X
ITSLJZO,O,O,O,X,X,O,X,X,X,X
ITSLJOZ,O,O,X,X,X,O,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X
ITSJLZO,O,O,O,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,X,O,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,X,X,X,X
ITSJOZL,O,O,X,X,X,X,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X,X,X
ITZLJSO,O,O,O,X,O,O,X,X,X,X
ITZLJOS,O,O,X,O,O,O,O,X,X,X
ITZLSJO,O,O,O,X,O,X,X,X,X,X
ITZLSOJ,O,O,O,X,O,X,O,X,X,X
ITZLOJS,O,O,X,O,O,X,O,X,X,X
ITZLOSJ,O,O,X,O,O,X,O,X,X,X
ITZJLSO,O,O,O,X,O,O,X,X,X,X
ITZJLOS,O,O,X,O,O,O,O,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,O,X,X,X,O,X,X,X
ITZJOLS,O,O,X,O,O,X,O,X,X,X
ITZJOSL,O,O,O,O,X,X,O,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,O,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,O,X,X,X,O,X,X,X
ITZSOLJ,O,O,O,X,X,X,O,X,X,X
ITZSOJL,O,O,O,X,X,X,O,X,X,X
ITZOLJS,O,O,X,O,O,X,O,X,X,X
ITZOLSJ,O,O,X,O,O,X,O,X,X,X
ITZOJLS,O,O,X,O,O,X,O,X,X,X
ITZOJSL,O,O,O,O,X,X,O,X,X,X
ITZOSLJ,O,O,O,O,X,X,O,X,X,X
ITZOSJL,O,O,O,O,X,X,O,X,X,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X
ITOLJZS,X,X,X,O,O,O,O,X,X,X
ITOLSJZ,O,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,O,X,X,X,X,O,X
ITOLZJS,X,X,X,O,O,X,O,X,O,X
ITOLZSJ,X,X,X,O,O,X,O,X,O,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X
ITOJLZS,X,X,X,O,O,O,O,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,O,O,X,O,X,X,X
ITOJZSL,O,O,X,O,X,X,O,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,O,X,X,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X,X
ITOZLJS,O,O,X,O,O,X,O,X,X,X
ITOZLSJ,O,O,X,O,O,X,O,X,X,X
ITOZJLS,O,O,X,O,O,X,O,X,X,X
ITOZJSL,O,O,X,O,X,X,O,X,X,X
ITOZSLJ,O,O,X,O,X,X,O,X,X,X
ITOZSJL,O,O,X,O,X,X,O,X,X,X
ILTJSZO,O,O,X,X,X,O,X,X,X,X
ILTJSOZ,O,O,X,X,X,O,X,X,X,X
ILTJZSO,X,X,X,X,X,O,X,X,X,X
ILTJZOS,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,O,O,X,X,X,O,X,X,X,X
ILTJOZS,X,X,X,O,X,O,X,X,X,X
ILTSJZO,O,O,X,X,X,O,X,X,X,X
ILTSJOZ,O,O,X,X,X,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,X,X,X
ILTZJSO,X,X,X,X,X,O,X,X,X,X
ILTZJOS,X,X,X,O,X,O,O,X,X,X
ILTZSJO,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,X,X,O,X,X,X
ILTZOJS,X,X,X,O,X,X,O,X,X,X
ILTZOSJ,X,X,X,O,X,X,O,X,X,X
ILTOJSZ,O,O,X,X,X,O,X,X,X,X
ILTOJZS,X,X,X,O,X,O,O,X,X,X
ILTOSJZ,O,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,O,X,X,X,X,O,X
ILTOZJS,X,X,X,O,X,X,O,X,O,X
ILTOZSJ,X,X,X,O,X,X,O,X,O,X
ILJTSZO,O,X,X,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,X,X,O,X,X,X,X
ILJTZSO,X,X,X,X,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,O,X,X,X,X
ILJTOZS,X,X,X,O,X,O,X,X,X,X
ILJSTZO,O,X,X,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,X,X,O,X,X,X,X
ILJSZTO,O,X,X,X,X,O,X,X,X,X
ILJSZOT,O,X,X,X,X,O,X,X,X,X
ILJSOTZ,O,X,X,X,X,O,X,X,X,X
ILJSOZT,O,X,X,X,X,O,X,X,X,X
ILJZTSO,X,X,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,X,X,X
ILJZSTO,X,X,X,X,X,O,X,X,X,X
ILJZSOT,X,X,X,X,X,O,X,X,X,X
ILJZOTS,X,X,X,X,X,O,X,X,X,X
ILJZOST,X,X,X,X,X,O,X,X,X,X
ILJOTSZ,O,X,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,O,X,O,X,X,X,X
ILJOSTZ,O,X,X,X,X,O,X,X,X,X
ILJOSZT,O,X,X,X,X,O,X,X,O,X
ILJOZTS,X,X,X,O,X,O,X,X,O,X
ILJOZST,X,X,X,O,X,O,X,X,O,X
ILSTJZO,O,O,X,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,O,X,X,X,X
ILSJTOZ,O,O,X,X,X,O,X,X,X,X
ILSJZTO,O,X,X,X,X,O,X,O,X,X
ILSJZOT,O,X,X,X,X,O,X,O,X,X
ILSJOTZ,O,X,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,X,O,X,O,X,X
ILSZTJO,X,O,X,X,X,X,X,O,X,X
ILSZTOJ,X,X,X,X,X,X,X,O,X,X
ILSZJTO,O,X,X,X,X,X,X,O,X,X
ILSZJOT,O,X,X,X,X,X,X,O,X,X
ILSZOTJ,X,X,X,X,X,X,X,O,X,X
ILSZOJT,O,X,X,X,X,X,X,O,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X,O,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,O,O,X
ILSOZTJ,X,X,X,X,X,X,X,O,O,X
ILSOZJT,O,X,X,O,X,X,X,O,O,X
ILZTJSO,X,X,X,X,X,X,X,X,X,X
ILZTJOS,X,X,X,X,X,X,O,X,X,X
ILZTSJO,X,X,X,X,X,X,X,O,X,X
ILZTSOJ,X,X,X,X,X,X,O,O,X,X
ILZTOJS,X,X,X,O,X,X,O,X,O,X
ILZTOSJ,X,X,X,O,X,X,O,X,O,X
ILZJTSO,X,X,X,X,X,O,X,X,X,X
ILZJTOS,X,X,X,X,X,O,O,X,X,X
ILZJSTO,X,X,X,X,X,O,X,O,X,X
ILZJSOT,X,X,X,X,X,O,X,O,X,X
ILZJOTS,X,X,X,O,X,O,X,X,O,X
ILZJOST,X,X,X,O,X,O,X,X,O,X
ILZSTJO,X,X,X,X,X,X,X,O,X,X
ILZSTOJ,X,X,X,X,X,X,O,O,X,X
ILZSJTO,X,X,X,X,X,X,X,O,X,X
ILZSJOT,X,X,X,X,X,X,X,O,X,X
ILZSOTJ,X,X,X,X,X,X,X,O,O,X
ILZSOJT,X,X,X,X,X,X,X,O,O,X
ILZOTJS,X,X,X,O,X,X,O,X,O,X
ILZOTSJ,X,X,X,O,X,X,O,X,O,X
ILZOJTS,X,X,X,O,X,X,X,X,O,X
ILZOJST,X,X,X,O,X,X,X,X,O,X
ILZOSTJ,X,X,X,X,X,X,X,O,O,X
ILZOSJT,X,X,X,O,X,X,X,O,O,X
ILOTJSZ,O,O,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,O,X,X,X,X,O,X
