sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,O,X
ISZLOJT,O,X,O,X,O,X,X,X,X,X,O,X
ISZJTLO,O,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X,O,X,O,X
ISZJLTO,O,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,O,X
ISZJOLT,O,X,X,X,X,X,X,X,X,X,O,X
ISZOTLJ,X,X,X,X,O,X,X,X,X,X,O,X
ISZOTJL,X,X,X,X,O,X,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,X,O,X,X,X,X,X,O,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,O,X
ISZOJLT,O,X,X,X,O,X,X,X,X,X,O,X
ISOTLJZ,O,O,O,X,O,O,X,O,O,X,X,X
ISOTLZJ,X,X,O,X,O,O,X,O,X,X,X,X
ISOTJLZ,O,O,O,X,O,O,X,O,O,X,X,X
ISOTJZL,O,O,X,X,O,X,X,X,O,X,X,X
ISOTZLJ,O,O,O,X,O,X,X,O,X,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X,O,X,X,X
ISOLTJZ,X,X,X,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISOLJZT,X,O,X,X,O,O,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,X,X,O,X,O,O,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,O,O,X,X,O,X,X,X
ISOJTZL,X,O,X,X,O,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,X,O,O,X,X,X,X,X,X
ISOJLZT,X,O,X,X,O,O,X,X,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X,X,X,X,O,X
ISOJZLT,O,O,X,X,O,X,X,X,X,X,O,X
ISOZTLJ,X,O,X,X,O,X,X,X,X,X,O,X
ISOZTJL,X,X,X,X,O,X,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOZLJT,O,O,X,X,O,X,X,X,X,X,O,X
ISOZJTL,X,O,X,X,X,X,X,X,X,X,O,X
ISOZJLT,O,O,X,X,O,X,X,X,X,X,O,X
IZTLJSO,O,X,X,X,X,X,O,X,X,X,X,X
IZTLJOS,O,X,X,O,X,X,O,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,O,X,X,O,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,O,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X,X,X,O,X
IZTSLJO,O,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,X,X,X,X,O,X
IZTSJLO,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,X,X,O,X,X,X,X,X,X,O,X
IZTSOLJ,O,X,X,O,O,X,X,X,X,X,O,X
IZTSOJL,O,X,X,O,O,X,X,X,X,X,O,X
IZTOLJS,X,X,X,O,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,O,O,X,X,X,X,X,O,X
IZTOSLJ,X,X,X,O,O,X,X,X,X,X,O,X
IZTOSJL,X,X,X,O,O,X,X,X,X,X,O,X
IZLTJSO,O,X,O,X,X,X,O,X,X,X,X,X
IZLTJOS,O,X,X,O,X,X,O,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZLJTSO,O,X,O,X,X,X,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,O,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,O,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,O,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X,X,X,O,X
IZLSTJO,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,X,X,X,X,O,X
IZLSJTO,O,X,O,X,X,X,O,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,X,O,X
IZLSOJT,O,X,X,X,O,X,X,X,X,X,O,X
IZLOTJS,X,X,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X,X,X,O,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,O,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,O,X
IZJTLSO,O,X,X,X,X,X,O,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,O,O,X
IZJLTSO,O,X,X,X,X,X,O,X,X,X,X,X
IZJLTOS,O,X,X,O,X,X,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,O,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,X,O,O,X
IZJSTLO,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,O,X,O,X
IZJSLTO,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X,X,O,O,X
IZJSOLT,O,X,X,X,X,X,X,X,X,O,O,X
IZJOTLS,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,X,X,O,O,X
IZJOLTS,X,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,X,X,X,X,X,O,O,X
IZJOSTL,X,X,X,O,X,X,X,X,X,O,O,X
IZJOSLT,X,X,X,X,X,X,X,X,X,O,O,X
IZSTLJO,O,X,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,X,O,X,O,X,X,X,X,X,O,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,X,X,X,O,X,O,X
IZSTOLJ,O,X,O,O,O,X,X,O,X,X,O,X
IZSTOJL,O,X,X,O,O,X,X,X,O,X,O,X
IZSLTJO,O,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,X,X,X,X,O,X
IZSLJTO,O,X,O,X,X,X,X,O,X,X,X,X
IZSLJOT,O,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,O,X
IZSLOJT,O,X,O,X,O,X,X,X,X,X,O,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,O,X,O,X
IZSJLTO,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,O,X
IZSJOLT,O,X,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,O,O,X,X,X,X,X,O,X
IZSOTJL,X,X,X,O,O,X,X,X,X,X,O,X
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,O,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,O,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,O,X
IZSOJLT,O,X,X,X,O,X,X,X,X,X,O,X
IZOTLJS,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,O,X,X,X,X,X,O,X
IZOTSLJ,X,X,X,O,O,X,X,X,X,X,O,X
IZOTSJL,X,X,X,O,O,X,X,X,X,X,O,X
IZOLTJS,X,X,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,X,X,X,X,X,X,O,X
IZOLSTJ,O,X,X,O,X,X,X,X,X,X,O,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,O,X
IZOJTLS,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,O,X,X,X,X,O,O,X
IZOJLTS,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,X,X,X,X,X,O,O,X
IZOJSTL,X,X,X,O,X,X,X,X,X,O,O,X
IZOJSLT,X,X,X,X,O,X,X,X,X,O,O,X
IZOSTLJ,X,X,X,O,O,X,X,X,X,X,O,X
IZOSTJL,X,X,X,O,O,X,X,X,X,X,O,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,O,X
IZOSLJT,X,X,X,X,O,X,X,X,X,X,O,X
IZOSJTL,X,X,X,X,X,X,X,X,X,O,O,X
IZOSJLT,X,X,X,X,O,X,X,X,X,O,O,X
IOTLJSZ,X,X,X,O,O,X,O,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,O,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,O,X,X,X,X,X
IOTLSZJ,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,O,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,O,X,O,X,X,X,X,X
IOTJLZS,X,O,X,O,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,X,O,O,X,O,X,X,X,X,X
IOTJSZL,X,O,X,O,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,X,O,X,X,X,X,X
IOTJZSL,X,O,X,O,O,X,X,X,X,X,O,X
IOTSLJZ,X,O,X,X,O,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,O,X,O,X,X,X,X,X
IOTSJZL,X,O,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,X,O,X,X,X,X,X,X,X
IOTSZJL,X,O,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,X,X,O,X,X,O,X,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,O,X,X,O,X,X,X,X,X
IOTZJSL,X,O,X,O,O,X,X,X,X,X,O,X
IOTZSLJ,X,O,X,O,O,X,X,X,X,X,O,X
IOTZSJL,X,O,X,O,O,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,O,O,O,O,X,X,X,X,X
IOLTJZS,X,X,X,O,X,O,O,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,O,O,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,O,X,X,X,X,X,X
IOLTZJS,X,X,X,O,X,O,O,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,O,O,O,X,X,X,X,X
IOLJTZS,X,X,X,O,X,O,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,O,O,O,O,X,X,X,X
IOLJSZT,X,X,X,X,O,O,O,X,X,X,X,X
IOLJZTS,X,X,X,O,X,O,O,X,X,X,X,X
IOLJZST,X,X,X,O,X,O,O,X,X,X,O,X
IOLSTJZ,X,X,X,X,O,O,O,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,O,X,X,X,X,X
IOLSJZT,X,X,X,X,O,O,O,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,O,O,X,X,X,X,X
IOLZTJS,X,X,X,O,X,O,O,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,O,O,X,X,X,X,X
IOLZJST,X,X,O,O,X,O,O,X,X,X,O,X
IOLZSTJ,X,X,X,O,X,O,X,X,X,X,O,X
IOLZSJT,X,X,X,X,X,O,O,X,X,X,O,X
IOJTLSZ,X,O,X,O,O,X,O,X,X,X,X,X
IOJTLZS,X,O,X,O,X,X,O,X,X,X,X,X
IOJTSLZ,X,O,X,O,O,X,O,X,X,X,X,X
IOJTSZL,X,O,X,O,O,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,X,O,X,X,X,X,X
IOJTZSL,X,O,X,O,O,X,X,X,X,O,O,X
IOJLTSZ,X,O,X,O,O,O,O,X,X,X,X,X
IOJLTZS,X,O,X,O,X,O,O,X,X,X,X,X
IOJLSTZ,X,O,X,O,O,O,O,X,X,X,X,X
IOJLSZT,X,O,X,X,O,O,O,X,X,X,X,X
IOJLZTS,X,X,X,O,X,O,O,X,X,X,X,X
IOJLZST,X,O,X,O,X,O,O,X,X,O,O,X
IOJSTLZ,X,O,X,O,O,O,O,X,O,X,X,X
IOJSTZL,X,O,X,O,O,X,X,X,O,X,X,X
IOJSLTZ,X,O,X,O,O,O,O,X,X,X,X,X
IOJSLZT,X,O,X,X,O,O,O,X,X,X,X,X
IOJSZTL,X,O,X,O,X,X,X,X,X,O,O,X
IOJSZLT,X,O,X,X,O,X,X,X,X,O,O,X
IOJZTLS,X,O,X,O,X,X,O,X,X,X,X,X
IOJZTSL,X,O,X,O,O,X,X,X,X,O,O,X
IOJZLTS,X,X,X,O,X,X,O,X,X,X,X,X
IOJZLST,O,O,X,O,X,X,O,X,X,O,O,X
IOJZSTL,X,O,X,O,X,X,X,X,X,O,O,X
IOJZSLT,X,O,X,X,O,X,X,X,X,O,O,X
IOSTLJZ,O,O,O,X,O,O,O,O,O,X,X,X
IOSTLZJ,X,X,O,X,O,O,X,O,X,X,X,X
IOSTJLZ,O,O,O,X,O,O,O,O,O,X,X,X
IOSTJZL,O,O,X,X,O,X,X,X,O,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,O,X,X,X,X
IOSTZJL,O,O,X,X,O,X,X,X,O,X,X,X
IOSLTJZ,X,X,X,X,O,O,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,O,O,O,O,X,X,X,X
IOSLJZT,X,O,X,X,O,O,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZJT,X,X,O,X,O,O,O,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,O,O,X,O,X,X,X
IOSJTZL,X,O,X,X,O,X,X,X,O,X,X,X
IOSJLTZ,X,O,X,X,O,O,O,X,X,X,X,X
IOSJLZT,X,O,X,X,O,O,O,X,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,X,X,X,O,X
IOSJZLT,O,O,X,X,O,X,X,X,X,X,O,X
IOSZTLJ,X,O,X,X,O,X,X,X,X,X,O,X
IOSZTJL,X,X,X,X,O,X,X,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X,O,X
IOSZLJT,O,O,X,X,O,X,X,X,X,X,O,X
IOSZJTL,X,O,X,X,X,X,X,X,X,O,O,X
IOSZJLT,O,O,X,X,O,X,X,X,X,O,O,X
IOZTLJS,X,X,X,O,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,O,X,X,O,X,X,X,X,X
IOZTJSL,X,X,X,O,O,X,X,X,X,X,O,X
IOZTSLJ,X,O,X,O,O,X,X,X,X,X,O,X
IOZTSJL,X,X,X,O,O,X,X,X,X,X,O,X
IOZLTJS,X,X,X,O,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,O,X,X,X,X,X
IOZLJST,O,X,X,O,X,X,O,X,X,X,O,X
IOZLSTJ,O,O,X,O,X,X,X,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,O,X,X,X,O,X
IOZJTLS,X,X,X,O,X,X,O,X,X,X,X,X
IOZJTSL,X,O,X,O,O,X,X,X,X,O,O,X
IOZJLTS,X,X,X,O,X,X,O,X,X,X,X,X
IOZJLST,O,O,X,O,X,X,O,X,X,O,O,X
IOZJSTL,X,O,X,O,X,X,X,X,X,O,O,X
IOZJSLT,X,O,X,X,O,X,X,X,X,O,O,X
IOZSTLJ,X,O,X,O,O,X,X,X,X,X,O,X
IOZSTJL,X,X,X,O,O,X,X,X,X,X,O,X
IOZSLTJ,X,O,X,X,X,X,X,X,X,X,O,X
IOZSLJT,X,O,X,X,O,X,X,X,X,X,O,X
IOZSJTL,X,O,X,X,X,X,X,X,X,O,O,X
IOZSJLT,X,O,X,X,O,X,X,X,X,O,O,X
LTIJSZO,X,X,X,X,X,O,O,O,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
LTIJZSO,X,X,X,X,X,O,O,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOZS,X,X,X,X,X,X,O,X,X,X,X,X
LTISJZO,X,X,O,X,X,O,O,O,X,X,X,X
LTISJOZ,X,X,X,X,O,X,X,O,X,X,X,X
LTISZJO,X,X,O,X,X,O,X,O,X,X,X,X
LTISZOJ,X,X,O,X,O,O,X,X,X,X,X,X
LTISOJZ,X,X,O,X,O,X,X,O,X,X,X,X
LTISOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTIZJSO,X,X,O,X,X,O,O,X,X,X,X,X
LTIZJOS,X,X,O,X,X,X,O,X,X,X,X,X
LTIZSJO,X,X,O,X,X,O,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,O,X,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
LTIOJZS,X,X,X,X,X,X,O,X,X,X,X,X
LTIOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
LTIOSZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,X,X,X,O,O,O,X,X,X,X
LTJISOZ,X,O,X,X,X,O,X,O,O,X,X,X
LTJIZSO,X,O,X,X,X,O,O,X,X,X,X,X
LTJIZOS,X,X,X,O,X,O,O,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,O,X,O,O,X,X,X
LTJIOZS,X,X,X,O,X,O,O,X,X,X,X,X
LTJSIZO,O,O,O,X,X,O,X,O,X,X,X,X
LTJSIOZ,X,O,X,X,X,O,X,O,O,X,X,X
LTJSZIO,O,O,O,X,X,O,X,O,X,X,X,X
LTJSZOI,O,O,O,X,X,O,X,O,O,X,X,X
LTJSOIZ,O,O,O,X,X,O,X,O,O,X,X,X
LTJSOZI,O,O,O,X,X,O,X,O,O,X,X,X
LTJZISO,O,O,O,X,X,O,O,X,X,X,X,X
LTJZIOS,O,X,O,O,X,O,O,X,X,X,X,X
LTJZSIO,O,O,O,X,X,O,X,O,X,X,X,X
LTJZSOI,O,O,O,X,X,O,X,O,O,X,X,X
LTJZOIS,O,X,O,X,X,O,O,X,X,X,X,X
LTJZOSI,O,X,O,X,X,O,X,O,O,X,X,X
LTJOISZ,X,X,X,O,X,X,O,O,O,X,X,X
LTJOIZS,X,X,X,O,X,X,O,X,X,X,X,X
LTJOSIZ,O,X,O,O,X,X,X,O,O,X,X,X
LTJOSZI,O,X,O,O,X,X,X,O,O,X,X,X
LTJOZIS,O,X,O,O,X,X,O,X,X,X,X,X
LTJOZSI,O,X,O,O,X,X,X,O,O,X,X,X
LTSIJZO,O,O,O,X,X,O,O,O,X,X,X,X
LTSIJOZ,X,O,X,X,O,X,X,O,O,X,X,X
LTSIZJO,O,O,O,X,X,O,X,O,X,X,X,X
LTSIZOJ,O,O,O,X,O,O,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,O,X,X,O,O,X,X,X
LTSIOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTSJIZO,O,O,O,X,X,O,X,O,X,X,X,X
LTSJIOZ,X,O,X,X,O,O,X,O,O,X,X,X
LTSJZIO,O,O,O,X,X,O,X,O,X,X,X,X
LTSJZOI,O,O,O,X,X,O,X,O,O,X,X,X
LTSJOIZ,O,O,O,X,O,O,X,O,O,X,X,X
LTSJOZI,O,O,O,X,O,O,X,O,O,X,X,X
LTSZIJO,O,O,O,X,X,O,X,O,X,X,X,X
LTSZIOJ,O,O,O,X,O,O,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,O,X,O,X,X,X,X
LTSZJOI,O,O,O,X,X,O,X,O,X,X,X,X
LTSZOIJ,O,O,O,X,O,O,X,O,X,X,X,X
LTSZOJI,O,O,O,X,O,O,X,O,X,X,X,X
LTSOIJZ,O,O,O,X,O,O,O,O,O,X,X,X
LTSOIZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTSOJIZ,O,O,O,X,O,O,X,O,O,X,X,X
LTSOJZI,O,O,O,X,O,O,X,O,O,X,X,X
LTSOZIJ,X,O,O,X,O,O,X,O,X,X,X,X
LTSOZJI,X,O,O,X,O,O,X,O,X,X,X,X
LTZIJSO,O,X,O,X,X,O,O,X,X,X,X,X
LTZIJOS,O,X,O,O,X,O,O,X,X,X,X,X
LTZISJO,O,O,O,X,X,O,X,X,X,X,X,X
LTZISOJ,O,O,O,X,X,O,X,X,X,X,X,X
LTZIOJS,X,X,O,O,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,O,O,X,O,X,X,X,X,X,X
LTZJISO,O,O,O,X,X,O,O,X,X,X,X,X
LTZJIOS,O,X,O,O,X,O,O,X,X,X,X,X
LTZJSIO,O,O,O,X,X,O,X,O,X,X,X,X
LTZJSOI,O,O,O,X,X,O,X,O,X,X,X,X
LTZJOIS,O,X,O,X,X,O,O,X,X,X,X,X
LTZJOSI,O,X,O,X,X,O,X,O,X,X,X,X
LTZSIJO,O,O,O,X,X,O,X,O,X,X,X,X
LTZSIOJ,O,O,O,X,X,O,X,X,X,X,X,X
LTZSJIO,O,O,O,X,X,O,X,O,X,X,X,X
LTZSJOI,O,O,O,X,X,O,X,O,X,X,X,X
LTZSOIJ,O,O,O,X,X,O,X,O,X,X,X,X
LTZSOJI,O,O,O,X,X,O,X,O,X,X,X,X
LTZOIJS,X,X,O,X,X,O,O,X,X,X,X,X
LTZOISJ,X,O,O,X,X,O,X,X,X,X,X,X
LTZOJIS,O,O,O,X,X,O,O,X,X,X,X,X
LTZOJSI,O,O,O,X,X,O,X,O,X,X,X,X
LTZOSIJ,O,O,O,X,X,O,X,O,X,X,X,X
LTZOSJI,O,O,O,X,X,O,X,O,X,X,X,X
LTOIJSZ,X,X,X,O,O,O,O,O,X,X,X,X
LTOIJZS,X,X,X,O,X,O,O,X,X,X,X,X
LTOISJZ,X,X,O,X,O,O,O,O,X,X,X,X
LTOISZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTOIZJS,X,X,O,O,X,O,O,X,X,X,X,X
LTOIZSJ,X,X,O,O,X,O,X,X,X,X,X,X
LTOJISZ,X,O,X,O,O,O,O,O,O,X,X,X
LTOJIZS,X,O,X,O,X,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,O,O,O,X,O,O,X,X,X
LTOJSZI,O,O,O,O,O,O,X,O,O,X,X,X
LTOJZIS,O,O,O,O,X,O,O,X,X,X,X,X
LTOJZSI,O,O,O,O,X,O,X,O,O,X,X,X
LTOSIJZ,O,O,O,X,O,O,O,O,O,X,X,X
LTOSIZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTOSJIZ,O,O,O,O,O,O,X,O,O,X,X,X
LTOSJZI,O,O,O,O,O,O,X,O,O,X,X,X
LTOSZIJ,X,O,O,O,O,O,X,O,X,X,X,X
LTOSZJI,X,O,O,O,O,O,X,O,X,X,X,X
LTOZIJS,X,X,O,O,X,O,O,X,X,X,X,X
LTOZISJ,X,O,O,O,X,O,X,X,X,X,X,X
LTOZJIS,X,O,O,O,X,O,O,X,X,X,X,X
LTOZJSI,X,O,O,O,X,O,X,O,X,X,X,X
LTOZSIJ,X,O,O,O,X,O,X,O,X,X,X,X
LTOZSJI,X,O,O,O,X,O,X,O,X,X,X,X
LITJSZO,X,X,X,X,X,O,O,O,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
LITJZSO,X,X,X,X,X,O,O,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,O,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
LITJOZS,X,X,X,X,X,X,O,X,X,X,X,X
LITSJZO,X,X,O,X,X,O,O,O,X,X,X,X
LITSJOZ,X,X,X,X,O,X,X,O,X,X,X,X
LITSZJO,X,X,O,X,X,O,X,O,X,X,X,X
LITSZOJ,X,X,O,X,O,O,X,X,X,X,X,X
LITSOJZ,X,X,O,X,O,X,X,O,X,X,X,X
LITSOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LITZJSO,X,X,O,X,X,O,O,X,X,X,X,X
LITZJOS,X,X,O,X,X,X,O,X,X,X,X,X
LITZSJO,X,X,O,X,X,O,X,X,X,X,X,X
LITZSOJ,X,X,O,X,X,O,X,X,X,X,X,X
