sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TLSZOJI,O,O,O,X,O,O,X,O,X,X,X,X
TLSOIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TLSOIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLSOJIZ,O,O,O,X,O,O,X,O,O,X,X,X
TLSOJZI,O,O,O,X,O,O,X,O,O,X,X,X
TLSOZIJ,X,O,O,X,O,O,X,O,X,X,X,X
TLSOZJI,X,O,O,X,O,O,X,O,X,X,X,X
TLZIJSO,O,X,O,X,X,O,O,X,X,X,X,X
TLZIJOS,O,X,O,O,X,O,O,X,X,X,X,X
TLZISJO,O,O,O,X,X,O,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,O,X,X,X,X,X,X
TLZIOJS,X,X,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,O,O,X,O,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,O,O,X,X,X,X,X
TLZJIOS,O,X,O,O,X,O,O,X,X,X,X,X
TLZJSIO,O,O,O,X,X,O,X,O,X,X,X,X
TLZJSOI,O,O,O,X,X,O,X,O,X,X,X,X
TLZJOIS,O,X,O,X,X,O,O,X,X,X,X,X
TLZJOSI,O,X,O,X,X,O,X,O,X,X,X,X
TLZSIJO,O,O,O,X,X,O,X,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,O,X,O,X,X,X,X
TLZSJOI,O,O,O,X,X,O,X,O,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X,O,X,X,X,X
TLZSOJI,O,O,O,X,X,O,X,O,X,X,X,X
TLZOIJS,X,X,O,X,X,O,O,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X,X,X,X,X,X
TLZOJIS,O,O,O,X,X,O,O,X,X,X,X,X
TLZOJSI,O,O,O,X,X,O,X,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,O,X,O,X,X,X,X
TLZOSJI,O,O,O,X,X,O,X,O,X,X,X,X
TLOIJSZ,X,X,X,O,O,O,O,O,X,X,X,X
TLOIJZS,X,X,X,O,X,O,O,X,X,X,X,X
TLOISJZ,X,X,O,X,O,O,O,O,X,X,X,X
TLOISZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLOIZJS,X,X,O,O,X,O,O,X,X,X,X,X
TLOIZSJ,X,X,O,O,X,O,X,X,X,X,X,X
TLOJISZ,X,O,X,O,O,O,O,O,O,X,X,X
TLOJIZS,X,O,X,O,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,O,O,O,X,O,O,X,X,X
TLOJSZI,O,O,O,O,O,O,X,O,O,X,X,X
TLOJZIS,O,O,O,O,X,O,O,X,X,X,X,X
TLOJZSI,O,O,O,O,X,O,X,O,O,X,X,X
TLOSIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TLOSIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLOSJIZ,O,O,O,O,O,O,X,O,O,X,X,X
TLOSJZI,O,O,O,O,O,O,X,O,O,X,X,X
TLOSZIJ,X,O,O,O,O,O,X,O,X,X,X,X
TLOSZJI,X,O,O,O,O,O,X,O,X,X,X,X
TLOZIJS,X,X,O,O,X,O,O,X,X,X,X,X
TLOZISJ,X,O,O,O,X,O,X,X,X,X,X,X
TLOZJIS,X,O,O,O,X,O,O,X,X,X,X,X
TLOZJSI,X,O,O,O,X,O,X,O,X,X,X,X
TLOZSIJ,X,O,O,O,X,O,X,O,X,X,X,X
TLOZSJI,X,O,O,O,X,O,X,O,X,X,X,X
TJILSZO,X,O,X,X,X,X,O,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,O,X,X,X
TJILZSO,X,O,X,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X,O,X,X,X
TJILOZS,X,X,X,O,X,X,O,X,X,X,X,X
TJISLZO,O,O,X,X,X,X,O,X,X,X,X,O
TJISLOZ,X,O,X,X,O,X,X,X,O,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X,X,X,O
TJISZOL,O,O,X,O,X,X,X,X,O,X,X,O
TJISOLZ,O,O,X,O,O,X,X,X,O,X,X,X
TJISOZL,O,X,X,O,O,X,X,X,O,X,X,O
TJIZLSO,O,O,X,X,X,X,O,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,O,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X,X,X,O
TJIZSOL,O,O,X,O,X,X,X,X,X,X,X,O
