sequence,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeF7IvhFicBflB?5lBcmBTiBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeR7IvhFzcBflB?lgBSnB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?xqB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBlgB?UiB/qBTmBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBXgB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFCcB/iB?0hBRlBlqBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFzbBUdB?1mBxqB/qBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBylB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBUdB?XgB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFicBUlB?/rB5lBGsBFsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?ylB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFRcBUhB?FlBCrBXsBGsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBFlB?xmBCrB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFlcBKmB?UlB5lBGsBXsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez8IvhFRgBSnB?flBlgB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFxgBTiB?3gB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBRlB?CnBlqB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez/IvhFRhBSnB?uqBFlB/rBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFUdBxgB?3gB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeq/IvhFRcBlgB?cmBTiB/qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBTiB?xqB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBSnB?TlB/rBlqBUsB
ISOLJZT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLSJO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLOS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZTJSLO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJSOL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IZLJTSO,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZLJTOS,X,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLJOST,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLSTJO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLOSJT,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJTLSO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJTSLO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLOST,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOLST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJLST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X
IOTLJZS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X
IOTLSJZ,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X
IOTLSZJ,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X
IOTLZJS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X
IOTLZSJ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X
IOTJLSZ,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X
IOTJLZS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X
IOTJSLZ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSZL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTJZSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLZJ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJZL,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTZLSJ,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTZJLS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTZJSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IOLTJZS,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IOLTSJZ,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X
IOLTSZJ,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IOLTZJS,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X
IOLTZSJ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IOLJTSZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IOLJTZS,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IOLJSTZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJSZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLSTZJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLZTSJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLZJTS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZJST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IOJTLZS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IOJTSLZ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTSZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJTZSL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IOJLTZS,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IOJLSTZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSTZL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJSLZT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJZTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTLZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJZL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSLJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLJZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJTZL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSJLZT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZTLSJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZTJLS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZTJSL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOZLTSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOZLJTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
