sequence,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBlmBcs?BCsB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhFXdBTeBifB+nBlm?B0rB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhF0cBTeBifB+nBlm?BXsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBFiBSs?B0rB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB0cBSjBxmBln?BzrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB5iBTeB0mBas?BlrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBlcBTeBxmBCs?BcsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBViBTeBxmBSs?B0rB
TZJOISL,O,X,X,X,X,O,X,X
TZJOLIS,O,O,O,X,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X,X
TZJOSIL,O,X,X,X,X,O,X,X
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,X,X,X,O,O,X,X
TZSILOJ,O,X,X,X,X,O,X,X
TZSIJLO,O,X,X,X,O,O,X,X
TZSIJOL,O,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,X,X,O,X,X
TZSIOJL,O,X,X,X,X,O,X,X
TZSLIJO,O,X,O,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,X,X,X
TZSLJIO,O,X,O,X,O,X,X,X
TZSLJOI,O,X,O,X,O,X,X,X
TZSLOIJ,O,X,X,X,X,X,X,X
TZSLOJI,O,X,X,X,X,X,X,X
TZSJILO,O,X,X,X,O,O,X,X
TZSJIOL,O,X,X,X,X,O,X,X
TZSJLIO,O,X,O,X,O,X,X,X
TZSJLOI,O,X,O,X,O,X,X,X
TZSJOIL,O,X,X,X,X,O,X,X
TZSJOLI,O,X,O,X,X,X,X,X
TZSOILJ,O,X,X,X,X,O,X,X
TZSOIJL,O,X,X,X,X,O,X,X
TZSOLIJ,O,X,X,X,X,X,X,X
TZSOLJI,O,X,X,X,X,X,X,X
TZSOJIL,O,X,X,X,X,O,X,X
TZSOJLI,O,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,X,O,X,X
TZOILSJ,O,X,X,X,X,O,X,X
TZOIJLS,O,X,X,X,X,O,X,X
TZOIJSL,O,X,X,X,X,O,X,X
TZOISLJ,O,X,X,X,X,O,X,X
TZOISJL,O,X,X,X,X,O,X,X
TZOLIJS,O,X,O,X,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,X
TZOLJIS,O,X,O,X,X,X,X,X
TZOLJSI,O,X,O,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X
TZOJILS,O,X,O,X,X,O,X,X
TZOJISL,O,X,X,X,X,O,X,X
TZOJLIS,O,X,O,X,X,X,X,X
TZOJLSI,O,X,O,X,X,X,X,X
TZOJSIL,O,X,X,X,X,O,X,X
TZOJSLI,O,X,O,X,X,X,X,X
TZOSILJ,O,X,X,X,X,O,X,X
TZOSIJL,O,X,X,X,X,O,X,X
TZOSLIJ,O,X,X,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X,X,X
TZOSJIL,O,X,X,X,X,O,X,X
TZOSJLI,O,X,X,X,X,X,X,X
TOILJSZ,X,X,X,X,O,X,X,O
TOILJZS,X,X,X,X,O,X,X,X
TOILSJZ,X,X,X,X,O,X,X,O
TOILSZJ,X,X,X,X,O,X,X,X
TOILZJS,X,X,X,X,O,X,X,X
TOILZSJ,X,X,X,X,O,X,X,X
TOIJLSZ,X,X,X,X,O,X,O,O
TOIJLZS,X,X,X,X,O,X,O,X
TOIJSLZ,X,X,X,O,O,X,O,O
TOIJSZL,O,X,X,X,O,O,X,O
TOIJZLS,X,X,X,X,O,O,X,X
TOIJZSL,X,X,X,X,O,O,X,O
TOISLJZ,X,X,X,X,O,X,X,O
TOISLZJ,X,X,X,X,O,X,X,X
TOISJLZ,X,X,X,O,O,X,O,O
TOISJZL,O,X,X,X,O,O,X,O
TOISZLJ,X,X,X,X,O,O,X,X
TOISZJL,X,X,X,X,O,O,X,O
TOIZLJS,X,X,X,X,O,O,X,X
TOIZLSJ,X,X,X,X,O,O,X,X
TOIZJLS,X,X,X,X,O,O,X,X
TOIZJSL,X,X,X,X,O,O,X,O
TOIZSLJ,X,X,X,X,O,O,X,X
TOIZSJL,X,X,X,X,O,O,X,O
TOLIJSZ,X,O,O,O,X,X,O,X
TOLIJZS,X,O,O,O,X,X,O,X
TOLISJZ,X,X,X,O,X,X,O,X
TOLISZJ,X,X,X,O,X,X,X,X
TOLIZJS,X,X,O,O,X,X,X,X
TOLIZSJ,X,X,X,O,X,X,X,X
TOLJISZ,X,O,O,O,X,X,O,X
TOLJIZS,X,O,O,O,X,X,O,X
TOLJSIZ,X,O,O,O,X,X,O,X
TOLJSZI,X,O,O,O,O,X,X,X
TOLJZIS,X,O,O,O,X,X,X,X
TOLJZSI,X,O,O,O,O,X,X,X
TOLSIJZ,X,X,X,O,X,X,O,X
TOLSIZJ,X,X,X,O,X,X,X,X
TOLSJIZ,X,X,X,O,X,X,O,X
TOLSJZI,X,X,X,O,O,X,X,X
TOLSZIJ,X,X,X,O,X,X,X,X
TOLSZJI,X,X,X,O,O,X,X,X
TOLZIJS,X,X,O,O,X,X,X,X
TOLZISJ,X,X,X,O,X,X,X,X
TOLZJIS,X,X,O,O,X,X,X,X
TOLZJSI,X,X,O,O,O,X,X,X
TOLZSIJ,X,X,X,O,X,X,X,X
TOLZSJI,X,X,X,O,O,X,X,X
TOJILSZ,X,O,O,X,O,X,O,X
TOJILZS,X,O,O,X,O,X,O,X
TOJISLZ,X,O,X,O,O,X,O,X
TOJISZL,O,X,X,X,O,O,X,X
TOJIZLS,X,X,O,X,O,O,X,X
TOJIZSL,X,X,X,X,O,O,X,X
TOJLISZ,X,O,O,O,X,X,O,X
TOJLIZS,X,O,O,O,X,X,O,X
TOJLSIZ,X,O,O,O,X,X,O,X
TOJLSZI,X,O,O,O,O,X,X,X
TOJLZIS,X,O,O,O,X,X,X,X
TOJLZSI,X,O,O,O,O,X,X,X
TOJSILZ,X,O,X,O,O,X,O,X
TOJSIZL,O,X,X,X,O,O,X,X
TOJSLIZ,X,O,O,O,X,X,O,X
TOJSLZI,X,O,O,O,O,X,X,X
TOJSZIL,O,X,X,X,O,O,X,X
TOJSZLI,O,O,O,X,O,X,X,X
TOJZILS,O,X,O,X,O,O,X,X
TOJZISL,O,X,X,X,O,O,X,X
TOJZLIS,O,O,O,X,X,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X
TOJZSIL,O,X,X,X,O,O,X,X
TOJZSLI,O,O,O,X,O,X,X,X
TOSILJZ,X,X,X,X,O,X,X,O
TOSILZJ,X,X,X,X,O,X,X,X
TOSIJLZ,X,X,X,O,O,X,O,O
TOSIJZL,O,X,X,X,O,O,X,O
TOSIZLJ,X,X,X,X,O,O,X,X
TOSIZJL,X,X,X,X,O,O,X,O
TOSLIJZ,X,X,X,O,X,X,O,X
TOSLIZJ,X,X,X,O,X,X,X,X
TOSLJIZ,X,X,X,O,X,X,O,X
TOSLJZI,X,X,X,O,O,X,X,X
TOSLZIJ,X,X,X,O,X,X,X,X
TOSLZJI,X,X,X,O,O,X,X,X
TOSJILZ,X,X,X,O,O,X,O,X
TOSJIZL,O,X,X,X,O,O,X,X
TOSJLIZ,X,X,X,O,X,X,O,X
TOSJLZI,X,X,X,O,O,X,X,X
TOSJZIL,O,X,X,X,O,O,X,X
TOSJZLI,O,X,X,X,O,X,X,X
TOSZILJ,O,X,X,X,O,O,X,X
TOSZIJL,O,X,X,X,O,O,X,X
TOSZLIJ,O,X,X,X,X,X,X,X
TOSZLJI,O,X,X,X,O,X,X,X
TOSZJIL,O,X,X,X,O,O,X,X
TOSZJLI,O,X,X,X,O,X,X,X
TOZILJS,O,X,X,X,O,O,X,X
TOZILSJ,O,X,X,X,O,O,X,X
TOZIJLS,O,X,X,X,O,O,X,X
TOZIJSL,O,X,X,X,O,O,X,X
TOZISLJ,O,X,X,X,O,O,X,X
TOZISJL,O,X,X,X,O,O,X,X
TOZLIJS,O,X,O,X,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,X,X,X,X,X
TOZLJSI,O,X,O,X,O,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X
TOZLSJI,O,X,X,X,O,X,X,X
TOZJILS,O,X,O,X,O,O,X,X
TOZJISL,O,X,X,X,O,O,X,X
TOZJLIS,O,X,O,X,X,X,X,X
TOZJLSI,O,X,O,X,O,X,X,X
TOZJSIL,O,X,X,X,O,O,X,X
TOZJSLI,O,X,O,X,O,X,X,X
TOZSILJ,O,X,X,X,O,O,X,X
TOZSIJL,O,X,X,X,O,O,X,X
TOZSLIJ,O,X,X,X,X,X,X,X
TOZSLJI,O,X,X,X,O,X,X,X
TOZSJIL,O,X,X,X,O,O,X,X
TOZSJLI,O,X,X,X,O,X,X,X
ITLJSZO,X,O,O,X,O,X,X,X
ITLJSOZ,X,O,O,O,O,X,X,O
ITLJZSO,X,O,O,X,O,X,X,X
ITLJZOS,X,O,O,X,X,X,X,X
ITLJOSZ,X,O,O,O,O,X,X,O
ITLJOZS,X,O,O,X,O,X,X,X
ITLSJZO,X,O,O,X,O,X,X,X
ITLSJOZ,X,O,O,O,O,X,X,O
ITLSZJO,X,X,O,X,O,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,X
ITLSOJZ,X,X,X,O,X,X,X,O
ITLSOZJ,X,X,X,X,X,X,X,X
ITLZJSO,X,O,O,X,O,X,X,X
ITLZJOS,X,O,O,X,X,X,X,X
ITLZSJO,X,X,O,X,O,X,X,X
ITLZSOJ,X,X,X,X,X,X,X,X
ITLZOJS,X,X,O,X,X,X,X,X
ITLZOSJ,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,O,O,X,X,X,O
ITLOJZS,X,O,O,X,X,X,X,X
ITLOSJZ,X,X,X,O,X,X,X,O
ITLOSZJ,X,X,X,X,X,X,X,X
ITLOZJS,X,X,O,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,X
ITJLSZO,X,O,O,X,O,X,O,X
ITJLSOZ,X,O,O,O,O,X,O,O
ITJLZSO,X,O,O,X,O,X,O,X
ITJLZOS,X,O,O,X,X,X,O,X
ITJLOSZ,X,O,O,O,O,X,O,O
ITJLOZS,X,O,O,X,O,X,O,X
ITJSLZO,X,O,X,X,O,X,O,X
ITJSLOZ,X,O,X,O,O,X,O,O
ITJSZLO,X,X,X,X,O,O,X,X
ITJSZOL,X,X,X,X,X,O,X,O
ITJSOLZ,X,O,X,O,O,X,O,O
ITJSOZL,O,X,X,X,O,O,X,O
ITJZLSO,X,X,O,X,O,O,X,X
ITJZLOS,X,X,O,X,X,O,X,X
ITJZSLO,X,X,X,X,O,O,X,X
ITJZSOL,X,X,X,X,X,O,X,O
ITJZOLS,X,X,O,X,X,O,X,X
ITJZOSL,X,X,X,X,X,O,X,O
ITJOLSZ,X,O,O,X,O,X,O,O
ITJOLZS,X,O,O,X,O,X,O,X
ITJOSLZ,X,O,X,O,O,X,O,O
ITJOSZL,O,X,X,X,O,O,X,O
ITJOZLS,X,X,O,X,O,O,X,X
ITJOZSL,X,X,X,X,O,O,X,O
ITSLJZO,X,X,X,X,O,X,X,X
ITSLJOZ,X,X,X,O,O,X,X,O
ITSLZJO,X,X,X,X,O,X,X,X
ITSLZOJ,X,X,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,O
ITSLOZJ,X,X,X,X,X,X,X,X
ITSJLZO,X,X,X,X,O,X,O,X
ITSJLOZ,X,X,X,O,O,X,O,O
ITSJZLO,X,X,X,X,O,O,X,X
ITSJZOL,X,X,X,X,X,O,X,O
ITSJOLZ,X,X,X,O,O,X,O,O
ITSJOZL,O,X,X,X,O,O,X,O
ITSZLJO,X,X,X,X,O,O,X,X
ITSZLOJ,X,X,X,X,X,O,X,X
ITSZJLO,X,X,X,X,O,O,X,X
ITSZJOL,X,X,X,X,X,O,X,O
ITSZOLJ,X,X,X,X,X,O,X,X
ITSZOJL,X,X,X,X,X,O,X,O
ITSOLJZ,X,X,X,X,X,X,X,O
ITSOLZJ,X,X,X,X,X,X,X,X
ITSOJLZ,X,X,X,O,X,X,O,O
ITSOJZL,O,X,X,X,X,O,X,O
ITSOZLJ,X,X,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,O,X,O
ITZLJSO,X,X,O,X,O,O,X,X
ITZLJOS,X,X,O,X,X,O,X,X
ITZLSJO,X,X,O,X,O,O,X,X
ITZLSOJ,X,X,X,X,X,O,X,X
ITZLOJS,X,X,O,X,X,O,X,X
ITZLOSJ,X,X,X,X,X,O,X,X
ITZJLSO,X,X,O,X,O,O,X,X
ITZJLOS,X,X,O,X,X,O,X,X
ITZJSLO,X,X,X,X,O,O,X,X
ITZJSOL,X,X,X,X,X,O,X,O
ITZJOLS,X,X,O,X,X,O,X,X
ITZJOSL,X,X,X,X,X,O,X,O
ITZSLJO,X,X,X,X,O,O,X,X
ITZSLOJ,X,X,X,X,X,O,X,X
ITZSJLO,X,X,X,X,O,O,X,X
ITZSJOL,X,X,X,X,X,O,X,O
ITZSOLJ,X,X,X,X,X,O,X,X
ITZSOJL,X,X,X,X,X,O,X,O
ITZOLJS,X,X,X,X,X,O,X,X
ITZOLSJ,X,X,X,X,X,O,X,X
ITZOJLS,X,X,X,X,X,O,X,X
ITZOJSL,X,X,X,X,X,O,X,O
ITZOSLJ,X,X,X,X,X,O,X,X
ITZOSJL,X,X,X,X,X,O,X,O
ITOLJSZ,X,X,X,X,X,X,X,O
ITOLJZS,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,O
ITOLSZJ,X,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,X,X,O,O
ITOJLZS,X,X,X,X,X,X,O,X
ITOJSLZ,X,X,X,O,X,X,O,O
ITOJSZL,O,X,X,X,X,O,X,O
ITOJZLS,X,X,X,X,X,O,X,X
ITOJZSL,X,X,X,X,X,O,X,O
ITOSLJZ,X,X,X,X,X,X,X,O
ITOSLZJ,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,O,X,X,O,O
ITOSJZL,O,X,X,X,X,O,X,O
ITOSZLJ,X,X,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,X,O
ITOZLJS,X,X,X,X,X,O,X,X
ITOZLSJ,X,X,X,X,X,O,X,X
ITOZJLS,X,X,X,X,X,O,X,X
ITOZJSL,X,X,X,X,X,O,X,O
ITOZSLJ,X,X,X,X,X,O,X,X
ITOZSJL,X,X,X,X,X,O,X,O
ILTJSZO,X,O,O,O,O,X,O,X
ILTJSOZ,X,O,O,O,O,X,O,O
ILTJZSO,X,O,O,O,O,X,O,X
ILTJZOS,X,O,O,O,X,X,O,X
ILTJOSZ,X,O,O,O,O,X,O,O
ILTJOZS,X,O,O,O,O,X,O,X
ILTSJZO,X,O,O,O,O,X,O,X
ILTSJOZ,X,O,O,O,O,X,O,O
ILTSZJO,X,X,O,O,O,X,X,X
ILTSZOJ,X,X,X,O,X,X,X,X
ILTSOJZ,X,X,X,O,X,X,O,O
ILTSOZJ,X,X,X,O,X,X,X,X
ILTZJSO,X,O,O,O,O,X,X,X
ILTZJOS,X,O,O,O,X,X,X,X
ILTZSJO,X,X,O,O,O,X,X,X
ILTZSOJ,X,X,X,O,X,X,X,X
ILTZOJS,X,X,O,O,X,X,X,X
ILTZOSJ,X,X,X,O,X,X,X,X
ILTOJSZ,X,O,O,O,X,X,O,O
ILTOJZS,X,O,O,O,X,X,O,X
ILTOSJZ,X,X,X,O,X,X,O,O
ILTOSZJ,X,X,X,O,X,X,X,X
ILTOZJS,X,X,O,O,X,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,X
ILJTSZO,X,O,O,O,O,X,O,X
ILJTSOZ,X,O,O,O,O,X,O,X
ILJTZSO,X,O,O,O,O,X,O,X
ILJTZOS,X,O,O,O,X,X,O,X
ILJTOSZ,X,O,O,O,O,X,O,X
ILJTOZS,X,O,O,O,O,X,O,X
ILJSTZO,X,O,O,O,O,X,O,X
ILJSTOZ,X,O,O,O,O,X,O,X
ILJSZTO,X,X,X,O,O,O,O,X
ILJSZOT,X,O,X,O,O,O,O,X
ILJSOTZ,X,O,O,O,O,X,O,X
ILJSOZT,O,O,X,O,O,O,O,X
ILJZTSO,X,O,O,O,O,O,O,X
ILJZTOS,X,O,O,O,X,O,O,X
ILJZSTO,X,X,X,O,O,O,O,X
ILJZSOT,X,O,X,O,O,O,O,X
ILJZOTS,X,O,O,O,O,O,O,X
ILJZOST,X,O,X,O,O,O,O,X
ILJOTSZ,X,O,O,O,O,X,O,X
ILJOTZS,X,O,O,O,O,X,O,X
ILJOSTZ,X,O,O,O,O,X,O,X
ILJOSZT,O,O,X,O,O,O,O,X
ILJOZTS,X,O,O,O,O,O,O,X
ILJOZST,X,O,X,O,O,O,O,X
ILSTJZO,X,O,O,O,O,X,O,X
ILSTJOZ,X,O,O,O,O,X,O,O
ILSTZJO,X,X,O,O,O,X,X,X
ILSTZOJ,X,X,X,O,X,X,X,X
ILSTOJZ,X,X,X,O,X,X,O,O
ILSTOZJ,X,X,X,O,X,X,X,X
ILSJTZO,X,O,O,O,O,X,O,X
ILSJTOZ,X,O,O,O,O,X,O,X
ILSJZTO,X,X,X,O,O,O,O,X
ILSJZOT,X,O,X,O,O,O,O,X
ILSJOTZ,X,O,O,O,O,X,O,X
ILSJOZT,O,O,X,O,O,O,O,X
ILSZTJO,X,X,X,O,O,O,X,X
ILSZTOJ,X,X,X,O,X,O,X,X
ILSZJTO,X,X,X,O,O,O,O,X
ILSZJOT,X,X,X,O,O,O,O,X
ILSZOTJ,X,X,X,O,X,O,X,X
ILSZOJT,X,X,X,O,O,O,O,X
ILSOTJZ,X,X,X,O,X,X,O,O
ILSOTZJ,X,X,X,O,X,X,X,X
ILSOJTZ,X,O,O,O,O,X,O,X
ILSOJZT,O,O,X,O,O,O,O,X
ILSOZTJ,X,X,X,O,X,O,X,X
ILSOZJT,X,X,X,O,O,O,O,X
ILZTJSO,X,O,O,O,O,O,X,X
ILZTJOS,X,O,O,O,X,O,X,X
ILZTSJO,X,X,O,O,O,O,X,X
ILZTSOJ,X,X,X,O,X,O,X,X
ILZTOJS,X,X,O,O,X,O,X,X
ILZTOSJ,X,X,X,O,X,O,X,X
ILZJTSO,X,O,O,O,O,O,O,X
ILZJTOS,X,O,O,O,X,O,O,X
ILZJSTO,X,X,X,O,O,O,O,X
ILZJSOT,X,O,X,O,O,O,O,X
ILZJOTS,X,O,O,O,O,O,O,X
ILZJOST,X,O,X,O,O,O,O,X
ILZSTJO,X,X,X,O,O,O,X,X
ILZSTOJ,X,X,X,O,X,O,X,X
ILZSJTO,X,X,X,O,O,O,O,X
ILZSJOT,X,X,X,O,O,O,O,X
ILZSOTJ,X,X,X,O,X,O,X,X
ILZSOJT,X,X,X,O,O,O,O,X
ILZOTJS,X,X,X,O,X,O,X,X
ILZOTSJ,X,X,X,O,X,O,X,X
ILZOJTS,X,O,O,O,X,O,O,X
ILZOJST,X,O,X,O,O,O,O,X
ILZOSTJ,X,X,X,O,X,O,X,X
ILZOSJT,X,X,X,O,O,O,O,X
ILOTJSZ,X,O,O,O,X,X,O,O
ILOTJZS,X,O,O,O,X,X,O,X
ILOTSJZ,X,X,X,O,X,X,O,O
ILOTSZJ,X,X,X,O,X,X,X,X
ILOTZJS,X,X,O,O,X,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X
ILOJTSZ,X,O,O,O,O,X,O,X
ILOJTZS,X,O,O,O,O,X,O,X
ILOJSTZ,X,O,O,O,O,X,O,X
ILOJSZT,O,O,X,O,O,O,O,X
ILOJZTS,X,O,O,O,O,O,O,X
ILOJZST,X,O,X,O,O,O,O,X
ILOSTJZ,X,X,X,O,X,X,O,O
ILOSTZJ,X,X,X,O,X,X,X,X
ILOSJTZ,X,O,O,O,O,X,O,X
ILOSJZT,O,O,X,O,O,O,O,X
ILOSZTJ,X,X,X,O,X,O,X,X
ILOSZJT,X,X,X,O,O,O,O,X
ILOZTJS,X,X,X,O,X,O,X,X
ILOZTSJ,X,X,X,O,X,O,X,X
ILOZJTS,X,O,O,O,X,O,O,X
ILOZJST,X,O,X,O,O,O,O,X
ILOZSTJ,X,X,X,O,X,O,X,X
ILOZSJT,X,X,X,O,O,O,O,X
IJTLSZO,X,O,O,X,O,X,O,X
IJTLSOZ,X,O,O,O,O,X,O,O
IJTLZSO,X,O,O,X,O,X,O,X
IJTLZOS,X,O,O,X,X,X,O,X
IJTLOSZ,X,O,O,O,O,X,O,O
IJTLOZS,X,O,O,X,O,X,O,X
IJTSLZO,X,O,X,X,O,X,O,X
IJTSLOZ,X,O,X,O,O,X,O,O
IJTSZLO,X,X,X,X,O,O,X,X
IJTSZOL,X,X,X,X,X,O,X,O
IJTSOLZ,X,O,X,O,O,X,O,O
IJTSOZL,O,X,X,X,O,O,X,O
IJTZLSO,X,X,O,X,O,O,X,X
IJTZLOS,X,X,O,X,X,O,X,X
IJTZSLO,X,X,X,X,O,O,X,X
IJTZSOL,X,X,X,X,X,O,X,O
IJTZOLS,X,X,O,X,X,O,X,X
IJTZOSL,X,X,X,X,X,O,X,O
IJTOLSZ,X,O,O,X,O,X,O,O
IJTOLZS,X,O,O,X,O,X,O,X
IJTOSLZ,X,O,X,O,O,X,O,O
IJTOSZL,O,X,X,X,O,O,X,O
IJTOZLS,X,X,O,X,O,O,X,X
IJTOZSL,X,X,X,X,O,O,X,O
IJLTSZO,X,O,O,O,O,X,O,X
IJLTSOZ,X,O,O,O,O,X,O,X
IJLTZSO,X,O,O,O,O,X,O,X
IJLTZOS,X,O,O,O,X,X,O,X
IJLTOSZ,X,O,O,O,O,X,O,X
IJLTOZS,X,O,O,O,O,X,O,X
IJLSTZO,X,O,O,O,O,X,O,X
IJLSTOZ,X,O,O,O,O,X,O,X
IJLSZTO,X,X,X,O,O,O,O,X
IJLSZOT,X,O,X,O,O,O,O,X
IJLSOTZ,X,O,O,O,O,X,O,X
IJLSOZT,O,O,X,O,O,O,O,X
IJLZTSO,X,O,O,O,O,O,O,X
IJLZTOS,X,O,O,O,X,O,O,X
IJLZSTO,X,X,X,O,O,O,O,X
IJLZSOT,X,O,X,O,O,O,O,X
IJLZOTS,X,O,O,O,O,O,O,X
IJLZOST,X,O,X,O,O,O,O,X
IJLOTSZ,X,O,O,O,O,X,O,X
IJLOTZS,X,O,O,O,O,X,O,X
IJLOSTZ,X,O,O,O,O,X,O,X
IJLOSZT,O,O,X,O,O,O,O,X
IJLOZTS,X,O,O,O,O,O,O,X
IJLOZST,X,O,X,O,O,O,O,X
IJSTLZO,X,X,X,X,O,X,O,X
IJSTLOZ,X,X,X,O,O,X,O,O
IJSTZLO,X,X,X,X,O,O,X,X
IJSTZOL,X,X,X,X,X,O,X,O
IJSTOLZ,X,X,X,O,O,X,O,O
IJSTOZL,O,X,X,X,O,O,X,O
IJSLTZO,X,X,X,O,O,X,O,X
IJSLTOZ,X,O,X,O,O,X,O,X
IJSLZTO,X,X,X,O,O,O,O,X
IJSLZOT,X,O,X,O,O,O,O,X
IJSLOTZ,X,O,X,O,O,X,O,X
IJSLOZT,O,O,X,O,O,O,O,X
IJSZTLO,O,X,X,X,O,O,X,X
IJSZTOL,O,X,X,X,X,O,X,X
IJSZLTO,X,X,X,X,O,O,O,X
IJSZLOT,O,X,X,O,O,O,O,X
IJSZOTL,O,X,X,X,O,O,X,X
IJSZOLT,O,X,X,O,O,O,O,X
IJSOTLZ,X,X,X,O,O,X,O,O
IJSOTZL,O,X,X,X,O,O,X,O
IJSOLTZ,X,O,X,O,O,X,O,X
IJSOLZT,O,O,X,O,O,O,O,X
IJSOZTL,O,X,X,X,O,O,X,X
IJSOZLT,O,X,X,O,O,O,O,X
IJZTLSO,O,X,X,X,O,O,X,X
IJZTLOS,O,X,X,X,X,O,X,X
IJZTSLO,O,X,X,X,O,O,X,X
IJZTSOL,O,X,X,X,X,O,X,X
IJZTOLS,O,X,X,X,X,O,X,X
IJZTOSL,O,X,X,X,X,O,X,X
IJZLTSO,X,X,X,X,O,O,O,X
IJZLTOS,X,X,X,X,X,O,O,X
IJZLSTO,X,X,X,X,O,O,O,X
IJZLSOT,O,X,X,O,O,O,O,X
IJZLOTS,X,X,X,X,O,O,O,X
IJZLOST,O,X,X,O,O,O,O,X
IJZSTLO,O,X,X,X,O,O,X,X
IJZSTOL,O,X,X,X,X,O,X,X
IJZSLTO,X,X,X,X,O,O,O,X
IJZSLOT,O,X,X,O,O,O,O,X
IJZSOTL,O,X,X,X,O,O,X,X
IJZSOLT,O,X,X,O,O,O,O,X
IJZOTLS,O,X,X,X,O,O,X,X
IJZOTSL,O,X,X,X,O,O,X,X
IJZOLTS,X,X,X,X,O,O,O,X
IJZOLST,O,X,X,X,O,O,O,X
IJZOSTL,O,X,X,X,O,O,X,X
IJZOSLT,O,X,X,O,O,O,O,X
IJOTLSZ,X,O,O,X,O,X,O,O
IJOTLZS,X,O,O,X,O,X,O,X
IJOTSLZ,X,O,X,O,O,X,O,O
IJOTSZL,O,X,X,X,O,O,X,O
IJOTZLS,X,X,O,X,O,O,X,X
IJOTZSL,X,X,X,X,O,O,X,O
IJOLTSZ,X,O,O,O,O,X,O,X
IJOLTZS,X,O,O,O,O,X,O,X
IJOLSTZ,X,O,O,O,O,X,O,X
IJOLSZT,O,O,X,O,O,O,O,X
IJOLZTS,X,O,O,O,O,O,O,X
IJOLZST,X,O,X,O,O,O,O,X
IJOSTLZ,X,X,X,O,O,X,O,O
IJOSTZL,O,X,X,X,O,O,X,O
IJOSLTZ,X,O,X,O,O,X,O,X
IJOSLZT,O,O,X,O,O,O,O,X
IJOSZTL,O,X,X,X,O,O,X,X
IJOSZLT,O,X,X,O,O,O,O,X
IJOZTLS,O,X,X,X,O,O,X,X
IJOZTSL,O,X,X,X,O,O,X,X
IJOZLTS,X,X,X,X,O,O,O,X
IJOZLST,O,X,X,X,O,O,O,X
IJOZSTL,O,X,X,X,O,O,X,X
IJOZSLT,O,X,X,O,O,O,O,X
ISTLJZO,X,X,X,X,O,X,X,X
ISTLJOZ,X,X,X,O,O,X,X,O
ISTLZJO,X,X,X,X,O,X,X,X
ISTLZOJ,X,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,O
ISTLOZJ,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,O,X,O,X
ISTJLOZ,X,X,X,O,O,X,O,O
ISTJZLO,X,X,X,X,O,O,X,X
ISTJZOL,X,X,X,X,X,O,X,O
ISTJOLZ,X,X,X,O,O,X,O,O
ISTJOZL,O,X,X,X,O,O,X,O
ISTZLJO,X,X,X,X,O,O,X,X
ISTZLOJ,X,X,X,X,X,O,X,X
ISTZJLO,X,X,X,X,O,O,X,X
ISTZJOL,X,X,X,X,X,O,X,O
ISTZOLJ,X,X,X,X,X,O,X,X
ISTZOJL,X,X,X,X,X,O,X,O
ISTOLJZ,X,X,X,X,X,X,X,O
ISTOLZJ,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,X,O,O
ISTOJZL,O,X,X,X,X,O,X,O
ISTOZLJ,X,X,X,X,X,O,X,X
ISTOZJL,X,X,X,X,X,O,X,O
ISLTJZO,X,X,X,O,O,X,O,X
ISLTJOZ,X,X,X,O,O,X,O,O
ISLTZJO,X,X,X,O,O,X,X,X
