sequence,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?iBlmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBmdBxhBl?mB3nB0rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBxcBejBS?mBVsBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBRdBmiBl?mBcsB/rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?mBlnBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFlbBajBxhBU?iBGmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBSiBejBR?mBlmBXsB
IZTJOLS,O,X,O,O,O,X,X
IZTJOSL,O,X,O,X,O,X,O
IZTSLJO,X,X,X,X,O,X,X
IZTSLOJ,X,X,X,X,O,X,X
IZTSJLO,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,O,X,X
IZTSOLJ,X,X,X,X,O,X,X
IZTSOJL,O,X,O,X,O,X,X
IZTOLJS,O,X,O,O,O,X,X
IZTOLSJ,O,X,O,X,O,X,X
IZTOJLS,O,X,O,O,O,X,X
IZTOJSL,O,X,O,X,O,X,O
IZTOSLJ,X,X,X,X,O,X,X
IZTOSJL,O,X,O,X,O,X,X
IZLTJSO,O,X,O,O,O,X,X
IZLTJOS,O,X,O,O,O,X,X
IZLTSJO,O,X,O,X,O,X,X
IZLTSOJ,O,X,O,X,O,X,X
IZLTOJS,O,X,O,O,O,X,X
IZLTOSJ,O,X,O,X,O,X,X
IZLJTSO,X,X,X,O,O,X,X
IZLJTOS,O,X,X,O,O,X,X
IZLJSTO,X,X,X,X,X,X,O
IZLJSOT,O,X,X,X,X,X,O
IZLJOTS,O,X,O,O,O,X,X
IZLJOST,O,X,X,X,X,X,O
IZLSTJO,O,X,X,X,O,X,X
IZLSTOJ,O,X,X,X,O,X,X
IZLSJTO,O,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X
IZLSOJT,O,X,X,X,X,X,X
IZLOTJS,O,X,O,O,O,X,X
IZLOTSJ,O,X,O,X,O,X,X
IZLOJTS,O,X,O,O,O,X,X
IZLOJST,O,X,X,X,X,X,O
IZLOSTJ,O,X,X,X,O,X,X
IZLOSJT,O,X,X,X,X,X,X
IZJTLSO,O,X,O,O,O,X,X
IZJTLOS,O,X,O,O,O,X,X
IZJTSLO,X,X,X,X,X,X,O
IZJTSOL,O,X,O,X,O,X,O
IZJTOLS,O,X,O,O,O,X,X
IZJTOSL,O,X,O,X,O,X,O
IZJLTSO,X,X,X,O,O,X,X
IZJLTOS,O,X,X,O,O,X,X
IZJLSTO,X,X,X,X,X,X,O
IZJLSOT,O,X,X,X,X,X,O
IZJLOTS,O,X,O,O,O,X,O
IZJLOST,O,X,X,X,X,X,O
IZJSTLO,O,X,X,X,X,X,O
IZJSTOL,O,X,X,X,X,X,O
IZJSLTO,O,X,X,X,X,X,O
IZJSLOT,O,X,X,X,X,X,O
IZJSOTL,O,X,O,X,X,X,O
IZJSOLT,O,X,X,X,X,X,O
IZJOTLS,O,X,O,O,O,X,X
IZJOTSL,O,X,O,X,O,X,O
IZJOLTS,O,X,O,O,O,X,O
IZJOLST,O,X,X,X,X,X,O
IZJOSTL,O,X,O,X,X,X,O
IZJOSLT,O,X,X,X,X,X,O
IZSTLJO,O,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,O,X,X
IZSTJLO,O,X,X,X,X,X,O
IZSTJOL,O,X,X,X,O,X,O
IZSTOLJ,O,X,X,X,O,X,X
IZSTOJL,O,X,X,X,O,X,O
IZSLTJO,O,X,X,X,O,X,X
IZSLTOJ,O,X,X,X,O,X,X
IZSLJTO,O,X,X,X,X,X,O
IZSLJOT,O,X,X,X,X,X,O
IZSLOTJ,O,X,X,X,O,X,X
IZSLOJT,O,X,X,X,X,X,O
IZSJTLO,O,X,X,X,X,X,O
IZSJTOL,O,X,X,X,X,X,O
IZSJLTO,O,X,X,X,X,X,O
IZSJLOT,O,X,X,X,X,X,O
IZSJOTL,O,X,O,X,X,X,O
IZSJOLT,O,X,X,X,X,X,O
IZSOTLJ,O,X,X,X,O,X,X
IZSOTJL,O,X,X,X,O,X,O
IZSOLTJ,O,X,X,X,O,X,X
IZSOLJT,O,X,X,X,X,X,O
IZSOJTL,O,X,O,X,X,X,O
IZSOJLT,O,X,X,X,X,X,O
IZOTLJS,O,X,O,O,O,X,X
IZOTLSJ,O,X,O,X,O,X,X
IZOTJLS,O,X,O,O,O,X,X
IZOTJSL,O,X,O,X,O,X,O
IZOTSLJ,X,X,X,X,O,X,X
IZOTSJL,O,X,O,X,O,X,X
IZOLTJS,O,X,O,O,O,X,X
IZOLTSJ,O,X,O,X,O,X,X
IZOLJTS,O,X,O,O,O,X,X
IZOLJST,O,X,X,X,X,X,O
IZOLSTJ,O,X,X,X,O,X,X
IZOLSJT,O,X,X,X,X,X,X
IZOJTLS,O,X,O,O,O,X,X
IZOJTSL,O,X,O,X,O,X,O
IZOJLTS,O,X,O,O,O,X,O
IZOJLST,O,X,X,X,X,X,O
IZOJSTL,O,X,O,X,X,X,O
IZOJSLT,O,X,X,X,X,X,O
IZOSTLJ,O,X,X,X,O,X,X
IZOSTJL,O,X,X,X,O,X,O
IZOSLTJ,O,X,X,X,O,X,X
IZOSLJT,O,X,X,X,X,X,O
IZOSJTL,O,X,O,X,X,X,O
IZOSJLT,O,X,X,X,X,X,O
IOTLJSZ,X,X,O,X,X,O,X
IOTLJZS,O,X,O,X,O,O,X
IOTLSJZ,X,O,O,X,X,X,X
IOTLSZJ,O,O,O,X,X,X,X
IOTLZJS,O,X,O,X,O,X,X
IOTLZSJ,O,X,O,X,O,X,X
IOTJLSZ,X,X,O,X,X,O,X
IOTJLZS,O,X,O,X,O,O,X
IOTJSLZ,X,X,X,X,X,O,O
IOTJSZL,X,X,X,X,O,X,O
IOTJZLS,O,X,O,X,O,O,X
IOTJZSL,O,X,O,X,O,X,O
IOTSLJZ,O,O,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X
IOTSJZL,O,O,X,X,O,X,X
IOTSZLJ,O,O,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X
IOTZLSJ,O,X,O,X,O,X,X
IOTZJLS,O,X,O,X,O,X,X
IOTZJSL,O,X,O,X,O,X,O
IOTZSLJ,X,X,X,X,O,X,X
IOTZSJL,O,X,O,X,O,X,X
IOLTJSZ,X,X,O,X,X,O,X
IOLTJZS,O,X,O,X,O,O,X
IOLTSJZ,X,O,O,X,X,X,X
IOLTSZJ,O,O,O,X,X,X,X
IOLTZJS,O,X,O,X,O,X,X
IOLTZSJ,O,X,O,X,O,X,X
IOLJTSZ,X,X,X,X,X,O,X
IOLJTZS,O,X,X,X,X,O,X
IOLJSTZ,X,X,X,X,X,O,O
IOLJSZT,O,X,X,X,X,O,O
IOLJZTS,O,X,X,O,O,O,X
IOLJZST,O,X,X,X,X,X,O
IOLSTJZ,O,O,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,O,X
IOLSJZT,O,O,X,X,X,O,X
IOLSZTJ,O,X,X,X,O,X,X
IOLSZJT,O,O,X,X,X,X,X
IOLZTJS,O,X,O,O,O,X,X
IOLZTSJ,O,X,O,X,O,X,X
IOLZJTS,O,X,X,O,O,X,X
IOLZJST,O,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,O,X,X
IOLZSJT,O,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,O,X
IOJTLZS,O,X,O,X,O,O,X
IOJTSLZ,X,X,X,X,X,O,O
IOJTSZL,X,X,X,X,O,X,O
IOJTZLS,O,X,O,X,O,O,X
IOJTZSL,O,X,O,X,O,X,O
IOJLTSZ,X,X,X,X,X,O,X
IOJLTZS,O,X,X,X,X,O,X
IOJLSTZ,X,X,X,X,X,O,O
IOJLSZT,O,X,X,X,X,O,O
IOJLZTS,O,X,X,O,O,O,O
IOJLZST,O,X,X,X,X,X,O
IOJSTLZ,O,X,X,X,X,O,O
IOJSTZL,O,X,X,X,X,X,O
IOJSLTZ,X,X,X,X,X,O,O
IOJSLZT,O,X,X,X,X,X,O
IOJSZTL,O,X,X,X,X,X,O
IOJSZLT,O,X,X,X,X,X,O
IOJZTLS,O,X,O,O,O,O,X
IOJZTSL,O,X,O,X,O,X,O
IOJZLTS,O,X,O,O,O,O,O
IOJZLST,O,X,X,X,X,X,O
IOJZSTL,O,X,O,X,X,X,O
IOJZSLT,O,X,X,X,X,X,O
IOSTLJZ,O,O,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,O
IOSTJZL,O,O,X,X,O,X,O
IOSTZLJ,O,O,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,O
IOSLTJZ,O,O,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,O,O
IOSLJZT,O,O,X,X,X,O,O
IOSLZTJ,O,X,X,X,O,X,X
IOSLZJT,O,O,X,X,X,X,O
IOSJTLZ,O,O,X,X,X,O,O
IOSJTZL,O,O,X,X,X,O,O
IOSJLTZ,X,O,X,X,X,O,O
IOSJLZT,O,O,X,X,X,O,O
IOSJZTL,O,X,X,X,X,O,O
IOSJZLT,O,O,X,X,X,O,O
IOSZTLJ,O,X,X,X,O,X,X
IOSZTJL,O,X,X,X,O,X,O
IOSZLTJ,O,X,X,X,O,X,X
IOSZLJT,O,O,X,X,X,X,O
IOSZJTL,O,X,X,X,X,X,O
IOSZJLT,O,O,X,X,X,X,O
IOZTLJS,O,X,O,O,O,X,X
IOZTLSJ,O,X,O,X,O,X,X
IOZTJLS,O,X,O,O,O,X,X
IOZTJSL,O,X,O,X,O,X,O
IOZTSLJ,X,X,X,X,O,X,X
IOZTSJL,O,X,O,X,O,X,X
IOZLTJS,O,X,O,O,O,X,X
IOZLTSJ,O,X,O,X,O,X,X
IOZLJTS,O,X,O,O,O,X,X
IOZLJST,O,X,X,X,X,X,O
IOZLSTJ,O,X,X,X,O,X,X
IOZLSJT,O,X,X,X,X,X,X
IOZJTLS,O,X,O,O,O,X,X
IOZJTSL,O,X,O,X,O,X,O
IOZJLTS,O,X,O,O,O,X,O
IOZJLST,O,X,X,X,X,X,O
IOZJSTL,O,X,O,X,X,X,O
IOZJSLT,O,X,X,X,X,X,O
IOZSTLJ,O,X,X,X,O,X,X
IOZSTJL,O,X,X,X,O,X,O
IOZSLTJ,O,X,X,X,O,X,X
IOZSLJT,O,X,X,X,X,X,O
IOZSJTL,O,X,O,X,X,X,O
IOZSJLT,O,X,X,X,X,X,O
LTIJSZO,X,X,O,X,X,O,X
LTIJSOZ,X,X,O,X,X,O,X
LTIJZSO,O,X,O,X,X,X,X
LTIJZOS,O,X,O,X,X,O,X
LTIJOSZ,X,X,O,X,X,O,X
LTIJOZS,O,X,O,X,O,O,X
LTISJZO,X,O,O,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X
LTISZJO,O,O,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X
LTISOZJ,O,O,O,X,X,X,X
LTIZJSO,O,X,O,X,O,X,X
LTIZJOS,O,X,O,X,O,X,X
LTIZSJO,O,X,O,X,O,X,X
LTIZSOJ,O,X,O,X,O,X,X
LTIZOJS,O,X,O,X,O,X,X
LTIZOSJ,O,X,O,X,O,X,X
LTIOJSZ,X,X,O,X,X,O,X
LTIOJZS,O,X,O,X,O,O,X
LTIOSJZ,X,O,O,X,X,X,X
LTIOSZJ,O,O,O,X,X,X,X
LTIOZJS,O,X,O,X,O,X,X
LTIOZSJ,O,X,O,X,O,X,X
LTJISZO,X,X,O,X,X,O,X
LTJISOZ,X,X,O,X,X,O,X
LTJIZSO,O,X,O,X,X,X,X
LTJIZOS,O,X,O,X,X,O,X
LTJIOSZ,X,X,O,X,X,O,X
LTJIOZS,O,X,O,X,O,O,X
LTJSIZO,X,O,O,X,X,O,X
LTJSIOZ,X,O,O,X,X,O,X
LTJSZIO,X,O,O,X,X,O,X
LTJSZOI,X,O,O,X,X,O,X
LTJSOIZ,X,O,O,X,X,O,X
LTJSOZI,X,O,O,X,X,O,X
LTJZISO,O,X,O,O,X,X,X
LTJZIOS,O,X,O,O,X,O,X
LTJZSIO,O,X,O,O,X,O,X
LTJZSOI,O,X,O,O,X,O,X
LTJZOIS,O,X,O,O,X,O,X
LTJZOSI,O,X,O,O,X,O,X
LTJOISZ,X,X,O,X,X,O,X
LTJOIZS,O,X,O,X,O,O,X
LTJOSIZ,X,O,O,X,X,O,X
LTJOSZI,X,O,O,X,X,O,X
LTJOZIS,O,X,O,O,X,O,X
LTJOZSI,O,X,O,O,X,O,X
LTSIJZO,X,O,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,X,O,O,X,X,X,X
LTSIOZJ,O,O,O,X,X,X,X
LTSJIZO,X,O,O,X,X,O,X
LTSJIOZ,X,O,O,X,X,O,X
LTSJZIO,X,O,O,X,X,O,X
LTSJZOI,X,O,O,X,X,O,X
LTSJOIZ,X,O,O,X,X,O,X
LTSJOZI,X,O,O,X,X,O,X
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,X
LTSOJIZ,X,O,O,X,X,O,X
LTSOJZI,X,O,O,X,X,O,X
LTSOZIJ,O,O,O,X,X,X,X
LTSOZJI,O,O,O,X,X,X,X
LTZIJSO,O,X,O,O,O,X,X
LTZIJOS,O,X,O,O,O,X,X
LTZISJO,O,X,O,X,O,X,X
LTZISOJ,O,X,O,X,O,X,X
LTZIOJS,O,X,O,O,O,X,X
LTZIOSJ,O,X,O,X,O,X,X
LTZJISO,O,X,O,O,O,X,X
LTZJIOS,O,X,O,O,O,O,X
LTZJSIO,O,X,O,O,O,O,X
LTZJSOI,O,X,O,O,O,O,X
LTZJOIS,O,X,O,O,O,O,X
LTZJOSI,O,X,O,O,O,O,X
LTZSIJO,O,O,O,X,O,X,X
LTZSIOJ,O,O,O,X,O,X,X
LTZSJIO,O,O,O,O,O,X,X
LTZSJOI,O,O,O,O,O,X,X
LTZSOIJ,O,O,O,X,O,X,X
LTZSOJI,O,O,O,O,O,X,X
LTZOIJS,O,X,O,O,O,X,X
LTZOISJ,O,X,O,X,O,X,X
LTZOJIS,O,X,O,O,O,O,X
LTZOJSI,O,X,O,O,O,O,X
LTZOSIJ,O,O,O,X,O,X,X
LTZOSJI,O,O,O,O,O,X,X
LTOIJSZ,X,X,O,X,X,O,X
LTOIJZS,O,X,O,X,O,O,X
LTOISJZ,X,O,O,X,X,X,X
LTOISZJ,O,O,O,X,X,X,X
LTOIZJS,O,X,O,X,O,X,X
LTOIZSJ,O,X,O,X,O,X,X
LTOJISZ,X,X,O,X,X,O,X
LTOJIZS,O,X,O,X,O,O,X
LTOJSIZ,X,O,O,X,X,O,X
LTOJSZI,X,O,O,X,X,O,X
LTOJZIS,O,X,O,O,X,O,X
LTOJZSI,O,X,O,O,X,O,X
LTOSIJZ,X,O,O,X,X,X,X
LTOSIZJ,O,O,O,X,X,X,X
LTOSJIZ,X,O,O,X,X,O,X
LTOSJZI,X,O,O,X,X,O,X
LTOSZIJ,O,O,O,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X
LTOZIJS,O,X,O,O,O,X,X
LTOZISJ,O,X,O,X,O,X,X
LTOZJIS,O,X,O,O,O,O,X
LTOZJSI,O,X,O,O,O,O,X
LTOZSIJ,O,O,O,X,O,X,X
LTOZSJI,O,O,O,O,O,X,X
LITJSZO,X,X,O,X,X,O,X
LITJSOZ,X,X,O,X,X,O,X
LITJZSO,O,X,O,X,X,X,X
LITJZOS,O,X,O,X,X,O,X
LITJOSZ,X,X,O,X,X,O,X
LITJOZS,O,X,O,X,O,O,X
LITSJZO,X,O,O,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X
LITSZJO,O,O,O,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X
LITSOJZ,X,O,O,X,X,X,X
LITSOZJ,O,O,O,X,X,X,X
LITZJSO,O,X,O,X,O,X,X
LITZJOS,O,X,O,X,O,X,X
LITZSJO,O,X,O,X,O,X,X
LITZSOJ,O,X,O,X,O,X,X
LITZOJS,O,X,O,X,O,X,X
LITZOSJ,O,X,O,X,O,X,X
LITOJSZ,X,X,O,X,X,O,X
LITOJZS,O,X,O,X,O,O,X
LITOSJZ,X,O,O,X,X,X,X
LITOSZJ,O,O,O,X,X,X,X
LITOZJS,O,X,O,X,O,X,X
LITOZSJ,O,X,O,X,O,X,X
LIJTSZO,X,X,X,X,X,O,X
LIJTSOZ,X,X,X,X,X,O,X
LIJTZSO,O,X,X,X,X,X,X
LIJTZOS,O,X,X,X,X,O,X
LIJTOSZ,X,X,X,X,X,O,X
LIJTOZS,O,X,X,X,X,O,X
LIJSTZO,X,X,X,X,X,O,O
LIJSTOZ,X,X,X,X,X,O,O
LIJSZTO,O,X,X,X,X,O,O
LIJSZOT,O,X,X,X,X,O,O
LIJSOTZ,X,X,X,X,X,O,O
LIJSOZT,O,X,X,X,X,O,O
LIJZTSO,X,X,X,O,O,X,X
LIJZTOS,O,X,X,O,O,O,X
LIJZSTO,X,X,X,X,X,X,O
LIJZSOT,O,X,X,X,X,X,O
LIJZOTS,O,X,X,O,O,O,X
LIJZOST,O,X,X,X,X,X,O
LIJOTSZ,X,X,X,X,X,O,X
LIJOTZS,O,X,X,X,X,O,X
LIJOSTZ,X,X,X,X,X,O,O
LIJOSZT,O,X,X,X,X,O,O
LIJOZTS,O,X,X,O,O,O,X
LIJOZST,O,X,X,X,X,X,O
LISTJZO,O,O,X,X,X,X,X
LISTJOZ,O,O,X,X,X,X,X
LISTZJO,O,O,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X
LISTOJZ,O,O,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X
LISJTZO,X,O,X,X,X,O,X
LISJTOZ,X,O,X,X,X,O,X
LISJZTO,O,X,X,X,X,O,X
LISJZOT,O,O,X,X,X,O,X
LISJOTZ,X,O,X,X,X,O,X
LISJOZT,O,O,X,X,X,O,X
LISZTJO,O,X,X,X,O,X,X
LISZTOJ,O,X,X,X,O,X,X
LISZJTO,O,X,X,X,X,X,X
LISZJOT,O,O,X,X,X,X,X
LISZOTJ,O,X,X,X,O,X,X
LISZOJT,O,O,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X
LISOJTZ,X,O,X,X,X,O,X
LISOJZT,O,O,X,X,X,O,X
LISOZTJ,O,X,X,X,O,X,X
LISOZJT,O,O,X,X,X,X,X
LIZTJSO,O,X,O,O,O,X,X
LIZTJOS,O,X,O,O,O,X,X
LIZTSJO,O,X,O,X,O,X,X
LIZTSOJ,O,X,O,X,O,X,X
LIZTOJS,O,X,O,O,O,X,X
LIZTOSJ,O,X,O,X,O,X,X
LIZJTSO,X,X,X,O,O,X,X
LIZJTOS,O,X,X,O,O,X,X
LIZJSTO,X,X,X,X,X,X,O
LIZJSOT,O,X,X,X,X,X,O
LIZJOTS,O,X,X,O,O,X,X
LIZJOST,O,X,X,X,X,X,O
LIZSTJO,O,X,X,X,O,X,X
LIZSTOJ,O,X,X,X,O,X,X
LIZSJTO,O,X,X,X,X,X,X
LIZSJOT,O,X,X,X,X,X,X
LIZSOTJ,O,X,X,X,O,X,X
LIZSOJT,O,X,X,X,X,X,X
LIZOTJS,O,X,O,O,O,X,X
LIZOTSJ,O,X,O,X,O,X,X
LIZOJTS,O,X,X,O,O,X,X
LIZOJST,O,X,X,X,X,X,O
LIZOSTJ,O,X,X,X,O,X,X
LIZOSJT,O,X,X,X,X,X,X
LIOTJSZ,X,X,O,X,X,O,X
LIOTJZS,O,X,O,X,O,O,X
LIOTSJZ,X,O,O,X,X,X,X
LIOTSZJ,O,O,O,X,X,X,X
LIOTZJS,O,X,O,X,O,X,X
LIOTZSJ,O,X,O,X,O,X,X
LIOJTSZ,X,X,X,X,X,O,X
LIOJTZS,O,X,X,X,X,O,X
LIOJSTZ,X,X,X,X,X,O,O
LIOJSZT,O,X,X,X,X,O,O
LIOJZTS,O,X,X,O,O,O,X
LIOJZST,O,X,X,X,X,X,O
LIOSTJZ,O,O,X,X,X,X,X
LIOSTZJ,O,O,X,X,X,X,X
LIOSJTZ,X,O,X,X,X,O,X
LIOSJZT,O,O,X,X,X,O,X
LIOSZTJ,O,X,X,X,O,X,X
LIOSZJT,O,O,X,X,X,X,X
LIOZTJS,O,X,O,O,O,X,X
LIOZTSJ,O,X,O,X,O,X,X
LIOZJTS,O,X,X,O,O,X,X
LIOZJST,O,X,X,X,X,X,O
LIOZSTJ,O,X,X,X,O,X,X
LIOZSJT,O,X,X,X,X,X,X
LJTISZO,X,X,O,X,X,O,X
LJTISOZ,X,X,O,X,X,O,X
LJTIZSO,O,X,O,X,X,X,X
LJTIZOS,O,X,O,X,X,O,X
LJTIOSZ,X,X,O,X,X,O,X
LJTIOZS,O,X,O,X,X,O,X
LJTSIZO,X,O,O,X,X,O,X
LJTSIOZ,X,O,O,X,X,O,X
LJTSZIO,X,O,O,X,X,O,X
LJTSZOI,X,O,O,X,X,O,X
LJTSOIZ,X,O,O,X,X,O,X
LJTSOZI,X,O,O,X,X,O,X
LJTZISO,O,X,O,O,X,X,X
LJTZIOS,O,X,O,O,X,O,X
LJTZSIO,O,X,O,O,X,O,X
LJTZSOI,O,X,O,O,X,O,X
LJTZOIS,O,X,O,O,X,O,O
LJTZOSI,O,X,O,O,X,O,O
LJTOISZ,X,X,O,X,X,O,X
LJTOIZS,O,X,O,X,X,O,X
LJTOSIZ,X,O,O,X,X,O,X
LJTOSZI,X,O,O,X,X,O,X
LJTOZIS,O,X,O,O,X,O,O
LJTOZSI,O,X,O,O,X,O,O
LJITSZO,X,X,X,X,X,O,X
LJITSOZ,X,X,X,X,X,O,X
LJITZSO,O,X,X,X,X,X,X
LJITZOS,O,X,X,X,X,O,X
LJITOSZ,X,X,X,X,X,O,X
LJITOZS,O,X,X,X,X,O,X
LJISTZO,X,X,X,X,X,O,O
LJISTOZ,X,X,X,X,X,O,O
LJISZTO,O,X,X,X,X,O,O
LJISZOT,O,X,X,X,X,O,O
LJISOTZ,X,X,X,X,X,O,O
LJISOZT,O,X,X,X,X,O,O
LJIZTSO,X,X,X,O,O,X,X
LJIZTOS,O,X,X,O,O,O,X
LJIZSTO,X,X,X,X,X,X,O
LJIZSOT,O,X,X,X,X,X,O
LJIZOTS,O,X,X,O,O,O,O
LJIZOST,O,X,X,X,X,X,O
LJIOTSZ,X,X,X,X,X,O,X
LJIOTZS,O,X,X,X,X,O,X
LJIOSTZ,X,X,X,X,X,O,O
LJIOSZT,O,X,X,X,X,O,O
LJIOZTS,O,X,X,O,O,O,O
LJIOZST,O,X,X,X,X,X,O
LJSTIZO,X,O,X,X,X,O,X
LJSTIOZ,X,O,X,X,X,O,X
LJSTZIO,X,O,X,X,X,O,X
LJSTZOI,X,O,X,X,X,O,O
LJSTOIZ,X,O,X,X,X,O,X
LJSTOZI,X,O,X,X,X,O,O
LJSITZO,X,O,X,X,X,O,O
LJSITOZ,X,O,X,X,X,O,O
LJSIZTO,O,X,X,X,X,O,O
LJSIZOT,O,O,X,X,X,O,O
LJSIOTZ,X,O,X,X,X,O,O
LJSIOZT,O,O,X,X,X,O,O
LJSZTIO,O,O,X,O,X,O,X
LJSZTOI,O,O,X,O,X,O,O
LJSZITO,O,X,X,X,X,O,O
LJSZIOT,O,O,X,X,X,O,O
LJSZOTI,O,O,X,O,X,O,O
LJSZOIT,O,O,X,X,X,O,O
LJSOTIZ,X,O,X,X,X,O,X
LJSOTZI,X,O,X,X,X,O,O
LJSOITZ,X,O,X,X,X,O,O
LJSOIZT,O,O,X,X,X,O,O
LJSOZTI,O,O,X,O,X,O,O
LJSOZIT,O,O,X,X,X,O,O
LJZTISO,X,X,O,O,O,X,X
LJZTIOS,O,X,O,O,O,O,X
LJZTSIO,X,X,O,O,O,O,X
LJZTSOI,X,X,O,O,O,O,X
LJZTOIS,O,X,O,O,O,O,O
LJZTOSI,O,X,O,O,O,O,O
LJZITSO,X,X,X,O,O,X,X
LJZITOS,O,X,X,O,O,O,X
LJZISTO,X,X,X,X,X,X,O
LJZISOT,O,X,X,X,X,X,O
LJZIOTS,O,X,O,O,O,O,O
LJZIOST,O,X,X,X,X,X,O
LJZSTIO,X,X,X,O,X,O,X
LJZSTOI,X,X,X,O,X,O,O
LJZSITO,X,X,X,X,X,O,O
LJZSIOT,O,X,X,X,X,O,O
LJZSOTI,O,X,X,O,X,O,O
LJZSOIT,O,X,X,X,X,O,O
LJZOTIS,O,X,O,O,O,O,O
LJZOTSI,O,X,O,O,O,O,O
LJZOITS,O,X,O,O,O,O,O
LJZOIST,O,X,X,X,X,X,O
LJZOSTI,O,X,X,O,X,O,O
LJZOSIT,O,X,X,X,X,O,O
LJOTISZ,X,X,O,X,X,O,X
LJOTIZS,O,X,O,X,X,O,X
LJOTSIZ,X,O,O,X,X,O,X
LJOTSZI,X,O,O,X,X,O,X
LJOTZIS,O,X,O,O,X,O,O
LJOTZSI,O,X,O,O,X,O,O
LJOITSZ,X,X,X,X,X,O,X
LJOITZS,O,X,X,X,X,O,X
LJOISTZ,X,X,X,X,X,O,O
LJOISZT,O,X,X,X,X,O,O
LJOIZTS,O,X,X,O,O,O,O
LJOIZST,O,X,X,X,X,X,O
LJOSTIZ,X,O,X,X,X,O,X
LJOSTZI,X,O,X,X,X,O,O
LJOSITZ,X,O,X,X,X,O,O
LJOSIZT,O,O,X,X,X,O,O
LJOSZTI,O,O,X,O,X,O,O
LJOSZIT,O,O,X,X,X,O,O
LJOZTIS,O,X,O,O,O,O,O
LJOZTSI,O,X,O,O,O,O,O
LJOZITS,O,X,O,O,O,O,O
LJOZIST,O,X,X,X,X,X,O
LJOZSTI,O,X,X,O,X,O,O
LJOZSIT,O,X,X,X,X,O,O
LSTIJZO,O,O,O,X,X,X,X
LSTIJOZ,O,O,O,X,X,X,X
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,O,O,O,X,X,X,X
LSTIOZJ,O,O,O,X,X,X,X
LSTJIZO,O,O,O,X,X,O,X
LSTJIOZ,O,O,O,X,X,O,X
LSTJZIO,O,O,O,X,X,O,X
LSTJZOI,O,O,O,X,X,O,X
LSTJOIZ,O,O,O,X,X,O,X
LSTJOZI,O,O,O,X,X,O,X
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,X
LSTZOJI,O,O,O,X,X,X,X
LSTOIJZ,O,O,O,X,X,X,X
LSTOIZJ,O,O,O,X,X,X,X
LSTOJIZ,O,O,O,X,X,O,X
LSTOJZI,O,O,O,X,X,O,X
LSTOZIJ,O,O,O,X,X,X,X
LSTOZJI,O,O,O,X,X,X,X
LSITJZO,O,O,X,X,X,X,X
