sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
TSOILJZ,O,O,X,O,X,O,O,X,X,X
TSOILZJ,X,O,X,O,X,O,O,X,O,X
TSOIJLZ,O,X,X,O,X,X,O,X,X,X
TSOIJZL,O,X,X,O,X,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,X,X,X,O,X
TSOIZJL,O,X,O,O,O,X,O,X,X,X
TSOLIJZ,O,O,X,O,X,O,O,X,X,X
TSOLIZJ,X,O,X,O,X,O,O,X,O,X
TSOLJIZ,O,O,X,O,X,O,O,X,X,X
TSOLJZI,O,O,X,O,X,O,O,X,X,O
TSOLZIJ,O,O,X,O,X,O,O,X,O,O
TSOLZJI,O,O,X,O,X,O,O,X,O,O
TSOJILZ,O,X,X,O,X,X,O,X,X,X
TSOJIZL,O,X,X,O,X,X,O,X,X,X
TSOJLIZ,O,X,X,O,X,X,O,X,X,X
TSOJLZI,O,X,X,O,X,X,O,X,X,O
TSOJZIL,O,X,X,O,X,X,O,X,X,X
TSOJZLI,O,X,X,O,X,X,O,X,X,X
TSOZILJ,O,X,X,X,X,X,X,X,O,X
TSOZIJL,O,X,O,O,O,X,O,X,X,X
TSOZLIJ,O,X,X,X,X,X,O,X,O,X
TSOZLJI,O,X,X,X,X,X,O,X,O,X
TSOZJIL,O,X,O,O,O,X,O,X,X,X
TSOZJLI,O,X,O,O,X,X,O,X,X,X
TZILJSO,X,X,O,X,O,X,X,O,X,X
TZILJOS,X,X,X,X,O,X,X,O,X,X
TZILSJO,X,X,O,X,O,X,X,O,O,X
TZILSOJ,X,X,O,X,O,O,X,X,O,X
TZILOJS,X,X,X,X,O,X,X,O,X,X
TZILOSJ,X,X,X,X,O,O,X,X,X,X
TZIJLSO,X,X,O,X,O,X,X,O,X,X
TZIJLOS,X,X,X,X,O,X,X,O,X,X
TZIJSLO,O,X,O,X,O,X,X,O,O,X
TZIJSOL,O,X,O,X,O,X,O,O,X,X
TZIJOLS,X,X,X,X,O,X,X,X,X,X
TZIJOSL,X,X,X,X,O,X,X,O,X,X
TZISLJO,O,X,O,X,O,X,X,X,O,X
TZISLOJ,O,X,O,X,O,O,X,X,O,X
TZISJLO,O,X,O,X,O,X,X,O,O,X
TZISJOL,O,X,O,X,O,X,O,O,X,X
TZISOLJ,O,X,X,X,X,X,X,X,O,X
TZISOJL,O,X,O,X,O,X,O,X,X,X
TZIOLJS,O,X,X,X,O,X,X,X,X,X
TZIOLSJ,O,X,X,X,O,X,X,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X,X,X
TZIOJSL,O,X,X,X,O,X,O,O,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,O,X
TZIOSJL,O,X,X,X,O,X,O,X,X,X
TZLIJSO,X,X,O,X,O,X,X,O,X,X
TZLIJOS,X,X,X,X,O,X,X,O,X,X
TZLISJO,X,X,O,X,O,X,X,O,O,X
TZLISOJ,X,X,O,X,O,O,X,X,O,X
TZLIOJS,X,X,X,X,O,X,X,O,X,X
TZLIOSJ,X,X,X,X,O,O,X,X,X,X
TZLJISO,X,X,O,X,O,O,X,O,X,X
TZLJIOS,X,X,X,X,O,O,X,O,X,X
TZLJSIO,O,X,O,X,O,O,X,O,X,X
TZLJSOI,X,X,O,X,O,O,X,O,X,X
TZLJOIS,X,X,X,X,O,O,X,O,X,X
TZLJOSI,X,X,O,X,O,O,X,O,X,X
TZLSIJO,O,X,O,X,O,X,X,O,O,X
TZLSIOJ,O,O,O,X,O,O,X,X,O,X
TZLSJIO,O,X,O,X,O,O,X,O,O,X
TZLSJOI,X,X,O,X,O,O,X,O,O,X
TZLSOIJ,O,O,O,X,O,O,X,X,O,X
TZLSOJI,O,O,O,X,O,O,X,X,O,X
TZLOIJS,O,X,X,X,O,X,X,O,X,X
TZLOISJ,O,X,X,X,O,O,X,X,X,X
TZLOJIS,O,X,X,X,O,O,X,O,X,X
TZLOJSI,O,X,O,X,O,O,X,O,X,X
TZLOSIJ,O,O,O,X,O,O,X,X,X,X
TZLOSJI,O,O,O,X,O,O,X,X,X,X
TZJILSO,X,X,O,X,O,X,X,O,X,X
TZJILOS,X,X,X,X,O,X,X,O,X,X
TZJISLO,O,X,O,X,O,X,X,O,O,X
TZJISOL,O,X,O,X,O,X,O,O,X,X
TZJIOLS,X,X,X,X,O,X,X,X,X,X
TZJIOSL,X,X,X,X,O,X,X,O,X,X
TZJLISO,X,X,O,X,O,X,X,O,X,X
TZJLIOS,X,X,X,X,O,X,X,O,X,X
TZJLSIO,O,X,O,X,O,X,X,O,X,X
TZJLSOI,X,X,O,X,O,X,X,O,X,X
TZJLOIS,X,X,X,X,O,X,X,O,X,X
TZJLOSI,X,X,O,X,O,X,X,O,X,X
TZJSILO,O,X,O,X,O,X,X,O,O,X
TZJSIOL,O,X,O,X,O,X,O,O,X,X
TZJSLIO,O,X,O,X,O,X,X,O,O,X
TZJSLOI,X,X,O,X,O,X,X,O,O,X
TZJSOIL,O,X,O,X,O,X,X,O,X,X
TZJSOLI,O,X,O,X,X,X,X,O,X,X
TZJOILS,O,X,X,X,O,X,X,X,X,X
TZJOISL,O,X,X,X,O,X,X,O,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,X
TZJOLSI,O,X,X,X,O,X,X,X,X,X
TZJOSIL,O,X,O,X,O,X,X,O,X,X
TZJOSLI,O,X,O,X,X,X,X,O,X,X
TZSILJO,O,X,O,X,O,X,X,X,O,X
TZSILOJ,O,O,O,X,O,O,X,X,O,X
TZSIJLO,O,X,O,X,O,X,X,O,O,X
TZSIJOL,O,X,O,X,O,X,O,O,X,X
TZSIOLJ,O,X,X,X,X,X,X,X,O,X
TZSIOJL,O,X,O,O,O,X,O,X,X,X
TZSLIJO,O,X,O,X,O,X,X,X,O,X
TZSLIOJ,O,O,O,X,O,O,X,X,O,X
TZSLJIO,O,X,O,X,O,O,X,X,O,X
TZSLJOI,X,X,O,X,O,O,X,X,O,X
TZSLOIJ,O,O,O,X,O,O,X,X,O,X
TZSLOJI,O,O,O,X,O,O,X,X,O,X
TZSJILO,O,X,O,X,O,X,X,O,O,X
TZSJIOL,O,X,O,X,O,X,O,O,X,X
TZSJLIO,O,X,O,X,O,X,X,O,O,X
TZSJLOI,X,X,O,X,O,X,X,O,O,X
TZSJOIL,O,X,O,X,O,X,X,O,X,X
TZSJOLI,O,X,O,X,X,X,X,O,X,X
TZSOILJ,O,X,X,X,X,X,X,X,O,X
TZSOIJL,O,X,O,O,O,X,O,X,X,X
TZSOLIJ,O,X,X,X,X,X,O,X,O,X
TZSOLJI,O,X,X,X,X,X,O,X,O,X
TZSOJIL,O,X,O,O,O,X,O,X,X,X
TZSOJLI,O,X,O,O,X,X,O,X,X,X
TZOILJS,O,X,X,X,O,X,X,X,X,X
TZOILSJ,O,X,X,X,O,X,X,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X,X,X
TZOIJSL,O,X,X,X,O,X,O,O,X,X
TZOISLJ,O,X,X,X,X,X,X,X,O,X
TZOISJL,O,X,X,X,O,X,O,X,X,X
TZOLIJS,O,X,X,X,O,X,O,X,X,X
TZOLISJ,O,X,X,X,O,X,O,X,X,X
TZOLJIS,O,X,X,X,O,X,O,X,X,X
TZOLJSI,O,X,X,X,O,X,O,X,X,X
TZOLSIJ,O,X,X,X,O,X,O,X,X,X
TZOLSJI,O,X,X,X,O,X,O,X,X,X
TZOJILS,O,X,X,X,O,X,X,X,X,X
TZOJISL,O,X,X,X,O,X,O,O,X,X
TZOJLIS,O,X,X,X,O,X,O,X,X,X
TZOJLSI,O,X,X,X,O,X,O,X,X,X
TZOJSIL,O,X,O,O,O,X,O,O,X,X
TZOJSLI,O,X,O,O,X,X,O,O,X,X
TZOSILJ,O,X,X,X,X,X,X,X,O,X
TZOSIJL,O,X,O,O,O,X,O,X,X,X
TZOSLIJ,O,X,X,X,X,X,O,X,O,X
TZOSLJI,O,X,X,X,X,X,O,X,O,X
TZOSJIL,O,X,O,O,O,X,O,X,X,X
TZOSJLI,O,X,O,O,X,X,O,X,X,X
TOILJSZ,X,X,X,O,X,O,O,X,X,X
TOILJZS,X,X,X,X,O,X,O,O,X,X
TOILSJZ,X,X,X,O,O,O,O,X,X,X
TOILSZJ,X,X,X,O,O,O,O,X,X,X
TOILZJS,X,X,X,X,O,X,O,O,X,X
TOILZSJ,X,X,X,X,O,O,O,X,X,X
TOIJLSZ,X,X,X,O,X,X,O,X,X,X
TOIJLZS,X,X,X,X,X,X,O,O,X,X
TOIJSLZ,O,X,X,O,X,X,O,X,X,X
TOIJSZL,O,X,X,O,X,X,O,X,X,X
TOIJZLS,O,X,X,X,O,X,X,X,X,X
TOIJZSL,O,X,X,X,O,X,O,O,X,X
TOISLJZ,O,X,X,O,X,O,O,X,X,X
TOISLZJ,X,X,X,O,X,O,O,X,O,X
TOISJLZ,O,X,X,O,X,X,O,X,X,X
TOISJZL,O,X,X,O,X,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X,O,X
TOISZJL,O,X,X,O,O,X,O,X,X,X
TOIZLJS,O,X,X,X,O,X,X,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,X,O,X,X,X,X,X
TOIZJSL,O,X,X,X,O,X,O,O,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,O,X
TOIZSJL,O,X,X,X,O,X,O,X,X,X
TOLIJSZ,X,X,X,O,X,O,O,X,X,X
TOLIJZS,X,X,X,X,O,O,O,O,X,X
TOLISJZ,X,O,X,O,O,O,O,X,X,X
TOLISZJ,X,O,X,O,O,O,O,X,X,X
TOLIZJS,X,X,X,X,O,X,O,O,X,X
TOLIZSJ,X,X,X,X,O,O,O,X,X,X
TOLJISZ,X,X,X,O,X,O,O,X,X,X
TOLJIZS,X,X,X,X,O,O,O,O,X,X
TOLJSIZ,O,O,X,O,X,O,O,X,X,X
TOLJSZI,O,O,X,O,X,O,O,X,X,O
TOLJZIS,O,X,X,X,O,O,O,O,X,O
TOLJZSI,O,X,X,O,O,O,O,O,X,O
TOLSIJZ,O,O,X,O,O,O,O,X,X,X
TOLSIZJ,X,O,X,O,O,O,O,X,X,X
TOLSJIZ,O,O,X,O,O,O,O,X,X,X
TOLSJZI,O,O,X,O,O,O,O,X,X,O
TOLSZIJ,O,O,X,O,O,O,O,X,X,O
TOLSZJI,O,O,X,O,O,O,O,X,X,O
TOLZIJS,O,X,X,X,O,X,O,O,X,O
TOLZISJ,O,X,X,X,O,O,O,X,X,O
TOLZJIS,O,X,X,X,O,O,O,O,X,O
TOLZJSI,O,X,X,O,O,O,O,O,X,O
TOLZSIJ,O,O,X,O,O,O,O,X,X,O
TOLZSJI,O,O,X,O,O,O,O,X,X,O
TOJILSZ,X,X,X,O,X,X,O,X,X,X
TOJILZS,X,X,X,X,X,X,O,O,X,X
TOJISLZ,O,X,X,O,X,X,O,X,X,X
TOJISZL,O,X,X,O,X,X,O,X,X,X
TOJIZLS,O,X,X,X,O,X,X,X,X,X
TOJIZSL,O,X,X,X,O,X,O,O,X,X
TOJLISZ,X,X,X,O,X,X,O,X,X,X
TOJLIZS,X,X,X,X,X,X,O,O,X,X
TOJLSIZ,O,X,X,O,X,X,O,X,X,X
TOJLSZI,O,X,X,O,X,X,O,X,X,O
TOJLZIS,O,X,X,X,X,X,O,O,X,O
TOJLZSI,O,X,X,O,X,X,O,O,X,O
TOJSILZ,O,X,X,O,X,X,O,X,X,X
TOJSIZL,O,X,X,O,X,X,O,X,X,X
TOJSLIZ,O,X,X,O,X,X,O,X,X,X
TOJSLZI,O,X,X,O,X,X,O,X,X,O
TOJSZIL,O,X,X,O,X,X,O,X,X,X
TOJSZLI,O,X,X,O,X,X,O,X,X,X
TOJZILS,O,X,X,X,O,X,X,X,X,X
TOJZISL,O,X,X,X,O,X,O,O,X,X
TOJZLIS,O,X,X,X,O,X,O,X,X,X
TOJZLSI,O,X,X,X,X,X,O,X,X,X
TOJZSIL,O,X,X,O,O,X,O,O,X,X
TOJZSLI,O,X,X,O,X,X,O,O,X,X
TOSILJZ,O,O,X,O,X,O,O,X,X,X
TOSILZJ,X,O,X,O,X,O,O,X,O,X
TOSIJLZ,O,X,X,O,X,X,O,X,X,X
TOSIJZL,O,X,X,O,X,X,O,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,X,O,X
TOSIZJL,O,X,O,O,O,X,O,X,X,X
TOSLIJZ,O,O,X,O,X,O,O,X,X,X
TOSLIZJ,X,O,X,O,X,O,O,X,O,X
TOSLJIZ,O,O,X,O,X,O,O,X,X,X
TOSLJZI,O,O,X,O,X,O,O,X,X,O
TOSLZIJ,O,O,X,O,X,O,O,X,O,O
TOSLZJI,O,O,X,O,X,O,O,X,O,O
TOSJILZ,O,X,X,O,X,X,O,X,X,X
TOSJIZL,O,X,X,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,O,X,X,O,X,X,X
TOSJLZI,O,X,X,O,X,X,O,X,X,O
TOSJZIL,O,X,X,O,X,X,O,X,X,X
TOSJZLI,O,X,X,O,X,X,O,X,X,X
TOSZILJ,O,X,X,X,X,X,X,X,O,X
TOSZIJL,O,X,O,O,O,X,O,X,X,X
TOSZLIJ,O,X,X,X,X,X,O,X,O,X
TOSZLJI,O,X,X,X,X,X,O,X,O,X
TOSZJIL,O,X,O,O,O,X,O,X,X,X
TOSZJLI,O,X,O,O,X,X,O,X,X,X
TOZILJS,O,X,X,X,O,X,X,X,X,X
TOZILSJ,O,X,X,X,O,X,X,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X,X,X
TOZIJSL,O,X,X,X,O,X,O,O,X,X
TOZISLJ,O,X,X,X,X,X,X,X,O,X
TOZISJL,O,X,X,X,O,X,O,X,X,X
TOZLIJS,O,X,X,X,O,X,O,X,X,X
TOZLISJ,O,X,X,X,O,X,O,X,X,X
TOZLJIS,O,X,X,X,O,X,O,X,X,X
TOZLJSI,O,X,X,X,O,X,O,X,X,X
TOZLSIJ,O,X,X,X,O,X,O,X,X,X
TOZLSJI,O,X,X,X,O,X,O,X,X,X
TOZJILS,O,X,X,X,O,X,X,X,X,X
TOZJISL,O,X,X,X,O,X,O,O,X,X
TOZJLIS,O,X,X,X,O,X,O,X,X,X
TOZJLSI,O,X,X,X,O,X,O,X,X,X
TOZJSIL,O,X,O,O,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,X,O,O,X,X
TOZSILJ,O,X,X,X,X,X,X,X,O,X
TOZSIJL,O,X,O,O,O,X,O,X,X,X
TOZSLIJ,O,X,X,X,X,X,O,X,O,X
TOZSLJI,O,X,X,X,X,X,O,X,O,X
TOZSJIL,O,X,O,O,O,X,O,X,X,X
TOZSJLI,O,X,O,O,X,X,O,X,X,X
ITLJSZO,X,O,X,X,O,O,X,O,X,X
ITLJSOZ,X,O,X,X,O,O,O,X,X,X
ITLJZSO,X,X,X,X,O,O,X,O,X,X
ITLJZOS,X,X,X,X,O,O,X,O,X,X
ITLJOSZ,X,O,X,X,X,O,X,X,X,X
ITLJOZS,X,X,X,X,O,O,X,O,X,X
ITLSJZO,X,O,O,X,O,O,X,O,O,X
ITLSJOZ,X,O,X,O,O,O,O,X,X,X
ITLSZJO,X,X,O,X,O,X,X,O,O,X
ITLSZOJ,X,O,O,O,O,O,X,X,O,X
ITLSOJZ,X,O,X,O,O,O,O,X,X,X
ITLSOZJ,X,O,O,O,O,O,X,X,O,X
ITLZJSO,X,X,O,X,O,X,X,O,X,X
ITLZJOS,X,X,X,X,O,X,X,O,X,X
ITLZSJO,X,X,O,X,O,X,X,O,O,X
ITLZSOJ,X,X,O,X,O,O,X,X,O,X
ITLZOJS,X,X,X,X,O,X,X,O,X,X
ITLZOSJ,X,X,X,X,O,O,X,X,X,X
ITLOJSZ,X,O,X,O,X,O,O,X,X,X
ITLOJZS,X,X,X,X,O,O,X,O,X,X
ITLOSJZ,X,O,X,O,O,O,O,X,X,X
ITLOSZJ,X,O,X,O,O,O,X,X,X,X
ITLOZJS,X,X,X,X,O,X,X,O,X,X
ITLOZSJ,X,X,X,X,O,O,X,X,X,X
ITJLSZO,X,O,X,X,O,X,X,O,O,X
ITJLSOZ,X,O,X,X,O,O,O,X,O,X
ITJLZSO,X,X,X,X,O,X,X,O,O,X
ITJLZOS,X,X,X,X,O,X,X,O,X,X
ITJLOSZ,X,O,X,X,X,O,X,X,X,X
ITJLOZS,X,X,X,X,O,X,X,O,X,X
ITJSLZO,X,O,X,X,X,X,X,O,O,X
ITJSLOZ,O,O,X,X,X,O,O,X,O,X
ITJSZLO,X,O,X,X,X,X,X,O,O,X
ITJSZOL,O,X,X,X,X,X,O,O,O,X
ITJSOLZ,O,O,X,X,X,X,O,X,O,X
ITJSOZL,O,X,X,X,X,X,O,X,O,X
ITJZLSO,X,X,X,X,O,X,X,O,O,X
ITJZLOS,X,X,X,X,O,X,X,O,X,X
ITJZSLO,X,X,X,X,O,X,X,O,O,X
ITJZSOL,X,X,X,X,O,X,O,O,O,X
ITJZOLS,X,X,X,X,O,X,X,X,X,X
ITJZOSL,X,X,X,X,O,X,X,O,O,X
ITJOLSZ,X,X,X,X,X,X,O,X,X,X
ITJOLZS,X,X,X,X,X,X,X,O,X,X
ITJOSLZ,X,X,X,X,X,X,O,X,O,X
ITJOSZL,X,X,X,X,X,X,O,X,O,X
ITJOZLS,X,X,X,X,O,X,X,X,X,X
ITJOZSL,X,X,X,X,O,X,O,O,O,X
ITSLJZO,X,O,O,X,O,O,X,O,O,X
ITSLJOZ,O,O,X,O,O,O,O,X,O,X
ITSLZJO,X,X,O,X,O,X,X,O,O,X
ITSLZOJ,X,O,O,O,O,O,X,X,O,X
ITSLOJZ,O,O,X,O,O,O,O,X,X,X
ITSLOZJ,X,O,O,O,O,O,X,X,O,X
ITSJLZO,X,O,X,X,X,X,X,O,O,X
ITSJLOZ,O,O,X,X,X,O,O,X,O,X
ITSJZLO,X,O,O,X,X,X,X,O,O,X
ITSJZOL,O,X,O,X,X,X,O,O,O,X
ITSJOLZ,O,O,X,O,X,X,O,X,O,X
ITSJOZL,O,X,X,O,X,X,O,X,O,X
ITSZLJO,X,X,O,X,O,X,X,X,O,X
ITSZLOJ,X,O,O,X,O,O,X,X,O,X
ITSZJLO,X,X,O,X,O,X,X,O,O,X
ITSZJOL,O,X,O,X,O,X,O,O,X,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,X
ITSZOJL,O,X,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,X,O,X,O,O,X,X,X
ITSOLZJ,X,O,X,O,X,O,O,X,O,X
ITSOJLZ,O,X,X,O,X,X,O,X,X,X
ITSOJZL,O,X,X,O,X,X,O,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,X,O,X
ITSOZJL,O,X,O,O,O,X,O,X,X,X
ITZLJSO,X,X,O,X,O,X,X,O,X,X
ITZLJOS,X,X,X,X,O,X,X,O,X,X
ITZLSJO,X,X,O,X,O,X,X,O,O,X
ITZLSOJ,X,X,O,X,O,O,X,X,O,X
ITZLOJS,X,X,X,X,O,X,X,O,X,X
ITZLOSJ,X,X,X,X,O,O,X,X,X,X
ITZJLSO,X,X,O,X,O,X,X,O,X,X
ITZJLOS,X,X,X,X,O,X,X,O,X,X
ITZJSLO,X,X,O,X,O,X,X,O,O,X
ITZJSOL,X,X,O,X,O,X,O,O,X,X
ITZJOLS,X,X,X,X,O,X,X,X,X,X
ITZJOSL,X,X,X,X,O,X,X,O,X,X
ITZSLJO,X,X,O,X,O,X,X,X,O,X
ITZSLOJ,X,X,O,X,O,O,X,X,O,X
ITZSJLO,X,X,O,X,O,X,X,O,O,X
ITZSJOL,X,X,O,X,O,X,O,O,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,O,X
ITZSOJL,X,X,O,X,O,X,O,X,X,X
ITZOLJS,X,X,X,X,O,X,X,X,X,X
ITZOLSJ,X,X,X,X,O,X,X,X,X,X
ITZOJLS,X,X,X,X,O,X,X,X,X,X
ITZOJSL,X,X,X,X,O,X,O,O,X,X
ITZOSLJ,X,X,X,X,X,X,X,X,O,X
ITZOSJL,X,X,X,X,O,X,O,X,X,X
ITOLJSZ,X,X,X,O,X,O,O,X,X,X
ITOLJZS,X,X,X,X,O,X,O,O,X,X
ITOLSJZ,X,X,X,O,O,O,O,X,X,X
ITOLSZJ,X,X,X,O,O,O,O,X,X,X
ITOLZJS,X,X,X,X,O,X,O,O,X,X
ITOLZSJ,X,X,X,X,O,O,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,O,X,X,X
ITOJLZS,X,X,X,X,X,X,O,O,X,X
ITOJSLZ,O,X,X,O,X,X,O,X,X,X
ITOJSZL,O,X,X,O,X,X,O,X,X,X
ITOJZLS,O,X,X,X,O,X,X,X,X,X
ITOJZSL,O,X,X,X,O,X,O,O,X,X
ITOSLJZ,O,X,X,O,X,O,O,X,X,X
ITOSLZJ,X,X,X,O,X,O,O,X,O,X
ITOSJLZ,O,X,X,O,X,X,O,X,X,X
ITOSJZL,O,X,X,O,X,X,O,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,X,O,X
ITOSZJL,O,X,X,O,O,X,O,X,X,X
ITOZLJS,O,X,X,X,O,X,X,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,X,O,X,X,X,X,X
ITOZJSL,O,X,X,X,O,X,O,O,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,O,X
ITOZSJL,O,X,X,X,O,X,O,X,X,X
ILTJSZO,X,O,X,X,O,O,O,O,X,X
ILTJSOZ,X,O,X,X,O,O,O,X,X,X
ILTJZSO,X,X,X,X,O,O,O,O,X,X
ILTJZOS,X,X,X,X,O,O,X,O,X,X
ILTJOSZ,X,O,X,X,X,O,O,X,X,X
ILTJOZS,X,X,X,X,O,O,O,O,X,X
ILTSJZO,X,O,O,X,O,O,O,O,O,X
ILTSJOZ,X,O,X,O,O,O,O,X,X,X
ILTSZJO,X,X,O,X,O,X,O,O,O,X
ILTSZOJ,X,O,O,O,O,O,O,X,O,X
ILTSOJZ,X,O,X,O,O,O,O,X,X,X
ILTSOZJ,X,O,O,O,O,O,O,X,O,X
ILTZJSO,X,X,O,X,O,X,O,O,X,X
ILTZJOS,X,X,X,X,O,X,X,O,X,X
ILTZSJO,X,X,O,X,O,X,O,O,O,X
ILTZSOJ,X,X,O,X,O,O,O,X,O,X
ILTZOJS,X,X,X,X,O,X,O,O,X,X
ILTZOSJ,X,X,X,X,O,O,O,X,X,X
ILTOJSZ,X,O,X,O,X,O,O,X,X,X
ILTOJZS,X,X,X,X,O,O,O,O,X,X
ILTOSJZ,X,O,X,O,O,O,O,X,X,X
ILTOSZJ,X,O,X,O,O,O,O,X,X,X
ILTOZJS,X,X,X,X,O,X,O,O,X,X
ILTOZSJ,X,X,X,X,O,O,O,X,X,X
ILJTSZO,X,O,X,X,O,O,O,O,O,X
ILJTSOZ,X,O,X,X,O,O,O,X,O,X
ILJTZSO,X,X,X,X,O,O,O,O,O,X
ILJTZOS,X,X,X,X,O,O,X,O,X,X
ILJTOSZ,X,O,X,X,X,O,O,X,X,X
ILJTOZS,X,X,X,X,O,O,X,O,X,X
ILJSTZO,X,O,O,X,X,O,O,O,O,X
ILJSTOZ,X,O,X,O,X,O,O,X,O,X
ILJSZTO,X,O,O,X,O,X,O,X,O,X
ILJSZOT,X,O,O,X,O,O,O,X,X,X
ILJSOTZ,X,O,X,O,X,O,O,X,O,X
ILJSOZT,X,O,X,O,O,O,O,X,X,X
ILJZTSO,X,X,O,X,O,X,X,O,X,X
ILJZTOS,X,X,X,X,O,X,X,O,X,X
ILJZSTO,X,O,O,X,O,X,X,X,X,X
ILJZSOT,X,O,O,X,O,X,X,X,X,X
ILJZOTS,X,X,X,X,O,X,X,X,X,X
ILJZOST,X,O,O,X,O,X,X,X,X,X
ILJOTSZ,X,O,X,O,X,O,X,X,X,X
ILJOTZS,X,X,X,X,X,O,X,O,X,X
ILJOSTZ,X,O,X,O,X,O,X,X,X,X
ILJOSZT,X,O,X,O,X,O,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,X
ILJOZST,X,O,X,O,O,X,X,X,X,X
ILSTJZO,X,O,O,X,O,O,O,O,O,X
ILSTJOZ,X,O,X,O,O,O,O,X,O,X
ILSTZJO,X,X,O,X,O,X,O,O,O,X
ILSTZOJ,X,O,O,O,O,O,O,X,O,X
ILSTOJZ,X,O,X,O,O,O,O,X,X,X
ILSTOZJ,X,O,O,O,O,O,O,X,O,X
ILSJTZO,X,O,O,X,X,O,O,O,O,X
ILSJTOZ,X,O,X,O,X,O,O,X,O,X
ILSJZTO,X,O,O,X,O,X,O,X,O,X
ILSJZOT,X,O,O,X,O,O,O,X,X,X
ILSJOTZ,X,O,X,O,X,O,O,X,O,X
ILSJOZT,X,O,X,O,O,O,O,X,X,X
ILSZTJO,X,X,O,X,O,X,X,X,O,X
ILSZTOJ,X,O,O,O,O,X,X,X,O,X
ILSZJTO,X,O,O,X,O,X,O,X,O,X
ILSZJOT,X,O,O,X,O,X,O,X,X,X
ILSZOTJ,X,O,O,O,O,O,X,X,X,O
ILSZOJT,X,O,O,O,O,O,O,X,X,O
ILSOTJZ,X,O,X,O,O,O,O,X,X,X
ILSOTZJ,X,O,O,O,O,O,O,X,O,X
ILSOJTZ,X,O,X,O,X,O,O,X,O,X
ILSOJZT,X,O,X,O,O,O,O,X,X,O
ILSOZTJ,X,O,O,O,O,O,X,X,X,O
ILSOZJT,X,O,O,O,O,O,O,X,X,O
ILZTJSO,X,X,O,X,O,X,X,O,X,X
ILZTJOS,X,X,X,X,O,X,X,O,X,X
ILZTSJO,X,X,O,X,O,X,X,O,X,X
ILZTSOJ,X,X,O,X,O,X,X,X,X,X
ILZTOJS,X,X,X,X,O,X,X,O,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X,X
ILZJTSO,X,X,O,X,O,X,X,O,X,X
ILZJTOS,X,X,X,X,O,X,X,O,X,X
ILZJSTO,X,O,O,X,O,X,X,X,X,X
ILZJSOT,X,O,O,X,O,X,X,X,X,X
ILZJOTS,X,X,X,X,O,X,X,X,X,X
ILZJOST,X,O,O,X,O,X,X,X,X,X
ILZSTJO,X,X,O,X,O,X,X,X,X,X
ILZSTOJ,X,O,O,O,O,X,X,X,X,X
ILZSJTO,X,O,O,X,O,X,X,X,X,X
ILZSJOT,X,O,O,X,O,X,X,X,X,X
ILZSOTJ,X,O,O,O,O,X,X,X,X,O
ILZSOJT,X,O,O,O,O,X,X,X,X,O
ILZOTJS,X,X,X,X,O,X,X,X,X,O
