sequence,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFygBuhB0fBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBUdBKlBz?gBWnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBmgBCiBU?iBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBzcBOlB8?lBSnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFibBUdBWnBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem7IvhFzcBxfBSnB0?fB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFegBUdBChBx?mB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBqhB/iBz?gBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBChBTiB3?hBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFmcB0fBXhBS?nBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhF2gBCiBUiBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem6IvhFRcB0fBSmBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jei6IvhFzfBWmBxhBU?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFzbBqhB/iBR?lBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFqhB/iBRlBO?lB8lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem8IvhFxfBXhBSnB0?fBTlBlsB
IZLSJTO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O
IZLSJOT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O
IZLSOTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZLSOJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
IZLOJST,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJTLSO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZJTLOS,O,X,X,O,X,O,O,X,O,O,O,O,X,X,X,X
IZJTSLO,O,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X
IZJTSOL,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
IZJTOSL,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZJLTOS,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
IZJLSOT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZJLOST,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X
IZJSTLO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJSTOL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJSLOT,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSTJLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSTOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSLTJO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IZSLJOT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O
IZSLOTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTJLS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOTJSL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTSJL,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOLTJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTLJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTLSJZ,X,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O
IOTLSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTJLZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTJSLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
IOTJSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOTJZSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
IOTSLZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X
IOTSJLZ,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
IOTSJZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOLTJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLTSJZ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOLTSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOLJTZS,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJSTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJZTS,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJZST,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLSTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJTLZS,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJTSLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
IOJTSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOJTZSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOJLTZS,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLSTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLZTS,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLZST,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOJSZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
IOJZLST,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOJZSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSTJZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSJZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZTJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJSZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
LTIJSOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
LTIJZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
LTIJZOS,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
LTIJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LTIJOZS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LTISJZO,X,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O
LTISJOZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
LTISZJO,X,O,X,O,X,O,O,X,X,O,X,O,X,O,O,O
LTISZOJ,X,O,X,O,X,O,O,X,X,O,X,X,X,O,O,X
LTISOJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
LTISOZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X
LTIZJSO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
LTIZJOS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
LTIZSJO,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
LTIZSOJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
LTIZOJS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTIOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTIOSJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
LTIOSZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
LTIOZJS,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
LTJISOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
LTJIZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
LTJIZOS,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
LTJIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJSIZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
LTJSIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
LTJSZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
LTJSZOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
LTJSOZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTJZISO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
LTJZIOS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJZSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
LTJZSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJZOIS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJZOSI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJOISZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJOIZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJOSIZ,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
LTJOSZI,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTJOZIS,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X
LTJOZSI,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O
LTSIJOZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
LTSIZJO,O,O,X,O,X,O,X,O,X,O,X,O,X,O,O,O
LTSIZOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X
LTSIOJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
LTSIOZJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X
LTSJIZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O
LTSJIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,O
LTSJZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
LTSJZOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSJOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,O
LTSJOZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSZIJO,O,O,X,O,X,O,X,O,X,O,X,O,X,O,O,O
LTSZIOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X
LTSZJIO,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,O
LTSZJOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSZOIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
LTSZOJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSOIJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
LTSOIZJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X
LTSOJIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O,O
LTSOJZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSOZIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
LTSOZJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTZIJOS,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
LTZISJO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O
LTZISOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTZIOJS,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
LTZIOSJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTZJISO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTZJIOS,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
LTZJSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
LTZJSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZJOIS,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
LTZJOSI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
LTZSIJO,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O
LTZSIOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZSJIO,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,O
LTZSJOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZSOIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZSOJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X
LTZOISJ,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
LTZOJIS,O,O,X,O,X,X,X,X,O,O,X,O,O,X,X,X
LTZOJSI,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTZOSIJ,O,O,X,O,X,O,X,O,O,O,X,O,X,X,X,X
LTZOSJI,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X
LTOIJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTOIJZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
LTOISJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
LTOISZJ,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X
LTOIZJS,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOIZSJ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTOJISZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTOJIZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
LTOJSIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
LTOJSZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOJZIS,O,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
LTOSIJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,O
LTOSIZJ,O,O,X,O,X,O,X,O,X,X,X,O,X,X,O,X
LTOSJIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,X,O,O
LTOSJZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,O,X,O,X,O,X,O,X,O,X,X,O,X
LTOSZJI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
LTOZIJS,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X
LTOZISJ,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
LTOZJIS,O,O,X,O,X,X,X,X,O,O,X,O,O,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
LTOZSIJ,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X
LTOZSJI,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
LITJSZO,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LITJSOZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O
LITJZSO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
