sequence,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhF6gBxcBXeBemBzh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFxbBOiBXeBqlBTh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFlbBXeB6mBZnBzq?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Jel6IvhFUcBXeB6lBZnBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFehBXeBzhB6lBxr?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFVhBXeBZnB6qBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFTcBFeBRmB6lB/n?BmrB,v115@9gA8HeD8DeF8EeH8AeC8Jex6IvhFTcBFeBUmBasB/s?BGqB
TLOZSJI,O,O,X,O,X,X,X,X
TJILSZO,O,O,X,X,X,X,O,X
TJILSOZ,O,O,X,O,X,X,O,X
TJILZSO,O,O,X,X,X,X,O,X
TJILZOS,O,O,X,X,X,X,O,X
TJILOSZ,O,O,X,O,X,X,O,X
TJILOZS,O,O,X,O,X,X,O,X
TJISLZO,O,O,X,X,X,X,O,X
TJISLOZ,O,O,X,O,X,X,O,X
TJISZLO,O,O,X,X,X,X,O,X
TJISZOL,O,O,X,X,X,X,O,X
TJISOLZ,O,O,X,X,X,X,O,X
TJISOZL,O,X,X,X,X,X,O,X
TJIZLSO,O,O,X,X,X,X,O,X
TJIZLOS,O,O,X,X,X,X,O,X
TJIZSLO,O,O,X,X,X,X,O,X
TJIZSOL,O,O,X,X,X,X,O,X
TJIZOLS,O,X,X,X,X,X,O,X
TJIZOSL,O,O,X,X,X,X,O,X
TJIOLSZ,O,O,X,X,X,X,O,X
TJIOLZS,O,O,X,X,X,X,O,X
TJIOSLZ,O,O,X,X,X,X,O,X
TJIOSZL,O,X,X,X,X,X,O,X
TJIOZLS,O,X,X,X,X,X,O,X
TJIOZSL,O,X,X,X,X,X,O,X
TJLISZO,O,O,X,X,X,X,X,X
TJLISOZ,O,O,X,O,X,X,X,X
TJLIZSO,O,O,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,X,X
TJLIOZS,O,O,X,O,X,X,X,X
TJLSIZO,O,O,X,X,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,X,X,X
