sequence,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBxcB2lBFnBXr?BzrB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFmbBFdBTgBcmBXn?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFOgBxcBzgBUiBfs?BVwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdB2lBFnB0r?BzqB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUmBFnBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUiBFmBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdBTgBFnB0r?BerB,v115@7gC8FeD8GeF8CeF8DeC8Jel6IvhFUcBXgBZnBGiBTr?BCrB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFOhBXdBzfBFnB0r?BqqB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFTbBxcB/rBFnB0q?BmrB,v115@7gC8FeD8GeF8CeF8DeC8Jez7IvhFXdBUgBlfBxmBmr?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBXdB2lBFnBTm?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxcBTgB/rBFnBmr?B0qB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFzfBUiBirBuqB/r?BFsB,v115@7gC8FeD8GeF8CeF8DeC8Je06IvhFCdBzgBVnBXgB2r?BRwB,v115@7gC8FeD8GeF8CeF8DeC8JeX7IvhFCdBzgBVnB0fB2r?BRwB
IZTOLJS,X,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X
IZTOLSJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
IZTOJLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
IZTOJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
IZTOSJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
IZLTJSO,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X
IZLTJOS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X
IZLTSJO,O,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
IZLTSOJ,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
IZLTOJS,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IZLTOSJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O
IZLJTSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLJOST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZLOJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOJST,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X
IZJTSLO,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZJTSOL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZJTOSL,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZJLTSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSTLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOTLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZJOTSL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IZSTOJL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZSOTJL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
IZOTJLS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IZOTJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
IZOTSJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
IZOLTJS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IZOLTSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
IZOLJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOLJST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOLSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZOJTSL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOJLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IZOSTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOTLJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
IOTLSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
IOTLSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOTLZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTLZSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
IOTJLSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTJLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOTJSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTJSZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTJZLS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IOTJZSL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTSLZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOTSJLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTSJZL,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTSZLJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,O
IOTSZJL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
IOTZLJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTZLSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IOTZJLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTZJSL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
IOTZSJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOLTJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
IOLTSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
IOLTSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOLTZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
IOLTZSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
IOLJTSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLJTZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLJSTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLJZTS,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLJZST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLSTJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
IOLSTZJ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOLSJTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLSZTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IOLZTSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
IOLZJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLZJST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLZSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOJTSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOJTSZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJTZLS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IOJTZSL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOJLTSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJLTZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOJLSTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJLZTS,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJLZST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOJSTZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X
IOJZTSL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZLTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O
IOSTLZJ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O
IOSTJLZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSTJZL,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSTZLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
IOSTZJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
IOSLTZJ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOSLJTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSJTZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IOSZTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X
IOZTLSJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
IOZTJLS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOZTJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
IOZTSJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
IOZLTJS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IOZLTSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
IOZLJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZLJST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZLSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZLSJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZJTSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IOZSTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJZSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJZOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
LTIJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
LTIJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
LTISJZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISZJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LTISZOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
LTISOJZ,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O
LTISOZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
LTIZJSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
LTIZSJO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTIZSOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
LTIZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LTIZOSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
LTIOJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
LTIOJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
LTIOSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
LTIOSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
LTIOZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LTIOZSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
LTJISZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJIZSO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIZOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJSIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJSOZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJZISO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJZIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJZOSI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJOISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTJOSIZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJOZSI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
LTSIJZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTSIOZJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSJIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTSJZOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSJOZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSZIJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSZIOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSZJOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSZOIJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSZOJI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTSOIJZ,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTSOIZJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSOJIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSOJZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSOZJI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTZIJSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZISJO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTZISOJ,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X
LTZIOJS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
LTZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTZJISO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJIOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTZJOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
LTZJOSI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
LTZSIJO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTZSIOJ,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTZSJIO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTZSJOI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTZSOIJ,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTZSOJI,X,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
LTZOIJS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X
LTZOJSI,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X
LTZOSIJ,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZOSJI,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTOISJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTOIZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOJIZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTOJSIZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
