sequence,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFicB9iBfnB5oB8s?BOtB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcBCeBzhBXjB9t?B0sB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBcjBOnBqs?B9tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBSjBNnB8s?B+tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBRdB9jBfoBUn?BSyB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBXeBxsB9tBCn?B0sB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcB9iBfnB6oB8s?BTtB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFxcB6jB0hB9sB/t?BmsB
TZJOISL,O,O,X,O,X,X,X,O
TZJOLIS,X,O,O,O,O,X,X,X
TZJOLSI,X,O,O,O,O,X,O,X
TZJOSIL,O,O,O,O,O,X,O,O
TZJOSLI,O,O,O,O,O,X,O,O
TZSILJO,O,O,O,X,O,X,O,O
TZSILOJ,O,O,O,X,O,X,O,O
TZSIJLO,O,O,X,X,O,X,O,O
TZSIJOL,O,O,O,X,O,X,O,O
TZSIOLJ,O,O,O,X,O,X,O,O
TZSIOJL,O,O,O,X,O,X,O,O
TZSLIJO,O,O,O,X,O,X,O,O
TZSLIOJ,O,O,O,X,O,X,O,O
TZSLJIO,O,O,O,X,O,X,O,O
TZSLJOI,O,O,O,X,O,X,O,O
TZSLOIJ,O,O,O,X,O,X,O,O
TZSLOJI,O,O,O,X,O,X,O,O
TZSJILO,O,O,X,O,O,X,O,O
TZSJIOL,O,O,O,O,O,X,O,O
TZSJLIO,O,O,O,O,O,X,O,O
TZSJLOI,O,O,O,O,O,X,O,O
TZSJOIL,O,O,O,O,O,X,O,O
TZSJOLI,O,O,O,O,O,X,O,O
TZSOILJ,O,O,O,X,O,X,O,O
TZSOIJL,O,O,O,X,O,X,O,O
TZSOLIJ,O,O,O,X,O,X,O,O
TZSOLJI,O,O,O,X,O,X,O,O
TZSOJIL,O,O,O,O,O,X,O,O
TZSOJLI,O,O,O,O,O,X,O,O
TZOILJS,X,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,O
TZOIJLS,X,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,O
TZOISLJ,O,O,O,X,X,X,X,O
TZOISJL,O,O,O,X,X,X,X,O
TZOLIJS,X,O,O,X,O,X,X,X
TZOLISJ,O,O,O,X,O,X,X,O
TZOLJIS,X,O,O,X,O,X,X,X
TZOLJSI,X,O,O,X,O,X,O,X
TZOLSIJ,O,O,O,X,O,X,O,O
TZOLSJI,O,O,O,X,O,X,O,O
TZOJILS,X,O,X,O,X,X,X,X
TZOJISL,O,O,X,O,X,X,X,O
TZOJLIS,X,O,O,O,O,X,X,X
TZOJLSI,X,O,O,O,O,X,O,X
TZOJSIL,O,O,O,O,O,X,O,O
TZOJSLI,O,O,O,O,O,X,O,O
TZOSILJ,O,O,O,X,O,X,O,O
TZOSIJL,O,O,O,X,O,X,O,O
TZOSLIJ,O,O,O,X,O,X,O,O
TZOSLJI,O,O,O,X,O,X,O,O
TZOSJIL,O,O,O,O,O,X,O,O
TZOSJLI,O,O,O,O,O,X,O,O
TOILJSZ,X,O,O,X,X,O,X,X
TOILJZS,X,O,O,X,X,O,X,X
TOILSJZ,X,O,O,X,X,O,X,X
TOILSZJ,O,O,O,X,X,X,X,X
TOILZJS,X,O,O,X,X,O,X,X
TOILZSJ,O,O,O,X,X,O,X,X
TOIJLSZ,X,O,X,X,X,O,X,X
TOIJLZS,X,O,X,X,X,O,X,X
TOIJSLZ,X,O,X,X,X,O,X,X
TOIJSZL,X,O,X,O,X,O,X,X
TOIJZLS,X,O,X,O,X,O,X,X
TOIJZSL,X,O,X,O,X,O,X,X
TOISLJZ,X,O,O,X,X,O,X,X
TOISLZJ,O,O,O,X,X,X,X,O
TOISJLZ,X,O,X,X,X,O,X,X
TOISJZL,X,O,X,O,X,O,X,X
TOISZLJ,O,O,O,X,X,O,X,O
TOISZJL,O,O,O,X,X,O,X,O
TOIZLJS,X,O,O,X,X,O,X,X
TOIZLSJ,O,O,O,X,X,O,X,O
TOIZJLS,X,O,X,X,X,O,X,X
TOIZJSL,O,O,X,X,X,O,X,O
TOIZSLJ,O,O,O,X,X,O,X,O
TOIZSJL,O,O,O,X,X,O,X,O
TOLIJSZ,X,O,O,X,O,X,X,X
TOLIJZS,X,O,O,X,X,X,X,X
TOLISJZ,X,O,O,X,O,X,X,X
TOLISZJ,O,O,O,X,O,X,X,X
TOLIZJS,X,O,O,X,O,X,X,X
TOLIZSJ,O,O,O,X,O,X,X,X
TOLJISZ,X,O,O,X,O,X,X,X
TOLJIZS,X,O,O,X,X,X,X,X
TOLJSIZ,X,O,O,X,O,X,X,X
TOLJSZI,X,O,O,O,O,X,X,X
TOLJZIS,X,O,O,O,O,X,X,X
TOLJZSI,X,O,O,O,O,X,X,X
TOLSIJZ,X,O,O,X,O,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,O
TOLSJIZ,X,O,O,X,O,X,X,X
TOLSJZI,O,O,O,O,O,X,X,O
TOLSZIJ,O,O,O,X,O,X,X,O
TOLSZJI,O,O,O,X,O,X,X,O
TOLZIJS,X,O,O,X,O,X,X,X
TOLZISJ,O,O,O,X,O,X,X,O
TOLZJIS,X,O,O,X,O,X,X,X
TOLZJSI,X,O,O,X,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,O
TOLZSJI,O,O,O,X,O,X,X,O
TOJILSZ,X,O,X,X,X,O,X,X
TOJILZS,X,O,X,X,X,O,X,X
TOJISLZ,X,O,X,X,X,O,X,X
TOJISZL,X,O,X,O,X,O,X,X
TOJIZLS,X,O,X,O,X,O,X,X
TOJIZSL,X,O,X,O,X,O,X,X
TOJLISZ,X,O,O,X,O,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X
TOJLSIZ,X,O,O,X,O,X,X,X
TOJLSZI,X,O,O,O,O,X,X,X
TOJLZIS,X,O,O,O,O,X,X,X
TOJLZSI,X,O,O,O,O,X,X,X
TOJSILZ,X,O,X,X,X,X,X,X
TOJSIZL,X,O,X,O,X,X,X,X
TOJSLIZ,X,O,O,X,X,X,X,X
TOJSLZI,X,O,O,O,X,X,X,O
TOJSZIL,X,O,O,O,X,X,X,O
TOJSZLI,X,O,O,O,X,X,X,O
TOJZILS,X,O,X,O,X,X,X,X
TOJZISL,X,O,X,O,X,X,X,O
TOJZLIS,X,O,O,O,O,X,X,X
TOJZLSI,X,O,O,O,O,X,X,X
TOJZSIL,X,O,O,O,O,X,X,O
TOJZSLI,X,O,O,O,O,X,X,O
TOSILJZ,X,O,O,X,X,X,X,X
TOSILZJ,O,O,O,X,X,X,X,O
TOSIJLZ,X,O,X,X,X,X,X,X
TOSIJZL,X,O,X,O,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,O
TOSIZJL,O,O,O,X,X,X,X,O
TOSLIJZ,X,O,O,X,X,X,X,X
TOSLIZJ,O,O,O,X,X,X,X,O
TOSLJIZ,X,O,O,X,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,O
TOSLZIJ,O,O,O,X,X,X,X,O
TOSLZJI,O,O,O,X,X,X,X,O
TOSJILZ,X,O,X,X,X,X,X,X
TOSJIZL,X,O,X,O,X,X,X,X
TOSJLIZ,X,O,O,X,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,O
TOSJZIL,O,O,O,O,X,X,X,O
TOSJZLI,O,O,O,O,X,X,X,O
TOSZILJ,O,O,O,X,X,X,X,O
TOSZIJL,O,O,O,X,X,X,X,O
TOSZLIJ,O,O,O,X,X,X,X,O
TOSZLJI,O,O,O,X,X,X,X,O
TOSZJIL,O,O,O,O,X,X,X,O
TOSZJLI,O,O,O,O,X,X,X,O
TOZILJS,X,O,O,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,O
TOZIJLS,X,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,O
TOZISLJ,O,O,O,X,X,X,X,O
TOZISJL,O,O,O,X,X,X,X,O
TOZLIJS,X,O,O,X,O,X,X,X
TOZLISJ,O,O,O,X,O,X,X,O
TOZLJIS,X,O,O,X,O,X,X,X
TOZLJSI,X,O,O,X,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,O
TOZLSJI,O,O,O,X,O,X,X,O
TOZJILS,X,O,X,O,X,X,X,X
TOZJISL,O,O,X,O,X,X,X,O
TOZJLIS,X,O,O,O,O,X,X,X
TOZJLSI,X,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,O,X,X,O
TOZJSLI,O,O,O,O,O,X,X,O
TOZSILJ,O,O,O,X,O,X,X,O
TOZSIJL,O,O,O,X,O,X,X,O
TOZSLIJ,O,O,O,X,O,X,X,O
TOZSLJI,O,O,O,X,O,X,X,O
TOZSJIL,O,O,O,O,O,X,X,O
TOZSJLI,O,O,O,O,O,X,X,O
ITLJSZO,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,O,X,X,O,X,X
ITLJZSO,X,X,O,X,X,O,X,X
ITLJZOS,X,X,O,X,X,O,X,X
ITLJOSZ,X,X,O,X,X,O,X,X
ITLJOZS,X,X,O,X,X,O,X,X
ITLSJZO,X,X,O,X,X,X,X,X
ITLSJOZ,X,X,O,X,X,O,X,X
ITLSZJO,O,X,O,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X,X
ITLSOJZ,X,X,O,X,X,O,X,X
ITLSOZJ,O,X,O,X,X,X,X,X
ITLZJSO,X,X,O,X,X,O,X,X
ITLZJOS,X,X,O,X,X,O,X,X
ITLZSJO,O,X,O,X,X,O,X,X
ITLZSOJ,O,X,O,X,X,O,X,X
ITLZOJS,X,X,O,X,X,O,X,X
ITLZOSJ,O,X,O,X,X,O,X,X
ITLOJSZ,X,X,O,X,X,O,X,X
ITLOJZS,X,X,O,X,X,O,X,X
ITLOSJZ,X,X,O,X,X,O,X,X
ITLOSZJ,O,X,O,X,X,X,X,X
ITLOZJS,X,X,O,X,X,O,X,X
ITLOZSJ,O,X,O,X,X,O,X,X
ITJLSZO,X,O,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,O,X,X
ITJLZSO,X,O,X,X,X,O,X,X
ITJLZOS,X,O,X,X,X,O,X,X
ITJLOSZ,X,O,X,X,X,O,X,X
ITJLOZS,X,O,X,X,X,O,X,X
ITJSLZO,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,O,X,X
ITJSZLO,X,O,X,O,X,O,X,X
ITJSZOL,X,O,X,O,X,O,X,X
ITJSOLZ,X,O,X,X,X,O,X,X
ITJSOZL,X,O,X,O,X,O,X,X
ITJZLSO,X,O,X,O,X,O,X,X
ITJZLOS,X,O,X,O,X,O,X,X
ITJZSLO,X,O,X,O,X,O,X,X
ITJZSOL,X,O,X,O,X,O,X,X
ITJZOLS,X,O,X,O,X,O,X,X
ITJZOSL,X,O,X,O,X,O,X,X
ITJOLSZ,X,O,X,X,X,O,X,X
ITJOLZS,X,O,X,X,X,O,X,X
ITJOSLZ,X,O,X,X,X,O,X,X
ITJOSZL,X,O,X,O,X,O,X,X
ITJOZLS,X,O,X,O,X,O,X,X
ITJOZSL,X,O,X,O,X,O,X,X
ITSLJZO,X,O,O,X,X,X,X,X
ITSLJOZ,X,O,O,X,X,O,X,X
ITSLZJO,O,X,O,X,X,X,X,O
ITSLZOJ,O,X,O,X,X,X,X,O
ITSLOJZ,X,O,O,X,X,O,X,X
ITSLOZJ,O,O,O,X,X,X,X,O
ITSJLZO,X,O,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,O,X,X
ITSJZLO,X,O,X,O,X,O,X,X
ITSJZOL,X,X,X,O,X,O,X,X
ITSJOLZ,X,O,X,X,X,O,X,X
ITSJOZL,X,O,X,O,X,O,X,X
ITSZLJO,O,X,O,X,X,O,X,O
ITSZLOJ,O,X,O,X,X,O,X,O
ITSZJLO,O,X,X,X,X,O,X,O
ITSZJOL,O,X,O,X,X,O,X,O
ITSZOLJ,O,X,O,X,X,O,X,O
ITSZOJL,O,X,O,X,X,O,X,O
ITSOLJZ,X,O,O,X,X,O,X,X
ITSOLZJ,O,O,O,X,X,X,X,O
ITSOJLZ,X,O,X,X,X,O,X,X
ITSOJZL,X,O,X,O,X,O,X,X
ITSOZLJ,O,O,O,X,X,O,X,O
ITSOZJL,O,O,O,X,X,O,X,O
ITZLJSO,X,X,O,X,X,O,X,X
ITZLJOS,X,X,O,X,X,O,X,X
ITZLSJO,O,X,O,X,X,O,X,O
ITZLSOJ,O,X,O,X,X,O,X,O
ITZLOJS,X,X,O,X,X,O,X,X
ITZLOSJ,O,X,O,X,X,O,X,O
ITZJLSO,X,O,X,X,X,O,X,X
ITZJLOS,X,O,X,X,X,O,X,X
ITZJSLO,O,O,X,X,X,O,X,O
ITZJSOL,O,O,X,X,X,O,X,O
ITZJOLS,X,O,X,X,X,O,X,X
ITZJOSL,O,O,X,X,X,O,X,O
ITZSLJO,O,O,O,X,X,O,X,O
ITZSLOJ,O,O,O,X,X,O,X,O
ITZSJLO,O,O,X,X,X,O,X,O
ITZSJOL,O,O,O,X,X,O,X,O
ITZSOLJ,O,O,O,X,X,O,X,O
ITZSOJL,O,O,O,X,X,O,X,O
ITZOLJS,X,O,O,X,X,O,X,X
ITZOLSJ,O,O,O,X,X,O,X,O
ITZOJLS,X,O,X,X,X,O,X,X
ITZOJSL,O,O,X,X,X,O,X,O
ITZOSLJ,O,O,O,X,X,O,X,O
ITZOSJL,O,O,O,X,X,O,X,O
ITOLJSZ,X,O,O,X,X,O,X,X
ITOLJZS,X,O,O,X,X,O,X,X
ITOLSJZ,X,O,O,X,X,O,X,X
ITOLSZJ,O,O,O,X,X,X,X,X
ITOLZJS,X,O,O,X,X,O,X,X
ITOLZSJ,O,O,O,X,X,O,X,X
ITOJLSZ,X,O,X,X,X,O,X,X
ITOJLZS,X,O,X,X,X,O,X,X
ITOJSLZ,X,O,X,X,X,O,X,X
ITOJSZL,X,O,X,O,X,O,X,X
ITOJZLS,X,O,X,O,X,O,X,X
ITOJZSL,X,O,X,O,X,O,X,X
ITOSLJZ,X,O,O,X,X,O,X,X
ITOSLZJ,O,O,O,X,X,X,X,O
ITOSJLZ,X,O,X,X,X,O,X,X
ITOSJZL,X,O,X,O,X,O,X,X
ITOSZLJ,O,O,O,X,X,O,X,O
ITOSZJL,O,O,O,X,X,O,X,O
ITOZLJS,X,O,O,X,X,O,X,X
ITOZLSJ,O,O,O,X,X,O,X,O
ITOZJLS,X,O,X,X,X,O,X,X
ITOZJSL,O,O,X,X,X,O,X,O
ITOZSLJ,O,O,O,X,X,O,X,O
ITOZSJL,O,O,O,X,X,O,X,O
ILTJSZO,X,X,O,X,O,X,X,X
ILTJSOZ,X,X,O,X,O,O,X,X
ILTJZSO,X,X,O,X,X,O,X,X
ILTJZOS,X,X,O,X,X,O,X,X
ILTJOSZ,X,X,O,X,O,O,X,X
ILTJOZS,X,X,O,X,X,O,X,X
ILTSJZO,X,X,O,X,O,X,X,X
ILTSJOZ,X,X,O,X,O,O,X,X
ILTSZJO,O,X,O,X,O,X,X,X
ILTSZOJ,O,X,O,X,O,X,X,X
ILTSOJZ,X,X,O,X,O,O,X,X
ILTSOZJ,O,X,O,X,O,X,X,X
ILTZJSO,X,X,O,X,O,O,X,X
ILTZJOS,X,X,O,X,O,O,X,X
ILTZSJO,O,X,O,X,O,O,X,X
ILTZSOJ,O,X,O,X,O,O,X,X
ILTZOJS,X,X,O,X,O,O,X,X
ILTZOSJ,O,X,O,X,O,O,X,X
ILTOJSZ,X,X,O,X,O,O,X,X
ILTOJZS,X,X,O,X,X,O,X,X
ILTOSJZ,X,X,O,X,O,O,X,X
ILTOSZJ,O,X,O,X,O,X,X,X
ILTOZJS,X,X,O,X,O,O,X,X
ILTOZSJ,O,X,O,X,O,O,X,X
ILJTSZO,X,X,O,X,O,X,X,X
ILJTSOZ,X,X,O,X,O,O,X,X
ILJTZSO,X,X,O,X,X,O,X,X
ILJTZOS,X,X,O,X,X,O,X,X
ILJTOSZ,X,X,O,X,O,O,X,X
ILJTOZS,X,X,O,X,X,O,X,X
ILJSTZO,X,X,O,X,O,X,X,X
ILJSTOZ,X,X,O,X,O,X,X,X
ILJSZTO,O,X,X,X,X,X,X,X
ILJSZOT,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,O,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X
ILJZTSO,X,X,X,X,O,O,X,X
ILJZTOS,X,X,X,X,O,O,X,X
ILJZSTO,O,X,X,X,O,X,X,X
ILJZSOT,O,X,X,X,O,X,X,X
ILJZOTS,X,X,X,X,O,O,X,X
ILJZOST,O,X,X,X,O,X,X,X
ILJOTSZ,X,X,O,X,O,O,X,X
ILJOTZS,X,X,O,X,X,O,X,X
ILJOSTZ,X,X,O,X,O,X,X,X
ILJOSZT,O,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,O,O,X,X
ILJOZST,O,X,X,X,O,X,X,X
ILSTJZO,X,X,O,X,O,X,X,X
ILSTJOZ,X,X,O,X,O,X,X,X
ILSTZJO,O,X,O,X,O,X,X,X
ILSTZOJ,O,X,O,X,O,X,X,X
ILSTOJZ,X,X,O,X,O,X,X,X
ILSTOZJ,O,X,O,X,O,X,X,X
ILSJTZO,X,X,O,X,O,X,X,X
ILSJTOZ,X,X,O,X,O,X,X,X
ILSJZTO,O,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,O,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X
ILSZTJO,O,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X
ILSZJTO,O,X,X,X,X,X,X,X
ILSZJOT,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X
ILSZOJT,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,X,O,X,X,X
ILSOTZJ,O,X,O,X,O,X,X,X
ILSOJTZ,X,X,O,X,O,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,O,X,X
ILZTJOS,X,X,X,X,O,O,X,X
ILZTSJO,O,X,X,X,O,O,X,X
ILZTSOJ,O,X,X,X,O,O,X,X
ILZTOJS,X,X,X,X,O,O,X,X
ILZTOSJ,O,X,X,X,O,O,X,X
ILZJTSO,X,X,X,X,O,O,X,X
ILZJTOS,X,X,X,X,O,O,X,X
ILZJSTO,O,X,X,X,O,X,X,X
ILZJSOT,O,X,X,X,O,X,X,X
ILZJOTS,X,X,X,X,O,O,X,X
ILZJOST,O,X,X,X,O,X,X,X
ILZSTJO,O,X,X,X,O,X,X,X
ILZSTOJ,O,X,X,X,O,X,X,X
ILZSJTO,O,X,X,X,O,X,X,X
ILZSJOT,O,X,X,X,O,X,X,X
ILZSOTJ,O,X,X,X,O,X,X,X
ILZSOJT,O,X,X,X,O,X,X,X
ILZOTJS,X,X,X,X,O,O,X,X
ILZOTSJ,O,X,X,X,O,O,X,X
ILZOJTS,X,X,X,X,O,O,X,X
ILZOJST,O,X,X,X,O,X,X,X
ILZOSTJ,O,X,X,X,O,X,X,X
ILZOSJT,O,X,X,X,O,X,X,X
ILOTJSZ,X,X,O,X,O,O,X,X
ILOTJZS,X,X,O,X,X,O,X,X
ILOTSJZ,X,X,O,X,O,O,X,X
ILOTSZJ,O,X,O,X,O,X,X,X
ILOTZJS,X,X,O,X,O,O,X,X
ILOTZSJ,O,X,O,X,O,O,X,X
ILOJTSZ,X,X,O,X,O,O,X,X
ILOJTZS,X,X,O,X,X,O,X,X
ILOJSTZ,X,X,O,X,O,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,O,O,X,X
ILOJZST,O,X,X,X,O,X,X,X
ILOSTJZ,X,X,O,X,O,X,X,X
ILOSTZJ,O,X,O,X,O,X,X,X
ILOSJTZ,X,X,O,X,O,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,O,O,X,X
ILOZTSJ,O,X,X,X,O,O,X,X
ILOZJTS,X,X,X,X,O,O,X,X
ILOZJST,O,X,X,X,O,X,X,X
ILOZSTJ,O,X,X,X,O,X,X,X
ILOZSJT,O,X,X,X,O,X,X,X
IJTLSZO,X,O,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,O,X,X
IJTLZSO,X,O,X,X,X,O,X,X
IJTLZOS,X,O,X,X,X,O,X,X
IJTLOSZ,X,O,X,X,X,O,X,X
IJTLOZS,X,O,X,X,X,O,X,X
IJTSLZO,X,O,X,X,X,X,O,X
IJTSLOZ,X,O,X,X,X,O,X,X
IJTSZLO,X,O,X,O,X,O,O,X
IJTSZOL,X,O,X,O,X,O,O,X
IJTSOLZ,X,O,X,X,X,O,X,X
IJTSOZL,X,O,X,O,X,O,O,X
IJTZLSO,X,O,X,O,X,O,X,X
IJTZLOS,X,O,X,O,X,O,X,X
IJTZSLO,X,O,X,O,X,O,O,X
IJTZSOL,X,O,X,O,X,O,O,X
IJTZOLS,X,O,X,O,X,O,X,X
IJTZOSL,X,O,X,O,X,O,X,X
IJTOLSZ,X,O,X,X,X,O,X,X
IJTOLZS,X,O,X,X,X,O,X,X
IJTOSLZ,X,O,X,X,X,O,X,X
IJTOSZL,X,O,X,O,X,O,X,X
IJTOZLS,X,O,X,O,X,O,X,X
IJTOZSL,X,O,X,O,X,O,X,X
IJLTSZO,X,O,O,X,O,X,X,X
IJLTSOZ,X,O,O,X,O,O,X,X
IJLTZSO,X,O,O,X,X,O,X,X
IJLTZOS,X,O,O,X,X,O,X,X
IJLTOSZ,X,O,O,X,O,O,X,X
IJLTOZS,X,O,O,X,X,O,X,X
IJLSTZO,X,X,O,X,O,X,O,X
IJLSTOZ,X,X,O,X,O,X,X,X
IJLSZTO,O,X,X,X,X,X,O,X
IJLSZOT,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,O,X,X,X
IJLSOZT,O,X,X,X,X,X,X,X
IJLZTSO,X,O,X,O,O,O,X,X
IJLZTOS,X,O,X,O,O,O,X,X
IJLZSTO,O,X,X,X,O,X,O,X
IJLZSOT,O,X,X,X,O,X,X,X
IJLZOTS,X,O,X,O,O,O,X,X
IJLZOST,O,X,X,X,O,X,X,X
IJLOTSZ,X,O,O,X,O,O,X,X
IJLOTZS,X,O,O,X,X,O,X,X
IJLOSTZ,X,X,O,X,O,X,X,X
IJLOSZT,O,X,X,X,X,X,X,X
IJLOZTS,X,O,X,O,O,O,X,X
IJLOZST,O,X,X,X,O,X,X,X
IJSTLZO,X,O,X,X,X,X,O,X
IJSTLOZ,X,O,X,X,X,O,X,X
IJSTZLO,X,O,X,O,X,O,O,X
IJSTZOL,X,O,X,O,X,O,O,X
IJSTOLZ,X,O,X,X,X,O,X,X
IJSTOZL,X,O,X,O,X,O,O,X
IJSLTZO,X,X,O,X,X,X,O,X
IJSLTOZ,X,X,O,X,X,X,X,X
IJSLZTO,O,X,X,X,X,X,O,X
IJSLZOT,O,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X
IJSZTLO,O,O,X,O,X,O,O,X
IJSZTOL,O,O,X,O,X,O,O,X
IJSZLTO,O,X,X,X,X,X,O,X
IJSZLOT,O,X,X,X,X,X,X,X
IJSZOTL,O,O,X,O,X,O,O,X
IJSZOLT,O,X,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,O,X,X
IJSOTZL,X,O,X,O,X,O,O,X
IJSOLTZ,X,X,O,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,O,O,X
IJSOZLT,O,X,X,X,X,X,X,X
IJZTLSO,X,O,X,O,X,O,O,X
IJZTLOS,X,O,X,O,X,O,X,X
IJZTSLO,O,O,X,O,X,O,O,X
IJZTSOL,O,O,X,O,X,O,O,X
IJZTOLS,X,O,X,O,X,O,X,X
IJZTOSL,O,O,X,O,X,O,X,X
IJZLTSO,X,O,X,O,O,O,O,X
IJZLTOS,X,O,X,O,O,O,X,X
IJZLSTO,O,X,X,X,O,X,O,X
IJZLSOT,O,X,X,X,O,X,X,X
IJZLOTS,X,O,X,O,O,O,X,X
IJZLOST,O,X,X,X,O,X,X,X
IJZSTLO,O,O,X,O,O,O,O,X
IJZSTOL,O,O,X,O,O,O,O,X
IJZSLTO,O,X,X,X,X,X,O,X
IJZSLOT,O,X,X,X,X,X,X,X
IJZSOTL,O,O,X,O,O,O,O,X
IJZSOLT,O,X,X,X,X,X,X,X
IJZOTLS,X,O,X,O,X,O,X,X
IJZOTSL,O,O,X,O,X,O,X,X
IJZOLTS,X,O,X,O,O,O,X,X
IJZOLST,O,X,X,X,O,X,X,X
IJZOSTL,O,O,X,O,O,O,O,X
IJZOSLT,O,X,X,X,X,X,X,X
IJOTLSZ,X,O,X,X,X,O,X,X
IJOTLZS,X,O,X,X,X,O,X,X
IJOTSLZ,X,O,X,X,X,O,X,X
IJOTSZL,X,O,X,O,X,O,X,X
IJOTZLS,X,O,X,O,X,O,X,X
IJOTZSL,X,O,X,O,X,O,X,X
IJOLTSZ,X,O,O,X,O,O,X,X
IJOLTZS,X,O,O,X,X,O,X,X
IJOLSTZ,X,X,O,X,O,X,X,X
IJOLSZT,O,X,X,X,X,X,X,X
IJOLZTS,X,O,X,O,O,O,X,X
IJOLZST,O,X,X,X,O,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,X
IJOSTZL,X,O,X,O,X,O,O,X
IJOSLTZ,X,X,O,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,O,O,X
IJOSZLT,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,O,X,O,X,X
IJOZTSL,O,O,X,O,X,O,X,X
IJOZLTS,X,O,X,O,O,O,X,X
IJOZLST,O,X,X,X,O,X,X,X
IJOZSTL,O,O,X,O,O,O,O,X
IJOZSLT,O,X,X,X,X,X,X,X
ISTLJZO,X,X,O,X,X,X,O,X
ISTLJOZ,X,X,O,X,X,O,X,X
ISTLZJO,O,X,O,X,X,X,O,O
ISTLZOJ,O,X,O,X,X,X,O,O
ISTLOJZ,X,X,O,X,X,O,X,X
ISTLOZJ,O,X,O,X,X,X,X,O
ISTJLZO,X,X,X,X,X,X,O,X
ISTJLOZ,X,X,X,X,X,O,X,X
ISTJZLO,X,X,X,O,X,O,O,X
ISTJZOL,X,X,X,O,X,O,O,X
ISTJOLZ,X,X,X,X,X,O,X,X
ISTJOZL,X,X,X,O,X,O,O,X
ISTZLJO,O,X,O,X,X,O,O,O
ISTZLOJ,O,X,O,X,X,O,O,O
ISTZJLO,O,X,X,X,X,O,O,O
ISTZJOL,O,X,O,X,X,O,O,O
ISTZOLJ,O,X,O,X,X,O,O,O
ISTZOJL,O,X,O,X,X,O,O,O
ISTOLJZ,X,X,O,X,X,O,X,X
ISTOLZJ,O,X,O,X,X,X,X,O
ISTOJLZ,X,X,X,X,X,O,X,X
ISTOJZL,X,X,X,O,X,O,O,X
ISTOZLJ,O,X,O,X,X,O,O,O
ISTOZJL,O,X,O,X,X,O,O,O
ISLTJZO,X,X,O,X,X,X,O,X
ISLTJOZ,X,X,O,X,X,X,X,X
ISLTZJO,O,X,O,X,X,X,O,O
