sequence,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je07IvhFmcB5iBTeBf?nBilBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhFRdBSjBclB3?hBTnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhF5iBTeBclBa?nB3hBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFTeBclBihB+?nBXiBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JeR9IvhFSjB/nBTlB0?mBFmBmqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JefCJvhF6iBTeBclBZ?mBWxBlqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFGeBclBThB3?iBKnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je08IvhFxdB3gBCjBO?rBVxBTqB
TZJSOLI,O,O,O,O,X,O,O,O
TZJOILS,O,O,O,O,X,X,X,X
TZJOISL,O,X,O,O,X,O,X,X
TZJOLIS,O,O,O,O,X,X,X,O
TZJOLSI,O,O,O,O,X,X,X,O
TZJOSIL,O,O,O,O,X,O,O,X
TZJOSLI,O,O,O,O,X,O,O,O
TZSILJO,O,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X
TZSIJOL,O,O,O,O,X,X,O,X
TZSIOLJ,O,O,O,X,X,X,O,X
TZSIOJL,O,O,O,O,X,X,O,X
TZSLIJO,O,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,X
TZSLJOI,O,O,O,O,X,X,O,X
TZSLOIJ,O,O,O,X,X,X,O,X
TZSLOJI,O,O,O,X,X,X,O,X
TZSJILO,O,O,O,O,X,X,X,X
TZSJIOL,O,O,O,O,X,X,O,X
TZSJLIO,O,O,O,O,X,X,X,X
TZSJLOI,O,O,O,O,X,X,O,X
TZSJOIL,O,O,O,O,X,X,O,X
TZSJOLI,O,O,O,O,X,X,O,X
TZSOILJ,O,O,O,X,X,X,O,X
TZSOIJL,O,O,O,O,X,X,O,X
TZSOLIJ,O,O,O,X,X,X,O,X
TZSOLJI,O,O,O,X,X,X,O,X
TZSOJIL,O,O,O,O,X,X,O,X
TZSOJLI,O,O,O,O,X,X,O,X
TZOILJS,O,O,O,O,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X
TZOIJLS,O,O,O,O,X,X,X,X
TZOIJSL,O,X,O,O,X,O,X,X
TZOISLJ,O,O,O,X,X,X,O,X
TZOISJL,O,O,O,O,X,X,O,X
TZOLIJS,O,O,O,O,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X
TZOLJIS,O,O,O,O,X,X,X,X
TZOLJSI,O,O,O,O,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,O,X
TZOLSJI,O,O,O,X,X,X,O,X
TZOJILS,O,O,O,O,X,X,X,X
TZOJISL,O,X,O,O,X,O,X,X
TZOJLIS,O,O,O,O,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X
TZOJSIL,O,O,O,O,X,O,O,X
TZOJSLI,O,O,O,O,X,O,O,X
TZOSILJ,O,O,O,X,X,X,O,X
TZOSIJL,O,O,O,O,X,X,O,X
TZOSLIJ,O,O,O,X,X,X,O,X
TZOSLJI,O,O,O,X,X,X,O,X
TZOSJIL,O,O,O,O,X,X,O,X
TZOSJLI,O,O,O,O,X,X,O,X
TOILJSZ,O,O,X,X,X,X,X,X
TOILJZS,O,O,O,X,X,X,X,X
TOILSJZ,O,O,X,X,X,X,X,X
TOILSZJ,O,O,O,X,X,X,X,X
TOILZJS,O,O,O,X,X,X,X,X
TOILZSJ,O,O,O,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,X,X
TOIJLZS,O,X,O,O,X,X,X,X
TOIJSLZ,O,X,X,X,X,O,X,X
TOIJSZL,O,X,X,X,X,O,X,X
TOIJZLS,O,X,O,O,X,X,X,X
TOIJZSL,O,X,O,O,X,O,X,X
TOISLJZ,O,O,X,X,X,X,X,X
TOISLZJ,O,O,O,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,O,X
TOISZLJ,O,O,O,X,X,X,O,X
TOISZJL,O,O,O,X,X,X,O,X
TOIZLJS,O,O,O,O,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,X,X
TOIZJLS,O,O,O,O,X,X,X,X
TOIZJSL,O,X,O,O,X,O,X,X
TOIZSLJ,O,O,O,X,X,X,O,X
TOIZSJL,O,O,O,O,X,X,O,X
TOLIJSZ,O,O,X,X,X,X,X,O
TOLIJZS,O,O,O,X,X,X,X,O
TOLISJZ,O,O,X,X,X,X,X,X
TOLISZJ,O,O,O,X,O,X,X,X
TOLIZJS,O,O,O,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,X,X
TOLJISZ,O,O,X,X,X,X,X,O
TOLJIZS,O,O,O,O,X,X,X,O
TOLJSIZ,O,O,X,X,X,X,X,O
TOLJSZI,O,O,X,O,X,X,X,O
TOLJZIS,O,O,O,O,X,X,X,O
TOLJZSI,O,O,O,O,X,X,X,O
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,O,X
TOLSZIJ,O,O,O,X,O,X,O,X
TOLSZJI,O,O,O,X,O,X,O,X
TOLZIJS,O,O,O,O,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X
TOLZJIS,O,O,O,O,X,X,X,X
TOLZJSI,O,O,O,O,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,O,X
TOLZSJI,O,O,O,X,X,X,O,X
TOJILSZ,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,O,X,X,X,X
TOJISLZ,O,X,X,X,X,O,X,X
TOJISZL,O,X,X,X,X,O,X,X
TOJIZLS,O,X,O,O,X,X,X,X
TOJIZSL,O,X,O,O,X,O,X,X
TOJLISZ,O,O,X,X,X,X,X,O
TOJLIZS,O,O,O,O,X,X,X,O
TOJLSIZ,O,O,X,X,X,X,X,O
TOJLSZI,O,O,X,O,X,X,X,O
TOJLZIS,O,O,O,O,X,X,X,O
TOJLZSI,O,O,O,O,X,X,X,O
TOJSILZ,O,O,X,X,X,O,X,X
TOJSIZL,O,O,X,X,X,O,O,X
TOJSLIZ,O,O,X,X,X,O,X,O
TOJSLZI,O,O,X,O,X,O,O,O
TOJSZIL,O,O,X,O,X,O,O,X
TOJSZLI,O,O,X,O,X,O,O,O
TOJZILS,O,O,O,O,X,X,X,X
TOJZISL,O,X,O,O,X,O,X,X
TOJZLIS,O,O,O,O,X,X,X,O
TOJZLSI,O,O,O,O,X,X,X,O
TOJZSIL,O,O,O,O,X,O,O,X
TOJZSLI,O,O,O,O,X,O,O,O
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,O,O,O,X,O,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,O,X
TOSIZLJ,O,O,O,X,O,X,O,X
TOSIZJL,O,O,O,X,O,X,O,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,O,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,O,X
TOSLZIJ,O,O,O,X,O,X,O,X
TOSLZJI,O,O,O,X,O,X,O,X
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,O,X
TOSJLIZ,O,O,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,O,X
TOSJZIL,O,O,X,O,X,X,O,X
TOSJZLI,O,O,X,O,X,X,O,X
TOSZILJ,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,O,O,X,O,X
TOSZLIJ,O,O,O,X,O,X,O,X
TOSZLJI,O,O,O,X,O,X,O,X
TOSZJIL,O,O,O,O,O,X,O,X
TOSZJLI,O,O,O,O,O,X,O,X
TOZILJS,O,O,O,O,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X
TOZIJLS,O,O,O,O,X,X,X,X
TOZIJSL,O,X,O,O,X,O,X,X
TOZISLJ,O,O,O,X,X,X,O,X
TOZISJL,O,O,O,O,X,X,O,X
TOZLIJS,O,O,O,O,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X,X
TOZLJIS,O,O,O,O,X,X,X,X
TOZLJSI,O,O,O,O,X,X,X,X
TOZLSIJ,O,O,O,X,X,X,O,X
TOZLSJI,O,O,O,X,X,X,O,X
TOZJILS,O,O,O,O,X,X,X,X
TOZJISL,O,X,O,O,X,O,X,X
TOZJLIS,O,O,O,O,X,X,X,X
TOZJLSI,O,O,O,O,X,X,X,X
TOZJSIL,O,O,O,O,X,O,O,X
TOZJSLI,O,O,O,O,X,O,O,X
TOZSILJ,O,O,O,X,O,X,O,X
TOZSIJL,O,O,O,O,O,X,O,X
TOZSLIJ,O,O,O,X,O,X,O,X
TOZSLJI,O,O,O,X,O,X,O,X
TOZSJIL,O,O,O,O,O,X,O,X
TOZSJLI,O,O,O,O,O,X,O,X
ITLJSZO,O,O,X,X,X,X,X,O
ITLJSOZ,O,X,X,X,X,X,X,O
ITLJZSO,O,O,O,O,X,X,X,O
ITLJZOS,O,O,O,O,X,X,X,O
ITLJOSZ,O,X,X,X,X,X,X,O
ITLJOZS,O,X,O,O,X,X,X,O
ITLSJZO,O,O,X,X,X,X,X,O
ITLSJOZ,O,X,X,X,X,X,X,O
ITLSZJO,O,O,O,X,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,O
ITLZJOS,O,O,O,O,X,X,X,O
ITLZSJO,O,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X,X
ITLZOJS,O,O,O,O,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X
ITLOJSZ,O,X,X,X,X,X,X,O
ITLOJZS,O,X,O,X,X,X,X,O
ITLOSJZ,O,X,X,X,X,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,X
ITJLSZO,O,X,X,X,X,X,X,O
ITJLSOZ,O,X,X,X,X,X,X,O
ITJLZSO,O,X,O,O,X,X,X,O
ITJLZOS,O,X,O,O,X,X,X,O
ITJLOSZ,O,X,X,X,X,X,X,O
ITJLOZS,O,X,O,O,X,X,X,O
ITJSLZO,O,X,X,X,X,O,X,O
ITJSLOZ,O,X,X,X,X,O,X,O
ITJSZLO,O,X,X,X,X,O,X,O
ITJSZOL,O,X,X,X,X,O,O,X
ITJSOLZ,O,X,X,X,X,O,X,X
ITJSOZL,O,X,X,X,X,O,O,X
ITJZLSO,O,X,O,O,X,X,X,O
ITJZLOS,O,X,O,O,X,X,X,O
ITJZSLO,O,X,O,O,X,O,X,O
ITJZSOL,O,X,O,O,X,O,O,X
ITJZOLS,O,X,O,O,X,X,X,X
ITJZOSL,O,X,O,O,X,O,X,X
ITJOLSZ,O,X,X,X,X,X,X,X
ITJOLZS,O,X,O,O,X,X,X,X
ITJOSLZ,O,X,X,X,X,O,X,X
ITJOSZL,O,X,X,X,X,O,X,X
ITJOZLS,O,X,O,O,X,X,X,X
ITJOZSL,O,X,O,O,X,O,X,X
ITSLJZO,O,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X
ITSLOZJ,O,O,O,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,O,X
ITSJOLZ,O,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,O,X
ITSZLJO,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X
ITSZJOL,O,O,O,X,X,X,O,X
ITSZOLJ,O,O,O,X,X,X,O,X
ITSZOJL,O,O,O,X,X,X,O,X
ITSOLJZ,O,X,X,X,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,O,X
ITSOZLJ,O,O,O,X,X,X,O,X
ITSOZJL,O,O,O,X,X,X,O,X
ITZLJSO,O,O,O,O,X,X,X,X
ITZLJOS,O,O,O,O,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X,X
ITZLOJS,O,O,O,O,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X
ITZJLSO,O,O,O,O,X,X,X,X
ITZJLOS,O,O,O,O,X,X,X,X
ITZJSLO,O,O,O,O,X,O,X,X
ITZJSOL,O,O,O,O,X,O,O,X
ITZJOLS,O,O,O,O,X,X,X,X
ITZJOSL,O,X,O,O,X,O,X,X
ITZSLJO,O,O,O,O,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X
ITZSJOL,O,O,O,O,X,X,O,X
ITZSOLJ,O,O,O,X,X,X,O,X
ITZSOJL,O,O,O,O,X,X,O,X
ITZOLJS,O,O,O,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X
ITZOJLS,O,O,O,O,X,X,X,X
ITZOJSL,O,X,O,O,X,O,X,X
ITZOSLJ,O,O,O,X,X,X,O,X
ITZOSJL,O,O,O,O,X,X,O,X
ITOLJSZ,O,O,X,X,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,X,X
ITOJLZS,O,X,O,O,X,X,X,X
ITOJSLZ,O,X,X,X,X,O,X,X
ITOJSZL,O,X,X,X,X,O,X,X
ITOJZLS,O,X,O,O,X,X,X,X
ITOJZSL,O,X,O,O,X,O,X,X
ITOSLJZ,O,O,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,O,X
ITOSZLJ,O,O,O,X,X,X,O,X
ITOSZJL,O,O,O,X,X,X,O,X
ITOZLJS,O,O,O,O,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X
ITOZJLS,O,O,O,O,X,X,X,X
ITOZJSL,O,X,O,O,X,O,X,X
ITOZSLJ,O,O,O,X,X,X,O,X
ITOZSJL,O,O,O,O,X,X,O,X
ILTJSZO,O,O,X,X,X,X,X,O
ILTJSOZ,O,X,X,X,X,X,X,O
ILTJZSO,O,O,O,X,X,X,X,O
ILTJZOS,O,O,O,X,X,X,X,O
ILTJOSZ,O,X,X,X,X,X,X,O
ILTJOZS,O,X,O,X,X,X,X,O
ILTSJZO,O,O,X,X,X,X,X,O
ILTSJOZ,O,X,X,X,X,X,X,O
ILTSZJO,O,O,O,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,O,X,X,X
ILTZJSO,O,O,O,X,X,X,X,O
ILTZJOS,O,O,O,X,X,X,X,O
ILTZSJO,O,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X,O
ILTOJZS,O,O,O,X,X,X,X,O
ILTOSJZ,O,O,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,O,X,X,X
ILTOZJS,O,O,O,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X
ILJTSZO,O,O,X,X,X,X,X,O
ILJTSOZ,O,X,X,X,X,X,X,O
ILJTZSO,O,O,O,X,X,X,X,O
ILJTZOS,O,O,O,X,X,X,X,O
ILJTOSZ,O,X,X,X,X,X,X,O
ILJTOZS,O,X,O,X,X,X,X,O
ILJSTZO,O,X,X,X,X,O,X,X
ILJSTOZ,O,X,X,X,X,O,X,X
ILJSZTO,O,O,X,X,X,O,X,X
ILJSZOT,O,O,X,X,X,O,X,X
ILJSOTZ,O,X,X,X,X,O,X,X
ILJSOZT,O,X,X,X,O,O,X,X
ILJZTSO,O,O,O,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,O,X,X
ILJZSOT,O,O,O,X,X,O,X,X
ILJZOTS,O,O,O,X,X,X,X,X
ILJZOST,O,O,O,X,X,O,X,X
ILJOTSZ,O,O,X,X,X,X,X,X
ILJOTZS,O,O,O,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,O,X,X
ILJOSZT,O,O,X,X,O,O,X,X
ILJOZTS,O,O,O,X,X,X,X,X
ILJOZST,O,O,O,X,X,O,X,X
ILSTJZO,O,O,X,X,X,X,X,O
ILSTJOZ,O,X,X,X,X,X,X,O
ILSTZJO,O,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,O,X,X,X
ILSJTZO,O,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,O,X,X,X
ILSZTJO,O,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,X,O,X,X,X
ILSZOJT,O,X,O,X,O,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,O,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X
ILSOJZT,O,O,X,X,O,X,X,X
ILSOZTJ,O,O,X,X,O,X,X,X
ILSOZJT,O,O,O,X,O,X,X,X
ILZTJSO,O,O,O,O,X,X,X,O
ILZTJOS,O,O,O,O,X,X,X,O
ILZTSJO,O,O,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X
ILZTOJS,O,O,O,O,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X
ILZJSTO,O,O,X,X,X,O,X,X
ILZJSOT,O,O,O,X,X,O,X,X
ILZJOTS,O,O,O,X,X,X,X,X
ILZJOST,O,O,O,X,X,O,X,X
ILZSTJO,O,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,O,X,X,X
ILZSOJT,O,X,O,X,O,X,X,X
ILZOTJS,O,O,O,O,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X,X
ILZOJST,O,O,O,X,X,O,X,X
ILZOSTJ,O,O,X,X,O,X,X,X
ILZOSJT,O,O,O,X,O,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,O
ILOTJZS,O,O,O,X,X,X,X,O
ILOTSJZ,O,O,X,X,X,X,X,X
ILOTSZJ,O,O,O,X,O,X,X,X
ILOTZJS,O,O,O,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,O,X,X
ILOJSZT,O,O,X,X,O,O,X,X
ILOJZTS,O,O,O,X,X,X,X,X
ILOJZST,O,O,O,X,X,O,X,X
ILOSTJZ,O,O,X,X,X,X,X,X
ILOSTZJ,O,O,O,X,O,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,X
ILOSJZT,O,O,X,X,O,X,X,X
ILOSZTJ,O,O,X,X,O,X,X,X
ILOSZJT,O,O,O,X,O,X,X,X
ILOZTJS,O,O,O,O,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X,X
ILOZJST,O,O,O,X,X,O,X,X
ILOZSTJ,O,O,X,X,O,X,X,X
ILOZSJT,O,O,O,X,O,X,X,X
IJTLSZO,O,X,X,X,X,X,X,O
IJTLSOZ,O,X,X,X,X,X,X,O
IJTLZSO,O,X,O,O,X,X,X,O
IJTLZOS,O,X,O,O,X,X,X,O
IJTLOSZ,O,X,X,X,X,X,X,O
IJTLOZS,O,X,O,O,X,X,X,O
IJTSLZO,O,X,X,X,X,O,X,O
IJTSLOZ,O,X,X,X,X,O,X,O
IJTSZLO,O,X,X,X,X,O,X,O
IJTSZOL,O,X,X,X,X,O,O,X
IJTSOLZ,O,X,X,X,X,O,X,X
IJTSOZL,O,X,X,X,X,O,O,X
IJTZLSO,O,X,O,O,X,X,X,O
IJTZLOS,O,X,O,O,X,X,X,O
IJTZSLO,O,X,O,O,X,O,X,O
IJTZSOL,O,X,O,O,X,O,O,X
IJTZOLS,O,X,O,O,X,X,X,X
IJTZOSL,O,X,O,O,X,O,X,X
IJTOLSZ,O,X,X,X,X,X,X,X
IJTOLZS,O,X,O,O,X,X,X,X
IJTOSLZ,O,X,X,X,X,O,X,X
IJTOSZL,O,X,X,X,X,O,X,X
IJTOZLS,O,X,O,O,X,X,X,X
IJTOZSL,O,X,O,O,X,O,X,X
IJLTSZO,O,X,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,X
IJLTZSO,O,O,O,X,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,X
IJLTOZS,O,X,O,X,X,X,X,X
IJLSTZO,O,X,X,X,X,O,X,X
IJLSTOZ,O,X,X,X,X,O,X,X
IJLSZTO,O,O,X,X,X,O,X,X
IJLSZOT,O,O,X,X,X,O,X,X
IJLSOTZ,O,X,X,X,X,O,X,X
IJLSOZT,O,X,X,X,X,O,X,X
IJLZTSO,O,O,O,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,O,X,X
IJLZSOT,O,O,O,X,X,O,X,X
IJLZOTS,O,O,O,X,X,X,X,X
IJLZOST,O,O,O,X,X,O,X,X
IJLOTSZ,O,X,X,X,X,X,X,X
IJLOTZS,O,X,O,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,O,X,X
IJLOSZT,O,X,X,X,X,O,X,X
IJLOZTS,O,O,O,X,X,X,X,X
IJLOZST,O,O,O,X,X,O,X,X
IJSTLZO,O,X,X,X,X,O,X,O
IJSTLOZ,O,X,X,X,X,O,X,O
IJSTZLO,O,X,X,X,X,O,X,O
IJSTZOL,O,X,X,X,X,O,O,X
IJSTOLZ,O,X,X,X,X,O,X,X
IJSTOZL,O,X,X,X,X,O,O,X
IJSLTZO,O,X,X,X,X,O,X,X
IJSLTOZ,O,X,X,X,X,O,X,X
IJSLZTO,O,X,X,X,X,O,X,X
IJSLZOT,O,X,X,X,X,O,X,X
IJSLOTZ,O,X,X,X,X,O,X,X
IJSLOZT,O,X,X,X,X,O,X,X
IJSZTLO,X,X,O,X,X,O,X,X
IJSZTOL,O,X,O,X,X,O,O,X
IJSZLTO,O,X,X,X,X,O,X,X
IJSZLOT,O,X,O,X,X,O,X,X
IJSZOTL,O,X,O,X,X,O,X,X
IJSZOLT,O,X,O,X,X,O,X,X
IJSOTLZ,O,X,X,X,X,O,X,X
IJSOTZL,O,X,X,X,X,O,X,X
IJSOLTZ,O,X,X,X,X,O,X,X
IJSOLZT,O,X,X,X,X,O,X,X
IJSOZTL,O,X,O,X,X,O,X,X
IJSOZLT,O,X,O,X,X,O,X,X
IJZTLSO,O,O,O,O,X,X,X,X
IJZTLOS,O,O,O,O,X,X,X,X
IJZTSLO,O,O,O,O,X,O,X,X
IJZTSOL,O,O,O,O,X,O,O,X
IJZTOLS,O,O,O,O,X,X,X,X
IJZTOSL,O,X,O,O,X,O,X,X
IJZLTSO,O,O,O,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,O,X,X
IJZLSOT,O,O,O,X,X,O,X,X
IJZLOTS,O,O,O,X,X,X,X,X
IJZLOST,O,O,O,X,X,O,X,X
IJZSTLO,X,X,O,X,X,O,X,X
IJZSTOL,O,X,O,X,X,O,O,X
IJZSLTO,X,X,X,X,X,O,X,X
IJZSLOT,O,X,O,X,X,O,X,X
IJZSOTL,O,X,O,X,X,O,X,X
IJZSOLT,O,X,O,X,X,O,X,X
IJZOTLS,O,X,O,O,X,X,X,X
IJZOTSL,O,X,O,O,X,O,X,X
IJZOLTS,O,O,O,X,X,X,X,X
IJZOLST,O,O,O,X,X,O,X,X
IJZOSTL,O,X,O,X,X,O,X,X
IJZOSLT,O,X,O,X,X,O,X,X
IJOTLSZ,O,X,X,X,X,X,X,X
IJOTLZS,O,X,O,O,X,X,X,X
IJOTSLZ,O,X,X,X,X,O,X,X
IJOTSZL,O,X,X,X,X,O,X,X
IJOTZLS,O,X,O,O,X,X,X,X
IJOTZSL,O,X,O,O,X,O,X,X
IJOLTSZ,O,X,X,X,X,X,X,X
IJOLTZS,O,X,O,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,O,X,X
IJOLSZT,O,X,X,X,X,O,X,X
IJOLZTS,O,X,O,X,X,X,X,X
IJOLZST,O,X,O,X,X,O,X,X
IJOSTLZ,O,X,X,X,X,O,X,X
IJOSTZL,O,X,X,X,X,O,X,X
IJOSLTZ,O,X,X,X,X,O,X,X
IJOSLZT,O,X,X,X,X,O,X,X
IJOSZTL,O,X,O,X,X,O,X,X
IJOSZLT,O,X,O,X,X,O,X,X
IJOZTLS,O,X,O,O,X,X,X,X
IJOZTSL,O,X,O,O,X,O,X,X
IJOZLTS,O,X,O,X,X,X,X,X
IJOZLST,O,X,O,X,X,O,X,X
IJOZSTL,O,X,O,X,X,O,X,X
IJOZSLT,O,X,O,X,X,O,X,X
ISTLJZO,O,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X
ISTLZJO,O,X,O,X,X,X,X,X
ISTLZOJ,O,X,O,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X
ISTLOZJ,O,X,O,X,O,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,X,X
ISTJZLO,O,X,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X,O,X
ISTJOLZ,O,X,X,X,X,X,X,X
ISTJOZL,O,X,X,X,X,X,O,X
ISTZLJO,O,X,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,O,X
ISTZOLJ,O,X,O,X,X,X,O,X
ISTZOJL,O,X,O,X,X,X,O,X
ISTOLJZ,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,O,X,X,X
ISTOJLZ,O,X,X,X,X,X,X,X
ISTOJZL,O,X,X,X,X,X,O,X
ISTOZLJ,O,X,O,X,O,X,O,X
ISTOZJL,O,X,O,X,O,X,O,X
