sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFxdBTfBChB/qB0rBFrB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB
TOILZSJ,O,O,O,X,X,X,O
TOIJLSZ,O,X,O,X,X,O,X
TOIJLZS,O,X,O,X,X,O,X
TOIJSLZ,X,X,O,X,O,O,O
TOIJSZL,X,X,X,X,O,O,O
TOIJZLS,X,X,O,O,X,O,X
TOIJZSL,X,X,X,X,X,O,O
TOISLJZ,X,O,O,X,O,O,O
TOISLZJ,X,O,O,X,X,O,O
TOISJLZ,X,O,O,X,O,O,O
TOISJZL,X,X,X,X,O,O,O
TOISZLJ,X,X,X,X,O,O,O
TOISZJL,X,X,X,X,O,O,O
TOIZLJS,X,X,O,O,X,O,X
TOIZLSJ,X,X,O,O,X,X,O
TOIZJLS,X,X,O,O,X,O,X
TOIZJSL,X,X,X,O,X,O,O
TOIZSLJ,X,X,X,O,O,O,O
TOIZSJL,X,X,X,O,O,O,O
TOLIJSZ,O,O,O,X,X,O,X
TOLIJZS,O,X,O,X,X,O,X
TOLISJZ,O,O,O,X,X,O,O
TOLISZJ,O,O,O,X,X,O,O
TOLIZJS,O,X,O,X,X,O,X
TOLIZSJ,O,O,O,X,X,X,O
TOLJISZ,O,O,O,X,X,O,X
TOLJIZS,O,X,O,X,X,O,X
TOLJSIZ,O,O,O,X,X,O,X
TOLJSZI,O,O,O,X,X,O,X
TOLJZIS,O,X,O,X,X,O,X
TOLJZSI,O,X,O,X,X,O,X
TOLSIJZ,O,O,O,X,X,O,O
TOLSIZJ,O,O,O,X,X,O,O
TOLSJIZ,O,O,O,X,X,O,O
TOLSJZI,O,O,O,X,X,O,O
TOLSZIJ,O,O,O,X,X,O,O
TOLSZJI,O,O,O,X,X,O,O
TOLZIJS,O,X,O,X,X,O,X
TOLZISJ,O,O,O,X,X,X,O
TOLZJIS,O,X,O,X,X,O,X
TOLZJSI,O,X,O,X,X,O,X
TOLZSIJ,O,O,O,X,X,X,O
TOLZSJI,O,O,O,X,X,X,O
TOJILSZ,O,X,O,X,X,O,X
TOJILZS,O,X,O,X,X,O,X
TOJISLZ,X,X,O,X,O,O,O
TOJISZL,X,X,X,X,O,O,O
TOJIZLS,X,X,O,O,X,O,X
TOJIZSL,X,X,X,X,X,O,O
TOJLISZ,O,X,O,X,X,O,X
TOJLIZS,O,X,O,X,X,O,X
TOJLSIZ,O,X,O,X,X,O,X
TOJLSZI,O,X,O,X,X,O,X
TOJLZIS,O,X,O,X,X,O,X
TOJLZSI,O,X,O,X,X,O,X
TOJSILZ,X,X,O,X,O,O,O
TOJSIZL,X,X,X,X,O,O,O
TOJSLIZ,X,X,O,X,O,O,O
TOJSLZI,X,X,O,X,O,O,O
TOJSZIL,X,X,X,X,O,O,O
TOJSZLI,X,X,X,X,O,O,O
TOJZILS,X,X,O,O,X,O,X
TOJZISL,X,X,X,X,X,O,O
TOJZLIS,X,X,O,O,X,O,X
TOJZLSI,X,X,O,O,X,O,X
TOJZSIL,X,X,X,X,X,O,O
TOJZSLI,X,X,X,X,X,O,O
TOSILJZ,X,O,O,X,O,O,O
TOSILZJ,X,O,O,X,X,O,O
TOSIJLZ,X,O,O,X,O,O,O
TOSIJZL,X,X,X,X,O,O,O
TOSIZLJ,X,X,X,X,O,O,O
TOSIZJL,X,X,X,X,O,O,O
TOSLIJZ,X,O,O,X,O,O,O
TOSLIZJ,X,O,O,X,X,O,O
TOSLJIZ,X,O,O,X,O,O,O
TOSLJZI,X,O,O,X,O,O,O
TOSLZIJ,X,O,O,X,X,O,O
TOSLZJI,X,O,O,X,X,O,O
TOSJILZ,X,O,O,X,O,O,O
TOSJIZL,X,X,X,X,O,O,O
TOSJLIZ,X,O,O,X,O,O,O
TOSJLZI,X,O,O,X,O,O,O
TOSJZIL,X,X,X,X,O,O,O
TOSJZLI,X,X,X,X,O,O,O
TOSZILJ,X,X,X,X,O,O,O
TOSZIJL,X,X,X,X,O,O,O
TOSZLIJ,X,X,X,X,O,O,O
TOSZLJI,X,X,X,X,O,O,O
TOSZJIL,X,X,X,X,O,O,O
TOSZJLI,X,X,X,X,O,O,O
TOZILJS,X,X,O,O,X,O,X
TOZILSJ,X,X,O,O,X,X,O
TOZIJLS,X,X,O,O,X,O,X
TOZIJSL,X,X,X,O,X,O,O
TOZISLJ,X,X,X,O,O,O,O
TOZISJL,X,X,X,O,O,O,O
TOZLIJS,X,X,O,O,X,O,X
TOZLISJ,X,X,O,O,X,X,O
TOZLJIS,X,X,O,O,X,O,X
TOZLJSI,X,X,O,O,X,O,X
TOZLSIJ,X,X,O,O,X,X,O
TOZLSJI,X,X,O,O,X,X,O
TOZJILS,X,X,O,O,X,O,X
TOZJISL,X,X,X,O,X,O,O
TOZJLIS,X,X,O,O,X,O,X
TOZJLSI,X,X,O,O,X,O,X
TOZJSIL,X,X,X,O,X,O,O
TOZJSLI,X,X,X,O,X,O,O
TOZSILJ,X,X,X,O,O,O,O
TOZSIJL,X,X,X,O,O,O,O
TOZSLIJ,X,X,X,O,O,O,O
TOZSLJI,X,X,X,O,O,O,O
TOZSJIL,X,X,X,O,O,O,O
TOZSJLI,X,X,X,O,O,O,O
ITLJSZO,O,O,X,X,X,O,X
ITLJSOZ,O,O,O,X,X,O,X
ITLJZSO,O,X,X,X,X,X,X
ITLJZOS,O,X,O,X,X,O,X
ITLJOSZ,O,O,O,X,X,O,X
ITLJOZS,O,X,O,X,X,O,X
ITLSJZO,O,O,X,X,X,O,X
ITLSJOZ,O,O,O,X,X,O,X
ITLSZJO,O,O,X,X,X,O,X
ITLSZOJ,O,O,O,X,X,O,X
ITLSOJZ,O,O,O,X,X,O,X
ITLSOZJ,O,O,O,X,X,O,X
ITLZJSO,O,O,X,X,X,X,X
ITLZJOS,O,O,O,X,X,O,X
ITLZSJO,O,O,X,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X
ITLZOJS,O,O,O,X,X,O,X
ITLZOSJ,O,O,O,X,X,X,O
ITLOJSZ,O,O,O,X,X,O,X
ITLOJZS,O,X,O,X,X,O,X
ITLOSJZ,O,O,O,X,X,O,O
ITLOSZJ,O,O,O,X,X,O,O
ITLOZJS,O,O,O,X,X,O,X
ITLOZSJ,O,O,O,X,X,X,O
ITJLSZO,O,O,X,X,X,O,X
ITJLSOZ,O,O,O,X,X,O,X
ITJLZSO,O,X,X,X,X,X,X
ITJLZOS,O,X,O,X,X,O,X
ITJLOSZ,O,O,O,X,X,O,X
ITJLOZS,O,X,O,X,X,O,X
ITJSLZO,O,O,X,X,X,O,X
ITJSLOZ,O,O,O,X,X,O,X
ITJSZLO,X,O,X,X,X,O,X
ITJSZOL,X,X,X,X,X,O,X
ITJSOLZ,X,O,O,X,X,O,X
ITJSOZL,X,X,X,X,X,O,X
ITJZLSO,O,X,X,X,X,X,X
ITJZLOS,O,X,O,X,X,O,X
ITJZSLO,O,X,X,X,X,O,X
ITJZSOL,O,X,X,X,X,O,X
ITJZOLS,O,X,O,X,X,O,X
ITJZOSL,O,X,X,X,X,O,O
ITJOLSZ,O,X,O,X,X,O,X
ITJOLZS,O,X,O,X,X,O,X
ITJOSLZ,X,X,O,X,X,O,O
ITJOSZL,X,X,X,X,X,O,O
ITJOZLS,X,X,O,X,X,O,X
ITJOZSL,X,X,X,X,X,O,O
ITSLJZO,O,O,X,X,X,O,X
ITSLJOZ,O,O,O,X,X,O,X
ITSLZJO,O,O,X,X,X,O,X
ITSLZOJ,O,O,O,X,X,O,X
ITSLOJZ,O,O,O,X,O,O,O
ITSLOZJ,O,O,O,X,X,O,O
ITSJLZO,O,O,X,X,X,O,X
ITSJLOZ,O,O,O,X,X,O,X
ITSJZLO,X,O,X,X,X,O,X
ITSJZOL,X,X,X,X,X,O,X
ITSJOLZ,X,O,O,X,X,O,X
ITSJOZL,X,X,X,X,X,O,X
ITSZLJO,X,O,X,X,X,O,X
ITSZLOJ,X,O,X,X,O,O,X
ITSZJLO,X,O,X,X,X,O,X
ITSZJOL,X,X,X,X,X,O,X
ITSZOLJ,X,X,X,X,O,O,O
ITSZOJL,X,X,X,X,O,O,O
ITSOLJZ,X,O,O,X,O,O,O
ITSOLZJ,X,O,O,X,X,O,O
ITSOJLZ,X,O,O,X,O,O,O
ITSOJZL,X,X,X,X,O,O,O
ITSOZLJ,X,X,X,X,O,O,O
ITSOZJL,X,X,X,X,O,O,O
ITZLJSO,O,O,X,X,X,X,X
ITZLJOS,O,O,O,O,X,O,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,O,X,X,X
ITZLOJS,O,O,O,O,X,O,X
ITZLOSJ,O,O,O,O,X,X,O
ITZJLSO,O,O,X,X,X,X,X
ITZJLOS,O,O,O,O,X,O,X
ITZJSLO,O,O,X,X,X,O,X
ITZJSOL,O,O,X,X,X,O,X
ITZJOLS,O,O,O,O,X,O,X
ITZJOSL,O,O,X,O,X,O,O
ITZSLJO,O,O,X,X,X,O,X
ITZSLOJ,O,O,X,O,O,O,X
ITZSJLO,O,O,X,X,X,O,X
ITZSJOL,O,O,X,X,X,O,X
ITZSOLJ,O,O,X,O,O,O,O
ITZSOJL,O,O,X,O,O,O,O
ITZOLJS,O,O,O,O,X,O,X
ITZOLSJ,O,O,O,O,X,X,O
ITZOJLS,O,O,O,O,X,O,X
ITZOJSL,O,O,X,O,X,O,O
ITZOSLJ,O,O,X,O,O,O,O
ITZOSJL,O,O,X,O,O,O,O
ITOLJSZ,O,O,O,X,X,O,X
ITOLJZS,O,X,O,X,X,O,X
ITOLSJZ,O,O,O,X,X,O,O
ITOLSZJ,O,O,O,X,X,O,O
ITOLZJS,O,X,O,X,X,O,X
ITOLZSJ,O,O,O,X,X,X,O
ITOJLSZ,O,X,O,X,X,O,X
ITOJLZS,O,X,O,X,X,O,X
ITOJSLZ,X,X,O,X,O,O,O
ITOJSZL,X,X,X,X,O,O,O
ITOJZLS,X,X,O,O,X,O,X
ITOJZSL,X,X,X,X,X,O,O
ITOSLJZ,X,O,O,X,O,O,O
ITOSLZJ,X,O,O,X,X,O,O
ITOSJLZ,X,O,O,X,O,O,O
ITOSJZL,X,X,X,X,O,O,O
ITOSZLJ,X,X,X,X,O,O,O
ITOSZJL,X,X,X,X,O,O,O
ITOZLJS,X,X,O,O,X,O,X
ITOZLSJ,X,X,O,O,X,X,O
ITOZJLS,X,X,O,O,X,O,X
ITOZJSL,X,X,X,O,X,O,O
ITOZSLJ,X,X,X,O,O,O,O
ITOZSJL,X,X,X,O,O,O,O
ILTJSZO,O,O,X,X,X,O,X
ILTJSOZ,O,O,O,X,X,O,X
ILTJZSO,O,X,X,X,X,X,X
ILTJZOS,O,X,O,X,X,O,X
ILTJOSZ,O,O,O,X,X,O,X
ILTJOZS,O,X,O,X,X,O,X
ILTSJZO,O,O,X,X,X,O,X
ILTSJOZ,O,O,O,X,X,O,X
ILTSZJO,O,O,X,X,X,O,X
ILTSZOJ,O,O,O,X,X,O,X
ILTSOJZ,O,O,O,X,X,O,X
ILTSOZJ,O,O,O,X,X,O,X
ILTZJSO,O,O,X,X,X,X,X
ILTZJOS,O,O,O,X,X,O,X
ILTZSJO,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X
ILTZOJS,O,O,O,X,X,O,X
ILTZOSJ,O,O,O,X,X,X,O
ILTOJSZ,O,O,O,X,X,O,X
ILTOJZS,O,X,O,X,X,O,X
ILTOSJZ,O,O,O,X,X,O,O
ILTOSZJ,O,O,O,X,X,O,O
ILTOZJS,O,O,O,X,X,O,X
ILTOZSJ,O,O,O,X,X,X,O
ILJTSZO,O,O,X,X,X,O,X
ILJTSOZ,O,O,O,X,X,O,X
ILJTZSO,O,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,O,X
ILJTOSZ,O,O,O,X,X,O,X
ILJTOZS,O,X,O,X,X,O,X
ILJSTZO,O,X,X,X,X,X,X
ILJSTOZ,O,X,O,X,X,O,X
ILJSZTO,O,X,X,X,X,X,X
ILJSZOT,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,X
ILJSOZT,O,X,O,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,O,X,X,O,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,O,O,X,X,X,X
ILJZOST,O,O,O,X,X,X,X
ILJOTSZ,O,O,O,X,X,O,X
ILJOTZS,O,X,O,X,X,O,X
ILJOSTZ,O,X,O,X,X,X,X
ILJOSZT,O,X,O,X,X,X,X
ILJOZTS,O,O,O,X,X,X,X
ILJOZST,O,O,O,X,X,X,X
ILSTJZO,O,O,X,X,X,X,X
ILSTJOZ,O,O,O,X,X,O,X
ILSTZJO,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,O,O,O,X,O,O,O
ILSTOZJ,O,O,O,X,X,X,O
ILSJTZO,O,X,X,X,X,X,X
ILSJTOZ,O,X,O,X,X,O,X
ILSJZTO,O,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,O,X,O
ILSJOZT,O,X,O,X,O,X,X
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,O,X,X,O,X,X
ILSZOTJ,O,O,X,X,O,X,O
ILSZOJT,O,O,O,X,O,X,X
ILSOTJZ,O,O,O,X,O,X,O
ILSOTZJ,O,O,O,X,X,X,O
ILSOJTZ,O,X,O,X,O,X,O
ILSOJZT,O,X,O,X,O,X,X
ILSOZTJ,O,X,X,X,O,X,O
ILSOZJT,O,O,O,X,O,X,X
ILZTJSO,O,O,X,X,X,X,X
ILZTJOS,O,O,O,O,X,O,X
ILZTSJO,O,O,X,X,X,X,X
ILZTSOJ,O,O,O,O,X,X,X
ILZTOJS,O,O,O,O,X,O,X
ILZTOSJ,O,O,O,O,X,X,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,O,X
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X
ILZJOTS,O,O,O,O,X,X,X
ILZJOST,O,O,O,O,X,X,X
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,O,X,X
ILZSOTJ,O,O,X,X,O,X,X
ILZSOJT,O,O,O,O,O,X,X
ILZOTJS,O,O,O,O,X,X,X
ILZOTSJ,O,O,O,O,X,X,X
ILZOJTS,O,O,O,O,X,X,X
ILZOJST,O,O,O,O,X,X,X
ILZOSTJ,O,O,X,X,O,X,X
ILZOSJT,O,O,O,O,O,X,X
ILOTJSZ,O,O,O,X,X,O,X
ILOTJZS,O,X,O,X,X,O,X
ILOTSJZ,O,O,O,X,X,O,O
ILOTSZJ,O,O,O,X,X,X,O
ILOTZJS,O,O,O,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,O
ILOJTSZ,O,O,O,X,X,O,X
ILOJTZS,O,X,O,X,X,O,X
ILOJSTZ,O,X,O,X,O,X,X
ILOJSZT,O,X,O,X,O,X,X
ILOJZTS,O,O,O,O,X,X,X
ILOJZST,O,O,O,O,X,X,X
ILOSTJZ,O,O,O,X,O,X,O
ILOSTZJ,O,O,O,X,X,X,O
ILOSJTZ,O,X,O,X,O,X,O
ILOSJZT,O,X,O,X,O,X,X
ILOSZTJ,O,X,X,X,O,X,O
ILOSZJT,O,O,O,X,O,X,X
ILOZTJS,O,O,O,O,X,X,X
ILOZTSJ,O,O,O,O,X,X,X
ILOZJTS,O,O,O,O,X,X,X
ILOZJST,O,O,O,O,X,X,X
ILOZSTJ,O,O,X,X,O,X,X
ILOZSJT,O,O,O,O,O,X,X
IJTLSZO,O,O,X,X,X,O,X
IJTLSOZ,O,O,O,X,X,O,X
IJTLZSO,O,X,X,X,X,X,X
IJTLZOS,O,X,O,X,X,O,X
IJTLOSZ,O,O,O,X,X,O,X
IJTLOZS,O,X,O,X,X,O,X
IJTSLZO,O,O,X,X,X,O,X
IJTSLOZ,O,O,O,X,X,O,X
IJTSZLO,X,O,X,X,X,O,X
IJTSZOL,X,X,X,X,X,O,X
IJTSOLZ,X,O,O,X,X,O,X
IJTSOZL,X,X,X,X,X,O,X
IJTZLSO,O,X,X,X,X,X,X
IJTZLOS,O,X,O,X,X,O,X
IJTZSLO,O,X,X,X,X,O,X
IJTZSOL,O,X,X,X,X,O,X
IJTZOLS,O,X,O,X,X,O,X
IJTZOSL,O,X,X,X,X,O,O
IJTOLSZ,O,X,O,X,X,O,X
IJTOLZS,O,X,O,X,X,O,X
IJTOSLZ,X,X,O,X,X,O,O
IJTOSZL,X,X,X,X,X,O,O
IJTOZLS,X,X,O,X,X,O,X
IJTOZSL,X,X,X,X,X,O,O
IJLTSZO,O,O,X,X,X,O,X
IJLTSOZ,O,O,O,X,X,O,X
IJLTZSO,O,X,X,X,X,X,X
IJLTZOS,O,X,O,X,X,O,X
IJLTOSZ,O,O,O,X,X,O,X
IJLTOZS,O,X,O,X,X,O,X
IJLSTZO,O,X,X,X,X,X,X
IJLSTOZ,O,X,O,X,X,O,X
IJLSZTO,O,X,X,X,X,X,X
IJLSZOT,O,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,X,X
IJLSOZT,O,X,O,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,O,X,X,O,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,O,O,X,X,X,X
IJLZOST,O,O,O,X,X,X,X
IJLOTSZ,O,O,O,X,X,O,X
IJLOTZS,O,X,O,X,X,O,X
IJLOSTZ,O,X,O,X,X,X,X
IJLOSZT,O,X,O,X,X,X,X
IJLOZTS,O,O,O,X,X,X,X
IJLOZST,O,O,O,X,X,X,X
IJSTLZO,O,X,X,X,X,O,X
IJSTLOZ,O,X,O,X,X,O,X
IJSTZLO,X,X,X,X,X,O,X
IJSTZOL,X,X,X,X,X,O,X
IJSTOLZ,X,X,O,X,X,O,X
IJSTOZL,X,X,X,X,X,O,X
IJSLTZO,O,X,X,X,X,X,X
IJSLTOZ,O,X,O,X,X,O,X
IJSLZTO,O,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,O,X,O
IJSLOZT,O,X,O,X,O,X,X
IJSZTLO,O,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,O,X,X
IJSZOTL,O,X,X,X,O,X,X
IJSZOLT,O,X,X,X,O,X,X
IJSOTLZ,X,X,O,X,O,X,O
IJSOTZL,X,X,X,X,O,X,O
IJSOLTZ,X,X,O,X,O,X,O
IJSOLZT,X,X,O,X,O,X,X
IJSOZTL,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,O,X,X
IJZTLSO,O,O,X,X,X,X,X
IJZTLOS,O,O,O,O,X,O,X
IJZTSLO,O,O,X,X,X,O,X
IJZTSOL,O,O,X,X,X,O,X
IJZTOLS,O,O,O,O,X,O,X
IJZTOSL,O,O,X,O,X,O,X
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,O,O,O,X,X,O,X
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X
IJZLOTS,O,O,O,O,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,O,X,X
IJZSOTL,O,X,X,X,O,X,X
IJZSOLT,O,O,X,X,O,X,X
IJZOTLS,O,O,O,O,X,X,X
IJZOTSL,O,O,X,O,X,X,X
IJZOLTS,O,O,O,O,X,X,X
IJZOLST,O,O,O,O,X,X,X
IJZOSTL,O,X,X,X,O,X,X
IJZOSLT,O,O,X,O,O,X,X
IJOTLSZ,O,X,O,X,X,O,X
IJOTLZS,O,X,O,X,X,O,X
IJOTSLZ,X,X,O,X,O,O,O
IJOTSZL,X,X,X,X,O,O,O
IJOTZLS,X,X,O,O,X,O,X
IJOTZSL,X,X,X,X,X,O,O
IJOLTSZ,O,X,O,X,X,O,X
IJOLTZS,O,X,O,X,X,O,X
IJOLSTZ,O,X,O,X,O,X,X
IJOLSZT,O,X,O,X,O,X,X
IJOLZTS,O,X,O,O,X,X,X
IJOLZST,O,X,O,O,X,X,X
IJOSTLZ,X,X,O,X,O,X,O
IJOSTZL,X,X,X,X,O,X,O
IJOSLTZ,X,X,O,X,O,X,O
IJOSLZT,X,X,O,X,O,X,X
IJOSZTL,X,X,X,X,O,X,X
IJOSZLT,X,X,X,O,O,X,X
IJOZTLS,O,X,O,O,X,X,X
IJOZTSL,O,X,X,O,X,X,X
IJOZLTS,O,X,O,O,X,X,X
IJOZLST,O,X,O,O,X,X,X
IJOZSTL,O,X,X,X,O,X,X
IJOZSLT,O,X,X,O,O,X,X
ISTLJZO,O,O,X,X,X,O,X
ISTLJOZ,O,O,O,X,X,O,X
ISTLZJO,O,O,X,X,X,O,X
ISTLZOJ,O,O,O,X,X,O,X
ISTLOJZ,O,O,O,X,O,O,O
ISTLOZJ,O,O,O,X,X,O,O
ISTJLZO,O,O,X,X,X,O,X
ISTJLOZ,O,O,O,X,X,O,X
ISTJZLO,X,O,X,X,X,O,X
ISTJZOL,X,X,X,X,X,O,X
ISTJOLZ,X,O,O,X,X,O,X
ISTJOZL,X,X,X,X,X,O,X
ISTZLJO,X,O,X,X,X,O,X
ISTZLOJ,X,O,X,X,O,O,X
ISTZJLO,X,O,X,X,X,O,X
ISTZJOL,X,X,X,X,X,O,X
ISTZOLJ,X,X,X,X,O,O,O
ISTZOJL,X,X,X,X,O,O,O
ISTOLJZ,X,O,O,X,O,O,O
ISTOLZJ,X,O,O,X,X,O,O
ISTOJLZ,X,O,O,X,O,O,O
ISTOJZL,X,X,X,X,O,O,O
ISTOZLJ,X,X,X,X,O,O,O
ISTOZJL,X,X,X,X,O,O,O
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,O,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,O,O,O,X,O,O,O
ISLTOZJ,O,O,O,X,X,X,O
ISLJTZO,O,X,X,X,X,X,X
ISLJTOZ,O,X,O,X,X,O,X
ISLJZTO,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X
ISLJOTZ,O,X,O,X,O,X,O
ISLJOZT,O,X,O,X,O,X,X
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,O,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,O,X,X,O,X,X
ISLZOTJ,O,O,X,X,O,X,O
ISLZOJT,O,O,O,X,O,X,X
ISLOTJZ,O,O,O,X,O,X,O
ISLOTZJ,O,O,O,X,X,X,O
ISLOJTZ,O,X,O,X,O,X,O
ISLOJZT,O,X,O,X,O,X,X
ISLOZTJ,O,X,X,X,O,X,O
ISLOZJT,O,O,O,X,O,X,X
ISJTLZO,O,X,X,X,X,O,X
ISJTLOZ,O,X,O,X,X,O,X
ISJTZLO,X,X,X,X,X,O,X
ISJTZOL,X,X,X,X,X,O,X
ISJTOLZ,X,X,O,X,X,O,X
ISJTOZL,X,X,X,X,X,O,X
ISJLTZO,O,X,X,X,X,X,X
ISJLTOZ,O,X,O,X,X,O,X
ISJLZTO,O,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X
ISJLOTZ,O,X,O,X,O,X,O
ISJLOZT,O,X,O,X,O,X,X
ISJZTLO,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,O,X,X
ISJZOTL,O,X,X,X,O,X,X
ISJZOLT,O,X,X,X,O,X,X
ISJOTLZ,X,X,O,X,O,X,O
ISJOTZL,X,X,X,X,O,X,O
ISJOLTZ,X,X,O,X,O,X,O
ISJOLZT,X,X,O,X,O,X,X
ISJOZTL,X,X,X,X,O,X,X
ISJOZLT,X,X,X,X,O,X,X
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,O,O,X,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,O,O,X,O,O,X,X
ISZTOJL,O,O,X,O,O,X,X
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,O,X,X,O,X,X
ISZLOTJ,O,O,X,X,O,X,O
ISZLOJT,O,O,X,O,O,X,X
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,O,X,X,O,X,X
ISZJOTL,O,X,X,X,O,X,X
ISZJOLT,O,O,X,X,O,X,X
ISZOTLJ,O,X,X,O,O,X,O
ISZOTJL,O,X,X,O,O,X,O
ISZOLTJ,O,O,X,X,O,X,O
ISZOLJT,O,O,X,O,O,X,X
ISZOJTL,O,X,X,X,O,X,X
ISZOJLT,O,O,X,O,O,X,X
ISOTLJZ,X,X,O,X,O,X,O
ISOTLZJ,X,X,O,X,X,X,O
ISOTJLZ,X,X,O,X,O,X,O
ISOTJZL,X,X,X,X,O,X,O
ISOTZLJ,X,X,X,X,O,X,O
ISOTZJL,X,X,X,X,O,X,O
ISOLTJZ,X,X,O,X,O,X,O
ISOLTZJ,X,X,O,X,X,X,O
ISOLJTZ,X,X,O,X,O,X,O
ISOLJZT,X,X,O,X,O,X,X
ISOLZTJ,X,X,X,X,O,X,O
ISOLZJT,X,X,O,X,O,X,X
ISOJTLZ,X,X,O,X,O,X,O
ISOJTZL,X,X,X,X,O,X,O
ISOJLTZ,X,X,O,X,O,X,O
ISOJLZT,X,X,O,X,O,X,X
ISOJZTL,X,X,X,X,O,X,X
ISOJZLT,X,X,X,O,O,X,X
ISOZTLJ,X,X,X,O,O,X,O
ISOZTJL,X,X,X,O,O,X,O
ISOZLTJ,X,X,X,X,O,X,O
ISOZLJT,X,X,X,O,O,X,X
ISOZJTL,X,X,X,X,O,X,X
ISOZJLT,X,X,X,O,O,X,X
IZTLJSO,O,O,X,X,X,X,X
IZTLJOS,O,O,O,O,X,O,X
IZTLSJO,O,O,X,X,X,X,X
IZTLSOJ,O,O,O,O,X,X,X
IZTLOJS,O,O,O,O,X,O,X
IZTLOSJ,O,O,O,O,X,X,O
IZTJLSO,O,O,X,X,X,X,X
IZTJLOS,O,O,O,O,X,O,X
IZTJSLO,O,O,X,X,X,O,X
IZTJSOL,O,O,X,X,X,O,X
IZTJOLS,O,O,O,O,X,O,X
IZTJOSL,O,O,X,O,X,O,O
IZTSLJO,O,O,X,X,X,O,X
IZTSLOJ,O,O,X,O,O,O,X
IZTSJLO,O,O,X,X,X,O,X
IZTSJOL,O,O,X,X,X,O,X
IZTSOLJ,O,O,X,O,O,O,O
IZTSOJL,O,O,X,O,O,O,O
