sequence,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgB3hBOsB0?lBzpBSwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBmgBqqBF?nBzpB0rB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je/AJvhFUcBFdBTmBO?sBCqBxvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhFFdBulBcmBX?nBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFxcB3lBFnBW?vB0rBirB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBOrBX?lBSvBzrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBKrBf?sBTlBWvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXlBO?sBSvBTrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXnBC?qB2wBTqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdB0gBFnBz?pBCrB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmB6qBX?nBzpB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBTlBW?vBirBXsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFOhBXdBSqBF?nB0rBRvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je2AJvhFXdBUmBFnBC?mBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBzgBFnBC?qB0rB2vB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBTmBG?qBywBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeC9IvhF0gBVnBZmBG?qBzrBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBUmBFnBC?qBTqB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhF5lB/rBFnBz?pBcrBOsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhF6lB/rBFnBz?pBmrB0qB
ILZOSTJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ILZOSJT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ILOTJSZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOTZJS,X,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X
ILOTZSJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOJTZS,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOJSZT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOJZTS,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOSJTZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOSJZT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOSZJT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOZTJS,X,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X
ILOZTSJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ILOZJTS,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ILOZSTJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ILOZSJT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJTLSZO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
IJTLSOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTLZSO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJTLZOS,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJTSZOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJTSOLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJTSOZL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJTZLSO,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IJTZLOS,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
IJTZSLO,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
IJTZSOL,X,X,O,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IJTZOLS,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
IJTZOSL,X,X,O,X,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IJTOLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJTOSLZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTOZLS,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJTOZSL,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
IJLTSOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLTZSO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJLTZOS,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
IJLTOSZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSZTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLSZOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSOZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZTSO,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJLZTOS,X,O,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IJLZSTO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
IJLZSOT,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOTS,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IJLOSTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOSZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJSTLZO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJSTZOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJSTOLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSTOZL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSLTZO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLZTO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSLZOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLOTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLOZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZTLO,O,O,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
IJSZTOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJSZLTO,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IJSZLOT,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOTL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOLT,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSOTZL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSOLTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSOLZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOZTL,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSOZLT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTLSO,X,X,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJZTLOS,X,X,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IJZTSLO,X,X,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
IJZTSOL,X,X,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJZTOLS,X,X,O,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
IJZTOSL,X,X,O,X,O,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
IJZLTSO,X,X,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJZLTOS,X,X,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
IJZSTOL,O,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJZSLTO,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IJZSLOT,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOTL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IJZOTSL,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJZOLTS,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IJOTSLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOTSZL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X
IJOTZSL,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOLSZT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLZTS,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IJOLZST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOSTZL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOSLZT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSZTL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOSZLT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJOZTSL,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IJOZLTS,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOZLST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZSTL,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJOZSLT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTLJZO,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
ISTLZOJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ISTLOJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTJLZO,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTJZLO,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISTJZOL,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
ISTJOLZ,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTJOZL,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTZLJO,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTZLOJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ISTZJLO,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTZJOL,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
ISTZOLJ,X,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
ISTZOJL,X,O,O,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
ISTOLJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTOJZL,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ISTOZLJ,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
ISTOZJL,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ISLTJZO,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
ISLTZOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ISLTOJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ISLJTZO,X,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLJTOZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLJZOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTJO,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZJTO,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISLZJOT,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOJT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOZJT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJTLZO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISJTZOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
ISJTOLZ,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISJTOZL,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISJLTZO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLZTO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTLO,O,O,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ISJZTOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISJZLTO,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJZLOT,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOLT,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISJOTZL,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISJOLTZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJOLZT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJOZLT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZTLJO,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISZTLOJ,X,X,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
ISZTJLO,X,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISZTJOL,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
ISZTOLJ,X,O,O,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ISZTOJL,X,O,O,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
ISZLTJO,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLJTO,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLJOT,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOJT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTLO,X,O,O,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ISZJTOL,X,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISZJLTO,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZJLOT,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOTL,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOLT,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISZOTJL,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJTL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOTLZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOTJLZ,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOTJZL,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOTZLJ,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
ISOTZJL,X,O,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X
ISOLTJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOLJZT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLZJT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOJTZL,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOJLZT,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOJZLT,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOZTJL,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJTL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
