sequence,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCbBXcBTeB8kBGm?BlqB,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCcBTeBukB/mBUg?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Jex7IvhFTeBKkBGgB/mB0f?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Je//IvhFUbBFcBTeB2pBxl?BCrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhF8fBTeB5lB/rByu?BFrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhFTeBRgB0gB6mB3k?BlqB
TOJZILS,O,X,X,X,X,X
TOJZISL,O,O,X,O,X,X
TOJZLIS,O,X,X,O,X,X
TOJZLSI,O,X,X,O,X,X
TOJZSIL,O,O,X,O,X,X
TOJZSLI,O,O,X,O,X,X
TOSILJZ,O,O,O,X,X,O
TOSILZJ,O,O,O,X,O,X
TOSIJLZ,O,O,O,X,X,O
TOSIJZL,O,O,X,X,X,O
TOSIZLJ,O,O,O,X,X,X
TOSIZJL,O,O,X,X,X,O
TOSLIJZ,O,O,O,O,X,O
TOSLIZJ,O,O,O,X,O,X
TOSLJIZ,O,O,O,O,X,O
TOSLJZI,O,O,O,O,X,X
TOSLZIJ,O,O,O,X,O,X
TOSLZJI,O,O,O,X,O,X
TOSJILZ,O,O,O,O,X,O
TOSJIZL,O,O,X,O,X,O
TOSJLIZ,O,O,O,O,X,O
TOSJLZI,O,O,O,O,X,X
TOSJZIL,O,O,X,O,X,O
TOSJZLI,O,O,X,O,X,X
TOSZILJ,O,O,O,X,X,X
TOSZIJL,O,O,X,X,X,O
TOSZLIJ,O,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,O,O,X,X,X,O
TOSZJLI,O,O,X,X,X,X
TOZILJS,O,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X
TOZISLJ,O,O,X,X,X,X
TOZISJL,O,O,X,X,X,X
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,X,X,X,X,X
TOZLJIS,O,X,X,O,X,X
TOZLJSI,O,X,O,O,X,X
TOZLSIJ,O,X,O,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,O,X,X,X,X,X
TOZJISL,O,O,X,O,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,O,X,X
TOZJSIL,O,O,X,O,X,X
TOZJSLI,O,O,X,O,X,X
TOZSILJ,O,O,O,X,X,X
TOZSIJL,O,O,X,X,X,O
TOZSLIJ,O,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,O,O,X,X,X,O
TOZSJLI,O,O,X,X,X,X
ITLJSZO,O,O,O,O,X,X
ITLJSOZ,O,O,O,O,X,X
ITLJZSO,O,X,X,O,X,X
ITLJZOS,O,X,X,O,X,X
ITLJOSZ,O,O,O,O,X,X
ITLJOZS,O,X,X,O,X,X
ITLSJZO,O,O,O,O,X,X
ITLSJOZ,O,O,O,O,X,X
ITLSZJO,O,O,O,X,O,X
ITLSZOJ,O,O,O,X,O,X
ITLSOJZ,O,O,O,O,X,X
ITLSOZJ,O,O,O,X,O,X
ITLZJSO,O,X,X,O,O,X
ITLZJOS,O,X,X,O,O,X
ITLZSJO,O,X,X,X,O,X
ITLZSOJ,O,X,X,X,O,X
ITLZOJS,O,X,X,O,O,X
ITLZOSJ,O,X,X,X,O,X
ITLOJSZ,O,O,O,O,X,X
ITLOJZS,O,X,X,O,X,X
ITLOSJZ,O,O,O,O,X,X
ITLOSZJ,O,O,O,X,O,X
ITLOZJS,O,X,X,O,O,X
ITLOZSJ,O,X,X,X,O,X
ITJLSZO,O,O,X,O,X,X
ITJLSOZ,O,O,X,O,X,X
ITJLZSO,O,X,X,O,X,X
ITJLZOS,O,X,X,O,X,X
ITJLOSZ,O,O,X,O,X,X
ITJLOZS,O,X,X,O,X,X
ITJSLZO,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,O,O,X,O,X,X
ITJSZOL,O,O,X,O,X,X
ITJSOLZ,O,O,X,O,X,X
ITJSOZL,O,O,X,O,X,X
ITJZLSO,O,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X
ITJZSLO,O,O,X,O,X,X
ITJZSOL,O,O,X,O,X,X
ITJZOLS,O,X,X,X,X,X
ITJZOSL,O,O,X,O,X,X
ITJOLSZ,O,O,X,O,X,X
ITJOLZS,O,X,X,O,X,X
ITJOSLZ,O,O,X,O,X,X
ITJOSZL,O,O,X,O,X,X
ITJOZLS,O,X,X,X,X,X
ITJOZSL,O,O,X,O,X,X
ITSLJZO,O,O,O,X,X,X
ITSLJOZ,O,O,O,X,X,O
ITSLZJO,O,O,O,X,O,X
ITSLZOJ,O,O,O,X,O,X
ITSLOJZ,O,O,O,X,X,O
ITSLOZJ,O,O,O,X,O,X
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,O,O,O,X,X,O
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,X,X,O
ITSJOLZ,O,O,O,X,X,O
ITSJOZL,O,O,X,X,X,O
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,O
ITSZOLJ,O,O,O,X,X,X
ITSZOJL,O,O,X,X,X,O
ITSOLJZ,O,O,O,X,X,O
ITSOLZJ,O,O,O,X,O,X
ITSOJLZ,O,O,O,X,X,O
ITSOJZL,O,O,X,X,X,O
ITSOZLJ,O,O,O,X,X,X
ITSOZJL,O,O,X,X,X,O
ITZLJSO,O,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X
ITZLSJO,O,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,O,O,O,O,X,X
ITOLJZS,O,X,X,O,X,X
ITOLSJZ,O,O,O,O,X,X
ITOLSZJ,O,O,O,X,O,X
ITOLZJS,O,X,X,O,O,X
ITOLZSJ,O,X,X,X,O,X
ITOJLSZ,O,O,X,O,X,X
ITOJLZS,O,X,X,O,X,X
ITOJSLZ,O,O,X,O,X,X
ITOJSZL,O,O,X,O,X,X
ITOJZLS,O,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X
ITOSLJZ,O,O,O,X,X,O
ITOSLZJ,O,O,O,X,O,X
ITOSJLZ,O,O,O,X,X,O
ITOSJZL,O,O,X,X,X,O
ITOSZLJ,O,O,O,X,X,X
ITOSZJL,O,O,X,X,X,O
ITOZLJS,O,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X
ITOZSJL,O,O,X,X,X,X
ILTJSZO,O,O,O,O,X,X
ILTJSOZ,O,O,O,O,X,X
ILTJZSO,O,X,X,O,X,X
ILTJZOS,O,X,X,O,X,X
ILTJOSZ,O,O,O,O,X,X
ILTJOZS,O,X,X,O,X,X
ILTSJZO,O,O,O,O,X,X
ILTSJOZ,O,O,O,O,X,X
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,O,O,O,X,X
ILTSOZJ,O,O,O,X,O,X
ILTZJSO,O,X,X,O,O,X
ILTZJOS,O,X,X,O,O,X
ILTZSJO,O,X,X,X,O,X
ILTZSOJ,O,X,X,X,O,X
ILTZOJS,O,X,X,O,O,X
ILTZOSJ,O,X,X,X,O,X
ILTOJSZ,O,O,O,O,X,X
ILTOJZS,O,X,X,O,X,X
ILTOSJZ,O,O,O,O,X,X
ILTOSZJ,O,O,O,X,O,X
ILTOZJS,O,X,X,O,O,X
ILTOZSJ,O,X,X,X,O,X
ILJTSZO,O,O,X,O,X,X
ILJTSOZ,O,O,X,O,X,X
ILJTZSO,O,X,X,O,X,X
ILJTZOS,O,X,X,O,X,X
ILJTOSZ,O,O,X,O,X,X
ILJTOZS,O,X,X,O,X,X
ILJSTZO,O,O,X,O,X,X
ILJSTOZ,O,O,X,O,X,X
ILJSZTO,O,X,X,O,O,X
ILJSZOT,O,O,X,O,O,X
ILJSOTZ,O,O,X,O,X,X
ILJSOZT,O,O,X,O,O,X
ILJZTSO,O,X,X,O,O,X
ILJZTOS,O,X,X,O,O,X
ILJZSTO,O,X,X,O,O,X
ILJZSOT,O,X,X,O,O,X
ILJZOTS,O,X,X,O,O,X
ILJZOST,O,X,X,O,O,X
ILJOTSZ,O,O,X,O,X,X
ILJOTZS,O,X,X,O,X,X
ILJOSTZ,O,O,X,O,X,X
ILJOSZT,O,O,X,O,O,X
ILJOZTS,O,X,X,O,O,X
ILJOZST,O,X,X,O,O,X
ILSTJZO,O,O,O,O,X,X
ILSTJOZ,O,O,O,O,X,X
ILSTZJO,O,O,O,X,O,X
ILSTZOJ,O,O,O,X,O,X
ILSTOJZ,O,O,O,O,X,X
ILSTOZJ,O,O,O,X,O,X
ILSJTZO,O,O,X,O,X,X
ILSJTOZ,O,O,X,O,X,X
ILSJZTO,O,X,X,O,O,X
ILSJZOT,O,O,X,O,O,X
ILSJOTZ,O,O,X,O,X,X
ILSJOZT,O,O,X,O,O,X
ILSZTJO,X,O,X,X,O,X
ILSZTOJ,O,O,X,X,O,X
ILSZJTO,X,X,X,X,O,X
ILSZJOT,O,O,X,X,O,X
ILSZOTJ,O,O,X,X,O,X
ILSZOJT,O,O,X,X,O,X
ILSOTJZ,O,O,O,O,X,X
ILSOTZJ,O,O,O,X,O,X
ILSOJTZ,O,O,X,O,X,X
ILSOJZT,O,O,X,O,O,X
ILSOZTJ,O,O,X,X,O,X
ILSOZJT,O,O,X,X,O,X
ILZTJSO,O,X,X,O,O,X
ILZTJOS,O,X,X,O,O,X
ILZTSJO,O,X,X,X,O,X
ILZTSOJ,O,X,X,X,O,X
ILZTOJS,O,X,X,O,O,X
ILZTOSJ,O,X,X,X,O,X
ILZJTSO,O,X,X,O,O,X
ILZJTOS,O,X,X,O,O,X
ILZJSTO,O,X,X,O,O,X
ILZJSOT,O,X,X,O,O,X
ILZJOTS,O,X,X,O,O,X
ILZJOST,O,X,X,O,O,X
ILZSTJO,X,O,X,X,O,X
ILZSTOJ,O,O,X,X,O,X
ILZSJTO,O,X,X,X,O,X
ILZSJOT,O,O,X,X,O,X
ILZSOTJ,O,O,X,X,O,X
ILZSOJT,O,O,X,X,O,X
ILZOTJS,O,X,X,O,O,X
ILZOTSJ,O,X,X,X,O,X
ILZOJTS,O,X,X,O,O,X
ILZOJST,O,X,X,O,O,X
ILZOSTJ,O,O,X,X,O,X
ILZOSJT,O,O,X,X,O,X
ILOTJSZ,O,O,O,O,X,X
ILOTJZS,O,X,X,O,X,X
ILOTSJZ,O,O,O,O,X,X
ILOTSZJ,O,O,O,X,O,X
ILOTZJS,O,X,X,O,O,X
ILOTZSJ,O,X,X,X,O,X
ILOJTSZ,O,O,X,O,X,X
ILOJTZS,O,X,X,O,X,X
ILOJSTZ,O,O,X,O,X,X
ILOJSZT,O,O,X,O,O,X
ILOJZTS,O,X,X,O,O,X
ILOJZST,O,X,X,O,O,X
ILOSTJZ,O,O,O,O,X,X
ILOSTZJ,O,O,O,X,O,X
ILOSJTZ,O,O,X,O,X,X
ILOSJZT,O,O,X,O,O,X
ILOSZTJ,O,O,X,X,O,X
ILOSZJT,O,O,X,X,O,X
ILOZTJS,O,X,X,O,O,X
ILOZTSJ,O,X,X,X,O,X
ILOZJTS,O,X,X,O,O,X
ILOZJST,O,X,X,O,O,X
ILOZSTJ,O,O,X,X,O,X
ILOZSJT,O,O,X,X,O,X
IJTLSZO,O,O,X,O,X,X
IJTLSOZ,O,O,X,O,X,X
IJTLZSO,O,X,X,O,X,X
IJTLZOS,O,X,X,O,X,X
IJTLOSZ,O,O,X,O,X,X
IJTLOZS,O,X,X,O,X,X
IJTSLZO,O,O,X,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,O,O,X,O,X,X
IJTSZOL,O,O,X,O,X,X
IJTSOLZ,O,O,X,O,X,X
IJTSOZL,O,O,X,O,X,X
IJTZLSO,O,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X
IJTZSOL,O,O,X,O,X,X
IJTZOLS,O,X,X,X,X,X
IJTZOSL,O,O,X,O,X,X
IJTOLSZ,O,O,X,O,X,X
IJTOLZS,O,X,X,O,X,X
IJTOSLZ,O,O,X,O,X,X
IJTOSZL,O,O,X,O,X,X
IJTOZLS,O,X,X,X,X,X
IJTOZSL,O,O,X,O,X,X
IJLTSZO,O,O,X,O,X,X
IJLTSOZ,O,O,X,O,X,X
IJLTZSO,O,X,X,O,X,X
IJLTZOS,O,X,X,O,X,X
IJLTOSZ,O,O,X,O,X,X
IJLTOZS,O,X,X,O,X,X
IJLSTZO,O,O,X,O,X,X
IJLSTOZ,O,O,X,O,X,X
IJLSZTO,O,X,X,O,O,X
IJLSZOT,O,O,X,O,O,X
IJLSOTZ,O,O,X,O,X,X
IJLSOZT,O,O,X,O,O,X
IJLZTSO,O,X,X,O,O,X
IJLZTOS,O,X,X,O,O,X
IJLZSTO,O,X,X,O,O,X
IJLZSOT,O,X,X,O,O,X
IJLZOTS,O,X,X,O,O,X
IJLZOST,O,X,X,O,O,X
IJLOTSZ,O,O,X,O,X,X
IJLOTZS,O,X,X,O,X,X
IJLOSTZ,O,O,X,O,X,X
IJLOSZT,O,O,X,O,O,X
IJLOZTS,O,X,X,O,O,X
IJLOZST,O,X,X,O,O,X
IJSTLZO,O,O,O,O,X,X
IJSTLOZ,O,O,O,O,X,X
IJSTZLO,O,O,X,O,X,X
IJSTZOL,O,O,X,O,X,X
IJSTOLZ,O,O,O,O,X,X
IJSTOZL,O,O,X,O,X,X
IJSLTZO,O,O,X,O,X,X
IJSLTOZ,O,O,X,O,X,X
IJSLZTO,O,X,X,O,O,X
IJSLZOT,O,O,X,O,O,X
IJSLOTZ,O,O,X,O,X,X
IJSLOZT,O,O,X,O,O,X
IJSZTLO,O,X,X,O,X,X
IJSZTOL,O,X,X,O,X,X
IJSZLTO,O,X,X,O,X,X
IJSZLOT,O,O,X,O,X,X
IJSZOTL,O,X,X,O,X,X
IJSZOLT,O,O,X,O,X,X
IJSOTLZ,O,O,O,O,X,X
IJSOTZL,O,O,X,O,X,X
IJSOLTZ,O,O,X,O,X,X
IJSOLZT,O,O,X,O,O,X
IJSOZTL,O,X,X,O,X,X
IJSOZLT,O,O,X,O,X,X
IJZTLSO,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X
IJZTSLO,O,O,X,O,X,X
IJZTSOL,O,O,X,O,X,X
IJZTOLS,O,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X
IJZLOST,O,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X
IJZSTOL,O,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X
IJZSLOT,O,O,X,O,X,X
IJZSOTL,O,X,X,O,X,X
IJZSOLT,O,O,X,O,X,X
IJZOTLS,O,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X
IJZOLTS,O,X,X,X,X,X
IJZOLST,O,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X
IJZOSLT,O,O,X,O,X,X
IJOTLSZ,O,O,X,O,X,X
IJOTLZS,O,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,X
IJOTSZL,O,O,X,O,X,X
IJOTZLS,O,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X
IJOLTSZ,O,O,X,O,X,X
IJOLTZS,O,X,X,O,X,X
IJOLSTZ,O,O,X,O,X,X
IJOLSZT,O,O,X,O,O,X
IJOLZTS,O,X,X,O,O,X
IJOLZST,O,X,X,O,O,X
IJOSTLZ,O,O,O,O,X,X
IJOSTZL,O,O,X,O,X,X
IJOSLTZ,O,O,X,O,X,X
IJOSLZT,O,O,X,O,O,X
IJOSZTL,O,X,X,O,X,X
IJOSZLT,O,O,X,O,X,X
IJOZTLS,O,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X
IJOZLTS,O,X,X,X,X,X
IJOZLST,O,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X
IJOZSLT,O,O,X,O,X,X
ISTLJZO,O,O,O,X,X,X
ISTLJOZ,O,O,O,X,X,O
ISTLZJO,O,O,O,X,O,X
ISTLZOJ,O,O,O,X,O,X
ISTLOJZ,O,O,O,X,X,O
ISTLOZJ,O,O,O,X,O,X
ISTJLZO,O,O,O,X,X,X
ISTJLOZ,O,O,O,X,X,O
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,O
ISTJOLZ,O,O,O,X,X,O
ISTJOZL,O,O,X,X,X,O
ISTZLJO,O,O,O,X,X,X
ISTZLOJ,O,O,O,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,X,X,O
ISTZOLJ,O,O,O,X,X,X
ISTZOJL,O,O,X,X,X,O
ISTOLJZ,O,O,O,X,X,O
ISTOLZJ,O,O,O,X,O,X
ISTOJLZ,O,O,O,X,X,O
ISTOJZL,O,O,X,X,X,O
ISTOZLJ,O,O,O,X,X,X
ISTOZJL,O,O,X,X,X,O
ISLTJZO,O,O,O,X,X,X
ISLTJOZ,O,O,O,X,X,X
ISLTZJO,O,O,O,X,O,X
ISLTZOJ,O,O,O,X,O,X
ISLTOJZ,O,O,O,X,X,X
ISLTOZJ,O,O,O,X,O,X
ISLJTZO,O,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,X
ISLJZTO,O,X,X,X,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,O,O,X,X,X,O
ISLJOZT,O,O,X,X,O,O
ISLZTJO,X,O,X,X,O,X
ISLZTOJ,O,O,X,X,O,X
ISLZJTO,X,X,X,X,O,X
ISLZJOT,O,O,X,X,O,X
ISLZOTJ,O,O,X,X,O,X
ISLZOJT,O,O,X,X,O,X
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,O,O,O,X,O,X
ISLOJTZ,O,O,X,X,X,O
ISLOJZT,O,O,X,X,O,O
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,O,X,X,O,X
ISJTLZO,O,O,O,X,X,X
ISJTLOZ,O,O,O,X,X,O
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,O
ISJTOLZ,O,O,O,X,X,O
ISJTOZL,O,O,X,X,X,O
ISJLTZO,O,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X
ISJLZTO,O,X,X,X,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,O,O,X,X,X,O
ISJLOZT,O,O,X,X,O,O
ISJZTLO,O,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X
ISJZLTO,O,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X
ISJZOTL,O,X,X,X,X,O
ISJZOLT,O,O,X,X,X,O
ISJOTLZ,O,O,O,X,X,O
ISJOTZL,O,O,X,X,X,O
ISJOLTZ,O,O,X,X,X,O
ISJOLZT,O,O,X,X,O,O
ISJOZTL,O,X,X,X,X,O
ISJOZLT,O,O,X,X,X,O
ISZTLJO,O,O,O,X,X,X
ISZTLOJ,O,O,O,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,X,O,X,X,O,X
ISZLTOJ,O,O,X,X,O,X
ISZLJTO,O,X,X,X,O,X
ISZLJOT,O,O,X,X,O,X
ISZLOTJ,O,O,X,X,O,X
ISZLOJT,O,O,X,X,O,X
ISZJTLO,O,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X
ISZJOTL,O,X,X,X,X,O
ISZJOLT,O,O,X,X,X,O
ISZOTLJ,O,O,O,X,X,X
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,O,O,X,X,O,X
ISZOLJT,O,O,X,X,O,X
ISZOJTL,O,X,X,X,X,O
ISZOJLT,O,O,X,X,X,O
ISOTLJZ,O,O,O,X,X,O
ISOTLZJ,O,O,O,X,O,X
ISOTJLZ,O,O,O,X,X,O
ISOTJZL,O,O,X,X,X,O
ISOTZLJ,O,O,O,X,X,X
ISOTZJL,O,O,X,X,X,O
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,O,O,O,X,O,X
ISOLJTZ,O,O,X,X,X,O
ISOLJZT,O,O,X,X,O,O
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,X,X,O,X
ISOJTLZ,O,O,O,X,X,O
ISOJTZL,O,O,X,X,X,O
ISOJLTZ,O,O,X,X,X,O
ISOJLZT,O,O,X,X,O,O
ISOJZTL,O,X,X,X,X,O
ISOJZLT,O,O,X,X,X,O
ISOZTLJ,O,O,O,X,X,X
ISOZTJL,O,O,X,X,X,X
ISOZLTJ,O,O,X,X,O,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,O,X,X,X,X,O
ISOZJLT,O,O,X,X,X,O
IZTLJSO,O,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X
IZTLOJS,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X
IZLTJSO,O,X,X,X,O,X
IZLTJOS,O,X,X,X,O,X
IZLTSJO,O,X,X,X,O,X
IZLTSOJ,O,X,X,X,O,X
IZLTOJS,O,X,X,X,O,X
IZLTOSJ,O,X,X,X,O,X
IZLJTSO,O,X,X,X,O,X
IZLJTOS,O,X,X,X,O,X
IZLJSTO,O,X,X,X,O,X
IZLJSOT,O,X,X,X,O,X
IZLJOTS,O,X,X,X,O,X
IZLJOST,O,X,X,X,O,X
IZLSTJO,X,O,X,X,O,X
IZLSTOJ,O,O,X,X,O,X
IZLSJTO,O,X,X,X,O,X
IZLSJOT,O,O,X,X,O,X
IZLSOTJ,O,O,X,X,O,X
IZLSOJT,O,O,X,X,O,X
IZLOTJS,O,X,X,X,O,X
IZLOTSJ,O,X,X,X,O,X
IZLOJTS,O,X,X,X,O,X
IZLOJST,O,X,X,X,O,X
IZLOSTJ,O,O,X,X,O,X
IZLOSJT,O,O,X,X,O,X
IZJTLSO,O,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X
IZJLOST,O,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X
IZJSOTL,O,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X
IZJOTLS,O,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,O,X,X,X,X,X
IZJOLST,O,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X
IZSTLJO,O,O,O,X,X,X
IZSTLOJ,O,O,O,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,O,O,X,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,X,O,X,X,O,X
IZSLTOJ,O,O,X,X,O,X
IZSLJTO,O,X,X,X,O,X
IZSLJOT,O,O,X,X,O,X
IZSLOTJ,O,O,X,X,O,X
IZSLOJT,O,O,X,X,O,X
IZSJTLO,O,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X
IZSJOTL,O,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X
IZSOTLJ,O,O,O,X,X,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,O,O,X,X,O,X
IZSOLJT,O,O,X,X,O,X
IZSOJTL,O,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X
IZOTLJS,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,O,O,X,X,X,X
IZOTSJL,O,O,X,X,X,X
IZOLTJS,O,X,X,X,O,X
IZOLTSJ,O,X,X,X,O,X
IZOLJTS,O,X,X,X,O,X
IZOLJST,O,X,X,X,O,X
IZOLSTJ,O,O,X,X,O,X
IZOLSJT,O,O,X,X,O,X
IZOJTLS,O,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,O,X,X,X,X,X
IZOJLST,O,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X
IZOSTLJ,O,O,O,X,X,X
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,O,O,X,X,O,X
IZOSLJT,O,O,X,X,O,X
IZOSJTL,O,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X
IOTLJSZ,O,O,O,O,X,X
IOTLJZS,O,X,X,O,X,X
IOTLSJZ,O,O,O,O,X,X
IOTLSZJ,O,O,O,X,O,X
IOTLZJS,O,X,X,O,O,X
IOTLZSJ,O,X,X,X,O,X
IOTJLSZ,O,O,X,O,X,X
IOTJLZS,O,X,X,O,X,X
IOTJSLZ,O,O,X,O,X,X
IOTJSZL,O,O,X,O,X,X
IOTJZLS,O,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X
IOTSLJZ,O,O,O,X,X,O
IOTSLZJ,O,O,O,X,O,X
IOTSJLZ,O,O,O,X,X,O
IOTSJZL,O,O,X,X,X,O
IOTSZLJ,O,O,O,X,X,X
IOTSZJL,O,O,X,X,X,O
IOTZLJS,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X
