sequence,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFGcBTdBZkB8lBfq?B6pB,v115@7gB8HeB8EeE8DeF8CeG8Jem6IvhFRcBSiB0fBzgBNp?BXqB,v115@7gB8HeB8EeE8DeF8CeG8Je//IvhFRbBchBTdB6lBNp?BeqB,v115@7gB8HeB8EeE8DeF8CeG8Je2/IvhFRbBchBTdB9lBKp?BfqB,v115@7gB8HeB8EeE8DeF8CeG8JeN/IvhFRbBShBTdB8kB3l?B2uB,v115@7gB8HeB8EeE8DeF8CeG8Je06IvhFShBTdBxpBNpBml?BXqB,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFRcBSiBOkB8lBfq?BTpB,v115@7gB8HeB8EeE8DeF8CeG8JeO/IvhFxbBTdBXhBcpBNq?BCqB
TSJILOZ,X,X,O,X,O,X,X,X
TSJIZLO,O,X,O,X,O,X,O,O
TSJIZOL,O,X,O,X,O,X,O,O
TSJIOLZ,X,X,O,X,O,X,X,X
TSJIOZL,O,X,O,X,O,X,X,O
TSJLIZO,X,O,O,X,O,X,O,X
TSJLIOZ,X,O,O,X,O,X,X,X
TSJLZIO,X,O,O,X,O,X,O,X
TSJLZOI,X,O,O,X,O,X,O,X
TSJLOIZ,X,O,O,X,O,X,X,X
TSJLOZI,X,O,O,X,O,X,O,X
TSJZILO,O,O,O,X,O,X,O,O
TSJZIOL,O,O,O,X,O,X,O,O
TSJZLIO,O,O,O,X,O,X,O,O
TSJZLOI,O,O,O,X,O,X,O,O
TSJZOIL,O,O,O,X,O,X,O,O
TSJZOLI,O,O,O,X,O,X,O,O
TSJOILZ,X,O,O,X,O,X,X,X
TSJOIZL,O,O,O,X,O,X,X,O
TSJOLIZ,X,O,O,X,O,X,X,X
TSJOLZI,X,O,O,X,O,X,O,X
TSJOZIL,O,O,O,X,O,X,O,O
TSJOZLI,O,O,O,X,O,X,O,O
TSZILJO,O,O,X,X,O,X,O,O
TSZILOJ,O,O,O,X,O,X,O,O
TSZIJLO,O,O,O,X,O,X,O,O
TSZIJOL,O,O,O,X,O,X,O,O
TSZIOLJ,O,O,O,X,O,X,O,O
TSZIOJL,O,O,O,X,O,X,O,O
TSZLIJO,O,O,X,O,O,X,O,O
TSZLIOJ,O,O,O,O,O,X,O,O
TSZLJIO,O,O,O,O,O,X,O,O
TSZLJOI,O,O,O,O,O,X,O,O
TSZLOIJ,O,O,O,O,O,X,O,O
TSZLOJI,O,O,O,O,O,X,O,O
TSZJILO,O,O,O,X,O,X,O,O
TSZJIOL,O,O,O,X,O,X,O,O
TSZJLIO,O,O,O,X,O,X,O,O
TSZJLOI,O,O,O,X,O,X,O,O
TSZJOIL,O,O,O,X,O,X,O,O
TSZJOLI,O,O,O,X,O,X,O,O
TSZOILJ,O,O,O,X,O,X,O,O
TSZOIJL,O,O,O,X,O,X,O,O
TSZOLIJ,O,O,O,O,O,X,O,O
TSZOLJI,O,O,O,O,O,X,O,O
TSZOJIL,O,O,O,X,O,X,O,O
TSZOJLI,O,O,O,X,O,X,O,O
TSOILJZ,X,O,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,O
TSOIJLZ,X,O,O,X,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X,O
TSOIZLJ,O,O,O,X,X,X,X,O
TSOIZJL,O,O,O,X,X,X,X,O
TSOLIJZ,X,O,X,O,X,X,X,X
TSOLIZJ,O,O,X,O,X,X,X,O
TSOLJIZ,X,O,O,O,O,X,X,X
TSOLJZI,X,O,O,O,O,X,O,X
TSOLZIJ,O,O,O,O,O,X,O,O
TSOLZJI,O,O,O,O,O,X,O,O
TSOJILZ,X,O,O,X,O,X,X,X
TSOJIZL,O,O,O,X,O,X,X,O
TSOJLIZ,X,O,O,X,O,X,X,X
TSOJLZI,X,O,O,X,O,X,O,X
TSOJZIL,O,O,O,X,O,X,O,O
TSOJZLI,O,O,O,X,O,X,O,O
TSOZILJ,O,O,O,X,O,X,O,O
TSOZIJL,O,O,O,X,O,X,O,O
TSOZLIJ,O,O,O,O,O,X,O,O
TSOZLJI,O,O,O,O,O,X,O,O
TSOZJIL,O,O,O,X,O,X,O,O
TSOZJLI,O,O,O,X,O,X,O,O
TZILJSO,X,O,X,X,X,X,O,X
TZILJOS,X,O,X,X,X,X,X,X
TZILSJO,X,O,X,O,X,X,O,X
TZILSOJ,X,X,X,O,X,X,O,X
TZILOJS,X,O,X,X,X,X,X,X
TZILOSJ,X,O,X,O,X,X,O,X
TZIJLSO,X,O,O,X,X,X,O,X
TZIJLOS,X,O,O,X,X,X,X,X
TZIJSLO,O,X,O,X,X,X,O,O
TZIJSOL,O,X,O,X,X,X,O,O
TZIJOLS,X,O,O,X,X,X,X,X
TZIJOSL,O,O,O,X,X,X,X,O
TZISLJO,O,X,X,X,X,X,O,O
TZISLOJ,O,X,O,X,X,X,O,O
TZISJLO,O,X,O,X,X,X,O,O
TZISJOL,O,X,O,X,X,X,O,O
TZISOLJ,O,X,O,X,X,X,O,O
TZISOJL,O,X,O,X,X,X,O,O
TZIOLJS,X,O,X,X,X,X,X,X
TZIOLSJ,X,O,X,O,X,X,O,X
TZIOJLS,X,O,O,X,X,X,X,X
TZIOJSL,O,O,O,X,X,X,X,O
TZIOSLJ,O,O,O,X,X,X,O,O
TZIOSJL,O,O,O,X,X,X,O,O
TZLIJSO,X,O,X,X,X,X,O,X
TZLIJOS,X,O,X,X,X,X,X,X
TZLISJO,X,O,X,O,X,X,O,X
TZLISOJ,X,O,X,O,X,X,O,X
TZLIOJS,X,O,X,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,O,X
TZLJISO,X,O,O,X,X,X,O,X
TZLJIOS,X,O,O,X,X,X,X,X
TZLJSIO,O,O,O,O,X,X,O,O
TZLJSOI,O,O,O,O,X,X,O,O
