sequence,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFmcBqiBTeBFhBUn?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFlcBGeBUhBKnBzi?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFXcBTeBCiB0iBer?BVxB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFTeB2nB0mB6nBFm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFGdBTeB3hBlnBir?B8qB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFSiBTeBUhBlnBmm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF6hBldBcjB/nB2r?BzqB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF8hBGeBamBziBVs?BXrB
TZJOISL,X,X,O,O,X,X,X,X
TZJOLIS,O,X,O,O,X,O,X,O
TZJOLSI,O,X,O,O,O,O,X,O
TZJOSIL,X,X,O,O,X,X,X,X
TZJOSLI,X,X,O,O,O,X,X,O
TZSILJO,O,O,X,X,X,O,O,X
TZSILOJ,O,O,X,X,X,O,X,X
TZSIJLO,O,O,X,X,X,O,O,X
TZSIJOL,X,X,X,X,X,O,O,X
TZSIOLJ,O,X,X,X,X,O,X,X
TZSIOJL,X,X,X,X,X,O,O,X
TZSLIJO,O,O,X,X,O,O,O,X
TZSLIOJ,O,O,X,X,O,O,X,O
TZSLJIO,O,O,X,X,O,O,O,X
TZSLJOI,O,X,X,X,O,O,O,X
TZSLOIJ,O,O,X,X,O,O,X,O
TZSLOJI,O,O,X,X,O,O,X,O
TZSJILO,O,O,X,X,X,O,O,X
TZSJIOL,X,X,X,X,X,O,O,X
TZSJLIO,O,X,X,X,O,O,O,X
TZSJLOI,O,X,X,X,O,O,O,X
TZSJOIL,X,X,X,X,X,O,O,X
TZSJOLI,X,X,X,X,O,O,O,X
TZSOILJ,O,X,X,X,X,O,X,X
TZSOIJL,X,X,X,X,X,O,O,X
TZSOLIJ,O,X,X,X,O,O,X,O
TZSOLJI,O,X,X,X,O,O,X,O
TZSOJIL,X,X,X,X,X,O,O,X
TZSOJLI,X,X,X,X,O,O,O,O
TZOILJS,O,O,X,X,X,O,X,O
TZOILSJ,O,O,X,X,X,O,X,O
TZOIJLS,O,O,O,X,X,O,X,O
TZOIJSL,X,X,O,X,X,X,X,X
TZOISLJ,O,X,X,X,X,O,X,X
TZOISJL,X,X,X,X,X,O,O,X
TZOLIJS,O,O,X,X,X,O,X,O
TZOLISJ,O,O,X,X,X,O,X,O
TZOLJIS,O,O,X,X,X,O,X,O
TZOLJSI,O,O,X,X,O,O,X,O
TZOLSIJ,O,O,X,X,O,O,X,O
TZOLSJI,O,O,X,X,O,O,X,O
TZOJILS,O,O,O,X,X,O,X,O
TZOJISL,X,X,O,X,X,X,X,X
TZOJLIS,O,O,O,X,X,O,X,O
TZOJLSI,O,O,O,X,O,O,X,O
TZOJSIL,X,X,O,X,X,X,X,X
TZOJSLI,X,X,O,X,O,X,X,O
TZOSILJ,O,X,X,X,X,O,X,X
TZOSIJL,X,X,X,X,X,O,O,X
TZOSLIJ,O,X,X,X,O,O,X,O
TZOSLJI,O,X,X,X,O,O,X,O
TZOSJIL,X,X,X,X,X,O,O,X
TZOSJLI,X,X,X,X,O,O,O,O
TOILJSZ,O,O,O,X,O,X,X,O
TOILJZS,O,O,O,X,X,O,X,O
TOILSJZ,O,O,X,X,O,O,X,O
TOILSZJ,X,O,X,X,O,O,X,O
TOILZJS,O,O,X,X,X,O,X,O
TOILZSJ,O,O,X,X,X,O,X,O
TOIJLSZ,O,O,O,X,O,X,X,O
TOIJLZS,O,O,O,X,X,O,X,O
TOIJSLZ,X,X,O,X,O,O,X,X
TOIJSZL,X,X,O,X,X,O,X,X
TOIJZLS,O,O,O,O,X,O,X,O
TOIJZSL,X,X,O,O,X,X,X,X
TOISLJZ,O,X,X,X,O,O,X,X
TOISLZJ,X,X,X,X,O,O,X,X
TOISJLZ,X,X,O,X,O,O,X,X
TOISJZL,X,X,O,X,X,O,X,X
TOISZLJ,O,X,X,X,X,O,X,X
TOISZJL,X,X,X,X,X,O,X,X
TOIZLJS,O,O,X,X,X,O,X,O
TOIZLSJ,O,O,X,X,X,O,X,O
TOIZJLS,O,O,O,X,X,O,X,O
TOIZJSL,X,X,O,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,O,X,X
TOIZSJL,X,X,X,X,X,O,X,X
TOLIJSZ,O,O,O,X,O,X,X,O
TOLIJZS,O,O,O,X,X,O,X,O
TOLISJZ,O,O,X,X,O,O,X,O
TOLISZJ,X,O,X,X,O,O,X,O
TOLIZJS,O,O,X,X,X,O,X,O
TOLIZSJ,O,O,X,X,X,O,X,O
TOLJISZ,O,O,O,X,O,X,X,O
TOLJIZS,O,O,O,X,X,O,X,O
TOLJSIZ,O,O,O,X,O,X,X,O
TOLJSZI,X,O,O,X,O,X,X,O
TOLJZIS,O,O,O,X,X,O,X,O
TOLJZSI,X,O,O,X,O,O,X,O
TOLSIJZ,O,O,X,X,O,O,X,O
TOLSIZJ,X,O,X,X,O,O,X,O
TOLSJIZ,O,O,X,X,O,O,X,O
TOLSJZI,X,O,X,X,O,O,X,O
TOLSZIJ,X,O,X,X,O,O,X,O
TOLSZJI,X,O,X,X,O,O,X,O
TOLZIJS,O,O,X,X,X,O,X,O
TOLZISJ,O,O,X,X,X,O,X,O
TOLZJIS,O,O,X,X,X,O,X,O
TOLZJSI,O,O,X,X,O,O,X,O
TOLZSIJ,O,O,X,X,O,O,X,O
TOLZSJI,O,O,X,X,O,O,X,O
TOJILSZ,O,O,O,X,O,X,X,O
TOJILZS,O,O,O,X,X,O,X,O
TOJISLZ,X,X,O,X,O,O,X,X
TOJISZL,X,X,O,X,X,O,X,X
TOJIZLS,O,O,O,O,X,O,X,O
TOJIZSL,X,X,O,O,X,X,X,X
TOJLISZ,O,O,O,X,O,X,X,O
TOJLIZS,O,O,O,X,X,O,X,O
TOJLSIZ,O,O,O,X,O,X,X,O
TOJLSZI,X,O,O,X,O,X,X,O
TOJLZIS,O,O,O,X,X,O,X,O
TOJLZSI,X,O,O,X,O,O,X,O
TOJSILZ,X,X,O,X,O,O,X,X
TOJSIZL,X,X,O,X,X,O,X,X
TOJSLIZ,X,X,O,X,O,O,X,O
TOJSLZI,X,X,O,X,O,O,X,O
TOJSZIL,X,X,O,X,X,O,X,X
TOJSZLI,X,X,O,X,O,O,X,O
TOJZILS,O,O,O,O,X,O,X,O
TOJZISL,X,X,O,O,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,O
TOJZLSI,O,O,O,O,O,O,X,O
TOJZSIL,X,X,O,O,X,X,X,X
TOJZSLI,X,X,O,O,O,X,X,O
TOSILJZ,O,X,X,X,O,O,X,X
TOSILZJ,X,X,X,X,O,O,X,X
TOSIJLZ,X,X,O,X,O,O,X,X
TOSIJZL,X,X,O,X,X,O,X,X
TOSIZLJ,O,X,X,X,X,O,X,X
TOSIZJL,X,X,X,X,X,O,X,X
TOSLIJZ,O,X,X,X,O,O,X,O
TOSLIZJ,X,X,X,X,O,O,X,O
TOSLJIZ,O,X,X,X,O,O,X,O
TOSLJZI,X,X,X,X,O,O,X,O
TOSLZIJ,X,X,X,X,O,O,X,O
TOSLZJI,X,X,X,X,O,O,X,O
TOSJILZ,X,X,O,X,O,O,X,X
TOSJIZL,X,X,O,X,X,O,X,X
TOSJLIZ,X,X,O,X,O,O,X,O
TOSJLZI,X,X,O,X,O,O,X,O
TOSJZIL,X,X,O,X,X,O,X,X
TOSJZLI,X,X,O,X,O,O,X,O
TOSZILJ,O,X,X,X,X,O,X,X
TOSZIJL,X,X,X,X,X,O,X,X
TOSZLIJ,O,X,X,X,O,O,X,O
TOSZLJI,O,X,X,X,O,O,X,O
TOSZJIL,X,X,X,X,X,O,X,X
TOSZJLI,X,X,X,X,O,O,X,O
TOZILJS,O,O,X,X,X,O,X,O
TOZILSJ,O,O,X,X,X,O,X,O
TOZIJLS,O,O,O,X,X,O,X,O
TOZIJSL,X,X,O,X,X,X,X,X
TOZISLJ,O,X,X,X,X,O,X,X
TOZISJL,X,X,X,X,X,O,X,X
TOZLIJS,O,O,X,X,X,O,X,O
TOZLISJ,O,O,X,X,X,O,X,O
TOZLJIS,O,O,X,X,X,O,X,O
TOZLJSI,O,O,X,X,O,O,X,O
TOZLSIJ,O,O,X,X,O,O,X,O
TOZLSJI,O,O,X,X,O,O,X,O
TOZJILS,O,O,O,X,X,O,X,O
TOZJISL,X,X,O,X,X,X,X,X
TOZJLIS,O,O,O,X,X,O,X,O
TOZJLSI,O,O,O,X,O,O,X,O
TOZJSIL,X,X,O,X,X,X,X,X
TOZJSLI,X,X,O,X,O,X,X,O
TOZSILJ,O,X,X,X,X,O,X,X
TOZSIJL,X,X,X,X,X,O,X,X
TOZSLIJ,O,X,X,X,O,O,X,O
TOZSLJI,O,X,X,X,O,O,X,O
TOZSJIL,X,X,X,X,X,O,X,X
TOZSJLI,X,X,X,X,O,O,X,O
ITLJSZO,X,O,O,X,O,X,X,X
ITLJSOZ,O,O,O,X,O,X,X,X
ITLJZSO,O,O,O,X,X,X,X,X
ITLJZOS,O,O,O,X,X,O,X,O
ITLJOSZ,O,O,O,X,O,X,X,O
ITLJOZS,O,O,O,X,X,O,X,O
ITLSJZO,X,O,X,X,O,O,X,X
ITLSJOZ,O,O,X,X,O,O,X,X
ITLSZJO,X,O,X,X,O,O,X,X
ITLSZOJ,X,O,X,X,O,O,X,O
ITLSOJZ,O,O,X,X,O,O,X,O
ITLSOZJ,X,O,X,X,O,O,X,O
ITLZJSO,O,O,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,O,X,O
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,O,X,O
ITLZOJS,O,O,X,X,X,O,X,O
ITLZOSJ,O,O,X,X,X,O,X,O
ITLOJSZ,O,O,O,X,O,X,X,O
ITLOJZS,O,O,O,X,X,O,X,O
ITLOSJZ,O,O,X,X,O,O,X,O
ITLOSZJ,X,O,X,X,O,O,X,O
ITLOZJS,O,O,X,X,X,O,X,O
ITLOZSJ,O,O,X,X,X,O,X,O
ITJLSZO,X,O,O,X,O,X,O,X
ITJLSOZ,O,O,O,X,O,X,X,X
ITJLZSO,O,O,O,X,X,X,O,X
ITJLZOS,O,O,O,X,X,O,X,X
ITJLOSZ,O,O,O,X,O,X,X,O
ITJLOZS,O,O,O,X,X,O,X,O
ITJSLZO,X,X,O,X,O,O,O,X
ITJSLOZ,O,X,O,X,O,O,X,X
ITJSZLO,O,X,O,X,X,O,O,X
ITJSZOL,X,X,O,X,X,O,O,X
ITJSOLZ,X,X,O,X,O,O,X,X
ITJSOZL,X,X,O,X,X,O,X,X
ITJZLSO,O,O,O,O,X,X,O,X
ITJZLOS,O,O,O,O,X,O,X,X
ITJZSLO,O,O,O,O,X,X,O,X
ITJZSOL,X,X,O,O,X,X,O,X
ITJZOLS,O,O,O,O,X,O,X,X
ITJZOSL,X,X,O,O,X,X,X,X
ITJOLSZ,O,O,O,X,O,X,X,O
ITJOLZS,O,O,O,X,X,O,X,O
ITJOSLZ,X,X,O,X,O,O,X,X
ITJOSZL,X,X,O,X,X,O,X,X
ITJOZLS,O,O,O,O,X,O,X,X
ITJOZSL,X,X,O,O,X,X,X,X
ITSLJZO,X,X,X,X,O,O,X,X
ITSLJOZ,O,X,X,X,O,O,X,X
ITSLZJO,X,X,X,X,O,O,X,X
ITSLZOJ,X,X,X,X,O,O,X,X
ITSLOJZ,O,X,X,X,O,O,X,X
ITSLOZJ,X,X,X,X,O,O,X,X
ITSJLZO,X,X,O,X,O,O,O,X
ITSJLOZ,O,X,O,X,O,O,X,X
ITSJZLO,O,X,O,X,X,O,O,X
ITSJZOL,X,X,O,X,X,O,O,X
ITSJOLZ,X,X,O,X,O,O,X,X
ITSJOZL,X,X,O,X,X,O,X,X
ITSZLJO,O,X,X,X,X,O,O,X
ITSZLOJ,O,X,X,X,X,O,X,X
ITSZJLO,O,X,X,X,X,O,O,X
ITSZJOL,X,X,X,X,X,O,O,X
ITSZOLJ,O,X,X,X,X,O,X,X
ITSZOJL,X,X,X,X,X,O,O,X
ITSOLJZ,O,X,X,X,O,O,X,X
ITSOLZJ,X,X,X,X,O,O,X,X
ITSOJLZ,X,X,O,X,O,O,X,X
ITSOJZL,X,X,O,X,X,O,X,X
ITSOZLJ,O,X,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,O,X,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,O,X,O
ITZLSJO,O,O,X,X,X,X,O,X
ITZLSOJ,O,O,X,X,X,O,X,O
ITZLOJS,O,O,X,X,X,O,X,O
ITZLOSJ,O,O,X,X,X,O,X,O
ITZJLSO,O,O,O,O,X,X,O,X
ITZJLOS,O,O,O,O,X,O,X,X
ITZJSLO,O,O,O,O,X,X,O,X
ITZJSOL,X,X,O,O,X,X,O,X
ITZJOLS,O,O,O,O,X,O,X,X
ITZJOSL,X,X,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,O,O,X
ITZSLOJ,O,O,X,X,X,O,X,X
ITZSJLO,O,O,X,X,X,O,O,X
ITZSJOL,X,X,X,X,X,O,O,X
ITZSOLJ,O,X,X,X,X,O,X,X
ITZSOJL,X,X,X,X,X,O,O,X
ITZOLJS,O,O,X,X,X,O,X,O
ITZOLSJ,O,O,X,X,X,O,X,O
ITZOJLS,O,O,O,X,X,O,X,O
ITZOJSL,X,X,O,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,O,X,X
ITZOSJL,X,X,X,X,X,O,O,X
ITOLJSZ,O,O,O,X,O,X,X,O
ITOLJZS,O,O,O,X,X,O,X,O
ITOLSJZ,O,O,X,X,O,O,X,O
ITOLSZJ,X,O,X,X,O,O,X,O
ITOLZJS,O,O,X,X,X,O,X,O
ITOLZSJ,O,O,X,X,X,O,X,O
ITOJLSZ,O,O,O,X,O,X,X,O
ITOJLZS,O,O,O,X,X,O,X,O
ITOJSLZ,X,X,O,X,O,O,X,X
ITOJSZL,X,X,O,X,X,O,X,X
ITOJZLS,O,O,O,O,X,O,X,O
ITOJZSL,X,X,O,O,X,X,X,X
ITOSLJZ,O,X,X,X,O,O,X,X
ITOSLZJ,X,X,X,X,O,O,X,X
ITOSJLZ,X,X,O,X,O,O,X,X
ITOSJZL,X,X,O,X,X,O,X,X
ITOSZLJ,O,X,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,X,X
ITOZLJS,O,O,X,X,X,O,X,O
ITOZLSJ,O,O,X,X,X,O,X,O
ITOZJLS,O,O,O,X,X,O,X,O
ITOZJSL,X,X,O,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,O,X,X
ITOZSJL,X,X,X,X,X,O,X,X
ILTJSZO,X,O,O,X,O,X,X,X
ILTJSOZ,O,O,O,X,O,X,X,X
ILTJZSO,O,O,O,X,X,X,X,X
ILTJZOS,O,O,O,X,X,O,X,O
ILTJOSZ,O,O,O,X,O,X,X,O
ILTJOZS,O,O,O,X,X,O,X,O
ILTSJZO,X,O,X,X,O,O,X,X
ILTSJOZ,O,O,X,X,O,O,X,X
ILTSZJO,X,O,X,X,O,O,X,X
ILTSZOJ,X,O,X,X,O,O,X,O
ILTSOJZ,O,O,X,X,O,O,X,O
ILTSOZJ,X,O,X,X,O,O,X,O
ILTZJSO,O,O,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X,O
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,O,X,O
ILTZOJS,O,O,X,X,X,O,X,O
ILTZOSJ,O,O,X,X,X,O,X,O
ILTOJSZ,O,O,O,X,O,X,X,O
ILTOJZS,O,O,O,X,X,O,X,O
ILTOSJZ,O,O,X,X,O,O,X,O
ILTOSZJ,X,O,X,X,O,O,X,O
ILTOZJS,O,O,X,X,X,O,X,O
ILTOZSJ,O,O,X,X,X,O,X,O
ILJTSZO,X,O,O,X,X,X,O,X
ILJTSOZ,O,O,O,X,X,X,X,X
ILJTZSO,X,O,O,X,X,X,O,X
ILJTZOS,O,O,O,X,X,X,X,O
ILJTOSZ,O,O,O,X,X,X,X,O
ILJTOZS,O,O,O,X,X,X,X,O
ILJSTZO,X,O,O,X,X,X,O,X
ILJSTOZ,X,O,O,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,O,X
ILJSZOT,X,O,X,X,X,X,O,X
ILJSOTZ,X,O,O,X,X,X,X,O
ILJSOZT,X,O,X,X,X,X,O,X
ILJZTSO,O,O,X,O,X,X,O,X
ILJZTOS,O,O,X,O,X,X,X,X
ILJZSTO,X,O,X,O,X,X,O,X
ILJZSOT,O,O,X,O,X,X,O,X
ILJZOTS,O,O,X,O,X,X,X,O
ILJZOST,O,O,X,O,X,X,O,X
ILJOTSZ,O,O,O,X,X,X,X,O
ILJOTZS,O,O,O,X,X,X,X,O
ILJOSTZ,X,O,O,X,X,X,X,O
ILJOSZT,X,O,X,X,X,X,O,X
ILJOZTS,O,O,X,O,X,X,X,O
ILJOZST,O,O,X,O,X,X,O,X
ILSTJZO,X,O,X,X,O,X,X,X
ILSTJOZ,O,O,X,X,O,X,X,X
ILSTZJO,X,O,X,X,O,X,X,X
ILSTZOJ,X,O,X,X,O,X,X,O
ILSTOJZ,O,O,X,X,O,X,X,O
ILSTOZJ,X,O,X,X,O,X,X,O
ILSJTZO,X,O,O,X,X,X,O,X
ILSJTOZ,X,O,O,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,O,X
ILSJZOT,X,O,X,X,X,X,O,X
ILSJOTZ,X,O,O,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,O,X
ILSZTJO,O,O,X,X,X,X,O,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,X,O,X,X,X,X,O,X
ILSZJOT,O,O,X,X,X,X,O,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,O
ILSOTZJ,X,O,X,X,X,X,X,O
ILSOJTZ,X,O,O,X,X,X,X,O
ILSOJZT,X,O,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,O,X,O
ILZTSJO,O,O,X,X,X,X,O,X
ILZTSOJ,O,O,X,X,X,O,X,O
ILZTOJS,O,O,X,X,X,O,X,O
ILZTOSJ,O,O,X,X,X,O,X,O
ILZJTSO,O,O,X,O,X,X,O,X
ILZJTOS,O,O,X,O,X,X,X,X
ILZJSTO,X,O,X,O,X,X,O,X
ILZJSOT,O,O,X,O,X,X,O,X
ILZJOTS,O,O,X,O,X,X,X,O
ILZJOST,O,O,X,O,X,X,O,X
ILZSTJO,O,O,X,X,X,X,O,X
ILZSTOJ,O,O,X,X,X,X,X,X
ILZSJTO,X,O,X,X,X,X,O,X
ILZSJOT,O,O,X,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,O,X,O
ILZOTSJ,O,O,X,X,X,O,X,O
ILZOJTS,O,O,X,X,X,X,X,O
ILZOJST,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,O,O,O,X,O,X,X,O
ILOTJZS,O,O,O,X,X,O,X,O
ILOTSJZ,O,O,X,X,O,O,X,O
ILOTSZJ,X,O,X,X,O,O,X,O
ILOTZJS,O,O,X,X,X,O,X,O
ILOTZSJ,O,O,X,X,X,O,X,O
ILOJTSZ,O,O,O,X,X,X,X,O
ILOJTZS,O,O,O,X,X,X,X,O
ILOJSTZ,X,O,O,X,X,X,X,O
ILOJSZT,X,O,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,O
ILOJZST,O,O,X,O,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,O
ILOSTZJ,X,O,X,X,X,X,X,O
ILOSJTZ,X,O,O,X,X,X,X,O
ILOSJZT,X,O,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,O,X,O
ILOZTSJ,O,O,X,X,X,O,X,O
ILOZJTS,O,O,X,X,X,X,X,O
ILOZJST,O,O,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,X,O,O,X,X,X,O,X
IJTLSOZ,O,O,O,X,X,X,X,X
IJTLZSO,O,O,O,X,X,X,O,X
IJTLZOS,O,O,O,X,X,O,X,X
IJTLOSZ,O,O,O,X,X,X,X,O
IJTLOZS,O,O,O,X,X,O,X,O
IJTSLZO,X,X,O,X,X,O,O,X
IJTSLOZ,O,X,O,X,X,O,X,X
IJTSZLO,O,X,O,X,X,O,O,X
IJTSZOL,X,X,O,X,X,O,O,X
IJTSOLZ,X,X,O,X,X,O,X,X
IJTSOZL,X,X,O,X,X,O,X,X
IJTZLSO,O,O,O,O,X,X,O,X
IJTZLOS,O,O,O,O,X,O,X,X
IJTZSLO,O,O,O,O,X,X,O,X
IJTZSOL,X,X,O,O,X,X,O,X
IJTZOLS,O,O,O,O,X,O,X,X
IJTZOSL,X,X,O,O,X,X,X,X
IJTOLSZ,O,O,O,X,X,X,X,O
IJTOLZS,O,O,O,X,X,O,X,O
IJTOSLZ,X,X,O,X,X,O,X,X
IJTOSZL,X,X,O,X,X,O,X,X
IJTOZLS,O,O,O,O,X,O,X,X
IJTOZSL,X,X,O,O,X,X,X,X
IJLTSZO,X,O,O,X,X,X,O,X
IJLTSOZ,O,O,O,X,X,X,X,X
IJLTZSO,X,O,O,X,X,X,O,X
IJLTZOS,O,O,O,X,X,X,X,O
IJLTOSZ,O,O,O,X,X,X,X,O
IJLTOZS,O,O,O,X,X,X,X,O
IJLSTZO,X,O,O,X,X,X,O,X
IJLSTOZ,X,O,O,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,O,X
IJLSZOT,X,O,X,X,X,X,O,X
IJLSOTZ,X,O,O,X,X,X,X,O
IJLSOZT,X,O,X,X,X,X,O,X
IJLZTSO,O,O,X,O,X,X,O,X
IJLZTOS,O,O,X,O,X,X,X,X
IJLZSTO,X,O,X,O,X,X,O,X
IJLZSOT,O,O,X,O,X,X,O,X
IJLZOTS,O,O,X,O,X,X,X,O
IJLZOST,O,O,X,O,X,X,O,X
IJLOTSZ,O,O,O,X,X,X,X,O
IJLOTZS,O,O,O,X,X,X,X,O
IJLOSTZ,X,O,O,X,X,X,X,O
IJLOSZT,X,O,X,X,X,X,O,X
IJLOZTS,O,O,X,O,X,X,X,O
IJLOZST,O,O,X,O,X,X,O,X
IJSTLZO,X,X,O,X,X,X,O,X
IJSTLOZ,X,X,O,X,X,X,X,X
IJSTZLO,X,X,O,X,X,X,O,X
IJSTZOL,X,X,O,X,X,X,O,X
IJSTOLZ,X,X,O,X,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X,X
IJSLTZO,X,O,O,X,X,X,O,X
IJSLTOZ,X,O,O,X,X,X,X,X
IJSLZTO,X,O,X,X,X,X,O,X
IJSLZOT,X,O,X,X,X,X,O,X
IJSLOTZ,X,O,O,X,X,X,X,O
IJSLOZT,X,O,X,X,X,X,O,X
IJSZTLO,X,O,O,O,X,X,O,X
IJSZTOL,X,X,O,O,X,X,O,X
IJSZLTO,X,O,X,O,X,X,O,X
IJSZLOT,X,X,X,O,X,X,O,X
IJSZOTL,X,X,O,O,X,X,O,X
IJSZOLT,X,X,X,O,X,X,O,X
IJSOTLZ,X,X,O,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,X
IJSOLTZ,X,O,O,X,X,X,X,O
IJSOLZT,X,O,X,X,X,X,O,X
IJSOZTL,X,X,O,O,X,X,O,X
IJSOZLT,X,O,X,O,X,X,O,X
IJZTLSO,O,O,O,O,X,X,O,X
IJZTLOS,O,O,O,O,X,O,X,X
IJZTSLO,O,O,O,O,X,X,O,X
IJZTSOL,X,X,O,O,X,X,O,X
IJZTOLS,O,O,O,O,X,O,X,X
IJZTOSL,X,X,O,O,X,X,X,X
IJZLTSO,O,O,X,O,X,X,O,X
IJZLTOS,O,O,X,O,X,X,X,X
IJZLSTO,X,O,X,O,X,X,O,X
IJZLSOT,O,O,X,O,X,X,O,X
IJZLOTS,O,O,X,O,X,X,X,O
IJZLOST,O,O,X,O,X,X,O,X
IJZSTLO,X,O,O,O,X,X,O,X
IJZSTOL,X,X,O,O,X,X,O,X
IJZSLTO,X,O,X,O,X,X,O,X
IJZSLOT,O,X,X,O,X,X,O,X
IJZSOTL,X,X,O,O,X,X,O,X
IJZSOLT,X,X,X,O,X,X,O,X
IJZOTLS,O,O,O,O,X,O,X,X
IJZOTSL,X,X,O,O,X,X,X,X
IJZOLTS,O,O,X,O,X,X,X,O
IJZOLST,O,O,X,O,X,X,O,X
IJZOSTL,X,X,O,O,X,X,O,X
IJZOSLT,X,O,X,O,X,X,O,X
IJOTLSZ,O,O,O,X,X,X,X,O
IJOTLZS,O,O,O,X,X,O,X,O
IJOTSLZ,X,X,O,X,X,O,X,X
IJOTSZL,X,X,O,X,X,O,X,X
IJOTZLS,O,O,O,O,X,O,X,O
IJOTZSL,X,X,O,O,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,O
IJOLTZS,O,O,O,X,X,X,X,O
IJOLSTZ,X,O,O,X,X,X,X,O
IJOLSZT,X,O,X,X,X,X,O,X
IJOLZTS,O,O,X,O,X,X,X,O
IJOLZST,O,O,X,O,X,X,O,X
IJOSTLZ,X,X,O,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X,X
IJOSLTZ,X,O,O,X,X,X,X,O
IJOSLZT,X,O,X,X,X,X,O,X
IJOSZTL,X,X,O,O,X,X,O,X
IJOSZLT,X,O,X,O,X,X,O,X
IJOZTLS,O,O,O,O,X,O,X,X
IJOZTSL,X,X,O,O,X,X,X,X
IJOZLTS,O,O,X,O,X,X,X,O
IJOZLST,O,O,X,O,X,X,O,X
IJOZSTL,X,X,O,O,X,X,O,X
IJOZSLT,X,O,X,O,X,X,O,X
ISTLJZO,X,X,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,X,O,X,X
ISTLZJO,X,X,X,X,X,O,X,X
ISTLZOJ,X,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,X,X,O,X,X
ISTLOZJ,X,X,X,X,X,O,X,X
ISTJLZO,X,X,O,X,X,O,O,X
ISTJLOZ,O,X,O,X,X,O,X,X
ISTJZLO,O,X,O,X,X,O,O,X
ISTJZOL,X,X,O,X,X,O,O,X
ISTJOLZ,X,X,O,X,X,O,X,X
ISTJOZL,X,X,O,X,X,O,X,X
ISTZLJO,O,X,X,X,X,O,O,X
ISTZLOJ,O,X,X,X,X,O,X,X
ISTZJLO,O,X,X,X,X,O,O,X
ISTZJOL,X,X,X,X,X,O,O,X
ISTZOLJ,O,X,X,X,X,O,X,X
ISTZOJL,X,X,X,X,X,O,O,X
ISTOLJZ,O,X,X,X,X,O,X,X
ISTOLZJ,X,X,X,X,X,O,X,X
ISTOJLZ,X,X,O,X,X,O,X,X
ISTOJZL,X,X,O,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,O,X,X
ISTOZJL,X,X,X,X,X,O,X,X
ISLTJZO,X,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X
