sequence,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhF0cBTfBOlB/mBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFxbBzfBUhB9qB3m?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhF8fBqgBthB/qBZm?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlBumB8q?BywB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBthBTfB/qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFXbBZhBthBSlB0q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbB3fBxlB0qBmr?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthBUgBerB3l?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlB8qB+r?BasB,v115@5gD8GeC8FeF8EeF8DeC8Je06IvhFthB2kB3lBZmBzr?B6qB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFfgB8gBthB2rBTl?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0bBthBykB3lB2r?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFthBflB0gBZmB6q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0cB/mBxkBOlBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFthBmgBxkB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFxbBykB3hB9qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthB3gBerBUl?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbBxkBerBfsBUl?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFmbBxkByqBfsBtr?B0qB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBTfBmlBfsB0q?BtrB,v115@5gD8GeC8FeF8EeF8DeC8Jem7IvhFthBxfBTfB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFzaBRhB3gB0qBmr?B9rB
IOTJSLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOTJSZL,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IOTSLZJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJZL,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTZLJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X
IOLJTZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLJSTZ,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOLJZTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLSTJZ,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X
IOLSTZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOLSJTZ,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOLSZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOLZTJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOJTSZL,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJLTZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOJLSTZ,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOJLZTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJSTLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IOJSZLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZTLS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJZSLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IOSTLZJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTJZL,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X
IOSLTZJ,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
IOSLZTJ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOSJTLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSJLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSJZTL,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X
IOSJZLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSZTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSZLTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZLJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOSZJTL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSZJLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZTLJS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJSL,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZLJST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZLSTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZJTLS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJLST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZJSLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSLTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSLJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOZSJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSJLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
LTIJZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LTIJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LTISJZO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LTISZJO,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
LTISZOJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LTISOZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIOJSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
LTIOJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LTIOSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
LTJIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LTJIOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LTJSIZO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
LTJSIOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
LTJSZIO,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJSZOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJSOZI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJZISO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTJZSIO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJZSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJZOIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTJZOSI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOISZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
LTJOIZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTJOSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
LTJOSZI,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
LTJOZIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTJOZSI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
LTSIJZO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X
LTSIJOZ,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LTSIZJO,O,X,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
LTSIZOJ,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X
LTSIOJZ,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LTSIOZJ,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
LTSJIOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
LTSJZIO,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSJZOI,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
LTSZIOJ,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTSZJIO,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
LTSZJOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTSZOIJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTSZOJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTSOIJZ,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X
LTSOIZJ,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSOZIJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSOZJI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZIJSO,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LTZISJO,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTZIOSJ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZJISO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJSIO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZJSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZJOIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJOSI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
LTZSIOJ,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZSJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSOIJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSOJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOISJ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZOJIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOJSI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZOSIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOSJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
LTOIJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LTOISJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LTOISZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
LTOJIZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTOJSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
LTOJSZI,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
LTOJZIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTOJZSI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
LTOSIJZ,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X
LTOSIZJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
LTOSJZI,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOSZJI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOZIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZISJ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOZJIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZJSI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOZSIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZSJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
LITJZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LITJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LITSJZO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,X
LITSJOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LITSZJO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
LITSZOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
LITSOZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LITZJSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITZSJO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
