sequence,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je37IvhFUdBFlBxmBu?kBCrBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFRcBcmBTiBX?lBllBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFTcB/iBOlBl?mBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBTiBUlBG?mBClBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhF0bBlcBTiB6?rBmqB/qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFKgBWhBTiBl?hB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBFgBTiBW?qBUmBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBukBFhBT?lBXrBCsB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFUcB/iBTgBl?mBRqBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBXhBzkBC?nBGlBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFlcBOlB/mBT?iBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFGgBSnBzkB8?qBlmB3rB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeG7IvhFUdBzfBSqBx?mB/mBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFzcBukB1lBS?nB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeU7IvhF/iBWlBlmBR?qBTrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgB0lBl?mBGqBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgBUgBl?mBzqBGrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeT8IvhF/iBCgBUgBl?mBRqBWwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFWlBxgBlmBz?kBUrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jez6IvhFShB/iBlmBR?qBGqBUrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF/iBSlBlmBc?mBzkBWwB
IJTSOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJTSOZL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IJTZLSO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZSLO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJTZSOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSTZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IJLSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLSZOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLZSOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOSZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOZST,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O
IJSTLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O
IJSTZLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
IJSTZOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IJSTOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
IJSTOZL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IJSLTZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IJSLTOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IJSLZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSLZOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTSLO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJZTSOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZLTSO,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLSTO,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJZLSOT,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IJZSTOL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJZSLOT,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
ISTLZJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X
ISTLZOJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
ISTLOZJ,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
ISTJLZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
ISTJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
ISTJZLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
ISTJZOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISTJOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
ISTJOZL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISTZLJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ISTZLOJ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISTZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
ISTZJOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X
ISTZOLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISTZOJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTOLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISTOLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X
ISTOJZL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISTOZLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISTOZJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
ISLTJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
ISLTZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
ISLTZOJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISLTOZJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X
ISLJTZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ISLJZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJZOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ISLZJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLZJOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLZOJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O
ISJTLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O
ISJTZLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
ISJTZOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISJTOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
ISJTOZL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISJLTZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISJLTOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ISJLZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLZOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJZLOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISZTLOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZTJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
ISZTJOL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X
ISZTOLJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZTOJL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISZLTJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISZJTOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISZJLOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ISZJOLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X
ISOTLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X
ISOTJZL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ISOTZLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ISOLJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOJZLT,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTJSLO,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTJSOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
