sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TZJOLIS,O,O,O,O,O,O,X,X
TZJOLSI,O,O,O,O,O,O,O,X
TZJOSIL,O,O,O,O,X,O,O,X
TZJOSLI,O,O,O,O,X,O,O,X
TZSILJO,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,X,X,O,O,X
TZSIJLO,O,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,X,O,O,X
TZSIOLJ,O,O,O,X,X,O,O,X
TZSIOJL,O,O,O,X,X,O,O,X
TZSLIJO,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,X,X,O,O,X
TZSLJIO,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,X,X,O,O,X
TZSLOJI,O,O,O,X,X,O,O,X
TZSJILO,O,O,O,O,O,O,O,X
TZSJIOL,O,O,O,O,X,O,O,X
TZSJLIO,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,X,O,O,X
TZSJOLI,O,O,O,O,X,O,O,X
TZSOILJ,O,O,O,X,X,O,O,X
TZSOIJL,O,O,O,X,X,O,O,X
TZSOLIJ,O,O,O,X,X,O,O,X
TZSOLJI,O,O,O,X,X,O,O,X
TZSOJIL,O,O,O,X,X,O,O,X
TZSOJLI,O,O,O,X,X,O,O,X
TZOILJS,O,O,O,O,O,O,X,X
TZOILSJ,O,O,O,X,X,O,X,X
TZOIJLS,O,O,O,O,O,O,X,X
TZOIJSL,O,O,X,O,X,O,O,X
TZOISLJ,O,O,X,X,X,O,O,X
TZOISJL,O,O,X,X,X,O,O,X
TZOLIJS,O,O,O,O,O,O,X,X
TZOLISJ,O,O,O,X,X,O,X,X
TZOLJIS,O,O,O,O,O,O,X,X
TZOLJSI,O,O,O,O,O,O,O,X
TZOLSIJ,O,O,O,X,X,O,O,X
TZOLSJI,O,O,O,X,X,O,O,X
TZOJILS,O,O,O,O,O,O,X,X
TZOJISL,O,O,X,O,X,O,O,X
TZOJLIS,O,O,O,O,O,O,X,X
TZOJLSI,O,O,O,O,O,O,O,X
TZOJSIL,O,O,O,O,X,O,O,X
TZOJSLI,O,O,O,O,X,O,O,X
TZOSILJ,O,O,O,X,X,O,O,X
TZOSIJL,O,O,O,X,X,O,O,X
TZOSLIJ,O,O,O,X,X,O,O,X
TZOSLJI,O,O,O,X,X,O,O,X
TZOSJIL,O,O,O,X,X,O,O,X
TZOSJLI,O,O,O,X,X,O,O,X
TOILJSZ,O,X,X,O,X,X,O,O
TOILJZS,O,X,X,O,X,X,X,O
TOILSJZ,O,X,X,X,X,X,O,O
TOILSZJ,O,X,X,X,X,X,O,O
TOILZJS,O,X,X,O,O,X,X,O
TOILZSJ,O,X,X,X,X,X,X,O
TOIJLSZ,O,X,X,O,X,X,O,O
TOIJLZS,O,X,X,O,X,X,X,O
TOIJSLZ,O,X,X,O,X,X,O,O
TOIJSZL,O,X,X,O,X,X,O,O
TOIJZLS,O,X,X,O,X,X,X,O
TOIJZSL,O,X,X,O,X,X,O,O
TOISLJZ,O,X,X,X,X,X,O,O
TOISLZJ,O,X,X,X,X,X,O,O
TOISJLZ,O,X,X,X,X,X,O,O
TOISJZL,O,X,X,X,X,X,O,O
TOISZLJ,O,X,X,X,X,X,O,O
TOISZJL,O,X,X,X,X,X,O,O
TOIZLJS,O,X,X,O,O,X,X,O
TOIZLSJ,O,X,X,X,X,X,X,O
TOIZJLS,O,X,X,O,O,X,X,O
TOIZJSL,O,X,X,O,X,X,O,O
TOIZSLJ,O,X,X,X,X,X,O,O
TOIZSJL,O,X,X,X,X,X,O,O
TOLIJSZ,O,X,X,O,X,X,O,O
TOLIJZS,O,X,X,O,X,X,X,O
TOLISJZ,O,X,X,X,X,X,O,O
TOLISZJ,O,X,X,X,X,X,O,O
TOLIZJS,O,X,X,O,O,X,X,O
TOLIZSJ,O,X,X,X,X,X,X,O
TOLJISZ,O,X,X,O,X,X,O,O
TOLJIZS,O,X,X,O,X,X,X,O
TOLJSIZ,O,X,X,O,X,X,O,X
TOLJSZI,O,O,X,O,X,X,O,X
TOLJZIS,O,O,X,O,X,X,X,X
TOLJZSI,O,O,X,O,X,X,O,X
TOLSIJZ,O,X,X,X,X,X,O,X
TOLSIZJ,O,X,X,X,X,X,O,X
TOLSJIZ,O,X,X,X,X,X,O,X
TOLSJZI,O,O,X,X,X,X,O,X
TOLSZIJ,O,O,X,X,X,X,O,X
TOLSZJI,O,O,X,X,X,X,O,X
TOLZIJS,O,O,X,O,O,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,O,O,X,X,X
TOLZJSI,O,O,X,O,O,X,O,X
TOLZSIJ,O,O,X,X,X,X,O,X
TOLZSJI,O,O,X,X,X,X,O,X
TOJILSZ,O,X,X,O,X,X,O,O
TOJILZS,O,X,X,O,X,X,X,O
TOJISLZ,O,X,X,O,X,X,O,O
TOJISZL,O,X,X,O,X,X,O,O
TOJIZLS,O,X,X,O,X,X,X,O
TOJIZSL,O,X,X,O,X,X,O,O
TOJLISZ,O,X,X,O,X,X,O,O
TOJLIZS,O,X,X,O,X,X,X,O
TOJLSIZ,O,X,X,O,X,X,O,X
TOJLSZI,O,O,X,O,X,X,O,X
TOJLZIS,O,O,X,O,X,X,X,X
TOJLZSI,O,O,X,O,X,X,O,X
TOJSILZ,O,X,X,O,X,X,O,X
TOJSIZL,O,X,X,O,X,X,O,X
TOJSLIZ,O,X,X,O,X,X,O,X
TOJSLZI,O,O,X,O,X,X,O,X
TOJSZIL,O,X,O,O,X,X,O,X
TOJSZLI,O,X,O,O,X,X,O,X
TOJZILS,O,X,O,O,X,X,X,X
TOJZISL,O,X,X,O,X,X,O,X
TOJZLIS,O,X,O,O,X,X,X,X
TOJZLSI,O,X,O,O,X,X,O,X
TOJZSIL,O,X,O,O,X,X,O,X
TOJZSLI,O,X,O,O,X,X,O,X
TOSILJZ,O,X,X,X,X,X,O,X
TOSILZJ,O,X,X,X,X,X,O,X
TOSIJLZ,O,X,X,X,X,X,O,X
TOSIJZL,O,X,X,X,X,X,O,X
TOSIZLJ,O,X,X,X,X,X,O,X
TOSIZJL,O,X,X,X,X,X,O,X
TOSLIJZ,O,X,X,X,X,X,O,X
TOSLIZJ,O,X,X,X,X,X,O,X
TOSLJIZ,O,X,X,X,X,X,O,X
TOSLJZI,O,O,X,X,X,X,O,X
TOSLZIJ,O,O,X,X,X,X,O,X
TOSLZJI,O,O,X,X,X,X,O,X
TOSJILZ,O,X,X,X,X,X,O,X
TOSJIZL,O,X,X,X,X,X,O,X
TOSJLIZ,O,X,X,X,X,X,O,X
TOSJLZI,O,O,X,X,X,X,O,X
TOSJZIL,O,X,O,X,X,X,O,X
TOSJZLI,O,X,O,X,X,X,O,X
TOSZILJ,O,X,O,X,X,X,O,X
TOSZIJL,O,X,O,X,X,X,O,X
TOSZLIJ,O,X,O,X,X,X,O,X
TOSZLJI,O,X,O,X,X,X,O,X
TOSZJIL,O,X,O,X,X,X,O,X
TOSZJLI,O,X,O,X,X,X,O,X
TOZILJS,O,X,O,O,O,X,X,X
TOZILSJ,O,X,O,X,X,X,X,X
TOZIJLS,O,X,O,O,O,X,X,X
TOZIJSL,O,X,X,O,X,X,O,X
TOZISLJ,O,X,X,X,X,X,O,X
TOZISJL,O,X,X,X,X,X,O,X
TOZLIJS,O,X,O,O,O,X,X,X
TOZLISJ,O,X,O,X,X,X,X,X
TOZLJIS,O,X,O,O,O,X,X,X
TOZLJSI,O,X,O,O,O,X,O,X
TOZLSIJ,O,X,O,X,X,X,O,X
TOZLSJI,O,X,O,X,X,X,O,X
TOZJILS,O,X,O,O,O,X,X,X
TOZJISL,O,X,X,O,X,X,O,X
TOZJLIS,O,X,O,O,O,X,X,X
TOZJLSI,O,X,O,O,O,X,O,X
TOZJSIL,O,X,O,O,X,X,O,X
TOZJSLI,O,X,O,O,X,X,O,X
TOZSILJ,O,X,O,X,X,X,O,X
TOZSIJL,O,X,O,X,X,X,O,X
TOZSLIJ,O,X,O,X,X,X,O,X
TOZSLJI,O,X,O,X,X,X,O,X
TOZSJIL,O,X,O,X,X,X,O,X
TOZSJLI,O,X,O,X,X,X,O,X
ITLJSZO,O,O,X,O,X,X,O,X
ITLJSOZ,O,X,X,O,X,X,O,X
ITLJZSO,O,O,X,O,O,X,X,X
ITLJZOS,X,O,X,O,O,X,X,X
ITLJOSZ,O,X,X,O,X,X,O,X
ITLJOZS,O,X,X,O,X,X,X,X
ITLSJZO,O,O,X,O,X,O,O,X
ITLSJOZ,O,X,X,O,X,X,O,X
ITLSZJO,O,O,X,O,O,O,O,X
ITLSZOJ,O,O,X,X,X,O,O,X
ITLSOJZ,O,X,X,X,X,X,O,X
ITLSOZJ,O,X,X,X,X,X,O,X
ITLZJSO,O,O,X,O,O,O,X,X
ITLZJOS,X,O,X,O,O,O,X,X
ITLZSJO,O,O,X,O,O,O,X,X
ITLZSOJ,O,O,X,X,X,O,X,X
ITLZOJS,X,O,X,O,O,O,X,X
ITLZOSJ,X,O,X,X,X,O,X,X
ITLOJSZ,O,X,X,O,X,X,O,X
ITLOJZS,O,X,X,O,X,X,X,X
ITLOSJZ,O,X,X,X,X,X,O,X
ITLOSZJ,O,X,X,X,X,X,O,X
ITLOZJS,O,X,X,O,O,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X
ITJLSZO,O,O,X,O,X,X,O,X
ITJLSOZ,O,X,X,O,X,X,O,X
ITJLZSO,O,O,X,O,O,X,X,X
ITJLZOS,X,O,X,O,O,X,X,X
ITJLOSZ,O,X,X,O,X,X,O,X
ITJLOZS,O,X,X,O,X,X,X,X
ITJSLZO,O,O,X,O,X,X,O,X
ITJSLOZ,O,X,X,O,X,X,O,X
ITJSZLO,O,X,X,O,X,X,O,X
ITJSZOL,O,X,X,O,X,X,O,X
ITJSOLZ,O,X,X,O,X,X,O,X
ITJSOZL,O,X,X,O,X,X,O,X
ITJZLSO,X,X,X,O,O,X,X,X
ITJZLOS,X,X,X,O,O,X,X,X
ITJZSLO,X,X,X,O,O,X,O,X
ITJZSOL,X,X,X,O,X,X,O,X
ITJZOLS,X,X,X,O,O,X,X,X
ITJZOSL,X,X,X,O,X,X,O,X
ITJOLSZ,O,X,X,O,X,X,O,O
ITJOLZS,O,X,X,O,X,X,X,O
ITJOSLZ,O,X,X,O,X,X,O,O
ITJOSZL,O,X,X,O,X,X,O,O
ITJOZLS,O,X,X,O,X,X,X,O
ITJOZSL,O,X,X,O,X,X,O,O
ITSLJZO,O,O,X,O,X,O,O,X
ITSLJOZ,O,X,X,O,X,X,O,X
ITSLZJO,O,O,X,O,O,O,O,X
ITSLZOJ,O,O,X,X,X,O,O,X
ITSLOJZ,O,X,X,X,X,X,O,X
ITSLOZJ,O,X,X,X,X,X,O,X
ITSJLZO,O,O,X,O,X,O,O,X
ITSJLOZ,O,X,X,O,X,X,O,X
ITSJZLO,O,X,X,O,X,O,O,X
ITSJZOL,O,X,X,O,X,O,O,X
ITSJOLZ,O,X,X,O,X,X,O,X
ITSJOZL,O,X,X,O,X,X,O,X
ITSZLJO,O,X,X,O,O,O,O,X
ITSZLOJ,O,X,X,X,X,O,O,X
ITSZJLO,O,X,X,O,O,O,O,X
ITSZJOL,O,X,X,O,X,O,O,X
ITSZOLJ,O,X,X,X,X,O,O,X
ITSZOJL,O,X,X,X,X,O,O,X
ITSOLJZ,O,X,X,X,X,X,O,X
ITSOLZJ,O,X,X,X,X,X,O,X
ITSOJLZ,O,X,X,X,X,X,O,X
ITSOJZL,O,X,X,X,X,X,O,X
ITSOZLJ,O,X,X,X,X,X,O,X
ITSOZJL,O,X,X,X,X,X,O,X
ITZLJSO,X,X,X,O,O,O,X,X
ITZLJOS,X,X,X,O,O,O,X,X
ITZLSJO,X,X,X,O,O,O,X,X
ITZLSOJ,X,X,X,X,X,O,X,X
ITZLOJS,X,X,X,O,O,O,X,X
ITZLOSJ,X,X,X,X,X,O,X,X
ITZJLSO,X,X,X,O,O,O,X,X
ITZJLOS,X,X,X,O,O,O,X,X
ITZJSLO,X,X,X,O,O,O,O,X
ITZJSOL,X,X,X,O,X,O,O,X
ITZJOLS,X,X,X,O,O,O,X,X
ITZJOSL,X,X,X,O,X,O,O,X
ITZSLJO,X,X,X,O,O,O,O,X
ITZSLOJ,X,X,X,X,X,O,O,X
ITZSJLO,X,X,X,O,O,O,O,X
ITZSJOL,X,X,X,O,X,O,O,X
ITZSOLJ,X,X,X,X,X,O,O,X
ITZSOJL,X,X,X,X,X,O,O,X
ITZOLJS,X,X,X,O,O,O,X,X
ITZOLSJ,X,X,X,X,X,O,X,X
ITZOJLS,X,X,X,O,O,O,X,X
ITZOJSL,X,X,X,O,X,O,O,X
ITZOSLJ,X,X,X,X,X,O,O,X
ITZOSJL,X,X,X,X,X,O,O,X
ITOLJSZ,O,X,X,O,X,X,O,O
ITOLJZS,O,X,X,O,X,X,X,O
ITOLSJZ,O,X,X,X,X,X,O,O
ITOLSZJ,O,X,X,X,X,X,O,O
ITOLZJS,O,X,X,O,O,X,X,O
ITOLZSJ,O,X,X,X,X,X,X,O
ITOJLSZ,O,X,X,O,X,X,O,O
ITOJLZS,O,X,X,O,X,X,X,O
ITOJSLZ,O,X,X,O,X,X,O,O
ITOJSZL,O,X,X,O,X,X,O,O
ITOJZLS,O,X,X,O,X,X,X,O
ITOJZSL,O,X,X,O,X,X,O,O
ITOSLJZ,O,X,X,X,X,X,O,O
ITOSLZJ,O,X,X,X,X,X,O,O
ITOSJLZ,O,X,X,X,X,X,O,O
ITOSJZL,O,X,X,X,X,X,O,O
ITOSZLJ,O,X,X,X,X,X,O,O
ITOSZJL,O,X,X,X,X,X,O,O
ITOZLJS,O,X,X,O,O,X,X,O
ITOZLSJ,O,X,X,X,X,X,X,O
ITOZJLS,O,X,X,O,O,X,X,O
ITOZJSL,O,X,X,O,X,X,O,O
ITOZSLJ,O,X,X,X,X,X,O,O
ITOZSJL,O,X,X,X,X,X,O,O
ILTJSZO,O,O,X,O,X,X,O,X
ILTJSOZ,O,X,X,O,X,X,O,X
ILTJZSO,O,O,X,O,O,X,X,X
ILTJZOS,X,O,X,O,O,X,X,X
ILTJOSZ,O,X,X,O,X,X,O,X
ILTJOZS,O,X,X,O,X,X,X,X
ILTSJZO,O,O,X,O,X,O,O,X
ILTSJOZ,O,X,X,O,X,X,O,X
ILTSZJO,O,O,X,O,O,O,O,X
ILTSZOJ,O,O,X,X,X,O,O,X
ILTSOJZ,O,X,X,X,X,X,O,X
ILTSOZJ,O,X,X,X,X,X,O,X
ILTZJSO,O,O,X,O,O,O,X,X
ILTZJOS,X,O,X,O,O,O,X,X
ILTZSJO,O,O,X,O,O,O,X,X
ILTZSOJ,O,O,X,X,X,O,X,X
ILTZOJS,X,O,X,O,O,O,X,X
ILTZOSJ,X,O,X,X,X,O,X,X
ILTOJSZ,O,X,X,O,X,X,O,X
ILTOJZS,O,X,X,O,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,O,X
ILTOSZJ,O,X,X,X,X,X,O,X
ILTOZJS,O,X,X,O,O,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X
ILJTSZO,O,O,X,O,X,X,O,X
ILJTSOZ,O,X,X,O,X,X,O,X
ILJTZSO,O,O,X,O,O,X,X,X
ILJTZOS,X,O,X,O,O,X,X,X
ILJTOSZ,O,X,X,O,X,X,O,X
ILJTOZS,O,X,X,O,X,X,X,X
ILJSTZO,O,O,X,X,X,O,O,X
ILJSTOZ,O,X,X,X,X,X,O,X
ILJSZTO,O,O,X,X,X,O,O,X
ILJSZOT,O,O,X,X,X,O,X,X
ILJSOTZ,X,X,X,X,X,X,O,X
ILJSOZT,O,O,X,X,X,O,X,X
ILJZTSO,X,X,X,O,O,O,X,X
ILJZTOS,X,X,X,O,O,O,X,X
ILJZSTO,O,O,X,X,O,O,X,X
ILJZSOT,O,O,X,X,O,O,X,X
ILJZOTS,X,X,X,X,O,O,X,X
ILJZOST,X,O,X,X,O,O,X,X
ILJOTSZ,X,X,X,X,X,X,O,O
ILJOTZS,X,X,X,X,X,X,X,O
ILJOSTZ,X,X,X,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,X,X,O
ILJOZST,X,X,X,X,X,X,X,O
ILSTJZO,O,O,X,O,X,O,O,X
ILSTJOZ,O,X,X,O,X,X,O,X
ILSTZJO,O,O,X,O,O,O,O,X
ILSTZOJ,O,O,X,X,X,O,O,X
ILSTOJZ,O,X,X,X,X,X,O,X
ILSTOZJ,O,X,X,X,X,X,O,X
ILSJTZO,O,O,X,X,X,O,O,X
ILSJTOZ,O,X,X,X,X,X,O,X
ILSJZTO,O,O,X,X,X,O,O,X
ILSJZOT,O,O,X,X,X,O,X,X
ILSJOTZ,X,X,X,X,X,X,O,X
ILSJOZT,O,O,X,X,X,O,X,X
ILSZTJO,O,O,X,O,O,O,O,X
ILSZTOJ,O,O,X,X,X,O,O,X
ILSZJTO,O,O,X,X,O,O,O,X
ILSZJOT,O,O,X,X,O,O,X,X
ILSZOTJ,X,O,X,X,X,O,X,X
ILSZOJT,O,O,X,X,X,O,X,X
ILSOTJZ,X,X,X,X,X,X,O,X
ILSOTZJ,X,X,X,X,X,X,O,X
ILSOJTZ,X,X,X,X,X,X,O,X
ILSOJZT,O,O,X,X,X,O,X,X
ILSOZTJ,X,O,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,O,X,X
ILZTJSO,X,X,X,O,O,O,X,X
ILZTJOS,X,X,X,O,O,O,X,X
ILZTSJO,X,X,X,O,O,O,X,X
ILZTSOJ,X,X,X,X,X,O,X,X
ILZTOJS,X,X,X,O,O,O,X,X
ILZTOSJ,X,X,X,X,X,O,X,X
ILZJTSO,X,X,X,O,O,O,X,X
ILZJTOS,X,X,X,O,O,O,X,X
ILZJSTO,O,O,X,X,O,O,X,X
ILZJSOT,O,O,X,X,O,O,X,X
ILZJOTS,X,X,X,X,O,O,X,X
ILZJOST,X,O,X,X,O,O,X,X
ILZSTJO,O,O,X,O,O,O,X,X
ILZSTOJ,X,O,X,X,X,O,X,X
ILZSJTO,O,O,X,X,O,O,X,X
ILZSJOT,O,O,X,X,O,O,X,X
ILZSOTJ,X,O,X,X,X,O,X,X
ILZSOJT,O,O,X,X,X,O,X,X
ILZOTJS,X,X,X,O,O,O,X,X
ILZOTSJ,X,X,X,X,X,O,X,X
ILZOJTS,X,X,X,X,O,O,X,X
ILZOJST,X,O,X,X,O,O,X,X
ILZOSTJ,X,O,X,X,X,O,X,X
ILZOSJT,X,O,X,X,X,O,X,X
ILOTJSZ,X,X,X,O,X,X,O,O
ILOTJZS,X,X,X,O,X,X,X,O
ILOTSJZ,X,X,X,X,X,X,O,O
ILOTSZJ,X,X,X,X,X,X,O,O
ILOTZJS,X,X,X,O,O,X,X,O
ILOTZSJ,X,X,X,X,X,X,X,O
ILOJTSZ,X,X,X,X,X,X,O,O
ILOJTZS,X,X,X,X,X,X,X,O
ILOJSTZ,X,X,X,X,X,X,X,O
ILOJSZT,O,X,X,X,X,X,X,O
ILOJZTS,X,X,X,X,X,X,X,O
ILOJZST,X,X,X,X,X,X,X,O
ILOSTJZ,X,X,X,X,X,X,X,O
ILOSTZJ,X,X,X,X,X,X,X,O
ILOSJTZ,X,X,X,X,X,X,X,O
ILOSJZT,O,X,X,X,X,O,X,O
ILOSZTJ,X,X,X,X,X,O,X,O
ILOSZJT,O,X,X,X,X,O,X,O
ILOZTJS,X,X,X,O,O,O,X,O
ILOZTSJ,X,X,X,X,X,O,X,O
ILOZJTS,X,X,X,X,O,O,X,O
ILOZJST,X,X,X,X,O,O,X,O
ILOZSTJ,X,X,X,X,X,O,X,O
ILOZSJT,X,X,X,X,X,O,X,O
IJTLSZO,O,O,X,O,X,X,O,X
IJTLSOZ,O,X,X,O,X,X,O,X
IJTLZSO,O,O,X,O,O,X,X,X
IJTLZOS,X,O,X,O,O,X,X,X
IJTLOSZ,O,X,X,O,X,X,O,X
IJTLOZS,O,X,X,O,X,X,X,X
IJTSLZO,O,O,X,O,X,X,O,X
IJTSLOZ,O,X,X,O,X,X,O,X
IJTSZLO,O,X,X,O,X,X,O,X
IJTSZOL,O,X,X,O,X,X,O,X
IJTSOLZ,O,X,X,O,X,X,O,X
IJTSOZL,O,X,X,O,X,X,O,X
IJTZLSO,X,X,X,O,O,X,X,X
IJTZLOS,X,X,X,O,O,X,X,X
IJTZSLO,X,X,X,O,O,X,O,X
IJTZSOL,X,X,X,O,X,X,O,X
IJTZOLS,X,X,X,O,O,X,X,X
IJTZOSL,X,X,X,O,X,X,O,X
IJTOLSZ,O,X,X,O,X,X,O,O
IJTOLZS,O,X,X,O,X,X,X,O
IJTOSLZ,O,X,X,O,X,X,O,O
IJTOSZL,O,X,X,O,X,X,O,O
IJTOZLS,O,X,X,O,X,X,X,O
IJTOZSL,O,X,X,O,X,X,O,O
IJLTSZO,O,O,X,O,X,X,O,X
IJLTSOZ,O,X,X,O,X,X,O,X
IJLTZSO,O,O,X,O,O,X,X,X
IJLTZOS,X,O,X,O,O,X,X,X
IJLTOSZ,O,X,X,O,X,X,O,X
IJLTOZS,O,X,X,O,X,X,X,X
IJLSTZO,O,O,X,X,X,O,O,X
IJLSTOZ,O,X,X,X,X,X,O,X
IJLSZTO,O,O,X,X,X,O,O,X
IJLSZOT,O,O,X,X,X,O,X,X
IJLSOTZ,X,X,X,X,X,X,O,X
IJLSOZT,O,O,X,X,X,O,X,X
IJLZTSO,X,X,X,O,O,O,X,X
IJLZTOS,X,X,X,O,O,O,X,X
IJLZSTO,O,O,X,X,O,O,X,X
IJLZSOT,O,O,X,X,O,O,X,X
IJLZOTS,X,X,X,X,O,O,X,X
IJLZOST,X,O,X,X,O,O,X,X
IJLOTSZ,X,X,X,X,X,X,O,O
IJLOTZS,X,X,X,X,X,X,X,O
IJLOSTZ,X,X,X,X,X,X,X,O
IJLOSZT,O,X,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,X,X,O
IJLOZST,X,X,X,X,X,X,X,O
IJSTLZO,O,O,X,X,X,O,O,X
IJSTLOZ,O,X,X,X,X,X,O,X
IJSTZLO,O,O,X,X,X,O,O,X
IJSTZOL,O,O,X,X,X,O,O,X
IJSTOLZ,O,X,X,X,X,X,O,X
IJSTOZL,O,X,X,X,X,X,O,X
IJSLTZO,O,O,X,X,X,O,O,X
IJSLTOZ,O,X,X,X,X,X,O,X
IJSLZTO,O,O,X,X,X,O,O,X
IJSLZOT,O,O,X,X,X,O,X,X
IJSLOTZ,X,X,X,X,X,X,O,X
IJSLOZT,O,O,X,X,X,O,X,X
IJSZTLO,O,O,O,X,X,O,O,X
IJSZTOL,O,O,O,X,X,O,O,X
IJSZLTO,O,O,O,X,X,O,O,X
IJSZLOT,O,O,O,X,X,O,X,X
IJSZOTL,O,O,O,X,X,O,X,X
IJSZOLT,O,O,O,X,X,O,X,X
IJSOTLZ,X,X,X,X,X,X,O,O
IJSOTZL,X,X,X,X,X,X,O,O
IJSOLTZ,X,X,X,X,X,X,O,O
IJSOLZT,X,O,X,X,X,O,X,O
IJSOZTL,X,O,O,X,X,O,X,O
IJSOZLT,X,O,O,X,X,O,X,O
IJZTLSO,X,O,O,O,O,O,X,X
IJZTLOS,X,O,O,O,O,O,X,X
IJZTSLO,X,O,O,O,O,O,O,X
IJZTSOL,X,O,O,O,X,O,O,X
IJZTOLS,X,O,O,O,O,O,X,X
IJZTOSL,X,O,X,O,X,O,O,X
IJZLTSO,X,X,O,O,O,O,X,X
IJZLTOS,X,X,O,O,O,O,X,X
IJZLSTO,X,O,O,X,O,O,X,X
IJZLSOT,X,O,O,X,O,O,X,X
IJZLOTS,X,X,O,X,O,O,X,X
IJZLOST,X,O,O,X,O,O,X,X
IJZSTLO,X,O,O,X,X,O,O,X
IJZSTOL,X,O,O,X,X,O,O,X
IJZSLTO,X,O,O,X,O,O,O,X
IJZSLOT,X,O,O,X,O,O,X,X
IJZSOTL,X,O,O,X,X,O,X,X
IJZSOLT,X,O,O,X,X,O,X,X
IJZOTLS,X,O,O,X,X,O,X,O
IJZOTSL,X,O,X,X,X,O,O,O
IJZOLTS,X,X,O,X,O,O,X,O
IJZOLST,X,O,O,X,O,O,X,O
IJZOSTL,X,O,O,X,X,O,X,O
IJZOSLT,X,O,O,X,X,O,X,O
IJOTLSZ,X,X,X,X,X,X,O,O
IJOTLZS,X,X,X,X,X,X,X,O
IJOTSLZ,X,X,X,X,X,X,O,O
IJOTSZL,X,X,X,X,X,X,O,O
IJOTZLS,X,X,X,X,X,X,X,O
IJOTZSL,X,X,X,X,X,X,O,O
IJOLTSZ,X,X,X,X,X,X,O,O
IJOLTZS,X,X,X,X,X,X,X,O
IJOLSTZ,X,X,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,X,X,O
IJOLZST,X,X,X,X,X,X,X,O
IJOSTLZ,X,X,X,X,X,X,O,O
IJOSTZL,X,X,X,X,X,X,O,O
IJOSLTZ,X,X,X,X,X,X,O,O
IJOSLZT,X,X,X,X,X,X,X,O
IJOSZTL,X,X,O,X,X,X,X,O
IJOSZLT,X,X,O,X,X,X,X,O
IJOZTLS,X,X,O,X,X,X,X,O
IJOZTSL,X,X,X,X,X,X,O,O
IJOZLTS,X,X,O,X,X,X,X,O
IJOZLST,X,X,O,X,X,X,X,O
IJOZSTL,X,X,O,X,X,X,X,O
IJOZSLT,X,X,O,X,X,X,X,O
ISTLJZO,O,O,X,O,X,O,O,X
ISTLJOZ,O,X,X,O,X,X,O,X
ISTLZJO,O,O,X,O,O,O,O,X
ISTLZOJ,O,O,X,X,X,O,O,X
ISTLOJZ,O,X,X,X,X,X,O,X
ISTLOZJ,O,X,X,X,X,X,O,X
ISTJLZO,O,O,X,O,X,O,O,X
ISTJLOZ,O,X,X,O,X,X,O,X
ISTJZLO,O,O,X,O,X,O,O,X
ISTJZOL,O,O,X,O,X,O,O,X
ISTJOLZ,O,X,X,O,X,X,O,X
ISTJOZL,O,X,X,O,X,X,O,X
ISTZLJO,O,O,X,O,O,O,O,X
ISTZLOJ,O,O,X,X,X,O,O,X
ISTZJLO,O,O,X,O,O,O,O,X
ISTZJOL,O,O,X,O,X,O,O,X
ISTZOLJ,O,O,X,X,X,O,O,X
ISTZOJL,O,O,X,X,X,O,O,X
ISTOLJZ,O,X,X,X,X,X,O,X
ISTOLZJ,O,X,X,X,X,X,O,X
ISTOJLZ,O,X,X,X,X,X,O,X
ISTOJZL,O,X,X,X,X,X,O,X
ISTOZLJ,O,X,X,X,X,X,O,X
ISTOZJL,O,X,X,X,X,X,O,X
ISLTJZO,O,O,X,O,X,O,O,X
ISLTJOZ,O,X,X,O,X,X,O,X
ISLTZJO,O,O,X,O,O,O,O,X
ISLTZOJ,O,O,X,X,X,O,O,X
ISLTOJZ,O,X,X,X,X,X,O,X
