sequence,v115@FhB8FeD8CeH8AeH8Jex6IvhFXcB8hBCeBTfB2lBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFxbB8hBCeBmgB/pBFqB,v115@FhB8FeD8CeH8AeH8Je2/IvhFRbBzcBCeBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeK/IvhFzaBWiBxdB3gBUhBlpB,v115@FhB8FeD8CeH8AeH8Jey/IvhFWiBxdB3gBTfBUhBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFibBWiBxdBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeZ/IvhFufB3bBzcBCeBVmB8pB,v115@FhB8FeD8CeH8AeH8Jel6IvhFmcBCeBThBxkBclB/pB
TSIOZLJ,X,O,X,X,X,O,O,X
TSIOZJL,X,O,X,X,X,O,O,X
TSLIJZO,X,O,O,O,O,O,X,X
TSLIJOZ,X,O,O,O,O,O,X,X
TSLIZJO,X,O,O,O,O,O,O,X
TSLIZOJ,X,O,O,O,X,O,O,X
TSLIOJZ,X,O,O,O,O,O,X,X
TSLIOZJ,X,O,X,O,X,O,O,X
TSLJIZO,O,O,O,O,O,O,X,X
TSLJIOZ,X,O,O,O,O,O,X,X
TSLJZIO,O,O,O,O,O,O,O,X
TSLJZOI,O,O,O,O,O,O,O,X
TSLJOIZ,O,O,O,O,O,O,X,X
TSLJOZI,O,O,O,O,O,O,O,X
TSLZIJO,O,O,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,X,O,O,X
TSLZJIO,O,O,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,X,O,O,X
TSLZOJI,O,O,O,O,X,O,O,X
TSLOIJZ,O,O,O,O,O,O,X,X
TSLOIZJ,O,O,X,O,X,O,O,X
TSLOJIZ,O,O,O,O,O,O,X,X
TSLOJZI,O,O,O,O,O,O,O,X
TSLOZIJ,O,O,O,O,X,O,O,X
TSLOZJI,O,O,O,O,X,O,O,X
TSJILZO,O,O,O,O,O,O,X,X
TSJILOZ,X,O,O,O,O,O,X,X
TSJIZLO,O,O,O,O,O,O,X,X
TSJIZOL,O,O,O,X,X,O,X,X
TSJIOLZ,X,O,O,O,O,O,X,X
TSJIOZL,X,O,O,X,X,O,X,X
TSJLIZO,O,O,O,O,O,O,X,X
TSJLIOZ,X,O,O,O,O,O,X,X
TSJLZIO,O,O,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,O,O,X
TSJLOIZ,O,O,O,O,O,O,X,X
TSJLOZI,O,O,O,O,O,O,O,X
TSJZILO,O,O,O,O,O,O,O,X
TSJZIOL,O,O,O,X,X,O,O,X
TSJZLIO,O,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,O,X
TSJZOIL,O,O,O,X,X,O,O,X
TSJZOLI,O,O,O,X,X,O,O,X
TSJOILZ,O,O,O,O,O,O,X,X
TSJOIZL,O,O,O,X,X,O,X,X
TSJOLIZ,O,O,O,O,O,O,X,X
TSJOLZI,O,O,O,O,O,O,O,X
TSJOZIL,O,O,O,X,X,O,O,X
TSJOZLI,O,O,O,X,X,O,O,X
TSZILJO,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,X,O,O,X
TSZIJLO,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,X,X,O,O,X
TSZIOLJ,O,O,O,X,X,O,O,X
TSZIOJL,O,O,O,X,X,O,O,X
TSZLIJO,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,X,O,O,X
TSZLJIO,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,X,O,O,X
TSZLOJI,O,O,O,O,X,O,O,X
TSZJILO,O,O,O,O,O,O,O,X
TSZJIOL,O,O,O,X,X,O,O,X
TSZJLIO,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,X,X,O,O,X
TSZJOLI,O,O,O,X,X,O,O,X
TSZOILJ,O,O,O,X,X,O,O,X
TSZOIJL,O,O,O,X,X,O,O,X
TSZOLIJ,O,O,O,X,X,O,O,X
TSZOLJI,O,O,O,X,X,O,O,X
TSZOJIL,O,O,O,X,X,O,O,X
TSZOJLI,O,O,O,X,X,O,O,X
TSOILJZ,O,O,O,O,O,O,X,X
TSOILZJ,O,O,X,O,X,O,O,X
TSOIJLZ,O,O,O,O,O,O,X,X
TSOIJZL,O,O,O,X,X,O,X,X
TSOIZLJ,O,O,X,X,X,O,O,X
TSOIZJL,O,O,X,X,X,O,O,X
TSOLIJZ,O,O,O,O,O,O,X,X
TSOLIZJ,O,O,X,O,X,O,O,X
TSOLJIZ,O,O,O,O,O,O,X,X
TSOLJZI,O,O,O,O,O,O,O,X
TSOLZIJ,O,O,O,O,X,O,O,X
TSOLZJI,O,O,O,O,X,O,O,X
TSOJILZ,O,O,O,O,O,O,X,X
TSOJIZL,O,O,O,X,X,O,X,X
TSOJLIZ,O,O,O,O,O,O,X,X
TSOJLZI,O,O,O,O,O,O,O,X
TSOJZIL,O,O,O,X,X,O,O,X
TSOJZLI,O,O,O,X,X,O,O,X
TSOZILJ,O,O,O,X,X,O,O,X
TSOZIJL,O,O,O,X,X,O,O,X
TSOZLIJ,O,O,O,X,X,O,O,X
TSOZLJI,O,O,O,X,X,O,O,X
TSOZJIL,O,O,O,X,X,O,O,X
TSOZJLI,O,O,O,X,X,O,O,X
TZILJSO,O,O,X,O,X,O,O,X
TZILJOS,O,X,X,O,X,X,O,X
TZILSJO,O,O,X,O,X,O,O,X
TZILSOJ,O,O,X,O,X,O,O,X
TZILOJS,O,X,X,O,X,X,O,X
TZILOSJ,O,X,X,O,X,X,O,X
TZIJLSO,O,O,X,O,X,O,O,X
TZIJLOS,O,X,X,O,X,X,O,X
TZIJSLO,O,O,X,O,O,O,O,X
TZIJSOL,O,O,X,X,X,O,O,X
TZIJOLS,O,X,X,X,X,X,O,X
TZIJOSL,O,X,X,X,X,X,O,X
TZISLJO,O,O,X,O,O,O,O,X
TZISLOJ,O,O,X,O,X,O,O,X
TZISJLO,O,O,X,O,O,O,O,X
TZISJOL,O,O,X,X,X,O,O,X
TZISOLJ,O,O,X,X,X,O,O,X
TZISOJL,O,O,X,X,X,O,O,X
TZIOLJS,O,X,X,X,X,X,O,X
TZIOLSJ,O,X,X,X,X,X,O,X
TZIOJLS,O,X,X,X,X,X,O,X
TZIOJSL,O,X,X,X,X,X,O,X
TZIOSLJ,O,X,X,X,X,X,O,X
TZIOSJL,O,X,X,X,X,X,O,X
TZLIJSO,O,O,X,O,X,O,O,X
TZLIJOS,O,X,X,O,X,X,O,X
TZLISJO,O,O,X,O,X,O,O,X
TZLISOJ,O,O,X,O,X,O,O,X
TZLIOJS,O,X,X,O,X,X,O,X
TZLIOSJ,O,X,X,O,X,X,O,X
TZLJISO,O,O,X,O,X,O,O,X
TZLJIOS,O,X,X,O,X,X,O,X
TZLJSIO,O,O,X,O,X,O,O,X
TZLJSOI,O,O,X,O,X,O,O,X
TZLJOIS,O,X,X,O,X,X,O,X
TZLJOSI,O,O,X,O,X,X,O,X
TZLSIJO,O,O,O,O,X,O,O,X
TZLSIOJ,O,O,O,O,X,O,O,X
TZLSJIO,O,O,O,O,X,O,O,X
TZLSJOI,O,O,O,O,X,O,O,X
