sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
TSLZIJO,O,O,X,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,X,O,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,O,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,O,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,O,X,X,X,X,X,O,X,X
TSLOJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X,O,X,X,X
TSLOZIJ,O,O,X,O,X,X,X,X,O,O,X,X
TSLOZJI,O,O,X,O,X,X,X,X,O,O,X,X
TSJILZO,O,X,O,X,X,X,O,X,X,X,X,X
TSJILOZ,O,X,O,O,X,X,O,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,O,O,X,X,X,X,X,X,X,X
TSJIOZL,X,X,O,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,O,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X,O,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,X,X,X,X,X
TSJLOZI,O,X,O,X,X,X,X,O,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,O,X,X,X,X
TSJZOIL,O,O,O,X,X,X,X,O,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,O,X,X,X,X
TSJOILZ,X,X,O,X,X,X,O,X,X,X,X,X
TSJOIZL,X,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,X,X,O,X,X,X,X
TSJOZIL,O,O,O,X,X,X,X,O,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,O,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,X,O,X,O,X
TSZIJLO,O,O,O,X,X,X,X,O,X,X,X,X
TSZIJOL,O,O,O,X,O,X,X,X,X,X,O,X
TSZIOLJ,O,O,X,O,O,X,X,X,O,X,O,X
TSZIOJL,O,O,O,O,O,X,X,O,X,X,O,X
TSZLIJO,O,O,X,X,X,X,X,X,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,X,X,O,X,O,X
TSZLJIO,O,O,X,X,X,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X,O,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X,O,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X,O,X,X,X
TSZJILO,O,O,O,X,X,X,X,O,X,X,X,X
TSZJIOL,O,O,O,X,O,X,X,X,X,X,O,X
TSZJLIO,O,O,O,X,X,X,X,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,O,X,X,X,X
TSZJOIL,O,O,O,X,O,X,X,O,X,X,X,X
TSZJOLI,O,O,O,X,O,X,X,O,X,X,X,X
TSZOILJ,O,O,X,X,O,X,X,X,O,X,O,X
TSZOIJL,O,O,O,X,O,X,X,O,X,X,O,X
TSZOLIJ,O,O,X,X,O,X,X,X,O,X,X,X
TSZOLJI,O,O,X,X,O,X,X,X,O,X,X,X
TSZOJIL,O,O,O,X,O,X,X,O,X,X,X,X
TSZOJLI,O,O,O,X,O,X,X,O,X,X,X,X
TSOILJZ,X,O,X,O,X,X,O,X,X,X,X,X
TSOILZJ,X,O,X,O,O,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,O,X,X,O,X,X,X,X,X
TSOIJZL,X,O,X,O,X,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,O,O,X,X,X,X,X,X,X
TSOIZJL,X,O,X,O,O,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X,O,X,X
TSOLJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,O,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,O,O,X,X
TSOLZJI,O,O,X,O,O,X,X,X,O,O,X,X
TSOJILZ,X,X,O,O,X,X,O,X,X,X,X,X
TSOJIZL,X,O,O,O,X,X,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,O,X,X,X,X
TSOJZIL,O,O,O,O,X,X,X,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,O,X,X,X,X
TSOZILJ,O,O,X,O,O,X,X,X,O,X,X,X
TSOZIJL,O,O,O,O,O,X,X,O,X,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X,O,O,X,X
TSOZLJI,O,O,X,O,O,X,X,X,O,O,X,X
TSOZJIL,O,O,O,O,O,X,X,O,X,X,X,X
TSOZJLI,O,O,O,O,O,X,X,O,X,X,X,X
TZILJSO,O,O,O,X,X,O,O,O,X,X,X,X
TZILJOS,X,O,X,X,O,O,X,O,O,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X,O,X,X,X
TZILOJS,O,O,O,X,O,X,X,O,O,X,X,X
TZILOSJ,O,X,X,X,O,X,X,X,O,X,X,X
TZIJLSO,O,O,O,X,X,O,O,O,X,X,X,X
TZIJLOS,X,O,X,X,O,X,X,O,O,X,X,X
TZIJSLO,O,O,O,X,X,O,X,O,X,X,X,X
TZIJSOL,O,O,O,X,O,O,X,X,X,X,X,X
TZIJOLS,O,O,O,X,O,X,X,O,O,X,X,X
TZIJOSL,X,X,O,X,O,O,X,O,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X,O,X,X,X
TZISJLO,O,O,O,X,X,X,X,O,X,X,X,X
TZISJOL,O,O,O,X,O,X,X,X,X,X,X,X
TZISOLJ,O,O,X,X,O,X,X,X,O,X,X,X
TZISOJL,O,O,O,X,O,X,X,O,X,X,X,X
TZIOLJS,O,O,O,X,O,O,X,O,O,X,X,X
TZIOLSJ,O,O,X,X,O,X,X,X,O,X,X,X
TZIOJLS,O,O,O,X,O,O,X,O,O,X,X,X
TZIOJSL,X,X,O,X,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,X,X,O,X,X,X,O,X,X,X
TZIOSJL,O,O,O,X,O,X,X,O,X,X,X,X
TZLIJSO,O,O,O,X,X,O,X,O,X,X,X,O
TZLIJOS,X,O,X,X,O,O,X,O,O,X,X,X
TZLISJO,O,O,X,X,X,X,X,X,X,X,X,O
TZLISOJ,O,O,X,O,X,X,X,X,O,X,X,O
TZLIOJS,O,O,O,O,O,X,X,O,O,X,X,X
TZLIOSJ,O,X,X,O,O,X,X,X,O,X,X,O
TZLJISO,O,O,O,X,X,O,X,O,X,X,X,O
TZLJIOS,X,O,X,X,O,O,X,O,O,X,X,X
TZLJSIO,O,O,O,X,X,O,X,O,X,X,X,O
TZLJSOI,O,O,O,X,X,O,X,O,O,X,X,X
TZLJOIS,O,O,O,X,O,O,X,O,O,X,X,X
TZLJOSI,O,O,O,X,O,O,X,O,O,X,X,X
TZLSIJO,O,O,X,X,X,X,X,X,X,X,X,O
TZLSIOJ,O,O,X,O,X,X,X,X,O,X,X,O
TZLSJIO,O,O,X,X,X,O,X,X,X,X,X,O
TZLSJOI,O,O,X,X,X,O,X,X,O,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X,O,X,X,O
TZLSOJI,O,O,X,X,X,X,X,X,O,X,X,X
TZLOIJS,O,O,O,O,O,O,X,O,O,X,X,X
TZLOISJ,O,O,X,O,O,X,X,X,O,X,X,O
TZLOJIS,O,O,O,O,O,O,X,O,O,X,X,X
TZLOJSI,O,O,O,O,O,O,X,O,O,X,X,X
TZLOSIJ,O,O,X,O,O,X,X,X,O,X,X,O
TZLOSJI,O,O,X,O,O,O,X,X,O,X,X,X
TZJILSO,O,O,O,X,X,O,O,O,X,X,X,X
TZJILOS,X,O,X,X,O,X,X,O,O,X,X,X
TZJISLO,O,O,O,X,X,O,X,O,X,X,X,X
TZJISOL,O,O,O,X,O,O,X,X,X,X,X,X
TZJIOLS,O,O,O,X,O,X,X,O,O,X,X,X
TZJIOSL,X,X,O,X,O,O,X,O,X,X,X,X
TZJLISO,O,O,O,X,X,O,X,O,X,X,X,X
TZJLIOS,X,O,X,X,O,O,X,O,O,X,X,X
TZJLSIO,O,O,O,X,X,O,X,O,X,X,X,X
TZJLSOI,O,O,O,X,X,O,X,O,O,X,X,X
TZJLOIS,O,O,O,X,O,O,X,O,O,X,X,X
TZJLOSI,O,O,O,X,O,O,X,O,O,X,X,X
TZJSILO,O,O,O,X,X,O,X,O,X,X,X,X
TZJSIOL,O,O,O,X,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,O,X,O,X,X,X,X
TZJSLOI,O,O,O,X,X,O,X,O,X,X,X,X
TZJSOIL,O,O,O,X,O,O,X,O,X,X,X,X
TZJSOLI,O,O,O,X,O,O,X,O,X,X,X,X
TZJOILS,O,O,O,X,O,O,O,O,O,X,X,X
TZJOISL,X,X,O,X,O,O,X,O,X,X,X,X
TZJOLIS,O,O,O,X,O,O,X,O,O,X,X,X
TZJOLSI,O,O,O,X,O,O,X,O,O,X,X,X
TZJOSIL,X,O,O,X,O,O,X,O,X,X,X,X
TZJOSLI,X,O,O,X,O,O,X,O,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X,X,X,X
TZSILOJ,O,O,X,O,X,X,X,X,O,X,X,X
TZSIJLO,O,O,O,X,X,X,X,O,X,X,X,X
TZSIJOL,O,O,O,X,O,X,X,X,X,X,X,X
TZSIOLJ,O,O,X,O,O,X,X,X,O,X,X,X
TZSIOJL,O,O,O,O,O,X,X,O,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X,X,X,X,X
TZSLIOJ,O,O,X,O,X,X,X,X,O,X,X,X
TZSLJIO,O,O,X,X,X,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,X,O,X,X,O,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X,O,X,X,X
TZSLOJI,O,O,X,X,X,X,X,X,O,X,X,X
TZSJILO,O,O,O,X,X,O,X,O,X,X,X,X
TZSJIOL,O,O,O,X,O,O,X,X,X,X,X,X
TZSJLIO,O,O,O,X,X,O,X,O,X,X,X,X
TZSJLOI,O,O,O,X,X,O,X,O,X,X,X,X
TZSJOIL,O,O,O,X,O,O,X,O,X,X,X,X
TZSJOLI,O,O,O,X,O,O,X,O,X,X,X,X
TZSOILJ,O,O,X,X,O,X,X,X,O,X,X,X
TZSOIJL,O,O,O,X,O,X,X,O,X,X,X,X
TZSOLIJ,O,O,X,X,O,X,X,X,O,X,X,X
TZSOLJI,O,O,X,X,O,O,X,X,O,X,X,X
TZSOJIL,O,O,O,X,O,O,X,O,X,X,X,X
TZSOJLI,O,O,O,X,O,O,X,O,X,X,X,X
TZOILJS,O,O,O,X,O,O,O,O,O,X,X,X
TZOILSJ,O,O,X,X,O,X,X,X,O,X,X,X
TZOIJLS,O,O,O,X,O,O,O,O,O,X,X,X
TZOIJSL,X,X,O,X,O,O,X,O,X,X,X,X
TZOISLJ,O,O,X,X,O,X,X,X,O,X,X,X
TZOISJL,O,O,O,X,O,X,X,O,X,X,X,X
TZOLIJS,O,O,O,O,O,O,X,O,O,X,X,X
TZOLISJ,O,O,X,O,O,X,X,X,O,X,X,X
TZOLJIS,O,O,O,O,O,O,X,O,O,X,X,X
TZOLJSI,O,O,O,O,O,O,X,O,O,X,X,X
TZOLSIJ,O,O,X,O,O,X,X,X,O,X,X,X
TZOLSJI,O,O,X,O,O,O,X,X,O,X,X,X
TZOJILS,O,O,O,X,O,O,O,O,O,X,X,X
TZOJISL,X,X,O,X,O,O,X,O,X,X,X,X
TZOJLIS,O,O,O,O,O,O,X,O,O,X,X,X
TZOJLSI,O,O,O,O,O,O,X,O,O,X,X,X
TZOJSIL,X,O,O,O,O,O,X,O,X,X,X,X
TZOJSLI,X,O,O,O,O,O,X,O,X,X,X,X
TZOSILJ,O,O,X,O,O,X,X,X,O,X,X,X
TZOSIJL,O,O,O,O,O,X,X,O,X,X,X,X
TZOSLIJ,O,O,X,O,O,X,X,X,O,X,X,X
TZOSLJI,O,O,X,O,O,O,X,X,O,X,X,X
TZOSJIL,O,O,O,O,O,O,X,O,X,X,X,X
TZOSJLI,O,O,O,O,O,O,X,O,X,X,X,X
TOILJSZ,X,O,X,O,X,X,O,X,X,X,X,X
TOILJZS,X,O,X,O,O,X,O,X,O,X,X,X
TOILSJZ,O,O,X,O,X,X,O,X,X,X,X,X
TOILSZJ,O,O,X,O,O,X,X,X,X,X,X,X
TOILZJS,O,O,X,O,O,X,O,X,O,X,X,X
TOILZSJ,O,O,X,O,O,X,X,X,O,X,X,X
TOIJLSZ,X,X,X,O,X,X,O,X,X,X,X,X
TOIJLZS,X,X,X,O,O,X,O,O,X,X,X,X
TOIJSLZ,X,X,O,O,X,X,O,X,X,X,X,X
TOIJSZL,X,X,O,O,X,X,X,X,X,X,X,X
TOIJZLS,X,X,O,X,O,X,O,O,X,X,X,X
TOIJZSL,X,X,O,X,O,X,X,O,X,X,X,X
TOISLJZ,X,O,X,O,X,X,O,X,X,X,X,X
TOISLZJ,X,O,X,O,O,X,X,X,X,X,X,X
TOISJLZ,X,X,X,O,X,X,O,X,X,X,X,X
TOISJZL,X,O,X,O,X,X,X,X,X,X,X,X
TOISZLJ,X,O,X,O,O,X,X,X,X,X,X,X
TOISZJL,X,O,X,O,O,X,X,X,X,X,X,X
TOIZLJS,O,O,O,X,O,X,O,O,O,X,X,X
TOIZLSJ,O,O,X,X,O,X,X,X,O,X,X,X
TOIZJLS,O,O,O,X,O,X,O,O,O,X,X,X
TOIZJSL,X,X,O,X,O,X,X,O,X,X,X,X
TOIZSLJ,O,O,X,X,O,X,X,X,O,X,X,X
TOIZSJL,X,O,O,X,O,X,X,O,X,X,X,X
TOLIJSZ,X,O,X,O,X,X,O,X,X,X,X,X
TOLIJZS,X,O,X,O,O,X,O,X,O,X,X,X
TOLISJZ,O,O,X,O,X,X,O,X,X,X,X,X
TOLISZJ,O,O,X,O,O,X,X,X,X,O,X,X
TOLIZJS,O,O,X,O,O,X,O,X,O,X,X,X
TOLIZSJ,O,O,X,O,O,X,X,X,O,X,X,X
TOLJISZ,X,O,X,O,X,O,O,X,X,X,X,X
TOLJIZS,X,O,X,O,O,O,O,O,O,X,X,X
TOLJSIZ,O,O,O,O,X,O,O,X,X,X,X,X
TOLJSZI,O,O,O,O,X,O,X,O,O,X,X,X
TOLJZIS,O,O,O,O,O,O,X,O,O,X,X,X
TOLJZSI,O,O,O,O,O,O,X,O,O,X,X,X
TOLSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,O,X,X,X,X,O,X,X
TOLSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,O,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,O,O,X,X
TOLSZJI,O,O,X,O,O,X,X,X,O,O,X,X
TOLZIJS,O,O,O,O,O,O,X,O,O,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,O,X,X,X
TOLZJIS,O,O,O,O,O,O,X,O,O,X,X,X
TOLZJSI,O,O,O,O,O,O,X,O,O,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,O,X,X,X
TOLZSJI,O,O,X,O,O,O,X,X,O,X,X,X
TOJILSZ,X,X,X,O,X,O,O,X,X,X,X,X
TOJILZS,X,X,X,O,O,O,O,O,X,X,X,X
TOJISLZ,X,X,O,O,X,O,O,X,X,X,X,X
TOJISZL,X,X,O,O,X,O,X,X,X,X,X,X
TOJIZLS,X,X,O,X,O,O,O,O,X,X,X,X
TOJIZSL,X,X,O,X,O,O,X,O,X,X,X,X
TOJLISZ,X,O,X,O,X,O,O,X,X,X,X,X
TOJLIZS,X,O,X,O,O,O,O,O,O,X,X,X
TOJLSIZ,O,O,O,O,X,O,O,X,X,X,X,X
TOJLSZI,O,O,O,O,X,O,X,O,O,X,X,X
TOJLZIS,O,O,O,O,O,O,X,O,O,X,X,X
TOJLZSI,O,O,O,O,O,O,X,O,O,X,X,X
TOJSILZ,X,X,O,O,X,O,O,X,X,X,X,X
TOJSIZL,X,O,O,O,X,O,X,X,X,X,X,X
TOJSLIZ,X,O,O,O,X,O,O,X,X,X,X,X
TOJSLZI,X,O,O,O,X,O,X,O,X,X,X,X
TOJSZIL,X,O,O,O,X,O,X,O,X,X,X,X
TOJSZLI,X,O,O,O,X,O,X,O,X,X,X,X
TOJZILS,O,O,O,X,O,O,O,O,O,X,X,X
TOJZISL,X,X,O,X,O,O,X,O,X,X,X,X
TOJZLIS,O,O,O,O,O,O,X,O,O,X,X,X
TOJZLSI,O,O,O,O,O,O,X,O,O,X,X,X
TOJZSIL,X,O,O,O,O,O,X,O,X,X,X,X
TOJZSLI,X,O,O,O,O,O,X,O,X,X,X,X
TOSILJZ,X,O,X,O,X,X,O,X,X,X,X,X
TOSILZJ,X,O,X,O,O,X,X,X,X,X,X,X
TOSIJLZ,X,X,X,O,X,X,O,X,X,X,X,X
TOSIJZL,X,O,X,O,X,X,X,X,X,X,X,X
TOSIZLJ,X,O,X,O,O,X,X,X,X,X,X,X
TOSIZJL,X,O,X,O,O,X,X,X,X,X,X,X
TOSLIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,O,O,X,X,X,X,O,X,X
TOSLJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,O,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X,O,O,X,X
TOSLZJI,O,O,X,O,O,X,X,X,O,O,X,X
TOSJILZ,X,X,O,O,X,X,O,X,X,X,X,X
TOSJIZL,X,O,O,O,X,X,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,O,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,O,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,O,X,X,X,X
TOSZILJ,O,O,X,O,O,X,X,X,O,X,X,X
TOSZIJL,O,O,O,O,O,X,X,O,X,X,X,X
TOSZLIJ,O,O,X,O,O,X,X,X,O,O,X,X
TOSZLJI,O,O,X,O,O,X,X,X,O,O,X,X
TOSZJIL,O,O,O,O,O,X,X,O,X,X,X,X
TOSZJLI,O,O,O,O,O,X,X,O,X,X,X,X
TOZILJS,O,O,O,X,O,O,O,O,O,X,X,X
TOZILSJ,O,O,X,X,O,X,X,X,O,X,X,X
TOZIJLS,O,O,O,X,O,O,O,O,O,X,X,X
TOZIJSL,X,X,O,X,O,O,X,O,X,X,X,X
TOZISLJ,O,O,X,X,O,X,X,X,O,X,X,X
TOZISJL,O,O,O,X,O,X,X,O,X,X,X,X
TOZLIJS,O,O,O,O,O,O,X,O,O,X,X,X
TOZLISJ,O,O,X,O,O,X,X,X,O,X,X,X
TOZLJIS,O,O,O,O,O,O,X,O,O,X,X,X
TOZLJSI,O,O,O,O,O,O,X,O,O,X,X,X
TOZLSIJ,O,O,X,O,O,X,X,X,O,X,X,X
TOZLSJI,O,O,X,O,O,O,X,X,O,X,X,X
TOZJILS,O,O,O,X,O,O,O,O,O,X,X,X
TOZJISL,X,X,O,X,O,O,X,O,X,X,X,X
TOZJLIS,O,O,O,O,O,O,X,O,O,X,X,X
TOZJLSI,O,O,O,O,O,O,X,O,O,X,X,X
TOZJSIL,X,O,O,O,O,O,X,O,X,X,X,X
TOZJSLI,X,O,O,O,O,O,X,O,X,X,X,X
TOZSILJ,O,O,X,O,O,X,X,X,O,X,X,X
TOZSIJL,O,O,O,O,O,X,X,O,X,X,X,X
TOZSLIJ,O,O,X,O,O,X,X,X,O,O,X,X
TOZSLJI,O,O,X,O,O,O,X,X,O,O,X,X
TOZSJIL,O,O,O,O,O,O,X,O,X,X,X,X
TOZSJLI,O,O,O,O,O,O,X,O,X,X,X,X
ITLJSZO,X,O,X,X,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
ITLJZSO,X,O,X,X,X,X,O,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
ITLJOZS,X,X,X,O,X,X,X,X,O,X,X,X
ITLSJZO,O,O,X,X,X,X,O,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,O,X,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,O,X,X,X,X,X,X,O,X
ITLZJSO,O,O,X,X,X,X,O,X,X,X,X,X
ITLZJOS,X,O,X,X,O,X,X,X,O,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,O,X,X,X,X,O,X,X,X
ITLZOJS,O,O,X,O,O,X,X,X,O,X,X,X
ITLZOSJ,O,X,X,O,O,X,X,X,O,X,X,X
ITLOJSZ,X,X,X,O,X,X,O,X,X,X,X,X
ITLOJZS,X,X,X,O,O,X,X,X,O,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,O,O,X,X,X,X,X,O,X
ITLOZJS,O,O,X,O,O,X,X,X,O,X,X,X
ITLOZSJ,O,X,X,O,O,X,X,X,O,X,X,X
ITJLSZO,X,X,X,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,X,X,X,X,O,X,X,X,X,X
ITJLZSO,X,X,X,X,X,X,O,O,X,X,X,X
ITJLZOS,X,X,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,X,X,X,O,X,X,X,X
ITJSLZO,X,X,O,X,X,X,O,X,X,X,X,X
ITJSLOZ,X,X,O,X,X,X,O,X,X,X,X,X
ITJSZLO,X,X,O,X,X,X,X,X,X,X,X,X
ITJSZOL,X,X,O,X,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X
ITJSOZL,X,X,O,X,X,X,X,X,X,X,X,X
ITJZLSO,X,X,O,X,X,X,O,O,X,X,X,X
ITJZLOS,X,X,X,X,O,X,X,O,X,X,X,X
ITJZSLO,X,X,O,X,X,X,X,O,X,X,X,X
ITJZSOL,X,X,O,X,O,X,X,X,X,X,X,X
ITJZOLS,X,X,O,X,O,X,X,O,X,X,X,X
ITJZOSL,X,X,O,X,O,X,X,O,X,X,X,X
ITJOLSZ,X,X,X,X,X,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,O,X,O,O,X,X,X,X
ITJOSLZ,X,X,O,X,X,X,O,X,X,X,X,X
ITJOSZL,X,X,O,X,X,X,X,X,X,X,X,X
ITJOZLS,X,X,O,X,O,X,O,O,X,X,X,X
ITJOZSL,X,X,O,X,O,X,X,O,X,X,X,X
ITSLJZO,O,O,X,X,X,X,O,X,X,X,X,X
ITSLJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,O,X,X,X,X,X,X,O,X
ITSJLZO,O,X,X,X,X,X,O,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,O,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,O,X,X,X,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,O,X,X,X,X,X,X,O,X
ITSZJLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,O,X,X,X,X,X,O,X
ITSZOLJ,O,O,X,O,O,X,X,X,X,X,O,X
ITSZOJL,O,O,X,O,O,X,X,X,X,X,O,X
ITSOLJZ,X,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,X,O,O,X,X,X,X,X,O,X
ITSOJLZ,X,X,X,O,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,O,O,X,X,X,X,X,O,X
ITSOZJL,X,O,X,O,O,X,X,X,X,X,O,X
ITZLJSO,O,O,O,X,X,X,O,O,X,X,X,X
ITZLJOS,X,O,X,X,O,X,X,O,O,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X,O,X,X,X
ITZLOJS,O,O,O,X,O,X,X,O,O,X,X,X
ITZLOSJ,O,X,X,X,O,X,X,X,O,X,X,X
ITZJLSO,O,O,O,X,X,X,O,O,X,X,X,X
ITZJLOS,X,O,X,X,O,X,X,O,O,X,X,X
ITZJSLO,O,O,O,X,X,X,X,O,X,X,X,X
ITZJSOL,O,O,O,X,O,X,X,X,X,X,X,X
ITZJOLS,O,O,O,X,O,X,X,O,O,X,X,X
ITZJOSL,X,X,O,X,O,X,X,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,X,O,X,X,X
ITZSJLO,O,O,O,X,X,X,X,O,X,X,X,X
ITZSJOL,O,O,O,X,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,O,X,X,X,O,X,X,X
ITZSOJL,O,O,O,X,O,X,X,O,X,X,X,X
ITZOLJS,O,O,O,X,O,X,X,O,O,X,X,X
