sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJILSOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJILZSO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJISLOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJISZLO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJISOZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJIZLOS,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJIZSOL,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJLISOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJLIZSO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJLIOZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TJLSIOZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TJLSZIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
