sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
ZILJOST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZILSTJO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O
ZILSTOJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O
ZILSJTO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O
ZILSJOT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZILSOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZILSOJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZILOTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZILOTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILOJTS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZILOJST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZILOSTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZILOSJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJTLSO,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZIJTLOS,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZIJTSLO,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
ZIJTSOL,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZIJTOLS,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X
ZIJTOSL,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZIJLTSO,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIJLTOS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
ZIJLSTO,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
ZIJLSOT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJLOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZIJLOST,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJSTLO,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
ZIJSTOL,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X
ZIJSLTO,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
ZIJSLOT,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
ZIJSOTL,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
ZIJSOLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJOTLS,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X
ZIJOTSL,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
ZIJOLTS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
ZIJOLST,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJOSTL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIJOSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZISTLJO,O,O,X,O,X,X,O,X,X,O,X,X,O,X,O
ZISTLOJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZISTJLO,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O
ZISTJOL,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
ZISTOLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZISTOJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ZISLTJO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O
ZISLTOJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZISLJTO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
ZISLJOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZISLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZISLOJT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZISJTLO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O
ZISJTOL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
ZISJLTO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
ZISJLOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZISJOTL,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZISJOLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZISOTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZISOTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ZISOLTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZISOLJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZISOJTL,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
ZISOJLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOTLJS,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZIOTLSJ,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X
ZIOTJLS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZIOTJSL,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X
ZIOTSLJ,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
ZIOTSJL,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
ZIOLTJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOLTSJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZIOLJTS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZIOLJST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZIOLSTJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
ZIOLSJT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
ZIOJTLS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZIOJTSL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
ZIOJLTS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZIOJLST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZIOJSTL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
ZIOJSLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZIOSTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
ZIOSTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
ZIOSLTJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZIOSLJT,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
ZIOSJTL,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X
ZIOSJLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLTIJSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLTIJOS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
ZLTISJO,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
ZLTISOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLTIOJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLTIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJISO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
ZLTJIOS,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZLTJSIO,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X
ZLTJSOI,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X
ZLTJOIS,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X
ZLTJOSI,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X
ZLTSIJO,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
ZLTSIOJ,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
ZLTSJIO,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
ZLTSJOI,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
ZLTSOIJ,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
ZLTSOJI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
ZLTOIJS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZLTOISJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLTOJIS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
ZLTOJSI,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
ZLTOSIJ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLTOSJI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLITJSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLITJOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZLITSJO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O
ZLITSOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
ZLITOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLITOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIJTOS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZLIJSTO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZLIJSOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZLIJOTS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLIJOST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLISTJO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O
ZLISTOJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O
ZLISJTO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O
ZLISJOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZLISOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZLISOJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLIOTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLIOTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLIOJST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLIOSTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLIOSJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLJTISO,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ZLJTIOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZLJTSIO,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X
ZLJTSOI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
ZLJTOIS,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X
ZLJTOSI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
ZLJITSO,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ZLJITOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZLJISTO,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
ZLJISOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZLJIOTS,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZLJIOST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLJSTIO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZLJSTOI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZLJSITO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZLJSIOT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZLJSOTI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZLJSOIT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZLJOTIS,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X
ZLJOTSI,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLJOITS,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X
ZLJOIST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLJOSTI,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
ZLJOSIT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLSTIJO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLSTIOJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLSTJIO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLSTJOI,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLSTOIJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLSTOJI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLSITJO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLSITOJ,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLSIJTO,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
ZLSIJOT,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
ZLSIOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSIOJT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLSJTIO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
ZLSJTOI,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
ZLSJITO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
ZLSJIOT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZLSJOTI,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZLSJOIT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZLSOTIJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOTJI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOITJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOIJT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
ZLSOJTI,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
ZLSOJIT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
ZLOTIJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOTISJ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZLOTJIS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOTJSI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOTSIJ,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
ZLOTSJI,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
ZLOITJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOITSJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZLOIJTS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZLOIJST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLOISTJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
ZLOISJT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOJTIS,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
ZLOJTSI,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
ZLOJITS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZLOJIST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLOJSTI,O,O,X,O,X,O,X,X,O,X,X,O,O,X,X
ZLOJSIT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOSTIJ,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
ZLOSTJI,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
ZLOSITJ,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
ZLOSIJT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOSJTI,O,O,X,O,X,O,X,X,O,X,X,O,O,X,X
ZLOSJIT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
ZJTILSO,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X
ZJTILOS,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZJTISLO,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X
ZJTISOL,O,X,O,X,O,O,O,O,X,O,X,X,X,X,X
ZJTIOLS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
ZJTIOSL,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X
ZJTLISO,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X
ZJTLIOS,X,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZJTLSIO,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X
ZJTLSOI,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X
ZJTLOIS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
ZJTLOSI,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
ZJTSILO,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X
ZJTSIOL,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X
ZJTSLIO,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X
ZJTSLOI,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X
ZJTSOIL,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X
ZJTSOLI,X,O,O,O,O,O,O,X,X,O,X,X,O,X,X
ZJTOILS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
ZJTOISL,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
ZJTOLIS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
ZJTOLSI,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
ZJTOSIL,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
ZJTOSLI,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X
ZJITLSO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X
ZJITLOS,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZJITSLO,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
ZJITSOL,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X
ZJITOLS,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X
ZJITOSL,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X
ZJILTSO,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X
ZJILTOS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
ZJILSTO,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
ZJILSOT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZJILOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJILOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJISTLO,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X
ZJISTOL,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X
ZJISLTO,X,X,O,X,O,X,X,X,O,O,O,X,O,X,X
ZJISLOT,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZJISOTL,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X
ZJISOLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZJIOTLS,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X
ZJIOTSL,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJIOLST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJIOSTL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJIOSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZJLTISO,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ZJLTIOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJLTSIO,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X
ZJLTSOI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
ZJLTOIS,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X
ZJLTOSI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
ZJLITSO,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ZJLITOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJLISTO,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
ZJLISOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
ZJLIOTS,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJLIOST,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJLSTIO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJLSTOI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZJLSITO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJLSIOT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZJLSOTI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZJLSOIT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
ZJLOTIS,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJLOTSI,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJLOITS,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJLOIST,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJLOSTI,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJLOSIT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSTILO,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X
ZJSTIOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
ZJSTLIO,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
ZJSTLOI,X,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSTOIL,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSTOLI,X,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSITLO,O,O,O,O,O,X,X,O,X,O,O,X,O,X,X
ZJSITOL,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X
ZJSILTO,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X
ZJSILOT,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJSIOTL,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
ZJSIOLT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJSLTIO,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X
ZJSLTOI,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X
ZJSLITO,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X
ZJSLIOT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJSLOTI,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJSLOIT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJSOTIL,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X
ZJSOTLI,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSOITL,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
ZJSOILT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJSOLTI,X,O,O,O,O,O,X,X,O,X,X,X,O,X,X
ZJSOLIT,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJOTILS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOTISL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZJOTLIS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOTLSI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOTSIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOTSLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
ZJOITLS,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X
ZJOITSL,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
ZJOILTS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJOILST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
ZJOISTL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJOISLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZJOLTIS,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
ZJOLTSI,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
ZJOLITS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
ZJOLIST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
ZJOLSTI,O,O,X,O,O,O,X,O,O,X,X,O,O,X,X
ZJOLSIT,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
ZJOSTIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOSTLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
ZJOSITL,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X
ZJOSILT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJOSLTI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
ZJOSLIT,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X
ZSTILJO,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
ZSTILOJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTIJLO,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTIJOL,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTIOLJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTIOJL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTLIJO,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTLIOJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTLJOI,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTLOIJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTLOJI,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTJILO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X
ZSTJIOL,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X
ZSTJLIO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X
ZSTJLOI,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZSTJOIL,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
