sequence,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFWhBxdB?0iB6oBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFCcBmdB?5jB0iBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFTcB/iB?ajB5jBlmB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhF/iBajB?5jBlmBuqBcrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFlcBajB?5jB/mBTnB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeC7IvhFlcBzdB?5jB/mB2sB0qB
LZSOIJT,O,O,X,X,X,X
LZSOJTI,O,X,X,X,X,X
LZSOJIT,O,O,X,X,X,X
LZOTIJS,O,O,X,X,X,X
LZOTISJ,O,O,X,X,X,X
LZOTJIS,O,O,X,X,X,X
LZOTJSI,O,O,X,X,X,X
LZOTSIJ,O,O,X,X,X,X
LZOTSJI,O,O,X,X,X,X
LZOITJS,O,O,X,X,X,X
LZOITSJ,O,O,X,X,X,X
LZOIJTS,O,O,X,X,X,X
LZOIJST,O,O,X,X,O,X
LZOISTJ,O,X,X,O,O,X
LZOISJT,O,O,X,X,O,X
LZOJTIS,O,O,X,X,X,X
LZOJTSI,O,O,X,X,X,X
LZOJITS,O,O,X,X,X,X
LZOJIST,O,O,X,X,O,X
LZOJSTI,O,X,X,X,O,X
LZOJSIT,O,O,X,X,O,X
LZOSTIJ,O,X,X,O,O,X
LZOSTJI,O,X,X,X,O,X
LZOSITJ,O,X,X,O,O,X
LZOSIJT,O,O,X,X,O,X
LZOSJTI,O,X,X,X,O,X
LZOSJIT,O,O,X,X,O,X
LOTIJSZ,X,X,X,X,O,X
LOTIJZS,O,O,X,X,X,X
LOTISJZ,X,X,X,O,O,X
LOTISZJ,X,O,X,O,O,X
LOTIZJS,O,O,X,X,X,X
LOTIZSJ,O,O,X,X,X,X
LOTJISZ,X,X,X,X,O,X
LOTJIZS,O,O,X,X,X,X
LOTJSIZ,X,X,X,X,O,X
LOTJSZI,O,X,X,X,O,X
LOTJZIS,O,O,X,X,X,X
LOTJZSI,O,O,X,X,X,X
LOTSIJZ,X,X,X,O,O,X
LOTSIZJ,X,O,X,O,O,X
LOTSJIZ,X,X,X,O,O,X
LOTSJZI,O,X,X,X,O,X
LOTSZIJ,O,O,X,O,O,X
LOTSZJI,O,O,X,X,O,X
LOTZIJS,O,O,X,X,X,X
LOTZISJ,O,O,X,X,X,X
LOTZJIS,O,O,X,X,X,X
LOTZJSI,O,O,X,X,X,X
LOTZSIJ,O,O,X,X,X,X
LOTZSJI,O,O,X,X,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,O,O,X,X,X,X
LOITSJZ,X,X,X,O,O,X
LOITSZJ,X,O,X,O,O,X
LOITZJS,O,O,X,X,X,X
LOITZSJ,O,O,X,X,X,X
LOIJTSZ,X,X,X,X,O,O
LOIJTZS,O,O,X,X,X,X
LOIJSTZ,X,X,O,O,O,O
LOIJSZT,X,X,X,X,O,O
LOIJZTS,O,O,X,X,X,X
LOIJZST,O,O,X,X,O,O
LOISTJZ,X,X,O,O,O,O
LOISTZJ,X,O,O,O,O,X
LOISJTZ,X,X,O,O,O,O
LOISJZT,X,X,X,X,O,O
LOISZTJ,O,X,X,O,O,X
LOISZJT,O,O,X,X,O,X
LOIZTJS,O,O,X,X,X,X
LOIZTSJ,O,O,X,X,X,X
LOIZJTS,O,O,X,X,X,X
LOIZJST,O,O,X,X,O,X
LOIZSTJ,O,X,X,O,O,X
LOIZSJT,O,O,X,X,O,X
LOJTISZ,X,X,X,X,O,O
LOJTIZS,O,O,X,X,X,X
LOJTSIZ,X,X,X,X,O,O
LOJTSZI,O,X,X,X,O,O
LOJTZIS,O,O,X,X,X,X
LOJTZSI,O,O,X,X,X,X
LOJITSZ,X,X,X,X,O,O
LOJITZS,O,O,X,X,X,X
LOJISTZ,X,X,O,O,O,O
LOJISZT,X,X,X,X,O,O
LOJIZTS,O,O,X,X,X,X
LOJIZST,O,O,X,X,O,O
LOJSTIZ,X,X,O,O,O,O
LOJSTZI,O,X,O,X,O,O
LOJSITZ,X,X,O,O,O,O
LOJSIZT,X,X,X,X,O,O
LOJSZTI,O,X,X,X,O,O
LOJSZIT,O,X,X,X,O,O
LOJZTIS,O,O,X,X,X,X
LOJZTSI,O,X,X,X,X,X
LOJZITS,O,O,X,X,X,X
LOJZIST,O,O,X,X,O,O
LOJZSTI,O,X,X,X,O,O
LOJZSIT,O,O,X,X,O,O
LOSTIJZ,X,X,O,O,O,O
LOSTIZJ,X,O,O,O,O,X
LOSTJIZ,X,X,O,O,O,O
LOSTJZI,O,X,O,X,O,O
LOSTZIJ,O,O,O,O,O,X
LOSTZJI,O,O,O,X,O,X
LOSITJZ,X,X,O,O,O,O
LOSITZJ,X,O,O,O,O,X
LOSIJTZ,X,X,O,O,O,O
LOSIJZT,X,X,X,X,O,O
LOSIZTJ,O,X,X,O,O,X
LOSIZJT,O,O,X,X,O,X
LOSJTIZ,X,X,O,O,O,O
LOSJTZI,O,X,O,X,O,O
LOSJITZ,X,X,O,O,O,O
LOSJIZT,X,X,X,X,O,O
LOSJZTI,O,X,X,X,O,O
LOSJZIT,O,X,X,X,O,O
LOSZTIJ,O,X,X,O,O,X
LOSZTJI,O,X,X,X,O,X
LOSZITJ,O,X,X,O,O,X
LOSZIJT,O,O,X,X,O,X
LOSZJTI,O,X,X,X,O,X
LOSZJIT,O,O,X,X,O,X
LOZTIJS,O,O,X,X,X,X
LOZTISJ,O,O,X,X,X,X
LOZTJIS,O,O,X,X,X,X
LOZTJSI,O,O,X,X,X,X
LOZTSIJ,O,O,X,X,X,X
LOZTSJI,O,O,X,X,X,X
LOZITJS,O,O,X,X,X,X
LOZITSJ,O,O,X,X,X,X
LOZIJTS,O,O,X,X,X,X
LOZIJST,O,O,X,X,O,X
LOZISTJ,O,X,X,O,O,X
LOZISJT,O,O,X,X,O,X
LOZJTIS,O,O,X,X,X,X
LOZJTSI,O,O,X,X,X,X
LOZJITS,O,O,X,X,X,X
LOZJIST,O,O,X,X,O,X
LOZJSTI,O,X,X,X,O,X
LOZJSIT,O,O,X,X,O,X
LOZSTIJ,O,X,X,O,O,X
LOZSTJI,O,X,X,X,O,X
LOZSITJ,O,X,X,O,O,X
LOZSIJT,O,O,X,X,O,X
LOZSJTI,O,X,X,X,O,X
LOZSJIT,O,O,X,X,O,X
JTILSZO,X,X,O,X,X,O
JTILSOZ,X,X,O,X,X,O
JTILZSO,O,O,X,X,X,X
JTILZOS,O,O,X,X,X,X
JTILOSZ,X,X,O,X,O,O
JTILOZS,O,O,X,X,X,X
JTISLZO,X,X,O,O,X,O
JTISLOZ,X,X,O,O,O,O
JTISZLO,X,X,O,X,X,O
JTISZOL,X,X,O,X,O,O
JTISOLZ,X,X,O,O,O,O
JTISOZL,X,X,O,X,O,O
JTIZLSO,O,O,X,X,X,X
JTIZLOS,O,O,X,X,X,X
JTIZSLO,X,O,O,X,X,X
JTIZSOL,X,O,O,X,X,X
JTIZOLS,O,O,X,X,X,X
JTIZOSL,X,O,O,X,X,X
JTIOLSZ,X,X,O,X,O,O
JTIOLZS,O,O,X,X,X,X
JTIOSLZ,X,X,O,O,O,O
JTIOSZL,X,X,O,X,O,O
JTIOZLS,O,O,X,X,X,X
JTIOZSL,X,O,O,X,X,X
JTLISZO,X,X,O,X,X,O
JTLISOZ,X,X,O,X,X,O
JTLIZSO,O,O,X,X,X,X
JTLIZOS,O,O,X,X,X,X
JTLIOSZ,X,X,O,X,O,O
JTLIOZS,O,O,X,X,X,X
JTLSIZO,X,X,O,X,X,O
JTLSIOZ,X,X,O,X,X,O
JTLSZIO,O,X,O,X,X,O
JTLSZOI,O,X,O,X,X,O
JTLSOIZ,X,X,O,X,X,O
JTLSOZI,O,X,O,X,X,O
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,X,X,X,X
JTLZSIO,O,O,X,X,X,X
JTLZSOI,O,O,X,X,X,X
JTLZOIS,O,O,X,X,X,X
JTLZOSI,O,O,X,X,X,X
JTLOISZ,X,X,O,X,O,O
JTLOIZS,O,O,X,X,X,X
JTLOSIZ,X,X,O,X,O,O
JTLOSZI,O,X,O,X,O,O
JTLOZIS,O,O,X,X,X,X
JTLOZSI,O,O,X,X,X,X
JTSILZO,X,X,O,O,X,O
JTSILOZ,X,X,O,O,O,O
JTSIZLO,X,X,O,X,X,O
JTSIZOL,X,X,O,X,O,O
JTSIOLZ,X,X,O,O,O,O
JTSIOZL,X,X,O,X,O,O
JTSLIZO,X,X,O,O,X,O
JTSLIOZ,X,X,O,O,O,O
JTSLZIO,O,X,O,X,X,O
JTSLZOI,O,X,O,X,X,O
JTSLOIZ,X,X,O,O,O,O
JTSLOZI,O,X,O,X,O,O
JTSZILO,X,X,O,X,X,O
JTSZIOL,X,X,O,X,O,O
JTSZLIO,O,X,O,X,X,O
JTSZLOI,O,X,O,X,X,O
JTSZOIL,X,X,O,X,O,O
JTSZOLI,O,X,O,X,O,O
JTSOILZ,X,X,O,O,O,O
JTSOIZL,X,X,O,X,O,O
JTSOLIZ,X,X,O,O,O,O
JTSOLZI,O,X,O,X,O,O
JTSOZIL,X,X,O,X,O,O
JTSOZLI,O,X,O,X,O,O
JTZILSO,O,O,X,X,X,X
JTZILOS,O,O,X,X,X,X
JTZISLO,X,O,O,X,X,X
JTZISOL,X,O,O,X,X,X
JTZIOLS,O,O,X,X,X,X
JTZIOSL,X,O,O,X,X,X
JTZLISO,O,O,X,X,X,X
JTZLIOS,O,O,X,X,X,X
JTZLSIO,O,O,X,X,X,X
JTZLSOI,O,O,X,X,X,X
JTZLOIS,O,O,X,X,X,X
JTZLOSI,O,O,X,X,X,X
JTZSILO,X,O,O,X,X,X
JTZSIOL,X,O,O,X,X,X
JTZSLIO,O,O,O,X,X,X
JTZSLOI,O,O,O,X,X,X
JTZSOIL,X,O,O,X,X,X
JTZSOLI,O,O,O,X,X,X
JTZOILS,O,O,X,X,X,X
JTZOISL,X,O,O,X,X,X
JTZOLIS,O,O,X,X,X,X
JTZOLSI,O,O,X,X,X,X
JTZOSIL,X,O,O,X,X,X
JTZOSLI,O,O,O,X,X,X
JTOILSZ,X,X,O,X,O,O
JTOILZS,O,O,X,X,X,X
JTOISLZ,X,X,O,O,O,O
JTOISZL,X,X,O,X,O,O
JTOIZLS,O,O,X,X,X,X
JTOIZSL,X,O,O,X,X,X
JTOLISZ,X,X,O,X,O,O
JTOLIZS,O,O,X,X,X,X
JTOLSIZ,X,X,O,X,O,O
JTOLSZI,O,X,O,X,O,O
JTOLZIS,O,O,X,X,X,X
JTOLZSI,O,O,X,X,X,X
JTOSILZ,X,X,O,O,O,O
JTOSIZL,X,X,O,X,O,O
JTOSLIZ,X,X,O,O,O,O
JTOSLZI,O,X,O,X,O,O
JTOSZIL,X,X,O,X,O,O
JTOSZLI,O,X,O,X,O,O
JTOZILS,O,O,X,X,X,X
JTOZISL,X,O,O,X,X,X
JTOZLIS,O,O,X,X,X,X
JTOZLSI,O,O,X,X,X,X
JTOZSIL,X,O,O,X,X,X
JTOZSLI,O,O,O,X,X,X
JITLSZO,X,X,O,X,X,O
JITLSOZ,X,X,O,X,X,O
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,X,X,O,X,O,O
JITLOZS,X,O,X,X,X,X
JITSLZO,X,X,O,O,X,O
JITSLOZ,X,X,O,O,O,O
JITSZLO,X,X,O,X,X,O
JITSZOL,X,X,O,X,O,O
JITSOLZ,X,X,O,O,O,O
JITSOZL,X,X,O,X,O,O
JITZLSO,X,O,X,X,X,X
JITZLOS,X,O,X,X,X,X
JITZSLO,X,O,O,X,X,X
JITZSOL,X,O,O,X,X,X
JITZOLS,X,O,X,X,X,X
JITZOSL,X,O,O,X,X,X
JITOLSZ,X,X,O,X,O,O
JITOLZS,X,O,X,X,X,X
JITOSLZ,X,X,O,O,O,O
JITOSZL,X,X,O,X,O,O
JITOZLS,X,O,X,X,X,X
JITOZSL,X,O,O,X,X,X
JILTSZO,X,X,O,X,X,O
JILTSOZ,X,X,O,X,X,O
JILTZSO,O,O,X,X,X,X
JILTZOS,O,O,X,X,X,X
JILTOSZ,X,X,O,X,O,O
JILTOZS,O,O,X,X,X,X
JILSTZO,X,X,O,O,X,O
JILSTOZ,X,X,O,O,O,O
JILSZTO,X,X,O,X,X,O
JILSZOT,X,X,X,X,X,O
JILSOTZ,X,X,O,O,O,O
JILSOZT,X,X,X,X,O,O
JILZTSO,X,X,X,X,X,X
JILZTOS,O,O,X,X,X,X
JILZSTO,X,X,O,X,X,O
JILZSOT,O,O,X,X,X,O
JILZOTS,O,O,X,X,X,X
JILZOST,O,O,X,X,O,O
JILOTSZ,X,X,X,X,O,O
JILOTZS,O,O,X,X,X,X
JILOSTZ,X,X,O,O,O,O
JILOSZT,X,X,X,X,O,O
JILOZTS,O,O,X,X,X,X
JILOZST,O,O,X,X,O,O
JISTLZO,X,X,O,O,X,O
JISTLOZ,X,X,O,O,O,O
JISTZLO,X,X,O,X,X,O
JISTZOL,X,X,O,X,O,O
JISTOLZ,X,X,O,O,O,O
JISTOZL,X,X,O,X,O,O
JISLTZO,X,X,O,O,X,O
JISLTOZ,X,X,O,O,O,O
JISLZTO,X,X,O,X,X,O
JISLZOT,X,X,X,X,X,O
JISLOTZ,X,X,O,O,O,O
JISLOZT,X,X,X,X,O,O
JISZTLO,X,X,O,X,X,O
JISZTOL,X,X,O,X,O,O
JISZLTO,X,X,O,X,X,O
JISZLOT,X,X,X,X,X,O
JISZOTL,X,X,X,X,O,O
JISZOLT,X,X,X,X,O,O
JISOTLZ,X,X,O,O,O,O
JISOTZL,X,X,O,X,O,O
JISOLTZ,X,X,O,O,O,O
JISOLZT,X,X,X,X,O,O
JISOZTL,X,X,X,X,O,O
JISOZLT,X,X,X,X,O,O
JIZTLSO,X,O,X,X,X,X
JIZTLOS,X,O,X,X,X,X
JIZTSLO,X,O,O,X,X,X
JIZTSOL,X,O,O,X,X,X
JIZTOLS,X,O,X,X,X,X
JIZTOSL,X,O,O,X,X,X
JIZLTSO,X,O,X,X,X,X
JIZLTOS,O,O,X,X,X,X
JIZLSTO,X,X,O,X,X,O
JIZLSOT,O,O,X,X,X,O
JIZLOTS,O,O,X,X,X,X
JIZLOST,O,O,X,X,O,O
JIZSTLO,X,O,O,X,X,O
JIZSTOL,X,O,O,X,O,O
JIZSLTO,X,X,O,X,X,O
JIZSLOT,X,O,X,X,X,O
JIZSOTL,X,O,X,X,O,O
JIZSOLT,X,O,X,X,O,O
JIZOTLS,X,O,X,X,X,X
JIZOTSL,X,O,X,X,X,X
JIZOLTS,O,O,X,X,X,X
JIZOLST,O,O,X,X,O,O
JIZOSTL,X,O,X,X,O,O
JIZOSLT,X,O,X,X,O,O
JIOTLSZ,X,X,O,X,O,O
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,X,X,O,O,O,O
JIOTSZL,X,X,O,X,O,O
JIOTZLS,X,O,X,X,X,X
JIOTZSL,X,O,O,X,X,X
JIOLTSZ,X,X,X,X,O,O
JIOLTZS,O,O,X,X,X,X
JIOLSTZ,X,X,O,O,O,O
JIOLSZT,X,X,X,X,O,O
JIOLZTS,O,O,X,X,X,X
JIOLZST,O,O,X,X,O,O
JIOSTLZ,X,X,O,O,O,O
JIOSTZL,X,X,O,X,O,O
JIOSLTZ,X,X,O,O,O,O
JIOSLZT,X,X,X,X,O,O
JIOSZTL,X,X,X,X,O,O
JIOSZLT,X,X,X,X,O,O
JIOZTLS,X,O,X,X,X,X
JIOZTSL,X,O,X,X,X,X
JIOZLTS,O,O,X,X,X,X
JIOZLST,O,O,X,X,O,O
JIOZSTL,X,O,X,X,O,O
JIOZSLT,X,O,X,X,O,O
JLTISZO,X,X,O,X,X,O
JLTISOZ,X,X,O,X,X,O
JLTIZSO,O,O,X,X,X,X
JLTIZOS,O,O,X,X,X,X
JLTIOSZ,X,X,O,X,O,O
JLTIOZS,O,O,X,X,X,X
JLTSIZO,X,X,O,X,X,O
JLTSIOZ,X,X,O,X,X,O
JLTSZIO,O,X,O,X,X,O
JLTSZOI,O,X,O,X,X,O
JLTSOIZ,X,X,O,X,X,O
JLTSOZI,O,X,O,X,X,O
JLTZISO,O,O,X,X,X,X
JLTZIOS,O,O,X,X,X,X
JLTZSIO,O,O,X,X,X,X
JLTZSOI,O,O,X,X,X,X
JLTZOIS,O,O,X,X,X,X
JLTZOSI,O,O,X,X,X,X
JLTOISZ,X,X,O,X,O,O
JLTOIZS,O,O,X,X,X,X
JLTOSIZ,X,X,O,X,O,O
JLTOSZI,O,X,O,X,O,O
JLTOZIS,O,O,X,X,X,X
JLTOZSI,O,O,X,X,X,X
JLITSZO,X,X,O,X,X,O
JLITSOZ,X,X,O,X,X,O
JLITZSO,O,O,X,X,X,X
JLITZOS,O,O,X,X,X,X
JLITOSZ,X,X,O,X,O,O
JLITOZS,O,O,X,X,X,X
JLISTZO,X,X,O,O,X,O
JLISTOZ,X,X,O,O,O,O
JLISZTO,X,X,O,X,X,O
JLISZOT,X,X,X,X,X,O
JLISOTZ,X,X,O,O,O,O
JLISOZT,X,X,X,X,O,O
JLIZTSO,O,X,X,X,X,X
JLIZTOS,O,O,X,X,X,X
JLIZSTO,X,X,O,X,X,O
JLIZSOT,O,O,X,X,X,O
JLIZOTS,O,O,X,X,X,X
JLIZOST,O,O,X,X,O,O
JLIOTSZ,X,X,X,X,O,O
JLIOTZS,O,O,X,X,X,X
JLIOSTZ,X,X,O,O,O,O
JLIOSZT,X,X,X,X,O,O
JLIOZTS,O,O,X,X,X,X
JLIOZST,O,O,X,X,O,O
JLSTIZO,X,X,O,O,X,O
JLSTIOZ,X,X,O,O,O,O
JLSTZIO,O,X,O,X,X,O
JLSTZOI,O,X,O,X,X,O
JLSTOIZ,X,X,O,O,O,O
JLSTOZI,O,X,O,X,O,O
JLSITZO,X,X,O,O,X,O
JLSITOZ,X,X,O,O,O,O
JLSIZTO,X,X,O,X,X,O
JLSIZOT,X,X,X,X,X,O
JLSIOTZ,X,X,O,O,O,O
JLSIOZT,X,X,X,X,O,O
JLSZTIO,X,X,O,X,X,O
JLSZTOI,X,X,O,X,X,O
JLSZITO,X,X,O,X,X,O
JLSZIOT,O,X,X,X,X,O
JLSZOTI,O,X,X,X,X,O
JLSZOIT,O,X,X,X,X,O
JLSOTIZ,X,X,O,O,O,O
JLSOTZI,O,X,O,X,O,O
JLSOITZ,X,X,O,O,O,O
JLSOIZT,X,X,X,X,O,O
JLSOZTI,O,X,X,X,O,O
JLSOZIT,O,X,X,X,O,O
JLZTISO,O,X,X,X,X,X
JLZTIOS,O,O,X,X,X,X
JLZTSIO,O,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,O,O,X,X,X,X
JLZTOSI,O,X,X,X,X,X
JLZITSO,O,X,X,X,X,X
JLZITOS,O,O,X,X,X,X
JLZISTO,X,X,O,X,X,O
JLZISOT,O,O,X,X,X,O
JLZIOTS,O,O,X,X,X,X
JLZIOST,O,O,X,X,O,O
JLZSTIO,X,X,O,X,X,O
JLZSTOI,X,X,O,X,X,O
JLZSITO,X,X,O,X,X,O
JLZSIOT,O,O,X,X,X,O
JLZSOTI,O,X,X,X,X,O
JLZSOIT,O,O,X,X,X,O
JLZOTIS,O,O,X,X,X,X
JLZOTSI,O,X,X,X,X,X
JLZOITS,O,O,X,X,X,X
JLZOIST,O,O,X,X,O,O
JLZOSTI,O,X,X,X,O,O
JLZOSIT,O,O,X,X,O,O
JLOTISZ,X,X,X,X,O,O
JLOTIZS,O,O,X,X,X,X
JLOTSIZ,X,X,X,X,O,O
JLOTSZI,O,X,X,X,O,O
JLOTZIS,O,O,X,X,X,X
JLOTZSI,O,O,X,X,X,X
JLOITSZ,X,X,X,X,O,O
JLOITZS,O,O,X,X,X,X
JLOISTZ,X,X,O,O,O,O
JLOISZT,X,X,X,X,O,O
JLOIZTS,O,O,X,X,X,X
JLOIZST,O,O,X,X,O,O
JLOSTIZ,X,X,O,O,O,O
JLOSTZI,O,X,O,X,O,O
JLOSITZ,X,X,O,O,O,O
JLOSIZT,X,X,X,X,O,O
JLOSZTI,O,X,X,X,O,O
JLOSZIT,O,X,X,X,O,O
JLOZTIS,O,O,X,X,X,X
JLOZTSI,O,X,X,X,X,X
JLOZITS,O,O,X,X,X,X
JLOZIST,O,O,X,X,O,O
JLOZSTI,O,X,X,X,O,O
JLOZSIT,O,O,X,X,O,O
JSTILZO,X,X,O,O,X,O
JSTILOZ,X,X,O,O,O,O
JSTIZLO,X,X,O,X,X,O
JSTIZOL,X,X,O,X,O,O
JSTIOLZ,X,X,O,O,O,O
JSTIOZL,X,X,O,X,O,O
JSTLIZO,X,X,O,O,X,O
JSTLIOZ,X,X,O,O,O,O
JSTLZIO,X,X,O,X,X,O
JSTLZOI,X,X,O,X,X,O
JSTLOIZ,X,X,O,O,O,O
JSTLOZI,X,X,O,X,O,O
JSTZILO,X,X,O,X,X,O
JSTZIOL,X,X,O,X,O,O
JSTZLIO,X,X,O,X,X,O
JSTZLOI,X,X,O,X,X,O
JSTZOIL,X,X,O,X,O,O
JSTZOLI,X,X,O,X,O,O
JSTOILZ,X,X,O,O,O,O
JSTOIZL,X,X,O,X,O,O
JSTOLIZ,X,X,O,O,O,O
JSTOLZI,X,X,O,X,O,O
JSTOZIL,X,X,O,X,O,O
JSTOZLI,X,X,O,X,O,O
JSITLZO,X,X,O,O,X,O
JSITLOZ,X,X,O,O,O,O
JSITZLO,X,X,O,X,X,O
JSITZOL,X,X,O,X,O,O
JSITOLZ,X,X,O,O,O,O
JSITOZL,X,X,O,X,O,O
JSILTZO,X,X,O,O,X,O
JSILTOZ,X,X,O,O,O,O
JSILZTO,X,X,O,X,X,O
JSILZOT,X,X,X,X,X,O
JSILOTZ,X,X,O,O,O,O
JSILOZT,X,X,X,X,O,O
JSIZTLO,X,X,O,X,X,O
JSIZTOL,X,X,O,X,O,O
JSIZLTO,X,X,O,X,X,O
JSIZLOT,X,X,X,X,X,O
JSIZOTL,X,X,X,X,O,O
JSIZOLT,X,X,X,X,O,O
JSIOTLZ,X,X,O,O,O,O
JSIOTZL,X,X,O,X,O,O
JSIOLTZ,X,X,O,O,O,O
JSIOLZT,X,X,X,X,O,O
JSIOZTL,X,X,X,X,O,O
JSIOZLT,X,X,X,X,O,O
JSLTIZO,X,X,O,O,X,O
JSLTIOZ,X,X,O,O,O,O
JSLTZIO,O,X,O,X,X,O
JSLTZOI,O,X,O,X,X,O
JSLTOIZ,X,X,O,O,O,O
JSLTOZI,O,X,O,X,O,O
JSLITZO,X,X,O,O,X,O
JSLITOZ,X,X,O,O,O,O
JSLIZTO,X,X,O,X,X,O
JSLIZOT,X,X,X,X,X,O
JSLIOTZ,X,X,O,O,O,O
JSLIOZT,X,X,X,X,O,O
JSLZTIO,X,X,O,X,X,O
JSLZTOI,X,X,O,X,X,O
JSLZITO,X,X,O,X,X,O
JSLZIOT,O,X,X,X,X,O
JSLZOTI,O,X,X,X,X,O
JSLZOIT,O,X,X,X,X,O
JSLOTIZ,X,X,O,O,O,O
JSLOTZI,O,X,O,X,O,O
JSLOITZ,X,X,O,O,O,O
JSLOIZT,X,X,X,X,O,O
JSLOZTI,O,X,X,X,O,O
JSLOZIT,O,X,X,X,O,O
JSZTILO,X,X,O,X,X,O
JSZTIOL,X,X,O,X,O,O
JSZTLIO,X,X,O,X,X,O
JSZTLOI,X,X,O,X,X,O
JSZTOIL,X,X,O,X,O,O
JSZTOLI,X,X,O,X,O,O
JSZITLO,X,X,O,X,X,O
JSZITOL,X,X,O,X,O,O
JSZILTO,X,X,O,X,X,O
JSZILOT,X,X,X,X,X,O
JSZIOTL,X,X,X,X,O,O
JSZIOLT,X,X,X,X,O,O
JSZLTIO,X,X,O,X,X,O
JSZLTOI,X,X,O,X,X,O
JSZLITO,X,X,O,X,X,O
JSZLIOT,O,X,X,X,X,O
JSZLOTI,O,X,X,X,X,O
JSZLOIT,O,X,X,X,X,O
JSZOTIL,X,X,X,X,O,O
JSZOTLI,X,X,X,X,O,O
JSZOITL,X,X,X,X,O,O
JSZOILT,X,X,X,X,O,O
JSZOLTI,O,X,X,X,O,O
JSZOLIT,O,X,X,X,O,O
JSOTILZ,X,X,O,O,O,O
JSOTIZL,X,X,O,X,O,O
JSOTLIZ,X,X,O,O,O,O
JSOTLZI,X,X,O,X,O,O
JSOTZIL,X,X,O,X,O,O
JSOTZLI,X,X,O,X,O,O
JSOITLZ,X,X,O,O,O,O
JSOITZL,X,X,O,X,O,O
JSOILTZ,X,X,O,O,O,O
JSOILZT,X,X,X,X,O,O
JSOIZTL,X,X,X,X,O,O
JSOIZLT,X,X,X,X,O,O
JSOLTIZ,X,X,O,O,O,O
JSOLTZI,O,X,O,X,O,O
JSOLITZ,X,X,O,O,O,O
JSOLIZT,X,X,X,X,O,O
JSOLZTI,O,X,X,X,O,O
JSOLZIT,O,X,X,X,O,O
JSOZTIL,X,X,X,X,O,O
JSOZTLI,X,X,X,X,O,O
JSOZITL,X,X,X,X,O,O
JSOZILT,X,X,X,X,O,O
JSOZLTI,O,X,X,X,O,O
JSOZLIT,O,X,X,X,O,O
JZTILSO,O,O,X,X,X,X
JZTILOS,O,O,X,X,X,X
JZTISLO,X,O,O,X,X,X
JZTISOL,X,O,O,X,X,X
JZTIOLS,O,O,X,X,X,X
JZTIOSL,X,O,O,X,X,X
JZTLISO,O,O,X,X,X,X
JZTLIOS,O,O,X,X,X,X
JZTLSIO,O,O,X,X,X,X
JZTLSOI,O,O,X,X,X,X
JZTLOIS,O,O,X,X,X,X
JZTLOSI,O,O,X,X,X,X
JZTSILO,X,O,O,X,X,X
JZTSIOL,X,O,O,X,X,X
JZTSLIO,O,O,O,X,X,X
JZTSLOI,O,O,O,X,X,X
JZTSOIL,X,O,O,X,X,X
JZTSOLI,O,O,O,X,X,X
JZTOILS,O,O,X,X,X,X
JZTOISL,X,O,O,X,X,X
JZTOLIS,O,O,X,X,X,X
JZTOLSI,O,O,X,X,X,X
JZTOSIL,X,O,O,X,X,X
JZTOSLI,O,O,O,X,X,X
JZITLSO,X,O,X,X,X,X
JZITLOS,X,O,X,X,X,X
JZITSLO,X,O,O,X,X,X
JZITSOL,X,O,O,X,X,X
JZITOLS,X,O,X,X,X,X
JZITOSL,X,O,O,X,X,X
JZILTSO,X,O,X,X,X,X
JZILTOS,O,O,X,X,X,X
JZILSTO,X,X,O,X,X,O
JZILSOT,O,O,X,X,X,O
JZILOTS,O,O,X,X,X,X
JZILOST,O,O,X,X,O,O
JZISTLO,X,O,O,X,X,O
JZISTOL,X,O,O,X,O,O
JZISLTO,X,X,O,X,X,O
JZISLOT,X,O,X,X,X,O
JZISOTL,X,O,X,X,O,O
JZISOLT,X,O,X,X,O,O
JZIOTLS,X,O,X,X,X,X
JZIOTSL,X,O,X,X,X,X
JZIOLTS,O,O,X,X,X,X
JZIOLST,O,O,X,X,O,O
JZIOSTL,X,O,X,X,O,O
JZIOSLT,X,O,X,X,O,O
JZLTISO,O,O,X,X,X,X
JZLTIOS,O,O,X,X,X,X
JZLTSIO,O,O,X,X,X,X
JZLTSOI,O,O,X,X,X,X
JZLTOIS,O,O,X,X,X,X
JZLTOSI,O,O,X,X,X,X
JZLITSO,O,O,X,X,X,X
JZLITOS,O,O,X,X,X,X
JZLISTO,X,X,O,X,X,O
JZLISOT,O,O,X,X,X,O
JZLIOTS,O,O,X,X,X,X
JZLIOST,O,O,X,X,O,O
JZLSTIO,X,X,O,X,X,O
