sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFfgBzcBUhB+?pBtqBiqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFzcB/pBxlBa?mB9qBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhFzcBRgBUhB2?pBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je6/IvhF/gBzcBZkBN?mB8pBuqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeN/IvhF8hBRlBilBX?mBTpBGqB
TIOSLZJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X
TIOSZJL,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
TIOZJLS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TIOZSJL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TLISZOJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X
TLISOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLIZSOJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TLIZOJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X
TLIOJSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIOJZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TLIOSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
TLIOZJS,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X
TLJISZO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJSIZO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLJSZOI,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLJSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJZSIO,X,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TLJZSOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLJZOIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLJOISZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSIOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSJZOI,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSJOIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TLSZJIO,O,O,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSZJOI,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSZOIJ,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TLSZOJI,O,O,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TLSOZJI,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZIJSO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLZISOJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TLZIOJS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TLZJISO,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZJSIO,X,O,O,X,O,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZJSOI,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZJOIS,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZJOSI,X,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZSIJO,X,X,O,X,O,O,X,O,O,O,O,O,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZSIOJ,X,O,X,X,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X
TLZSJIO,X,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZSJOI,X,O,O,X,O,O,X,X,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZSOIJ,X,O,X,X,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X
TLZSOJI,X,O,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZOIJS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TLZOJIS,X,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZOJSI,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZOSIJ,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X
TLZOSJI,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLOIJSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOIJZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOISJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOISZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
TLOIZJS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
TLOJISZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOJIZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
TLOJSIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOSIZJ,O,O,X,X,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOSJIZ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X
TLOSZJI,O,O,X,X,O,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLOZIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X
TLOZJIS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLOZSIJ,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLOZSJI,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TJILSZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISLZO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TJISZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TJIZSLO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TJIZOSL,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLSIZO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TJLSZOI,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TJLSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOZI,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLZSIO,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TJLZSOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TJLZOIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TJLOISZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
