sequence,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBXiBllBc?sBTrBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBTiBllBc?rBXsBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiB6?rBcsBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFKiBzdB3gBc?mBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBlmBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFyiB3gBcmBT?iBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBS?sBzqB0rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllBcrBT?nBCrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFzdBllBGnBZ?nBXrB6rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBFhBXiB6?qBcsBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBfnBunBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBfnB6nBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFmdBSnBllBx?rBzrBXrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllB3mBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhF1lBRiB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBTiBllBx?rBqrB0qB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lBUiBq?rB3nBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBWnBllB3?nB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8CJvhFzhBllBxrB6?qBOrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeT8IvhF8iBllBxrB3?rB6qBOsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBFiBxlBc?sB6qBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFfiB8iB1lBS?rBTnBRwB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBc?sBCrBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8BJvhFzdBllBxrBX?sB6qBOrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX9IvhF8iBllBxrBz?rB6qBOrB
SLIZOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLIZOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLIOTJZ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SLIOTZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIOJTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIOJZT,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLIOZTJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLIOZJT,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJTIZO,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLJTIOZ,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJTZIO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJTZOI,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJTOIZ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJTOZI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJITZO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLJITOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLJIZTO,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJIZOT,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJIOTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJIOZT,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZTIO,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZTOI,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZITO,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZIOT,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZOTI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJZOIT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJOTIZ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOTZI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOITZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOIZT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLJOZTI,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOZIT,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
