sequence,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFzdB5jB3hBm?nBimBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhF8hBGeBamB3?iBToBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBGeBZnBq?sB/tBTrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFTeBamBFiBf?sBGtB0sB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBfjB6jBZ?nBTrBWyB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFXdBTeBUhB1?nBStBmrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFxdBzhBfoB6?oBOmBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhBaoB3?iBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JefCJvhFxdBUhBCjBT?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhB3iBa?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhF5jBFhBynBf?sBmqBzsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeR9IvhFcjBFhBTiBf?sBSyBmqB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhFUhBxnBfoB6?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhFFhBfsBxsBT?tBmqBCtB
IZLJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IZLJSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLSTJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLSJTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZLSOJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLOTJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
IZLOJTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJTLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJTSLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IZJTOLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJTOSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IZJLTSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IZJLSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJSTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZJOTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IZJOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IZJOSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSTLOJ,X,X,O,X,X,X,O,O,X,O,O,X,X,X
IZSTJLO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IZSTJOL,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTJO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZSLTOJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X
IZSLJTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZSLJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZSLOJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJTLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZSOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSOLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,X,O,O,O,X,X,O,X
IZOTJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,O,X,X,X,X,O,X,X,O,X
IZOTSLJ,X,X,O,X,X,X,X,O,O,O,X,X,O,X
IZOTSJL,O,O,O,X,O,X,X,X,X,O,X,X,O,X
IZOLTJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
IZOLJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOJTLS,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZOJTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IZOJLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOJSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IZOSTJL,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IZOSLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOSLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOSJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,O,O,X,X,X,X,X
IOTJLSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X
IOTSZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTZLJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X
IOTZJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOTZSJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOLTJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
IOLJTSZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IOLJSZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLJZST,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLSZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOLZJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IOLZSJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOJTLSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJTLZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJTZLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJLTZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJZTSL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSTZJL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSLZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOZTJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOZLTJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
IOZLJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IOZLSJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZJTLS,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IOZJTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IOZJLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZJSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOZSTJL,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOZSLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZSLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZSJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
LTISJOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTISZJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTISZOJ,X,O,O,X,X,O,O,O,X,O,O,O,X,X
LTISOJZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
LTIZJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIZSJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
LTIZSOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
LTIZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
LTIOJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIOZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJSZIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJSOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJZISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJZSIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LTJZOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
LTSIJOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTSIZOJ,X,O,O,X,X,O,O,O,X,O,O,O,X,O
LTSIOJZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,O
LTSJIZO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTSJIOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSJZIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTSJZOI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
LTSJOIZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSJOZI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
LTSZIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTSZIOJ,X,O,O,X,X,O,O,O,O,O,O,O,X,O
LTSZJIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LTSZJOI,O,O,O,O,X,O,O,X,O,X,X,O,X,X
LTSZOIJ,X,O,O,X,X,O,O,O,O,O,O,O,X,X
LTSZOJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LTSOIJZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
LTSOJIZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTSOJZI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
LTSOZIJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
LTSOZJI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
LTZIJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
LTZISOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
LTZIOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
LTZJISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZJSIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LTZJOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZSIOJ,X,O,O,X,X,O,O,O,O,O,O,O,X,O
LTZSJIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZSJOI,O,O,O,X,X,O,O,X,O,X,X,O,X,X
LTZSOIJ,X,O,O,X,X,O,O,O,O,O,O,O,X,X
LTZSOJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LTZOIJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZOISJ,X,O,O,X,X,O,X,O,O,O,X,X,O,X
LTZOJIS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,O,O,O,O,X,O,X,X
LTZOSJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LTOIJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOISJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOIZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
LTOJISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOJSIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOJSZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOJZIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,X,O,O,X,X,X,X,O,X,X
LTOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTOSJZI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
LTOSZIJ,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LTOSZJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LTOZIJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
LTOZJIS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTOZJSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTOZSIJ,X,O,O,X,X,O,O,O,O,X,X,O,X,X
LTOZSJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
LITJSZO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITJZSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LITJZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LITJOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
LITSJOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LITSZJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
LITSZOJ,X,O,O,X,X,O,O,O,X,O,O,O,X,X
LITSOJZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LITSOZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
LITZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LITZSJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LITZSOJ,X,O,O,X,X,O,X,O,X,O,X,O,X,X
LITZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LITZOSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
LITOJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITOSZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITOZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LITOZSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LIJTSZO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJTZSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LIJTZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJTOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJSTZO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,O,O,O,O,O,X,X,X,X,X,X,X
LIJSZTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJSZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
