sequence,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBmdBThBK?nBfoBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBRdB3hBa?oBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB/iBajBT?hB2sBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBSiBZjB3?hBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB2iBThB3?iBysBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBidBThBm?nB3nBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFGdBZjBThB/?nBllBirB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhF3cBajBTiBO?rBlqBRxB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmdBZmBXnBz?sBqrBlqB
TZIOLSJ,O,O,X,O,O,X,X,X,X
TZIOJLS,O,O,O,O,O,O,X,O,X
TZIOJSL,X,X,O,O,X,O,X,O,X
TZIOSLJ,O,O,X,O,O,X,X,X,O
TZIOSJL,O,O,O,O,X,O,X,X,O
TZLIJSO,O,O,O,X,X,O,X,X,X
TZLIJOS,X,O,X,O,O,O,X,X,X
TZLISJO,O,O,X,X,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,O,X,X
TZLIOJS,O,O,O,O,O,O,X,X,X
TZLIOSJ,O,X,X,O,O,X,O,X,X
TZLJISO,O,O,O,X,X,O,X,X,X
TZLJIOS,X,O,X,O,O,O,X,X,X
TZLJSIO,O,O,O,X,X,O,X,X,X
TZLJSOI,O,O,O,X,O,O,X,X,X
TZLJOIS,O,O,O,O,O,O,X,X,X
TZLJOSI,O,O,O,O,O,O,X,X,X
TZLSIJO,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,O,X,O,X,X
TZLSJIO,O,O,X,X,X,X,X,X,X
TZLSJOI,O,O,X,X,O,X,X,X,X
TZLSOIJ,O,O,X,X,O,X,O,X,X
TZLSOJI,O,O,X,X,O,X,O,X,X
TZLOIJS,O,O,O,O,O,O,X,X,X
TZLOISJ,O,O,X,O,O,X,O,X,X
TZLOJIS,O,O,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,O,O,X,X,X
TZLOSIJ,O,O,X,O,O,X,O,X,X
TZLOSJI,O,O,X,O,O,X,O,X,X
TZJILSO,O,O,O,X,X,O,X,X,X
TZJILOS,X,O,X,O,O,O,X,X,X
TZJISLO,O,O,O,X,X,O,X,X,X
TZJISOL,O,O,O,O,X,X,X,O,X
TZJIOLS,O,O,O,O,O,O,X,O,X
TZJIOSL,X,X,O,O,X,O,X,O,X
TZJLISO,O,O,O,X,X,O,X,X,X
TZJLIOS,X,O,X,O,O,O,X,X,X
TZJLSIO,O,O,O,X,X,O,X,X,X
TZJLSOI,O,O,O,X,O,O,X,X,X
TZJLOIS,O,O,O,O,O,O,X,X,X
TZJLOSI,O,O,O,O,O,O,X,X,X
TZJSILO,O,O,O,X,X,O,X,X,X
TZJSIOL,O,O,O,O,X,X,X,O,X
TZJSLIO,O,O,O,X,X,O,X,X,X
TZJSLOI,O,O,O,X,X,O,X,X,X
TZJSOIL,O,O,O,O,X,O,X,X,X
TZJSOLI,O,O,O,O,X,O,X,X,X
TZJOILS,O,O,O,O,O,O,X,X,X
TZJOISL,X,X,O,O,X,O,X,X,X
TZJOLIS,O,O,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,O,O,X,X,X
TZJOSIL,X,O,O,O,X,O,X,X,X
TZJOSLI,X,O,O,O,X,O,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X
TZSILOJ,O,O,X,X,O,X,O,X,X
TZSIJLO,O,O,O,X,X,O,X,X,X
TZSIJOL,O,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,X,O,O,X,X,X,X
TZSIOJL,O,O,O,O,X,O,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,O,X,O,X,X
TZSLJIO,O,O,X,X,X,X,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X,X
TZSLOIJ,O,O,X,X,O,X,O,X,X
TZSLOJI,O,O,X,X,O,X,O,X,X
TZSJILO,O,O,O,X,X,O,X,X,X
TZSJIOL,O,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,O,X,X,X
TZSJLOI,O,O,O,X,X,O,X,X,X
TZSJOIL,O,O,O,O,X,O,X,X,X
TZSJOLI,O,O,O,O,X,O,X,X,X
TZSOILJ,O,O,X,O,O,X,X,X,X
TZSOIJL,O,O,O,O,X,O,X,X,X
TZSOLIJ,O,O,X,O,O,X,X,X,X
TZSOLJI,O,O,X,O,O,X,X,X,X
TZSOJIL,O,O,O,O,X,O,X,X,X
TZSOJLI,O,O,O,O,X,O,X,X,X
TZOILJS,O,O,O,O,O,O,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,X
TZOIJLS,O,O,O,O,O,O,X,X,X
TZOIJSL,X,X,O,O,X,O,X,X,X
TZOISLJ,O,O,X,O,O,X,X,X,O
TZOISJL,O,O,O,O,X,O,X,X,O
TZOLIJS,O,O,O,O,O,O,X,X,X
TZOLISJ,O,O,X,O,O,X,X,X,X
TZOLJIS,O,O,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,O,O,X,X,X
TZOLSIJ,O,O,X,O,O,X,X,X,X
TZOLSJI,O,O,X,O,O,X,X,X,X
TZOJILS,O,O,O,O,O,O,X,X,X
TZOJISL,X,X,O,O,X,O,X,X,X
TZOJLIS,O,O,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,O,O,X,X,X
TZOJSIL,X,O,O,O,X,O,X,X,O
TZOJSLI,X,O,O,O,X,O,X,X,X
TZOSILJ,O,O,X,O,O,X,X,X,O
TZOSIJL,O,O,O,O,X,O,X,X,O
TZOSLIJ,O,O,X,O,O,X,X,X,X
TZOSLJI,O,O,X,O,O,X,X,X,X
TZOSJIL,O,O,O,O,X,O,X,X,O
TZOSJLI,O,O,O,O,X,O,X,X,X
TOILJSZ,O,O,O,O,O,O,X,X,X
TOILJZS,O,O,O,O,O,O,X,X,X
TOILSJZ,O,O,X,O,O,X,X,X,X
TOILSZJ,O,O,X,O,O,X,X,X,X
TOILZJS,O,O,O,O,O,O,X,X,X
TOILZSJ,O,O,X,O,O,X,X,X,X
TOIJLSZ,O,O,O,O,O,O,X,X,X
TOIJLZS,O,O,O,O,O,O,X,X,X
TOIJSLZ,X,X,O,O,X,O,X,X,X
TOIJSZL,X,X,O,O,X,O,X,X,X
TOIJZLS,O,O,O,O,O,O,X,X,X
TOIJZSL,X,X,O,O,X,O,X,X,X
TOISLJZ,O,O,X,O,O,X,X,X,O
TOISLZJ,O,O,X,O,O,X,X,X,O
TOISJLZ,X,O,O,O,X,O,X,X,O
TOISJZL,O,O,O,O,X,O,X,X,O
TOISZLJ,O,O,X,O,O,X,X,X,O
TOISZJL,O,O,O,O,X,O,X,X,O
TOIZLJS,O,O,O,O,O,O,X,X,X
TOIZLSJ,O,O,X,O,O,X,X,X,X
TOIZJLS,O,O,O,O,O,O,X,X,X
TOIZJSL,X,X,O,O,X,O,X,X,X
TOIZSLJ,O,O,X,O,O,X,X,X,O
TOIZSJL,O,O,O,O,X,O,X,X,O
TOLIJSZ,O,O,O,O,O,O,X,X,X
TOLIJZS,O,O,O,O,O,O,X,X,X
TOLISJZ,O,O,X,O,O,X,X,X,X
TOLISZJ,O,O,X,O,O,X,X,X,X
TOLIZJS,O,O,O,O,O,O,X,X,X
TOLIZSJ,O,O,X,O,O,X,X,X,X
TOLJISZ,O,O,O,O,O,O,X,X,X
TOLJIZS,O,O,O,O,O,O,X,X,X
TOLJSIZ,O,O,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,O,O,X,X,X
TOLJZIS,O,O,O,O,O,O,X,X,X
TOLJZSI,O,O,O,O,O,O,X,X,X
TOLSIJZ,O,O,X,O,O,X,X,X,X
TOLSIZJ,O,O,X,O,O,X,X,X,X
TOLSJIZ,O,O,X,O,O,X,X,X,X
TOLSJZI,O,O,X,O,O,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X
TOLSZJI,O,O,X,O,O,X,X,X,X
TOLZIJS,O,O,O,O,O,O,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X
TOLZJIS,O,O,O,O,O,O,X,X,X
TOLZJSI,O,O,O,O,O,O,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,X
TOLZSJI,O,O,X,O,O,X,X,X,X
TOJILSZ,O,O,O,O,O,O,X,X,X
TOJILZS,O,O,O,O,O,O,X,X,X
TOJISLZ,X,X,O,O,X,O,X,X,X
TOJISZL,X,X,O,O,X,O,X,X,X
TOJIZLS,O,O,O,O,O,O,X,X,X
TOJIZSL,X,X,O,O,X,O,X,X,X
TOJLISZ,O,O,O,O,O,O,X,X,X
TOJLIZS,O,O,O,O,O,O,X,X,X
TOJLSIZ,O,O,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,O,O,X,X,X
TOJLZIS,O,O,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,O,O,X,X,X
TOJSILZ,X,O,O,O,X,O,X,X,O
TOJSIZL,X,O,O,O,X,O,X,X,O
TOJSLIZ,X,O,O,O,X,O,X,X,X
TOJSLZI,X,O,O,O,X,O,X,X,X
TOJSZIL,X,O,O,O,X,O,X,X,O
TOJSZLI,X,O,O,O,X,O,X,X,X
TOJZILS,O,O,O,O,O,O,X,X,X
TOJZISL,X,X,O,O,X,O,X,X,X
TOJZLIS,O,O,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,O,O,X,X,X
TOJZSIL,X,O,O,O,X,O,X,X,O
TOJZSLI,X,O,O,O,X,O,X,X,X
TOSILJZ,O,O,X,O,O,X,X,X,O
TOSILZJ,O,O,X,O,O,X,X,X,O
TOSIJLZ,X,O,O,O,X,O,X,X,O
TOSIJZL,O,O,O,O,X,O,X,X,O
TOSIZLJ,O,O,X,O,O,X,X,X,O
TOSIZJL,O,O,O,O,X,O,X,X,O
TOSLIJZ,O,O,X,O,O,X,X,X,X
TOSLIZJ,O,O,X,O,O,X,X,X,X
TOSLJIZ,O,O,X,O,O,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X,X
TOSLZJI,O,O,X,O,O,X,X,X,X
TOSJILZ,X,O,O,O,X,O,X,X,O
TOSJIZL,O,O,O,O,X,O,X,X,O
TOSJLIZ,O,O,O,O,X,O,X,X,X
TOSJLZI,O,O,O,O,X,O,X,X,X
TOSJZIL,O,O,O,O,X,O,X,X,O
TOSJZLI,O,O,O,O,X,O,X,X,X
TOSZILJ,O,O,X,O,O,X,X,X,O
TOSZIJL,O,O,O,O,X,O,X,X,O
TOSZLIJ,O,O,X,O,O,X,X,X,X
TOSZLJI,O,O,X,O,O,X,X,X,X
TOSZJIL,O,O,O,O,X,O,X,X,O
TOSZJLI,O,O,O,O,X,O,X,X,X
TOZILJS,O,O,O,O,O,O,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X
TOZIJLS,O,O,O,O,O,O,X,X,X
TOZIJSL,X,X,O,O,X,O,X,X,X
TOZISLJ,O,O,X,O,O,X,X,X,O
TOZISJL,O,O,O,O,X,O,X,X,O
TOZLIJS,O,O,O,O,O,O,X,X,X
TOZLISJ,O,O,X,O,O,X,X,X,X
TOZLJIS,O,O,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,O,O,X,X,X
TOZLSIJ,O,O,X,O,O,X,X,X,X
TOZLSJI,O,O,X,O,O,X,X,X,X
TOZJILS,O,O,O,O,O,O,X,X,X
TOZJISL,X,X,O,O,X,O,X,X,X
TOZJLIS,O,O,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,O,O,X,X,X
TOZJSIL,X,O,O,O,X,O,X,X,O
TOZJSLI,X,O,O,O,X,O,X,X,X
TOZSILJ,O,O,X,O,O,X,X,X,O
TOZSIJL,O,O,O,O,X,O,X,X,O
TOZSLIJ,O,O,X,O,O,X,X,X,X
TOZSLJI,O,O,X,O,O,X,X,X,X
TOZSJIL,O,O,O,O,X,O,X,X,O
TOZSJLI,O,O,O,O,X,O,X,X,X
ITLJSZO,O,O,O,X,X,O,X,X,X
ITLJSOZ,O,O,O,X,X,X,X,X,X
ITLJZSO,O,O,O,X,X,O,X,X,X
ITLJZOS,X,O,X,O,O,O,X,X,X
ITLJOSZ,X,X,X,O,O,X,X,X,X
ITLJOZS,X,O,X,O,O,O,X,X,X
ITLSJZO,O,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,O,X,O,X,X
ITLSOJZ,O,O,X,X,O,X,O,X,X
ITLSOZJ,O,O,X,X,O,X,O,X,X
ITLZJSO,O,O,O,X,X,O,X,X,X
ITLZJOS,X,O,X,O,O,O,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,O,X,X
ITLZOJS,O,O,O,O,O,O,X,O,X
ITLZOSJ,O,X,X,O,O,X,O,X,X
ITLOJSZ,O,X,O,O,O,O,X,O,X
ITLOJZS,O,O,O,O,O,O,X,O,X
ITLOSJZ,O,X,X,O,O,X,O,X,X
ITLOSZJ,O,X,X,O,O,X,O,X,X
ITLOZJS,O,O,O,O,O,O,X,O,X
ITLOZSJ,O,X,X,O,O,X,O,X,X
ITJLSZO,O,O,O,X,X,O,X,X,X
ITJLSOZ,O,O,O,X,X,X,X,X,X
ITJLZSO,O,O,O,X,X,O,X,X,X
ITJLZOS,X,O,X,O,O,O,X,X,X
ITJLOSZ,X,X,X,O,O,O,X,X,X
ITJLOZS,X,O,X,O,O,O,X,X,X
ITJSLZO,O,O,O,X,X,O,X,X,X
ITJSLOZ,O,O,O,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,O,X,X,X
ITJSZOL,O,O,O,O,X,X,X,O,X
ITJSOLZ,X,O,O,O,X,X,X,O,X
ITJSOZL,O,O,O,O,X,X,X,O,X
ITJZLSO,O,O,O,X,X,O,X,X,X
ITJZLOS,X,O,X,O,O,O,X,X,X
ITJZSLO,O,O,O,X,X,O,X,X,X
ITJZSOL,O,O,O,O,X,X,X,O,X
ITJZOLS,O,O,O,O,O,O,X,O,X
ITJZOSL,X,X,O,O,X,O,X,O,X
ITJOLSZ,O,O,O,O,O,O,X,O,X
ITJOLZS,O,O,O,O,O,O,X,O,X
ITJOSLZ,X,X,O,O,X,O,X,O,X
ITJOSZL,X,X,O,O,X,O,X,O,X
ITJOZLS,O,O,O,O,O,O,X,O,X
ITJOZSL,X,X,O,O,X,O,X,O,X
ITSLJZO,O,O,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,O,X,O,X,X
ITSLOJZ,O,O,X,X,O,X,O,X,X
ITSLOZJ,O,O,X,X,O,X,O,X,X
ITSJLZO,O,O,O,X,X,O,X,X,X
ITSJLOZ,O,O,O,X,X,X,X,X,X
ITSJZLO,O,O,O,X,X,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X,X,X
ITSJOLZ,X,O,O,O,X,X,X,X,X
ITSJOZL,O,O,O,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,O,X,O,X,X
ITSZJLO,O,O,O,X,X,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,O,O,X,X,X,X
ITSZOJL,O,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,X,O,O,X,X,X,X
ITSOLZJ,O,O,X,O,O,X,X,X,X
ITSOJLZ,X,O,O,O,X,O,X,X,X
ITSOJZL,O,O,O,O,X,O,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X,X
ITSOZJL,O,O,O,O,X,O,X,X,X
ITZLJSO,O,O,O,X,X,O,X,X,X
ITZLJOS,X,O,X,O,O,O,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,O,X,X
ITZLOJS,O,O,O,O,O,O,X,O,X
ITZLOSJ,O,X,X,O,O,X,O,X,X
ITZJLSO,O,O,O,X,X,O,X,X,X
ITZJLOS,X,O,X,O,O,O,X,X,X
ITZJSLO,O,O,O,X,X,O,X,X,X
ITZJSOL,O,O,O,O,X,X,X,O,X
ITZJOLS,O,O,O,O,O,O,X,O,X
ITZJOSL,X,X,O,O,X,O,X,O,X
ITZSLJO,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,O,X,O,X,X
ITZSJLO,O,O,O,X,X,O,X,X,X
ITZSJOL,O,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,O,O,X,X,X,X
ITZSOJL,O,O,O,O,X,O,X,X,X
ITZOLJS,O,O,O,O,O,O,X,O,X
ITZOLSJ,O,O,X,O,O,X,X,X,X
ITZOJLS,O,O,O,O,O,O,X,O,X
ITZOJSL,X,X,O,O,X,O,X,O,X
ITZOSLJ,O,O,X,O,O,X,X,X,O
ITZOSJL,O,O,O,O,X,O,X,X,O
ITOLJSZ,O,O,O,O,O,O,X,O,X
ITOLJZS,O,O,O,O,O,O,X,O,X
ITOLSJZ,O,O,X,O,O,X,X,X,X
ITOLSZJ,O,O,X,O,O,X,X,X,X
ITOLZJS,O,O,O,O,O,O,X,O,X
ITOLZSJ,O,O,X,O,O,X,X,X,X
ITOJLSZ,O,O,O,O,O,O,X,O,X
ITOJLZS,O,O,O,O,O,O,X,O,X
ITOJSLZ,X,X,O,O,X,O,X,O,X
ITOJSZL,X,X,O,O,X,O,X,O,X
ITOJZLS,O,O,O,O,O,O,X,O,X
ITOJZSL,X,X,O,O,X,O,X,O,X
ITOSLJZ,O,O,X,O,O,X,X,X,O
ITOSLZJ,O,O,X,O,O,X,X,X,O
ITOSJLZ,X,O,O,O,X,O,X,X,O
ITOSJZL,O,O,O,O,X,O,X,X,O
ITOSZLJ,O,O,X,O,O,X,X,X,O
ITOSZJL,O,O,O,O,X,O,X,X,O
ITOZLJS,O,O,O,O,O,O,X,O,X
ITOZLSJ,O,O,X,O,O,X,X,X,X
ITOZJLS,O,O,O,O,O,O,X,O,X
ITOZJSL,X,X,O,O,X,O,X,O,X
ITOZSLJ,O,O,X,O,O,X,X,X,O
ITOZSJL,O,O,O,O,X,O,X,X,O
ILTJSZO,O,O,O,X,X,O,X,X,X
ILTJSOZ,O,O,O,X,X,X,X,X,X
ILTJZSO,O,O,O,X,X,O,X,X,X
ILTJZOS,X,O,X,O,O,O,X,X,X
ILTJOSZ,X,X,X,O,O,X,X,X,X
ILTJOZS,X,O,X,O,O,O,X,X,X
ILTSJZO,O,O,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,O,X,O,X,X
ILTSOJZ,O,O,X,X,O,X,O,X,X
ILTSOZJ,O,O,X,X,O,X,O,X,X
ILTZJSO,O,O,O,X,X,O,X,X,X
ILTZJOS,X,O,X,O,O,O,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,O,X,O,X,X
ILTZOJS,O,O,O,O,O,O,X,O,X
ILTZOSJ,O,X,X,O,O,X,O,X,X
ILTOJSZ,O,X,O,O,O,O,X,O,X
ILTOJZS,O,O,O,O,O,O,X,O,X
ILTOSJZ,O,X,X,O,O,X,O,X,X
ILTOSZJ,O,X,X,O,O,X,O,X,X
ILTOZJS,O,O,O,O,O,O,X,O,X
ILTOZSJ,O,X,X,O,O,X,O,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X
ILJTZOS,X,O,X,O,O,O,X,X,X
ILJTOSZ,X,X,X,O,O,X,X,X,X
ILJTOZS,X,O,X,O,O,X,X,X,X
ILJSTZO,O,X,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,X,X,X
ILJSZTO,O,O,O,X,X,O,X,X,X
ILJSZOT,O,O,O,X,X,X,O,O,X
ILJSOTZ,X,X,X,X,X,X,O,O,X
ILJSOZT,O,X,O,X,X,X,O,O,X
ILJZTSO,X,O,X,X,X,O,X,X,X
ILJZTOS,X,O,X,O,O,O,X,X,X
ILJZSTO,O,O,O,X,X,O,X,X,X
ILJZSOT,O,O,O,X,X,X,O,O,X
ILJZOTS,X,O,X,O,X,O,X,O,X
ILJZOST,X,O,X,O,X,X,O,O,X
ILJOTSZ,X,X,X,X,X,X,X,O,X
ILJOTZS,X,O,X,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,X,X,O,O,X
ILJOSZT,X,O,X,O,X,X,O,O,X
ILJOZTS,X,O,X,O,X,O,X,O,X
ILJOZST,X,O,X,O,X,X,O,O,X
ILSTJZO,O,X,X,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,X,O,X,O,X,X
ILSTOJZ,O,X,X,X,O,X,O,X,X
ILSTOZJ,O,X,X,X,O,X,O,X,X
ILSJTZO,O,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,O,X,X
ILSJOTZ,X,X,X,X,X,X,O,X,X
ILSJOZT,O,X,X,X,X,X,O,X,X
ILSZTJO,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,O,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,O,X,X
ILSZOTJ,X,X,X,X,X,X,O,X,X
ILSZOJT,O,X,X,X,X,X,O,O,X
ILSOTJZ,X,X,X,X,X,X,O,X,X
ILSOTZJ,X,X,X,X,X,X,O,X,X
ILSOJTZ,X,X,X,X,X,X,O,O,X
ILSOJZT,O,X,X,X,X,X,O,O,X
ILSOZTJ,X,X,X,X,X,X,O,X,X
ILSOZJT,O,X,X,X,X,X,O,O,X
ILZTJSO,O,O,O,X,X,O,X,X,X
ILZTJOS,X,O,X,O,O,O,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,O,X,X
ILZTOJS,O,O,O,O,O,O,X,O,X
ILZTOSJ,O,X,X,O,O,X,O,X,X
ILZJTSO,X,O,X,X,X,O,X,X,X
ILZJTOS,X,O,X,O,O,O,X,X,X
ILZJSTO,O,O,O,X,X,O,X,X,X
ILZJSOT,O,O,O,X,X,X,O,O,X
ILZJOTS,X,O,X,O,X,O,X,O,X
ILZJOST,X,O,X,O,X,X,O,O,X
ILZSTJO,O,X,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,O,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,O,X,X
ILZSOTJ,X,X,X,X,X,X,O,X,X
ILZSOJT,O,X,X,X,X,X,O,O,X
ILZOTJS,X,O,X,O,O,X,X,O,X
ILZOTSJ,X,O,X,O,O,X,O,X,X
ILZOJTS,X,O,X,O,X,X,X,O,X
ILZOJST,X,O,X,O,X,X,O,O,X
ILZOSTJ,X,O,X,X,X,X,O,X,O
ILZOSJT,O,O,X,O,X,X,O,O,O
ILOTJSZ,X,O,X,O,O,X,X,O,X
ILOTJZS,X,O,X,O,O,X,X,O,X
ILOTSJZ,X,O,X,O,O,X,O,X,X
ILOTSZJ,X,O,X,O,O,X,O,X,X
ILOTZJS,X,O,X,O,O,X,X,O,X
ILOTZSJ,X,O,X,O,O,X,O,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X
ILOJTZS,X,O,X,O,X,X,X,O,X
ILOJSTZ,X,X,X,X,X,X,O,O,X
ILOJSZT,X,O,X,O,X,X,O,O,X
ILOJZTS,X,O,X,O,X,X,X,O,X
ILOJZST,X,O,X,O,X,X,O,O,X
ILOSTJZ,X,O,X,X,X,X,O,X,O
ILOSTZJ,X,O,X,X,X,X,O,X,O
ILOSJTZ,X,O,X,X,X,X,O,O,O
ILOSJZT,O,O,X,O,X,X,O,O,O
ILOSZTJ,X,O,X,X,X,X,O,X,O
ILOSZJT,O,O,X,O,X,X,O,O,O
ILOZTJS,X,O,X,O,O,X,X,O,X
ILOZTSJ,X,O,X,O,O,X,O,X,X
ILOZJTS,X,O,X,O,X,X,X,O,X
ILOZJST,X,O,X,O,X,X,O,O,X
ILOZSTJ,X,O,X,X,X,X,O,X,O
ILOZSJT,O,O,X,O,X,X,O,O,O
IJTLSZO,O,O,O,X,X,O,X,X,X
IJTLSOZ,O,O,O,X,X,X,X,X,X
IJTLZSO,O,O,O,X,X,O,X,X,X
IJTLZOS,X,O,X,O,O,O,X,X,X
IJTLOSZ,X,X,X,O,O,O,X,X,X
IJTLOZS,X,O,X,O,O,O,X,X,X
IJTSLZO,O,O,O,X,X,O,X,X,X
IJTSLOZ,O,O,O,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,O,X,X,X
IJTSZOL,O,O,O,O,X,X,X,O,X
IJTSOLZ,X,O,O,O,X,X,X,O,X
IJTSOZL,O,O,O,O,X,X,X,O,X
IJTZLSO,O,O,O,X,X,O,X,X,X
IJTZLOS,X,O,X,O,O,O,X,X,X
IJTZSLO,O,O,O,X,X,O,X,X,X
IJTZSOL,O,O,O,O,X,X,X,O,X
IJTZOLS,O,O,O,O,O,O,X,O,X
IJTZOSL,X,X,O,O,X,O,X,O,X
IJTOLSZ,O,O,O,O,O,O,X,O,X
IJTOLZS,O,O,O,O,O,O,X,O,X
IJTOSLZ,X,X,O,O,X,O,X,O,X
IJTOSZL,X,X,O,O,X,O,X,O,X
IJTOZLS,O,O,O,O,O,O,X,O,X
IJTOZSL,X,X,O,O,X,O,X,O,X
IJLTSZO,X,O,X,X,X,O,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X
IJLTZSO,X,O,X,X,X,O,X,X,X
IJLTZOS,X,O,X,O,O,O,X,X,X
IJLTOSZ,X,X,X,O,O,O,X,X,X
IJLTOZS,X,O,X,O,O,O,X,X,X
IJLSTZO,O,X,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,X,X,X
IJLSZTO,O,O,O,X,X,O,X,X,X
IJLSZOT,O,O,O,X,X,X,O,O,X
IJLSOTZ,X,X,X,X,X,X,O,O,X
IJLSOZT,O,X,O,X,X,X,O,O,X
IJLZTSO,X,O,X,X,X,O,X,X,X
IJLZTOS,X,O,X,O,O,O,X,X,X
IJLZSTO,O,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,X,X,X,O,O,X
IJLZOTS,X,O,X,O,X,O,X,O,X
IJLZOST,X,O,X,O,X,X,O,O,X
IJLOTSZ,X,X,X,X,X,X,X,O,X
IJLOTZS,X,O,X,O,X,X,X,O,X
IJLOSTZ,X,X,X,X,X,X,O,O,X
IJLOSZT,X,O,X,O,X,X,O,O,X
IJLOZTS,X,O,X,O,X,O,X,O,X
IJLOZST,X,O,X,O,X,X,O,O,X
IJSTLZO,X,X,O,X,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X,X
IJSTZOL,O,X,O,O,X,X,X,O,X
IJSTOLZ,X,X,O,O,X,X,X,O,X
IJSTOZL,X,X,O,O,X,X,X,O,X
