sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
IZLJTSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJTOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLJSTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLSTOJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
IZLSJTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOTJS,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJTSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
IZJTSOL,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O
IZJTOLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZJTOSL,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IZJLTSO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
IZJSTOL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
IZJSLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
IZSTLOJ,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
IZSTJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
IZSTJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
IZSTOLJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
IZSTOJL,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
IZSLTJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
IZSLTOJ,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O
IZSLJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZSJTOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZSJLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSOTJL,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZOTLSJ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O
IZOTJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IZOTJSL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O
IZOTSLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
IZOTSJL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O
IZOLTJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOLJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IZOJTSL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O
IZOJLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
IZOSTJL,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
IZOSJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTLSJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTLSZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTLZJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOTJLSZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTJSLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOTJZSL,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O
IOTSLJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOTSZJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOTZLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
IOTZJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOTZJSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOTZSLJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
IOTZSJL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
IOLTJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTZJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOLJTSZ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOLJSTZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLJZST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOLZJTS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOLZSJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJTSLZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
IOJTSZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOJTZLS,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOJTZSL,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O
IOJLTSZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJLSTZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJLZST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOJSTZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOJSLTZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJSLZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOJZTSL,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O
IOJZLTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOSTZJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOSLTJZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSJLTZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSJLZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOSZTJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOZTLSJ,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
IOZTJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOZTJSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOZTSLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
IOZTSJL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
IOZLTJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O
IOZLJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZLSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOZJTSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOZJLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O
IOZJSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOZSTJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
IOZSJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTISJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LTISOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTISOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LTIZJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTIZJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
LTIZSJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
LTIZSOJ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O,O
LTIZOJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LTIZOSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LTIOZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LTIOZSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
LTJISZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJSZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJZIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTJZSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTJZSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LTJZOIS,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LTJZOSI,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LTJOISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTJOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJOZSI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTSIJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LTSJIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSJZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTSJZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSJOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTSZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
LTSZJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
LTSZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTSZOJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
LTSOIJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSOJZI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTSOZJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
LTZIJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTZIJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
LTZISJO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
LTZISOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O
LTZIOJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
LTZIOSJ,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTZJISO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTZJIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTZJSIO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZJSOI,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTZJOIS,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
LTZJOSI,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
LTZSIJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
LTZSIOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
LTZSJIO,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
LTZSJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
LTZSOIJ,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X
LTZSOJI,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X
LTZOIJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
LTZOISJ,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
LTZOJIS,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
LTZOJSI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
LTZOSIJ,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
LTZOSJI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
LTOIJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOIJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTOISJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LTOISZJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LTOIZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LTOIZSJ,X,X,O,X,O,O,O,O,O,X,O,X,X,X,X,O
LTOJISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTOJSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
LTOJZIS,O,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X
LTOJZSI,O,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X
LTOSIJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LTOSJZI,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
LTOSZIJ,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
LTOSZJI,O,O,O,X,O,O,O,O,O,O,X,X,O,X,X,X
LTOZIJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
