sequence,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBfrB6?rBmnBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBzlB+?rBinB3sB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBKsBz?nBGmBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBUiBThBf?rBysBWxB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBumBXhBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeF8IvhFxdB6lB3hBO?sB8sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBmnBf?rB6rBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBmnBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBOsB8?sBCmBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhF1hBxiBGmBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBinBW?rB3sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex8IvhFlgBUiBOoB6?rBfrBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhFqhB8lBusBZ?nBFoBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhF3hBZnBznBG?mBUrBCtB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeX9IvhFlgBOoBxmBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeG8IvhFlgBymBXjBU?rBRsBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JefCJvhFlgB6nBOoB0?mBzlBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB2nB0mBz?lBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhBXjB2rBC?mB0nBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhB0iB2rBC?mBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB/nBOoB0?mBzlBxwB
ISJLTOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISJLZOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZTOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISJZLOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJOTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ISJOLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ISZTLOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
ISZTJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZTOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZLTJO,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ISZLTOJ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ISZLJTO,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
ISZLJOT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISZLOJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
ISZJTOL,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O
ISZJLOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZOTJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOLTJ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
ISZOLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZTJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
ISOZLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZTLJOS,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZTLSJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZTLSOJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTLOJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
IZTJLOS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IZTJSLO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
IZTJSOL,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTJOLS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZTJOSL,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IZTSLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTOLJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOJSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTOSJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZLTJSO,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLTJOS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLTSJO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZLTSOJ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
IZLJTOS,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLJSTO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZLJSOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZLJOST,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IZLSTOJ,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
IZLSJTO,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZLSJOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
IZJTLOS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IZJTSLO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
IZJTSOL,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IZJTOLS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZJTOSL,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IZJLTSO,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
IZJLTOS,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJLSTO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZJLSOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
IZJSTOL,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IZJSLTO,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZJSLOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZJOTSL,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
IZJOLTS,X,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IZJOLST,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IZSTJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
IZSTOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZSLTJO,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IZSLTOJ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
IZSLJTO,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSLJOT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
IZSJTOL,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O
IZSJLOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSOTJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTJSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOTSJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZOLTJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOJTSL,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IZOJLST,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZOSLTJ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTJLZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOTJSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X
IOTJZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOTSLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOTZLJS,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTZSJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
IOLTJSZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLSZJT,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTSLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOJTSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X
IOJTZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOJLTSZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLSTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOJSTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X
IOJSLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZTSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOJZLTS,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
