sequence,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhF3bBuhBciBZmBTl?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFTdBFgBXhB0hBmq?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhFRcBciBOlBThBfr?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFlbBGdBihBTlBxr?B3rB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFUgBFhBXiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBalBFiBGmBTn?BUrB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8JeR8IvhFciBFgBThBfrBmk?BCsB,v115@7gC8GeD8EeE8FeF8BeD8JeaBJvhFTdBFgBfrBUnB5m?BmpB
TSLZJIO,O,X,O,X,O,X,O,O,O,X,X,O
TSLZJOI,O,X,O,X,O,X,O,O,O,X,O,O
TSLZOIJ,O,X,O,X,O,X,O,O,X,X,O,O
TSLZOJI,O,X,O,X,O,X,O,O,O,X,O,O
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,O,X,X,O,X
TSLOJIZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLOJZI,O,O,O,X,X,X,X,O,X,X,O,X
TSLOZIJ,O,X,O,X,O,X,X,O,X,X,O,O
TSLOZJI,O,X,O,X,O,X,X,O,X,X,O,O
TSJILZO,X,O,O,X,X,O,X,X,X,X,X,X
TSJILOZ,X,O,O,X,X,X,X,X,X,X,X,X
TSJIZLO,X,X,O,X,X,X,O,O,X,X,X,X
TSJIZOL,X,O,O,X,X,X,O,X,X,X,X,X
TSJIOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSJIOZL,X,O,O,X,X,X,X,X,X,X,X,X
TSJLIZO,X,O,O,X,X,O,X,X,X,O,X,X
TSJLIOZ,X,O,O,X,X,X,X,X,X,O,X,X
TSJLZIO,X,O,O,X,O,O,O,O,X,O,X,O
TSJLZOI,X,O,O,X,O,O,O,O,X,O,O,O
TSJLOIZ,X,O,O,X,X,X,X,X,X,O,X,X
TSJLOZI,X,O,O,X,X,O,X,X,X,O,O,X
TSJZILO,X,X,O,X,X,X,O,O,X,X,X,X
TSJZIOL,X,O,O,X,X,X,O,X,X,X,X,X
TSJZLIO,X,X,O,X,X,O,O,O,X,O,X,O
TSJZLOI,X,X,O,X,X,O,O,O,X,O,O,O
TSJZOIL,X,O,O,X,X,X,O,X,X,X,O,X
TSJZOLI,X,O,O,X,X,X,O,O,X,X,O,O
TSJOILZ,X,O,X,X,X,X,X,X,X,X,X,X
TSJOIZL,X,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,X,O,O,X,X,X,X,X,X,X,X,X
TSJOLZI,X,O,O,X,X,O,X,X,X,X,X,X
TSJOZIL,X,O,O,X,X,X,O,X,X,X,O,X
TSJOZLI,X,O,O,X,X,X,O,O,X,X,O,O
TSZILJO,O,X,O,X,X,X,O,X,O,X,X,O
TSZILOJ,X,X,O,X,X,X,O,X,X,X,O,O
TSZIJLO,O,X,O,X,X,X,O,X,O,X,X,X
TSZIJOL,O,X,O,X,X,X,O,X,X,X,X,X
TSZIOLJ,X,X,O,X,X,X,O,X,X,X,O,O
TSZIOJL,O,X,O,X,X,X,O,X,X,X,O,X
TSZLIJO,O,X,O,X,O,X,O,O,O,X,X,O
TSZLIOJ,O,X,O,X,O,X,O,O,X,X,O,O
TSZLJIO,O,X,O,X,O,X,O,O,O,X,X,O
TSZLJOI,O,X,O,X,O,X,O,O,O,X,O,O
TSZLOIJ,O,X,O,X,O,X,O,O,X,X,O,O
TSZLOJI,O,X,O,X,O,X,O,O,O,X,O,O
TSZJILO,O,X,O,X,X,X,O,O,O,X,X,X
TSZJIOL,O,X,O,X,X,X,O,X,X,X,X,X
TSZJLIO,O,X,O,X,X,O,O,O,O,O,X,O
TSZJLOI,O,X,O,X,X,O,O,O,O,O,O,O
TSZJOIL,O,X,O,X,X,X,O,X,X,X,O,X
TSZJOLI,O,X,O,X,X,X,O,O,O,X,O,O
TSZOILJ,O,X,O,X,X,X,O,X,X,X,O,O
TSZOIJL,O,X,O,X,X,X,O,X,X,X,O,X
TSZOLIJ,O,X,O,X,X,X,O,X,X,X,O,O
TSZOLJI,O,X,O,X,X,X,O,X,O,X,O,O
TSZOJIL,O,X,O,X,X,X,O,X,X,X,O,X
TSZOJLI,O,X,O,X,X,X,O,X,O,X,O,O
TSOILJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOILZJ,O,X,X,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,O,X,X,X,X,X,X,X,O,O
TSOIZJL,O,X,O,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,X,O,X,X,X,X,X,X,X,O,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,X,X,X,X,X,X,X,O,X
TSOLZIJ,O,X,O,X,O,X,X,X,X,X,O,O
TSOLZJI,O,X,O,X,O,X,X,X,X,X,O,O
TSOJILZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,X,X,O,X,X,X,X,X,X
TSOJZIL,O,O,O,X,X,X,X,X,X,X,O,X
TSOJZLI,O,O,O,X,X,X,X,X,X,X,O,O
TSOZILJ,O,X,O,X,X,X,O,X,X,X,O,O
TSOZIJL,O,X,O,X,X,X,O,X,X,X,O,X
TSOZLIJ,O,X,O,X,X,X,O,X,X,X,O,O
TSOZLJI,O,X,O,X,X,X,O,X,X,X,O,O
TSOZJIL,O,X,O,X,X,X,O,X,X,X,O,X
TSOZJLI,O,X,O,X,X,X,O,X,X,X,O,O
TZILJSO,O,O,O,O,O,O,X,X,O,X,X,X
TZILJOS,O,O,O,O,O,O,X,X,O,X,X,X
TZILSJO,O,X,O,O,O,O,O,O,O,X,X,X
TZILSOJ,O,X,O,X,O,X,O,O,X,X,O,X
TZILOJS,O,O,O,O,O,X,X,X,X,X,X,X
TZILOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZIJLSO,O,O,O,O,O,X,O,X,O,O,X,X
TZIJLOS,O,O,O,O,O,X,X,X,O,X,X,X
TZIJSLO,O,X,O,O,X,X,O,O,O,X,X,X
TZIJSOL,O,O,O,X,X,X,O,X,X,X,X,X
TZIJOLS,O,O,O,O,X,X,X,X,X,X,X,X
TZIJOSL,O,O,O,O,X,X,O,X,X,X,X,X
TZISLJO,O,X,O,O,X,X,O,X,O,X,X,X
TZISLOJ,O,X,O,X,X,X,O,X,X,X,O,X
TZISJLO,O,X,O,O,X,X,O,X,O,X,X,X
TZISJOL,O,X,O,X,X,X,O,X,X,X,X,X
TZISOLJ,X,X,O,X,X,X,O,X,X,X,O,X
TZISOJL,O,X,O,X,X,X,O,X,X,X,O,X
TZIOLJS,O,O,O,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,O,O,X,X,X,X,X,X,X,X
TZIOJLS,O,O,O,O,X,X,X,X,X,X,X,X
TZIOJSL,O,O,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,O,O,X,X,O,X,X,X,X,X
TZIOSJL,O,X,O,O,X,X,O,X,X,X,X,X
TZLIJSO,O,O,O,O,O,O,X,X,O,X,X,X
TZLIJOS,O,O,O,O,O,O,X,X,O,X,X,X
TZLISJO,O,X,O,O,O,O,O,O,O,X,X,X
TZLISOJ,O,X,O,X,O,X,O,O,X,X,O,X
TZLIOJS,O,O,O,O,O,X,X,X,X,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZLJISO,O,O,O,O,O,O,X,O,O,O,X,X
TZLJIOS,O,O,O,O,O,O,X,X,O,X,X,X
TZLJSIO,O,O,O,X,O,O,X,O,O,O,X,X
TZLJSOI,O,O,O,X,O,O,X,O,O,O,O,X
TZLJOIS,O,O,O,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,X,O,O,X,O,O,O,X,X
TZLSIJO,O,X,O,X,O,O,O,O,O,O,X,X
TZLSIOJ,O,X,O,X,O,X,O,O,X,X,O,X
TZLSJIO,O,X,O,X,O,O,O,O,O,O,X,X
TZLSJOI,O,X,O,X,O,O,O,O,O,O,O,X
TZLSOIJ,O,X,O,X,O,X,O,O,X,X,O,X
TZLSOJI,O,X,O,X,O,X,O,O,O,X,O,X
TZLOIJS,O,O,O,O,O,X,X,X,X,X,X,X
TZLOISJ,O,X,O,O,O,X,X,X,X,X,X,X
TZLOJIS,O,O,O,O,O,X,X,X,O,X,X,X
TZLOJSI,O,O,O,X,O,X,X,X,O,X,X,X
TZLOSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TZLOSJI,O,X,O,X,O,X,X,O,O,X,O,X
TZJILSO,O,O,O,O,O,O,O,X,O,O,X,X
TZJILOS,O,O,O,O,O,O,X,X,O,X,X,X
TZJISLO,O,X,O,O,X,X,O,O,O,X,X,X
TZJISOL,O,O,O,X,X,X,O,X,X,X,X,X
TZJIOLS,O,O,O,O,X,X,X,X,X,X,X,X
TZJIOSL,O,O,O,O,X,X,O,X,X,X,X,X
TZJLISO,O,O,O,O,O,O,O,O,O,O,X,X
TZJLIOS,O,O,O,O,O,O,X,X,O,X,X,X
TZJLSIO,O,O,O,X,O,O,O,O,O,O,X,X
TZJLSOI,O,O,O,X,O,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,X,O,O,X,O,O,O,X,X
TZJSILO,O,X,O,O,X,X,O,O,O,X,X,X
TZJSIOL,O,O,O,X,X,X,O,X,X,X,X,X
TZJSLIO,O,X,O,X,X,O,O,O,O,O,X,X
TZJSLOI,O,X,O,X,X,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,X,X,O,X,X,X,O,X
TZJSOLI,O,O,O,X,X,X,O,O,O,X,O,X
TZJOILS,O,O,O,O,X,X,X,X,X,X,X,X
TZJOISL,O,O,O,O,X,X,O,X,X,X,X,X
TZJOLIS,O,O,O,O,X,O,X,X,O,X,X,X
TZJOLSI,O,O,O,X,X,O,X,X,O,O,X,X
TZJOSIL,O,O,O,O,X,X,O,X,X,X,X,X
TZJOSLI,O,O,O,X,X,X,O,O,O,X,X,X
TZSILJO,O,X,O,O,X,X,O,X,O,X,X,O
TZSILOJ,X,X,O,X,X,X,O,X,X,X,O,O
TZSIJLO,O,X,O,O,X,X,O,X,O,X,X,X
TZSIJOL,O,X,O,X,X,X,O,X,X,X,X,X
TZSIOLJ,X,X,O,X,X,X,O,X,X,X,O,O
TZSIOJL,O,X,O,X,X,X,O,X,X,X,O,X
TZSLIJO,O,X,O,X,O,X,O,O,O,X,X,O
TZSLIOJ,O,X,O,X,O,X,O,O,X,X,O,O
TZSLJIO,O,X,O,X,O,X,O,O,O,X,X,O
TZSLJOI,O,X,O,X,O,X,O,O,O,X,O,O
TZSLOIJ,O,X,O,X,O,X,O,O,X,X,O,O
TZSLOJI,O,X,O,X,O,X,O,O,O,X,O,O
TZSJILO,O,X,O,O,X,X,O,O,O,X,X,X
TZSJIOL,O,X,O,X,X,X,O,X,X,X,X,X
TZSJLIO,O,X,O,X,X,O,O,O,O,O,X,O
TZSJLOI,O,X,O,X,X,O,O,O,O,O,O,O
TZSJOIL,O,X,O,O,X,X,O,X,X,X,O,X
TZSJOLI,O,X,O,X,X,X,O,O,O,X,O,O
TZSOILJ,O,X,O,O,X,X,O,X,X,X,O,O
TZSOIJL,O,X,O,O,X,X,O,X,X,X,O,X
TZSOLIJ,O,X,O,X,X,X,O,X,X,X,O,O
TZSOLJI,O,X,O,X,X,X,O,X,O,X,O,O
TZSOJIL,O,X,O,O,X,X,O,X,X,X,O,X
TZSOJLI,O,X,O,X,X,X,O,X,O,X,O,O
TZOILJS,O,O,O,O,X,X,X,X,X,X,X,X
TZOILSJ,O,X,O,O,X,X,X,X,X,X,X,X
TZOIJLS,O,O,O,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,O,O,X,X,X,X,X,X,X,X
TZOISLJ,O,X,O,O,X,X,O,X,X,X,X,X
TZOISJL,O,X,O,O,X,X,O,X,X,X,X,X
TZOLIJS,O,O,O,O,O,X,X,X,X,X,X,X
TZOLISJ,O,X,O,O,O,X,X,X,X,X,X,X
TZOLJIS,O,O,O,O,O,X,X,X,O,X,X,X
TZOLJSI,O,O,O,X,O,X,X,X,O,X,X,X
TZOLSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TZOLSJI,O,X,O,X,O,X,X,O,O,X,O,X
TZOJILS,O,O,O,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X,X,X,X,X
TZOJLIS,O,O,O,O,X,X,X,X,O,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X,O,O,X,X
TZOJSIL,O,O,O,O,X,X,X,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,O,O,X,X,X
TZOSILJ,O,X,O,O,X,X,O,X,X,X,O,O
TZOSIJL,O,X,O,O,X,X,O,X,X,X,O,X
TZOSLIJ,O,X,O,X,X,X,O,X,X,X,O,O
TZOSLJI,O,X,O,X,X,X,O,X,O,X,O,O
TZOSJIL,O,X,O,O,X,X,O,X,X,X,O,X
TZOSJLI,O,X,X,X,X,X,O,X,O,X,O,O
TOILJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TOILJZS,O,O,X,O,X,X,X,X,X,X,X,X
TOILSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,O,X,X,X,X,X,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X,X,X,X
TOILZSJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TOIJLZS,O,O,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,O,X,X,X,X,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,O,X,X,X,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,X,X,X,X,O
TOISZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLIJZS,O,O,X,O,X,X,X,X,X,X,X,X
TOLISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,X,O,O,X,X,X,X,X,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X,X,X,X,X
TOLIZSJ,O,X,O,O,X,X,X,X,X,X,X,X
TOLJISZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLJIZS,O,O,X,X,X,X,X,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,X,X,O,X,X,X,X
TOLJSZI,O,O,O,X,O,X,X,O,X,X,X,X
TOLJZIS,O,O,O,O,O,X,X,X,X,X,X,X
TOLJZSI,O,O,O,X,O,X,X,O,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,O,X,X,O,X
TOLSJIZ,O,O,X,X,X,X,X,O,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,O,X,X,O,X
TOLSZIJ,O,X,O,X,O,X,X,O,X,X,O,O
TOLSZJI,O,X,O,X,O,X,X,O,X,X,O,O
TOLZIJS,O,O,O,O,O,X,X,X,X,X,X,X
TOLZISJ,O,X,O,O,O,X,X,X,X,X,X,X
TOLZJIS,O,O,O,O,O,X,X,X,O,X,X,X
TOLZJSI,O,O,O,X,O,X,X,X,O,X,X,X
TOLZSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TOLZSJI,O,X,O,X,O,X,X,O,O,X,O,X
TOJILSZ,O,O,X,X,X,X,X,X,X,X,X,X
TOJILZS,O,O,X,O,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOJISZL,O,O,X,O,X,X,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOJIZSL,O,O,X,O,X,X,X,X,X,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X,X,X
TOJLIZS,O,O,X,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,X,X,O,X,X
TOJLSZI,O,O,O,X,X,O,X,X,X,O,X,X
TOJLZIS,O,O,O,O,X,O,X,X,X,X,X,X
TOJLZSI,O,O,O,X,X,O,X,X,X,O,X,X
TOJSILZ,O,O,X,X,X,X,X,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TOJSLZI,O,O,O,X,X,O,X,X,X,X,X,X
TOJSZIL,O,O,O,O,X,X,X,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,O,X,X,X,O
TOJZILS,O,O,O,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,O,O,X,X,X,X,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TOJZLSI,O,O,O,X,X,O,X,X,X,O,X,X
TOJZSIL,O,O,O,O,X,X,X,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,O,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,O,X,X,X,X,X,X,O,O
TOSIZJL,O,X,O,O,X,X,X,X,X,X,O,X
TOSLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X,X,O,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,X,X,X,X,X,X,X,O,X
TOSLZIJ,O,X,O,X,O,X,X,X,X,X,O,O
TOSLZJI,O,X,O,X,O,X,X,X,X,X,O,O
TOSJILZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,O,X,X,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,X,X,X,O,X
TOSJZLI,O,O,X,X,X,X,X,X,X,X,O,O
TOSZILJ,O,X,O,O,X,X,X,X,X,X,O,O
TOSZIJL,O,X,O,O,X,X,X,X,X,X,O,X
TOSZLIJ,O,X,O,X,X,X,X,X,X,X,O,O
TOSZLJI,O,X,O,X,X,X,X,X,X,X,O,O
TOSZJIL,O,X,O,O,X,X,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,X,X,X,X,X,O,O
TOZILJS,O,O,O,O,X,X,X,X,X,X,X,X
TOZILSJ,O,X,O,O,X,X,X,X,X,X,X,X
TOZIJLS,O,O,O,O,X,X,X,X,X,X,X,X
TOZIJSL,O,O,O,O,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,O,X,X,X,X,X,X,X,X
TOZISJL,O,X,O,O,X,X,X,X,X,X,X,X
TOZLIJS,O,O,O,O,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,O,O,X,X,X,X,X,X,X
TOZLJIS,O,O,O,O,O,X,X,X,O,X,X,X
TOZLJSI,O,O,O,X,O,X,X,X,O,X,X,X
TOZLSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TOZLSJI,O,X,O,X,O,X,X,O,O,X,O,X
TOZJILS,O,O,O,O,X,X,X,X,X,X,X,X
TOZJISL,O,O,O,O,X,X,X,X,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X,X,O,X,X,X
TOZJLSI,O,O,O,X,X,X,X,X,O,O,X,X
TOZJSIL,O,O,O,O,X,X,X,X,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,O,O,X,X,X
TOZSILJ,O,X,O,O,X,X,X,X,X,X,O,O
TOZSIJL,O,X,O,O,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,O,X,X,X,X,X,X,X,O,O
TOZSLJI,O,X,O,X,X,X,X,X,O,X,O,O
TOZSJIL,O,X,O,O,X,X,X,X,X,X,O,X
TOZSJLI,O,X,X,X,X,X,X,X,O,X,O,O
ITLJSZO,O,O,O,O,O,X,X,O,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
ITLJZSO,O,O,O,O,O,X,X,O,X,X,X,X
ITLJZOS,O,O,O,O,O,X,X,X,X,X,X,X
ITLJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ITLJOZS,X,O,X,O,X,X,X,X,X,X,X,X
ITLSJZO,O,O,X,O,X,X,X,O,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,O,X,X,X,X
ITLSZJO,O,X,O,O,O,X,X,O,X,X,X,X
ITLSZOJ,O,X,O,X,O,X,X,O,X,X,O,X
ITLSOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,O,X,X,O,X
ITLZJSO,O,O,O,O,O,X,X,X,O,X,X,X
ITLZJOS,O,O,O,O,O,X,X,X,O,X,X,X
ITLZSJO,O,X,O,O,O,X,X,O,O,X,X,X
ITLZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
ITLZOJS,O,O,O,O,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ITLOJZS,O,O,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,O,O,X,X,X,X,X,X,X,X
ITLOZJS,O,O,X,O,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,O,X,X,X,X,X,X,X,X
ITJLSZO,O,O,O,O,X,O,X,X,X,O,X,X
ITJLSOZ,X,O,O,X,X,X,X,X,X,O,X,X
ITJLZSO,O,O,O,O,X,O,X,X,X,O,X,X
ITJLZOS,O,O,O,O,X,O,X,X,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ITJLOZS,X,O,X,O,X,X,X,X,X,X,X,X
ITJSLZO,O,O,O,X,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,O,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,O,X,X,X,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X,X,X,X
ITJZLSO,O,O,O,O,O,O,O,X,X,O,X,X
ITJZLOS,X,O,O,O,O,O,X,X,X,X,X,X
ITJZSLO,O,X,O,O,X,X,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,O,X,X,X,X,X
ITJZOLS,X,O,O,O,X,X,X,X,X,X,X,X
ITJZOSL,O,O,O,X,X,X,O,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJOLZS,X,O,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,X,O,X,O,X,X,X,X,X,X,X,X
ITJOSZL,X,O,X,O,X,X,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,O,X,X,X,X,X,X,X,X
ITSLJZO,O,O,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,O,X,O,X,X,X,X,X,X,O
ITSLZOJ,O,X,O,X,O,X,X,X,X,X,O,O
ITSLOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,O,X,X,X,X,X,X,X,O,X
ITSJLZO,O,O,X,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,X,X,X,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,O,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X,X,X,X
ITSZLJO,O,X,O,X,X,X,O,X,X,X,X,O
ITSZLOJ,O,X,O,X,X,X,O,X,X,X,O,O
ITSZJLO,O,X,O,X,X,X,O,X,X,X,X,X
ITSZJOL,O,X,O,X,X,X,O,X,X,X,X,X
ITSZOLJ,X,X,O,X,X,X,O,X,X,X,O,O
ITSZOJL,O,X,O,X,X,X,O,X,X,X,O,X
ITSOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,O,X,X,X,X,X,X,X,O,O
ITSOZJL,O,X,O,X,X,X,X,X,X,X,O,X
ITZLJSO,O,O,O,O,O,O,X,X,O,X,X,X
ITZLJOS,O,O,O,O,O,O,X,X,O,X,X,X
ITZLSJO,O,X,O,O,O,O,O,O,O,X,X,X
ITZLSOJ,O,X,O,X,O,X,O,O,X,X,O,X
ITZLOJS,O,O,O,O,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITZJLSO,O,O,O,O,O,X,O,X,O,O,X,X
ITZJLOS,O,O,O,O,O,X,X,X,O,X,X,X
ITZJSLO,O,X,O,O,X,X,O,O,O,X,X,X
ITZJSOL,O,O,O,X,X,X,O,X,X,X,X,X
ITZJOLS,O,O,O,O,X,X,X,X,X,X,X,X
ITZJOSL,O,O,O,X,X,X,O,X,X,X,X,X
ITZSLJO,O,X,O,O,X,X,O,X,O,X,X,X
ITZSLOJ,O,X,O,X,X,X,O,X,X,X,O,X
ITZSJLO,O,X,O,O,X,X,O,X,O,X,X,X
ITZSJOL,O,X,O,X,X,X,O,X,X,X,X,X
ITZSOLJ,X,X,O,X,X,X,O,X,X,X,O,X
ITZSOJL,O,X,O,X,X,X,O,X,X,X,O,X
ITZOLJS,O,O,O,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X,X,X,X,X
ITZOJLS,O,O,O,O,X,X,X,X,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X,X,X,X,X,X
