sequence,v115@PhC8GeD8BeB8AeC8JeT/IvhFelBChBxiBlmBcsB3qB,v115@PhC8GeD8BeB8AeC8Je/EJvhFRgBzhBCjBOqB8qBFsB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBzkB+qB3mBcsB,v115@PhC8GeD8BeB8AeC8JemAJvhFzhBCjBxkB0kB3qBFsB,v115@PhC8GeD8BeB8AeC8Jex/IvhFmhBCjB0kBXmBFsBTqB,v115@PhC8GeD8BeB8AeC8Je/EJvhFUgBamBWnBxnBTqBFsB,v115@PhC8GeD8BeB8AeC8JemBJvhFCjBxkBXmB0kBFsBTqB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBWqB3mBcsBTqB,v115@PhC8GeD8BeB8AeC8Je3BJvhFxkBOsBlkBUmBCoBTqB
TZLIJOS,O,O,O,O,O,O,X,X,X
TZLISJO,O,O,O,X,O,O,O,O,X
TZLISOJ,O,O,O,X,O,O,X,O,X
TZLIOJS,O,O,O,O,O,O,X,X,X
TZLIOSJ,O,O,O,X,O,O,X,X,X
TZLJISO,O,O,O,X,O,O,X,O,X
TZLJIOS,O,O,O,X,O,O,X,X,X
TZLJSIO,O,O,O,X,O,O,O,O,X
TZLJSOI,O,O,O,X,O,O,X,O,X
TZLJOIS,O,O,O,X,O,O,X,X,X
TZLJOSI,O,O,X,X,O,O,X,X,X
TZLSIJO,O,O,O,O,O,O,O,O,X
TZLSIOJ,O,O,O,O,O,O,X,O,X
TZLSJIO,O,O,O,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O,X,O,X
TZLSOIJ,O,O,O,O,O,O,X,O,X
TZLSOJI,O,O,X,O,O,O,X,X,X
TZLOIJS,O,O,O,O,O,O,X,X,X
TZLOISJ,O,O,O,X,O,O,X,X,X
TZLOJIS,O,O,O,X,O,O,X,X,X
TZLOJSI,O,O,O,X,O,O,X,X,X
TZLOSIJ,O,O,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,O,O,X,X,X
TZJILSO,O,O,O,X,O,O,X,O,X
TZJILOS,O,O,O,X,O,O,X,X,X
TZJISLO,O,O,O,X,O,O,X,O,X
TZJISOL,O,O,O,X,O,O,X,O,X
TZJIOLS,O,O,O,X,O,O,X,X,X
TZJIOSL,O,O,O,X,X,O,X,X,X
TZJLISO,O,O,O,X,O,O,X,O,X
TZJLIOS,O,O,O,X,O,O,X,X,X
TZJLSIO,O,O,O,X,O,O,O,O,X
TZJLSOI,O,O,O,X,O,O,X,O,X
TZJLOIS,O,O,O,X,O,O,X,X,X
TZJLOSI,O,O,O,X,O,O,X,X,X
TZJSILO,O,O,O,X,O,O,O,O,X
TZJSIOL,O,O,O,X,O,O,X,O,X
TZJSLIO,O,O,O,X,O,O,O,O,X
TZJSLOI,O,O,O,X,O,O,X,O,X
TZJSOIL,O,O,O,X,O,O,X,O,X
TZJSOLI,O,O,O,X,O,O,X,O,X
TZJOILS,O,O,O,X,O,O,X,X,X
TZJOISL,O,O,O,X,X,O,X,X,X
TZJOLIS,O,O,O,X,O,O,X,X,X
TZJOLSI,O,O,O,X,O,O,X,X,X
TZJOSIL,O,O,O,X,O,O,X,X,X
TZJOSLI,O,O,O,X,O,O,X,X,X
TZSILJO,O,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,X,O,X
TZSIJLO,O,O,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,O,X,O,X
TZSIOLJ,O,O,O,O,O,O,X,O,X
TZSIOJL,O,O,O,O,O,O,X,O,X
TZSLIJO,O,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,O,X,O,X
TZSLJIO,O,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,X,O,X
TZSLOIJ,O,O,O,O,O,O,X,O,X
TZSLOJI,O,O,X,O,O,O,X,X,X
TZSJILO,O,O,O,O,O,O,O,O,X
TZSJIOL,O,O,O,O,O,O,X,O,X
TZSJLIO,O,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,X,O,X
TZSJOIL,O,O,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,O,O,X,O,X
TZSOILJ,O,O,O,O,O,O,X,O,X
TZSOIJL,O,O,O,O,O,O,X,O,X
TZSOLIJ,O,O,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,O,O,X,O,X
TZOILJS,O,O,O,O,O,O,X,X,X
TZOILSJ,O,O,O,X,O,O,X,X,X
TZOIJLS,O,O,O,O,O,O,X,X,X
TZOIJSL,O,O,O,X,X,O,X,X,X
TZOISLJ,O,O,O,X,O,O,X,X,X
TZOISJL,O,O,O,X,O,O,X,X,X
TZOLIJS,O,O,O,O,O,O,X,X,X
TZOLISJ,O,O,O,X,O,O,X,X,X
TZOLJIS,O,O,O,X,O,O,X,X,X
TZOLJSI,O,O,O,X,O,O,X,X,X
TZOLSIJ,O,O,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,O,O,X,X,X
TZOJILS,O,O,O,X,O,O,X,X,X
TZOJISL,O,O,O,X,X,O,X,X,X
TZOJLIS,O,O,O,X,O,O,X,X,X
TZOJLSI,O,O,O,X,O,O,X,X,X
TZOJSIL,O,O,O,X,O,O,X,X,X
TZOJSLI,O,O,O,X,O,O,X,X,X
TZOSILJ,O,O,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X
TZOSJLI,O,O,O,O,O,O,X,X,X
TOILJSZ,X,X,O,O,X,O,X,X,X
TOILJZS,X,X,O,O,X,O,X,X,X
TOILSJZ,X,O,X,O,X,O,O,X,X
TOILSZJ,X,O,X,O,X,O,X,X,X
TOILZJS,X,O,O,O,X,O,X,X,X
TOILZSJ,X,O,O,X,X,O,X,X,X
TOIJLSZ,X,X,O,O,X,O,X,X,X
TOIJLZS,O,X,O,O,X,O,X,X,X
TOIJSLZ,X,X,O,O,X,O,X,X,O
TOIJSZL,X,X,X,X,X,O,X,X,O
TOIJZLS,O,X,O,O,X,O,X,X,X
TOIJZSL,O,X,O,X,X,O,X,X,X
TOISLJZ,X,O,X,O,X,O,O,X,X
TOISLZJ,X,O,X,O,X,O,X,X,X
TOISJLZ,O,O,X,O,X,O,O,X,X
TOISJZL,O,X,X,O,X,O,X,X,X
TOISZLJ,O,O,X,O,X,O,X,X,X
TOISZJL,O,O,X,O,X,O,X,X,X
TOIZLJS,O,O,O,O,X,O,X,X,X
TOIZLSJ,O,O,O,X,X,O,X,X,X
TOIZJLS,O,O,O,O,X,O,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X,X
TOIZSLJ,O,O,O,X,X,O,X,X,X
TOIZSJL,O,O,O,X,X,O,X,X,X
TOLIJSZ,X,X,O,O,X,O,X,X,X
TOLIJZS,X,X,O,O,X,O,X,X,X
TOLISJZ,X,O,X,O,X,O,O,X,X
TOLISZJ,X,O,X,O,X,O,X,X,X
TOLIZJS,X,O,O,O,X,O,X,X,X
TOLIZSJ,X,O,O,X,X,O,X,X,X
TOLJISZ,X,X,O,O,X,O,X,X,X
TOLJIZS,O,X,O,O,X,O,X,X,X
TOLJSIZ,X,O,O,O,X,O,O,X,X
TOLJSZI,O,O,O,O,O,O,X,X,X
TOLJZIS,O,O,O,X,O,O,X,X,X
TOLJZSI,O,O,O,X,O,O,X,X,X
TOLSIJZ,X,O,X,O,X,O,O,X,X
TOLSIZJ,X,O,X,O,X,O,X,X,X
TOLSJIZ,O,O,O,O,X,O,O,X,X
TOLSJZI,O,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,X,O,O,O,X,X,X
TOLSZJI,O,O,X,O,O,O,X,X,X
TOLZIJS,O,O,O,O,O,O,X,X,X
TOLZISJ,O,O,O,X,O,O,X,X,X
TOLZJIS,O,O,O,X,O,O,X,X,X
TOLZJSI,O,O,O,X,O,O,X,X,X
TOLZSIJ,O,O,O,O,O,O,X,X,X
TOLZSJI,O,O,O,O,O,O,X,X,X
TOJILSZ,X,X,O,O,X,O,X,X,X
TOJILZS,O,X,O,O,X,O,X,X,X
TOJISLZ,X,X,O,O,X,O,X,X,O
TOJISZL,X,X,O,X,X,O,X,X,O
TOJIZLS,O,X,O,O,X,O,X,X,X
TOJIZSL,O,X,O,X,X,O,X,X,X
TOJLISZ,X,X,O,O,X,O,X,X,X
TOJLIZS,O,X,O,O,X,O,X,X,X
TOJLSIZ,X,O,O,O,X,O,O,X,X
TOJLSZI,O,O,O,O,O,O,X,X,X
TOJLZIS,O,O,O,X,O,O,X,X,X
TOJLZSI,O,O,O,X,O,O,X,X,X
TOJSILZ,O,O,O,O,X,O,O,X,O
TOJSIZL,X,X,O,O,X,O,X,X,O
TOJSLIZ,O,O,O,O,X,O,O,X,X
TOJSLZI,O,O,O,O,O,O,X,X,X
TOJSZIL,X,O,O,O,O,O,X,X,X
TOJSZLI,O,O,O,O,O,O,X,X,X
TOJZILS,O,O,O,X,O,O,X,X,X
TOJZISL,O,O,O,X,X,O,X,X,X
TOJZLIS,O,O,O,X,O,O,X,X,X
TOJZLSI,O,O,O,X,O,O,X,X,X
TOJZSIL,O,O,O,X,O,O,X,X,X
TOJZSLI,O,O,O,X,O,O,X,X,X
TOSILJZ,X,O,X,O,X,O,O,X,X
TOSILZJ,X,O,X,O,X,O,X,X,X
TOSIJLZ,O,O,X,O,X,O,O,X,X
TOSIJZL,O,X,X,O,X,O,X,X,X
TOSIZLJ,O,O,X,O,X,O,X,X,X
TOSIZJL,O,O,X,O,X,O,X,X,X
TOSLIJZ,X,O,X,O,X,O,O,X,X
TOSLIZJ,X,O,X,O,X,O,X,X,X
TOSLJIZ,O,O,O,O,X,O,O,X,X
TOSLJZI,O,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,X,O,O,O,X,X,X
TOSLZJI,O,O,X,O,O,O,X,X,X
TOSJILZ,O,O,O,O,X,O,O,X,X
TOSJIZL,O,X,O,O,X,O,X,X,X
TOSJLIZ,O,O,O,O,X,O,O,X,X
TOSJLZI,O,O,O,O,O,O,X,X,X
TOSJZIL,O,O,O,O,O,O,X,X,X
TOSJZLI,O,O,O,O,O,O,X,X,X
TOSZILJ,O,O,X,O,O,O,X,X,X
TOSZIJL,O,O,X,O,O,O,X,X,X
TOSZLIJ,O,O,X,O,O,O,X,X,X
TOSZLJI,O,O,X,O,O,O,X,X,X
TOSZJIL,O,O,X,O,O,O,X,X,X
TOSZJLI,O,O,X,O,O,O,X,X,X
TOZILJS,O,O,O,O,O,O,X,X,X
TOZILSJ,O,O,O,X,O,O,X,X,X
TOZIJLS,O,O,O,O,O,O,X,X,X
TOZIJSL,O,O,O,X,X,O,X,X,X
TOZISLJ,O,O,O,X,O,O,X,X,X
TOZISJL,O,O,O,X,O,O,X,X,X
TOZLIJS,O,O,O,O,O,O,X,X,X
TOZLISJ,O,O,O,X,O,O,X,X,X
TOZLJIS,O,O,O,X,O,O,X,X,X
TOZLJSI,O,O,O,X,O,O,X,X,X
TOZLSIJ,O,O,O,O,O,O,X,X,X
TOZLSJI,O,O,O,O,O,O,X,X,X
TOZJILS,O,O,O,X,O,O,X,X,X
TOZJISL,O,O,O,X,X,O,X,X,X
TOZJLIS,O,O,O,X,O,O,X,X,X
TOZJLSI,O,O,O,X,O,O,X,X,X
TOZJSIL,O,O,O,X,O,O,X,X,X
TOZJSLI,O,O,O,X,O,O,X,X,X
TOZSILJ,O,O,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,O,O,X,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X
TOZSJLI,O,O,O,O,O,O,X,X,X
ITLJSZO,X,X,O,X,O,O,O,X,X
ITLJSOZ,X,X,O,O,X,O,O,X,X
ITLJZSO,O,X,O,X,O,O,X,O,X
ITLJZOS,O,X,O,O,O,O,X,X,X
ITLJOSZ,X,X,O,O,X,O,X,X,X
ITLJOZS,O,X,O,O,X,O,X,X,X
ITLSJZO,O,X,X,O,O,O,O,X,X
ITLSJOZ,O,O,X,O,X,O,O,X,X
ITLSZJO,O,O,X,O,O,O,O,X,X
ITLSZOJ,O,O,X,O,O,O,X,X,X
ITLSOJZ,X,O,X,O,X,O,O,X,X
ITLSOZJ,X,O,X,O,X,O,X,X,X
ITLZJSO,O,O,O,X,O,O,X,O,X
ITLZJOS,O,O,O,O,O,O,X,X,X
ITLZSJO,O,O,O,X,O,O,O,O,X
ITLZSOJ,O,O,O,X,O,O,X,O,X
ITLZOJS,O,O,O,O,O,O,X,X,X
ITLZOSJ,O,O,O,X,O,O,X,X,X
ITLOJSZ,X,X,O,O,X,O,X,X,X
ITLOJZS,X,X,O,O,X,O,X,X,X
ITLOSJZ,X,O,X,O,X,O,O,X,X
ITLOSZJ,X,O,X,O,X,O,X,X,X
ITLOZJS,X,O,O,O,X,O,X,X,X
ITLOZSJ,X,O,O,X,X,O,X,X,X
ITJLSZO,X,X,O,X,O,O,O,X,X
ITJLSOZ,X,X,O,O,X,O,O,X,X
ITJLZSO,O,X,O,X,O,O,X,O,X
ITJLZOS,O,X,O,O,O,O,X,X,X
ITJLOSZ,X,X,O,O,X,O,X,X,X
ITJLOZS,O,X,O,O,X,O,X,X,X
ITJSLZO,X,X,O,X,O,O,O,X,O
ITJSLOZ,X,X,O,O,X,O,O,X,O
ITJSZLO,X,X,X,X,O,O,O,X,O
ITJSZOL,X,X,X,X,O,O,X,X,O
ITJSOLZ,X,X,O,O,X,O,O,X,O
ITJSOZL,X,X,X,X,X,O,X,X,O
ITJZLSO,O,X,O,X,O,O,X,O,X
ITJZLOS,O,X,O,O,O,O,X,X,X
ITJZSLO,O,X,O,X,O,O,X,O,X
ITJZSOL,O,X,O,X,O,O,X,O,X
ITJZOLS,O,X,O,O,O,O,X,X,X
ITJZOSL,O,X,O,X,X,O,X,X,X
ITJOLSZ,X,X,O,O,X,O,X,X,X
ITJOLZS,O,X,O,O,X,O,X,X,X
ITJOSLZ,X,X,O,O,X,O,X,X,X
ITJOSZL,X,X,X,X,X,O,X,X,X
ITJOZLS,O,X,O,O,X,O,X,X,X
ITJOZSL,O,X,O,X,X,O,X,X,X
ITSLJZO,O,X,X,O,O,O,O,X,X
ITSLJOZ,O,O,X,O,X,O,O,X,X
ITSLZJO,O,O,X,O,O,O,O,X,X
ITSLZOJ,O,O,X,O,O,O,X,X,X
ITSLOJZ,X,O,X,O,X,O,O,X,X
ITSLOZJ,X,O,X,O,X,O,X,X,X
ITSJLZO,O,X,X,O,O,O,O,X,X
ITSJLOZ,O,O,X,O,X,O,O,X,X
ITSJZLO,O,X,X,O,O,O,O,X,X
ITSJZOL,O,X,X,O,O,O,X,X,X
ITSJOLZ,O,O,X,O,X,O,O,X,X
ITSJOZL,O,X,X,O,X,O,X,X,X
ITSZLJO,O,O,X,O,O,O,O,X,X
ITSZLOJ,O,O,X,O,O,O,X,X,X
ITSZJLO,O,O,X,O,O,O,O,X,X
ITSZJOL,O,O,X,O,O,O,X,X,X
ITSZOLJ,O,O,X,O,O,O,X,X,X
ITSZOJL,O,O,X,O,O,O,X,X,X
ITSOLJZ,X,O,X,O,X,O,O,X,X
ITSOLZJ,X,O,X,O,X,O,X,X,X
ITSOJLZ,O,O,X,O,X,O,O,X,X
ITSOJZL,O,X,X,O,X,O,X,X,X
ITSOZLJ,O,O,X,O,X,O,X,X,X
ITSOZJL,O,O,X,O,X,O,X,X,X
ITZLJSO,O,O,O,X,O,O,X,O,X
ITZLJOS,O,O,O,O,O,O,X,X,X
ITZLSJO,O,O,O,X,O,O,O,O,X
ITZLSOJ,O,O,O,X,O,O,X,O,X
ITZLOJS,O,O,O,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,O,O,X,X,X
ITZJLSO,O,O,O,X,O,O,X,O,X
ITZJLOS,O,O,O,O,O,O,X,X,X
ITZJSLO,O,O,O,X,O,O,X,O,X
ITZJSOL,O,O,O,X,O,O,X,O,X
ITZJOLS,O,O,O,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,O,X,X,X
ITZSLJO,O,O,O,X,O,O,O,O,X
ITZSLOJ,O,O,O,X,O,O,X,O,X
ITZSJLO,O,O,O,X,O,O,O,O,X
ITZSJOL,O,O,O,X,O,O,X,O,X
ITZSOLJ,O,O,O,X,O,O,X,O,X
ITZSOJL,O,O,O,X,O,O,X,O,X
ITZOLJS,O,O,O,O,O,O,X,X,X
ITZOLSJ,O,O,O,X,O,O,X,X,X
ITZOJLS,O,O,O,O,O,O,X,X,X
ITZOJSL,O,O,O,X,X,O,X,X,X
ITZOSLJ,O,O,O,X,O,O,X,X,X
ITZOSJL,O,O,O,X,O,O,X,X,X
ITOLJSZ,X,X,O,O,X,O,X,X,X
ITOLJZS,X,X,O,O,X,O,X,X,X
ITOLSJZ,X,O,X,O,X,O,O,X,X
ITOLSZJ,X,O,X,O,X,O,X,X,X
ITOLZJS,X,O,O,O,X,O,X,X,X
ITOLZSJ,X,O,O,X,X,O,X,X,X
ITOJLSZ,X,X,O,O,X,O,X,X,X
ITOJLZS,O,X,O,O,X,O,X,X,X
ITOJSLZ,X,X,O,O,X,O,X,X,X
ITOJSZL,X,X,X,X,X,O,X,X,X
ITOJZLS,O,X,O,O,X,O,X,X,X
ITOJZSL,O,X,O,X,X,O,X,X,X
ITOSLJZ,X,O,X,O,X,O,O,X,X
ITOSLZJ,X,O,X,O,X,O,X,X,X
ITOSJLZ,O,O,X,O,X,O,O,X,X
ITOSJZL,O,X,X,O,X,O,X,X,X
ITOSZLJ,O,O,X,O,X,O,X,X,X
ITOSZJL,O,O,X,O,X,O,X,X,X
ITOZLJS,O,O,O,O,X,O,X,X,X
ITOZLSJ,O,O,O,X,X,O,X,X,X
ITOZJLS,O,O,O,O,X,O,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X,X
ITOZSLJ,O,O,O,X,X,O,X,X,X
ITOZSJL,O,O,O,X,X,O,X,X,X
ILTJSZO,X,X,O,X,O,O,O,X,X
ILTJSOZ,X,X,O,O,X,O,O,X,X
ILTJZSO,X,X,O,X,O,O,X,O,X
ILTJZOS,X,X,O,O,O,O,X,X,X
ILTJOSZ,X,X,O,O,X,O,X,X,X
ILTJOZS,X,X,O,O,X,O,X,X,X
ILTSJZO,X,X,X,O,O,O,O,X,X
ILTSJOZ,X,O,X,O,X,O,O,X,X
ILTSZJO,X,O,X,O,O,O,O,X,X
ILTSZOJ,X,O,X,O,O,O,X,X,X
ILTSOJZ,X,O,X,O,X,O,O,X,X
ILTSOZJ,X,O,X,O,X,O,X,X,X
ILTZJSO,X,O,O,X,O,O,X,O,X
ILTZJOS,X,O,O,O,O,O,X,X,X
ILTZSJO,X,O,O,X,O,O,O,O,X
ILTZSOJ,X,O,O,X,O,O,X,O,X
ILTZOJS,X,O,O,O,O,O,X,X,X
ILTZOSJ,X,O,O,X,O,O,X,X,X
ILTOJSZ,X,X,O,O,X,O,X,X,X
ILTOJZS,X,X,O,O,X,O,X,X,X
ILTOSJZ,X,O,X,O,X,O,O,X,X
ILTOSZJ,X,O,X,O,X,O,X,X,X
ILTOZJS,X,O,O,O,X,O,X,X,X
ILTOZSJ,X,O,O,X,X,O,X,X,X
ILJTSZO,X,X,O,X,X,X,O,X,X
ILJTSOZ,X,X,O,O,X,X,O,X,X
ILJTZSO,X,X,O,X,X,X,X,O,X
ILJTZOS,X,X,O,O,X,X,X,X,X
ILJTOSZ,X,X,O,O,X,X,X,X,X
ILJTOZS,X,X,O,O,X,X,X,X,X
ILJSTZO,X,X,O,X,X,X,X,O,O
ILJSTOZ,X,X,O,O,X,X,X,X,O
ILJSZTO,X,X,O,X,X,X,X,O,O
ILJSZOT,X,X,O,X,X,X,X,O,O
ILJSOTZ,X,X,X,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,X,O
ILJZTSO,O,X,O,X,X,X,X,O,X
ILJZTOS,O,X,O,O,X,X,X,X,X
ILJZSTO,X,X,O,X,X,X,X,O,X
ILJZSOT,X,X,O,X,X,X,X,O,X
ILJZOTS,O,X,O,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,O,X
ILJOTSZ,X,X,O,O,X,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,X,O,X
ILSTJZO,X,X,X,O,X,O,O,X,X
ILSTJOZ,O,O,X,O,X,O,O,X,X
ILSTZJO,X,O,O,O,X,O,O,O,X
ILSTZOJ,X,O,O,O,X,O,X,O,X
ILSTOJZ,X,O,X,O,X,O,O,X,X
ILSTOZJ,X,O,X,O,X,O,X,X,X
ILSJTZO,X,X,O,O,X,X,X,O,X
ILSJTOZ,O,O,O,O,X,X,X,X,X
ILSJZTO,O,O,O,O,X,X,X,O,X
ILSJZOT,O,X,O,X,X,X,X,O,X
ILSJOTZ,O,X,X,O,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X,X
ILSZTJO,O,O,O,O,X,O,X,O,X
ILSZTOJ,O,O,O,O,X,O,X,O,X
ILSZJTO,O,O,O,O,X,X,X,O,X
ILSZJOT,O,O,O,X,X,X,X,O,X
ILSZOTJ,O,O,O,X,X,X,X,O,X
ILSZOJT,O,X,O,X,X,X,X,O,X
ILSOTJZ,X,O,X,O,X,O,X,X,X
ILSOTZJ,X,O,X,O,X,O,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X,X,X,X
ILSOZTJ,O,O,O,X,X,O,X,X,X
ILSOZJT,O,X,O,X,X,X,X,X,X
ILZTJSO,O,O,O,X,O,X,X,O,X
ILZTJOS,O,O,O,O,O,X,X,X,X
ILZTSJO,O,O,O,X,O,X,O,O,X
ILZTSOJ,O,O,O,X,O,X,X,O,X
ILZTOJS,O,O,O,O,O,X,X,X,X
ILZTOSJ,O,O,O,X,O,X,X,X,X
ILZJTSO,O,O,O,X,O,X,X,O,X
ILZJTOS,O,O,O,O,O,X,X,X,X
ILZJSTO,X,O,O,X,X,X,X,O,X
ILZJSOT,X,O,O,X,X,X,X,O,X
ILZJOTS,O,X,O,X,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,O,X
ILZSTJO,O,O,O,X,O,X,X,O,X
ILZSTOJ,O,O,O,X,O,X,X,O,X
ILZSJTO,O,O,O,X,X,X,X,O,X
ILZSJOT,O,O,O,X,X,X,X,O,X
ILZSOTJ,O,O,O,X,X,X,X,O,X
ILZSOJT,O,X,O,X,X,X,X,O,X
ILZOTJS,O,X,O,X,O,X,X,X,X
ILZOTSJ,O,X,O,X,O,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,X,O,X
ILZOSTJ,O,X,O,X,X,X,X,O,X
ILZOSJT,O,X,O,X,X,X,X,O,X
ILOTJSZ,X,X,O,O,X,O,X,X,X
ILOTJZS,X,X,O,O,X,O,X,X,X
ILOTSJZ,X,X,X,O,X,O,O,X,X
ILOTSZJ,X,X,X,X,X,O,X,X,X
ILOTZJS,X,X,O,O,X,O,X,X,X
ILOTZSJ,X,X,O,X,X,O,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X,X
ILOJSTZ,X,X,O,X,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,X
ILOJZST,X,X,O,X,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,O,X,X,X
ILOSTZJ,X,X,X,X,X,O,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,O,X,X,X
ILOSZJT,O,X,O,X,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X
ILOZJTS,O,X,O,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,X,O,X
ILOZSTJ,O,X,O,X,X,X,X,O,X
ILOZSJT,O,X,O,X,X,X,X,O,X
IJTLSZO,X,X,O,X,X,O,O,X,X
IJTLSOZ,X,X,O,O,X,O,O,X,X
IJTLZSO,O,X,O,X,X,O,X,O,X
IJTLZOS,O,X,O,O,X,O,X,X,X
IJTLOSZ,X,X,O,O,X,O,X,X,X
IJTLOZS,O,X,O,O,X,O,X,X,X
IJTSLZO,X,X,O,X,X,O,O,X,O
IJTSLOZ,X,X,O,O,X,O,O,X,O
IJTSZLO,X,X,O,X,X,O,O,X,O
IJTSZOL,X,X,O,X,X,O,X,X,O
IJTSOLZ,X,X,O,O,X,O,O,X,O
IJTSOZL,X,X,O,X,X,O,X,X,O
IJTZLSO,O,X,O,X,X,O,X,O,X
IJTZLOS,O,X,O,O,X,O,X,X,X
IJTZSLO,O,X,O,X,X,O,X,O,X
IJTZSOL,O,X,O,X,X,O,X,O,X
IJTZOLS,O,X,O,O,X,O,X,X,X
IJTZOSL,O,X,O,X,X,O,X,X,X
IJTOLSZ,X,X,O,O,X,O,X,X,X
IJTOLZS,O,X,O,O,X,O,X,X,X
IJTOSLZ,X,X,O,O,X,O,X,X,X
IJTOSZL,X,X,O,X,X,O,X,X,X
IJTOZLS,O,X,O,O,X,O,X,X,X
IJTOZSL,O,X,O,X,X,O,X,X,X
IJLTSZO,X,X,O,X,X,X,O,X,X
IJLTSOZ,X,X,O,O,X,X,O,X,X
IJLTZSO,X,X,O,X,X,X,X,O,X
IJLTZOS,X,X,O,O,X,X,X,X,X
IJLTOSZ,X,X,O,O,X,X,X,X,X
IJLTOZS,X,X,O,O,X,X,X,X,X
IJLSTZO,X,X,O,X,X,X,X,O,O
IJLSTOZ,X,X,O,O,X,X,X,X,O
IJLSZTO,X,X,O,X,X,X,X,O,O
IJLSZOT,X,X,O,X,X,X,X,O,O
IJLSOTZ,X,X,X,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,X,X,X,O
IJLZTSO,O,X,O,X,X,X,X,O,X
IJLZTOS,O,X,O,O,X,X,X,X,X
IJLZSTO,X,X,O,X,X,X,X,O,X
IJLZSOT,X,X,O,X,X,X,X,O,X
IJLZOTS,O,X,O,X,X,X,X,X,X
IJLZOST,X,X,O,X,X,X,X,O,X
IJLOTSZ,X,X,O,O,X,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,X,O,X
IJSTLZO,X,X,O,X,X,O,O,O,O
IJSTLOZ,O,X,O,O,X,O,O,X,O
IJSTZLO,O,X,O,X,X,O,O,O,O
IJSTZOL,O,X,O,X,X,O,X,O,O
IJSTOLZ,O,X,O,O,X,O,O,X,O
IJSTOZL,O,X,O,X,X,O,X,X,O
IJSLTZO,X,X,O,X,X,X,X,O,O
IJSLTOZ,O,X,O,O,X,X,X,X,O
IJSLZTO,O,X,O,X,X,X,X,O,O
IJSLZOT,O,X,O,X,X,X,X,O,O
IJSLOTZ,O,X,X,X,X,X,X,X,O
IJSLOZT,O,X,X,X,X,X,X,X,O
IJSZTLO,O,X,O,X,X,O,X,O,O
IJSZTOL,O,X,O,X,X,O,X,O,O
IJSZLTO,O,X,O,X,X,X,X,O,O
