sequence,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBThB/nB8pB+q?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBThB/nBcpBeq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je/EJvhFUgBRhB6rBTnB2u?BlqB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBThB/nBSv?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je0/IvhF6lBThB/nB2pBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nB0kB6qB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBlhBcpBeqB/r?BTsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBlhB8pBTnBGr?B3qB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nBKpBGlBUq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFzfBUiBFmB3lBWv?BCsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBlhB/rBTn?BSvB,v115@EhC8HeB8HeB8DeA8AeD8JeKEJvhFGgBThB/nBUlBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jem/IvhF5lBThB/nBipBlr?B0pB,v115@EhC8HeB8HeB8DeA8AeD8JeyEJvhF5lBThB/nB0kB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFlhBmkB/rBTnB0p?BipB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFThB/nBmkB0pBlr?BipB
IZSTOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZSLTJO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
IZSLTOJ,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
IZSLJTO,O,O,X,O,O,X,O,O,X,X,O,O,O,X,X,O
IZSLJOT,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
IZSLOTJ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSLOJT,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSJTLO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
IZSJTOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSJLTO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
IZSJLOT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O
IZSJOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IZSOTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOLTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSOLJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSOJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IZSOJLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTLJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTJS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOLJTS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZOLSTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZOLSJT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZOJTLS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOJLTS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOJSTL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZOJSLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOSTLJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
IZOSTJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IZOSLTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZOSLJT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZOSJTL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZOSJLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTLJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTJZSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTSJLZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTSZLJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTZJSL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOLJSZT,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOLJZTS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOLJZST,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X
IOLSTJZ,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,X
IOLSTZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X
IOLSJTZ,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOLSJZT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOLSZJT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOLZTJS,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O,X
IOLZSTJ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X
IOLZSJT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X
IOJTLSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJTZSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
IOJLSZT,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJLZST,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X
IOJSTLZ,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOJSTZL,O,O,O,X,O,X,O,O,X,O,X,X,X,O,O,X
IOJSLTZ,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
IOJSLZT,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOJSZTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOJSZLT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOJZTLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJZTSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
IOJZLTS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X
IOJZSTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOJZSLT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSTLJZ,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
IOSTLZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,O
IOSTJLZ,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X
IOSTJZL,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,O
IOSTZLJ,X,X,X,O,O,X,O,O,X,X,O,O,O,X,O,O
IOSTZJL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O
IOSLTJZ,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,X
IOSLTZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X
IOSLJTZ,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOSLJZT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOSLZJT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOSJTLZ,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOSJTZL,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
IOSJLTZ,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOSJLZT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSJZTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSJZLT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSZTLJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
IOSZTJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOSZLTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSZLJT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSZJTL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IOSZJLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZTLJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZTSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLTJS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOZLJST,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZLSTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZLSJT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZJTLS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZJLTS,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZJSTL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O
IOZJSLT,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZSTLJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
IOZSTJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOZSLTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZSLJT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZSJTL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IOZSJLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTIJSZO,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJSOZ,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
LTISJOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTISZJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
LTISZOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTISOJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LTISOZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTIZJSO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTIZSJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LTIZSOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJISZO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJISOZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJIZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJSIOZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJSZIO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJSZOI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJSOIZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJSOZI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
LTJZISO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZSIO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIJZO,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X
LTSIJOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSIZJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
LTSIZOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSIOJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LTSIOZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSJIZO,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X
LTSJIOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSJZIO,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,X
LTSJZOI,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,X
LTSJOIZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSJOZI,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSZIJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
LTSZIOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSZJIO,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X
LTSZJOI,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X
LTSZOIJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSZOJI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSOIJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LTSOIZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSOJIZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LTSOJZI,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LTSOZIJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTSOZJI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
LTZIJSO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZISJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZISOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZIOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZJISO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZJIOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZJSIO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZJSOI,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZSIJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZSIOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZSJIO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZSJOI,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LTZSOIJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZSOJI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZOISJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZOJIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZOJSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZOSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOIJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOISJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOISZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOJISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOSIJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSIZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSJZI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSZJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOZIJS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOZISJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOZJIS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOZJSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOZSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOZSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITJSZO,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LITJSOZ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LITJZSO,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITSJZO,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X
LITSJOZ,X,X,O,O,O,O,X,X,O,O,X,O,O,X,X,X
LITSZJO,X,X,X,O,O,X,X,X,O,O,O,O,O,X,X,X
LITSZOJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
LITSOJZ,X,X,X,O,O,O,X,X,O,X,X,O,O,X,X,X
LITSOZJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
LITZJSO,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X
LITZJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LITZSJO,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
LITZSOJ,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
LITZOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LITZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOZJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LITOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJTSZO,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X
LIJTSOZ,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X
LIJTZSO,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LIJTZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LIJTOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJSTZO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
LIJSTOZ,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
LIJSZTO,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X
LIJSZOT,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LIJSOTZ,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
LIJSOZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJZTSO,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X
LIJZTOS,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
LIJZSTO,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X
LIJZSOT,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LIJZOTS,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
LIJZOST,O,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X
LIJOTSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOSTZ,X,X,X,X,O,O,O,X,X,O,O,X,O,O,X,X
