sequence,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBzcB?CeBlmB3nBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcBCeB?3fB0mBlnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhF+hBxdB?3fBlnBzrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?lmB3nBqrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBCeB?3hBlnBzmBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?1nB6rB0sBfsB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaBFiB?XjB0mBGnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcB1nB?3fB0mBCoBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFUdBTfB?1mBXjBSsBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFzcB5iB?3fBUsBOtBlrB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFUdB3fB?1mB5nBzrBOtB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaB3hB?5nB8rBOtBFsB
TSLJZIO,O,X,X,X,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,X,X,X,X,X,X
TSLJOZI,O,O,O,X,X,X,X,X,X,X,X,X
TSLZIJO,O,X,X,X,O,X,X,X,X,O,X,X
TSLZIOJ,O,X,X,X,O,X,X,X,X,O,X,X
TSLZJIO,O,X,X,X,O,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,O,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,X,X,X,X,O,O
TSLOJIZ,X,O,O,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,O,O,X,X,X,X,X,X,O,X
TSLOZIJ,O,X,X,O,X,X,X,X,X,X,O,X
TSLOZJI,O,X,O,O,O,X,X,X,X,X,O,X
TSJILZO,X,O,X,X,X,X,X,X,X,X,X,X
TSJILOZ,X,O,O,X,X,X,X,X,X,X,X,X
TSJIZLO,X,O,X,X,X,X,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,O,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,O,X,X,X,X,X,X,X,X
TSJLIZO,X,O,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,O,O,X,X,X,X,X,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X,X,X,X,X,X
TSJZILO,O,X,X,X,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,O,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,O,X,X,X,X
TSJOILZ,X,X,O,O,X,X,X,X,X,X,X,X
TSJOIZL,X,X,O,O,X,X,X,X,X,X,X,X
TSJOLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,O,X,X,X,X,X,X,X,X
TSJOZIL,O,X,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,X,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,X,X,X,O,X,X,X,X,O,X,X
TSZILOJ,O,X,X,X,O,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,O,X,X,X,X,O,X,X
TSZIJOL,O,X,X,X,X,X,X,X,X,O,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,O,X,X
TSZLIJO,O,X,X,X,O,X,X,X,X,O,X,X
TSZLIOJ,O,X,X,X,O,X,X,X,X,O,X,X
TSZLJIO,O,X,X,X,O,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,X,X,X,X,X
TSZLOJI,O,O,X,X,O,X,X,X,X,X,X,X
TSZJILO,O,X,X,X,O,X,X,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,X,X,X,O,X,X,X,X,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,X,O,X,X,X,X
TSZJOLI,O,O,X,X,X,X,X,O,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TSZOLJI,O,O,X,O,X,X,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,O,X,X,X,X
TSZOJLI,O,O,X,O,X,X,X,O,X,X,X,X
TSOILJZ,X,X,O,O,X,X,X,X,X,X,X,X
TSOILZJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOIJLZ,X,X,O,O,X,X,X,X,X,X,X,X
TSOIJZL,X,X,O,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOIZJL,O,X,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,O,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOLJIZ,X,O,O,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X,X,X,O,X
TSOLZIJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOLZJI,O,X,O,O,X,X,X,X,X,X,O,X
TSOJILZ,X,X,O,O,X,X,X,X,X,X,X,X
TSOJIZL,X,X,O,O,X,X,X,X,X,X,X,X
TSOJLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,X,X,X,O,X
TSOJZIL,O,X,O,O,X,X,X,X,X,X,X,X
TSOJZLI,O,X,O,O,X,X,X,X,X,X,O,X
TSOZILJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOZIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,O,X,X,X,X,X,X,O,X
TSOZLJI,O,X,O,O,X,X,X,X,X,X,O,X
TSOZJIL,O,X,O,O,X,X,X,X,X,X,X,X
TSOZJLI,O,X,O,O,X,X,X,X,X,X,O,X
TZILJSO,O,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,O,O,X,X,O,X,X,O,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,O,X,X
TZILSOJ,O,O,X,X,O,X,X,X,X,O,X,X
TZILOJS,O,O,X,X,O,X,X,O,X,X,X,X
TZILOSJ,O,O,X,X,O,X,O,X,X,O,X,X
TZIJLSO,O,O,X,X,O,X,X,X,X,X,X,X
TZIJLOS,O,O,X,X,O,X,X,O,X,X,X,X
TZIJSLO,O,O,X,X,O,X,X,X,X,O,X,X
TZIJSOL,O,O,X,X,X,X,X,O,X,O,X,X
TZIJOLS,O,O,X,X,O,X,X,O,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,O,X,O,X,X
TZISLJO,O,O,X,X,O,X,X,X,X,O,X,X
TZISLOJ,O,O,X,X,O,X,X,X,X,O,X,X
TZISJLO,O,O,X,X,O,X,X,X,X,O,X,X
TZISJOL,O,O,X,X,X,X,X,O,X,O,X,X
TZISOLJ,O,O,X,X,X,X,X,X,X,O,X,X
TZISOJL,O,O,X,X,X,X,X,O,X,O,X,X
TZIOLJS,O,O,X,X,O,X,X,O,X,X,X,X
TZIOLSJ,O,O,X,X,O,X,X,X,X,O,X,X
TZIOJLS,O,O,X,X,O,X,X,O,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,O,X,O,X,X
TZIOSLJ,O,O,X,X,X,X,X,X,X,O,X,X
TZIOSJL,O,O,X,X,X,X,X,O,X,O,X,X
TZLIJSO,O,O,X,X,O,X,X,X,X,X,X,X
TZLIJOS,O,O,X,X,O,X,X,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,X,X,X,X,X,X
TZLIOJS,O,O,X,X,O,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,O,X,O,X,X,X,X,X
TZLJISO,O,O,X,X,O,X,X,X,X,X,X,X
TZLJIOS,O,O,X,X,O,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,O,X,X,X,X,X,X,X
TZLJSOI,O,O,X,X,O,X,X,X,X,X,X,X
TZLJOIS,O,O,X,X,O,X,X,X,X,X,X,X
TZLJOSI,O,O,X,X,O,X,O,O,X,X,X,X
TZLSIJO,O,X,X,X,O,X,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,X,X,X,X,X,X
TZLSJIO,O,X,X,X,O,X,X,X,X,X,X,X
TZLSJOI,O,O,X,X,O,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,O,X,X,X,X,X
TZLSOJI,O,O,X,X,O,X,O,X,X,X,X,X
TZLOIJS,O,O,X,X,O,X,X,X,X,X,X,X
TZLOISJ,X,X,X,X,O,X,O,X,X,X,X,X
TZLOJIS,O,O,X,X,O,X,X,X,X,X,X,X
TZLOJSI,O,O,X,X,O,X,O,O,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,O,X,X,X,X,X
TZLOSJI,O,O,X,X,O,X,O,X,X,X,X,X
TZJILSO,O,O,X,X,O,X,X,X,X,X,X,X
TZJILOS,O,O,X,X,O,X,X,O,X,X,X,X
TZJISLO,O,O,X,X,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,O,X,X,X,X
TZJIOLS,O,O,X,X,O,X,X,O,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,O,X,X,X,X
TZJLISO,O,O,X,X,O,X,X,X,X,X,X,X
TZJLIOS,O,O,X,X,O,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOSI,O,O,X,X,O,X,O,O,X,X,X,X
TZJSILO,O,X,X,X,O,X,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,X,X,X,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,X,O,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,O,X,X,X,X
TZJOILS,O,O,X,X,O,X,X,X,X,X,X,X
TZJOISL,X,X,X,X,X,X,X,O,X,X,X,X
TZJOLIS,O,O,X,X,O,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,O,X,X,X,X
TZJOSIL,X,X,X,X,X,X,X,O,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,O,X,X,X,X
TZSILJO,O,X,X,X,O,X,X,X,X,O,X,X
TZSILOJ,O,X,X,X,O,X,X,X,X,O,X,X
TZSIJLO,O,X,X,X,O,X,X,X,X,O,X,X
TZSIJOL,O,X,X,X,X,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X,X,X,X,O,X,X
TZSLIJO,O,X,X,X,O,X,X,X,X,O,X,X
TZSLIOJ,O,X,X,X,O,X,X,X,X,O,X,X
TZSLJIO,O,X,X,X,O,X,X,X,X,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,X,O,X,X,X,X,X
TZSLOJI,O,O,X,X,O,X,O,X,X,X,X,X
TZSJILO,O,X,X,X,O,X,X,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,X,X,X,X,X,X
TZSJLIO,O,X,X,X,O,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X,X,X,X,X
TZSJOIL,O,X,X,X,X,X,X,O,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,O,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOLJI,O,O,X,O,X,X,X,X,X,X,X,X
TZSOJIL,O,X,X,O,X,X,X,O,X,X,X,X
TZSOJLI,O,O,X,O,X,X,X,O,X,X,X,X
TZOILJS,O,O,X,X,O,X,X,X,X,X,X,X
TZOILSJ,X,X,X,X,O,X,X,X,X,X,X,X
TZOIJLS,O,O,X,X,O,X,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X,X,O,X,X,X,X
TZOISLJ,X,X,X,X,X,X,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,O,X,X,X,X,X,X,X
TZOLISJ,X,X,X,X,O,X,O,X,X,X,X,X
TZOLJIS,O,O,X,X,O,X,X,X,X,X,X,X
TZOLJSI,O,O,X,X,O,X,O,O,X,X,X,X
TZOLSIJ,X,X,X,X,X,X,O,X,X,X,X,X
TZOLSJI,O,O,X,X,O,X,O,X,X,X,X,X
TZOJILS,O,O,X,X,O,X,X,X,X,X,X,X
TZOJISL,X,X,X,X,X,X,X,O,X,X,X,X
TZOJLIS,O,O,X,X,O,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,O,X,X,X,X
TZOJSIL,X,X,X,O,X,X,X,O,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,O,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,X,X,O,X,X,X,X,X,X,X,X
TZOSLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSLJI,O,O,X,O,X,X,X,X,X,X,X,X
TZOSJIL,O,X,X,O,X,X,X,O,X,X,X,X
TZOSJLI,O,O,X,O,X,X,X,O,X,X,X,X
TOILJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TOILJZS,X,O,X,X,X,X,X,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X,X,X,X,X
TOILZJS,O,O,X,X,O,X,X,X,O,X,X,X
TOILZSJ,X,O,X,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,O,O,X,X,X,X,X,X,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,O,X,X,X
TOIJSLZ,X,O,O,O,X,X,X,X,X,X,X,X
TOIJSZL,X,X,O,O,X,X,X,X,O,X,X,X
TOIJZLS,X,O,X,X,X,X,X,O,O,X,X,X
TOIJZSL,X,O,O,X,X,X,X,O,O,X,X,X
TOISLJZ,X,O,O,O,X,X,X,X,X,X,X,X
TOISLZJ,X,X,X,O,X,X,X,X,X,X,O,X
TOISJLZ,X,O,O,O,X,X,X,X,X,X,X,X
TOISJZL,X,X,O,O,X,X,X,X,O,X,X,X
TOISZLJ,X,X,X,O,X,X,X,X,X,X,O,X
TOISZJL,X,X,X,O,X,X,X,X,O,X,X,X
TOIZLJS,O,O,X,X,O,X,X,O,O,X,X,X
TOIZLSJ,X,O,X,X,O,X,X,X,X,X,X,X
TOIZJLS,O,O,X,X,O,X,X,O,O,X,X,X
TOIZJSL,X,O,X,X,X,X,X,O,O,X,X,X
TOIZSLJ,X,O,X,X,X,X,X,X,X,X,O,X
TOIZSJL,X,O,X,X,X,X,X,O,O,X,X,X
TOLIJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TOLIJZS,X,O,X,X,X,X,X,X,X,X,X,X
TOLISJZ,X,O,X,X,X,X,X,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X,X,X,X,X
TOLIZJS,O,O,X,X,O,X,X,X,X,X,X,X
TOLIZSJ,X,O,X,X,O,X,X,X,X,X,X,X
TOLJISZ,X,O,O,X,X,X,X,X,X,X,X,X
TOLJIZS,X,O,X,X,X,X,X,X,X,X,X,X
TOLJSIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOLJSZI,X,O,O,O,X,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,O,X,X,X,X,X,X
TOLJZSI,O,O,X,X,X,O,X,X,X,X,X,X
TOLSIJZ,X,X,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,X,X,X,O,X,X,X,X,X,X,O,X
TOLSJIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOLSJZI,X,O,O,O,X,X,X,X,X,X,O,X
TOLSZIJ,X,X,X,O,X,X,X,X,X,X,O,X
TOLSZJI,O,X,O,O,O,X,X,X,X,X,O,X
TOLZIJS,O,O,X,X,O,O,X,X,X,X,X,X
TOLZISJ,X,X,X,X,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,X,O,O,X,X,X,X,X,X
TOLZJSI,O,O,X,X,O,O,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,O,X,X,X,X,O,X
TOLZSJI,O,O,X,X,O,O,X,X,X,X,O,X
TOJILSZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,O,X,X,X
TOJISLZ,X,O,O,O,X,X,X,X,X,X,X,X
TOJISZL,X,X,O,O,X,X,X,X,O,X,X,X
TOJIZLS,X,O,X,X,X,X,X,O,O,X,X,X
TOJIZSL,X,O,O,X,X,X,X,O,O,X,X,X
TOJLISZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJLIZS,X,O,X,X,X,X,X,X,X,X,X,X
TOJLSIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOJLSZI,X,O,O,O,X,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,O,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,O,X,X,X,X,X,X
TOJSILZ,X,X,O,O,X,X,X,X,X,X,X,X
TOJSIZL,X,X,O,O,X,X,X,X,X,X,X,X
TOJSLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOJSLZI,X,O,O,O,X,X,X,X,X,X,O,X
TOJSZIL,X,X,O,O,X,X,X,X,X,X,X,X
TOJSZLI,X,X,O,O,X,X,X,X,X,X,O,X
TOJZILS,O,O,X,X,X,X,X,X,X,X,X,X
TOJZISL,X,X,O,X,X,X,X,O,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,O,X,X,X,X
TOJZSIL,X,X,O,O,X,X,X,O,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,O,X,X,O,X
TOSILJZ,X,X,O,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSIJLZ,X,X,O,O,X,X,X,X,X,X,X,X
TOSIJZL,X,X,O,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSIZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,X,X,O,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSLJIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X,X,X,O,X
TOSLZIJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSLZJI,O,X,O,O,X,X,X,X,X,X,O,X
TOSJILZ,X,X,O,O,X,X,X,X,X,X,X,X
TOSJIZL,X,X,O,O,X,X,X,X,X,X,X,X
TOSJLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,X,X,X,O,X
TOSJZIL,O,X,O,O,X,X,X,X,X,X,X,X
TOSJZLI,O,X,O,O,X,X,X,X,X,X,O,X
TOSZILJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSZIJL,O,X,X,O,X,X,X,X,X,X,X,X
TOSZLIJ,O,X,X,O,X,X,X,X,X,X,O,X
TOSZLJI,O,X,O,O,X,X,X,X,X,X,O,X
TOSZJIL,O,X,O,O,X,X,X,X,X,X,X,X
TOSZJLI,O,X,O,O,X,X,X,X,X,X,O,X
TOZILJS,O,O,X,X,O,X,X,X,X,X,X,X
TOZILSJ,X,X,X,X,O,X,X,X,X,X,X,X
TOZIJLS,O,O,X,X,O,X,X,X,X,X,X,X
TOZIJSL,X,X,X,X,X,X,X,O,X,X,X,X
TOZISLJ,X,X,X,X,X,X,X,X,X,X,O,X
TOZISJL,X,X,X,X,X,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,O,X,X,X,X,X,X,X
TOZLISJ,X,X,X,X,O,X,X,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,X,X,X,X,X,X
TOZLJSI,O,O,X,X,O,X,X,O,X,X,X,X
TOZLSIJ,X,X,X,X,X,X,X,X,X,X,O,X
TOZLSJI,O,O,X,X,O,X,X,X,X,X,O,X
TOZJILS,O,O,X,X,O,X,X,X,X,X,X,X
TOZJISL,X,X,O,X,X,X,X,O,X,X,X,X
TOZJLIS,O,O,X,X,O,X,X,X,X,X,X,X
TOZJLSI,O,O,X,X,O,X,X,O,X,X,X,X
TOZJSIL,X,X,O,O,X,X,X,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,O,X,X,O,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X,O,X
TOZSIJL,O,X,X,O,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,X,O,X,X,X,X,X,X,O,X
TOZSLJI,O,O,O,O,X,X,X,X,X,X,O,X
TOZSJIL,O,X,O,O,X,X,X,O,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,O,X,X,O,X
ITLJSZO,X,O,X,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLJZSO,O,O,X,X,O,X,X,X,X,X,X,X
ITLJZOS,O,O,X,X,O,X,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLJOZS,O,O,X,X,X,X,X,X,X,X,X,X
ITLSJZO,O,O,X,X,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X,X,X,O
ITLZJSO,O,O,X,X,O,X,X,X,X,X,X,X
ITLZJOS,O,O,X,X,O,X,O,O,X,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,O,X,X,X,X,X
ITLZOJS,O,O,X,X,O,X,O,O,O,X,X,X
ITLZOSJ,O,O,X,X,O,X,O,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,O,X,X,X,X,X,X,O
ITLOZJS,O,O,X,X,O,X,O,X,O,X,X,X
ITLOZSJ,O,O,X,X,O,X,O,X,X,X,X,X
ITJLSZO,X,O,X,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJLZSO,O,O,X,X,O,X,X,X,X,X,X,X
ITJLZOS,O,O,X,X,O,X,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJLOZS,O,O,X,X,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,O,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X,X,X,X
ITJZLSO,O,O,X,X,O,X,X,X,X,X,X,X
ITJZLOS,O,O,X,X,O,X,X,O,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,O,X,X,X,X
ITJZOLS,O,O,X,X,O,X,X,O,O,X,X,X
ITJZOSL,O,O,X,X,X,X,X,O,O,X,X,X
ITJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJOLZS,O,O,X,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X,O,X,X,X
ITJOZLS,O,O,X,X,X,X,X,O,O,X,X,X
ITJOZSL,O,O,X,X,X,X,X,O,O,X,X,X
ITSLJZO,O,O,X,X,O,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,O,O,X,X,X,X,X,X,O
ITSJLZO,O,O,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,O,X,X,X,X
ITSJOLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X,X
ITSZLJO,O,O,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,O,X,X,X,X
ITSZOLJ,O,O,X,O,X,X,X,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,O,O,X,X,X
ITSOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,O,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITSOZJL,O,X,X,O,X,X,X,X,O,X,X,X
ITZLJSO,O,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,O,O,X,X,O,X,O,O,X,X,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,O,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,O,O,O,X,X,X
ITZLOSJ,O,O,X,X,O,X,O,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,O,X,O,O,X,X,X,X
ITZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,O,X,X,X,X
ITZJOLS,O,O,X,X,O,X,X,O,O,X,X,X
ITZJOSL,O,O,X,X,X,X,X,O,O,X,X,X
ITZSLJO,O,O,X,X,O,X,X,X,X,X,X,X
