sequence,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFCeBTgB/mBU?iB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeC8IvhFxdB2lBlhBc?nBTrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdB6mBTiBX?hB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeF8IvhFxdBTgBumBc?nBKrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiB6?mB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Jex9IvhFTgBlhBcnBK?rBGmB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeG8IvhFxdBigBTiB1?rB3sBUrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFCeBlhBmlB0?nBzmBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFehBCeBzhB1?sB3mBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFCeBFmBRsB/?sBTrBmrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFzcBylB5nBc?rBesBFtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcBxdBXiBa?rB1sBWxB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxdBTiBmlBq?rBlsBcrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiBq?rBOrBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFTgBXiB0rBl?sBOrBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je1BJvhFxdBTgBcnBa?mB+rB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF3cBTiBFmBR?sB2wBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF2hBCeBFmBR?sBTsB3rB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcB6iBenBF?mBXoBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxhBzhBCjB0?rBlsBmqB
IZJLOST,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZJSTOL,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZJSLTO,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZJSLOT,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZJOTSL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJOLTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZJOLST,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X
IZSTJOL,X,O,O,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X
IZSTOLJ,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
IZSTOJL,X,O,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,O,O,X
IZSLTJO,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IZSLJTO,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSLOTJ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSJTLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZSJTOL,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
IZSJLTO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZSJLOT,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJOTL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTLJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSOTJL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IZSOLTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTLJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X
IZOTLSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
IZOTJLS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X
IZOTJSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X
IZOTSLJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
IZOTSJL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X
IZOLTJS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IZOLJTS,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSJT,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZOJTSL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOJLTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZOJLST,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IZOSLTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTLZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTJSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTJZSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IOTSZJL,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IOTZLSJ,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IOTZJLS,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IOTZSLJ,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IOTZSJL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IOLTJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOLZJTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOJLZST,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJSZLT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IOJZTLS,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOJZTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOJZLTS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOJZLST,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZTJL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSZLTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTLJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X
IOZTLSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
IOZTJLS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X
IOZTJSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X
IOZTSLJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
IOZTSJL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X
IOZLTJS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IOZLJTS,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZJTSL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOZJLTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZJLST,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSTJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOZSLTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJSZO,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIZOSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTIOZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOZI,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJZIOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSOI,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJZOIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTJZOSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTJOZSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSZJIO,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTSZOJI,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSOZJI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZIJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZISOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
LTZIOSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTZJISO,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O
LTZJIOS,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTZJSOI,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZJOIS,O,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTZJOSI,O,X,O,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTZSIJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
