sequence,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBmgBzkBq?qBFnB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFlgB3hBzkBO?sB0lBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBClB/rBF?nB0qBmrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBigBWqBF?nB0rBzqB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhFFdBulBcmBz?kBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBlhBClB/?rBOsB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeeAJvhFzbBFdBcmBS?qBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB0gBzkBF?nBCrB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je08IvhFlgBzkBxmB6?qBXnB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeF9IvhF8kB5lBThBX?nBilB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFXdBClBFnBx?qBerB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je2AJvhFXdBzkBUmBF?nBCmBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhF5lBzkB/rBF?nBcrBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhF6lBzkB/rBF?nBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je6AJvhFTcB8kBxmBl?qB3rBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je8EJvhFXhBFnBxqB6?qBOsBTrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFClB/rBFnBT?lBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF0gBzkBFnBX?mBSwBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF8kB3lBFnBT?rBOsBCrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXhBVnBzkB0?lBOsBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB6lBzkBF?nB0rBerB
ISLJZOT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLOT,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZTJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZTJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZTOJL,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZLTJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOTZJL,O,X,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOJTZL,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTLJOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTLOJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZTJOLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTSJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTSJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZTSOLJ,O,X,X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X
IZTSOJL,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X
IZTOLJS,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IZTOLSJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTOJLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZTOSJL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZLTJSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZLTOJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLSJTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJTOLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLTOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZSTLOJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZSTJLO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSTOLJ,X,X,O,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X
IZSTOJL,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X
IZSLTJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSLJTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZSOTJL,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZSOLTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IZOTLSJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZOTSJL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZOLTJS,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IZOLTSJ,X,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOTJLSZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTSLZJ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTSJLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
IOTSZJL,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
IOTZLJS,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IOTZLSJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOTZJLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLJTSZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
IOLZTSJ,O,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLZJTS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
