sequence,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFOhBXdBCgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFxbBXdBmgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgB0cBzgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBXdBzgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhF0cBzfB+lBKmBFn?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF/gBUcBFdB2qBxm?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFXdBzfB+lBKmBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je06IvhFZhBCdB+lBVnBXg?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF0cBmgBTgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBxcBUhB1qBXn?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFXdBmgBTgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhF0cBzfBKmBFnBmk?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfB3lBCnBOnBFm?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhFXdBzfBKmBFnBmk?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jez/IvhFRhBUmBFnBmkBCm?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFTcBSlB/rBFnBUl?BOsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfBUmBFnB3lB6r?BOsB
ISZOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X
ISOTLZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
ISOTJLZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOTJZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X
ISOLTZJ,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
ISOLJTZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOLJZT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOLZJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJTLZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ISOJLZT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZTLJOS,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTLSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTLOSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTJLSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZTJLOS,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IZTJOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSLJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOLJS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTOLSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOJLS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTOJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZTOSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLTJSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZLTJOS,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZLTSOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IZLTOJS,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLTOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IZLJTSO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLJOST,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IZLOJTS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJOTSL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJOLTS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOTLSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOTJLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOTJSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOTSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOLTJS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOLTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IZOLJTS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOJTSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOJLTS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
IOTLJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
IOTLSJZ,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOTLSZJ,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOTLZJS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
IOTLZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOTJLSZ,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IOTJLZS,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTJZSL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTSLJZ,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOTSLZJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTSJLZ,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTSJZL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTSZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTZLJS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
IOTZLSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTZJLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTZJSL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTZSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOTZSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOLTJSZ,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
IOLTJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
IOLTSJZ,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
IOLTSZJ,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOLTZJS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X
IOLTZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOLJTSZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
IOLJTZS,X,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOLJSZT,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOLJZST,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOLSJTZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLSZJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZTJS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOLZJTS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLZSJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
IOJTLZS,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOJTSZL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJTZSL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
IOJLTZS,X,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOJLSTZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOJLSZT,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
IOJLZST,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
IOJSLZT,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJZSTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOSTLZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSTJLZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSTJZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOSLTZJ,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOSLJTZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSLZJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJTLZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSJLZT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
IOZTLSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZTJLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOZTJSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOZTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZTSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZLTJS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X
IOZLTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOZLJTS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLJST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJTLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOZJTSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOZJLTS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTIJZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIJZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTIJOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
LTIJOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
LTISJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTISJOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTISZJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTISZOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
LTISOJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
LTISOZJ,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
LTIZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTIZJOS,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTIZSOJ,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
LTIZOJS,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTIZOSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
LTIOJSZ,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
LTIOJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTIOSJZ,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LTIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
LTIOZJS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
LTIOZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
LTJISZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTJISOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTJIZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTJIZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTJIOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
LTJIOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
LTJSIZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
LTJSIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
LTJSZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTJSOZI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTJZIOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
LTJZSIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
LTJZOSI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTJOIZS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LTJOSIZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
