sequence,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFqgBxdBlhB3?iB0mB2wB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeB0gBF?nBTrBmrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFXeBxgBUmBF?nBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFWhBxcBXeBU?mBFnBywB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBlgBU?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBUiBF?mBzrBmqB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBXeBlgBx?mBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFCcBxdBlhB3?iBmrBUrB
TSLJOZI,X,O,X,O,X,X,X,O,O,X,O,X
TSLZIJO,O,X,O,O,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,O,O,O,O,O,X,O,O
TSLZJIO,O,X,O,O,O,O,O,O,O,X,O,X
TSLZJOI,O,X,O,O,O,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,O,O,O,O,O,X,O,O
TSLZOJI,O,O,O,X,O,O,O,X,O,X,O,X
TSLOIJZ,X,O,O,O,X,X,X,X,O,O,O,O
TSLOIZJ,O,O,O,O,X,X,X,O,O,O,O,O
TSLOJIZ,X,O,O,O,X,X,X,O,O,O,O,O
TSLOJZI,X,O,O,O,X,X,X,O,O,O,O,X
TSLOZIJ,O,O,O,O,X,O,O,O,O,O,O,O
TSLOZJI,O,O,O,O,X,O,O,X,O,O,O,X
TSJILZO,X,O,O,O,O,X,X,O,O,X,O,O
TSJILOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJIZLO,O,O,O,O,O,X,X,O,O,X,O,O
TSJIZOL,X,X,X,O,O,X,X,O,O,X,X,O
TSJIOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJIOZL,X,X,X,O,O,X,X,O,X,X,O,O
TSJLIZO,X,O,O,O,O,X,X,O,O,X,O,O
TSJLIOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJLZIO,X,O,O,O,O,O,X,O,O,X,O,O
TSJLZOI,X,O,O,O,O,O,X,O,O,X,X,O
TSJLOIZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJLOZI,X,O,X,O,X,X,X,O,O,X,O,O
TSJZILO,O,O,O,O,O,O,O,O,O,X,X,O
TSJZIOL,X,X,X,O,O,O,O,O,O,X,X,O
TSJZLIO,O,O,O,O,O,O,O,O,O,X,O,O
TSJZLOI,O,O,O,O,O,O,O,O,O,X,X,O
TSJZOIL,X,X,O,O,O,O,O,O,O,X,X,O
TSJZOLI,X,X,O,O,O,O,O,O,O,X,X,O
TSJOILZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJOIZL,X,X,X,O,O,X,X,O,X,X,O,O
TSJOLIZ,X,O,X,O,X,X,X,O,O,X,O,O
TSJOLZI,X,O,X,O,X,X,X,O,O,X,O,O
TSJOZIL,X,X,X,O,O,X,O,O,O,X,X,O
TSJOZLI,X,X,X,O,O,X,O,O,O,X,O,O
TSZILJO,O,X,O,O,O,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,O,O,O,O,O,X,O,O
TSZIJLO,O,X,O,O,O,O,O,O,O,X,O,X
TSZIJOL,X,X,X,X,X,O,O,X,X,X,X,X
TSZIOLJ,O,X,O,O,O,O,O,O,O,X,O,O
TSZIOJL,X,X,O,X,X,O,O,X,X,X,O,X
TSZLIJO,O,X,O,O,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,O,O,O,O,O,X,O,O
TSZLJIO,O,X,O,O,O,O,O,O,O,X,O,X
TSZLJOI,O,X,O,O,O,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,O,O,O,O,O,X,O,O
TSZLOJI,O,O,O,X,O,O,O,X,O,X,O,X
TSZJILO,O,X,O,O,O,O,O,O,O,X,X,X
TSZJIOL,X,X,X,O,O,O,O,O,O,X,X,X
TSZJLIO,O,X,O,O,O,O,O,O,O,X,O,X
TSZJLOI,O,X,O,O,O,O,O,O,O,X,X,X
TSZJOIL,X,X,O,O,O,O,O,O,O,X,X,X
TSZJOLI,X,X,O,O,O,O,O,O,O,X,X,X
TSZOILJ,O,X,O,O,O,O,O,O,O,X,O,O
TSZOIJL,X,X,O,X,X,O,O,X,O,X,O,X
TSZOLIJ,O,X,O,O,O,O,O,O,O,X,O,O
TSZOLJI,O,X,O,X,O,O,O,X,O,X,O,X
TSZOJIL,X,X,O,X,X,O,O,X,O,X,X,X
TSZOJLI,X,X,O,X,X,O,O,X,O,X,O,X
TSOILJZ,X,O,O,O,X,X,X,X,O,O,O,O
TSOILZJ,O,O,O,O,X,X,X,O,O,O,O,O
TSOIJLZ,X,O,O,O,X,X,X,X,O,O,O,O
TSOIJZL,O,X,O,O,X,X,X,X,O,X,O,O
TSOIZLJ,O,X,O,O,O,X,O,O,O,O,O,O
TSOIZJL,O,X,O,O,X,X,O,X,O,O,O,X
TSOLIJZ,X,O,O,O,X,X,X,X,O,O,O,O
TSOLIZJ,O,O,O,O,X,X,X,O,O,O,O,O
TSOLJIZ,X,O,O,O,X,X,X,O,O,O,O,O
TSOLJZI,X,O,O,O,X,X,X,O,O,O,O,X
TSOLZIJ,O,O,O,O,X,O,O,O,O,O,O,O
TSOLZJI,O,O,O,O,X,O,O,X,O,O,O,X
TSOJILZ,X,O,O,O,X,X,X,O,O,O,O,O
TSOJIZL,O,X,O,O,X,X,X,O,O,X,O,O
TSOJLIZ,X,O,O,O,X,X,X,O,O,O,O,O
TSOJLZI,X,O,O,O,X,X,X,O,O,O,O,O
TSOJZIL,O,X,O,O,X,X,O,O,O,O,X,O
TSOJZLI,O,X,O,O,X,X,O,O,O,O,O,O
TSOZILJ,O,X,O,O,O,O,O,O,O,O,O,O
TSOZIJL,O,X,O,O,X,O,O,X,O,O,O,X
TSOZLIJ,O,X,O,O,O,O,O,O,O,O,O,O
TSOZLJI,O,X,O,O,O,O,O,X,O,O,O,X
TSOZJIL,O,X,O,O,X,O,O,X,O,O,X,X
TSOZJLI,O,X,O,O,X,O,O,X,O,O,O,X
TZILJSO,X,X,X,O,O,O,O,O,O,X,O,X
TZILJOS,X,X,X,O,X,O,O,O,X,X,X,X
TZILSJO,O,X,O,O,O,O,O,O,O,X,O,X
TZILSOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZILOJS,X,X,O,X,X,O,O,X,X,X,O,X
TZILOSJ,X,X,O,O,X,O,O,O,O,X,O,X
TZIJLSO,X,X,X,O,O,O,O,O,O,X,O,X
TZIJLOS,X,X,X,O,X,O,O,O,X,X,X,X
TZIJSLO,X,X,X,O,O,O,O,O,O,X,O,X
TZIJSOL,X,X,X,X,O,O,O,O,X,X,X,X
TZIJOLS,X,X,X,O,X,O,O,O,X,X,X,X
TZIJOSL,X,X,X,X,X,O,O,X,X,X,X,X
TZISLJO,O,X,O,O,O,O,O,O,O,X,O,X
TZISLOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZISJLO,O,X,O,O,O,O,O,O,O,X,O,X
TZISJOL,X,X,X,X,X,O,O,X,X,X,X,X
TZISOLJ,O,X,O,O,O,O,O,O,O,X,O,X
TZISOJL,X,X,O,X,X,O,O,X,X,X,O,X
TZIOLJS,X,X,O,X,X,O,O,X,X,X,O,X
TZIOLSJ,X,X,O,O,X,O,O,O,O,X,O,X
TZIOJLS,X,X,O,X,X,O,O,X,X,X,O,X
TZIOJSL,X,X,O,X,X,O,O,X,X,X,O,X
TZIOSLJ,X,X,O,X,X,O,O,X,O,X,O,X
TZIOSJL,X,X,O,X,X,O,O,X,X,X,O,X
TZLIJSO,X,X,X,O,O,O,O,O,O,X,O,X
TZLIJOS,X,X,X,O,X,O,O,O,X,X,X,X
TZLISJO,O,X,O,O,O,O,O,O,O,X,O,X
TZLISOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZLIOJS,X,X,O,X,X,O,O,X,X,X,O,X
TZLIOSJ,X,X,O,O,X,O,O,O,O,X,O,X
TZLJISO,X,X,X,O,O,O,O,O,O,X,O,X
TZLJIOS,X,X,X,O,X,O,O,O,O,X,X,X
TZLJSIO,O,X,O,O,O,O,O,O,O,X,O,X
TZLJSOI,O,X,O,O,O,O,O,O,O,X,X,X
TZLJOIS,X,X,O,O,X,O,O,O,O,X,X,X
TZLJOSI,X,X,O,O,O,O,O,O,O,X,X,X
TZLSIJO,O,X,O,O,O,O,O,O,O,X,O,X
TZLSIOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZLSJIO,O,X,O,O,O,O,O,O,O,X,O,X
TZLSJOI,O,X,O,O,O,O,O,O,O,X,X,X
TZLSOIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZLSOJI,O,X,O,X,O,O,O,X,O,X,O,X
TZLOIJS,X,X,O,O,X,O,O,X,O,X,O,X
TZLOISJ,O,X,O,O,X,O,O,O,O,X,O,X
TZLOJIS,X,X,O,O,X,O,O,X,O,X,O,X
TZLOJSI,O,X,O,O,X,O,O,X,O,X,O,X
TZLOSIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZLOSJI,O,X,O,O,O,O,O,X,O,X,O,X
TZJILSO,X,X,X,O,O,O,O,O,O,X,O,X
TZJILOS,X,X,X,O,X,O,O,O,O,X,X,X
TZJISLO,X,X,X,O,O,O,O,O,O,X,O,X
TZJISOL,X,X,X,O,O,O,O,O,O,X,X,X
TZJIOLS,X,X,X,O,X,O,O,O,O,X,X,X
TZJIOSL,X,X,X,X,X,O,O,X,O,X,X,X
TZJLISO,X,X,X,O,O,O,O,O,O,X,O,X
TZJLIOS,X,X,X,O,X,O,O,O,O,X,X,X
TZJLSIO,O,X,O,O,O,O,O,O,O,X,O,X
TZJLSOI,O,X,O,O,O,O,O,O,O,X,X,X
TZJLOIS,X,X,O,O,X,O,O,O,O,X,X,X
TZJLOSI,X,X,O,O,O,O,O,O,O,X,X,X
TZJSILO,O,X,O,O,O,O,O,O,O,X,X,X
TZJSIOL,X,X,X,O,O,O,O,O,O,X,X,X
TZJSLIO,O,X,O,O,O,O,O,O,O,X,O,X
TZJSLOI,O,X,O,O,O,O,O,O,O,X,X,X
TZJSOIL,X,X,O,O,O,O,O,O,O,X,X,X
TZJSOLI,X,X,O,O,O,O,O,O,O,X,X,X
TZJOILS,X,X,O,O,X,O,O,O,O,X,X,X
TZJOISL,X,X,O,X,X,O,O,X,O,X,X,X
TZJOLIS,X,X,O,O,X,O,O,O,O,X,X,X
TZJOLSI,X,X,O,O,O,O,O,O,O,X,X,X
TZJOSIL,X,X,O,O,O,O,O,O,O,X,X,X
TZJOSLI,X,X,O,O,O,O,O,O,O,X,X,X
TZSILJO,O,X,O,O,O,O,O,O,O,X,O,X
TZSILOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSIJLO,O,X,O,O,O,O,O,O,O,X,O,X
TZSIJOL,X,X,X,X,X,O,O,X,X,X,X,X
TZSIOLJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSIOJL,X,X,O,X,X,O,O,X,X,X,O,X
TZSLIJO,O,X,O,O,O,O,O,O,O,X,O,X
TZSLIOJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSLJIO,O,X,O,O,O,O,O,O,O,X,O,X
TZSLJOI,O,X,O,O,O,O,O,O,O,X,X,X
TZSLOIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSLOJI,O,X,O,X,O,O,O,X,O,X,O,X
TZSJILO,O,X,O,O,O,O,O,O,O,X,X,X
TZSJIOL,X,X,X,O,O,O,O,O,O,X,X,X
TZSJLIO,O,X,O,O,O,O,O,O,O,X,O,X
TZSJLOI,O,X,O,O,O,O,O,O,O,X,X,X
TZSJOIL,X,X,O,O,O,O,O,O,O,X,X,X
TZSJOLI,X,X,O,O,O,O,O,O,O,X,X,X
TZSOILJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSOIJL,X,X,O,X,X,O,O,X,O,X,O,X
TZSOLIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZSOLJI,O,X,O,X,O,O,O,X,O,X,O,X
TZSOJIL,X,X,O,X,X,O,O,X,O,X,X,X
TZSOJLI,X,X,O,X,X,O,O,X,O,X,O,X
TZOILJS,X,X,O,O,X,O,O,X,O,X,O,X
TZOILSJ,O,X,O,O,X,O,O,O,O,X,O,X
TZOIJLS,X,X,O,O,X,O,O,X,O,X,O,X
TZOIJSL,X,X,O,X,X,O,O,X,O,X,O,X
TZOISLJ,O,X,O,O,X,O,O,X,O,X,O,X
TZOISJL,O,X,O,O,X,O,O,X,O,X,O,X
TZOLIJS,X,X,O,O,X,O,O,X,O,X,O,X
TZOLISJ,O,X,O,O,X,O,O,O,O,X,O,X
TZOLJIS,X,X,O,O,X,O,O,X,O,X,O,X
TZOLJSI,O,X,O,O,X,O,O,X,O,X,O,X
TZOLSIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZOLSJI,O,X,O,O,O,O,O,X,O,X,O,X
TZOJILS,X,X,O,O,X,O,O,X,O,X,O,X
TZOJISL,X,X,O,X,X,O,O,X,O,X,O,X
TZOJLIS,X,X,O,O,X,O,O,X,O,X,O,X
TZOJLSI,O,X,O,O,X,O,O,X,O,X,O,X
TZOJSIL,O,X,O,O,X,O,O,X,O,X,X,X
TZOJSLI,O,X,O,O,X,O,O,X,O,X,O,X
TZOSILJ,O,X,O,O,O,O,O,O,O,X,O,X
TZOSIJL,O,X,O,O,X,O,O,X,O,X,O,X
TZOSLIJ,O,X,O,O,O,O,O,O,O,X,O,X
TZOSLJI,O,X,O,O,O,O,O,X,O,X,O,X
TZOSJIL,O,X,O,O,X,O,O,X,O,X,X,X
TZOSJLI,O,X,O,O,X,O,O,X,O,X,O,X
TOILJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TOILJZS,X,X,X,O,X,X,X,O,X,X,O,X
TOILSJZ,X,O,O,O,X,X,X,X,O,O,O,X
TOILSZJ,O,O,O,O,X,X,X,O,O,O,O,X
TOILZJS,X,X,O,O,X,X,X,X,O,O,O,X
TOILZSJ,O,X,O,O,X,X,X,O,O,O,O,X
TOIJLSZ,X,O,X,O,X,X,X,O,O,X,O,X
TOIJLZS,X,X,X,O,X,X,X,O,X,X,O,X
TOIJSLZ,X,O,X,O,X,X,X,O,O,X,O,O
TOIJSZL,X,X,X,O,X,X,X,O,X,X,O,O
TOIJZLS,X,X,X,O,X,X,X,O,X,X,O,O
TOIJZSL,X,X,X,O,X,X,X,X,X,X,O,O
TOISLJZ,X,O,O,O,X,X,X,X,O,O,O,O
TOISLZJ,O,O,O,O,X,X,X,O,O,O,O,O
TOISJLZ,X,O,O,O,X,X,X,X,O,O,O,O
TOISJZL,O,X,O,O,X,X,X,X,X,X,O,O
TOISZLJ,O,X,O,O,X,X,O,O,O,O,O,O
TOISZJL,O,X,O,O,X,X,O,X,O,O,O,X
TOIZLJS,X,X,O,O,X,X,O,X,O,O,O,X
TOIZLSJ,O,X,O,O,X,X,O,O,O,O,O,X
TOIZJLS,X,X,O,O,X,X,O,X,O,O,O,X
TOIZJSL,X,X,O,X,X,X,O,X,O,O,O,X
TOIZSLJ,O,X,O,O,X,X,O,X,O,O,O,X
TOIZSJL,O,X,O,O,X,X,O,X,O,O,O,X
TOLIJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TOLIJZS,X,X,X,O,X,X,X,O,X,X,O,X
TOLISJZ,X,O,O,O,X,X,X,X,O,O,O,X
TOLISZJ,O,O,O,O,X,X,X,O,O,O,O,X
TOLIZJS,X,X,O,O,X,X,X,X,O,O,O,X
TOLIZSJ,O,X,O,O,X,X,X,O,O,O,O,X
TOLJISZ,X,O,X,O,X,X,X,O,O,X,O,X
TOLJIZS,X,X,X,O,X,X,X,O,X,X,O,X
TOLJSIZ,X,O,O,O,X,X,X,O,O,O,O,X
TOLJSZI,X,O,O,O,X,X,X,O,O,O,O,X
TOLJZIS,X,X,O,O,X,X,X,O,O,O,O,X
TOLJZSI,X,O,O,O,X,X,X,O,O,O,O,X
TOLSIJZ,X,O,O,O,X,X,X,X,O,O,O,X
TOLSIZJ,O,O,O,O,X,X,X,O,O,O,O,X
TOLSJIZ,X,O,O,O,X,X,X,O,O,O,O,X
TOLSJZI,X,O,O,O,X,X,X,O,O,O,O,X
TOLSZIJ,O,O,O,O,X,O,O,O,O,O,O,X
TOLSZJI,O,O,O,O,X,O,O,X,O,O,O,X
TOLZIJS,X,X,O,O,X,O,O,X,O,O,O,X
TOLZISJ,O,X,O,O,X,O,O,O,O,O,O,X
TOLZJIS,X,X,O,O,X,O,O,X,O,O,O,X
TOLZJSI,O,X,O,O,X,O,O,X,O,O,O,X
TOLZSIJ,O,O,O,O,X,O,O,O,O,O,O,X
TOLZSJI,O,O,O,O,X,O,O,X,O,O,O,X
TOJILSZ,X,O,X,O,X,X,X,O,O,X,O,X
TOJILZS,X,X,X,O,X,X,X,O,O,X,O,X
TOJISLZ,X,O,X,O,X,X,X,O,O,X,O,O
TOJISZL,X,X,X,O,X,X,X,O,O,X,O,O
TOJIZLS,X,X,X,O,X,X,X,O,O,X,O,O
TOJIZSL,X,X,X,O,X,X,X,X,O,X,O,O
TOJLISZ,X,O,X,O,X,X,X,O,O,X,O,X
TOJLIZS,X,X,X,O,X,X,X,O,O,X,O,X
TOJLSIZ,X,O,O,O,X,X,X,O,O,O,O,X
TOJLSZI,X,O,O,O,X,X,X,O,O,O,O,X
TOJLZIS,X,X,O,O,X,X,X,O,O,O,O,X
TOJLZSI,X,O,O,O,X,X,X,O,O,O,O,X
TOJSILZ,X,O,O,O,X,X,X,O,O,O,O,O
TOJSIZL,O,X,O,O,X,X,X,O,O,X,O,O
TOJSLIZ,X,O,O,O,X,X,X,O,O,O,O,O
TOJSLZI,X,O,O,O,X,X,X,O,O,O,O,O
TOJSZIL,O,X,O,O,X,X,O,O,O,O,X,O
TOJSZLI,O,X,O,O,X,X,O,O,O,O,O,O
TOJZILS,X,X,O,O,X,X,O,O,O,O,O,O
TOJZISL,X,X,O,O,X,X,O,X,O,O,O,O
TOJZLIS,X,X,O,O,X,X,O,O,O,O,O,O
TOJZLSI,O,X,O,O,X,X,O,O,O,O,O,O
TOJZSIL,O,X,O,O,X,X,O,O,O,O,X,O
TOJZSLI,O,X,O,O,X,X,O,O,O,O,O,O
TOSILJZ,X,O,O,O,X,X,X,X,O,O,O,O
TOSILZJ,O,O,O,O,X,X,X,O,O,O,O,O
TOSIJLZ,X,O,O,O,X,X,X,X,O,O,O,O
TOSIJZL,O,X,O,O,X,X,X,X,O,X,O,O
TOSIZLJ,O,X,O,O,X,X,O,O,O,O,O,O
TOSIZJL,O,X,O,O,X,X,O,X,O,O,O,X
TOSLIJZ,X,O,O,O,X,X,X,X,O,O,O,O
TOSLIZJ,O,O,O,O,X,X,X,O,O,O,O,O
TOSLJIZ,X,O,O,O,X,X,X,O,O,O,O,O
TOSLJZI,X,O,O,O,X,X,X,O,O,O,O,X
TOSLZIJ,O,O,O,O,X,O,O,O,O,O,O,O
TOSLZJI,O,O,O,O,X,O,O,X,O,O,O,X
TOSJILZ,X,O,O,O,X,X,X,O,O,O,O,O
TOSJIZL,O,X,O,O,X,X,X,O,O,X,O,O
TOSJLIZ,X,O,O,O,X,X,X,O,O,O,O,O
TOSJLZI,X,O,O,O,X,X,X,O,O,O,O,O
TOSJZIL,O,X,O,O,X,X,O,O,O,O,X,O
TOSJZLI,O,X,O,O,X,X,O,O,O,O,O,O
TOSZILJ,O,X,O,O,X,O,O,O,O,O,O,O
TOSZIJL,O,X,O,O,X,O,O,X,O,O,O,X
TOSZLIJ,O,X,O,O,X,O,O,O,O,O,O,O
TOSZLJI,O,X,O,O,X,O,O,X,O,O,O,X
TOSZJIL,O,X,O,O,X,O,O,X,O,O,X,X
TOSZJLI,O,X,O,O,X,O,O,X,O,O,O,X
TOZILJS,X,X,O,O,X,O,O,X,O,O,O,X
TOZILSJ,O,X,O,O,X,O,O,O,O,O,O,X
TOZIJLS,X,X,O,O,X,O,O,X,O,O,O,X
TOZIJSL,X,X,O,X,X,O,O,X,O,O,O,X
TOZISLJ,O,X,O,O,X,O,O,X,O,O,O,X
TOZISJL,O,X,O,O,X,O,O,X,O,O,O,X
TOZLIJS,X,X,O,O,X,O,O,X,O,O,O,X
TOZLISJ,O,X,O,O,X,O,O,O,O,O,O,X
TOZLJIS,X,X,O,O,X,O,O,X,O,O,O,X
TOZLJSI,O,X,O,O,X,O,O,X,O,O,O,X
TOZLSIJ,O,X,O,O,X,O,O,O,O,O,O,X
TOZLSJI,O,X,O,O,X,O,O,X,O,O,O,X
TOZJILS,X,X,O,O,X,O,O,X,O,O,O,X
TOZJISL,X,X,O,X,X,O,O,X,O,O,O,X
TOZJLIS,X,X,O,O,X,O,O,X,O,O,O,X
TOZJLSI,O,X,O,O,X,O,O,X,O,O,O,X
TOZJSIL,O,X,O,O,X,O,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,O,O,X,O,O,O,X
TOZSILJ,O,X,O,O,X,O,O,O,O,O,O,X
TOZSIJL,O,X,O,O,X,O,O,X,O,O,O,X
TOZSLIJ,O,X,O,O,X,O,O,O,O,O,O,X
TOZSLJI,O,X,O,O,X,O,O,X,O,O,O,X
TOZSJIL,O,X,O,O,X,O,O,X,O,O,X,X
TOZSJLI,O,X,O,O,X,O,O,X,O,O,O,X
ITLJSZO,X,O,X,O,O,X,X,O,O,X,O,X
ITLJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
ITLJZSO,X,X,X,O,O,X,X,O,O,X,O,X
ITLJZOS,X,X,X,O,X,X,X,O,O,X,X,X
ITLJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
ITLJOZS,X,X,X,O,X,X,X,O,X,X,O,X
ITLSJZO,X,O,O,O,O,X,X,O,O,X,O,X
ITLSJOZ,X,O,X,O,X,X,X,O,O,X,O,X
ITLSZJO,O,X,O,O,O,O,X,O,O,X,O,X
ITLSZOJ,O,O,O,O,O,O,X,O,O,X,O,X
ITLSOJZ,X,O,X,O,X,X,X,X,O,X,O,X
ITLSOZJ,O,O,O,O,X,X,X,O,O,X,O,X
ITLZJSO,X,X,X,O,O,O,X,O,O,X,O,X
ITLZJOS,X,X,X,O,X,O,X,O,X,X,X,X
ITLZSJO,O,X,O,O,O,O,X,O,O,X,O,X
ITLZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
ITLZOJS,X,X,O,X,X,O,X,X,X,X,O,X
ITLZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
ITLOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
ITLOJZS,X,X,X,O,X,X,X,O,X,X,O,X
ITLOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
ITLOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
ITLOZJS,X,X,X,O,X,X,X,X,O,X,O,X
ITLOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
ITJLSZO,X,O,X,O,O,X,X,O,O,X,O,X
ITJLSOZ,X,O,X,O,X,X,X,O,O,X,O,X
ITJLZSO,X,X,X,O,O,X,X,O,O,X,O,X
ITJLZOS,X,X,X,O,X,X,X,O,O,X,X,X
ITJLOSZ,X,O,X,X,X,X,X,O,O,X,O,X
ITJLOZS,X,X,X,O,X,X,X,O,X,X,O,X
ITJSLZO,X,O,X,O,O,X,X,O,O,X,O,O
ITJSLOZ,X,O,X,O,X,X,X,O,O,X,O,O
ITJSZLO,X,O,X,O,O,X,X,O,O,X,O,O
ITJSZOL,X,X,X,O,O,X,X,O,O,X,X,O
ITJSOLZ,X,O,X,O,X,X,X,O,O,X,O,O
ITJSOZL,X,X,X,O,O,X,X,O,X,X,O,O
ITJZLSO,X,X,X,O,O,X,X,O,O,X,O,O
ITJZLOS,X,X,X,O,X,X,X,O,O,X,X,O
ITJZSLO,X,X,X,O,O,X,X,O,O,X,O,O
ITJZSOL,X,X,X,O,O,X,X,O,O,X,X,O
ITJZOLS,X,X,X,O,X,X,X,O,O,X,X,O
ITJZOSL,X,X,X,X,X,X,X,X,O,X,X,O
ITJOLSZ,X,O,X,X,X,X,X,O,O,X,O,X
ITJOLZS,X,X,X,O,X,X,X,O,X,X,O,X
ITJOSLZ,X,O,X,X,X,X,X,O,O,X,O,O
ITJOSZL,X,X,X,X,X,X,X,O,X,X,O,O
ITJOZLS,X,X,X,O,X,X,X,O,X,X,O,O
ITJOZSL,X,X,X,X,X,X,X,O,X,X,O,O
ITSLJZO,X,O,O,O,O,X,X,O,O,X,O,X
ITSLJOZ,X,O,X,O,X,X,X,O,O,X,O,O
ITSLZJO,O,X,O,O,O,O,X,O,O,X,O,X
ITSLZOJ,O,O,O,O,O,O,X,O,O,X,O,O
ITSLOJZ,X,O,X,O,X,X,X,X,O,X,O,O
ITSLOZJ,O,O,O,O,X,X,X,O,O,X,O,O
ITSJLZO,X,O,O,O,O,X,X,O,O,X,O,O
ITSJLOZ,X,O,X,O,X,X,X,O,O,X,O,O
ITSJZLO,O,O,O,O,O,X,X,O,O,X,O,O
ITSJZOL,X,X,X,O,O,X,X,O,O,X,X,O
ITSJOLZ,X,O,X,O,X,X,X,O,O,X,O,O
ITSJOZL,X,X,X,O,O,X,X,O,X,X,O,O
ITSZLJO,O,X,O,O,O,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,O,O,O,O,O,X,O,O
ITSZJLO,O,X,O,O,O,O,O,O,O,X,O,X
ITSZJOL,X,X,X,X,X,O,O,X,X,X,X,X
ITSZOLJ,O,X,O,O,O,O,O,O,O,X,O,O
ITSZOJL,X,X,O,X,X,O,O,X,X,X,O,X
ITSOLJZ,X,O,X,O,X,X,X,X,O,X,O,O
ITSOLZJ,O,O,O,O,X,X,X,O,O,X,O,O
ITSOJLZ,X,O,X,O,X,X,X,X,O,X,O,O
ITSOJZL,O,X,X,O,X,X,X,X,X,X,O,O
ITSOZLJ,O,X,O,O,O,X,O,O,O,X,O,O
ITSOZJL,O,X,X,O,X,X,O,X,O,X,O,X
ITZLJSO,X,X,X,O,O,O,O,O,O,X,O,X
ITZLJOS,X,X,X,O,X,O,O,O,X,X,X,X
ITZLSJO,O,X,O,O,O,O,O,O,O,X,O,X
ITZLSOJ,O,X,O,O,O,O,O,O,O,X,O,X
ITZLOJS,X,X,O,X,X,O,O,X,X,X,O,X
ITZLOSJ,X,X,O,O,X,O,O,O,O,X,O,X
ITZJLSO,X,X,X,O,O,O,O,O,O,X,O,X
ITZJLOS,X,X,X,O,X,O,O,O,X,X,X,X
ITZJSLO,X,X,X,O,O,O,O,O,O,X,O,X
ITZJSOL,X,X,X,X,O,O,O,O,X,X,X,X
ITZJOLS,X,X,X,O,X,O,O,O,X,X,X,X
ITZJOSL,X,X,X,X,X,O,O,X,X,X,X,X
ITZSLJO,O,X,O,O,O,O,O,O,O,X,O,X
ITZSLOJ,O,X,O,O,O,O,O,O,O,X,O,X
ITZSJLO,O,X,O,O,O,O,O,O,O,X,O,X
ITZSJOL,X,X,X,X,X,O,O,X,X,X,X,X
ITZSOLJ,O,X,O,O,O,O,O,O,O,X,O,X
ITZSOJL,X,X,O,X,X,O,O,X,X,X,O,X
