sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
ZIJLSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIJLOTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZIJLOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZIJSTLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZIJSTOL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
ZIJSLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIJSLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIJSOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZIJSOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIJOTLS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZIJOTSL,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJOLTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIJOLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJOSTL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIJOSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISTLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZISTLOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
ZISTJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZISTJOL,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
ZISTOLJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
ZISTOJL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
ZISLTJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
ZISLTOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
ZISLJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISLJOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISLOTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZISLOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISJTLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
ZISJTOL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZISJLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZISJOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISOTLJ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O
ZISOTJL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZISOLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ZISOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISOJTL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZISOJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOTLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZIOTLSJ,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ZIOTJLS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZIOTJSL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZIOTSLJ,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
ZIOTSJL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
ZIOLTJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZIOLTSJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ZIOLJTS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOLJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOLSTJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOJTLS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOJTSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZIOJLTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOJLST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ZIOJSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOSTLJ,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
ZIOSTJL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
ZIOSLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
ZIOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOSJTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
ZIOSJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTIJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTISJO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZLTISOJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLTIOJS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLTIOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLTJISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTJIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTJSIO,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
ZLTJSOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTJOSI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTSIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLTSIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLTSJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZLTSJOI,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZLTSOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLTSOJI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLTOIJS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLTOISJ,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZLTOJIS,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLTOJSI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLTOSIJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLTOSJI,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZLITJSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLITJOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLITSJO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
ZLITSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLITOJS,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLITOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLIJTSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJTOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJSTO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJOTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLISTJO,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZLISTOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLISJTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLISJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZLISOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTJS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLIOSJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLJTIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLJTSIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZLJTSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJTOIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJTOSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJITSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLJITOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLJISTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJIOTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLJSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJSIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJSOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJOTIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOTSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOITS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOSTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSTIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSTJIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSTJOI,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLSTOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSTOJI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSITJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSITOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSIJTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSIJOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZLSIOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSJTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSJIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSJOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOTIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSOTJI,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSOITJ,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZLSOIJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLSOJIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLOTIJS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOTISJ,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZLOTJIS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOTJSI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLOTSIJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLOTSJI,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZLOITJS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOITSJ,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZLOIJTS,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOIJST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLOISJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOJTSI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLOJITS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOJIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLOJSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLOSTJI,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLOSITJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLOSIJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLOSJIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJTILOS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJTISLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJTISOL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
ZJTIOLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJTIOSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
ZJTLISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJTLIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJTLSIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJTLOIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJTLOSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJTSILO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJTSIOL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJTSLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZJTSLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
ZJTSOIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZJTSOLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJTOILS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJTOISL,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJTOLIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJTOLSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZJTOSIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZJTOSLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJITLSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJITLOS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJITSLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJITSOL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
ZJITOLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJITOSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
ZJILTSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJILTOS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJILSTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJILSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJILOTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOST,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJISTOL,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X
ZJISLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISOTL,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZJISOLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJIOTLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZJIOTSL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJIOLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJIOLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ZJIOSLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJLTISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJLTIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJLTSIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJLTSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJLTOIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTOSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLITSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJLITOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJLISTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJLISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLIOTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJLIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJLSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLSIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLSOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLOTIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLOTSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLOITS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLOIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJSTIOL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJSTLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZJSTLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
ZJSTOIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
ZJSTOLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
ZJSITLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJSITOL,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
ZJSILTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSILOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJSIOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJSLTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
ZJSOTLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
ZJSOITL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJSOILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJOTILS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJOTISL,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJOTLIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJOTLSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZJOTSIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZJOTSLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJOITLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZJOITSL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJOILTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJOILST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ZJOISLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJOLTIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJOLTSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZJOLITS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZJOLIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJOLSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
ZJOSTLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
ZJOSITL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJOSILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTILJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZSTILOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
ZSTIJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZSTIJOL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
ZSTIOLJ,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,O
ZSTIOJL,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
ZSTLIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
ZSTLIOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
ZSTLJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTLJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
ZSTLOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZSTLOJI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZSTJILO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZSTJIOL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
ZSTJLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTJLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
ZSTJOIL,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X
