sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
TJZLOIS,O,X,O,O,O,X,X,X,O,X
TJZLOSI,O,X,X,O,O,X,X,X,O,X
TJZSILO,O,X,X,O,O,X,X,X,X,X
TJZSIOL,O,X,X,O,X,O,X,X,X,X
TJZSLIO,O,X,X,O,O,X,X,X,X,X
TJZSLOI,O,X,X,O,O,O,X,O,X,X
TJZSOIL,O,X,X,O,X,O,X,O,X,X
TJZSOLI,O,X,X,O,X,O,X,O,X,X
TJZOILS,O,X,O,O,O,X,X,X,O,X
TJZOISL,O,X,X,O,O,O,X,O,X,X
TJZOLIS,O,X,O,O,O,X,X,X,O,X
TJZOLSI,O,X,O,O,O,X,X,X,O,X
TJZOSIL,O,X,X,O,O,O,X,O,X,X
TJZOSLI,O,X,X,O,O,O,X,O,X,X
TJOILSZ,O,O,O,X,O,X,X,O,O,O
TJOILZS,X,O,O,X,O,X,X,X,O,X
TJOISLZ,O,O,O,X,O,X,X,O,O,X
TJOISZL,O,X,O,O,O,X,X,O,X,X
TJOIZLS,O,X,O,O,O,X,X,X,O,X
TJOIZSL,O,X,X,O,O,O,X,O,X,X
TJOLISZ,O,O,O,X,O,X,X,O,O,O
TJOLIZS,X,O,O,X,O,X,X,X,O,X
TJOLSIZ,O,O,O,X,O,X,X,O,O,O
TJOLSZI,X,O,O,X,O,X,X,O,O,O
TJOLZIS,X,O,O,X,O,X,X,X,O,X
TJOLZSI,X,O,O,X,O,X,X,X,O,X
TJOSILZ,O,O,O,X,O,X,X,O,O,X
TJOSIZL,O,X,O,O,O,X,X,O,X,X
TJOSLIZ,X,X,O,X,O,X,X,O,O,X
TJOSLZI,X,X,O,X,O,X,X,O,O,X
TJOSZIL,X,X,O,X,O,X,X,O,X,X
TJOSZLI,X,X,O,X,O,X,X,O,X,X
TJOZILS,O,X,O,O,O,X,X,X,O,X
TJOZISL,O,X,X,O,O,O,X,O,X,X
TJOZLIS,O,X,O,O,O,X,X,X,O,X
TJOZLSI,O,X,O,O,O,X,X,X,O,X
TJOZSIL,O,X,X,O,O,O,X,O,X,X
TJOZSLI,O,X,X,O,O,O,X,O,X,X
TSILJZO,O,O,O,X,X,X,O,X,X,X
TSILJOZ,O,O,O,X,X,X,X,X,X,X
TSILZJO,O,O,O,X,O,X,O,X,X,X
TSILZOJ,O,O,O,X,O,X,O,X,X,X
TSILOJZ,X,O,X,X,X,X,O,X,X,X
TSILOZJ,X,X,O,X,X,X,O,X,X,X
TSIJLZO,O,O,O,X,X,X,O,X,X,X
TSIJLOZ,O,O,O,X,X,X,X,X,X,X
TSIJZLO,O,X,O,O,X,X,O,X,X,X
TSIJZOL,O,X,O,O,X,X,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,O,X,X,X
TSIJOZL,O,X,O,O,X,X,O,X,X,X
TSIZLJO,O,X,O,X,O,X,O,X,X,X
TSIZLOJ,X,X,O,X,O,X,O,X,X,X
TSIZJLO,O,X,O,O,X,X,O,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,X,X
TSIZOLJ,X,X,O,X,X,X,O,X,X,X
TSIZOJL,O,X,O,X,X,X,O,X,X,X
TSIOLJZ,X,X,O,X,X,X,O,X,X,X
TSIOLZJ,X,X,O,X,X,X,O,X,X,X
TSIOJLZ,X,X,O,X,X,X,O,X,X,X
TSIOJZL,X,X,O,X,X,X,O,X,X,X
TSIOZLJ,X,X,O,X,X,X,O,X,X,X
TSIOZJL,X,X,O,X,X,X,O,X,X,X
TSLIJZO,O,O,O,X,X,X,O,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,X,X,O
TSLIZJO,O,O,O,X,O,X,O,X,X,X
TSLIZOJ,O,O,O,X,O,X,O,X,X,X
TSLIOJZ,X,O,X,X,X,X,O,X,X,O
TSLIOZJ,X,O,O,X,X,X,O,X,X,O
TSLJIZO,O,O,O,X,X,X,O,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X,X,O
TSLJZIO,X,O,O,X,X,X,O,X,X,X
TSLJZOI,X,O,O,X,X,X,O,X,X,O
TSLJOIZ,O,O,O,X,X,X,X,X,X,O
TSLJOZI,X,O,O,X,X,X,X,X,X,O
TSLZIJO,O,O,O,X,O,X,O,X,X,X
TSLZIOJ,O,O,O,X,O,X,O,X,X,X
TSLZJIO,O,O,O,X,O,X,O,X,X,X
TSLZJOI,O,O,O,X,O,X,O,X,X,O
TSLZOIJ,O,O,O,X,O,X,O,X,X,O
TSLZOJI,O,O,O,X,O,X,O,X,X,O
TSLOIJZ,O,O,O,X,X,X,O,X,O,O
TSLOIZJ,O,O,O,X,X,X,O,X,X,O
TSLOJIZ,O,O,O,X,X,X,X,X,O,O
TSLOJZI,X,O,O,X,X,X,O,X,O,O
TSLOZIJ,O,O,O,X,X,X,O,X,X,O
TSLOZJI,O,O,O,X,X,X,O,X,X,O
TSJILZO,O,O,O,X,O,X,O,X,X,X
TSJILOZ,O,O,O,X,X,X,X,O,X,X
TSJIZLO,O,X,O,O,O,X,O,X,X,X
TSJIZOL,O,X,O,O,X,X,X,X,X,X
TSJIOLZ,O,O,O,X,X,X,O,O,X,X
TSJIOZL,O,X,O,O,X,X,O,O,X,X
