sequence,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBxcB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem6IvhFRcBSiB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBfhB?xcBqmBTiBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFfiB6iB?xfBTfB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFGdBRhB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFfhBxcB?umBcnBTfBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeK/IvhFzaBGdB?RhBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBTdB?3fBxmB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBzbB?CdBxmBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhF0cBTfB?mgBSnBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhFXdBTfB?mgBSnB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Je2/IvhFCcBxhB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFzbB3fB?xmBumBcnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jez7IvhFWiB0kB?xmBikBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeC8IvhFTdB3fB?xmB2pB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFxfB3hB?cnBTfBCnBlpB
IZLJOST,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZLSTJO,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJTO,X,O,O,O,X,O,X,X,X,X,X,O,X,X,O,O
IZLSJOT,X,X,O,O,X,O,X,X,O,X,X,O,X,O,O,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOJT,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X
IZLOTJS,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZLOTSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZLOJST,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJTLSO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
IZJTLOS,X,O,X,X,O,X,O,X,X,X,X,O,X,O,X,X
IZJTSLO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
IZJTSOL,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZJTOSL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
IZJLSTO,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
IZJLSOT,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X
IZJLOTS,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
IZJLOST,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZJSTLO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O
IZJSTOL,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
IZJSLTO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
IZJSLOT,O,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X
IZJSOTL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
IZJSOLT,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZJOLST,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IZSTLJO,X,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O
IZSTLOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSTJLO,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O
IZSTJOL,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O
IZSTOLJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSTOJL,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IZSLTJO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X
IZSLTOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSLJTO,O,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O
IZSLJOT,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,X
IZSLOTJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSLOJT,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X
IZSJTLO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,O,O
IZSJTOL,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O
IZSJLTO,O,O,O,O,X,O,X,X,O,X,X,O,O,X,O,O
IZSJLOT,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,X
IZSJOTL,O,X,X,X,X,O,X,X,O,X,X,X,O,X,O,O
IZSJOLT,O,O,O,O,X,O,X,O,O,X,X,X,O,O,O,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOLJT,O,O,X,O,X,X,X,O,O,X,X,X,O,O,O,X
IZSOJTL,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IZSOJLT,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X
IZOTLJS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOTJSL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOTSJL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOLJST,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOLSTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IZOJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOJTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOJLST,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZOJSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLJT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
IZOSJTL,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZOSJLT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
IOTLJSZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IOTLSZJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTJSZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTJZSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTSJZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTSZJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZLJS,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTZLSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJLS,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTZJSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZSJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOLTZJS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLSTJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
IOLSZTJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IOLSZJT,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IOLZTJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLZTSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLZJST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJTLSZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJTSZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJTZSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJSTLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSZLT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJZLST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJZSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IOSTLJZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSTZJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSLZJT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IOSJTLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSJZLT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSZLJT,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
IOSZJTL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IOSZJLT,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
IOZTLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZTJSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZLTJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZLJST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZJTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZJTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZJLST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZJSLT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSLJT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
IOZSJTL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IOZSJLT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
LTIJSZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTIJZSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTIJZOS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTIJOZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LTISJZO,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X
LTISJOZ,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
LTISZJO,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X
LTISZOJ,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X
LTISOJZ,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X
LTISOZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
LTIZJSO,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
LTIZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTIZSJO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O
LTIZSOJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTIOJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LTIOSJZ,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
LTIOSZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJIZOS,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTJIOZS,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
LTJSIZO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTJSZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTJSZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJZISO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJZIOS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJZSIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJZSOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTJZOSI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTJOISZ,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOIZS,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOSIZ,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTSIJZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X
LTSIJOZ,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
LTSIZJO,O,O,O,X,O,O,O,O,X,X,X,X,O,X,O,X
LTSIZOJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
LTSIOJZ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X
LTSIOZJ,O,O,O,X,X,X,O,O,X,X,O,X,O,X,X,X
LTSJIZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
LTSJIOZ,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
LTSJZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTSJZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
LTSJOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSZIJO,O,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X
LTSZIOJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTSZJIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTSZJOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
LTSZOJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSOIJZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,O,X,X,O,X,O,X,X,X
LTSOJIZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
LTSOJZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
LTSOZJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
LTZIJSO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
LTZIJOS,X,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTZISJO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
LTZISOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZIOJS,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJISO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
LTZJIOS,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTZJSIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZJSOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTZJOSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTZSIJO,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O
LTZSIOJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O
LTZSJOI,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTZSOJI,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X
LTZOIJS,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZOJIS,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTZOJSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZOSJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
LTOIJSZ,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
LTOIJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LTOISJZ,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
LTOISZJ,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X
LTOIZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTOIZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTOJIZS,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTOJSZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTOJZIS,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTOJZSI,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOSIJZ,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
LTOSIZJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
LTOSJIZ,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
LTOSJZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
LTOSZJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
LTOZIJS,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X
LTOZISJ,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTOZJIS,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTOZJSI,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTOZSIJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
