sequence,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBihBUjBF?nBTrB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFCeB/mBUiBT?jB2wBlsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeU8IvhFFdBXeBSoBT?mB2sBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhB3iBcoBK?rBGmBTsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhF+iBTeBlhBK?rBXoBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFGeBRiBFnBX?oBTrBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeF8IvhFxdB3iBcoBO?rBzmBSxB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhBcnBTjBK?rBGmB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFxdBGjBFnB8?sBTrBfsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Je38IvhFciBTeBamBW?sBFoBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBliBimBX?oBUsBTrB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeT+IvhFxhBUhB/sBF?oBCnB2wB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFThBcoBXnBl?nB2wBCtB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeG9IvhFTeB3hBxnB0?rBlsBarB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFXiBTjB0rBl?sBOrBCtB
IZJOLST,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJOSTL,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJOSLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSTLJO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
IZSTLOJ,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X
IZSTJLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
IZSTJOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O
IZSTOLJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZSTOJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
IZSLTJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
IZSLTOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
IZSLJTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZSLJOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZSLOTJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
IZSLOJT,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZSJTLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
IZSJTOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X
IZSJLTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZSJLOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZSJOTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
IZSJOLT,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
IZSOTLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZSOTJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
IZSOLTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZSOJTL,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZSOJLT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZOTLJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IZOTLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
IZOTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IZOTSJL,O,X,O,O,X,X,O,X,X,X,X,X,X,O,O
IZOLTJS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IZOLJST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZOJTLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IZOJTSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZOSTJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
IZOSLTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IZOSJTL,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
IZOSJLT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
IOTLJSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTLZJS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTJLSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZLS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZSL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTSLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
IOTSZJL,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
IOTZLJS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTZJLS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTZJSL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O
IOTZSLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTZSJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O
IOLTJSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLJZST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLZSJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJTZLS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZSL,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X
IOJLTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJLZTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJLZST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJSTLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJSLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJSZTL,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOJSZLT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJZTLS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJZLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJZSTL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJZSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOSTLJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSTZJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSLTJZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOSLZJT,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IOSJLTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
IOSJZTL,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOSJZLT,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X
IOSZTLJ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X
IOSZTJL,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X
IOSZLTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOSZLJT,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X
IOSZJTL,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOSZJLT,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X
IOZTLJS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZTJLS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
IOZTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZTSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O
IOZLTJS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOZLSJT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJLST,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X
IOZSTJL,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X
IOZSLTJ,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOZSLJT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOZSJTL,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IOZSJLT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
LTIJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTIJZOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
LTIZJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTIZSJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTIZOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LTIZOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LTIOJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOJZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LTIOSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOZJS,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
LTIOZSJ,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X
LTJISZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJSIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSZOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJZIOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJZSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTJZSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTJZOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
LTJOISZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJOZSI,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTSIJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSIZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTSIOZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSJIZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
LTSJZIO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
LTSJOZI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSZIJO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSZJIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSZOJI,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSOIZJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSOJIZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSOJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSOZJI,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTZIJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
LTZIJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTZISJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
LTZISOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTZIOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LTZIOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LTZJISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
LTZJIOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZJSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
LTZJSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
LTZJOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZJOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O
LTZSIJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
LTZSIOJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
LTZSJIO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
LTZSJOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
LTZSOIJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSOJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTZOIJS,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X
LTZOISJ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTZOJIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZOJSI,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O
LTZOSIJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOSJI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
LTOIJSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOIJZS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOISJZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
LTOISZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
LTOIZJS,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X
LTOIZSJ,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
LTOJISZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJIZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJSIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTOJZSI,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
LTOSIZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
LTOSJIZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
LTOSJZI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTOSZJI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTOZIJS,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X
LTOZISJ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOZJIS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTOZJSI,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O
LTOZSIJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LTOZSJI,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
LITJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LITJZOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LITJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LITSJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
LITZJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LITZSJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
LITZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LITZOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LITZOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LITOJSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LITOSJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOZJS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LITOZSJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LIJTSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIJTZOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LIJSTZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LIJSZOT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIJZTOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIJZSTO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIJZSOT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LIJZOTS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LIJZOST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOSZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJOZTS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LIJOZST,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LISTJZO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LISTJOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LISTZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LISTZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LISTOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
