sequence,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBXgBl?hBcqBerB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFGbB0cB6iBZ?lBVmBzqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF0cB6iBlfB3?gBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFXgBxhBGiBF?mB0qBiqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBlgBGiBa?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBFlBX?mBiqB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF6iB0fBlgB3?hBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBUlBF?mBKqBfrB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFFbBxcBUhBG?iBTlByvB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhF6iBlhBRlBO?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBfmBl?hBUlB2vB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFZhBTgBCiBG?iB0qBFqB
TSLJOZI,O,O,O,X,O,O,X,X,O,X,X,X
TSLZIJO,X,O,O,X,X,X,O,X,O,X,X,X
TSLZIOJ,O,O,O,X,X,X,O,X,O,X,X,O
TSLZJIO,O,O,X,X,O,X,O,X,O,X,X,X
TSLZJOI,O,O,X,X,O,X,O,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,X,O,X,O,X,X,O
TSLZOJI,O,O,X,X,O,X,O,X,O,X,X,X
TSLOIJZ,O,O,O,O,O,X,X,X,O,O,X,X
TSLOIZJ,O,O,O,X,X,X,O,X,O,X,X,X
TSLOJIZ,O,O,O,X,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,X,O,O,O,X,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,O,X,O,X,X,X
TSLOZJI,O,O,O,X,O,X,O,X,O,X,X,X
TSJILZO,O,O,O,X,O,O,X,X,O,X,X,X
TSJILOZ,O,O,O,X,O,O,X,X,O,X,X,X
TSJIZLO,O,O,O,X,X,O,X,O,O,X,X,X
TSJIZOL,O,O,O,X,X,O,X,O,O,X,X,X
TSJIOLZ,O,O,O,O,X,O,X,X,O,X,X,X
TSJIOZL,X,O,O,O,X,O,X,X,O,X,X,X
TSJLIZO,O,O,O,X,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TSJLZIO,O,O,O,X,O,O,O,X,O,X,X,X
TSJLZOI,O,O,O,X,O,O,O,X,O,X,X,X
TSJLOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,X,O,O,X,X,O,X,X,X
TSJZILO,O,O,O,X,X,O,O,O,O,X,X,X
TSJZIOL,O,O,O,X,X,O,X,O,O,X,X,X
TSJZLIO,O,O,O,X,X,O,O,O,O,X,X,X
TSJZLOI,O,O,O,X,X,O,O,O,O,X,X,X
TSJZOIL,O,X,O,X,X,O,X,O,O,X,X,X
TSJZOLI,O,O,O,X,X,O,X,O,X,X,X,X
TSJOILZ,O,X,O,O,X,O,X,X,O,X,X,X
TSJOIZL,X,X,O,O,X,O,X,X,O,X,X,X
TSJOLIZ,O,X,O,X,X,O,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,O,X,X,X,X,X,X
TSJOZIL,O,X,O,X,X,O,X,X,O,X,X,X
TSJOZLI,O,O,O,X,X,O,X,O,X,X,X,X
TSZILJO,X,O,O,X,X,X,O,X,O,X,X,X
TSZILOJ,O,O,O,O,X,X,O,X,O,X,X,O
TSZIJLO,X,O,X,X,X,X,O,X,O,X,X,X
TSZIJOL,X,O,X,O,X,X,X,X,O,X,X,X
TSZIOLJ,O,O,X,O,X,X,O,X,X,X,X,O
TSZIOJL,X,O,X,O,X,X,X,X,O,X,X,X
TSZLIJO,X,O,O,X,X,X,O,X,O,X,X,X
TSZLIOJ,O,O,O,O,X,X,O,X,O,X,X,O
TSZLJIO,O,O,X,X,X,X,O,X,O,X,X,X
TSZLJOI,O,O,X,X,X,X,O,X,O,X,X,X
TSZLOIJ,O,O,X,O,X,X,O,X,O,X,X,O
TSZLOJI,O,O,X,X,X,X,O,X,O,X,X,X
TSZJILO,O,O,X,X,X,O,O,O,O,X,X,X
TSZJIOL,O,O,X,O,X,O,X,O,O,X,X,X
TSZJLIO,O,O,X,X,X,O,O,O,O,X,X,X
TSZJLOI,O,O,X,X,X,O,O,O,O,X,X,X
TSZJOIL,O,X,X,O,X,O,X,O,O,X,X,X
TSZJOLI,O,O,X,X,X,O,X,O,X,X,X,X
TSZOILJ,O,O,X,O,X,X,O,X,X,X,X,O
TSZOIJL,X,O,X,O,X,X,X,X,O,X,X,X
TSZOLIJ,O,O,X,O,X,X,O,X,X,X,X,O
TSZOLJI,O,O,X,X,X,X,O,X,X,X,X,X
TSZOJIL,O,O,X,O,X,O,X,X,O,X,X,X
TSZOJLI,O,O,X,X,X,O,X,O,X,X,X,X
TSOILJZ,O,O,O,O,X,X,X,X,X,O,X,X
TSOILZJ,O,O,O,X,X,X,O,X,X,X,X,X
TSOIJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TSOIJZL,X,O,O,O,X,O,X,X,X,X,X,X
TSOIZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TSOIZJL,X,O,O,O,X,X,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,X,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,O,X,X,O,X,X,X
TSOLJZI,O,O,O,X,X,O,O,X,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,O,X,O,X,X,X
TSOLZJI,O,O,O,X,X,X,O,X,O,X,X,X
TSOJILZ,O,O,O,O,X,O,X,X,O,X,X,X
TSOJIZL,X,O,O,O,X,O,X,X,O,X,X,X
TSOJLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOJLZI,O,O,O,X,X,O,O,X,X,X,X,X
TSOJZIL,O,O,O,X,X,O,O,X,O,X,X,X
TSOJZLI,O,O,O,X,X,O,O,O,X,X,X,X
TSOZILJ,O,O,O,O,X,X,O,X,X,X,X,X
TSOZIJL,X,O,O,O,X,X,O,X,O,X,X,X
TSOZLIJ,O,O,O,O,X,X,O,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,O,X,X,X,X,X
TSOZJIL,O,O,O,O,X,O,O,X,O,X,X,X
TSOZJLI,O,O,O,X,X,O,O,O,X,X,X,X
TZILJSO,O,O,O,X,X,X,O,X,X,X,X,X
TZILJOS,O,X,O,X,X,X,X,X,X,O,X,X
TZILSJO,X,O,O,X,X,X,O,X,O,X,X,X
TZILSOJ,X,O,O,O,X,X,O,X,O,X,X,O
TZILOJS,O,X,O,X,X,X,O,X,X,O,X,X
TZILOSJ,X,O,O,X,X,X,O,X,X,X,X,O
TZIJLSO,O,O,O,X,X,X,O,O,X,X,X,X
TZIJLOS,O,X,O,X,X,X,X,O,X,X,X,X
TZIJSLO,O,O,O,X,X,X,O,O,X,X,X,X
TZIJSOL,O,O,X,O,X,X,X,O,X,X,X,X
TZIJOLS,O,X,O,X,X,X,X,O,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X,O,X,X,X,X
TZISLJO,X,O,O,X,X,X,O,X,O,X,X,X
TZISLOJ,X,O,O,O,X,X,O,X,O,X,X,O
TZISJLO,X,O,X,X,X,X,O,X,O,X,X,X
TZISJOL,X,O,X,O,X,X,X,X,O,X,X,X
TZISOLJ,X,O,X,O,X,X,O,X,X,X,X,O
TZISOJL,X,O,X,O,X,X,X,X,O,X,X,X
TZIOLJS,O,X,O,X,X,X,O,X,X,O,X,X
TZIOLSJ,X,O,O,X,X,X,O,X,X,X,X,O
TZIOJLS,X,X,O,X,X,X,O,O,X,X,X,X
TZIOJSL,X,X,O,X,X,X,O,X,X,X,X,X
TZIOSLJ,X,O,O,O,X,X,O,X,X,X,X,O
TZIOSJL,X,O,O,O,X,X,O,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,O,X,X,X,X,X
TZLIJOS,O,X,O,X,X,X,X,X,X,O,X,X
TZLISJO,X,O,O,X,X,X,O,X,O,X,X,X
TZLISOJ,X,O,O,O,X,X,O,X,O,X,X,O
TZLIOJS,O,X,O,X,X,X,O,X,X,O,X,X
TZLIOSJ,X,O,O,X,X,X,O,X,X,X,X,O
TZLJISO,O,O,O,X,X,X,O,O,O,X,X,X
TZLJIOS,O,X,O,X,X,X,X,O,X,X,X,X
TZLJSIO,O,O,O,X,X,X,O,O,O,X,X,X
TZLJSOI,O,O,O,X,X,X,O,O,O,X,X,X
TZLJOIS,O,X,O,X,X,X,X,O,X,X,X,X
TZLJOSI,O,X,O,X,X,X,X,O,X,X,X,X
TZLSIJO,X,O,O,X,X,X,O,X,O,X,O,X
TZLSIOJ,O,O,O,O,X,X,O,X,O,X,O,O
TZLSJIO,O,O,X,X,X,X,O,X,O,X,O,X
TZLSJOI,O,O,X,X,X,X,O,X,O,X,O,X
TZLSOIJ,O,O,X,O,X,X,O,X,O,X,O,O
TZLSOJI,O,O,X,X,X,X,O,X,O,X,O,X
TZLOIJS,O,O,O,X,X,X,O,X,X,O,X,X
TZLOISJ,X,O,O,X,X,X,O,X,X,X,X,O
TZLOJIS,O,O,O,X,X,X,O,O,X,X,X,X
TZLOJSI,O,O,O,X,X,X,O,O,X,X,X,X
TZLOSIJ,X,O,O,X,X,X,O,X,X,X,O,O
TZLOSJI,O,O,O,X,X,X,O,X,X,X,O,X
TZJILSO,O,O,O,X,X,X,O,O,O,X,X,X
TZJILOS,O,X,O,X,X,X,X,O,X,X,X,X
TZJISLO,O,O,O,X,X,X,O,O,O,X,X,X
TZJISOL,O,O,O,O,X,X,X,O,O,X,X,X
TZJIOLS,O,X,O,X,X,X,X,O,X,X,X,X
TZJIOSL,O,X,X,X,X,X,X,O,X,X,X,X
TZJLISO,O,O,O,X,X,X,O,O,O,X,X,X
TZJLIOS,O,X,O,X,X,X,X,O,X,X,X,X
TZJLSIO,O,O,O,X,X,X,O,O,O,X,X,X
TZJLSOI,O,O,O,X,X,X,O,O,O,X,X,X
TZJLOIS,O,X,O,X,X,X,X,O,X,X,X,X
TZJLOSI,O,X,O,X,X,X,X,O,X,X,X,X
TZJSILO,O,O,O,X,X,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,X,O,X,O,O,X,X,X
TZJSLIO,O,O,O,X,X,O,O,O,O,X,X,X
TZJSLOI,O,O,O,X,X,O,O,O,O,X,X,X
TZJSOIL,O,X,O,O,X,O,X,O,O,X,X,X
TZJSOLI,O,O,O,X,X,O,X,O,X,X,X,X
TZJOILS,O,X,O,X,X,X,X,O,X,X,X,X
TZJOISL,O,X,O,X,X,X,X,O,X,X,X,X
TZJOLIS,O,X,O,X,X,X,X,O,X,X,X,X
TZJOLSI,O,X,O,X,X,X,X,O,X,X,X,X
TZJOSIL,O,X,O,X,X,O,X,O,X,X,X,X
TZJOSLI,O,X,O,X,X,O,X,O,X,X,X,X
TZSILJO,X,O,O,X,X,X,O,X,O,X,O,X
TZSILOJ,O,O,O,O,X,X,O,X,O,X,O,O
TZSIJLO,X,O,X,X,X,X,O,X,O,X,O,X
TZSIJOL,X,O,X,O,X,X,X,X,O,X,O,X
TZSIOLJ,O,O,X,O,X,X,O,X,X,X,O,O
TZSIOJL,X,O,X,O,X,X,X,X,O,X,O,X
TZSLIJO,X,O,O,X,X,X,O,X,O,X,O,X
TZSLIOJ,O,O,O,O,X,X,O,X,O,X,O,O
TZSLJIO,O,O,X,X,X,X,O,X,O,X,O,X
TZSLJOI,O,O,X,X,X,X,O,X,O,X,O,X
TZSLOIJ,O,O,X,O,X,X,O,X,O,X,O,O
TZSLOJI,O,O,X,X,X,X,O,X,O,X,O,X
TZSJILO,O,O,X,X,X,O,O,O,O,X,O,X
TZSJIOL,O,O,X,O,X,O,X,O,O,X,O,X
TZSJLIO,O,O,X,X,X,O,O,O,O,X,O,X
TZSJLOI,O,O,X,X,X,O,O,O,O,X,O,X
TZSJOIL,O,X,X,O,X,O,X,O,O,X,O,X
TZSJOLI,O,O,X,X,X,O,X,O,X,X,O,X
TZSOILJ,O,O,X,O,X,X,O,X,X,X,O,O
TZSOIJL,X,O,X,O,X,X,X,X,O,X,O,X
TZSOLIJ,O,O,X,O,X,X,O,X,X,X,O,O
TZSOLJI,O,O,X,X,X,X,O,X,X,X,O,X
TZSOJIL,O,O,X,O,X,O,X,X,O,X,O,X
TZSOJLI,O,O,X,X,X,O,X,O,X,X,O,X
TZOILJS,O,O,O,X,X,X,O,X,X,O,X,X
TZOILSJ,X,O,O,X,X,X,O,X,X,X,X,O
TZOIJLS,X,O,O,X,X,X,O,O,X,X,X,X
TZOIJSL,X,O,O,X,X,X,O,X,X,X,X,X
TZOISLJ,X,O,O,O,X,X,O,X,X,X,X,O
TZOISJL,X,O,O,O,X,X,O,X,X,X,X,X
TZOLIJS,O,O,O,X,X,X,O,X,X,O,X,X
TZOLISJ,X,O,O,X,X,X,O,X,X,X,X,O
TZOLJIS,O,O,O,X,X,X,O,O,X,X,X,X
TZOLJSI,O,O,O,X,X,X,O,O,X,X,X,X
TZOLSIJ,X,O,O,X,X,X,O,X,X,X,O,O
TZOLSJI,O,O,O,X,X,X,O,X,X,X,O,X
TZOJILS,O,O,O,X,X,X,O,O,X,X,X,X
TZOJISL,O,O,O,X,X,X,O,O,X,X,X,X
TZOJLIS,O,O,O,X,X,X,O,O,X,X,X,X
TZOJLSI,O,O,O,X,X,X,O,O,X,X,X,X
TZOJSIL,O,O,O,X,X,O,O,O,X,X,X,X
TZOJSLI,O,O,O,X,X,O,O,O,X,X,X,X
TZOSILJ,X,O,O,O,X,X,O,X,X,X,O,O
TZOSIJL,X,O,O,O,X,X,O,X,X,X,O,X
TZOSLIJ,X,O,O,O,X,X,O,X,X,X,O,O
TZOSLJI,O,O,O,X,X,X,O,X,X,X,O,X
TZOSJIL,X,O,O,O,X,O,O,X,X,X,O,X
TZOSJLI,X,O,O,X,X,O,O,O,X,X,O,X
TOILJSZ,O,O,O,X,X,X,X,X,X,O,X,X
TOILJZS,O,O,O,X,X,X,X,X,X,O,X,X
TOILSJZ,O,O,O,O,X,X,X,X,X,O,X,X
TOILSZJ,X,O,O,X,X,X,O,X,X,X,X,X
TOILZJS,O,O,O,X,X,X,O,X,X,O,X,X
TOILZSJ,X,O,O,X,X,X,O,X,X,X,X,X
TOIJLSZ,O,O,O,X,X,X,X,X,X,O,X,X
TOIJLZS,O,O,O,X,X,X,X,X,X,O,X,X
TOIJSLZ,O,O,O,O,X,O,X,X,X,X,X,X
TOIJSZL,X,O,O,O,X,O,X,X,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X,O,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X,X,X,X,X
TOISLJZ,O,O,O,O,X,X,X,X,X,O,X,X
TOISLZJ,X,O,O,X,X,X,O,X,X,X,X,X
TOISJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TOISJZL,X,O,O,O,X,O,X,X,X,X,X,X
TOISZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOISZJL,X,O,O,O,X,X,O,X,X,X,X,X
TOIZLJS,O,O,O,X,X,X,O,X,X,O,X,X
TOIZLSJ,X,O,O,X,X,X,O,X,X,X,X,X
TOIZJLS,X,O,O,X,X,X,O,O,X,X,X,X
TOIZJSL,X,O,O,X,X,X,O,X,X,X,X,X
TOIZSLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOIZSJL,X,O,O,O,X,X,O,X,X,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X,X,O,X,X
TOLIJZS,O,O,O,X,X,X,X,X,X,O,X,X
TOLISJZ,O,O,O,O,X,X,X,X,X,O,X,X
TOLISZJ,X,O,O,X,X,X,O,X,X,X,X,X
TOLIZJS,O,O,O,X,X,X,O,X,X,O,X,X
TOLIZSJ,X,O,O,X,X,X,O,X,X,X,X,X
TOLJISZ,O,O,O,X,O,X,X,X,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X,X,X,O,X,X
TOLJSIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOLJSZI,O,O,O,X,O,O,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,O,O,X,X,X,X
TOLJZSI,O,O,O,X,O,X,O,O,X,X,X,X
TOLSIJZ,O,O,O,X,O,X,X,X,X,O,X,X
TOLSIZJ,O,O,O,X,X,X,O,X,X,X,X,X
TOLSJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOLSJZI,O,O,O,X,O,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,O,X,X,X,X,X
TOLSZJI,O,O,O,X,O,X,O,X,X,X,X,X
TOLZIJS,O,O,O,X,X,X,O,X,X,O,X,X
TOLZISJ,X,O,O,X,X,X,O,X,X,X,X,X
TOLZJIS,O,O,O,X,X,X,O,O,X,X,X,X
TOLZJSI,O,O,O,X,O,X,O,O,X,X,X,X
TOLZSIJ,X,O,O,X,X,X,O,X,X,X,O,X
TOLZSJI,O,O,O,X,X,X,O,X,X,X,O,X
TOJILSZ,O,O,O,X,O,X,X,X,X,O,X,X
TOJILZS,O,O,O,X,X,X,X,X,X,O,X,X
TOJISLZ,O,O,O,O,X,O,X,X,X,X,X,X
TOJISZL,X,O,O,O,X,O,X,X,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,O,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,O,X,X,X,X
TOJLISZ,O,O,O,X,O,X,X,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X,X,X,O,X,X
TOJLSIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOJLSZI,O,O,O,X,O,O,O,X,X,X,X,X
TOJLZIS,O,O,O,X,X,X,O,O,X,X,X,X
TOJLZSI,O,O,O,X,O,X,O,O,X,X,X,X
TOJSILZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJSIZL,X,O,O,X,X,O,X,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJSLZI,O,O,O,X,X,O,O,X,X,X,X,X
TOJSZIL,O,O,O,X,X,O,O,X,X,X,X,X
TOJSZLI,O,O,O,X,X,O,O,O,X,X,X,X
TOJZILS,O,O,O,X,X,X,O,O,X,X,X,X
TOJZISL,O,O,O,X,X,X,O,O,X,X,X,X
TOJZLIS,O,O,O,X,X,X,O,O,X,X,X,X
TOJZLSI,O,O,O,X,X,X,O,O,X,X,X,X
TOJZSIL,O,O,O,X,X,O,O,O,X,X,X,X
TOJZSLI,O,O,O,X,X,O,O,O,X,X,X,X
TOSILJZ,O,O,O,O,X,X,X,X,X,O,X,X
TOSILZJ,O,O,O,X,X,X,O,X,X,X,X,X
TOSIJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TOSIJZL,X,O,O,O,X,O,X,X,X,X,X,X
TOSIZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOSIZJL,X,O,O,O,X,X,O,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X,X,O,X,X
TOSLIZJ,O,O,O,X,X,X,O,X,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSLJZI,O,O,O,X,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,O,X,X,X,O,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,O,X,X,X,X,X
TOSJILZ,O,O,O,O,X,O,X,X,X,X,X,X
TOSJIZL,X,O,O,O,X,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSJLZI,O,O,O,X,X,O,O,X,X,X,X,X
TOSJZIL,O,O,O,X,X,O,O,X,X,X,X,X
TOSJZLI,O,O,O,X,X,O,O,O,X,X,X,X
TOSZILJ,O,O,O,O,X,X,O,X,X,X,X,X
TOSZIJL,X,O,O,O,X,X,O,X,X,X,X,X
TOSZLIJ,O,O,O,O,X,X,O,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,O,X,X,X,X,X
TOSZJIL,O,O,O,O,X,O,O,X,X,X,X,X
TOSZJLI,O,O,O,X,X,O,O,O,X,X,X,X
TOZILJS,O,O,O,X,X,X,O,X,X,O,X,X
TOZILSJ,X,O,O,X,X,X,O,X,X,X,X,X
TOZIJLS,X,O,O,X,X,X,O,O,X,X,X,X
TOZIJSL,X,O,O,X,X,X,O,X,X,X,X,X
TOZISLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOZISJL,X,O,O,O,X,X,O,X,X,X,X,X
TOZLIJS,O,O,O,X,X,X,O,X,X,O,X,X
TOZLISJ,X,O,O,X,X,X,O,X,X,X,X,X
TOZLJIS,O,O,O,X,X,X,O,O,X,X,X,X
TOZLJSI,O,O,O,X,X,X,O,O,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,O,X,X,X,O,X
TOZLSJI,O,O,O,X,X,X,O,X,X,X,O,X
TOZJILS,O,O,O,X,X,X,O,O,X,X,X,X
TOZJISL,O,O,O,X,X,X,O,O,X,X,X,X
TOZJLIS,O,O,O,X,X,X,O,O,X,X,X,X
TOZJLSI,O,O,O,X,X,X,O,O,X,X,X,X
TOZJSIL,O,O,O,X,X,O,O,O,X,X,X,X
TOZJSLI,O,O,O,X,X,O,O,O,X,X,X,X
TOZSILJ,X,O,O,O,X,X,O,X,X,X,O,X
TOZSIJL,X,O,O,O,X,X,O,X,X,X,O,X
TOZSLIJ,X,O,O,O,X,X,O,X,X,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X,X,X,O,X
TOZSJIL,X,O,O,O,X,O,O,X,X,X,O,X
TOZSJLI,X,O,O,X,X,O,O,O,X,X,O,X
ITLJSZO,O,O,O,X,X,X,X,X,X,X,X,X
ITLJSOZ,O,O,O,X,X,X,X,X,X,O,X,X
ITLJZSO,O,O,O,X,X,X,X,X,X,X,X,X
ITLJZOS,O,X,O,X,X,X,X,X,X,O,X,X
ITLJOSZ,O,X,O,X,X,X,X,X,X,O,X,X
ITLJOZS,O,X,O,X,X,X,X,X,X,O,X,X
ITLSJZO,O,O,O,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,X,X,O,X,X
ITLSZJO,X,O,O,X,X,X,X,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITLSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLZJSO,O,O,O,X,X,X,X,X,X,X,X,X
ITLZJOS,O,X,O,X,X,X,X,X,X,O,X,X
ITLZSJO,X,O,O,X,X,X,X,X,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLZOJS,O,X,O,X,X,X,X,X,X,O,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,O,X,X,X,X,X,X,O,X,X
ITLOJZS,O,O,O,X,X,X,X,X,X,O,X,X
ITLOSJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITLOSZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X,X,X,O,X,X
ITLOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITJLSZO,O,O,O,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X,X,X,O,X,X
ITJLZSO,O,O,O,X,X,X,X,O,X,X,X,X
ITJLZOS,O,X,O,X,X,X,X,X,X,O,X,X
ITJLOSZ,O,X,O,X,X,X,X,X,X,O,X,X
ITJLOZS,O,X,O,X,X,X,X,X,X,O,X,X
ITJSLZO,O,O,O,X,X,O,X,X,X,X,X,X
ITJSLOZ,O,O,O,X,X,O,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,O,X,O,X,X,X,X
ITJSZOL,O,O,O,X,X,O,X,O,X,X,X,X
ITJSOLZ,O,O,O,O,X,O,X,X,X,X,X,X
ITJSOZL,X,O,O,O,X,O,X,X,X,X,X,X
ITJZLSO,O,O,O,X,X,X,X,O,X,X,X,X
ITJZLOS,O,X,O,X,X,X,X,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X,O,X,X,X,X
ITJZOLS,O,X,O,X,X,X,X,O,X,X,X,X
ITJZOSL,O,X,X,X,X,X,X,O,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,X,X,O,X,X
ITJOLZS,O,X,O,X,X,X,X,X,X,O,X,X
ITJOSLZ,O,X,O,O,X,O,X,X,X,X,X,X
ITJOSZL,X,X,O,O,X,O,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,X,O,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,O,X,X,X,X
ITSLJZO,O,O,O,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,O,X,X
ITSLZJO,X,O,O,X,X,X,X,X,X,X,X,X
ITSLZOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITSLOZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITSJLZO,O,O,O,X,X,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,O,X,X,X,X,X,X
ITSJZLO,O,O,O,X,X,O,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,O,X,X,X,X,X,X
ITSJOLZ,O,O,X,O,X,O,X,X,X,X,X,X
ITSJOZL,X,O,X,O,X,O,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITSZJLO,X,O,X,X,X,X,X,X,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITSOLZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITSOJLZ,X,O,O,O,X,O,X,X,X,X,X,X
ITSOJZL,X,O,O,O,X,O,X,X,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITSOZJL,X,O,O,O,X,X,X,X,X,X,X,X
ITZLJSO,O,O,O,X,X,X,X,X,X,X,X,X
ITZLJOS,O,X,O,X,X,X,X,X,X,O,X,X
ITZLSJO,X,O,O,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITZLOJS,O,X,O,X,X,X,X,X,X,O,X,X
ITZLOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,O,X,X,X,X
ITZJLOS,O,X,O,X,X,X,X,O,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,O,X,X,X,X
ITZJOLS,O,X,O,X,X,X,X,O,X,X,X,X
ITZJOSL,O,X,X,X,X,X,X,O,X,X,X,X
ITZSLJO,X,O,O,X,X,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,X,X,X,X,X,X,X,X,X,X
ITZSJOL,X,O,X,X,X,X,X,X,X,X,X,X
ITZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZSOJL,X,O,X,O,X,X,X,X,X,X,X,X
