sequence,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFufBcgB?icBzdBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBmdB?XgBlhBcnBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBzdB?XgBFnBOrB8rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdBOkB?RhB0fBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRdB?fnBliBikBUrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdB0fB?RhBOkBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jex6IvhFOkBXgB?0hBliBinBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFGbBFdB?8iBzfBfnBKrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRiB?fnBliBikBUrB
IJSTLOZ,X,X,O,X,O,X,X,X,X
IJSTZLO,X,O,O,X,O,X,O,X,X
IJSTZOL,X,O,O,X,X,X,O,X,X
IJSTOLZ,X,X,O,X,O,X,X,X,X
IJSTOZL,X,X,O,X,X,X,O,X,X
IJSLTZO,X,O,O,X,O,X,O,X,X
IJSLTOZ,X,X,O,X,O,X,X,X,X
IJSLZTO,X,O,X,X,X,X,O,X,X
IJSLZOT,X,O,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,O,O,X,X,X,O
IJSLOZT,X,O,X,O,X,X,X,X,O
IJSZTLO,X,O,X,X,X,X,O,X,X
IJSZTOL,X,O,X,X,X,X,O,O,X
IJSZLTO,X,O,X,X,X,X,O,X,X
IJSZLOT,X,O,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,X,X,O,O,X
IJSZOLT,X,O,X,X,X,X,X,O,X
IJSOTLZ,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,O,X,X
IJSOLTZ,X,X,O,O,X,X,X,X,X
IJSOLZT,X,O,X,O,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X,O,O,X
IJSOZLT,X,O,X,X,X,X,X,O,X
IJZTLSO,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,O,X,X
IJZTSOL,O,O,X,X,X,X,O,X,X
IJZTOLS,O,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X,X
IJZLOTS,O,X,X,O,X,O,X,X,X
IJZLOST,O,X,X,O,X,O,X,X,O
IJZSTLO,O,O,X,X,X,X,O,X,X
IJZSTOL,O,O,X,X,X,X,O,O,X
IJZSLTO,O,O,X,X,X,X,O,X,X
IJZSLOT,O,O,X,X,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,O,O,X
IJZSOLT,O,O,X,X,X,X,X,O,X
IJZOTLS,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X,X
IJZOLTS,O,X,X,O,X,O,X,X,X
IJZOLST,O,X,X,O,X,O,X,X,X
IJZOSTL,O,O,X,X,X,X,X,O,X
IJZOSLT,O,O,X,X,X,X,X,O,X
IJOTLSZ,X,X,X,O,X,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,O,O,X,X,X,X,X
IJOTSZL,X,X,O,X,X,X,X,X,X
IJOTZLS,O,X,X,O,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,O
IJOLTZS,X,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X,O
IJOLSZT,X,X,X,O,X,X,X,X,O
IJOLZTS,O,X,X,O,X,O,X,X,X
IJOLZST,O,X,X,O,X,O,X,X,O
IJOSTLZ,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,O,O,X,X,X,X,X
IJOSLZT,X,O,X,O,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,O,X
IJOSZLT,X,O,X,X,X,X,X,O,X
IJOZTLS,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X,X
IJOZLTS,O,X,X,O,X,O,X,X,X
IJOZLST,O,X,X,O,X,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X,O,X
IJOZSLT,O,O,X,X,X,X,X,O,X
ISTLJZO,X,O,O,X,O,X,X,X,X
ISTLJOZ,X,X,O,X,O,X,X,X,X
ISTLZJO,O,O,O,X,O,X,X,X,X
ISTLZOJ,O,O,O,X,O,X,X,X,X
ISTLOJZ,X,X,O,X,O,X,X,X,X
ISTLOZJ,O,X,O,X,O,X,X,X,X
ISTJLZO,X,O,O,X,O,X,O,X,X
ISTJLOZ,X,X,O,X,O,X,X,X,X
ISTJZLO,X,O,O,X,O,X,O,X,X
ISTJZOL,X,O,O,X,X,X,O,X,X
ISTJOLZ,X,X,O,X,O,X,X,X,X
ISTJOZL,X,X,O,X,X,X,O,X,X
ISTZLJO,O,O,O,X,O,X,X,X,X
ISTZLOJ,O,O,O,X,O,X,X,O,X
ISTZJLO,O,O,O,X,O,X,O,X,X
ISTZJOL,O,O,O,X,X,X,O,O,X
ISTZOLJ,O,O,O,X,X,X,X,O,X
ISTZOJL,O,O,O,X,X,X,X,O,X
ISTOLJZ,X,X,O,X,O,X,X,X,X
ISTOLZJ,O,X,O,X,O,X,X,X,X
ISTOJLZ,X,X,O,X,O,X,X,X,X
ISTOJZL,X,X,O,X,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X,O,X
ISTOZJL,O,X,O,X,X,X,X,O,X
ISLTJZO,X,O,O,X,O,X,X,X,X
ISLTJOZ,X,X,O,X,O,X,X,X,X
ISLTZJO,O,O,O,X,O,X,X,X,X
ISLTZOJ,O,O,O,X,O,X,X,X,X
ISLTOJZ,X,X,O,X,O,X,X,X,X
ISLTOZJ,O,X,O,X,O,X,X,X,X
ISLJTZO,X,O,O,X,O,X,X,X,X
ISLJTOZ,X,X,O,X,O,X,X,X,X
ISLJZTO,X,O,X,X,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,O,O,X,X,X,O
ISLJOZT,X,O,X,O,X,X,X,X,O
ISLZTJO,O,O,O,X,X,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X,O,X
ISLZJTO,O,O,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,O,X,O,X
ISLZOJT,O,O,X,X,X,O,X,O,X
ISLOTJZ,X,X,O,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,O,X,X,X,X
ISLOJTZ,X,X,O,O,O,X,X,X,O
ISLOJZT,X,O,X,O,X,X,X,X,O
ISLOZTJ,X,O,O,X,X,O,X,O,X
ISLOZJT,O,O,X,X,X,O,X,O,X
ISJTLZO,X,O,O,X,O,X,O,X,X
ISJTLOZ,X,X,O,X,O,X,X,X,X
ISJTZLO,X,O,O,X,O,X,O,X,X
ISJTZOL,X,O,O,X,X,X,O,X,X
ISJTOLZ,X,X,O,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,X,O,X,X
ISJLTZO,X,O,O,X,O,X,O,X,X
ISJLTOZ,X,X,O,X,O,X,X,X,X
ISJLZTO,X,O,X,X,X,X,O,X,X
ISJLZOT,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,O,O,X,X,X,O
ISJLOZT,X,O,X,O,X,X,X,X,O
ISJZTLO,X,O,X,X,X,X,O,X,X
ISJZTOL,X,O,X,X,X,X,O,O,X
ISJZLTO,X,O,X,X,X,X,O,X,X
ISJZLOT,X,O,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,X,X,O,O,X
ISJZOLT,X,O,X,X,X,X,X,O,X
ISJOTLZ,X,X,O,X,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,O,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,X
ISJOLZT,X,O,X,O,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,O,O,X
ISJOZLT,X,O,X,X,X,X,X,O,X
ISZTLJO,O,O,O,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,O,X
ISZTJLO,O,O,O,X,X,X,O,X,X
ISZTJOL,O,O,O,X,X,X,O,O,X
ISZTOLJ,O,O,O,X,X,X,X,O,X
ISZTOJL,O,O,O,X,X,X,X,O,X
ISZLTJO,O,O,O,X,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,O,X
ISZLJTO,O,O,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,O,X,O,X
ISZLOJT,O,O,X,X,X,O,X,O,X
ISZJTLO,O,O,X,X,X,X,O,X,X
ISZJTOL,O,O,X,X,X,X,O,O,X
ISZJLTO,O,O,X,X,X,X,O,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O,O,X
ISZJOLT,O,O,X,X,X,X,X,O,X
ISZOTLJ,O,O,O,X,X,X,X,O,X
ISZOTJL,O,O,O,X,X,X,X,O,X
ISZOLTJ,X,O,O,X,X,O,X,O,X
ISZOLJT,O,O,X,X,X,O,X,O,X
ISZOJTL,O,O,X,X,X,X,X,O,X
ISZOJLT,O,O,X,X,X,X,X,O,X
ISOTLJZ,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,X,X,X,X
ISOTJZL,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X,O,X
ISOTZJL,O,X,O,X,X,X,X,O,X
ISOLTJZ,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,O,O,X,X,X,X,X
ISOLJZT,X,O,X,O,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,O,X,O,X
ISOLZJT,O,O,X,X,X,O,X,O,X
ISOJTLZ,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,O,O,X,X,X,X,X
ISOJLZT,X,O,X,O,X,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X,O,X
ISOJZLT,X,O,X,X,X,X,X,O,X
ISOZTLJ,O,O,O,X,X,X,X,O,X
ISOZTJL,O,O,O,X,X,X,X,O,X
ISOZLTJ,X,O,O,X,X,O,X,O,X
ISOZLJT,O,O,X,X,X,O,X,O,X
ISOZJTL,O,O,X,X,X,X,X,O,X
ISOZJLT,O,O,X,X,X,X,X,O,X
IZTLJSO,O,O,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,O,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,O,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X
IZTLOSJ,O,X,X,X,X,O,X,X,X
IZTJLSO,O,O,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,O,X,X,X
IZTJSLO,O,O,X,X,X,X,O,X,X
IZTJSOL,O,O,X,X,X,X,O,X,X
IZTJOLS,O,X,X,X,X,O,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,O,X,O,X
IZTSJLO,O,O,O,X,X,X,O,X,X
IZTSJOL,O,O,O,X,X,X,O,O,X
IZTSOLJ,O,O,O,X,X,O,X,O,X
IZTSOJL,O,O,O,X,X,X,X,O,X
IZTOLJS,O,X,X,X,X,O,X,X,X
IZTOLSJ,O,X,X,X,X,O,X,X,X
IZTOJLS,O,X,X,X,X,O,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X,O,X
IZTOSJL,O,O,O,X,X,X,X,O,X
IZLTJSO,O,O,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,O,X,X,X
IZLTOJS,O,X,X,X,X,O,X,X,X
IZLTOSJ,O,X,X,X,X,O,X,X,X
IZLJTSO,O,O,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X,X,X
IZLJOTS,O,X,X,O,X,O,X,X,X
IZLJOST,O,X,X,O,X,O,X,X,O
IZLSTJO,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,O,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,O,X,O,X
IZLSOJT,O,O,X,X,X,O,X,O,X
IZLOTJS,O,X,X,X,X,O,X,X,X
IZLOTSJ,O,X,X,X,X,O,X,X,X
IZLOJTS,O,X,X,O,X,O,X,X,X
IZLOJST,O,X,X,O,X,O,X,X,O
IZLOSTJ,X,X,X,X,X,O,X,O,X
IZLOSJT,O,X,X,X,X,O,X,O,X
IZJTLSO,O,O,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,O,X,X
IZJTSOL,O,O,X,X,X,X,O,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,O,X,X,X
IZJLOST,O,X,X,O,X,O,X,X,O
IZJSTLO,O,O,X,X,X,X,O,X,X
IZJSTOL,O,O,X,X,X,X,O,O,X
IZJSLTO,O,O,X,X,X,X,O,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,O,O,X
IZJSOLT,O,O,X,X,X,X,X,O,X
IZJOTLS,O,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,O,X,O,X,X,X
IZJOLST,O,X,X,O,X,O,X,X,X
IZJOSTL,O,O,X,X,X,X,X,O,X
IZJOSLT,O,O,X,X,X,X,X,O,X
IZSTLJO,O,O,O,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,O,X
IZSTJLO,O,O,O,X,X,X,O,X,X
IZSTJOL,O,O,O,X,X,X,O,O,X
IZSTOLJ,O,O,O,X,X,X,X,O,X
IZSTOJL,O,O,O,X,X,X,X,O,X
IZSLTJO,O,O,O,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X,O,X
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,O,X,O,X
IZSLOJT,O,O,X,X,X,O,X,O,X
IZSJTLO,O,O,X,X,X,X,O,X,X
IZSJTOL,O,O,X,X,X,X,O,O,X
IZSJLTO,O,O,X,X,X,X,O,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,O,O,X
IZSJOLT,O,O,X,X,X,X,X,O,X
IZSOTLJ,O,O,O,X,X,X,X,O,X
IZSOTJL,O,O,O,X,X,X,X,O,X
IZSOLTJ,X,O,O,X,X,O,X,O,X
IZSOLJT,O,O,X,X,X,O,X,O,X
IZSOJTL,O,O,X,X,X,X,X,O,X
IZSOJLT,O,O,X,X,X,X,X,O,X
IZOTLJS,O,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,X,O,X,X,X
IZOTJLS,O,X,X,X,X,O,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,O,X
IZOTSJL,O,O,O,X,X,X,X,O,X
IZOLTJS,O,X,X,X,X,O,X,X,X
IZOLTSJ,O,X,X,X,X,O,X,X,X
IZOLJTS,O,X,X,O,X,O,X,X,X
IZOLJST,O,X,X,O,X,O,X,X,X
IZOLSTJ,X,X,X,X,X,O,X,O,X
IZOLSJT,O,X,X,X,X,O,X,O,X
IZOJTLS,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X
IZOJLTS,O,X,X,O,X,O,X,X,X
IZOJLST,O,X,X,O,X,O,X,X,X
IZOJSTL,O,O,X,X,X,X,X,O,X
IZOJSLT,O,O,X,X,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,X,O,X
IZOSTJL,O,O,O,X,X,X,X,O,X
IZOSLTJ,X,O,O,X,X,O,X,O,X
IZOSLJT,O,O,X,X,X,O,X,O,X
IZOSJTL,O,O,X,X,X,X,X,O,X
IZOSJLT,O,O,X,X,X,X,X,O,X
IOTLJSZ,X,X,X,O,X,X,X,X,X
IOTLJZS,O,X,X,O,X,O,X,X,X
IOTLSJZ,X,X,O,O,X,X,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,X,X
IOTLZJS,O,X,X,O,X,O,X,X,X
IOTLZSJ,O,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,X,X
IOTJLZS,O,X,X,O,X,O,X,X,X
IOTJSLZ,X,X,O,O,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,O,X,X,X
IOTJZSL,O,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,O,X,X,X,X,X
IOTSLZJ,O,X,O,X,X,O,X,X,X
IOTSJLZ,X,X,O,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,O,X,X,O,X,O,X
IOTSZJL,O,X,O,X,X,X,X,O,X
IOTZLJS,O,X,X,O,X,O,X,X,X
IOTZLSJ,O,X,X,X,X,O,X,X,X
IOTZJLS,O,X,X,O,X,O,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,O,X,X,O,X,O,X
IOTZSJL,O,X,O,X,X,X,X,O,X
IOLTJSZ,X,X,X,O,X,X,X,X,O
IOLTJZS,O,X,X,O,X,X,X,X,X
IOLTSJZ,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,O,X,X,X
IOLTZSJ,O,X,X,X,X,O,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,O
IOLJTZS,X,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X,O
IOLJSZT,X,X,X,O,X,X,X,X,O
IOLJZTS,O,X,X,O,X,O,X,X,X
IOLJZST,O,X,X,O,X,O,X,X,O
IOLSTJZ,X,X,O,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,O,O,X,X,X,X,O
IOLSJZT,X,X,X,O,X,X,X,X,O
IOLSZTJ,X,X,O,X,X,O,X,O,X
IOLSZJT,O,X,X,X,X,O,X,O,X
IOLZTJS,O,X,X,X,X,O,X,X,X
IOLZTSJ,O,X,X,X,X,O,X,X,X
IOLZJTS,O,X,X,O,X,O,X,X,X
IOLZJST,O,X,X,O,X,O,X,X,O
IOLZSTJ,X,X,X,X,X,O,X,O,X
IOLZSJT,O,X,X,X,X,O,X,O,X
IOJTLSZ,X,X,X,O,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X,X
IOJTSLZ,X,X,O,O,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,O
IOJLTZS,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X,O
IOJLSZT,X,X,X,O,X,X,X,X,O
IOJLZTS,O,X,X,O,X,O,X,X,X
IOJLZST,O,X,X,O,X,O,X,X,O
IOJSTLZ,X,X,O,X,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,O,O,X,X,X,X,X
IOJSLZT,X,O,X,O,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,O,X
IOJSZLT,X,O,X,X,X,X,X,O,X
IOJZTLS,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X
IOJZLTS,O,X,X,O,X,O,X,X,X
IOJZLST,O,X,X,O,X,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,O,X
IOJZSLT,O,O,X,X,X,X,X,O,X
IOSTLJZ,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,O,X
IOSTZJL,O,X,O,X,X,X,X,O,X
IOSLTJZ,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,O,O,X,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X,X
IOSLZTJ,X,O,O,X,X,O,X,O,X
IOSLZJT,O,O,X,X,X,O,X,O,X
IOSJTLZ,X,X,O,X,X,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,O,O,X,X,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,O,X
IOSJZLT,X,O,X,X,X,X,X,O,X
IOSZTLJ,O,O,O,X,X,X,X,O,X
IOSZTJL,O,O,O,X,X,X,X,O,X
IOSZLTJ,X,O,O,X,X,O,X,O,X
IOSZLJT,O,O,X,X,X,O,X,O,X
IOSZJTL,O,O,X,X,X,X,X,O,X
IOSZJLT,O,O,X,X,X,X,X,O,X
IOZTLJS,O,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,X,O,X,X,X
IOZTJLS,O,X,X,X,X,O,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,X,O,X,O,X
IOZTSJL,O,O,O,X,X,X,X,O,X
IOZLTJS,O,X,X,X,X,O,X,X,X
IOZLTSJ,O,X,X,X,X,O,X,X,X
IOZLJTS,O,X,X,O,X,O,X,X,X
IOZLJST,O,X,X,O,X,O,X,X,X
IOZLSTJ,X,X,X,X,X,O,X,O,X
IOZLSJT,O,X,X,X,X,O,X,O,X
IOZJTLS,O,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X,X
IOZJLTS,O,X,X,O,X,O,X,X,X
IOZJLST,O,X,X,O,X,O,X,X,X
IOZJSTL,O,O,X,X,X,X,X,O,X
IOZJSLT,O,O,X,X,X,X,X,O,X
IOZSTLJ,O,O,O,X,X,X,X,O,X
IOZSTJL,O,O,O,X,X,X,X,O,X
IOZSLTJ,X,O,O,X,X,O,X,O,X
IOZSLJT,O,O,X,X,X,O,X,O,X
IOZSJTL,O,O,X,X,X,X,X,O,X
IOZSJLT,O,O,X,X,X,X,X,O,X
LTIJSZO,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,O,X,O,X,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,O
LTIJOZS,O,X,X,O,X,O,X,X,X
LTISJZO,X,X,O,X,X,X,X,X,X
LTISJOZ,X,X,O,O,X,X,X,X,X
LTISZJO,O,X,O,X,X,X,X,X,X
LTISZOJ,O,X,O,X,X,O,X,X,X
LTISOJZ,X,X,O,O,X,X,X,X,X
LTISOZJ,O,X,O,X,X,O,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,O,X,O,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,O,X,X,X
LTIZOJS,O,X,X,O,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,O,X,X,X
LTIOJSZ,X,X,X,O,X,X,X,X,O
LTIOJZS,O,X,X,O,X,O,X,X,X
LTIOSJZ,X,X,O,O,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,O,X,X,X
LTIOZJS,O,X,X,O,X,O,X,X,X
LTIOZSJ,O,X,X,X,X,O,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,O
LTJIOZS,O,X,X,O,X,X,X,X,X
LTJSIZO,X,X,X,X,O,X,O,X,X
LTJSIOZ,X,X,X,X,O,X,X,X,X
LTJSZIO,X,X,X,X,O,X,O,X,X
LTJSZOI,X,X,X,X,O,X,O,X,X
LTJSOIZ,X,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,O,X,X
LTJZSOI,O,X,X,X,X,X,O,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,O
LTJOIZS,O,X,X,O,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,O,X,X,X,X
LTSIJOZ,X,X,O,X,O,X,X,X,X
LTSIZJO,O,X,O,X,O,X,X,X,X
LTSIZOJ,O,X,O,X,O,X,X,X,X
LTSIOJZ,X,X,O,X,O,X,X,X,X
LTSIOZJ,O,X,O,X,O,X,X,X,X
LTSJIZO,X,X,O,X,O,X,O,X,X
LTSJIOZ,X,X,O,X,O,X,X,X,X
LTSJZIO,X,X,X,X,O,X,O,X,X
LTSJZOI,X,X,X,X,O,X,O,X,X
LTSJOIZ,X,X,O,X,O,X,X,X,X
LTSJOZI,X,X,X,X,O,X,X,X,X
LTSZIJO,O,X,O,X,O,X,X,X,X
LTSZIOJ,O,X,O,X,O,X,X,X,X
LTSZJIO,O,X,X,X,O,X,O,X,X
LTSZJOI,O,X,X,X,O,X,O,X,X
LTSZOIJ,O,X,O,X,O,X,X,X,X
LTSZOJI,O,X,X,X,O,X,X,X,X
LTSOIJZ,X,X,O,X,O,X,X,X,X
LTSOIZJ,O,X,O,X,O,X,X,X,X
LTSOJIZ,X,X,O,X,O,X,X,X,X
LTSOJZI,X,X,X,X,O,X,X,X,X
LTSOZIJ,O,X,O,X,O,X,X,X,X
LTSOZJI,O,X,X,X,O,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,O,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,O,X,X,X
LTZIOJS,O,X,X,X,X,O,X,X,X
LTZIOSJ,O,X,X,X,X,O,X,X,X
LTZJISO,O,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,O,X,X,X
LTZJSIO,O,X,X,X,X,X,O,X,X
