sequence,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0gBlkBXqB,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0kBllBXqB,v115@EhB8FeF8CeG8BeG8Jex6IvhFygBzcBGeBlkB3lB0pB,v115@EhB8FeF8CeG8BeG8JeU7IvhFahBzcBGeBxkBFqB/pB,v115@EhB8FeF8CeG8BeG8Jel7IvhFzcBGeB/kBZlB8lB6pB
TSJIZLO,O,X,O,X,O
TSJIZOL,O,X,O,X,O
TSJIOLZ,O,X,O,O,X
TSJIOZL,O,X,O,X,O
TSJLIZO,O,O,O,O,X
TSJLIOZ,O,X,O,O,X
TSJLZIO,O,O,O,X,X
TSJLZOI,O,O,O,X,X
TSJLOIZ,O,X,O,O,X
TSJLOZI,O,X,O,X,X
TSJZILO,O,O,O,X,O
TSJZIOL,O,O,O,X,O
TSJZLIO,O,O,O,X,X
TSJZLOI,O,O,O,X,X
TSJZOIL,O,O,O,X,O
TSJZOLI,O,O,O,X,X
TSJOILZ,O,X,O,O,X
TSJOIZL,O,X,O,X,O
TSJOLIZ,O,X,O,O,X
TSJOLZI,O,X,O,X,X
TSJOZIL,O,X,O,X,O
TSJOZLI,O,X,O,X,X
TSZILJO,O,O,O,X,O
TSZILOJ,O,O,O,X,O
TSZIJLO,O,O,O,X,O
TSZIJOL,O,O,O,X,O
TSZIOLJ,O,O,O,X,O
TSZIOJL,O,O,O,X,O
TSZLIJO,O,O,O,X,X
TSZLIOJ,O,O,O,X,X
TSZLJIO,O,O,O,X,X
TSZLJOI,O,O,O,X,X
TSZLOIJ,O,O,O,X,X
TSZLOJI,O,O,O,X,X
TSZJILO,O,O,O,X,O
TSZJIOL,O,O,O,X,O
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,X,O
TSZJOLI,O,O,O,X,X
TSZOILJ,O,O,O,X,O
TSZOIJL,O,O,O,X,O
TSZOLIJ,O,O,O,X,X
TSZOLJI,O,O,O,X,X
TSZOJIL,O,O,O,X,O
TSZOJLI,O,O,O,X,X
TSOILJZ,O,X,O,O,X
TSOILZJ,O,X,O,O,X
TSOIJLZ,O,X,O,O,X
TSOIJZL,O,X,O,X,O
TSOIZLJ,O,X,O,X,O
TSOIZJL,O,X,O,X,O
TSOLIJZ,O,X,O,O,X
TSOLIZJ,O,X,O,O,X
TSOLJIZ,O,X,O,O,X
TSOLJZI,O,X,O,X,X
TSOLZIJ,O,X,O,X,X
TSOLZJI,O,X,O,X,X
TSOJILZ,O,X,O,O,X
TSOJIZL,O,X,O,X,O
TSOJLIZ,O,X,O,O,X
TSOJLZI,O,X,O,X,X
TSOJZIL,O,X,O,X,O
TSOJZLI,O,X,O,X,X
TSOZILJ,O,X,O,X,O
TSOZIJL,O,X,O,X,O
TSOZLIJ,O,X,O,X,X
TSOZLJI,O,X,O,X,X
TSOZJIL,O,X,O,X,O
TSOZJLI,O,X,O,X,X
TZILJSO,O,O,X,O,O
TZILJOS,O,O,X,O,O
TZILSJO,O,O,X,O,O
TZILSOJ,O,O,X,O,O
TZILOJS,O,O,X,O,O
TZILOSJ,O,O,X,O,O
TZIJLSO,O,O,X,O,O
TZIJLOS,O,O,X,O,O
TZIJSLO,O,O,X,X,O
TZIJSOL,O,O,X,X,O
TZIJOLS,O,O,X,O,O
TZIJOSL,O,X,X,X,O
TZISLJO,O,O,X,X,O
TZISLOJ,O,O,X,X,O
TZISJLO,O,O,X,X,O
TZISJOL,O,O,X,X,O
TZISOLJ,O,O,X,X,O
TZISOJL,O,O,X,X,O
TZIOLJS,O,O,X,O,O
TZIOLSJ,O,O,X,O,O
TZIOJLS,O,O,X,O,O
TZIOJSL,O,X,X,X,O
TZIOSLJ,O,X,X,X,O
TZIOSJL,O,X,X,X,O
TZLIJSO,O,O,X,O,O
TZLIJOS,O,O,X,O,O
TZLISJO,O,O,X,O,O
TZLISOJ,O,O,X,O,O
TZLIOJS,O,O,X,O,O
TZLIOSJ,O,O,X,O,O
TZLJISO,O,O,X,O,O
TZLJIOS,O,O,X,O,O
TZLJSIO,O,O,X,X,X
TZLJSOI,O,O,X,X,X
TZLJOIS,O,O,X,O,O
TZLJOSI,O,O,X,X,X
TZLSIJO,O,O,X,X,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,O,X,X,X
TZLSJOI,O,O,X,X,X
TZLSOIJ,O,O,X,X,X
TZLSOJI,O,O,X,X,X
TZLOIJS,O,O,X,O,O
TZLOISJ,O,O,X,O,O
TZLOJIS,O,O,X,O,O
TZLOJSI,O,O,X,X,X
TZLOSIJ,O,O,X,X,X
TZLOSJI,O,O,X,X,X
TZJILSO,O,O,X,O,O
TZJILOS,O,O,X,O,O
TZJISLO,O,O,X,X,O
TZJISOL,O,O,X,X,O
TZJIOLS,O,O,X,O,O
TZJIOSL,O,X,X,X,O
TZJLISO,O,O,X,O,O
TZJLIOS,O,O,X,O,O
TZJLSIO,O,O,X,X,X
TZJLSOI,O,O,X,X,X
TZJLOIS,O,O,X,O,O
TZJLOSI,O,O,X,X,X
TZJSILO,O,O,O,X,O
TZJSIOL,O,O,O,X,O
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,O
TZJSOLI,O,O,O,X,X
TZJOILS,O,O,X,O,O
TZJOISL,O,X,X,X,O
TZJOLIS,O,O,X,O,O
TZJOLSI,O,O,X,X,X
TZJOSIL,O,O,O,X,O
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,O,X,O
TZSILOJ,O,O,O,X,O
TZSIJLO,O,O,O,X,O
TZSIJOL,O,O,O,X,O
TZSIOLJ,O,O,O,X,O
TZSIOJL,O,O,O,X,O
TZSLIJO,O,O,O,X,X
TZSLIOJ,O,O,O,X,X
TZSLJIO,O,O,O,X,X
TZSLJOI,O,O,O,X,X
TZSLOIJ,O,O,O,X,X
TZSLOJI,O,O,O,X,X
TZSJILO,O,O,O,X,O
TZSJIOL,O,O,O,X,O
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,X,O
TZSJOLI,O,O,O,X,X
TZSOILJ,O,O,O,X,O
TZSOIJL,O,O,O,X,O
TZSOLIJ,O,O,O,X,X
TZSOLJI,O,O,O,X,X
TZSOJIL,O,O,O,X,O
TZSOJLI,O,O,O,X,X
TZOILJS,O,O,X,O,O
TZOILSJ,O,O,X,O,O
TZOIJLS,O,O,X,O,O
TZOIJSL,O,X,X,X,O
TZOISLJ,O,X,X,X,O
TZOISJL,O,X,X,X,O
TZOLIJS,O,O,X,O,O
TZOLISJ,O,O,X,O,O
TZOLJIS,O,O,X,O,O
TZOLJSI,O,O,X,X,X
TZOLSIJ,O,O,X,X,X
TZOLSJI,O,O,X,X,X
TZOJILS,O,O,X,O,O
TZOJISL,O,X,X,X,O
TZOJLIS,O,O,X,O,O
TZOJLSI,O,O,X,X,X
TZOJSIL,O,O,O,X,O
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,O,X,O
TZOSIJL,O,O,O,X,O
TZOSLIJ,O,O,O,X,X
TZOSLJI,O,O,O,X,X
TZOSJIL,O,O,O,X,O
TZOSJLI,O,O,O,X,X
TOILJSZ,O,X,X,O,X
TOILJZS,O,X,X,O,X
TOILSJZ,O,X,X,O,X
TOILSZJ,X,X,X,O,X
TOILZJS,O,X,X,O,X
TOILZSJ,O,X,X,O,X
TOIJLSZ,O,X,X,O,X
TOIJLZS,O,X,X,O,X
TOIJSLZ,X,X,O,O,X
TOIJSZL,X,X,O,X,O
TOIJZLS,O,X,X,O,O
TOIJZSL,O,X,X,X,O
TOISLJZ,X,X,O,O,X
TOISLZJ,X,X,O,O,X
TOISJLZ,X,X,O,O,X
TOISJZL,X,X,O,X,O
TOISZLJ,X,X,O,X,O
TOISZJL,X,X,O,X,O
TOIZLJS,O,X,X,O,O
TOIZLSJ,O,X,X,O,O
TOIZJLS,O,X,X,O,O
TOIZJSL,O,X,X,X,O
TOIZSLJ,O,X,X,X,O
TOIZSJL,O,X,X,X,O
TOLIJSZ,O,X,X,O,X
TOLIJZS,O,O,X,O,X
TOLISJZ,O,X,X,O,X
TOLISZJ,X,X,X,O,X
TOLIZJS,O,O,X,O,X
TOLIZSJ,O,O,X,O,X
TOLJISZ,O,X,X,O,X
TOLJIZS,O,O,X,O,X
TOLJSIZ,O,X,O,O,X
TOLJSZI,O,X,O,X,X
TOLJZIS,O,O,X,O,X
TOLJZSI,O,O,X,X,X
TOLSIJZ,O,X,O,O,X
TOLSIZJ,X,X,O,O,X
TOLSJIZ,O,X,O,O,X
TOLSJZI,O,X,O,X,X
TOLSZIJ,O,X,O,X,X
TOLSZJI,O,X,O,X,X
TOLZIJS,O,O,X,O,X
TOLZISJ,O,O,X,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,X,X
TOLZSIJ,O,O,X,X,X
TOLZSJI,O,O,X,X,X
TOJILSZ,O,X,X,O,X
TOJILZS,O,X,X,O,X
TOJISLZ,X,X,O,O,X
TOJISZL,X,X,O,X,O
TOJIZLS,O,X,X,O,O
TOJIZSL,O,X,X,X,O
TOJLISZ,O,X,X,O,X
TOJLIZS,O,O,X,O,X
TOJLSIZ,O,X,O,O,X
TOJLSZI,O,X,O,X,X
TOJLZIS,O,O,X,O,X
TOJLZSI,O,O,X,X,X
TOJSILZ,X,X,O,O,X
TOJSIZL,X,X,O,X,O
TOJSLIZ,O,X,O,O,X
TOJSLZI,O,X,O,X,X
TOJSZIL,O,X,O,X,O
TOJSZLI,O,X,O,X,X
TOJZILS,O,O,X,O,O
TOJZISL,O,X,X,X,O
TOJZLIS,O,O,X,O,O
TOJZLSI,O,O,X,X,X
TOJZSIL,O,O,O,X,O
TOJZSLI,O,O,O,X,X
TOSILJZ,X,X,O,O,X
TOSILZJ,X,X,O,O,X
TOSIJLZ,X,X,O,O,X
TOSIJZL,X,X,O,X,O
TOSIZLJ,X,X,O,X,O
TOSIZJL,X,X,O,X,O
TOSLIJZ,O,X,O,O,X
TOSLIZJ,X,X,O,O,X
TOSLJIZ,O,X,O,O,X
TOSLJZI,O,X,O,X,X
TOSLZIJ,O,X,O,X,X
TOSLZJI,O,X,O,X,X
TOSJILZ,X,X,O,O,X
TOSJIZL,X,X,O,X,O
TOSJLIZ,O,X,O,O,X
TOSJLZI,O,X,O,X,X
TOSJZIL,O,X,O,X,O
TOSJZLI,O,X,O,X,X
TOSZILJ,O,X,O,X,O
TOSZIJL,O,X,O,X,O
TOSZLIJ,O,X,O,X,X
TOSZLJI,O,X,O,X,X
TOSZJIL,O,X,O,X,O
