sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
TZIJSOL,O,X,O,O,X,O,X,X,X
TZIJOLS,O,X,O,X,O,O,X,X,X
TZIJOSL,O,X,O,O,X,O,X,X,X
TZISLJO,O,O,O,O,O,X,X,X,X
TZISLOJ,O,X,O,O,O,X,X,X,O
TZISJLO,O,O,O,O,O,X,X,X,X
TZISJOL,O,X,O,O,X,X,X,X,O
TZISOLJ,O,X,O,O,X,X,X,X,O
TZISOJL,O,X,O,O,X,X,X,X,O
TZIOLJS,O,O,O,X,O,O,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,X,O
TZIOJLS,O,O,O,X,O,O,X,X,X
TZIOJSL,O,O,O,O,X,O,X,X,X
TZIOSLJ,O,O,O,O,X,X,X,X,O
TZIOSJL,O,O,O,O,X,X,X,X,O
TZLIJSO,O,O,O,X,O,O,O,O,X
TZLIJOS,O,X,O,X,O,O,O,O,X
TZLISJO,O,O,O,X,O,X,X,X,X
TZLISOJ,O,X,O,X,O,X,X,X,X
TZLIOJS,O,O,O,X,O,O,X,X,X
TZLIOSJ,O,O,O,X,O,X,X,X,X
TZLJISO,O,O,O,X,O,O,O,O,X
TZLJIOS,O,X,O,X,O,O,O,O,X
TZLJSIO,O,O,O,X,O,O,X,X,X
TZLJSOI,O,X,O,X,O,O,X,X,X
TZLJOIS,O,X,O,X,O,O,X,X,X
TZLJOSI,O,X,O,X,O,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,X,X
TZLSIOJ,O,X,O,X,O,X,X,X,X
TZLSJIO,O,O,O,X,O,O,X,X,X
TZLSJOI,O,X,O,X,O,O,X,X,X
TZLSOIJ,O,X,O,X,O,X,X,X,X
TZLSOJI,O,X,O,X,O,O,X,X,X
TZLOIJS,O,O,O,X,O,O,X,X,X
TZLOISJ,O,O,O,X,O,X,X,X,X
TZLOJIS,O,O,O,X,O,O,X,X,X
TZLOJSI,O,O,O,X,O,O,X,X,X
TZLOSIJ,O,O,O,X,O,X,X,X,X
TZLOSJI,O,O,O,X,O,O,X,X,X
TZJILSO,O,O,O,X,O,O,O,O,X
TZJILOS,O,X,O,X,O,O,O,O,X
TZJISLO,O,O,O,O,O,O,X,X,X
TZJISOL,O,X,O,O,X,O,X,X,X
TZJIOLS,O,X,O,X,O,O,X,X,X
TZJIOSL,O,X,O,O,X,O,X,X,X
TZJLISO,O,O,O,X,O,O,O,O,X
TZJLIOS,O,X,O,X,O,O,O,O,X
TZJLSIO,O,O,O,X,O,O,X,X,X
TZJLSOI,O,X,O,X,O,O,X,X,X
TZJLOIS,O,X,O,X,O,O,X,X,X
TZJLOSI,O,X,O,X,O,O,X,X,X
TZJSILO,O,O,O,O,O,O,X,X,X
TZJSIOL,O,X,O,O,X,O,X,X,X
TZJSLIO,O,O,O,O,O,O,X,X,X
TZJSLOI,O,X,O,O,O,O,X,X,X
TZJSOIL,O,X,O,O,X,O,X,X,X
TZJSOLI,O,X,O,O,X,O,X,X,X
TZJOILS,O,X,O,X,O,O,X,X,X
TZJOISL,O,X,O,O,X,O,X,X,X
TZJOLIS,O,X,O,X,O,O,X,X,X
TZJOLSI,O,X,O,X,O,O,X,X,X
TZJOSIL,O,X,O,O,X,O,X,X,X
TZJOSLI,O,X,O,O,X,O,X,X,X
TZSILJO,O,O,O,O,O,X,X,X,X
TZSILOJ,O,X,O,O,O,X,X,X,O
TZSIJLO,O,O,O,O,O,X,X,X,X
TZSIJOL,O,X,O,O,X,X,X,X,O
TZSIOLJ,O,X,O,O,X,X,X,X,O
TZSIOJL,O,X,O,O,X,X,X,X,O
TZSLIJO,O,O,O,O,O,X,X,X,X
TZSLIOJ,O,X,O,O,O,X,X,X,O
TZSLJIO,O,O,O,O,O,O,X,X,X
TZSLJOI,O,X,O,O,O,O,X,X,X
TZSLOIJ,O,X,O,O,O,X,X,X,O
TZSLOJI,O,X,O,O,O,O,X,X,O
TZSJILO,O,O,O,O,O,O,X,X,X
TZSJIOL,O,X,O,O,X,O,X,X,O
TZSJLIO,O,O,O,O,O,O,X,X,X
TZSJLOI,O,X,O,O,O,O,X,X,X
TZSJOIL,O,X,O,O,X,O,X,X,O
TZSJOLI,O,X,O,O,X,O,X,X,O
TZSOILJ,O,X,O,O,X,X,X,X,O
TZSOIJL,O,X,O,O,X,X,X,X,O
TZSOLIJ,O,X,O,O,X,X,X,X,O
TZSOLJI,O,X,O,O,X,O,X,X,O
TZSOJIL,O,X,O,O,X,O,X,X,O
TZSOJLI,O,X,O,O,X,O,X,X,O
TZOILJS,O,O,O,X,O,O,X,X,X
TZOILSJ,O,O,O,X,O,X,X,X,O
TZOIJLS,O,O,O,X,O,O,X,X,X
TZOIJSL,O,O,O,O,X,O,X,X,X
TZOISLJ,O,O,O,O,X,X,X,X,O
TZOISJL,O,O,O,O,X,X,X,X,O
TZOLIJS,O,O,O,X,O,O,X,X,X
TZOLISJ,O,O,O,X,O,X,X,X,O
TZOLJIS,O,O,O,X,O,O,X,X,X
TZOLJSI,O,O,O,X,O,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X,O
TZOLSJI,O,O,O,X,O,O,X,X,O
TZOJILS,O,O,O,X,O,O,X,X,X
TZOJISL,O,O,O,O,X,O,X,X,X
TZOJLIS,O,O,O,X,O,O,X,X,X
TZOJLSI,O,O,O,X,O,O,X,X,X
TZOJSIL,O,O,O,O,X,O,X,X,X
TZOJSLI,O,O,O,O,X,O,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X,O
TZOSIJL,O,O,O,O,X,X,X,X,O
TZOSLIJ,O,O,O,O,X,X,X,X,O
TZOSLJI,O,O,O,O,X,O,X,X,O
TZOSJIL,O,O,O,O,X,O,X,X,O
TZOSJLI,O,O,O,O,X,O,X,X,O
TOILJSZ,X,O,O,O,X,X,O,O,O
TOILJZS,X,O,O,X,O,X,O,O,X
TOILSJZ,X,O,O,O,X,X,X,X,O
TOILSZJ,X,O,O,O,O,X,X,X,O
TOILZJS,X,O,O,X,O,O,X,X,X
TOILZSJ,X,O,O,X,O,X,X,X,O
TOIJLSZ,X,O,O,O,X,X,O,O,O
TOIJLZS,X,O,O,X,X,X,O,O,X
TOIJSLZ,O,O,O,O,X,X,X,X,O
TOIJSZL,O,O,O,O,X,X,X,X,O
TOIJZLS,O,O,O,X,X,X,X,X,X
TOIJZSL,O,O,O,O,X,X,X,X,X
TOISLJZ,O,O,O,O,X,X,X,X,O
TOISLZJ,O,O,O,O,X,X,X,X,O
TOISJLZ,O,O,O,O,X,X,X,X,O
TOISJZL,O,O,O,O,X,X,X,X,O
TOISZLJ,O,O,O,O,X,X,X,X,O
TOISZJL,O,O,O,O,X,X,X,X,O
TOIZLJS,O,O,O,X,O,O,X,X,X
TOIZLSJ,O,O,O,X,O,X,X,X,O
TOIZJLS,O,O,O,X,O,O,X,X,X
TOIZJSL,O,O,O,O,X,O,X,X,X
TOIZSLJ,O,O,O,O,X,X,X,X,O
TOIZSJL,O,O,O,O,X,X,X,X,O
TOLIJSZ,X,O,O,O,X,X,O,O,O
TOLIJZS,X,O,O,X,O,X,O,O,X
TOLISJZ,X,O,O,O,X,X,X,X,O
TOLISZJ,X,O,O,O,O,X,X,X,O
TOLIZJS,X,O,O,X,O,O,X,X,X
TOLIZSJ,X,O,O,X,O,X,X,X,O
TOLJISZ,X,O,O,O,X,X,O,O,O
TOLJIZS,X,O,O,X,O,X,O,O,X
TOLJSIZ,X,O,O,O,X,X,X,X,O
TOLJSZI,X,O,O,O,X,X,X,X,O
TOLJZIS,X,O,O,X,O,O,X,X,X
TOLJZSI,X,O,O,X,O,O,X,X,X
TOLSIJZ,X,O,O,O,X,X,X,X,O
TOLSIZJ,X,O,O,O,O,X,X,X,O
TOLSJIZ,X,O,O,O,X,X,X,X,O
TOLSJZI,X,O,O,O,X,X,X,X,O
TOLSZIJ,X,O,O,O,O,X,X,X,O
TOLSZJI,X,O,O,O,O,O,X,X,O
TOLZIJS,X,O,O,X,O,O,X,X,X
TOLZISJ,X,O,O,X,O,X,X,X,O
TOLZJIS,X,O,O,X,O,O,X,X,X
TOLZJSI,X,O,O,X,O,O,X,X,X
TOLZSIJ,X,O,O,X,O,X,X,X,O
TOLZSJI,X,O,O,X,O,O,X,X,O
TOJILSZ,X,O,O,O,X,X,O,O,O
TOJILZS,X,O,O,X,X,X,O,O,X
TOJISLZ,O,O,O,O,X,X,X,X,O
TOJISZL,O,O,O,O,X,X,X,X,O
TOJIZLS,O,O,O,X,X,X,X,X,X
TOJIZSL,O,O,O,O,X,X,X,X,X
TOJLISZ,X,O,O,O,X,X,O,O,O
TOJLIZS,X,O,O,X,X,X,O,O,X
TOJLSIZ,X,O,O,O,X,X,X,X,O
TOJLSZI,X,O,O,O,X,X,X,X,O
TOJLZIS,X,O,O,X,X,O,X,X,X
TOJLZSI,X,O,O,X,X,O,X,X,X
TOJSILZ,O,O,O,O,X,X,X,X,O
TOJSIZL,O,O,O,O,X,X,X,X,O
TOJSLIZ,O,O,O,O,X,X,X,X,O
TOJSLZI,O,O,O,O,X,X,X,X,O
TOJSZIL,O,O,O,O,X,X,X,X,O
TOJSZLI,O,O,O,O,X,X,X,X,O
TOJZILS,O,O,O,X,X,O,X,X,X
TOJZISL,O,O,O,O,X,O,X,X,X
TOJZLIS,O,O,O,X,X,O,X,X,X
TOJZLSI,O,O,O,X,X,O,X,X,X
TOJZSIL,O,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,O,X,O,X,X,X
TOSILJZ,O,O,O,O,X,X,X,X,O
TOSILZJ,O,O,O,O,X,X,X,X,O
TOSIJLZ,O,O,O,O,X,X,X,X,O
TOSIJZL,O,O,O,O,X,X,X,X,O
TOSIZLJ,O,O,O,O,X,X,X,X,O
TOSIZJL,O,O,O,O,X,X,X,X,O
TOSLIJZ,O,O,O,O,X,X,X,X,O
TOSLIZJ,O,O,O,O,X,X,X,X,O
TOSLJIZ,O,O,O,O,X,X,X,X,O
TOSLJZI,O,O,O,O,X,X,X,X,O
TOSLZIJ,O,O,O,O,X,X,X,X,O
TOSLZJI,O,O,O,O,X,O,X,X,O
TOSJILZ,O,O,O,O,X,X,X,X,O
TOSJIZL,O,O,O,O,X,X,X,X,O
TOSJLIZ,O,O,O,O,X,X,X,X,O
TOSJLZI,O,O,O,O,X,X,X,X,O
TOSJZIL,O,O,O,O,X,X,X,X,O
TOSJZLI,O,O,O,O,X,X,X,X,O
TOSZILJ,O,O,O,O,X,X,X,X,O
TOSZIJL,O,O,O,O,X,X,X,X,O
TOSZLIJ,O,O,O,O,X,X,X,X,O
TOSZLJI,O,O,O,O,X,O,X,X,O
TOSZJIL,O,O,O,O,X,O,X,X,O
TOSZJLI,O,O,O,O,X,O,X,X,O
TOZILJS,O,O,O,X,O,O,X,X,X
TOZILSJ,O,O,O,X,O,X,X,X,O
TOZIJLS,O,O,O,X,O,O,X,X,X
TOZIJSL,O,O,O,O,X,O,X,X,X
TOZISLJ,O,O,O,O,X,X,X,X,O
TOZISJL,O,O,O,O,X,X,X,X,O
TOZLIJS,O,O,O,X,O,O,X,X,X
TOZLISJ,O,O,O,X,O,X,X,X,O
TOZLJIS,O,O,O,X,O,O,X,X,X
TOZLJSI,O,O,O,X,O,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,X,O
TOZLSJI,O,O,O,X,O,O,X,X,O
TOZJILS,O,O,O,X,O,O,X,X,X
TOZJISL,O,O,O,O,X,O,X,X,X
TOZJLIS,O,O,O,X,O,O,X,X,X
TOZJLSI,O,O,O,X,O,O,X,X,X
TOZJSIL,O,O,O,O,X,O,X,X,X
TOZJSLI,O,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X,O
TOZSIJL,O,O,O,O,X,X,X,X,O
TOZSLIJ,O,O,O,O,X,X,X,X,O
TOZSLJI,O,O,O,O,X,O,X,X,O
TOZSJIL,O,O,O,O,X,O,X,X,O
TOZSJLI,O,O,O,O,X,O,X,X,O
ITLJSZO,O,O,O,O,X,X,O,O,X
ITLJSOZ,O,O,O,O,X,X,O,O,X
ITLJZSO,O,O,O,X,O,X,O,O,X
ITLJZOS,O,X,O,X,O,X,O,O,X
ITLJOSZ,X,O,O,O,X,X,O,O,X
ITLJOZS,X,O,O,X,O,X,O,O,X
ITLSJZO,O,O,O,O,X,X,O,O,X
ITLSJOZ,O,O,O,O,X,X,O,O,X
ITLSZJO,O,O,O,O,O,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,X,X,O
ITLSOJZ,O,O,O,O,X,X,X,X,O
ITLSOZJ,O,O,O,O,O,X,X,X,O
ITLZJSO,O,O,O,X,O,O,O,O,X
ITLZJOS,O,X,O,X,O,O,O,O,X
ITLZSJO,O,O,O,X,O,X,X,X,X
ITLZSOJ,O,X,O,X,O,X,X,X,X
ITLZOJS,O,O,O,X,O,O,X,X,X
ITLZOSJ,O,O,O,X,O,X,X,X,X
ITLOJSZ,X,O,O,O,X,X,O,O,O
ITLOJZS,X,O,O,X,O,X,O,O,X
ITLOSJZ,X,O,O,O,X,X,X,X,O
ITLOSZJ,X,O,O,O,O,X,X,X,O
ITLOZJS,X,O,O,X,O,O,X,X,X
ITLOZSJ,X,O,O,X,O,X,X,X,O
ITJLSZO,O,O,O,O,X,X,O,O,X
ITJLSOZ,O,O,O,O,X,X,O,O,X
ITJLZSO,O,O,O,X,O,X,O,O,X
ITJLZOS,O,X,O,X,O,X,O,O,X
ITJLOSZ,X,O,O,O,X,X,O,O,X
ITJLOZS,X,O,X,X,O,X,O,O,X
ITJSLZO,O,O,O,O,X,X,O,O,X
ITJSLOZ,O,O,O,O,X,X,O,O,X
ITJSZLO,O,O,O,O,X,X,X,X,X
ITJSZOL,O,X,O,O,X,X,X,X,O
ITJSOLZ,O,O,X,O,X,X,X,X,O
ITJSOZL,O,X,X,O,X,X,X,X,O
ITJZLSO,O,O,O,X,O,X,O,O,X
ITJZLOS,O,X,O,X,O,X,O,O,X
ITJZSLO,O,O,O,O,O,X,X,X,X
ITJZSOL,O,X,O,O,X,X,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X,X
ITJZOSL,O,X,O,O,X,X,X,X,X
ITJOLSZ,X,O,X,O,X,X,O,O,O
ITJOLZS,X,O,X,X,X,X,O,O,X
ITJOSLZ,O,O,X,O,X,X,X,X,O
ITJOSZL,O,O,X,O,X,X,X,X,O
ITJOZLS,O,O,X,X,X,X,X,X,X
ITJOZSL,O,O,X,O,X,X,X,X,X
ITSLJZO,O,O,O,O,X,X,O,O,X
ITSLJOZ,O,O,O,O,X,X,O,O,X
ITSLZJO,O,O,O,O,O,X,X,X,X
ITSLZOJ,O,X,O,O,O,X,X,X,O
ITSLOJZ,O,O,O,O,X,X,X,X,O
ITSLOZJ,O,O,X,O,O,X,X,X,O
ITSJLZO,O,O,O,O,X,X,O,O,X
ITSJLOZ,O,O,O,O,X,X,O,O,X
ITSJZLO,O,O,O,O,X,X,X,X,X
ITSJZOL,O,X,O,O,X,X,X,X,O
ITSJOLZ,O,O,X,O,X,X,X,X,O
ITSJOZL,O,X,X,O,X,X,X,X,O
ITSZLJO,O,O,O,O,O,X,X,X,X
ITSZLOJ,O,X,O,O,O,X,X,X,O
ITSZJLO,O,O,O,O,O,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,O
ITSZOLJ,O,X,X,O,X,X,X,X,O
ITSZOJL,O,X,O,O,X,X,X,X,O
ITSOLJZ,O,O,X,O,X,X,X,X,O
ITSOLZJ,O,O,X,O,X,X,X,X,O
ITSOJLZ,O,O,X,O,X,X,X,X,O
ITSOJZL,O,O,X,O,X,X,X,X,O
ITSOZLJ,O,O,X,O,X,X,X,X,O
ITSOZJL,O,O,X,O,X,X,X,X,O
ITZLJSO,O,O,O,X,O,O,O,O,X
ITZLJOS,O,X,O,X,O,O,O,O,X
ITZLSJO,O,O,O,X,O,X,X,X,X
ITZLSOJ,O,X,O,X,O,X,X,X,X
ITZLOJS,O,O,O,X,O,O,X,X,X
ITZLOSJ,O,O,O,X,O,X,X,X,X
ITZJLSO,O,O,O,X,O,O,O,O,X
ITZJLOS,O,X,O,X,O,O,O,O,X
ITZJSLO,O,O,O,O,O,O,X,X,X
ITZJSOL,O,X,O,O,X,O,X,X,X
ITZJOLS,O,X,O,X,O,O,X,X,X
ITZJOSL,O,X,O,O,X,O,X,X,X
ITZSLJO,O,O,O,O,O,X,X,X,X
ITZSLOJ,O,X,O,O,O,X,X,X,O
ITZSJLO,O,O,O,O,O,X,X,X,X
ITZSJOL,O,X,O,O,X,X,X,X,O
ITZSOLJ,O,X,O,O,X,X,X,X,O
ITZSOJL,O,X,O,O,X,X,X,X,O
ITZOLJS,O,O,O,X,O,O,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,X,O
ITZOJLS,O,O,O,X,O,O,X,X,X
ITZOJSL,O,O,O,O,X,O,X,X,X
ITZOSLJ,O,O,O,O,X,X,X,X,O
ITZOSJL,O,O,O,O,X,X,X,X,O
ITOLJSZ,X,O,O,O,X,X,O,O,O
ITOLJZS,X,O,O,X,O,X,O,O,X
ITOLSJZ,X,O,O,O,X,X,X,X,O
ITOLSZJ,X,O,O,O,O,X,X,X,O
ITOLZJS,X,O,O,X,O,O,X,X,X
ITOLZSJ,X,O,O,X,O,X,X,X,O
ITOJLSZ,X,O,O,O,X,X,O,O,O
ITOJLZS,X,O,O,X,X,X,O,O,X
ITOJSLZ,O,O,O,O,X,X,X,X,O
ITOJSZL,O,O,O,O,X,X,X,X,O
ITOJZLS,O,O,O,X,X,X,X,X,X
ITOJZSL,O,O,O,O,X,X,X,X,X
ITOSLJZ,O,O,O,O,X,X,X,X,O
ITOSLZJ,O,O,O,O,X,X,X,X,O
ITOSJLZ,O,O,O,O,X,X,X,X,O
ITOSJZL,O,O,O,O,X,X,X,X,O
ITOSZLJ,O,O,O,O,X,X,X,X,O
ITOSZJL,O,O,O,O,X,X,X,X,O
ITOZLJS,O,O,O,X,O,O,X,X,X
ITOZLSJ,O,O,O,X,O,X,X,X,O
ITOZJLS,O,O,O,X,O,O,X,X,X
ITOZJSL,O,O,O,O,X,O,X,X,X
ITOZSLJ,O,O,O,O,X,X,X,X,O
ITOZSJL,O,O,O,O,X,X,X,X,O
ILTJSZO,O,O,O,O,X,X,O,O,X
ILTJSOZ,O,O,X,O,X,X,O,O,X
ILTJZSO,O,O,X,X,O,X,O,O,X
ILTJZOS,O,X,X,X,O,X,O,O,X
ILTJOSZ,X,O,X,O,X,X,O,O,X
ILTJOZS,X,O,X,X,O,X,O,O,X
ILTSJZO,O,O,O,O,X,X,O,O,X
ILTSJOZ,O,O,X,O,X,X,O,O,X
ILTSZJO,O,O,X,O,O,X,X,X,X
ILTSZOJ,O,X,X,O,O,X,X,X,O
ILTSOJZ,O,O,X,O,X,X,X,X,O
ILTSOZJ,O,O,X,O,O,X,X,X,O
ILTZJSO,O,O,X,X,O,X,O,O,X
ILTZJOS,O,X,X,X,O,X,O,O,X
ILTZSJO,O,O,X,X,O,X,X,X,X
ILTZSOJ,O,X,X,X,O,X,X,X,X
ILTZOJS,O,O,X,X,O,X,X,X,X
ILTZOSJ,O,O,X,X,O,X,X,X,X
ILTOJSZ,X,O,O,O,X,X,O,O,O
ILTOJZS,X,O,X,X,O,X,O,O,X
ILTOSJZ,X,O,O,O,X,X,X,X,O
ILTOSZJ,X,O,X,O,O,X,X,X,O
ILTOZJS,X,O,X,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,O,X,X,X,O
ILJTSZO,O,O,O,O,X,X,O,O,X
ILJTSOZ,O,O,X,O,X,X,O,O,X
ILJTZSO,O,O,X,X,O,X,O,O,X
ILJTZOS,O,X,X,X,O,X,O,O,X
ILJTOSZ,X,O,X,O,X,X,O,O,X
ILJTOZS,X,X,X,X,O,X,O,O,X
ILJSTZO,O,O,O,X,X,X,O,O,X
ILJSTOZ,X,O,X,O,X,X,O,O,X
ILJSZTO,O,O,O,X,X,X,O,O,X
ILJSZOT,O,O,O,O,X,X,X,X,X
ILJSOTZ,X,X,X,O,X,X,O,X,X
ILJSOZT,O,O,O,O,X,X,X,X,X
ILJZTSO,O,X,O,X,X,X,O,O,X
ILJZTOS,O,X,X,X,O,X,O,O,X
ILJZSTO,O,O,O,X,X,X,O,O,X
ILJZSOT,O,O,O,X,O,X,X,X,X
ILJZOTS,O,X,X,X,O,X,X,O,X
ILJZOST,O,X,O,X,O,X,X,X,X
ILJOTSZ,X,O,O,O,X,X,O,O,X
ILJOTZS,X,X,X,X,O,X,O,O,X
ILJOSTZ,X,O,O,O,X,X,O,X,X
ILJOSZT,X,O,O,O,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,O,X
ILJOZST,X,O,O,X,O,X,X,X,X
ILSTJZO,O,O,O,X,X,X,O,O,X
ILSTJOZ,X,O,X,O,X,X,O,O,X
ILSTZJO,O,O,X,X,O,X,X,X,X
ILSTZOJ,O,X,X,X,O,X,X,X,O
ILSTOJZ,X,O,X,O,X,X,X,X,O
ILSTOZJ,X,X,X,X,O,X,X,X,O
ILSJTZO,O,O,O,X,X,X,O,O,X
ILSJTOZ,X,O,X,O,X,X,O,O,X
ILSJZTO,O,O,O,X,X,X,O,O,X
ILSJZOT,O,O,O,O,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,O,X,X
ILSJOZT,O,O,O,O,X,X,X,X,X
ILSZTJO,O,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,O
ILSZJTO,O,O,O,X,X,X,X,X,X
ILSZJOT,O,O,O,O,O,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X
ILSZOJT,O,X,O,O,O,X,X,X,X
ILSOTJZ,X,O,O,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,X,X,X,X
ILSOJTZ,X,O,O,O,X,X,X,X,X
ILSOJZT,O,O,O,O,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,X
ILSOZJT,O,O,O,O,O,X,X,X,X
ILZTJSO,O,X,O,X,O,X,O,O,X
ILZTJOS,O,X,X,X,O,X,O,O,X
ILZTSJO,O,X,O,X,O,X,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,X,X
ILZTOJS,O,X,O,X,O,X,X,X,X
ILZTOSJ,O,X,O,X,O,X,X,X,X
ILZJTSO,O,X,O,X,X,X,O,O,X
ILZJTOS,O,X,X,X,O,O,O,O,X
ILZJSTO,O,O,O,X,X,X,O,O,X
ILZJSOT,O,O,O,X,O,O,X,X,X
ILZJOTS,O,X,O,X,O,O,X,O,X
ILZJOST,O,X,O,X,O,O,X,X,X
ILZSTJO,O,X,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X,X,X
ILZSJOT,O,O,O,X,O,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X,X,X
ILZSOJT,O,X,O,X,O,X,X,X,X
ILZOTJS,O,X,O,X,O,X,X,X,X
ILZOTSJ,O,X,O,X,O,X,X,X,X
ILZOJTS,O,X,O,X,O,O,X,X,X
ILZOJST,O,O,O,X,O,O,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X,X
ILZOSJT,O,O,O,X,O,X,X,X,X
ILOTJSZ,X,O,O,O,X,X,O,O,X
ILOTJZS,X,O,X,X,O,X,O,O,X
ILOTSJZ,X,O,O,O,X,X,X,X,X
ILOTSZJ,X,O,X,O,O,X,X,X,X
ILOTZJS,X,O,X,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,O,X,X,X,X
ILOJTSZ,X,O,O,O,X,X,O,O,X
ILOJTZS,X,O,X,X,O,X,O,O,X
ILOJSTZ,X,O,O,O,X,X,O,X,X
ILOJSZT,X,O,O,O,X,X,X,X,X
ILOJZTS,X,X,O,X,O,X,X,O,X
ILOJZST,X,O,O,X,O,X,X,X,X
ILOSTJZ,X,O,O,O,X,X,X,X,X
ILOSTZJ,X,O,X,X,O,X,X,X,X
ILOSJTZ,X,O,O,O,X,X,X,X,X
ILOSJZT,X,O,O,O,X,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X,X
ILOSZJT,X,O,O,O,O,X,X,X,X
ILOZTJS,X,X,O,X,O,X,X,X,X
ILOZTSJ,X,X,O,X,O,X,X,X,X
ILOZJTS,X,X,O,X,O,O,X,X,X
ILOZJST,X,O,O,X,O,O,X,X,X
ILOZSTJ,X,X,O,X,X,X,X,X,X
ILOZSJT,X,O,O,X,O,X,X,X,X
IJTLSZO,O,O,O,O,X,X,O,O,X
IJTLSOZ,O,O,O,O,X,X,O,O,X
IJTLZSO,O,O,O,X,O,X,O,O,X
IJTLZOS,O,X,O,X,O,X,O,O,X
IJTLOSZ,X,O,O,O,X,X,O,O,X
IJTLOZS,X,O,X,X,O,X,O,O,X
IJTSLZO,O,O,O,O,X,X,O,O,X
IJTSLOZ,O,O,O,O,X,X,O,O,X
IJTSZLO,O,O,O,O,X,X,X,X,X
IJTSZOL,O,X,O,O,X,X,X,X,O
IJTSOLZ,O,O,X,O,X,X,X,X,O
IJTSOZL,O,X,X,O,X,X,X,X,O
IJTZLSO,O,O,O,X,O,X,O,O,X
IJTZLOS,O,X,O,X,O,X,O,O,X
IJTZSLO,O,O,O,O,O,X,X,X,X
IJTZSOL,O,X,O,O,X,X,X,X,X
IJTZOLS,O,X,X,X,O,X,X,X,X
IJTZOSL,O,X,O,O,X,X,X,X,X
IJTOLSZ,X,O,X,O,X,X,O,O,O
IJTOLZS,X,O,X,X,X,X,O,O,X
IJTOSLZ,O,O,X,O,X,X,X,X,O
IJTOSZL,O,O,X,O,X,X,X,X,O
IJTOZLS,O,O,X,X,X,X,X,X,X
IJTOZSL,O,O,X,O,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,O,O,X
IJLTSOZ,O,O,X,O,X,X,O,O,X
IJLTZSO,O,O,X,X,O,X,O,O,X
IJLTZOS,O,X,X,X,O,X,O,O,X
IJLTOSZ,X,O,X,O,X,X,O,O,X
IJLTOZS,X,X,X,X,O,X,O,O,X
IJLSTZO,O,O,O,X,X,X,O,O,X
IJLSTOZ,X,O,X,O,X,X,O,O,X
IJLSZTO,O,O,O,X,X,X,O,O,X
IJLSZOT,O,O,O,O,X,X,X,X,X
IJLSOTZ,X,X,X,O,X,X,O,X,X
IJLSOZT,O,O,O,O,X,X,X,X,X
IJLZTSO,O,X,O,X,X,X,O,O,X
IJLZTOS,O,X,X,X,O,X,O,O,X
IJLZSTO,O,O,O,X,X,X,O,O,X
IJLZSOT,O,O,O,X,O,X,X,X,X
