sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
IZSLOJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IZSJTLO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZSJTOL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
IZSJLTO,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IZSJOTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X
IZSJOLT,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IZSOTLJ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
IZSOTJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
IZSOLTJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O
IZSOLJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IZSOJTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X
IZSOJLT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IZOTLJS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOTSJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O
IZOLSJT,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZOJSTL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IZOJSLT,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSLTJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O
IZOSLJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
IOTZSJL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOLJZTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOJLZTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOJZSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IOSTZLJ,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X
IOSLTJZ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
IOSLZTJ,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X
IOSJTLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IOSJLTZ,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X
IOSJZTL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X
IOSJZLT,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X
IOSZTLJ,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X
IOSZLTJ,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
IOSZJTL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X
IOSZJLT,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X
IOZTLJS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZJSTL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZJSLT,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IOZSTLJ,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IOZSTJL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZSLTJ,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOZSJTL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZSJLT,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
LTIJSZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIJZSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISZJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTISZOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTISOJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISOZJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIZJSO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTIZJOS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIZOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIOZJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJIZSO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJSIOZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJSZIO,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJSZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJSOIZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJSOZI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJZISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTJZIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LTJZSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LTJZOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LTJOISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LTJOZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSIZJO,X,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTSIZOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTSIOZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTSJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJZIO,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSJZOI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTSJOZI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSZIJO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZJIO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZJOI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZOIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTSZOJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTSOIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSOIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTSOJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSOZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZIJSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTZIJOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZISJO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTZISOJ,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZIOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTZJIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LTZJSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LTZJOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZSIJO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSIOJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTZSOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTZOIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZOSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTZOSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LTOIJSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOISZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOIZJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LTOJZIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LTOSIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTOSJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOSZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LTOZSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITJSZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LITJZSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJZOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LITSZJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITSZOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITSOJZ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LITSOZJ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LITZJSO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LITZJOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LITZSOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
