sequence,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbByhB8kBWmB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Je2/IvhFRbBzcBUhB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFOhB8hB6kBTgB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBmgB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFygBzcB0fB3iBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFmcB6kBcmB3iBTl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFlbB2iBClBxmBcm?B/qB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFygBRiBXgBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Je//IvhFagBzbBRiBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jem6IvhFzbB6kBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jei6IvhFzbBukBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jex7IvhF8hBmfBzgB3iB6k?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBVlBamB3i?BGqB,v115@6gC8IeB8GeC8DeH8AeF8JeOBJvhF8hBxfB3iB6kBTg?BlqB
IZLSJTO,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IZLSJOT,X,O,O,O,O,O,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IZLSOJT,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IZLOTJS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZLOJTS,O,O,O,O,X,O,O,X,X,X,X,X,O,X
IZLOJST,O,O,O,O,X,O,O,X,X,X,X,X,O,X
IZLOSTJ,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IZLOSJT,X,O,X,O,O,O,O,X,X,X,X,X,O,X
IZJTLSO,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IZJTLOS,O,X,O,O,O,X,X,O,X,X,X,X,O,X
IZJTSLO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJTSOL,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IZJTOLS,O,X,O,O,O,X,X,O,X,X,X,X,O,X
IZJTOSL,X,O,O,O,O,X,X,X,O,X,X,X,O,X
IZJLTSO,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IZJLTOS,O,X,O,O,O,O,O,X,X,X,X,X,O,X
IZJLSTO,X,X,O,X,O,O,O,X,X,X,O,X,X,X
IZJLSOT,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,O,O,X,O,O,X,X,X,X,X,O,X
IZJLOST,O,O,O,O,O,O,O,X,X,X,X,X,O,X
IZJSTLO,O,X,X,X,O,X,X,X,O,X,O,X,X,X
IZJSTOL,O,O,X,X,O,X,X,X,O,X,O,X,O,X
IZJSLTO,O,X,X,X,O,X,X,X,O,X,O,X,X,X
IZJSLOT,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IZJSOLT,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IZJOTLS,O,X,X,O,O,X,X,O,X,X,X,X,O,X
IZJOTSL,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IZJOLTS,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IZJOLST,O,O,X,O,O,O,O,X,X,X,X,X,O,X
IZJOSTL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZJOSLT,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZSTLJO,O,O,X,O,O,X,X,X,X,O,X,X,X,O
IZSTLOJ,O,O,X,O,O,X,X,X,O,O,X,X,X,X
IZSTJLO,O,O,X,O,O,X,X,X,X,X,O,X,X,O
IZSTJOL,O,O,X,O,O,X,X,X,X,X,O,X,X,O
IZSTOLJ,O,O,X,O,O,X,X,X,O,O,X,X,X,X
IZSTOJL,O,O,X,O,O,X,X,X,X,X,O,X,X,O
IZSLTJO,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,X,X,O,O,X,X,X,X
IZSLJTO,O,O,X,X,O,X,X,X,O,O,X,X,X,O
IZSLJOT,O,O,X,O,O,X,X,X,X,X,X,X,X,O
IZSLOTJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,X,O,X,X,X,X,X,O,X,X,O
IZSJTOL,O,O,X,X,O,X,X,X,X,X,O,X,O,O
IZSJLTO,O,X,X,X,O,X,X,X,X,X,O,X,X,O
IZSJLOT,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZSJOTL,O,O,X,X,O,X,X,X,X,X,X,X,O,O
IZSJOLT,O,O,X,X,O,X,X,X,X,X,X,X,O,O
IZSOTLJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZSOLTJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZSOJTL,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IZSOJLT,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IZOTLJS,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IZOTJLS,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOTJSL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
IZOTSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTSJL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOLTJS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,O,O,X,X,X,X,X,O,X
IZOLJST,O,O,X,O,X,O,O,X,X,X,X,X,O,X
IZOLSTJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZOLSJT,X,O,X,O,O,O,O,X,X,X,X,X,O,X
IZOJTLS,O,X,X,O,O,X,X,O,X,X,X,X,O,X
IZOJTSL,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOJLTS,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IZOJLST,O,O,X,O,O,O,O,X,X,X,X,X,O,X
IZOJSTL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOJSLT,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOSTLJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOSLTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOSJTL,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOSJLT,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IOTLJSZ,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTLSJZ,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTLZJS,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTSJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTSZLJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTZLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IOLJSZT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJZTS,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJZST,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLSTZJ,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLSJZT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSZJT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZTJS,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZJST,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLZSJT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X
IOJTLZS,X,X,X,X,X,X,O,O,X,X,X,X,O,X
IOJTSLZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOJTSZL,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJTZLS,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOJTZSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJLSZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X
IOJSTZL,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOJSLTZ,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IOJSLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSZLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZTLS,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOJZTSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZLTS,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJZLST,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJZSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTLJZ,X,X,X,O,X,X,X,O,O,O,O,X,X,X
IOSTLZJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOSTZJL,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IOSLTJZ,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IOSLTZJ,O,X,X,X,X,O,O,X,O,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IOSLJZT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSJLTZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSJLZT,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJZLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZLTJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,O,X,O,X,X,X,X,X,X,O,X
IOSZJTL,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOSZJLT,O,X,X,O,X,O,X,X,X,X,X,X,O,O
IOZTLJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZTJSL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZTSLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLTJS,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZLJTS,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOZLJST,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOZLSTJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZLSJT,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOZJTLS,O,X,X,O,X,X,X,O,X,X,X,X,O,X
IOZJTSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZJLTS,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOZJLST,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOZJSTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZJSLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSJTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSJLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LTIJSZO,X,O,O,O,X,X,O,X,O,O,O,X,X,X
LTIJSOZ,X,O,O,O,O,X,O,O,O,O,O,X,X,X
LTIJZSO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTIJZOS,X,O,O,O,X,X,O,O,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
LTIJOZS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
LTISJZO,X,O,O,O,X,O,O,X,X,O,X,X,X,X
LTISJOZ,X,O,O,O,O,O,O,X,O,O,X,X,X,X
LTISZJO,X,O,O,O,O,O,O,X,X,O,X,X,X,O
LTISZOJ,X,O,O,O,O,X,O,X,O,O,X,X,X,X
LTISOJZ,X,O,O,O,O,O,O,O,O,O,X,X,X,X
LTISOZJ,X,X,O,O,O,O,O,O,O,O,X,X,X,X
LTIZJSO,X,O,O,O,O,O,O,X,X,X,X,X,X,X
LTIZJOS,X,O,O,O,O,O,O,X,X,X,X,X,X,X
LTIZSJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTIZSOJ,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTIZOJS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
LTIZOSJ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
LTIOJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
LTIOJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
LTIOSJZ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
LTIOSZJ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
LTIOZJS,X,X,O,O,O,O,O,O,X,X,X,X,X,X
LTIOZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
LTJISZO,O,O,O,O,O,X,O,X,O,O,O,X,X,X
LTJISOZ,X,O,O,O,O,X,O,O,O,O,O,X,X,X
LTJIZSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTJIZOS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTJIOSZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
LTJIOZS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTJSIZO,O,O,O,O,O,X,X,X,O,O,O,X,X,X
LTJSIOZ,O,O,O,O,O,X,X,O,O,O,O,X,X,X
LTJSZIO,O,O,O,O,O,X,X,X,O,O,O,X,X,X
LTJSZOI,O,O,O,O,O,X,X,X,O,O,O,O,X,X
LTJSOIZ,O,O,O,O,O,X,X,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,O,X,X,X,O,O,O,O,X,X
LTJZISO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTJZOSI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJOISZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
LTJOIZS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTJOSIZ,X,O,O,O,O,X,X,O,O,X,X,X,X,X
LTJOSZI,X,O,O,O,O,X,X,X,O,X,X,O,X,X
LTJOZIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTJOZSI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,X,O,X,X,X,O,X,X,X,X
LTSIJOZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
LTSIZJO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
LTSIZOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
LTSIOJZ,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTSIOZJ,O,X,O,O,O,O,X,O,O,O,X,X,X,X
LTSJIZO,O,O,O,O,O,O,X,X,X,O,X,X,X,X
LTSJIOZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
LTSJZIO,O,O,O,O,O,O,X,X,X,O,X,X,X,X
LTSJZOI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
LTSJOIZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
LTSJOZI,O,O,O,O,O,X,X,X,X,O,X,O,X,X
LTSZIJO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
LTSZIOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
LTSZJIO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
LTSZJOI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
LTSZOIJ,O,O,O,O,O,O,X,X,O,O,X,O,X,X
LTSZOJI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
LTSOIJZ,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTSOIZJ,O,X,O,O,O,O,X,O,O,O,X,X,X,X
LTSOJIZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
LTSOJZI,O,O,O,O,O,X,X,X,X,O,X,O,X,X
LTSOZIJ,O,O,O,O,O,O,X,X,O,O,X,O,X,X
LTSOZJI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
LTZIJSO,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZIJOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZISJO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTZIOSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
LTZJISO,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZJIOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZJOSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZSOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,O,O,O,O,X,O,X,X,X,X,X,X
LTZOISJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
LTZOJIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
LTOIJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
LTOISJZ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
LTOISZJ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
LTOIZJS,X,X,O,O,O,O,O,O,X,X,X,X,X,X
LTOIZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
LTOJISZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
LTOJIZS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
LTOJSIZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTOJSZI,X,O,O,O,O,X,X,X,O,X,X,O,X,X
LTOJZIS,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,O,O,O,O,O,X,O,O,X,X,X,X,X
LTOSIZJ,X,X,O,O,O,O,X,O,O,X,X,X,X,X
LTOSJIZ,X,O,O,O,O,O,X,X,O,X,X,X,X,X
LTOSJZI,X,O,O,O,O,X,X,X,X,X,X,O,X,X
LTOSZIJ,X,O,O,O,O,O,X,X,O,X,X,O,X,X
LTOSZJI,X,O,O,O,O,O,X,X,X,X,X,O,X,X
LTOZIJS,X,O,O,O,O,O,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
LTOZJIS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
LTOZJSI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOZSJI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,O,X,X,X,O,X,O,O,O,X,X,X
LITJSOZ,X,X,O,X,X,X,O,O,O,O,O,X,X,X
LITJZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITJZOS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITJOSZ,X,X,O,X,X,X,O,O,O,X,X,X,X,X
LITJOZS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITSJZO,X,X,O,X,X,O,O,X,X,O,X,X,X,X
LITSJOZ,X,X,O,X,X,O,O,X,O,O,X,X,X,X
LITSZJO,X,X,O,X,X,O,O,X,X,O,X,X,X,O
LITSZOJ,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LITSOJZ,X,X,O,X,X,O,O,O,O,O,X,X,X,X
LITSOZJ,X,X,O,X,X,O,O,O,O,O,X,X,X,X
LITZJSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X
LITZJOS,X,X,O,X,X,O,O,X,X,X,X,X,X,X
LITZSJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITZSOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITZOJS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITZOSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,O,O,O,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LITOSJZ,X,X,O,X,X,O,O,O,O,X,X,X,X,X
LITOSZJ,X,X,O,X,X,O,O,O,O,X,X,X,X,X
LITOZJS,X,X,O,X,X,O,O,O,X,X,X,X,X,X
LITOZSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LIJTSZO,X,O,O,X,X,X,O,X,O,O,O,X,X,X
LIJTSOZ,X,O,O,X,X,X,O,O,O,O,O,X,X,X
LIJTZSO,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LIJTZOS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LIJTOSZ,X,X,O,X,X,X,O,O,O,X,X,X,X,X
LIJTOZS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LIJSTZO,X,O,O,X,X,O,O,X,O,O,O,X,X,X
LIJSTOZ,X,O,O,X,X,O,O,X,O,O,O,X,X,X
LIJSZTO,X,O,O,O,X,O,O,X,O,O,O,X,X,X
LIJSZOT,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,O,O,X,O,O,O,X,X,X
LIJSOZT,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LIJZTSO,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LIJZTOS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIJZSTO,X,O,O,X,X,O,O,X,X,O,O,X,X,X
LIJZSOT,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIJZOTS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIJZOST,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,X,O,X,X,X,O,O,X,X,O,O,X,X,X
