sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TLJZOIS,X,O,O,O,O,O,O,O,X,X,X
TLJZOSI,X,O,O,O,O,O,O,O,X,X,X
TLJOISZ,X,X,X,X,O,O,O,X,X,X,X
TLJOIZS,X,O,O,X,X,O,O,X,X,X,X
TLJOSIZ,X,X,X,O,O,O,O,X,X,X,X
TLJOSZI,X,O,O,O,O,O,O,X,X,X,X
TLJOZIS,X,O,O,O,X,O,O,O,X,X,X
TLJOZSI,X,O,O,O,X,O,O,O,X,X,X
TLSIJZO,X,X,X,O,O,O,O,X,X,X,X
TLSIJOZ,X,X,X,O,O,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,O,O,X,X,X,X
TLSIZOJ,O,X,X,O,O,O,O,X,X,X,X
TLSIOJZ,X,X,X,O,O,O,O,X,X,X,X
TLSIOZJ,X,X,X,O,O,X,O,X,X,X,X
TLSJIZO,X,X,X,O,O,O,O,X,X,X,X
TLSJIOZ,X,X,X,O,O,O,X,X,X,X,X
TLSJZIO,O,X,X,O,O,O,O,O,X,X,X
TLSJZOI,O,X,X,O,O,O,X,O,X,X,X
TLSJOIZ,X,X,X,O,O,O,X,X,X,X,X
TLSJOZI,X,X,X,O,O,O,X,X,X,X,X
TLSZIJO,O,X,X,O,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,O,O,O,O,X,X,X,X
TLSZJIO,O,X,X,O,O,O,O,O,X,X,X
TLSZJOI,O,X,X,O,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,O,O,O,O,X,X,X,X
TLSZOJI,O,O,O,O,X,O,O,X,X,X,X
TLSOIJZ,X,X,X,O,O,O,O,X,X,X,X
TLSOIZJ,X,X,X,O,O,X,O,X,X,X,X
TLSOJIZ,X,X,X,O,O,O,O,X,X,X,X
TLSOJZI,X,O,X,O,O,O,O,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,O,X,X,X,X
TLSOZJI,O,O,O,O,X,X,O,X,X,X,X
TLZIJSO,X,X,O,X,X,O,O,O,O,O,X
TLZIJOS,X,O,O,O,X,O,O,O,X,X,X
TLZISJO,O,X,X,O,X,O,O,O,X,O,X
TLZISOJ,O,O,O,O,X,O,O,X,X,O,X
TLZIOJS,X,O,O,O,X,O,O,O,X,X,X
TLZIOSJ,X,O,O,O,X,O,O,X,X,X,X
TLZJISO,X,X,O,X,X,O,O,O,O,O,X
TLZJIOS,X,O,O,O,X,O,O,O,X,X,X
TLZJSIO,X,X,O,O,X,O,O,O,O,X,X
TLZJSOI,X,X,O,O,X,O,X,O,O,X,X
TLZJOIS,X,O,O,O,X,O,O,O,X,X,X
