sequence,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhF/mBUiBGjBzkBtq?BywB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Je0/IvhFThBGjBRqB3rB6q?BNsB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFTgBNnBGjBxqBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNmBGjBClBXnB0q?BzrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlBXr?B0rB
TSOLIJZ,O,O,O,X,X,X,O,X,X,O
TSOLIZJ,O,X,O,X,X,X,O,X,X,X
TSOLJIZ,O,O,O,X,X,X,O,X,X,O
TSOLJZI,O,O,O,X,X,X,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,O,X,X,X
TSOLZJI,O,O,O,X,X,X,O,X,X,X
TSOJILZ,O,O,O,X,X,X,O,X,X,O
TSOJIZL,O,X,O,X,O,X,O,X,X,X
TSOJLIZ,O,O,O,X,X,X,O,X,X,O
TSOJLZI,O,O,O,X,X,X,O,X,X,X
TSOJZIL,O,O,O,X,O,X,O,X,X,X
TSOJZLI,O,O,O,X,O,X,O,X,X,X
TSOZILJ,O,O,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,O,X,X,X
TSOZLJI,O,O,O,X,O,X,O,X,X,X
TSOZJIL,O,O,O,X,O,X,O,X,X,X
TSOZJLI,O,O,O,X,O,X,O,X,X,X
TZILJSO,O,X,X,X,X,O,X,O,O,X
TZILJOS,X,O,X,X,O,O,X,O,O,X
TZILSJO,O,X,X,X,X,O,X,O,O,X
TZILSOJ,O,X,X,X,X,O,X,O,X,X
TZILOJS,X,O,X,X,O,O,X,O,O,X
TZILOSJ,X,O,X,X,O,O,X,O,X,X
TZIJLSO,O,X,X,X,X,O,X,O,O,X
TZIJLOS,X,O,X,X,O,O,X,O,O,X
TZIJSLO,O,X,X,O,X,X,X,O,O,X
TZIJSOL,O,X,X,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,O,O,X,X,O,X
TZIJOSL,X,O,X,X,O,X,O,X,X,X
TZISLJO,O,X,X,O,X,X,X,O,O,X
TZISLOJ,X,X,X,O,X,X,X,O,X,X
TZISJLO,O,X,X,O,X,X,X,O,O,X
TZISJOL,O,X,X,O,X,X,X,X,X,X
TZISOLJ,X,X,X,O,X,X,X,X,X,X
TZISOJL,O,X,X,O,X,X,X,X,X,X
TZIOLJS,X,O,X,X,O,O,X,X,O,X
TZIOLSJ,X,O,X,X,O,O,X,X,X,X
TZIOJLS,X,O,X,X,O,O,X,X,O,X
TZIOJSL,X,O,X,X,O,X,O,X,X,X
TZIOSLJ,X,O,X,X,O,X,O,X,X,X
TZIOSJL,X,O,X,X,O,X,O,X,X,X
TZLIJSO,O,X,X,X,X,O,X,O,O,X
TZLIJOS,X,O,X,X,O,O,X,O,O,X
TZLISJO,O,X,X,X,X,O,X,O,O,X
TZLISOJ,O,X,X,X,X,O,X,O,X,X
TZLIOJS,X,O,X,X,O,O,X,O,O,X
TZLIOSJ,X,O,X,X,O,O,X,O,X,X
TZLJISO,O,X,X,X,X,O,X,O,O,X
TZLJIOS,X,O,X,X,O,O,X,O,O,X
TZLJSIO,O,X,X,X,X,X,X,O,O,O
TZLJSOI,O,O,O,X,O,X,X,O,X,X
TZLJOIS,O,O,O,X,O,X,X,O,O,X
TZLJOSI,O,O,O,X,O,X,X,O,X,X
TZLSIJO,O,X,X,X,X,X,X,O,O,O
TZLSIOJ,O,X,X,X,X,X,X,O,X,X
TZLSJIO,O,X,X,X,X,X,X,O,O,O
TZLSJOI,O,O,O,X,O,X,X,O,X,X
TZLSOIJ,O,O,O,X,O,X,X,O,X,X
TZLSOJI,O,O,O,X,O,X,X,O,X,X
TZLOIJS,O,O,O,X,O,X,X,O,O,X
TZLOISJ,O,O,X,X,O,X,X,O,X,X
TZLOJIS,O,O,O,X,O,X,X,O,O,X
TZLOJSI,O,O,O,X,O,X,X,O,X,X
TZLOSIJ,O,O,O,X,O,X,X,O,X,X
TZLOSJI,O,O,O,X,O,X,X,O,X,X
TZJILSO,O,X,X,X,X,O,X,O,O,X
TZJILOS,X,O,X,X,O,O,X,O,O,X
TZJISLO,O,X,X,O,X,X,X,O,O,X
TZJISOL,O,X,X,O,X,X,X,X,X,X
TZJIOLS,X,O,X,X,O,O,X,X,O,X
TZJIOSL,X,O,X,X,O,X,O,X,X,X
TZJLISO,O,X,X,X,X,O,X,O,O,X
TZJLIOS,X,O,X,X,O,O,X,O,O,X
TZJLSIO,O,X,X,X,X,X,X,O,O,O
TZJLSOI,O,O,O,X,O,X,X,O,X,X
TZJLOIS,O,O,O,X,O,X,X,O,O,X
TZJLOSI,O,O,O,X,O,X,X,O,X,X
TZJSILO,O,X,X,O,X,X,X,O,O,O
TZJSIOL,O,X,X,O,X,X,X,X,X,X
TZJSLIO,O,X,X,X,X,X,X,O,O,O
TZJSLOI,O,O,O,X,O,X,O,O,X,X
TZJSOIL,O,O,O,X,O,X,O,X,X,X
TZJSOLI,O,O,O,X,O,X,O,O,X,X
TZJOILS,O,O,O,X,O,X,X,X,O,X
TZJOISL,O,O,X,X,O,X,O,X,X,X
TZJOLIS,O,O,O,X,O,X,X,O,O,X
TZJOLSI,O,O,O,X,O,X,X,O,X,X
TZJOSIL,O,O,O,X,O,X,O,X,X,X
TZJOSLI,O,O,O,X,O,X,O,O,X,X
TZSILJO,O,X,X,O,X,X,X,O,O,O
TZSILOJ,X,X,X,O,X,X,X,O,X,X
TZSIJLO,O,X,X,O,X,X,X,O,O,O
TZSIJOL,O,X,X,O,X,X,X,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,X
TZSIOJL,O,X,X,O,X,X,X,X,X,X
TZSLIJO,O,X,X,X,X,X,X,O,O,O
TZSLIOJ,X,X,X,X,X,X,X,O,X,X
TZSLJIO,O,X,X,X,X,X,X,O,O,O
TZSLJOI,O,O,O,X,O,X,O,O,X,X
TZSLOIJ,O,O,O,X,O,X,O,O,X,X
TZSLOJI,O,O,O,X,O,X,O,O,X,X
TZSJILO,O,X,X,O,X,X,X,O,O,O
TZSJIOL,O,X,X,O,X,X,X,X,X,X
TZSJLIO,O,X,X,X,X,X,X,O,O,O
TZSJLOI,O,O,O,X,O,X,O,O,X,X
TZSJOIL,O,O,O,X,O,X,O,X,X,X
TZSJOLI,O,O,O,X,O,X,O,O,X,X
TZSOILJ,O,O,O,O,O,X,O,X,X,X
TZSOIJL,O,O,O,O,O,X,O,X,X,X
TZSOLIJ,O,O,O,X,O,X,O,O,X,X
TZSOLJI,O,O,O,X,O,X,O,O,X,X
TZSOJIL,O,O,O,X,O,X,O,X,X,X
TZSOJLI,O,O,O,X,O,X,O,O,X,X
TZOILJS,O,O,O,X,O,X,X,X,O,X
TZOILSJ,O,O,X,X,O,X,X,X,X,X
TZOIJLS,O,O,O,X,O,X,X,X,O,X
TZOIJSL,O,O,X,X,O,X,O,X,X,X
TZOISLJ,O,O,X,X,O,X,O,X,X,X
TZOISJL,O,O,X,X,O,X,O,X,X,X
TZOLIJS,O,O,O,X,O,X,X,O,O,X
TZOLISJ,O,O,X,X,O,X,X,O,X,X
TZOLJIS,O,O,O,X,O,X,X,O,O,X
TZOLJSI,O,O,O,X,O,X,X,O,X,X
TZOLSIJ,O,O,O,X,O,X,X,O,X,X
TZOLSJI,O,O,O,X,O,X,X,O,X,X
TZOJILS,O,O,O,X,O,X,X,X,O,X
TZOJISL,O,O,X,X,O,X,O,X,X,X
TZOJLIS,O,O,O,X,O,X,X,O,O,X
TZOJLSI,O,O,O,X,O,X,X,O,X,X
TZOJSIL,O,O,O,X,O,X,O,X,X,X
TZOJSLI,O,O,O,X,O,X,O,O,X,X
TZOSILJ,O,O,O,X,O,X,O,X,X,X
TZOSIJL,O,O,O,X,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,O,X,O,O,X,X
TZOSLJI,O,O,O,X,O,X,O,O,X,X
TZOSJIL,O,O,O,X,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,O,O,X,X
TOILJSZ,O,O,O,X,X,O,O,X,X,X
TOILJZS,O,O,O,X,O,O,X,X,X,X
TOILSJZ,O,O,O,X,X,O,O,X,X,X
TOILSZJ,O,X,O,X,X,O,O,X,X,X
TOILZJS,O,O,O,X,O,O,X,X,X,X
TOILZSJ,O,O,X,X,O,O,X,X,X,X
TOIJLSZ,O,O,O,X,X,O,O,X,X,X
TOIJLZS,O,O,O,X,O,O,X,X,X,X
TOIJSLZ,O,O,O,X,X,O,O,X,X,X
TOIJSZL,O,X,O,X,O,X,O,X,X,X
TOIJZLS,O,O,O,X,O,O,X,X,X,X
TOIJZSL,O,O,X,X,O,X,O,X,X,X
TOISLJZ,O,O,O,X,X,O,O,X,X,X
TOISLZJ,O,X,O,X,X,O,O,X,X,X
TOISJLZ,O,O,O,X,X,O,O,X,X,X
TOISJZL,O,X,O,X,O,X,O,X,X,X
TOISZLJ,O,X,O,X,O,X,O,X,X,X
TOISZJL,O,X,O,X,O,X,O,X,X,X
TOIZLJS,O,O,O,X,O,O,X,X,X,X
TOIZLSJ,O,O,X,X,O,O,X,X,X,X
TOIZJLS,O,O,O,X,O,O,X,X,X,X
TOIZJSL,O,O,X,X,O,X,O,X,X,X
TOIZSLJ,O,O,X,X,O,X,O,X,X,X
TOIZSJL,O,O,X,X,O,X,O,X,X,X
TOLIJSZ,O,O,O,X,X,O,O,X,X,X
TOLIJZS,O,O,O,X,O,O,X,X,X,X
TOLISJZ,O,O,O,X,X,O,O,X,X,X
TOLISZJ,O,X,O,X,X,O,O,X,X,X
TOLIZJS,O,O,O,X,O,O,X,X,X,X
TOLIZSJ,O,O,X,X,O,O,X,X,X,X
TOLJISZ,O,O,O,X,X,O,O,X,X,X
TOLJIZS,O,O,O,X,O,O,X,X,X,X
TOLJSIZ,O,O,O,X,X,X,O,X,X,O
TOLJSZI,O,O,O,X,X,X,O,X,X,X
TOLJZIS,O,O,O,X,O,X,X,X,O,X
TOLJZSI,O,O,O,X,O,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,O,X,X,O
TOLSIZJ,O,X,O,X,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,X,X,O,X,X,O
TOLSJZI,O,O,O,X,X,X,O,X,X,X
TOLSZIJ,O,O,O,X,X,X,O,X,X,X
TOLSZJI,O,O,O,X,X,X,O,X,X,X
TOLZIJS,O,O,O,X,O,X,X,X,O,X
TOLZISJ,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,O,X,O,X,X,X,O,X
TOLZJSI,O,O,O,X,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X,X,X
TOJILSZ,O,O,O,X,X,O,O,X,X,X
TOJILZS,O,O,O,X,O,O,X,X,X,X
TOJISLZ,O,O,O,X,X,O,O,X,X,X
TOJISZL,O,X,O,X,O,X,O,X,X,X
TOJIZLS,O,O,O,X,O,O,X,X,X,X
TOJIZSL,O,O,X,X,O,X,O,X,X,X
TOJLISZ,O,O,O,X,X,O,O,X,X,X
TOJLIZS,O,O,O,X,O,O,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,O,X,X,O
TOJLSZI,O,O,O,X,X,X,O,X,X,X
TOJLZIS,O,O,O,X,O,X,X,X,O,X
TOJLZSI,O,O,O,X,O,X,X,X,X,X
TOJSILZ,O,O,O,X,X,X,O,X,X,O
TOJSIZL,O,X,O,X,O,X,O,X,X,X
TOJSLIZ,O,O,O,X,X,X,O,X,X,O
TOJSLZI,O,O,O,X,X,X,O,X,X,X
TOJSZIL,O,O,O,X,O,X,O,X,X,X
TOJSZLI,O,O,O,X,O,X,O,X,X,X
TOJZILS,O,O,O,X,O,X,X,X,O,X
TOJZISL,O,O,X,X,O,X,O,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X,O,X
TOJZLSI,O,O,O,X,O,X,X,X,X,X
TOJZSIL,O,O,O,X,O,X,O,X,X,X
TOJZSLI,O,O,O,X,O,X,O,X,X,X
TOSILJZ,O,O,O,X,X,X,O,X,X,O
TOSILZJ,O,X,O,X,X,X,O,X,X,X
TOSIJLZ,O,O,O,X,X,X,O,X,X,O
TOSIJZL,O,X,O,X,O,X,O,X,X,X
TOSIZLJ,O,X,O,X,O,X,O,X,X,X
TOSIZJL,O,X,O,X,O,X,O,X,X,X
TOSLIJZ,O,O,O,X,X,X,O,X,X,O
TOSLIZJ,O,X,O,X,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,X,O,X,X,O
TOSLJZI,O,O,O,X,X,X,O,X,X,X
TOSLZIJ,O,O,O,X,X,X,O,X,X,X
TOSLZJI,O,O,O,X,X,X,O,X,X,X
TOSJILZ,O,O,O,X,X,X,O,X,X,O
TOSJIZL,O,X,O,X,O,X,O,X,X,X
TOSJLIZ,O,O,O,X,X,X,O,X,X,O
TOSJLZI,O,O,O,X,X,X,O,X,X,X
TOSJZIL,O,O,O,X,O,X,O,X,X,X
TOSJZLI,O,O,O,X,O,X,O,X,X,X
TOSZILJ,O,O,O,X,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,O,X,X,X
TOSZJIL,O,O,O,X,O,X,O,X,X,X
TOSZJLI,O,O,O,X,O,X,O,X,X,X
TOZILJS,O,O,O,X,O,X,X,X,O,X
TOZILSJ,O,O,X,X,O,X,X,X,X,X
TOZIJLS,O,O,O,X,O,X,X,X,O,X
TOZIJSL,O,O,X,X,O,X,O,X,X,X
TOZISLJ,O,O,X,X,O,X,O,X,X,X
TOZISJL,O,O,X,X,O,X,O,X,X,X
TOZLIJS,O,O,O,X,O,X,X,X,O,X
TOZLISJ,O,O,X,X,O,X,X,X,X,X
TOZLJIS,O,O,O,X,O,X,X,X,O,X
TOZLJSI,O,O,O,X,O,X,X,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,X,X,X
TOZLSJI,O,O,O,X,O,X,X,X,X,X
TOZJILS,O,O,O,X,O,X,X,X,O,X
TOZJISL,O,O,X,X,O,X,O,X,X,X
TOZJLIS,O,O,O,X,O,X,X,X,O,X
TOZJLSI,O,O,O,X,O,X,X,X,X,X
TOZJSIL,O,O,O,X,O,X,O,X,X,X
TOZJSLI,O,O,O,X,O,X,O,X,X,X
TOZSILJ,O,O,O,X,O,X,O,X,X,X
TOZSIJL,O,O,O,X,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,X,O,X,X,X
TOZSLJI,O,O,O,X,O,X,O,X,X,X
TOZSJIL,O,O,O,X,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,X,O,X,X,X
ITLJSZO,O,X,X,X,X,O,X,O,X,O
ITLJSOZ,O,X,O,X,X,O,X,X,X,O
ITLJZSO,O,X,X,X,X,O,X,O,O,X
ITLJZOS,X,O,X,X,X,O,X,O,O,X
ITLJOSZ,O,O,O,X,X,O,O,X,X,X
ITLJOZS,O,O,O,X,O,O,X,X,X,X
ITLSJZO,O,X,X,X,X,O,X,O,X,O
ITLSJOZ,O,X,O,X,X,O,X,X,X,O
ITLSZJO,O,X,X,X,X,O,X,O,X,O
ITLSZOJ,O,X,X,X,X,O,X,O,X,X
ITLSOJZ,O,X,O,X,X,O,X,X,X,O
ITLSOZJ,O,X,O,X,X,O,X,X,X,X
ITLZJSO,O,X,X,X,X,O,X,O,O,X
ITLZJOS,X,O,X,X,X,O,X,O,O,X
ITLZSJO,O,X,X,X,X,O,X,O,O,X
ITLZSOJ,O,X,X,X,X,O,X,O,X,X
ITLZOJS,X,O,X,X,X,O,X,O,O,X
ITLZOSJ,X,O,X,X,X,O,X,O,X,X
ITLOJSZ,O,O,O,X,X,O,O,X,X,X
ITLOJZS,O,O,O,X,O,O,X,X,X,X
ITLOSJZ,O,O,O,X,X,O,O,X,X,X
ITLOSZJ,O,X,O,X,X,O,O,X,X,X
ITLOZJS,O,O,O,X,O,O,X,X,X,X
ITLOZSJ,O,O,X,X,O,O,X,X,X,X
ITJLSZO,O,X,X,X,X,O,X,O,X,O
ITJLSOZ,O,X,O,X,X,O,X,X,X,O
ITJLZSO,O,X,X,X,X,O,X,O,O,X
ITJLZOS,X,O,X,X,X,O,X,O,O,X
ITJLOSZ,O,O,O,X,X,O,O,X,X,X
ITJLOZS,O,O,O,X,O,O,X,X,X,X
ITJSLZO,O,X,X,O,X,O,X,O,X,O
ITJSLOZ,O,X,O,O,X,O,O,X,X,O
ITJSZLO,O,X,X,O,X,X,X,O,X,O
ITJSZOL,O,X,X,O,X,X,X,X,X,X
ITJSOLZ,O,X,O,O,X,O,O,X,X,O
ITJSOZL,O,X,O,O,O,X,O,X,X,X
ITJZLSO,O,X,X,X,X,O,X,O,O,X
ITJZLOS,X,O,X,X,O,O,X,O,O,X
ITJZSLO,O,X,X,O,X,X,X,O,O,X
ITJZSOL,O,X,X,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,O,O,X,X,O,X
ITJZOSL,X,O,X,X,O,X,O,X,X,X
ITJOLSZ,O,O,O,X,X,O,O,X,X,X
ITJOLZS,O,O,O,X,O,O,X,X,X,X
ITJOSLZ,O,O,O,X,X,O,O,X,X,X
ITJOSZL,O,X,O,X,O,X,O,X,X,X
ITJOZLS,O,O,O,X,O,O,X,X,X,X
ITJOZSL,O,O,X,X,O,X,O,X,X,X
ITSLJZO,O,X,X,O,X,O,X,O,X,O
ITSLJOZ,O,X,O,O,X,O,O,X,X,O
ITSLZJO,O,X,X,O,X,O,X,O,X,O
ITSLZOJ,O,X,X,O,X,O,X,O,X,X
ITSLOJZ,O,X,O,O,X,O,O,X,X,O
ITSLOZJ,O,X,O,O,X,O,O,X,X,X
ITSJLZO,O,X,X,O,X,O,X,O,X,O
ITSJLOZ,O,X,O,O,X,O,O,X,X,O
ITSJZLO,O,X,X,O,X,X,X,O,X,O
ITSJZOL,O,X,X,O,X,X,X,X,X,X
ITSJOLZ,O,X,O,O,X,O,O,X,X,O
ITSJOZL,O,X,O,O,O,X,O,X,X,X
ITSZLJO,O,X,X,O,X,X,X,O,X,O
ITSZLOJ,X,X,X,O,X,X,X,O,X,X
ITSZJLO,O,X,X,O,X,X,X,O,X,O
ITSZJOL,O,X,X,O,X,X,X,X,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X
ITSZOJL,O,X,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,O,O,X,O,O,X,X,O
ITSOLZJ,O,X,O,O,X,O,O,X,X,X
ITSOJLZ,O,X,O,O,X,O,O,X,X,O
ITSOJZL,O,X,O,O,O,X,O,X,X,X
ITSOZLJ,O,X,O,O,O,X,O,X,X,X
ITSOZJL,O,X,O,O,O,X,O,X,X,X
ITZLJSO,O,X,X,X,X,O,X,O,O,X
ITZLJOS,X,O,X,X,O,O,X,O,O,X
ITZLSJO,O,X,X,X,X,O,X,O,O,X
ITZLSOJ,O,X,X,X,X,O,X,O,X,X
ITZLOJS,X,O,X,X,O,O,X,O,O,X
ITZLOSJ,X,O,X,X,O,O,X,O,X,X
ITZJLSO,O,X,X,X,X,O,X,O,O,X
ITZJLOS,X,O,X,X,O,O,X,O,O,X
ITZJSLO,O,X,X,O,X,X,X,O,O,X
ITZJSOL,O,X,X,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,O,O,X,X,O,X
ITZJOSL,X,O,X,X,O,X,O,X,X,X
ITZSLJO,O,X,X,O,X,X,X,O,O,X
ITZSLOJ,X,X,X,O,X,X,X,O,X,X
ITZSJLO,O,X,X,O,X,X,X,O,O,X
ITZSJOL,O,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,O,X,X,X,X,X,X
ITZSOJL,O,X,X,O,X,X,X,X,X,X
ITZOLJS,X,O,X,X,O,O,X,X,O,X
ITZOLSJ,X,O,X,X,O,O,X,X,X,X
ITZOJLS,X,O,X,X,O,O,X,X,O,X
ITZOJSL,X,O,X,X,O,X,O,X,X,X
ITZOSLJ,X,O,X,X,O,X,O,X,X,X
ITZOSJL,X,O,X,X,O,X,O,X,X,X
ITOLJSZ,O,O,O,X,X,O,O,X,X,X
ITOLJZS,O,O,O,X,O,O,X,X,X,X
ITOLSJZ,O,O,O,X,X,O,O,X,X,X
ITOLSZJ,O,X,O,X,X,O,O,X,X,X
ITOLZJS,O,O,O,X,O,O,X,X,X,X
ITOLZSJ,O,O,X,X,O,O,X,X,X,X
ITOJLSZ,O,O,O,X,X,O,O,X,X,X
ITOJLZS,O,O,O,X,O,O,X,X,X,X
ITOJSLZ,O,O,O,X,X,O,O,X,X,X
ITOJSZL,O,X,O,X,O,X,O,X,X,X
ITOJZLS,O,O,O,X,O,O,X,X,X,X
ITOJZSL,O,O,X,X,O,X,O,X,X,X
ITOSLJZ,O,O,O,X,X,O,O,X,X,X
ITOSLZJ,O,X,O,X,X,O,O,X,X,X
ITOSJLZ,O,O,O,X,X,O,O,X,X,X
ITOSJZL,O,X,O,X,O,X,O,X,X,X
ITOSZLJ,O,X,O,X,O,X,O,X,X,X
ITOSZJL,O,X,O,X,O,X,O,X,X,X
ITOZLJS,O,O,O,X,O,O,X,X,X,X
ITOZLSJ,O,O,X,X,O,O,X,X,X,X
ITOZJLS,O,O,O,X,O,O,X,X,X,X
ITOZJSL,O,O,X,X,O,X,O,X,X,X
ITOZSLJ,O,O,X,X,O,X,O,X,X,X
ITOZSJL,O,O,X,X,O,X,O,X,X,X
ILTJSZO,O,X,X,X,X,O,X,O,X,O
ILTJSOZ,O,X,O,X,X,O,X,X,X,O
ILTJZSO,O,X,X,X,X,O,X,O,O,X
ILTJZOS,X,O,X,X,X,O,X,O,O,X
ILTJOSZ,O,O,O,X,X,O,O,X,X,X
ILTJOZS,O,O,O,X,O,O,X,X,X,X
ILTSJZO,O,X,X,X,X,O,X,O,X,O
ILTSJOZ,O,X,O,X,X,O,X,X,X,O
ILTSZJO,O,X,X,X,X,O,X,O,X,O
ILTSZOJ,O,X,X,X,X,O,X,O,X,X
ILTSOJZ,O,X,O,X,X,O,X,X,X,O
ILTSOZJ,O,X,O,X,X,O,X,X,X,X
ILTZJSO,O,X,X,X,X,O,X,O,O,X
ILTZJOS,X,O,X,X,X,O,X,O,O,X
ILTZSJO,O,X,X,X,X,O,X,O,O,X
ILTZSOJ,O,X,X,X,X,O,X,O,X,X
ILTZOJS,X,O,X,X,X,O,X,O,O,X
ILTZOSJ,X,O,X,X,X,O,X,O,X,X
ILTOJSZ,O,O,O,X,X,O,O,X,X,X
ILTOJZS,O,O,O,X,O,O,X,X,X,X
ILTOSJZ,O,O,O,X,X,O,O,X,X,X
ILTOSZJ,O,X,O,X,X,O,O,X,X,X
ILTOZJS,O,O,O,X,O,O,X,X,X,X
ILTOZSJ,O,O,X,X,O,O,X,X,X,X
ILJTSZO,O,X,X,X,X,O,X,O,X,O
ILJTSOZ,O,X,O,X,X,O,X,X,X,O
ILJTZSO,O,X,X,X,X,O,X,O,O,X
ILJTZOS,X,O,X,X,X,O,X,O,O,X
ILJTOSZ,O,O,O,X,X,O,O,X,X,X
ILJTOZS,O,O,O,X,O,O,X,X,X,X
ILJSTZO,O,X,X,O,X,O,X,O,X,O
ILJSTOZ,O,X,O,O,X,O,X,X,X,O
ILJSZTO,O,X,X,O,X,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X,X,O,X,X
ILJSOTZ,O,X,O,O,X,O,X,X,X,X
ILJSOZT,O,X,X,O,X,X,X,O,X,X
ILJZTSO,O,X,X,X,X,O,X,O,O,X
ILJZTOS,X,O,X,X,X,O,X,O,O,X
ILJZSTO,O,X,X,O,X,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X,X,O,X,X
ILJZOTS,O,O,X,X,X,O,X,O,X,X
ILJZOST,X,X,X,X,X,X,X,O,X,X
ILJOTSZ,O,O,O,X,X,O,O,X,X,X
ILJOTZS,O,O,O,X,O,O,X,X,X,X
ILJOSTZ,O,X,O,X,X,O,O,X,X,X
ILJOSZT,O,X,X,X,X,X,X,O,X,X
ILJOZTS,O,O,X,X,O,O,X,O,X,X
ILJOZST,X,X,X,X,X,X,X,O,X,X
ILSTJZO,O,X,X,O,X,O,X,O,X,O
ILSTJOZ,O,X,O,O,X,O,X,X,X,O
ILSTZJO,O,X,X,O,X,O,X,O,X,O
ILSTZOJ,O,X,X,O,X,O,X,O,X,X
ILSTOJZ,O,X,O,O,X,O,X,X,X,O
ILSTOZJ,O,X,O,O,X,O,X,X,X,X
ILSJTZO,O,X,X,O,X,O,X,O,X,O
ILSJTOZ,O,X,O,O,X,O,X,X,X,O
ILSJZTO,O,X,X,O,X,X,X,O,X,X
ILSJZOT,O,X,X,O,X,X,X,O,X,X
ILSJOTZ,O,X,O,O,X,O,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,O,X,X
ILSZTJO,O,X,X,O,X,X,X,O,X,O
ILSZTOJ,O,X,X,O,X,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X,X,O,X,X
ILSZJOT,O,X,X,O,X,X,X,O,X,X
ILSZOTJ,X,X,X,O,X,X,X,O,X,X
ILSZOJT,O,X,X,O,X,X,X,O,X,X
ILSOTJZ,O,X,O,O,X,O,X,X,X,O
ILSOTZJ,O,X,O,O,X,O,X,X,X,X
ILSOJTZ,O,X,O,O,X,O,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,O,X,X
ILSOZTJ,X,X,O,O,X,X,X,O,X,X
ILSOZJT,O,X,X,O,X,X,X,O,X,X
ILZTJSO,O,X,X,X,X,O,X,O,O,X
ILZTJOS,X,O,X,X,X,O,X,O,O,X
ILZTSJO,O,X,X,X,X,O,X,O,O,X
ILZTSOJ,O,X,X,X,X,O,X,O,X,X
ILZTOJS,X,O,X,X,X,O,X,O,O,X
ILZTOSJ,X,O,X,X,X,O,X,O,X,X
ILZJTSO,O,X,X,X,X,O,X,O,O,X
ILZJTOS,X,O,X,X,X,O,X,O,O,X
ILZJSTO,O,X,X,O,X,X,X,O,X,X
ILZJSOT,O,X,X,O,X,X,X,O,X,X
ILZJOTS,O,O,X,X,X,O,X,O,X,X
ILZJOST,X,X,X,X,X,X,X,O,X,X
ILZSTJO,O,X,X,O,X,X,X,O,O,X
ILZSTOJ,O,X,X,O,X,X,X,O,X,X
ILZSJTO,O,X,X,O,X,X,X,O,X,X
ILZSJOT,O,X,X,O,X,X,X,O,X,X
ILZSOTJ,X,X,X,O,X,X,X,O,X,X
ILZSOJT,O,X,X,O,X,X,X,O,X,X
ILZOTJS,O,O,X,X,X,O,X,O,O,X
ILZOTSJ,O,O,X,X,X,O,X,O,X,X
ILZOJTS,O,O,X,X,X,O,X,O,X,X
ILZOJST,X,X,X,X,X,X,X,O,X,X
ILZOSTJ,X,O,X,X,X,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X,X,O,X,X
ILOTJSZ,O,O,O,X,X,O,O,X,X,X
ILOTJZS,O,O,O,X,O,O,X,X,X,X
ILOTSJZ,O,O,O,X,X,O,O,X,X,X
ILOTSZJ,O,X,O,X,X,O,O,X,X,X
