sequence,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8JeZ/IvhFza?BaiBuiBFhB0lB3qB,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8JeZ/IvhFza?BUcBaiBuiB1lB3qB,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8Jey/IvhFRd?BFhBTiBOkB0lB3qB
ITOZJSL,O,O,X
ITOZSLJ,O,O,X
ITOZSJL,O,O,X
ILTJSZO,X,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,X,O,X
ILTSJOZ,O,O,X
ILTSZJO,X,O,X
ILTSZOJ,X,O,X
ILTSOJZ,O,O,X
ILTSOZJ,X,O,X
ILTZJSO,O,O,X
ILTZJOS,O,O,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,O,X
ILTZOSJ,O,O,X
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,X,O,O
ILTOZJS,O,O,O
ILTOZSJ,O,O,O
ILJTSZO,X,O,X
ILJTSOZ,O,O,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,X,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,X
ILJSZOT,O,X,X
ILJSOTZ,O,O,X
ILJSOZT,O,X,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,X,X
ILJZOTS,O,O,X
ILJZOST,O,X,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,X,X
ILJOZTS,O,O,X
ILJOZST,O,X,X
ILSTJZO,X,O,X
ILSTJOZ,O,O,X
ILSTZJO,X,O,X
ILSTZOJ,X,O,X
ILSTOJZ,O,O,X
ILSTOZJ,X,O,X
ILSJTZO,X,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,X
ILSJZOT,O,X,X
ILSJOTZ,O,O,X
ILSJOZT,O,X,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,X,X
ILSZOTJ,O,X,X
ILSZOJT,O,X,X
ILSOTJZ,O,O,X
ILSOTZJ,X,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,O
ILZTOSJ,O,O,O
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,X,X
ILZJOTS,O,O,X
ILZJOST,O,X,X
ILZSTJO,O,O,X
ILZSTOJ,O,O,X
ILZSJTO,O,O,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,X
ILZSOJT,O,X,X
ILZOTJS,O,O,O
ILZOTSJ,O,O,O
ILZOJTS,O,O,O
ILZOJST,O,X,X
ILZOSTJ,O,X,O
