sequence,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFxcByiB?WnBllBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhF6hBZiB?zdBllB+sBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?1mB6nBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFRiB3iB?6qBOrBlmBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?0mB6sBzqBFsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdB+mB?llB6sBZnBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdBWnB?llBxrBKsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhF3cBiiB?unBxlBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je2BJvhFRdB3iB?llBcrBTsB6qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFyiBWnB?llBxrBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFyiBWnB?llBxrB0qBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFmdBCiB?llBxrBTsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhF8hBunB?llByrBzqB3sB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhFylBRiB?UiBfsBusBzqB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFmdBCiB?llBxrBTsB0qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFzhBllB?xrBusB0qBisB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeT8IvhF1lB3iB?SrBZnBusB0qB
ISLZJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ISJTZOL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJTOZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJLTZO,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJLOZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ISJOLZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTJLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZLTOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZLJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZOLJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X
ISOTLZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ISOTJZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ISOTZLJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
ISOLTZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLJTZ,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLJZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLZJT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOJLZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
ISOZLJT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
IZTLJOS,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTLSJO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZTJLSO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
IZTJLOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTJSLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTJSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
IZTJOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IZTSLJO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTSLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSJLO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTSJOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IZTSOJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IZTOLJS,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X
IZTOLSJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IZTOJLS,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X
IZTOJSL,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X
IZTOSLJ,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
IZTOSJL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X
IZLTJSO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IZLTJOS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLTSJO,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IZLTSOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZLTOJS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJSTO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLJSOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSJTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJTSLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZJTSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJTOSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLSTO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJLSOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSLOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTJLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSLJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSOLJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
IZOTSLJ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IZOLTJS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOLJTS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSTJL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSJLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,O,O,X,O,X,X,O,O,X,O,O,O,X
IOTLJZS,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
IOTLSJZ,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,O,X
IOTLSZJ,O,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTLZJS,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,X,X
IOTLZSJ,O,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTJLSZ,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X
IOTJLZS,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
IOTJSLZ,O,X,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X
IOTJSZL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTJZLS,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTJZSL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTSLJZ,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOTSLZJ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOTSJLZ,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X
IOTSJZL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X
IOTSZLJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X
IOTSZJL,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X
IOTZLJS,O,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTZLSJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTZJLS,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTZJSL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTZSLJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTZSJL,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X
IOLTJSZ,O,X,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X
IOLTJZS,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOLTSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLTZJS,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLJTSZ,O,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X
IOLJTZS,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJSZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLSTZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLSJTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLSJZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLSZJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLZJTS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X,O,X
IOJTLZS,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
IOJTSZL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IOJTZLS,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IOJLTSZ,O,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X
IOJLTZS,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLSZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJSLZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZSTL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOSTLZJ,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOSTJZL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IOSTZLJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
IOSLTJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOSLJZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IOSLZJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOSJLZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSJZLT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IOSZLJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZJLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
IOZTSLJ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZLTJS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOZLJTS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
