sequence,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhF8kBzgBCiB5oBXn?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFzgBumBcnB5oB3k?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhF3gBGiB5oB1pB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Kel/IvhF3gBqmBTiB5oB2p?B8qB,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhFlgB3hBcnB5oBzk?BCrB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFWmBTiB5oB3kB0m?BlqB,v115@FhA8IeA8HeB8AeC8AeE8KeKEJvhFflBlgBGiB5oB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Ke2EJvhFChBTiB5oB0mB3k?BlqB
TZJOISL,O,O,O,O,O,O,X,O
TZJOLIS,O,O,O,O,O,X,X,O
TZJOLSI,O,O,O,O,O,X,X,O
TZJOSIL,O,O,O,O,O,O,X,O
TZJOSLI,O,O,O,O,O,O,X,O
TZSILJO,O,O,O,O,O,O,X,O
TZSILOJ,O,O,O,O,O,O,X,O
TZSIJLO,O,O,O,O,O,O,X,O
TZSIJOL,O,O,O,O,O,O,X,O
TZSIOLJ,O,O,O,O,O,O,X,O
TZSIOJL,O,O,O,X,O,O,X,O
TZSLIJO,O,O,O,O,O,O,X,O
TZSLIOJ,O,O,O,O,O,O,X,O
TZSLJIO,O,O,O,O,O,O,X,O
TZSLJOI,O,O,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,O,O,X,O
TZSLOJI,O,O,O,O,O,O,X,O
TZSJILO,O,O,O,O,O,O,X,O
TZSJIOL,O,O,O,O,O,O,X,O
TZSJLIO,O,O,O,O,O,O,X,O
TZSJLOI,O,O,O,O,O,O,X,O
TZSJOIL,O,O,O,O,O,O,X,O
TZSJOLI,O,O,O,O,O,O,X,O
TZSOILJ,O,O,O,O,O,O,X,O
TZSOIJL,O,O,O,X,O,O,X,O
TZSOLIJ,O,O,O,O,O,O,X,O
TZSOLJI,O,O,O,O,O,O,X,O
TZSOJIL,O,O,O,X,O,O,X,O
TZSOJLI,O,O,O,X,O,O,X,O
TZOILJS,O,O,O,O,O,X,O,O
TZOILSJ,O,O,O,O,O,X,O,O
TZOIJLS,O,O,O,O,O,X,O,O
TZOIJSL,O,O,O,O,O,O,X,O
TZOISLJ,O,O,O,X,O,O,X,O
TZOISJL,O,O,O,X,O,O,X,O
TZOLIJS,O,O,O,O,O,X,O,O
TZOLISJ,O,O,O,O,O,X,O,O
TZOLJIS,O,O,O,O,O,X,O,O
TZOLJSI,O,O,O,O,O,X,O,O
TZOLSIJ,O,O,O,O,O,X,O,O
TZOLSJI,O,O,O,O,O,X,O,O
TZOJILS,O,O,O,O,O,X,O,O
TZOJISL,O,O,O,O,O,O,X,O
TZOJLIS,O,O,O,O,O,X,O,O
TZOJLSI,O,O,O,O,O,X,O,O
TZOJSIL,O,O,O,O,O,O,X,O
TZOJSLI,O,O,O,O,O,O,X,O
TZOSILJ,O,O,O,X,O,O,X,O
TZOSIJL,O,O,O,X,O,O,X,O
TZOSLIJ,O,O,O,X,O,O,X,O
TZOSLJI,O,O,O,X,O,O,X,O
TZOSJIL,O,O,O,X,O,O,X,O
TZOSJLI,O,O,O,X,O,O,X,O
TOILJSZ,X,X,O,O,O,O,O,X
TOILJZS,X,X,O,O,O,X,O,O
TOILSJZ,O,O,O,X,O,O,O,X
TOILSZJ,O,O,O,X,O,O,O,X
TOILZJS,O,O,O,O,O,X,O,O
TOILZSJ,O,O,O,O,O,X,O,O
TOIJLSZ,X,X,O,O,O,O,O,X
TOIJLZS,X,X,O,O,O,X,O,O
TOIJSLZ,O,O,O,O,O,O,X,X
TOIJSZL,O,O,O,O,O,O,X,X
TOIJZLS,O,O,O,O,O,X,O,O
TOIJZSL,O,O,O,O,O,O,X,O
TOISLJZ,O,O,O,X,O,O,X,X
TOISLZJ,O,O,O,X,O,O,X,X
TOISJLZ,O,O,O,X,O,O,X,X
TOISJZL,O,O,O,X,O,O,X,X
TOISZLJ,O,O,O,X,O,O,X,X
TOISZJL,O,O,O,X,O,O,X,X
TOIZLJS,O,O,O,O,O,X,O,O
TOIZLSJ,O,O,O,O,O,X,O,O
TOIZJLS,O,O,O,O,O,X,O,O
TOIZJSL,O,O,O,O,O,O,X,O
TOIZSLJ,O,O,O,X,O,O,X,O
TOIZSJL,O,O,O,X,O,O,X,O
TOLIJSZ,X,X,O,O,O,O,O,X
TOLIJZS,X,X,O,O,O,X,O,O
TOLISJZ,O,O,O,X,O,O,O,X
TOLISZJ,O,O,O,X,O,O,O,X
TOLIZJS,O,O,O,O,O,X,O,O
TOLIZSJ,O,O,O,O,O,X,O,O
TOLJISZ,X,X,O,O,O,O,O,X
TOLJIZS,X,X,O,O,O,X,O,O
TOLJSIZ,X,X,O,O,O,O,O,X
TOLJSZI,X,X,O,O,O,O,O,X
TOLJZIS,X,X,O,O,O,X,O,O
TOLJZSI,X,X,O,O,O,X,O,O
TOLSIJZ,O,O,O,X,O,O,O,X
TOLSIZJ,O,O,O,X,O,O,O,X
TOLSJIZ,O,O,O,X,O,O,O,X
TOLSJZI,O,O,O,X,O,O,O,X
TOLSZIJ,O,O,O,X,O,O,O,X
TOLSZJI,O,O,O,X,O,O,O,X
TOLZIJS,O,O,O,O,O,X,O,O
TOLZISJ,O,O,O,O,O,X,O,O
TOLZJIS,O,O,O,O,O,X,O,O
TOLZJSI,O,O,O,O,O,X,O,O
TOLZSIJ,O,O,O,O,O,X,O,O
TOLZSJI,O,O,O,O,O,X,O,O
TOJILSZ,X,X,O,O,O,O,O,X
TOJILZS,X,X,O,O,O,X,O,O
TOJISLZ,O,O,O,O,O,O,X,X
TOJISZL,O,O,O,O,O,O,X,X
TOJIZLS,O,O,O,O,O,X,O,O
TOJIZSL,O,O,O,O,O,O,X,O
TOJLISZ,X,X,O,O,O,O,O,X
TOJLIZS,X,X,O,O,O,X,O,O
TOJLSIZ,X,X,O,O,O,O,O,X
TOJLSZI,X,X,O,O,O,O,O,X
TOJLZIS,X,X,O,O,O,X,O,O
TOJLZSI,X,X,O,O,O,X,O,O
TOJSILZ,O,O,O,O,O,O,X,X
TOJSIZL,O,O,O,O,O,O,X,X
TOJSLIZ,O,O,O,O,O,O,X,X
TOJSLZI,O,O,O,O,O,O,X,X
TOJSZIL,O,O,O,O,O,O,X,X
TOJSZLI,O,O,O,O,O,O,X,X
TOJZILS,O,O,O,O,O,X,O,O
TOJZISL,O,O,O,O,O,O,X,O
TOJZLIS,O,O,O,O,O,X,O,O
TOJZLSI,O,O,O,O,O,X,O,O
TOJZSIL,O,O,O,O,O,O,X,O
TOJZSLI,O,O,O,O,O,O,X,O
TOSILJZ,O,O,O,X,O,O,X,X
TOSILZJ,O,O,O,X,O,O,X,X
TOSIJLZ,O,O,O,X,O,O,X,X
TOSIJZL,O,O,O,X,O,O,X,X
TOSIZLJ,O,O,O,X,O,O,X,X
TOSIZJL,O,O,O,X,O,O,X,X
TOSLIJZ,O,O,O,X,O,O,X,X
TOSLIZJ,O,O,O,X,O,O,X,X
TOSLJIZ,O,O,O,X,O,O,X,X
TOSLJZI,O,O,O,X,O,O,X,X
TOSLZIJ,O,O,O,X,O,O,X,X
TOSLZJI,O,O,O,X,O,O,X,X
TOSJILZ,O,O,O,X,O,O,X,X
TOSJIZL,O,O,O,X,O,O,X,X
TOSJLIZ,O,O,O,X,O,O,X,X
TOSJLZI,O,O,O,X,O,O,X,X
TOSJZIL,O,O,O,X,O,O,X,X
TOSJZLI,O,O,O,X,O,O,X,X
TOSZILJ,O,O,O,X,O,O,X,X
TOSZIJL,O,O,O,X,O,O,X,X
TOSZLIJ,O,O,O,X,O,O,X,X
TOSZLJI,O,O,O,X,O,O,X,X
TOSZJIL,O,O,O,X,O,O,X,X
TOSZJLI,O,O,O,X,O,O,X,X
TOZILJS,O,O,O,O,O,X,O,O
TOZILSJ,O,O,O,O,O,X,O,O
TOZIJLS,O,O,O,O,O,X,O,O
TOZIJSL,O,O,O,O,O,O,X,O
TOZISLJ,O,O,O,X,O,O,X,O
TOZISJL,O,O,O,X,O,O,X,O
TOZLIJS,O,O,O,O,O,X,O,O
TOZLISJ,O,O,O,O,O,X,O,O
TOZLJIS,O,O,O,O,O,X,O,O
TOZLJSI,O,O,O,O,O,X,O,O
TOZLSIJ,O,O,O,O,O,X,O,O
TOZLSJI,O,O,O,O,O,X,O,O
TOZJILS,O,O,O,O,O,X,O,O
TOZJISL,O,O,O,O,O,O,X,O
TOZJLIS,O,O,O,O,O,X,O,O
TOZJLSI,O,O,O,O,O,X,O,O
TOZJSIL,O,O,O,O,O,O,X,O
TOZJSLI,O,O,O,O,O,O,X,O
TOZSILJ,O,O,O,X,O,O,X,O
TOZSIJL,O,O,O,X,O,O,X,O
TOZSLIJ,O,O,O,X,O,O,X,O
TOZSLJI,O,O,O,X,O,O,X,O
TOZSJIL,O,O,O,X,O,O,X,O
TOZSJLI,O,O,O,X,O,O,X,O
ITLJSZO,X,X,O,O,O,O,O,O
ITLJSOZ,X,X,O,O,X,O,O,X
ITLJZSO,X,X,O,O,O,X,O,O
ITLJZOS,X,X,O,O,O,X,X,O
ITLJOSZ,X,X,O,O,O,O,O,X
ITLJOZS,X,X,O,O,O,X,O,O
ITLSJZO,O,O,O,X,O,O,O,O
ITLSJOZ,O,O,O,X,X,O,O,X
ITLSZJO,O,O,O,X,O,O,O,O
ITLSZOJ,O,O,O,X,O,O,O,O
ITLSOJZ,O,O,O,X,O,O,O,X
ITLSOZJ,O,O,O,X,O,O,O,X
ITLZJSO,O,O,O,O,O,X,O,O
ITLZJOS,O,O,O,O,O,X,X,O
ITLZSJO,O,O,O,O,O,X,O,O
ITLZSOJ,O,O,O,O,O,X,O,O
ITLZOJS,O,O,O,O,O,X,O,O
ITLZOSJ,O,O,O,O,O,X,O,O
ITLOJSZ,X,X,O,O,O,O,O,X
ITLOJZS,X,X,O,O,O,X,O,O
ITLOSJZ,O,O,O,X,O,O,O,X
ITLOSZJ,O,O,O,X,O,O,O,X
ITLOZJS,O,O,O,O,O,X,O,O
ITLOZSJ,O,O,O,O,O,X,O,O
ITJLSZO,X,X,O,O,O,O,O,O
ITJLSOZ,X,X,O,O,X,O,O,X
ITJLZSO,X,X,O,O,O,X,O,O
ITJLZOS,X,X,O,O,O,X,X,O
ITJLOSZ,X,X,O,O,X,O,O,X
ITJLOZS,X,X,O,O,O,X,O,O
ITJSLZO,O,O,O,O,X,O,X,O
ITJSLOZ,O,O,O,O,X,O,X,X
ITJSZLO,O,O,O,O,X,O,X,O
ITJSZOL,O,O,O,O,X,O,X,O
ITJSOLZ,O,O,O,O,X,O,X,X
ITJSOZL,O,O,O,O,X,O,X,X
ITJZLSO,O,O,O,O,O,X,O,O
ITJZLOS,O,O,O,O,O,X,X,O
ITJZSLO,O,O,O,O,O,O,X,O
ITJZSOL,O,O,O,O,O,O,X,O
ITJZOLS,O,O,O,O,O,X,X,O
ITJZOSL,O,O,O,O,O,O,X,O
ITJOLSZ,X,X,O,O,O,O,O,X
ITJOLZS,X,X,O,O,O,X,O,O
ITJOSLZ,O,O,O,O,O,O,X,X
ITJOSZL,O,O,O,O,O,O,X,X
ITJOZLS,O,O,O,O,O,X,O,O
ITJOZSL,O,O,O,O,O,O,X,O
ITSLJZO,O,O,O,X,X,O,X,O
ITSLJOZ,O,O,O,X,X,O,X,X
ITSLZJO,O,O,O,X,X,O,X,O
ITSLZOJ,O,O,O,X,X,O,X,O
ITSLOJZ,O,O,O,X,X,O,X,X
ITSLOZJ,O,O,O,X,X,O,X,X
ITSJLZO,O,O,O,X,X,O,X,O
ITSJLOZ,O,O,O,X,X,O,X,X
ITSJZLO,O,O,O,X,X,O,X,O
ITSJZOL,O,O,O,X,X,O,X,O
ITSJOLZ,O,O,O,X,X,O,X,X
ITSJOZL,O,O,O,X,X,O,X,X
ITSZLJO,O,O,O,X,X,O,X,O
ITSZLOJ,O,O,O,X,X,O,X,O
ITSZJLO,O,O,O,X,X,O,X,O
ITSZJOL,O,O,O,X,X,O,X,O
ITSZOLJ,O,O,O,X,X,O,X,O
ITSZOJL,O,O,O,X,X,O,X,O
ITSOLJZ,O,O,O,X,X,O,X,X
ITSOLZJ,O,O,O,X,X,O,X,X
ITSOJLZ,O,O,O,X,X,O,X,X
ITSOJZL,O,O,O,X,X,O,X,X
ITSOZLJ,O,O,O,X,X,O,X,X
ITSOZJL,O,O,O,X,X,O,X,X
ITZLJSO,O,O,O,O,O,X,O,O
ITZLJOS,O,O,O,O,O,X,X,O
ITZLSJO,O,O,O,O,O,X,O,O
ITZLSOJ,O,O,O,O,O,X,O,O
ITZLOJS,O,O,O,O,O,X,O,O
ITZLOSJ,O,O,O,O,O,X,O,O
ITZJLSO,O,O,O,O,O,X,O,O
ITZJLOS,O,O,O,O,O,X,X,O
ITZJSLO,O,O,O,O,O,O,X,O
ITZJSOL,O,O,O,O,O,O,X,O
ITZJOLS,O,O,O,O,O,X,X,O
ITZJOSL,O,O,O,O,O,O,X,O
ITZSLJO,O,O,O,O,O,O,X,O
ITZSLOJ,O,O,O,O,O,O,X,O
ITZSJLO,O,O,O,O,O,O,X,O
ITZSJOL,O,O,O,O,O,O,X,O
ITZSOLJ,O,O,O,O,O,O,X,O
ITZSOJL,O,O,O,X,O,O,X,O
ITZOLJS,O,O,O,O,O,X,O,O
ITZOLSJ,O,O,O,O,O,X,O,O
ITZOJLS,O,O,O,O,O,X,O,O
ITZOJSL,O,O,O,O,O,O,X,O
ITZOSLJ,O,O,O,X,O,O,X,O
ITZOSJL,O,O,O,X,O,O,X,O
ITOLJSZ,X,X,O,O,O,O,O,X
ITOLJZS,X,X,O,O,O,X,O,O
ITOLSJZ,O,O,O,X,O,O,O,X
ITOLSZJ,O,O,O,X,O,O,O,X
ITOLZJS,O,O,O,O,O,X,O,O
ITOLZSJ,O,O,O,O,O,X,O,O
ITOJLSZ,X,X,O,O,O,O,O,X
ITOJLZS,X,X,O,O,O,X,O,O
ITOJSLZ,O,O,O,O,O,O,X,X
ITOJSZL,O,O,O,O,O,O,X,X
ITOJZLS,O,O,O,O,O,X,O,O
ITOJZSL,O,O,O,O,O,O,X,O
ITOSLJZ,O,O,O,X,O,O,X,X
ITOSLZJ,O,O,O,X,O,O,X,X
ITOSJLZ,O,O,O,X,O,O,X,X
ITOSJZL,O,O,O,X,O,O,X,X
ITOSZLJ,O,O,O,X,O,O,X,X
ITOSZJL,O,O,O,X,O,O,X,X
ITOZLJS,O,O,O,O,O,X,O,O
ITOZLSJ,O,O,O,O,O,X,O,O
ITOZJLS,O,O,O,O,O,X,O,O
ITOZJSL,O,O,O,O,O,O,X,O
ITOZSLJ,O,O,O,X,O,O,X,O
ITOZSJL,O,O,O,X,O,O,X,O
ILTJSZO,X,X,O,O,O,O,O,O
ILTJSOZ,X,X,O,O,X,O,O,X
ILTJZSO,X,X,O,O,O,X,O,O
ILTJZOS,X,X,O,O,O,X,X,O
ILTJOSZ,X,X,O,O,O,O,O,X
ILTJOZS,X,X,O,O,O,X,O,O
ILTSJZO,O,O,O,X,O,O,O,O
ILTSJOZ,O,O,O,X,X,O,O,X
ILTSZJO,O,O,O,X,O,O,O,O
ILTSZOJ,O,O,O,X,O,O,O,O
ILTSOJZ,O,O,O,X,O,O,O,X
ILTSOZJ,O,O,O,X,O,O,O,X
ILTZJSO,O,O,O,O,O,X,O,O
ILTZJOS,O,O,O,O,O,X,X,O
ILTZSJO,O,O,O,O,O,X,O,O
ILTZSOJ,O,O,O,O,O,X,O,O
ILTZOJS,O,O,O,O,O,X,O,O
ILTZOSJ,O,O,O,O,O,X,O,O
ILTOJSZ,X,X,O,O,O,O,O,X
ILTOJZS,X,X,O,O,O,X,O,O
ILTOSJZ,O,O,O,X,O,O,O,X
ILTOSZJ,O,O,O,X,O,O,O,X
ILTOZJS,O,O,O,O,O,X,O,O
ILTOZSJ,O,O,O,O,O,X,O,O
ILJTSZO,X,X,O,O,O,X,O,X
ILJTSOZ,X,X,O,O,X,X,O,X
ILJTZSO,X,X,O,O,O,X,O,X
ILJTZOS,X,X,O,O,O,X,X,X
ILJTOSZ,X,X,O,O,O,X,O,X
ILJTOZS,X,X,O,O,O,X,O,X
ILJSTZO,O,X,X,O,O,X,O,X
ILJSTOZ,X,X,X,O,X,X,O,X
ILJSZTO,O,X,X,O,O,X,O,X
ILJSZOT,O,X,X,O,O,X,O,X
ILJSOTZ,X,X,X,O,X,X,O,X
ILJSOZT,O,X,X,O,X,X,O,X
ILJZTSO,O,X,O,O,O,X,O,X
ILJZTOS,O,X,O,O,O,X,X,X
ILJZSTO,O,X,O,O,O,X,O,X
ILJZSOT,O,X,X,O,O,X,O,X
ILJZOTS,X,X,X,O,O,X,O,X
ILJZOST,X,X,X,O,O,X,O,X
ILJOTSZ,X,X,O,O,O,X,O,X
ILJOTZS,X,X,O,O,O,X,O,X
ILJOSTZ,X,X,X,O,O,X,O,X
ILJOSZT,X,X,X,O,O,X,O,X
ILJOZTS,X,X,O,O,O,X,O,X
ILJOZST,X,X,O,O,O,X,O,X
ILSTJZO,O,O,X,X,O,O,O,X
ILSTJOZ,O,O,X,X,X,O,O,X
ILSTZJO,O,O,X,X,O,O,O,X
ILSTZOJ,O,O,X,X,O,O,O,X
ILSTOJZ,O,O,X,X,O,O,O,X
ILSTOZJ,O,O,X,X,O,O,O,X
ILSJTZO,O,O,X,O,O,O,O,X
ILSJTOZ,O,O,X,O,X,O,O,X
ILSJZTO,O,O,X,O,O,X,O,X
ILSJZOT,O,O,X,O,O,X,O,X
ILSJOTZ,X,X,X,O,X,O,O,X
ILSJOZT,O,X,X,O,X,X,O,X
ILSZTJO,O,O,X,O,O,O,O,X
ILSZTOJ,O,O,X,O,O,O,O,X
ILSZJTO,O,O,X,O,O,X,O,X
ILSZJOT,O,O,X,O,O,X,O,X
ILSZOTJ,O,O,X,O,O,O,O,X
ILSZOJT,O,O,X,O,O,X,O,X
ILSOTJZ,O,O,X,X,O,O,O,X
ILSOTZJ,O,O,X,X,O,O,O,X
ILSOJTZ,X,X,X,O,O,O,O,X
ILSOJZT,O,X,X,O,O,X,O,X
ILSOZTJ,O,O,X,O,O,O,O,X
ILSOZJT,O,O,X,O,O,X,O,X
ILZTJSO,O,O,O,O,O,X,O,O
ILZTJOS,O,O,O,O,O,X,X,O
ILZTSJO,O,O,O,O,O,X,O,O
ILZTSOJ,O,O,O,O,O,X,O,O
ILZTOJS,O,O,O,O,O,X,O,O
ILZTOSJ,O,O,O,O,O,X,O,O
ILZJTSO,O,O,O,O,O,X,O,X
ILZJTOS,O,O,O,O,O,X,X,X
ILZJSTO,O,O,O,O,O,X,O,X
ILZJSOT,O,O,X,O,O,X,O,X
ILZJOTS,X,X,X,O,O,X,O,X
ILZJOST,X,X,X,O,O,X,O,X
ILZSTJO,O,O,O,O,O,X,O,X
ILZSTOJ,O,O,O,O,O,X,O,X
ILZSJTO,O,O,O,O,O,X,O,X
ILZSJOT,O,O,X,O,O,X,O,X
ILZSOTJ,O,O,O,O,O,X,O,X
ILZSOJT,O,O,O,O,O,X,O,X
ILZOTJS,X,X,O,O,O,X,O,O
ILZOTSJ,X,X,O,O,O,X,O,O
ILZOJTS,X,X,O,O,O,X,O,X
ILZOJST,X,X,O,O,O,X,O,X
ILZOSTJ,X,X,O,O,O,X,O,X
ILZOSJT,X,X,O,O,O,X,O,X
ILOTJSZ,X,X,O,O,O,O,O,X
ILOTJZS,X,X,O,O,O,X,O,X
ILOTSJZ,X,X,O,X,O,O,O,X
ILOTSZJ,X,X,O,X,O,O,O,X
ILOTZJS,X,X,O,O,O,X,O,X
ILOTZSJ,X,X,O,O,O,X,O,X
ILOJTSZ,X,X,O,O,O,X,O,X
ILOJTZS,X,X,O,O,O,X,O,X
ILOJSTZ,X,X,X,O,O,X,O,X
ILOJSZT,X,X,X,O,O,X,O,X
ILOJZTS,X,X,O,O,O,X,O,X
ILOJZST,X,X,O,O,O,X,O,X
ILOSTJZ,X,X,X,X,O,O,O,X
ILOSTZJ,X,X,X,X,O,O,O,X
ILOSJTZ,X,X,X,O,O,O,O,X
ILOSJZT,X,X,X,O,O,X,O,X
ILOSZTJ,X,X,X,O,O,O,O,X
ILOSZJT,X,X,X,O,O,X,O,X
ILOZTJS,X,X,O,O,O,X,O,O
ILOZTSJ,X,X,O,O,O,X,O,O
ILOZJTS,X,X,O,O,O,X,O,X
ILOZJST,X,X,O,O,O,X,O,X
ILOZSTJ,X,X,O,O,O,X,O,X
ILOZSJT,X,X,O,O,O,X,O,X
IJTLSZO,X,X,O,O,O,O,O,O
IJTLSOZ,X,X,O,O,X,O,O,X
IJTLZSO,X,X,O,O,O,X,O,O
IJTLZOS,X,X,O,O,O,X,X,O
IJTLOSZ,X,X,O,O,X,O,O,X
IJTLOZS,X,X,O,O,O,X,O,O
IJTSLZO,O,O,O,O,X,O,X,O
IJTSLOZ,O,O,O,O,X,O,X,X
IJTSZLO,O,O,O,O,X,O,X,O
IJTSZOL,O,O,O,O,X,O,X,O
IJTSOLZ,O,O,O,O,X,O,X,X
IJTSOZL,O,O,O,O,X,O,X,X
IJTZLSO,O,O,O,O,O,X,O,O
IJTZLOS,O,O,O,O,O,X,X,O
IJTZSLO,O,O,O,O,O,O,X,O
IJTZSOL,O,O,O,O,O,O,X,O
IJTZOLS,O,O,O,O,O,X,X,O
IJTZOSL,O,O,O,O,O,O,X,O
IJTOLSZ,X,X,O,O,O,O,O,X
IJTOLZS,X,X,O,O,O,X,O,O
IJTOSLZ,O,O,O,O,O,O,X,X
IJTOSZL,O,O,O,O,O,O,X,X
IJTOZLS,O,O,O,O,O,X,O,O
IJTOZSL,O,O,O,O,O,O,X,O
IJLTSZO,X,X,O,O,O,X,O,X
IJLTSOZ,X,X,O,O,X,X,O,X
IJLTZSO,X,X,O,O,O,X,O,X
IJLTZOS,X,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,O,O,X,O,X
IJLTOZS,X,X,O,O,O,X,O,X
IJLSTZO,O,X,X,O,O,X,O,X
IJLSTOZ,X,X,X,O,X,X,O,X
IJLSZTO,O,X,X,O,O,X,O,X
IJLSZOT,O,X,X,O,O,X,O,X
IJLSOTZ,X,X,X,O,X,X,O,X
IJLSOZT,O,X,X,O,X,X,O,X
IJLZTSO,O,X,O,O,O,X,O,X
IJLZTOS,O,X,O,O,O,X,X,X
IJLZSTO,O,X,O,O,O,X,O,X
IJLZSOT,O,X,X,O,O,X,O,X
IJLZOTS,X,X,X,O,O,X,O,X
IJLZOST,X,X,X,O,O,X,O,X
IJLOTSZ,X,X,O,O,O,X,O,X
IJLOTZS,X,X,O,O,O,X,O,X
IJLOSTZ,X,X,X,O,O,X,O,X
IJLOSZT,X,X,X,O,O,X,O,X
IJLOZTS,X,X,O,O,O,X,O,X
IJLOZST,X,X,O,O,O,X,O,X
IJSTLZO,O,O,O,O,X,O,X,X
IJSTLOZ,O,O,O,O,X,O,X,X
IJSTZLO,O,O,O,O,X,O,X,X
IJSTZOL,O,O,O,O,X,O,X,X
IJSTOLZ,O,O,O,O,X,O,X,X
IJSTOZL,O,O,O,O,X,O,X,X
IJSLTZO,O,O,X,O,O,O,O,X
IJSLTOZ,O,O,X,O,X,O,O,X
IJSLZTO,O,O,X,O,O,X,O,X
IJSLZOT,O,O,X,O,O,X,O,X
IJSLOTZ,X,X,X,O,X,O,O,X
IJSLOZT,O,X,X,O,X,X,O,X
IJSZTLO,O,O,O,O,O,X,X,X
IJSZTOL,O,O,O,O,O,X,X,X
IJSZLTO,O,O,O,O,O,X,O,X
IJSZLOT,O,O,X,O,O,X,O,X
IJSZOTL,O,O,O,O,O,X,X,X
IJSZOLT,O,O,X,O,O,X,X,X
IJSOTLZ,X,X,O,O,O,O,X,X
IJSOTZL,X,X,O,O,O,O,X,X
IJSOLTZ,X,X,X,O,O,O,O,X
IJSOLZT,O,X,X,O,O,X,O,X
IJSOZTL,O,X,O,O,O,X,X,X
IJSOZLT,O,X,O,O,O,X,O,X
IJZTLSO,O,O,O,O,O,X,O,O
IJZTLOS,O,O,O,O,O,X,X,O
IJZTSLO,O,O,O,O,O,X,X,O
IJZTSOL,O,O,O,O,O,X,X,O
IJZTOLS,O,O,O,O,O,X,X,O
IJZTOSL,O,O,O,O,O,X,X,O
IJZLTSO,O,O,O,O,O,X,O,X
IJZLTOS,O,O,O,O,O,X,X,X
IJZLSTO,O,O,O,O,O,X,O,X
IJZLSOT,O,O,X,O,O,X,O,X
IJZLOTS,X,X,X,O,O,X,O,X
IJZLOST,X,X,X,O,O,X,O,X
IJZSTLO,O,O,O,O,O,X,X,X
IJZSTOL,O,O,O,O,O,X,X,X
IJZSLTO,O,O,O,O,O,X,O,X
IJZSLOT,O,O,X,O,O,X,O,X
IJZSOTL,O,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,O,X,X,X
IJZOTLS,O,O,O,O,O,X,O,O
IJZOTSL,O,O,O,O,O,X,X,O
IJZOLTS,X,X,O,O,O,X,O,X
IJZOLST,X,X,O,O,O,X,O,X
IJZOSTL,O,O,O,O,O,X,X,X
IJZOSLT,O,O,O,O,O,X,O,X
IJOTLSZ,X,X,O,O,O,O,O,X
IJOTLZS,X,X,O,O,O,X,O,X
IJOTSLZ,X,X,O,O,O,O,X,X
IJOTSZL,X,X,O,O,O,O,X,X
IJOTZLS,X,X,O,O,O,X,O,X
IJOTZSL,X,X,O,O,O,O,X,X
IJOLTSZ,X,X,O,O,O,X,O,X
IJOLTZS,X,X,O,O,O,X,O,X
IJOLSTZ,X,X,X,O,O,X,O,X
IJOLSZT,X,X,X,O,O,X,O,X
IJOLZTS,X,X,O,O,O,X,O,X
IJOLZST,X,X,O,O,O,X,O,X
IJOSTLZ,X,X,O,O,O,O,X,X
IJOSTZL,X,X,O,O,O,O,X,X
IJOSLTZ,X,X,X,O,O,O,O,X
IJOSLZT,O,X,X,O,O,X,O,X
IJOSZTL,O,X,O,O,O,X,X,X
IJOSZLT,O,X,O,O,O,X,O,X
IJOZTLS,O,X,O,O,O,X,O,O
IJOZTSL,O,X,O,O,O,X,X,O
IJOZLTS,X,X,O,O,O,X,O,X
IJOZLST,X,X,O,O,O,X,O,X
IJOZSTL,O,X,O,O,O,X,X,X
IJOZSLT,O,X,O,O,O,X,O,X
ISTLJZO,O,O,O,X,X,O,X,O
ISTLJOZ,O,O,O,X,X,O,X,X
ISTLZJO,O,O,O,X,X,O,X,O
ISTLZOJ,O,O,O,X,X,O,X,O
ISTLOJZ,O,O,O,X,X,O,X,X
ISTLOZJ,O,O,O,X,X,O,X,X
ISTJLZO,O,O,O,X,X,O,X,O
ISTJLOZ,O,O,O,X,X,O,X,X
ISTJZLO,O,O,O,X,X,O,X,O
ISTJZOL,O,O,O,X,X,O,X,O
ISTJOLZ,O,O,O,X,X,O,X,X
ISTJOZL,O,O,O,X,X,O,X,X
ISTZLJO,O,O,O,X,X,O,X,O
ISTZLOJ,O,O,O,X,X,O,X,O
ISTZJLO,O,O,O,X,X,O,X,O
ISTZJOL,O,O,O,X,X,O,X,O
ISTZOLJ,O,O,O,X,X,O,X,O
ISTZOJL,O,O,O,X,X,O,X,O
ISTOLJZ,O,O,O,X,X,O,X,X
ISTOLZJ,O,O,O,X,X,O,X,X
ISTOJLZ,O,O,O,X,X,O,X,X
ISTOJZL,O,O,O,X,X,O,X,X
ISTOZLJ,O,O,O,X,X,O,X,X
ISTOZJL,O,O,O,X,X,O,X,X
ISLTJZO,O,O,X,X,O,O,O,X
ISLTJOZ,O,O,X,X,X,O,O,X
ISLTZJO,O,O,X,X,O,O,O,X
