sequence,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhF6hBZiBGeBz?iBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBqiBTeB+?mBllB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFZiBqiBTeB+?mBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFSiBTeBllBR?nBmmBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jem7IvhFRdBcjB1lBC?iBXnBzqB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeT8IvhFxdBOnBXjBl?lBcrB6qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jel7IvhFqiBTeBmhB3?hBRrB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeqCJvhFTeBRhBllB3?mBmmB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBSjB+mBz?iBllB0qB
TZIOLSJ,O,X,X,O,X,X,O,O,X
TZIOJLS,O,X,O,O,O,X,O,X,X
TZIOJSL,O,X,X,X,O,O,O,X,X
TZIOSLJ,O,X,X,O,O,X,O,X,X
TZIOSJL,O,X,X,O,O,O,O,X,X
TZLIJSO,O,X,O,X,O,X,O,X,X
TZLIJOS,O,X,O,O,X,X,O,X,X
TZLISJO,O,X,X,X,X,X,O,X,X
TZLISOJ,O,X,X,O,X,X,O,X,X
TZLIOJS,O,X,O,O,X,X,O,X,X
TZLIOSJ,O,X,X,O,X,X,O,O,X
TZLJISO,O,O,O,X,O,X,X,X,O
TZLJIOS,O,O,O,X,X,X,X,X,X
TZLJSIO,O,O,O,X,O,O,X,X,O
TZLJSOI,X,O,O,X,O,O,X,X,X
TZLJOIS,O,O,O,X,X,X,X,X,X
TZLJOSI,O,O,O,X,X,O,X,X,X
TZLSIJO,O,X,X,X,O,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,X,O,X
TZLSJIO,O,O,O,X,O,O,X,X,O
TZLSJOI,X,O,O,X,O,O,X,X,X
TZLSOIJ,O,X,X,X,O,X,X,O,X
TZLSOJI,O,O,O,X,O,O,X,X,X
TZLOIJS,O,X,O,O,X,X,O,X,X
TZLOISJ,O,X,X,O,X,X,O,O,X
TZLOJIS,O,O,O,X,X,X,X,X,X
TZLOJSI,O,O,O,X,X,O,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,O,X
TZLOSJI,O,O,O,X,X,O,X,X,X
TZJILSO,O,O,O,X,O,X,X,X,O
TZJILOS,O,O,O,O,X,X,X,X,X
TZJISLO,O,O,O,X,O,O,X,X,O
TZJISOL,X,X,X,X,O,O,X,X,X
TZJIOLS,O,X,O,O,X,X,X,X,X
TZJIOSL,O,X,X,X,O,O,X,X,X
TZJLISO,O,O,O,X,O,X,X,X,O
TZJLIOS,O,O,O,X,X,X,X,X,X
TZJLSIO,O,O,O,X,O,O,X,X,O
TZJLSOI,X,O,O,X,O,O,X,X,X
TZJLOIS,O,O,O,X,X,X,X,X,X
TZJLOSI,O,O,O,X,X,O,X,X,X
TZJSILO,O,O,O,X,O,O,X,X,O
TZJSIOL,X,X,X,X,O,O,X,X,X
TZJSLIO,O,O,O,X,O,O,X,X,O
TZJSLOI,X,O,O,X,O,O,X,X,X
TZJSOIL,O,X,X,X,O,O,X,X,X
TZJSOLI,O,O,O,X,O,O,X,X,X
TZJOILS,O,X,O,O,X,X,X,X,X
TZJOISL,O,X,X,X,O,O,X,X,X
TZJOLIS,O,O,O,X,X,X,X,X,X
TZJOLSI,O,O,O,X,X,O,X,X,X
TZJOSIL,O,X,X,X,O,O,X,X,X
TZJOSLI,O,O,O,X,O,O,X,X,X
TZSILJO,O,X,X,X,O,X,X,X,X
TZSILOJ,O,X,X,O,O,X,X,O,X
TZSIJLO,O,X,X,X,O,O,X,X,X
TZSIJOL,X,X,X,X,O,O,X,X,X
TZSIOLJ,O,X,X,O,O,X,X,O,X
TZSIOJL,O,X,X,X,O,O,X,X,X
TZSLIJO,O,X,X,X,O,X,X,X,X
TZSLIOJ,O,X,X,X,O,X,X,O,X
TZSLJIO,O,O,O,X,O,O,X,X,O
TZSLJOI,X,O,O,X,O,O,X,X,X
TZSLOIJ,O,X,X,X,O,X,X,O,X
TZSLOJI,O,O,O,X,O,O,X,X,X
TZSJILO,O,O,O,X,O,O,X,X,O
TZSJIOL,X,X,X,X,O,O,X,X,X
TZSJLIO,O,O,O,X,O,O,X,X,O
TZSJLOI,X,O,O,X,O,O,X,X,X
TZSJOIL,O,X,X,X,O,O,X,X,X
TZSJOLI,O,O,O,X,O,O,X,X,X
TZSOILJ,O,X,X,O,O,X,X,O,X
TZSOIJL,O,X,X,X,O,O,X,X,X
TZSOLIJ,O,X,X,X,O,X,X,O,X
TZSOLJI,O,O,O,X,O,O,X,X,X
TZSOJIL,O,X,X,X,O,O,X,X,X
TZSOJLI,O,O,O,X,O,O,X,X,X
TZOILJS,O,X,O,O,O,X,O,X,X
TZOILSJ,O,X,X,O,X,X,O,O,X
TZOIJLS,O,X,O,O,O,X,O,X,X
TZOIJSL,O,X,X,X,O,O,O,X,X
TZOISLJ,O,X,X,O,O,X,O,X,X
TZOISJL,O,X,X,O,O,O,O,X,X
TZOLIJS,O,X,O,O,O,X,O,X,X
TZOLISJ,O,X,X,O,X,X,O,O,X
TZOLJIS,O,O,O,X,O,X,X,X,X
TZOLJSI,O,O,O,X,O,O,X,X,X
TZOLSIJ,O,X,X,X,O,X,X,O,X
TZOLSJI,O,O,O,X,O,O,X,X,X
TZOJILS,O,X,O,O,O,X,X,X,X
TZOJISL,O,X,X,X,O,O,X,X,X
TZOJLIS,O,O,O,X,O,X,X,X,X
TZOJLSI,O,O,O,X,O,O,X,X,X
TZOJSIL,O,X,X,X,O,O,X,X,X
TZOJSLI,O,O,O,X,O,O,X,X,X
TZOSILJ,O,X,X,O,O,X,X,O,X
TZOSIJL,O,X,X,X,O,O,X,X,X
TZOSLIJ,O,X,X,X,O,X,X,O,X
TZOSLJI,O,O,O,X,O,O,X,X,X
TZOSJIL,O,X,X,X,O,O,X,X,X
TZOSJLI,O,O,O,X,O,O,X,X,X
TOILJSZ,X,O,O,O,X,X,O,O,X
TOILJZS,O,O,O,O,X,X,O,X,X
TOILSJZ,X,O,X,O,X,X,O,O,X
TOILSZJ,X,X,X,O,X,X,O,O,X
TOILZJS,O,X,O,O,X,X,O,X,X
TOILZSJ,O,X,X,O,X,X,O,O,X
TOIJLSZ,X,O,O,O,X,X,O,O,X
TOIJLZS,O,O,O,O,X,X,O,X,X
TOIJSLZ,O,O,X,O,O,X,O,X,X
TOIJSZL,O,X,X,O,O,X,X,X,X
TOIJZLS,O,X,O,O,O,X,O,X,X
TOIJZSL,O,X,X,X,O,X,O,X,X
TOISLJZ,O,O,X,O,O,X,O,O,X
TOISLZJ,O,X,X,O,O,X,O,O,X
TOISJLZ,O,O,X,O,O,X,O,O,X
TOISJZL,O,X,X,O,O,X,X,X,X
TOISZLJ,O,X,X,O,O,X,O,O,X
TOISZJL,O,X,X,O,O,X,O,X,X
TOIZLJS,O,X,O,O,O,X,O,X,X
TOIZLSJ,O,X,X,O,X,X,O,O,X
TOIZJLS,O,X,O,O,O,X,O,X,X
TOIZJSL,O,X,X,X,O,X,O,X,X
TOIZSLJ,O,X,X,O,O,X,O,X,X
TOIZSJL,O,X,X,O,O,X,O,X,X
TOLIJSZ,X,O,O,O,X,X,O,O,X
TOLIJZS,O,O,O,O,X,X,O,X,X
TOLISJZ,X,O,X,O,X,X,O,O,X
TOLISZJ,X,X,X,O,X,X,O,O,X
TOLIZJS,O,X,O,O,X,X,O,X,X
TOLIZSJ,O,X,X,O,X,X,O,O,X
TOLJISZ,X,O,O,X,X,X,O,O,O
TOLJIZS,O,O,O,X,X,X,O,X,X
TOLJSIZ,X,O,O,X,O,X,X,O,O
TOLJSZI,X,O,O,X,O,X,X,X,X
TOLJZIS,O,O,O,X,O,X,X,X,X
TOLJZSI,O,O,O,X,O,X,X,X,X
TOLSIJZ,X,O,X,X,O,X,O,O,X
TOLSIZJ,X,X,X,X,O,X,O,O,X
TOLSJIZ,X,O,O,X,O,X,X,O,O
TOLSJZI,X,O,O,X,O,X,X,X,X
TOLSZIJ,X,X,X,X,O,X,X,O,X
TOLSZJI,X,O,O,X,O,X,X,X,X
TOLZIJS,O,X,O,O,O,X,O,X,X
TOLZISJ,O,X,X,O,X,X,O,O,X
TOLZJIS,O,O,O,X,O,X,X,X,X
TOLZJSI,O,O,O,X,O,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,O,X
TOLZSJI,O,O,O,X,O,X,X,X,X
TOJILSZ,X,O,O,O,X,X,O,O,O
TOJILZS,O,O,O,O,X,X,O,X,X
TOJISLZ,O,O,X,O,O,X,O,X,O
TOJISZL,O,X,X,O,O,X,X,X,X
TOJIZLS,O,X,O,O,O,X,O,X,X
TOJIZSL,O,X,X,X,O,X,O,X,X
TOJLISZ,X,O,O,X,X,X,O,O,O
TOJLIZS,O,O,O,X,X,X,O,X,X
TOJLSIZ,X,O,O,X,O,X,X,O,O
TOJLSZI,X,O,O,X,O,X,X,X,X
TOJLZIS,O,O,O,X,O,X,X,X,X
TOJLZSI,O,O,O,X,O,X,X,X,X
TOJSILZ,O,O,X,X,O,X,X,O,O
TOJSIZL,O,X,X,X,O,X,X,X,X
TOJSLIZ,O,O,O,X,O,X,X,O,O
TOJSLZI,O,O,O,X,O,X,X,X,X
TOJSZIL,O,X,X,X,O,X,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X,X
TOJZILS,O,X,O,O,O,X,X,X,X
TOJZISL,O,X,X,X,O,X,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X,X
TOJZSIL,O,X,X,X,O,X,X,X,X
TOJZSLI,O,O,O,X,O,X,X,X,X
TOSILJZ,O,O,X,O,O,X,O,O,X
TOSILZJ,O,X,X,O,O,X,O,O,X
TOSIJLZ,O,O,X,O,O,X,O,O,X
TOSIJZL,O,X,X,O,O,X,X,X,X
TOSIZLJ,O,X,X,O,O,X,O,O,X
TOSIZJL,O,X,X,O,O,X,O,X,X
TOSLIJZ,O,O,X,O,O,X,O,O,X
TOSLIZJ,O,X,X,O,O,X,O,O,X
TOSLJIZ,O,O,O,X,O,X,X,O,O
TOSLJZI,O,O,O,X,O,X,X,X,X
TOSLZIJ,O,X,X,O,O,X,X,O,X
TOSLZJI,O,O,O,X,O,X,X,X,X
TOSJILZ,O,O,X,O,O,X,X,O,O
TOSJIZL,O,X,X,O,O,X,X,X,X
TOSJLIZ,O,O,O,X,O,X,X,O,O
TOSJLZI,O,O,O,X,O,X,X,X,X
TOSJZIL,O,X,X,O,O,X,X,X,X
TOSJZLI,O,O,O,X,O,X,X,X,X
TOSZILJ,O,X,X,O,O,X,X,O,X
TOSZIJL,O,X,X,O,O,X,X,X,X
TOSZLIJ,O,X,X,O,O,X,X,O,X
TOSZLJI,O,O,O,X,O,X,X,X,X
TOSZJIL,O,X,X,O,O,X,X,X,X
TOSZJLI,O,O,O,X,O,X,X,X,X
TOZILJS,O,X,O,O,O,X,O,X,X
TOZILSJ,O,X,X,O,X,X,O,O,X
TOZIJLS,O,X,O,O,O,X,O,X,X
TOZIJSL,O,X,X,X,O,X,O,X,X
TOZISLJ,O,X,X,O,O,X,O,X,X
TOZISJL,O,X,X,O,O,X,O,X,X
TOZLIJS,O,X,O,O,O,X,O,X,X
TOZLISJ,O,X,X,O,X,X,O,O,X
TOZLJIS,O,O,O,X,O,X,X,X,X
TOZLJSI,O,O,O,X,O,X,X,X,X
TOZLSIJ,O,X,X,X,O,X,X,O,X
TOZLSJI,O,O,O,X,O,X,X,X,X
TOZJILS,O,X,O,O,O,X,X,X,X
TOZJISL,O,X,X,X,O,X,X,X,X
TOZJLIS,O,O,O,X,O,X,X,X,X
TOZJLSI,O,O,O,X,O,X,X,X,X
TOZJSIL,O,X,X,X,O,X,X,X,X
TOZJSLI,O,O,O,X,O,X,X,X,X
TOZSILJ,O,X,X,O,O,X,X,O,X
TOZSIJL,O,X,X,X,O,X,X,X,X
TOZSLIJ,O,X,X,X,O,X,X,O,X
TOZSLJI,O,O,O,X,O,X,X,X,X
TOZSJIL,O,X,X,X,O,X,X,X,X
TOZSJLI,O,O,O,X,O,X,X,X,X
ITLJSZO,X,O,O,O,X,X,X,X,O
ITLJSOZ,X,O,O,O,X,X,O,X,O
ITLJZSO,O,O,O,X,X,X,O,X,O
ITLJZOS,O,O,O,O,X,X,O,X,X
ITLJOSZ,X,O,O,O,X,X,O,O,O
ITLJOZS,X,O,O,O,X,X,O,X,X
ITLSJZO,X,O,X,O,X,X,X,X,O
ITLSJOZ,X,O,X,O,X,X,O,O,O
ITLSZJO,X,X,X,O,X,X,O,X,X
ITLSZOJ,X,X,X,O,X,X,O,O,X
ITLSOJZ,X,O,X,O,X,X,O,O,X
ITLSOZJ,X,X,X,O,X,X,O,O,X
ITLZJSO,O,X,O,X,X,X,O,X,X
ITLZJOS,O,X,O,O,X,X,O,X,X
ITLZSJO,O,X,X,O,X,X,O,X,X
ITLZSOJ,O,X,X,O,X,X,O,X,X
ITLZOJS,O,X,O,O,X,X,O,X,X
ITLZOSJ,O,X,X,O,X,X,O,O,X
ITLOJSZ,X,O,O,O,X,X,O,O,X
ITLOJZS,O,O,O,O,X,X,O,X,X
ITLOSJZ,X,O,X,O,X,X,O,O,X
ITLOSZJ,X,X,X,O,X,X,O,O,X
ITLOZJS,O,X,O,O,X,X,O,X,X
ITLOZSJ,O,X,X,O,X,X,O,O,X
ITJLSZO,X,O,O,O,X,X,X,X,O
ITJLSOZ,X,O,O,O,X,X,O,X,O
ITJLZSO,O,O,O,X,X,X,O,X,O
ITJLZOS,O,O,O,O,X,X,O,X,X
ITJLOSZ,X,O,O,O,X,X,O,O,O
ITJLOZS,X,O,O,O,X,X,O,X,X
ITJSLZO,O,O,O,O,O,X,X,X,O
ITJSLOZ,O,O,O,O,X,X,O,X,O
ITJSZLO,O,O,O,O,O,X,X,X,O
ITJSZOL,O,X,X,O,O,X,X,X,X
ITJSOLZ,O,O,X,O,X,X,O,X,O
ITJSOZL,O,X,X,O,X,X,X,X,X
ITJZLSO,O,O,O,X,O,X,O,X,O
ITJZLOS,O,O,O,O,X,X,O,X,X
ITJZSLO,O,O,O,X,O,X,O,X,O
ITJZSOL,X,X,X,X,O,X,O,X,X
ITJZOLS,O,X,O,O,X,X,O,X,X
ITJZOSL,O,X,X,X,O,X,O,X,X
ITJOLSZ,X,O,O,O,X,X,O,O,O
ITJOLZS,O,O,O,O,X,X,O,X,X
ITJOSLZ,X,O,X,O,X,X,O,X,O
ITJOSZL,O,X,X,O,X,X,X,X,X
ITJOZLS,O,X,O,O,X,X,O,X,X
ITJOZSL,O,X,X,X,X,X,O,X,X
ITSLJZO,O,O,X,O,O,X,X,X,O
ITSLJOZ,O,O,X,O,X,X,O,O,O
ITSLZJO,O,X,X,O,O,X,O,X,X
ITSLZOJ,O,X,X,O,O,X,O,O,X
ITSLOJZ,O,O,X,O,X,X,O,O,X
ITSLOZJ,O,X,X,O,X,X,O,O,X
ITSJLZO,O,O,X,O,O,X,X,X,O
ITSJLOZ,O,O,X,O,X,X,O,O,O
ITSJZLO,O,O,X,O,O,X,X,X,O
ITSJZOL,O,X,X,O,O,X,X,X,X
ITSJOLZ,O,O,X,O,X,X,O,O,O
ITSJOZL,O,X,X,O,X,X,X,X,X
ITSZLJO,O,X,X,O,O,X,O,X,X
ITSZLOJ,O,X,X,O,O,X,O,O,X
ITSZJLO,O,X,X,O,O,X,O,X,X
ITSZJOL,O,X,X,O,O,X,O,X,X
ITSZOLJ,O,X,X,O,X,X,O,O,X
ITSZOJL,O,X,X,O,O,X,O,X,X
ITSOLJZ,O,O,X,O,X,X,O,O,X
ITSOLZJ,O,X,X,O,X,X,O,O,X
ITSOJLZ,O,O,X,O,X,X,O,O,X
ITSOJZL,O,X,X,O,X,X,X,X,X
ITSOZLJ,O,X,X,O,X,X,O,O,X
ITSOZJL,O,X,X,O,X,X,O,X,X
ITZLJSO,O,X,O,X,O,X,O,X,X
ITZLJOS,O,X,O,O,X,X,O,X,X
ITZLSJO,O,X,X,O,X,X,O,X,X
ITZLSOJ,O,X,X,O,X,X,O,X,X
ITZLOJS,O,X,O,O,X,X,O,X,X
ITZLOSJ,O,X,X,O,X,X,O,O,X
ITZJLSO,O,X,O,X,O,X,O,X,X
ITZJLOS,O,X,O,O,X,X,O,X,X
ITZJSLO,O,X,O,X,O,X,O,X,X
ITZJSOL,X,X,X,X,O,X,O,X,X
ITZJOLS,O,X,O,O,X,X,O,X,X
ITZJOSL,O,X,X,X,O,X,O,X,X
ITZSLJO,O,X,X,O,O,X,O,X,X
ITZSLOJ,O,X,X,O,O,X,O,X,X
ITZSJLO,O,X,X,O,O,X,O,X,X
ITZSJOL,X,X,X,O,O,X,O,X,X
ITZSOLJ,O,X,X,O,X,X,O,X,X
ITZSOJL,O,X,X,O,O,X,O,X,X
ITZOLJS,O,X,O,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,X,X,O,O,X
ITZOJLS,O,X,O,O,X,X,O,X,X
ITZOJSL,O,X,X,X,O,X,O,X,X
ITZOSLJ,O,X,X,O,X,X,O,X,X
ITZOSJL,O,X,X,O,X,X,O,X,X
ITOLJSZ,X,O,O,O,X,X,O,O,X
ITOLJZS,O,O,O,O,X,X,O,X,X
ITOLSJZ,X,O,X,O,X,X,O,O,X
ITOLSZJ,X,X,X,O,X,X,O,O,X
ITOLZJS,O,X,O,O,X,X,O,X,X
ITOLZSJ,O,X,X,O,X,X,O,O,X
ITOJLSZ,X,O,O,O,X,X,O,O,X
ITOJLZS,O,O,O,O,X,X,O,X,X
ITOJSLZ,O,O,X,O,X,X,O,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X
ITOJZLS,O,X,O,O,X,X,O,X,X
ITOJZSL,O,X,X,X,X,X,O,X,X
ITOSLJZ,O,O,X,O,X,X,O,O,X
ITOSLZJ,O,X,X,O,X,X,O,O,X
ITOSJLZ,O,O,X,O,X,X,O,O,X
ITOSJZL,O,X,X,O,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,O,O,X
ITOSZJL,O,X,X,O,X,X,O,X,X
ITOZLJS,O,X,O,O,X,X,O,X,X
ITOZLSJ,O,X,X,O,X,X,O,O,X
ITOZJLS,O,X,O,O,X,X,O,X,X
ITOZJSL,O,X,X,X,X,X,O,X,X
ITOZSLJ,O,X,X,O,X,X,O,X,X
ITOZSJL,O,X,X,O,X,X,O,X,X
ILTJSZO,X,O,O,O,X,X,X,X,O
ILTJSOZ,X,O,O,O,X,X,O,X,O
ILTJZSO,O,O,O,X,X,X,O,X,O
ILTJZOS,O,O,O,O,X,X,O,X,X
ILTJOSZ,X,O,O,O,X,X,O,O,O
ILTJOZS,X,O,O,O,X,X,O,X,X
ILTSJZO,X,O,X,O,X,X,X,X,O
ILTSJOZ,X,O,X,O,X,X,O,O,O
ILTSZJO,X,X,X,O,X,X,O,X,X
ILTSZOJ,X,X,X,O,X,X,O,O,X
ILTSOJZ,X,O,X,O,X,X,O,O,X
ILTSOZJ,X,X,X,O,X,X,O,O,X
ILTZJSO,O,X,O,X,X,X,O,X,X
ILTZJOS,O,X,O,O,X,X,O,X,X
ILTZSJO,O,X,X,O,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X,O,X,X
ILTZOJS,O,X,O,O,X,X,O,X,X
ILTZOSJ,O,X,X,O,X,X,O,O,X
ILTOJSZ,X,O,O,O,X,X,O,O,X
ILTOJZS,O,O,O,O,X,X,O,X,X
ILTOSJZ,X,O,X,O,X,X,O,O,X
ILTOSZJ,X,X,X,O,X,X,O,O,X
ILTOZJS,O,X,O,O,X,X,O,X,X
ILTOZSJ,O,X,X,O,X,X,O,O,X
ILJTSZO,X,O,O,O,X,X,X,X,O
ILJTSOZ,X,O,O,O,X,X,O,X,O
ILJTZSO,O,O,O,X,X,X,O,X,O
ILJTZOS,O,O,O,O,X,X,O,X,X
ILJTOSZ,X,O,O,O,X,X,O,X,O
ILJTOZS,X,O,O,O,X,X,O,X,X
ILJSTZO,O,O,O,O,X,X,X,X,O
ILJSTOZ,O,O,O,O,X,X,O,X,O
ILJSZTO,O,X,X,X,X,X,X,X,O
ILJSZOT,O,O,X,X,X,X,X,X,O
ILJSOTZ,X,O,O,O,X,X,O,X,O
ILJSOZT,O,O,X,X,X,X,X,X,O
ILJZTSO,X,O,O,X,X,X,O,X,O
ILJZTOS,O,O,O,X,X,X,O,X,X
ILJZSTO,X,X,X,X,X,X,O,X,O
ILJZSOT,O,O,X,X,X,X,O,X,O
ILJZOTS,O,O,O,X,X,X,O,X,X
ILJZOST,O,O,X,X,X,X,O,X,X
ILJOTSZ,X,O,O,O,X,X,O,X,O
ILJOTZS,X,O,O,O,X,X,O,X,X
ILJOSTZ,X,O,O,O,X,X,O,X,O
ILJOSZT,X,O,X,X,X,X,X,X,O
ILJOZTS,X,O,O,X,X,X,O,X,X
ILJOZST,X,O,X,X,X,X,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,O,O,X
ILSTZJO,O,X,X,O,X,X,O,X,X
ILSTZOJ,O,X,X,O,X,X,O,O,X
ILSTOJZ,O,X,X,O,X,X,O,O,X
ILSTOZJ,O,X,X,O,X,X,O,O,X
ILSJTZO,O,O,O,O,X,X,X,X,O
ILSJTOZ,O,O,O,O,X,X,O,X,O
ILSJZTO,O,X,X,X,X,X,X,X,O
ILSJZOT,O,O,X,X,X,X,X,X,O
ILSJOTZ,O,O,O,O,X,X,O,O,O
ILSJOZT,O,O,X,X,X,X,X,X,O
ILSZTJO,O,X,X,O,X,X,O,X,X
ILSZTOJ,O,X,X,O,X,X,O,X,X
ILSZJTO,O,X,X,X,X,X,O,X,X
ILSZJOT,O,X,X,X,X,X,O,X,X
ILSZOTJ,O,X,X,O,X,X,O,O,X
ILSZOJT,O,X,X,X,X,X,O,X,X
ILSOTJZ,O,X,X,O,X,X,O,O,X
ILSOTZJ,O,X,X,O,X,X,O,O,X
ILSOJTZ,O,O,O,O,X,X,O,O,X
ILSOJZT,O,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,O,O,X
ILSOZJT,O,X,X,X,X,X,O,X,X
ILZTJSO,X,X,O,X,X,X,O,X,X
ILZTJOS,O,X,O,O,X,X,O,X,X
ILZTSJO,X,X,X,O,X,X,O,X,X
ILZTSOJ,X,X,X,O,X,X,O,X,X
ILZTOJS,O,X,O,O,X,X,O,X,X
ILZTOSJ,X,X,X,O,X,X,O,X,X
ILZJTSO,X,O,O,X,X,X,O,X,O
ILZJTOS,O,O,O,X,X,X,O,X,X
ILZJSTO,X,X,X,X,X,X,O,X,O
ILZJSOT,O,O,X,X,X,X,O,X,O
ILZJOTS,O,O,O,X,X,X,O,X,X
ILZJOST,O,O,X,X,X,X,O,X,X
ILZSTJO,X,X,X,O,X,X,O,X,X
ILZSTOJ,X,X,X,O,X,X,O,X,X
ILZSJTO,X,X,X,X,X,X,O,X,X
ILZSJOT,O,X,X,X,X,X,O,X,X
ILZSOTJ,X,X,X,O,X,X,O,X,X
ILZSOJT,O,X,X,X,X,X,O,X,X
ILZOTJS,O,X,O,O,X,X,O,X,X
ILZOTSJ,X,X,X,O,X,X,O,X,X
ILZOJTS,O,O,O,X,X,X,O,X,X
ILZOJST,O,O,X,X,X,X,O,X,X
ILZOSTJ,X,X,X,O,X,X,O,X,X
ILZOSJT,O,X,X,X,X,X,O,X,X
ILOTJSZ,X,O,O,O,X,X,O,O,X
ILOTJZS,O,O,O,O,X,X,O,X,X
ILOTSJZ,X,O,X,O,X,X,O,O,X
ILOTSZJ,X,X,X,O,X,X,O,O,X
ILOTZJS,O,X,O,O,X,X,O,X,X
ILOTZSJ,O,X,X,O,X,X,O,O,X
ILOJTSZ,X,O,O,O,X,X,O,X,O
ILOJTZS,O,O,O,O,X,X,O,X,X
ILOJSTZ,O,O,O,O,X,X,O,X,O
ILOJSZT,O,O,X,X,X,X,X,X,O
ILOJZTS,O,O,O,X,X,X,O,X,X
ILOJZST,O,O,X,X,X,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,O,O,X
ILOSTZJ,O,X,X,O,X,X,O,O,X
ILOSJTZ,O,O,O,O,X,X,O,O,X
ILOSJZT,O,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X,O,O,X
ILOSZJT,O,X,X,X,X,X,O,X,X
ILOZTJS,O,X,O,O,X,X,O,X,X
ILOZTSJ,X,X,X,O,X,X,O,X,X
ILOZJTS,O,O,O,X,X,X,O,X,X
ILOZJST,O,O,X,X,X,X,O,X,X
ILOZSTJ,X,X,X,O,X,X,O,X,X
ILOZSJT,O,X,X,X,X,X,O,X,X
IJTLSZO,X,O,O,O,X,X,X,X,O
IJTLSOZ,X,O,O,O,X,X,O,X,O
IJTLZSO,O,O,O,X,X,X,O,X,O
IJTLZOS,O,O,O,O,X,X,O,X,X
IJTLOSZ,X,O,O,O,X,X,O,X,O
IJTLOZS,X,O,O,O,X,X,O,X,X
IJTSLZO,O,O,O,O,O,X,X,X,O
IJTSLOZ,O,O,O,O,X,X,O,X,O
IJTSZLO,O,O,O,O,O,X,X,X,O
IJTSZOL,O,X,X,O,O,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,O,X,O
IJTSOZL,O,X,X,O,X,X,X,X,X
IJTZLSO,O,O,O,X,O,X,O,X,O
IJTZLOS,O,O,O,O,X,X,O,X,X
IJTZSLO,O,O,O,X,O,X,O,X,O
IJTZSOL,X,X,X,X,O,X,O,X,X
IJTZOLS,O,X,O,O,X,X,O,X,X
IJTZOSL,O,X,X,X,O,X,O,X,X
IJTOLSZ,X,O,O,O,X,X,O,X,O
IJTOLZS,O,O,O,O,X,X,O,X,X
IJTOSLZ,X,O,X,O,X,X,O,X,O
IJTOSZL,O,X,X,O,X,X,X,X,X
IJTOZLS,O,X,O,O,X,X,O,X,X
IJTOZSL,O,X,X,X,X,X,O,X,X
IJLTSZO,X,O,O,O,X,X,X,X,O
IJLTSOZ,X,O,O,O,X,X,O,X,O
IJLTZSO,O,O,O,X,X,X,O,X,O
IJLTZOS,O,O,O,O,X,X,O,X,X
IJLTOSZ,X,O,O,O,X,X,O,X,O
IJLTOZS,X,O,O,O,X,X,O,X,X
IJLSTZO,O,O,O,O,X,X,X,X,O
IJLSTOZ,O,O,O,O,X,X,O,X,O
IJLSZTO,O,X,X,X,X,X,X,X,O
IJLSZOT,O,O,X,X,X,X,X,X,O
IJLSOTZ,X,O,O,O,X,X,O,X,O
IJLSOZT,O,O,X,X,X,X,X,X,O
IJLZTSO,X,O,O,X,X,X,O,X,O
IJLZTOS,O,O,O,X,X,X,O,X,X
IJLZSTO,X,X,X,X,X,X,O,X,O
IJLZSOT,O,O,X,X,X,X,O,X,O
IJLZOTS,O,O,O,X,X,X,O,X,X
IJLZOST,O,O,X,X,X,X,O,X,X
IJLOTSZ,X,O,O,O,X,X,O,X,O
IJLOTZS,X,O,O,O,X,X,O,X,X
IJLOSTZ,X,O,O,O,X,X,O,X,O
IJLOSZT,X,O,X,X,X,X,X,X,O
IJLOZTS,X,O,O,X,X,X,O,X,X
IJLOZST,X,O,X,X,X,X,O,X,X
IJSTLZO,O,O,O,O,X,X,X,X,O
IJSTLOZ,O,O,O,O,X,X,O,X,O
IJSTZLO,O,O,O,O,X,O,X,X,O
IJSTZOL,O,X,X,O,X,O,X,X,X
IJSTOLZ,O,O,X,O,X,X,O,X,O
IJSTOZL,O,X,X,O,X,X,X,X,X
