sequence,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFfhBxcBTfBC?iBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBxcBq?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhF0cBTfBmgBf?sBlnB6sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?iBlmBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFCcBxhB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFRcBSiBTfBU?hBVsB3sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBRcBciBF?hBfsBusB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFqiBRhB3fBF?hB8mBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFRhB1nB3fBU?hBCnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBfhBViBR?nB0mB+sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBSiBR?nBlmBTsB
ISZTOLJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
ISZTOJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLTJO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
ISZLTOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ISZLJTO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
ISZLJOT,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
ISZLOTJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZLOJT,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
ISZJTLO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
ISZJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJLTO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
ISZJLOT,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
ISZJOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJOLT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
ISZOTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ISZOLJT,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O
ISZOJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOJLT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
ISOTLJZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X
ISOTLZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ISOTJLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTZJL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOLTJZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ISOLJZT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOLZJT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISOJTLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ISOJTZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ISOJLZT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O
ISOJZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ISOJZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
ISOZTLJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOZTJL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ISOZLTJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOZLJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
ISOZJTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ISOZJLT,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
IZTLJSO,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X,O
IZTLJOS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTLSJO,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X,O
IZTLSOJ,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IZTLOJS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTLOSJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
IZTJLSO,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O
IZTJLOS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTJSLO,X,O,O,X,O,X,O,O,O,O,X,O,X,X,X,X
IZTJSOL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTJOLS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTJOSL,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTSLJO,X,O,O,X,O,X,O,O,O,O,X,O,X,X,X,O
IZTSLOJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X
IZTSJLO,X,O,O,X,O,X,O,O,O,O,X,O,X,X,X,X
IZTSJOL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTSOLJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTSOJL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTOLJS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTOLSJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X
IZTOJSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTOSLJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTOSJL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLTJSO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O
IZLTJOS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZLTSJO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O
IZLTSOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZLTOJS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O
IZLJTOS,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X
IZLJSTO,X,X,O,O,O,X,O,O,X,X,X,X,O,X,X,O
IZLJSOT,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,O
IZLJOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZLJOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
IZLSTJO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
IZLSTOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O
IZLSJOT,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O
IZLSOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
IZLOTJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
IZLOSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZJTLSO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O
IZJTLOS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZJTSLO,X,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZJTOLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZJTOSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O
IZJLTOS,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IZJLSTO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O
IZJLSOT,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O
IZJLOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
IZJSTLO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IZJSTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJSLTO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O
IZJSLOT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O
IZJSOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJSOLT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZJOTLS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZJOLST,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZJOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOSLT,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZSTLJO,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IZSTLOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZSTJLO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IZSTJOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSTOLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
IZSLTOJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
IZSLJOT,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
IZSLOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
IZSJTLO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IZSJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJLTO,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
IZSJLOT,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
IZSJOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSJOLT,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
IZSOTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOLJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZSOJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOJLT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
IZOTLJS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IZOTLSJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOTJLS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IZOTJSL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOTSLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOTSJL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOLTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOLJST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOLSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOLSJT,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOJTLS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IZOJTSL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZOJLTS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOJLST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOJSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOJSLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZOSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSLJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZOSJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOTLJSZ,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X
IOTLJZS,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOTLSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
IOTLSZJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOTLZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTLZSJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O
IOTJLSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,O,X,X
IOTJLZS,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOTJSLZ,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOTJSZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTJZLS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOTJZSL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTSLJZ,O,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X
IOTSLZJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O
IOTSJLZ,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOTSJZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTSZLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTSZJL,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
IOTZLJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTZLSJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTZJLS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOTZJSL,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOTZSLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTZSJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLTJSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOLTJZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOLTZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOLJTSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOLJTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLJSTZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLJZTS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLJZST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLSTJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOLSJTZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLSZTJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZTJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZTSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOLZJTS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLZJST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLZSTJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZSJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJTLSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,O,X,X
IOJTLZS,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOJTSLZ,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOJTSZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOJTZLS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOJTZSL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOJLTSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJLTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
IOJLSZT,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IOJLZTS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJLZST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJSTLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOJSTZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOJSLZT,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOJSZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IOJSZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJZTLS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IOJZTSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOJZLTS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOJZLST,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOJZSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOJZSLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSTLJZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X
IOSTLZJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOSTJLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOSTJZL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSTZJL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSLTJZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOSLJZT,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOSLZTJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSLZJT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSJTLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOSJTZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOSJLZT,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOSJZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IOSJZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZTLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZTJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOSZLTJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZLJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZJTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOSZJLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZTLJS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O
IOZTLSJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZTJLS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O
IOZTJSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZTSLJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZTSJL,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZLTJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOZLTSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLJTS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOZLJST,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOZLSTJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZLSJT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZJTLS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IOZJTSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZJLTS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOZJLST,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOZJSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOZJSLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZSTLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSTJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOZSLTJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSLJT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZSJTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOZSJLT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
LTIJSZO,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X,X
LTIJSOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
LTIJZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
LTIJZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
LTIJOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
LTIJOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LTISJZO,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X
LTISJOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
LTISZJO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
LTISZOJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
LTISOJZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
LTISOZJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
LTIZJSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTIZSJO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
LTIZOJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTIOJSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
LTIOJZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LTIOSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
LTIOZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTJISZO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
LTJISOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
LTJIZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
LTJIOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTJIOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LTJSIZO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJSIOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJSZIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJSZOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
LTJSOIZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJSOZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJZISO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
LTJZSIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
LTJZSOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LTJZOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
