sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB
TLOJZIS,X,X,O,O,X,X,O
TLOJZSI,X,X,O,O,X,O,X
TLOSIJZ,O,O,X,O,O,O,X
TLOSIZJ,O,O,X,O,O,O,O
TLOSJIZ,O,O,X,O,O,O,X
TLOSJZI,O,O,X,O,O,O,X
TLOSZIJ,O,O,X,O,O,O,O
TLOSZJI,O,O,X,O,O,O,X
TLOZIJS,O,O,O,O,X,X,O
TLOZISJ,O,O,O,O,X,X,O
TLOZJIS,O,O,O,O,X,X,O
TLOZJSI,O,O,O,O,X,O,X
TLOZSIJ,O,O,O,O,X,O,O
TLOZSJI,O,O,O,O,X,O,X
TJILSZO,X,X,O,O,O,X,X
TJILSOZ,X,X,X,O,O,X,X
TJILZSO,X,X,O,O,X,X,X
TJILZOS,X,X,O,O,X,X,O
TJILOSZ,X,X,X,O,O,X,X
TJILOZS,X,X,O,O,X,X,O
TJISLZO,O,O,O,O,O,O,X
TJISLOZ,O,O,X,O,O,O,X
TJISZLO,O,O,O,O,O,O,X
TJISZOL,O,O,O,O,O,O,X
TJISOLZ,O,O,X,O,O,O,X
TJISOZL,O,O,X,O,O,O,X
TJIZLSO,O,O,O,O,X,X,X
TJIZLOS,O,O,O,O,X,X,O
TJIZSLO,O,O,O,O,O,O,X
TJIZSOL,O,O,O,O,O,O,X
TJIZOLS,O,O,O,O,X,X,O
TJIZOSL,O,O,O,O,O,O,X
TJIOLSZ,X,X,X,O,O,X,X
TJIOLZS,X,X,O,O,X,X,O
TJIOSLZ,O,O,X,O,O,O,X
TJIOSZL,O,O,X,O,O,O,X
TJIOZLS,O,O,O,O,X,X,O
TJIOZSL,O,O,O,O,O,O,X
TJLISZO,X,X,O,O,O,X,X
TJLISOZ,X,X,X,O,O,X,X
TJLIZSO,X,X,O,O,X,X,X
TJLIZOS,X,X,O,O,X,X,O
TJLIOSZ,X,X,X,O,O,X,X
TJLIOZS,X,X,O,O,X,X,O
TJLSIZO,X,X,O,O,O,O,X
TJLSIOZ,X,X,X,O,O,O,X
TJLSZIO,X,X,O,O,O,O,X
TJLSZOI,X,X,O,O,O,O,X
TJLSOIZ,X,X,X,O,O,O,X
TJLSOZI,X,X,X,O,O,O,X
TJLZISO,X,X,O,O,X,X,X
TJLZIOS,X,X,O,O,X,X,O
TJLZSIO,X,X,O,O,X,O,X
TJLZSOI,X,X,O,O,X,O,X
TJLZOIS,X,X,O,O,X,X,O
TJLZOSI,X,X,O,O,X,O,X
TJLOISZ,X,X,X,O,O,X,X
TJLOIZS,X,X,O,O,X,X,O
TJLOSIZ,X,X,X,O,O,O,X
TJLOSZI,X,X,X,O,O,O,X
TJLOZIS,X,X,O,O,X,X,O
TJLOZSI,X,X,O,O,X,O,X
TJSILZO,O,O,O,O,O,O,X
TJSILOZ,O,O,X,O,O,O,X
TJSIZLO,O,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,O,X
TJSIOLZ,O,O,X,O,O,O,X
TJSIOZL,O,O,X,O,O,O,X
TJSLIZO,O,O,O,O,O,O,X
TJSLIOZ,O,O,X,O,O,O,X
TJSLZIO,O,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,O,X
TJSLOIZ,O,O,X,O,O,O,X
TJSLOZI,O,O,X,O,O,O,X
TJSZILO,O,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,O,X
TJSOILZ,O,O,X,O,O,O,X
TJSOIZL,O,O,X,O,O,O,X
TJSOLIZ,O,O,X,O,O,O,X
TJSOLZI,O,O,X,O,O,O,X
TJSOZIL,O,O,X,O,O,O,X
TJSOZLI,O,O,X,O,O,O,X
TJZILSO,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,X,X,O
TJZISLO,O,O,O,O,O,O,X
TJZISOL,O,O,O,O,O,O,X
TJZIOLS,O,O,O,O,X,X,O
TJZIOSL,O,O,O,O,O,O,X
TJZLISO,O,O,O,O,X,X,X
TJZLIOS,O,O,O,O,X,X,O
TJZLSIO,O,O,O,O,X,O,X
