sequence,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcBuiBTfBigB8m?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRcB3dBFhBCn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8Je06IvhFlbBRdB2kB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhFxbBldBCgB/mBUn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFRbBzcBuiB3gBlm?BUqB,v115@8gA8HeB8HeG8AeF8BeF8JeT6IvhFxbBldBykBUiBGm?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhF0cBldBTfB2lBCn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcB3dB2kBzgBCn?BUqB,v115@8gA8HeB8HeG8AeF8BeF8Jel6IvhFRdB2kB0gB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFfgB8gBRdBGiBlm?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRdB1lB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFzcBuiBRgB3gBlm?BUqB
TSLZJIO,X,O,X,O,O,O,X,O,X,O,X,X
TSLZJOI,X,O,X,O,O,O,X,X,X,O,O,X
TSLZOIJ,X,O,X,O,O,O,X,O,X,X,O,X
TSLZOJI,X,O,X,O,O,O,X,O,X,O,O,X
TSLOIJZ,X,O,X,O,O,O,X,O,X,O,X,O
TSLOIZJ,X,O,X,O,O,O,X,O,X,X,O,X
TSLOJIZ,X,O,X,O,O,O,X,O,X,O,X,O
TSLOJZI,X,O,X,O,O,X,X,O,X,O,X,X
TSLOZIJ,X,O,X,O,O,O,X,O,X,X,O,X
TSLOZJI,X,O,X,O,O,O,X,O,X,O,O,X
TSJILZO,X,X,X,O,O,X,O,O,X,O,X,X
TSJILOZ,X,X,X,O,O,X,X,O,X,O,X,X
TSJIZLO,X,O,X,O,X,X,X,X,X,O,X,X
TSJIZOL,X,O,X,O,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,O,O,X,X,O,X,X,X,X
TSJIOZL,X,X,X,O,X,X,X,X,X,X,X,X
TSJLIZO,X,O,X,O,O,X,O,O,X,O,X,X
TSJLIOZ,X,X,X,O,O,O,X,O,X,O,X,O
TSJLZIO,X,O,X,O,O,X,O,O,X,O,X,X
TSJLZOI,X,O,X,O,O,X,O,X,X,O,X,X
TSJLOIZ,X,X,X,O,O,O,O,O,X,O,X,O
TSJLOZI,X,O,X,X,O,X,O,O,X,O,X,X
TSJZILO,X,O,X,O,X,X,X,X,X,O,X,X
TSJZIOL,X,O,X,O,X,X,X,X,X,X,X,X
TSJZLIO,X,O,X,O,O,X,X,X,X,O,X,X
TSJZLOI,X,O,X,O,O,X,X,X,X,O,X,X
TSJZOIL,X,O,X,O,X,X,X,X,X,X,X,X
TSJZOLI,X,O,X,O,O,X,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,X,O,O,X,X,X,X
TSJOIZL,X,X,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,X,O,O,X,O,O,X,X,X,O
TSJOLZI,X,X,X,O,O,X,O,O,X,X,X,X
TSJOZIL,X,O,X,O,X,X,X,X,X,X,X,X
TSJOZLI,X,O,X,O,O,X,X,X,X,X,X,X
TSZILJO,X,O,X,O,X,X,X,X,X,X,X,X
TSZILOJ,X,X,X,O,X,O,X,X,X,X,X,X
TSZIJLO,X,O,X,O,X,O,X,X,X,X,X,X
TSZIJOL,X,O,X,O,X,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,O,X,X,X,X,X,X,X,X
TSZIOJL,X,O,X,O,X,X,X,X,X,X,X,X
TSZLIJO,X,O,X,O,O,X,X,X,X,O,X,X
TSZLIOJ,X,O,X,O,O,O,X,X,X,X,X,X
TSZLJIO,X,O,X,O,O,O,X,X,X,O,X,X
TSZLJOI,X,O,X,O,O,O,X,X,X,O,O,X
TSZLOIJ,X,O,X,O,O,O,X,X,X,X,O,X
TSZLOJI,X,O,X,O,O,O,X,X,X,O,O,X
TSZJILO,X,O,X,O,X,O,X,X,X,O,X,X
TSZJIOL,X,O,X,O,X,X,X,X,X,X,X,X
TSZJLIO,X,O,X,O,O,O,X,X,X,O,X,X
TSZJLOI,X,O,X,O,O,O,X,X,X,O,O,X
TSZJOIL,X,O,X,O,X,X,X,X,X,X,X,X
TSZJOLI,X,O,X,O,O,X,X,X,X,X,O,X
TSZOILJ,X,X,X,O,X,X,X,X,X,X,X,X
TSZOIJL,X,O,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,X,X,X,O,O,X,X,X,X,X,O,X
TSZOLJI,X,X,X,O,O,X,X,X,X,X,O,X
TSZOJIL,X,O,X,O,X,X,X,X,X,X,X,X
TSZOJLI,X,O,X,O,O,X,X,X,X,X,O,X
TSOILJZ,X,X,X,O,O,X,X,O,X,X,X,X
TSOILZJ,X,X,X,O,O,X,X,O,X,X,X,X
TSOIJLZ,X,X,X,O,O,X,O,X,X,X,X,X
TSOIJZL,X,X,X,O,X,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,O,X,X,X,X,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,X,O,O,X,X,O,X,X,X,O
TSOLIZJ,X,X,X,O,O,X,X,O,X,X,O,X
TSOLJIZ,X,X,X,O,O,X,X,O,X,X,X,O
TSOLJZI,X,X,X,O,O,X,X,O,X,X,X,X
TSOLZIJ,X,X,X,O,O,X,X,O,X,X,O,X
TSOLZJI,X,X,X,O,O,X,X,O,X,X,O,X
TSOJILZ,X,X,X,O,O,X,O,O,X,X,X,X
TSOJIZL,X,X,X,O,X,X,X,X,X,X,X,X
TSOJLIZ,X,X,X,O,O,X,O,O,X,X,X,O
TSOJLZI,X,X,X,O,O,X,O,O,X,X,X,X
TSOJZIL,X,O,X,O,X,X,X,X,X,X,X,X
TSOJZLI,X,O,X,O,O,X,X,X,X,X,X,X
TSOZILJ,X,X,X,O,X,X,X,X,X,X,X,X
TSOZIJL,X,O,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,X,X,X,O,O,X,X,X,X,X,O,X
TSOZLJI,X,X,X,O,O,X,X,X,X,X,O,X
TSOZJIL,X,O,X,O,X,X,X,X,X,X,X,X
TSOZJLI,X,O,X,O,O,X,X,X,X,X,O,X
TZILJSO,X,O,X,O,X,O,X,X,X,O,X,X
TZILJOS,X,O,X,X,X,O,X,X,X,O,O,X
TZILSJO,X,O,X,O,X,X,X,X,X,O,X,X
TZILSOJ,X,O,X,O,X,O,X,X,X,X,X,X
TZILOJS,X,O,X,X,X,O,X,X,X,X,O,X
TZILOSJ,X,O,X,X,X,O,X,X,X,X,O,X
TZIJLSO,X,O,X,O,X,O,X,X,X,O,X,X
TZIJLOS,X,O,X,X,X,O,X,X,X,O,O,X
TZIJSLO,O,O,X,O,X,O,X,X,X,O,X,X
TZIJSOL,O,O,X,O,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,X,X,O,X,X,X,O,O,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,O,X,X,X,X,X,X,X,X
TZISLOJ,O,X,X,O,X,O,X,X,X,X,X,X
TZISJLO,O,O,X,O,X,O,X,X,X,X,X,X
TZISJOL,O,O,X,O,X,X,X,X,X,X,X,X
TZISOLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZISOJL,O,O,X,O,X,X,X,X,X,X,X,X
TZIOLJS,O,X,X,X,X,O,X,X,X,X,O,X
TZIOLSJ,X,X,X,X,X,O,X,X,X,X,O,X
TZIOJLS,O,X,X,X,X,O,X,X,X,X,O,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X,X,X,X,X
TZLIJSO,X,O,X,O,X,O,X,X,X,O,X,X
TZLIJOS,X,O,X,X,X,O,X,X,X,O,O,O
TZLISJO,X,O,X,O,X,X,X,X,X,O,X,X
TZLISOJ,X,O,X,O,X,O,X,X,X,X,X,X
TZLIOJS,X,O,X,X,X,O,X,X,X,X,O,O
TZLIOSJ,X,O,X,X,X,O,X,X,X,X,O,X
TZLJISO,X,O,X,O,X,O,X,X,X,O,X,X
TZLJIOS,X,O,X,X,X,O,X,X,O,O,O,O
TZLJSIO,O,O,X,O,O,O,X,X,X,O,X,X
TZLJSOI,O,O,X,O,O,O,X,X,O,O,O,X
TZLJOIS,O,O,X,X,X,O,X,X,O,O,O,O
TZLJOSI,O,O,X,O,O,O,X,X,O,O,O,X
TZLSIJO,O,O,X,O,O,X,X,X,X,O,X,X
TZLSIOJ,O,O,X,O,O,O,X,X,X,X,X,X
TZLSJIO,O,O,X,O,O,O,X,X,X,O,X,X
TZLSJOI,O,O,X,O,O,O,X,X,X,O,O,X
TZLSOIJ,O,O,X,O,O,O,X,X,X,X,O,X
TZLSOJI,O,O,X,O,O,O,X,X,X,O,O,X
TZLOIJS,O,O,X,X,X,O,X,X,O,X,O,O
TZLOISJ,X,O,X,X,X,O,X,X,X,X,O,X
TZLOJIS,O,O,X,X,X,O,X,X,O,O,O,O
TZLOJSI,O,O,X,O,O,O,X,X,O,O,O,X
TZLOSIJ,O,O,X,O,O,O,X,X,X,X,O,X
TZLOSJI,O,O,X,O,O,O,X,X,X,O,O,X
TZJILSO,X,O,X,O,X,O,O,X,X,O,X,X
TZJILOS,X,O,X,X,X,O,O,X,O,O,O,X
TZJISLO,O,O,X,O,X,O,X,X,X,O,X,X
TZJISOL,O,O,X,O,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,X,O,X,X,O,O,O,X
TZJIOSL,O,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,X,O,X,O,X,O,O,X,X,O,X,X
TZJLIOS,X,O,X,X,X,O,O,X,O,O,O,O
TZJLSIO,O,O,X,O,O,O,O,X,X,O,X,X
TZJLSOI,O,O,X,O,O,O,O,X,O,O,O,X
TZJLOIS,O,O,X,X,X,O,O,X,O,O,O,O
TZJLOSI,O,O,X,O,O,O,O,X,O,O,O,X
TZJSILO,O,O,X,O,X,O,X,X,X,O,X,X
TZJSIOL,O,O,X,O,X,X,X,X,X,X,X,X
TZJSLIO,O,O,X,O,O,O,X,X,X,O,X,X
TZJSLOI,O,O,X,O,O,O,X,X,O,O,O,X
TZJSOIL,O,O,X,O,X,X,X,X,X,X,X,X
TZJSOLI,O,O,X,O,O,X,X,X,O,X,O,X
TZJOILS,O,X,X,X,X,O,O,X,O,O,O,X
TZJOISL,O,O,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,O,O,X,O,O,O,O
TZJOLSI,O,O,X,O,O,O,O,X,O,O,O,X
TZJOSIL,O,O,X,O,X,X,X,X,X,X,X,X
TZJOSLI,O,O,X,O,O,X,X,X,O,X,O,X
TZSILJO,O,O,X,O,X,X,X,X,X,X,X,X
TZSILOJ,O,X,X,O,X,O,X,X,X,X,X,X
TZSIJLO,O,O,X,O,X,O,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,X,X,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSIOJL,O,O,X,O,X,X,X,X,X,X,X,X
TZSLIJO,O,O,X,O,O,X,X,X,X,O,X,X
TZSLIOJ,O,O,X,O,O,O,X,X,X,X,X,X
TZSLJIO,O,O,X,O,O,O,X,X,X,O,X,X
TZSLJOI,O,O,X,O,O,O,X,X,X,O,O,X
TZSLOIJ,O,O,X,O,O,O,X,X,X,X,O,X
TZSLOJI,O,O,X,O,O,O,X,X,X,O,O,X
TZSJILO,O,O,X,O,X,O,X,X,X,O,X,X
TZSJIOL,O,O,X,O,X,X,X,X,X,X,X,X
TZSJLIO,O,O,X,O,O,O,X,X,X,O,X,X
TZSJLOI,O,O,X,O,O,O,X,X,X,O,O,X
TZSJOIL,O,O,X,O,X,X,X,X,X,X,X,X
TZSJOLI,O,O,X,O,O,X,X,X,X,X,O,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,O,X,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,X,X,O,O,X,X,X,X,X,O,X
TZSOLJI,O,X,X,O,O,X,X,X,X,X,O,X
TZSOJIL,O,O,X,O,X,X,X,X,X,X,X,X
TZSOJLI,O,O,X,O,O,X,X,X,X,X,O,X
TZOILJS,O,X,X,X,X,O,X,X,X,X,O,X
TZOILSJ,X,X,X,X,X,O,X,X,X,X,O,X
TZOIJLS,O,X,X,X,X,O,O,X,X,X,O,X
TZOIJSL,O,O,X,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,O,X,X,O,X,O,O
TZOLISJ,X,O,X,X,X,O,X,X,X,X,O,X
TZOLJIS,O,O,X,X,X,O,X,X,O,O,O,O
TZOLJSI,O,O,X,O,O,O,X,X,O,O,O,X
TZOLSIJ,O,O,X,O,O,O,X,X,X,X,O,X
TZOLSJI,O,O,X,O,O,O,X,X,X,O,O,X
TZOJILS,O,X,X,X,X,O,O,X,O,O,O,X
TZOJISL,O,O,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,O,O,X,O,O,O,O
TZOJLSI,O,O,X,O,O,O,O,X,O,O,O,X
TZOJSIL,O,O,X,O,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,O,X,O,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,O,X,O,X,X,X,X,X,X,X,X
TZOSLIJ,O,X,X,O,O,X,X,X,X,X,O,X
TZOSLJI,O,X,X,O,O,X,X,X,X,X,O,X
TZOSJIL,O,O,X,O,X,X,X,X,X,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X,X,X,O,X
TOILJSZ,X,X,O,X,O,X,O,O,O,O,X,O
TOILJZS,O,X,O,X,X,X,O,X,O,O,O,O
TOILSJZ,X,X,O,X,O,X,O,O,X,O,X,O
TOILSZJ,X,X,O,X,O,X,O,O,X,X,O,X
TOILZJS,O,X,O,X,X,X,O,X,O,X,O,O
TOILZSJ,O,X,O,X,X,X,O,O,X,X,O,X
TOIJLSZ,X,X,O,X,O,X,O,X,O,O,X,O
TOIJLZS,O,X,O,X,X,X,O,X,O,O,X,O
TOIJSLZ,X,X,X,X,O,X,O,X,O,X,X,X
TOIJSZL,X,X,X,X,X,X,X,X,X,X,X,X
TOIJZLS,O,X,O,X,X,X,O,X,O,O,X,X
TOIJZSL,O,X,O,X,X,X,X,X,X,X,X,X
TOISLJZ,X,X,X,X,O,X,X,O,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,O,X,X,X,X
TOISJLZ,X,X,X,X,O,X,O,X,X,X,X,X
TOISJZL,X,X,X,X,X,X,X,X,X,X,X,X
TOISZLJ,X,X,X,X,X,X,X,X,X,X,X,X
TOISZJL,X,O,X,X,X,X,X,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,X,X,X,X,O,X
TOIZLSJ,X,X,X,X,X,X,X,X,X,X,O,X
TOIZJLS,O,X,X,X,X,X,O,X,X,X,O,X
TOIZJSL,O,O,X,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X,X,X,X,X
TOLIJSZ,X,X,O,O,O,O,O,O,O,O,X,O
TOLIJZS,O,X,O,X,X,O,O,O,O,O,O,O
TOLISJZ,X,X,O,X,O,O,O,O,X,O,X,O
TOLISZJ,X,O,O,X,O,O,O,O,X,X,O,X
TOLIZJS,O,O,O,X,X,O,O,X,O,X,O,O
TOLIZSJ,O,O,O,X,X,O,O,O,X,X,O,X
TOLJISZ,X,X,O,O,O,O,O,O,O,O,X,O
TOLJIZS,O,X,O,X,X,O,O,O,O,O,O,O
TOLJSIZ,X,X,O,O,O,O,O,O,O,O,X,O
TOLJSZI,X,O,O,X,O,X,O,O,O,O,X,X
TOLJZIS,O,O,O,X,X,O,O,O,O,O,O,O
TOLJZSI,O,O,O,O,O,O,O,O,O,O,O,X
TOLSIJZ,X,X,O,O,O,O,O,O,X,O,X,O
TOLSIZJ,X,O,O,X,O,O,O,O,X,X,O,X
TOLSJIZ,X,X,O,O,O,O,O,O,X,O,X,O
TOLSJZI,X,O,O,X,O,X,O,O,X,O,X,X
TOLSZIJ,X,O,O,X,O,O,O,O,X,X,O,X
TOLSZJI,X,O,O,X,O,O,O,O,X,O,O,X
TOLZIJS,O,O,O,X,X,O,O,X,O,X,O,O
TOLZISJ,O,O,O,X,X,O,O,O,X,X,O,X
TOLZJIS,O,O,O,X,X,O,O,O,O,O,O,O
TOLZJSI,O,O,O,O,O,O,O,O,O,O,O,X
TOLZSIJ,O,O,O,O,O,O,O,O,X,X,O,X
TOLZSJI,O,O,O,O,O,O,O,O,X,O,O,X
TOJILSZ,X,X,O,X,O,X,O,O,O,O,X,O
TOJILZS,O,X,O,X,X,X,O,O,O,O,X,O
TOJISLZ,X,X,X,X,O,X,O,O,O,X,X,X
TOJISZL,X,X,X,X,X,X,X,X,X,X,X,X
TOJIZLS,O,X,O,X,X,X,O,X,O,O,X,X
TOJIZSL,O,X,O,X,X,X,X,X,X,X,X,X
TOJLISZ,X,X,O,O,O,O,O,O,O,O,X,O
TOJLIZS,O,X,O,X,X,O,O,O,O,O,O,O
TOJLSIZ,X,X,O,O,O,O,O,O,O,O,X,O
TOJLSZI,X,O,O,X,O,X,O,O,O,O,X,X
TOJLZIS,O,O,O,X,X,O,O,O,O,O,O,O
TOJLZSI,O,O,O,O,O,X,O,O,O,O,O,X
TOJSILZ,X,X,X,O,O,X,O,O,O,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X,X,X,X,X
TOJSLIZ,X,X,X,O,O,X,O,O,O,X,X,O
TOJSLZI,X,X,X,X,O,X,O,O,O,X,X,X
TOJSZIL,X,O,X,O,X,X,X,X,X,X,X,X
TOJSZLI,X,O,X,X,O,X,X,X,O,X,X,X
TOJZILS,O,X,O,X,X,X,O,X,O,O,O,X
TOJZISL,O,O,O,X,X,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,X,X,O,X,O,O,O,O
TOJZLSI,O,O,O,O,O,X,O,X,O,O,O,X
TOJZSIL,O,O,O,O,X,X,X,X,X,X,X,X
TOJZSLI,O,O,X,O,O,X,X,X,O,X,O,X
TOSILJZ,X,X,X,O,O,X,X,O,X,X,X,X
TOSILZJ,X,X,X,O,O,X,X,O,X,X,X,X
TOSIJLZ,X,X,X,O,O,X,O,X,X,X,X,X
TOSIJZL,X,X,X,O,X,X,X,X,X,X,X,X
TOSIZLJ,X,X,X,O,X,X,X,X,X,X,X,X
TOSIZJL,X,O,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,X,X,X,O,O,X,X,O,X,X,X,O
TOSLIZJ,X,X,X,O,O,X,X,O,X,X,O,X
TOSLJIZ,X,X,X,O,O,X,X,O,X,X,X,O
TOSLJZI,X,X,X,O,O,X,X,O,X,X,X,X
TOSLZIJ,X,X,X,O,O,X,X,O,X,X,O,X
TOSLZJI,X,X,X,O,O,X,X,O,X,X,O,X
TOSJILZ,X,X,X,O,O,X,O,O,X,X,X,X
TOSJIZL,X,X,X,O,X,X,X,X,X,X,X,X
TOSJLIZ,X,X,X,O,O,X,O,O,X,X,X,O
TOSJLZI,X,X,X,O,O,X,O,O,X,X,X,X
TOSJZIL,X,O,X,O,X,X,X,X,X,X,X,X
TOSJZLI,X,O,X,X,O,X,X,X,X,X,X,X
TOSZILJ,X,X,X,O,X,X,X,X,X,X,X,X
TOSZIJL,X,O,X,O,X,X,X,X,X,X,X,X
TOSZLIJ,X,X,X,O,O,X,X,X,X,X,O,X
TOSZLJI,X,X,X,O,O,X,X,X,X,X,O,X
TOSZJIL,X,O,X,O,X,X,X,X,X,X,X,X
TOSZJLI,X,O,X,X,O,X,X,X,X,X,O,X
TOZILJS,O,X,X,X,X,O,X,X,X,X,O,X
TOZILSJ,X,X,X,X,X,O,X,X,X,X,O,X
TOZIJLS,O,X,X,X,X,O,O,X,X,X,O,X
TOZIJSL,O,O,X,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,O,X,X,O,X,O,O
TOZLISJ,X,O,X,X,X,O,X,X,X,X,O,X
TOZLJIS,O,O,X,X,X,O,X,X,O,O,O,O
TOZLJSI,O,O,X,O,O,O,X,X,O,O,O,X
TOZLSIJ,O,O,X,O,O,O,X,X,X,X,O,X
TOZLSJI,O,O,X,O,O,O,X,X,X,O,O,X
TOZJILS,O,X,X,X,X,O,O,X,O,O,O,X
TOZJISL,O,O,X,X,X,X,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,O,O,X,O,O,O,O
TOZJLSI,O,O,X,O,O,O,O,X,O,O,O,X
TOZJSIL,O,O,X,O,X,X,X,X,X,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X,O,X,O,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZSIJL,O,O,X,O,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,X,O,O,X,X,X,X,X,O,X
TOZSLJI,O,X,X,O,O,X,X,X,X,X,O,X
TOZSJIL,O,O,X,O,X,X,X,X,X,X,X,X
TOZSJLI,O,O,X,O,O,X,X,X,X,X,O,X
ITLJSZO,X,O,O,O,O,X,X,X,X,O,X,X
ITLJSOZ,X,X,O,O,O,O,X,X,X,O,X,O
ITLJZSO,X,O,O,O,X,X,X,X,X,O,X,X
ITLJZOS,X,O,O,X,X,O,X,X,X,O,X,O
ITLJOSZ,X,X,X,O,O,O,X,X,X,O,X,O
ITLJOZS,X,X,O,X,X,O,X,X,X,O,X,O
ITLSJZO,X,O,O,O,O,X,X,X,X,O,X,X
ITLSJOZ,X,X,O,O,O,X,X,X,X,O,X,O
ITLSZJO,X,O,O,O,O,X,X,X,X,O,X,X
ITLSZOJ,X,O,X,X,O,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,O,O,O,X,X,X,O,X,O
ITLSOZJ,X,O,X,X,O,O,X,X,X,X,X,X
ITLZJSO,X,O,O,O,X,O,X,X,X,O,X,X
ITLZJOS,X,O,O,X,X,O,X,X,X,O,O,O
ITLZSJO,X,O,O,O,X,X,X,X,X,O,X,X
ITLZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ITLZOJS,X,O,X,X,X,O,X,X,X,X,O,O
ITLZOSJ,X,O,X,X,X,O,X,X,X,X,O,X
ITLOJSZ,X,X,X,O,O,O,X,X,X,O,X,O
ITLOJZS,X,X,O,X,X,O,X,X,X,O,O,O
ITLOSJZ,X,X,O,X,O,O,X,X,X,O,X,O
ITLOSZJ,X,O,X,X,O,O,X,X,X,X,O,X
ITLOZJS,X,O,X,X,X,O,X,X,X,X,O,O
ITLOZSJ,X,O,X,X,X,O,X,X,X,X,O,X
ITJLSZO,X,O,O,O,O,X,O,X,X,O,X,X
ITJLSOZ,X,X,O,O,O,O,X,X,X,O,X,O
ITJLZSO,X,O,O,O,X,X,O,X,X,O,X,X
ITJLZOS,X,O,O,X,X,O,O,X,X,O,X,O
ITJLOSZ,X,X,X,O,O,O,O,X,O,O,X,O
ITJLOZS,X,X,O,X,X,O,O,X,O,O,X,O
ITJSLZO,X,X,X,O,O,X,O,X,X,O,X,X
ITJSLOZ,X,X,X,O,O,X,X,X,X,O,X,X
ITJSZLO,X,O,X,O,X,X,X,X,X,O,X,X
ITJSZOL,X,O,X,O,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,X,O,O,X,X,X,O,X,X,X
ITJSOZL,X,X,X,O,X,X,X,X,X,X,X,X
ITJZLSO,X,O,O,O,X,X,O,X,X,O,X,X
ITJZLOS,X,O,O,X,X,X,O,X,X,O,X,X
ITJZSLO,X,O,O,O,X,X,X,X,X,O,X,X
ITJZSOL,X,O,O,O,X,X,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X,X,O,O,X,X
ITJZOSL,X,O,O,X,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,O,X,O,X,O,O,X,O
ITJOLZS,X,X,O,X,X,X,O,X,O,O,X,O
ITJOSLZ,X,X,X,X,O,X,O,X,O,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X,X,X,X,X
ITJOZLS,X,X,O,X,X,X,O,X,O,O,X,X
ITJOZSL,X,X,O,X,X,X,X,X,X,X,X,X
ITSLJZO,X,X,X,O,O,X,X,X,X,O,X,X
ITSLJOZ,X,X,X,O,O,X,X,X,X,O,X,X
ITSLZJO,X,O,X,O,O,X,X,X,X,O,X,X
ITSLZOJ,X,X,X,X,O,X,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,O,X,X,X,X,O,X,X
ITSLOZJ,X,X,X,O,O,X,X,X,X,X,X,X
ITSJLZO,X,X,X,O,O,X,X,X,X,O,X,X
ITSJLOZ,X,X,X,O,O,X,X,X,X,O,X,X
ITSJZLO,X,O,X,O,X,X,X,X,X,O,X,X
ITSJZOL,X,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,O,O,X,X,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X,X,X,X,X,X
ITSZLJO,X,O,X,O,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,X,X,X,X,X,X,X,X
ITSZJLO,X,O,X,O,X,X,X,X,X,X,X,X
ITSZJOL,X,O,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,X,X,X,O,X,X,X,X,X,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,O,X,X,X,X,X,X,X
ITSOLZJ,X,X,X,O,O,X,X,X,X,X,X,X
ITSOJLZ,X,X,X,O,O,X,X,X,X,X,X,X
ITSOJZL,X,X,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,O,X,X,X,X,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,O,X,X,X,O,X,X
ITZLJOS,X,O,X,X,X,O,X,X,X,O,O,X
ITZLSJO,X,O,X,O,X,X,X,X,X,O,X,X
ITZLSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ITZLOJS,X,O,X,X,X,O,X,X,X,X,O,X
ITZLOSJ,X,O,X,X,X,O,X,X,X,X,O,X
ITZJLSO,X,O,X,O,X,O,X,X,X,O,X,X
ITZJLOS,X,O,X,X,X,O,X,X,X,O,O,X
ITZJSLO,X,O,X,O,X,O,X,X,X,O,X,X
ITZJSOL,X,O,X,O,X,X,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,O,X,X,X,O,O,X
ITZJOSL,X,O,X,X,X,X,X,X,X,X,X,X
ITZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,O,X,O,X,X,X,X,X,X
ITZSJLO,X,O,X,O,X,O,X,X,X,X,X,X
ITZSJOL,X,O,X,O,X,X,X,X,X,X,X,X
ITZSOLJ,X,X,X,O,X,X,X,X,X,X,X,X
ITZSOJL,X,O,X,O,X,X,X,X,X,X,X,X
ITZOLJS,X,X,X,X,X,O,X,X,X,X,O,X
ITZOLSJ,X,X,X,X,X,O,X,X,X,X,O,X
ITZOJLS,X,X,X,X,X,O,X,X,X,X,O,X
ITZOJSL,X,O,X,X,X,X,X,X,X,X,X,X
