sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TLSJIOZ,X,X,X,X,O,X,O,O,X,X
TLSJZIO,X,X,X,X,O,X,O,X,X,X
TLSJZOI,X,X,X,X,O,X,O,X,X,X
TLSJOIZ,X,X,X,X,O,X,O,O,X,X
TLSJOZI,X,X,X,X,O,X,O,X,X,X
TLSZIJO,X,X,X,X,O,X,X,X,O,X
TLSZIOJ,X,X,X,X,O,X,X,X,O,X
TLSZJIO,X,X,X,X,O,X,O,X,O,X
TLSZJOI,X,X,X,X,O,X,O,X,X,X
TLSZOIJ,X,X,X,X,O,X,X,X,O,X
TLSZOJI,X,X,X,X,O,X,O,X,X,X
TLSOIJZ,X,X,X,X,O,X,O,O,X,X
TLSOIZJ,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,X,X,O,X,O,O,X,X
TLSOJZI,X,X,X,X,O,X,O,X,X,X
TLSOZIJ,X,X,X,X,O,X,X,X,X,X
TLSOZJI,X,X,X,X,O,X,O,X,X,X
TLZIJSO,X,X,X,X,O,X,X,X,O,X
TLZIJOS,X,X,X,X,O,X,X,X,X,X
TLZISJO,X,X,X,X,O,X,X,X,O,X
TLZISOJ,X,X,X,X,O,X,X,X,O,X
TLZIOJS,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,X,X,O,X
TLZJISO,X,X,X,X,O,X,O,X,O,X
TLZJIOS,X,X,X,X,O,X,O,X,X,X
TLZJSIO,X,X,X,X,O,X,O,X,O,X
TLZJSOI,X,X,X,X,O,X,O,X,X,X
TLZJOIS,X,X,X,X,O,X,O,X,X,X
TLZJOSI,X,X,X,X,O,X,O,X,X,X
TLZSIJO,X,X,X,X,O,X,X,X,O,X
TLZSIOJ,X,X,X,X,O,X,X,X,O,X
TLZSJIO,X,X,X,X,O,X,O,X,O,X
TLZSJOI,X,X,X,X,O,X,O,X,X,X
TLZSOIJ,X,X,X,X,O,X,X,X,O,X
TLZSOJI,X,X,X,X,O,X,O,X,X,X
TLZOIJS,X,X,X,X,O,X,X,X,X,X
TLZOISJ,X,X,X,X,O,X,X,X,O,X
TLZOJIS,X,X,X,X,O,X,O,X,X,X
TLZOJSI,X,X,X,X,O,X,O,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X,O,X
TLZOSJI,X,X,X,X,O,X,O,X,X,X
TLOIJSZ,X,O,X,O,O,X,O,O,X,X
TLOIJZS,X,O,X,O,O,X,O,O,X,X
TLOISJZ,X,X,X,X,O,X,O,O,X,X
TLOISZJ,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,X,X,X,X
TLOIZSJ,X,X,X,X,O,X,X,X,O,X
TLOJISZ,X,O,X,O,O,X,O,O,X,X
TLOJIZS,X,O,X,O,O,X,O,O,X,X
TLOJSIZ,X,O,X,O,O,X,O,O,X,X
TLOJSZI,X,O,X,O,O,X,O,X,X,X
TLOJZIS,X,O,X,O,O,X,O,X,X,X
TLOJZSI,X,O,X,O,O,X,O,X,X,X
TLOSIJZ,X,X,X,X,O,X,O,O,X,X
TLOSIZJ,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,X,X,O,X,O,O,X,X
TLOSJZI,X,X,X,X,O,X,O,X,X,X
TLOSZIJ,X,X,X,X,O,X,X,X,X,X
TLOSZJI,X,X,X,X,O,X,O,X,X,X
TLOZIJS,X,X,X,X,O,X,X,X,X,X
TLOZISJ,X,X,X,X,O,X,X,X,O,X
TLOZJIS,X,X,X,X,O,X,O,X,X,X
TLOZJSI,X,X,X,X,O,X,O,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X,O,X
TLOZSJI,X,X,X,X,O,X,O,X,X,X
TJILSZO,X,O,X,O,X,X,O,O,X,X
TJILSOZ,X,O,X,O,X,X,O,O,X,X
TJILZSO,X,O,X,O,X,X,O,O,O,X
TJILZOS,X,O,X,O,X,X,O,O,X,X
TJILOSZ,X,O,X,O,X,X,O,O,X,X
TJILOZS,X,O,X,O,X,X,O,O,X,X
TJISLZO,X,O,X,X,X,X,O,O,X,X
TJISLOZ,X,O,X,X,X,X,O,O,X,X
TJISZLO,X,X,O,X,X,O,O,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X,X
TJISOLZ,X,O,X,X,O,X,O,O,X,X
TJISOZL,O,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,O,O,X,O,O,X,X,X
TJIZLOS,X,X,O,O,X,O,O,X,X,X
TJIZSLO,X,X,O,X,X,O,O,X,X,X
TJIZSOL,X,X,O,X,X,O,X,X,X,X
TJIZOLS,X,X,O,O,X,O,X,X,X,X
TJIZOSL,X,X,O,X,X,O,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,O,O,X,X
TJIOLZS,X,O,X,O,X,X,O,O,X,X
TJIOSLZ,X,O,X,X,O,X,O,O,X,X
TJIOSZL,O,X,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,O,X,O,X,X,X,X
TJIOZSL,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,X,O,O,X,O,O,X,X
TJLISOZ,X,O,X,O,O,X,O,O,X,X
TJLIZSO,X,O,X,O,O,X,O,O,O,X
TJLIZOS,X,O,X,O,O,X,O,O,X,X
TJLIOSZ,X,O,X,O,O,X,O,O,X,X
TJLIOZS,X,O,X,O,O,X,O,O,X,X
TJLSIZO,X,O,X,O,O,X,O,O,X,X
TJLSIOZ,X,O,X,O,O,X,O,O,X,X
