sequence,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFUcBRdBFgBT?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFzbBRdBUgBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldB6lB/?mBUiBeqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhF8gBRdBKlBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldBigBU?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jel7IvhFRdBmfB6mBT?iB3lB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jey/IvhFWhB3dBTlBx?mBlmB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeR7IvhFzcBuiBigBc?qBlmB/pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Je39IvhFxfBylBWnBT?lBlmB0pB
TLSOJZI,O,O,O,O,X,O,X,X,X
TLSOZIJ,O,O,X,X,X,O,X,X,X
TLSOZJI,O,O,X,O,X,O,X,X,X
TLZIJSO,X,O,X,O,X,X,X,O,X
TLZIJOS,O,O,X,O,O,X,X,O,X
TLZISJO,X,O,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,O,X,X,O,X
TLZIOSJ,O,O,X,X,X,X,X,X,X
TLZJISO,X,O,O,O,O,X,X,O,X
TLZJIOS,O,O,O,O,O,X,X,O,X
TLZJSIO,X,O,O,O,O,X,X,O,X
TLZJSOI,X,O,O,O,O,X,X,O,X
TLZJOIS,O,O,O,O,O,X,X,O,X
TLZJOSI,O,O,O,O,O,X,X,O,X
TLZSIJO,X,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X
TLZSJIO,X,O,O,O,X,X,X,O,X
TLZSJOI,X,O,O,O,X,X,X,O,X
TLZSOIJ,O,O,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,O,X
TLZOIJS,O,O,X,O,O,X,X,O,X
TLZOISJ,O,O,X,X,X,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,O,X
TLZOJSI,O,O,O,O,O,X,X,O,X
TLZOSIJ,O,O,O,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,O,X
TLOIJSZ,O,O,X,O,X,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,X,X
TLOISJZ,X,O,X,O,X,O,X,X,X
TLOISZJ,O,O,X,X,X,O,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X
TLOJISZ,O,O,O,O,O,X,X,X,X
TLOJIZS,O,O,O,O,O,X,X,X,X
TLOJSIZ,O,O,O,O,O,X,X,X,X
TLOJSZI,O,O,O,O,X,X,X,X,X
TLOJZIS,O,O,O,O,O,X,X,O,X
TLOJZSI,O,O,O,O,X,X,X,O,X
TLOSIJZ,X,O,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,X,X
TLOSJZI,O,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,X,X,X,O,X,X,X
TLOSZJI,O,O,X,O,X,O,X,X,X
TLOZIJS,O,O,X,O,O,X,X,O,X
TLOZISJ,O,O,X,X,X,X,X,X,X
TLOZJIS,O,O,O,O,O,X,X,O,X
TLOZJSI,O,O,O,O,O,X,X,O,X
TLOZSIJ,O,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,O,X
TJILSZO,O,O,O,O,X,X,X,X,O
TJILSOZ,X,O,O,O,O,X,X,X,O
TJILZSO,O,O,O,O,X,X,X,X,X
TJILZOS,O,O,O,O,O,X,X,X,X
TJILOSZ,O,O,O,O,O,X,X,X,X
TJILOZS,O,O,O,O,O,X,X,X,X
TJISLZO,O,O,O,O,X,X,X,X,O
TJISLOZ,X,O,O,O,X,X,X,X,O
TJISZLO,O,O,X,O,X,X,X,X,X
TJISZOL,X,O,O,X,X,X,X,X,X
TJISOLZ,X,O,O,O,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X
TJIZLSO,O,O,O,O,X,X,X,O,X
TJIZLOS,O,O,O,O,X,X,X,O,X
TJIZSLO,O,O,O,O,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X,X,X
TJIZOLS,O,O,O,O,X,X,X,O,X
TJIZOSL,O,O,O,X,X,X,X,X,X
TJIOLSZ,O,O,O,O,O,X,X,X,X
TJIOLZS,O,O,O,O,O,X,X,X,X
TJIOSLZ,O,O,O,O,X,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X,X
TJIOZLS,O,O,O,O,X,X,X,O,X
TJIOZSL,O,O,O,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,X,X,O
TJLISOZ,X,O,O,O,O,X,X,X,O
TJLIZSO,O,O,O,O,O,X,X,X,X
TJLIZOS,O,O,O,O,O,X,X,X,X
TJLIOSZ,O,O,O,O,O,X,X,X,X
TJLIOZS,O,O,O,O,O,X,X,X,X
TJLSIZO,O,O,O,O,X,X,X,X,O
TJLSIOZ,X,O,O,O,O,X,X,X,O
TJLSZIO,O,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,X,X,X,X
TJLSOZI,O,O,O,O,X,X,X,X,X
TJLZISO,O,O,O,O,O,X,X,O,X
TJLZIOS,O,O,O,O,O,X,X,O,X
TJLZSIO,O,O,O,O,O,X,X,O,X
TJLZSOI,O,O,O,O,O,X,X,O,X
TJLZOIS,O,O,O,O,O,X,X,O,X
TJLZOSI,O,O,O,O,O,X,X,O,X
TJLOISZ,O,O,O,O,O,X,X,X,X
TJLOIZS,O,O,O,O,O,X,X,X,X
TJLOSIZ,O,O,O,O,O,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,X
TJLOZIS,O,O,O,O,O,X,X,O,X
TJLOZSI,O,O,O,O,O,X,X,O,X
TJSILZO,O,O,O,O,X,X,X,X,O
TJSILOZ,X,O,O,O,X,X,X,X,O
TJSIZLO,O,O,O,O,X,X,X,X,X
TJSIZOL,X,O,O,X,X,X,X,X,X
TJSIOLZ,X,O,O,O,X,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,X,X
TJSLIZO,O,O,O,O,X,X,X,X,O
TJSLIOZ,X,O,O,O,O,X,X,X,O
TJSLZIO,O,O,O,O,X,X,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,O,X,X,X,X
TJSLOZI,O,O,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,X,X,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,O,X,X,X,O,X
TJSZOIL,O,O,O,X,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,O,X
TJSOILZ,O,O,O,O,X,X,X,X,X
TJSOIZL,O,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,X,X
TJSOZIL,O,O,O,X,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,O,X
TJZILSO,O,O,O,O,O,X,X,O,X
TJZILOS,O,O,O,O,O,X,X,O,X
TJZISLO,O,O,O,O,X,X,X,X,X
TJZISOL,X,O,O,X,O,X,X,X,X
TJZIOLS,O,O,O,O,O,X,X,O,X
TJZIOSL,O,O,O,X,O,X,X,X,X
TJZLISO,O,O,O,O,O,X,X,O,X
TJZLIOS,O,O,O,O,O,X,X,O,X
TJZLSIO,O,O,O,O,O,X,X,O,X
TJZLSOI,O,O,O,O,O,X,X,O,X
TJZLOIS,O,O,O,O,O,X,X,O,X
TJZLOSI,O,O,O,O,O,X,X,O,X
TJZSILO,O,O,O,O,X,X,X,X,X
TJZSIOL,X,O,O,X,O,X,X,X,X
TJZSLIO,O,O,O,O,O,X,X,O,X
TJZSLOI,O,O,O,O,O,X,X,O,X
TJZSOIL,O,O,O,X,O,X,X,X,X
TJZSOLI,O,O,O,X,O,X,X,O,X
TJZOILS,O,O,O,O,O,X,X,O,X
TJZOISL,O,O,O,X,O,X,X,X,X
TJZOLIS,O,O,O,O,O,X,X,O,X
TJZOLSI,O,O,O,O,O,X,X,O,X
TJZOSIL,O,O,O,X,O,X,X,X,X
TJZOSLI,O,O,O,X,O,X,X,O,X
TJOILSZ,O,O,O,O,O,X,X,X,X
TJOILZS,O,O,O,O,O,X,X,X,X
TJOISLZ,O,O,O,O,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X,X
TJOIZLS,O,O,O,O,X,X,X,O,X
TJOIZSL,O,O,O,X,X,X,X,X,X
TJOLISZ,O,O,O,O,O,X,X,X,X
TJOLIZS,O,O,O,O,O,X,X,X,X
TJOLSIZ,O,O,O,O,O,X,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X,X
TJOLZIS,O,O,O,O,O,X,X,O,X
TJOLZSI,O,O,O,O,O,X,X,O,X
TJOSILZ,O,O,O,O,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,X,X,X,X
TJOSLZI,O,O,O,O,X,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,O,X
TJOZILS,O,O,O,O,O,X,X,O,X
TJOZISL,O,O,O,X,O,X,X,X,X
TJOZLIS,O,O,O,O,O,X,X,O,X
TJOZLSI,O,O,O,O,O,X,X,O,X
TJOZSIL,O,O,O,X,O,X,X,X,X
TJOZSLI,O,O,O,X,O,X,X,O,X
TSILJZO,X,O,X,O,X,X,X,X,O
TSILJOZ,X,O,O,O,X,X,X,X,O
TSILZJO,X,O,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X
TSILOJZ,X,O,O,O,X,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X,X,X
TSIJLZO,X,O,O,O,X,X,X,X,O
TSIJLOZ,X,O,O,O,X,X,X,X,O
TSIJZLO,X,O,O,O,X,X,X,X,X
TSIJZOL,X,O,O,X,X,X,X,X,X
TSIJOLZ,X,O,O,O,X,X,X,X,X
TSIJOZL,X,O,O,X,X,X,X,X,X
TSIZLJO,X,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X,X
TSIZJLO,X,O,O,X,X,X,X,X,X
TSIZJOL,X,O,O,X,X,X,X,X,X
TSIZOLJ,X,O,O,X,X,X,X,X,X
TSIZOJL,X,O,O,X,X,X,X,X,X
TSIOLJZ,X,O,O,O,X,X,O,X,X
TSIOLZJ,X,O,O,X,X,X,X,X,X
TSIOJLZ,X,O,O,O,X,X,O,X,X
TSIOJZL,X,O,O,X,X,X,X,X,X
TSIOZLJ,X,O,O,X,X,X,X,X,X
TSIOZJL,X,O,O,X,X,X,X,X,X
TSLIJZO,X,O,X,O,X,X,X,X,O
TSLIJOZ,X,O,O,O,X,O,X,X,O
TSLIZJO,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X
TSLIOJZ,X,O,O,O,X,O,X,X,X
TSLIOZJ,X,O,O,X,X,O,X,X,X
TSLJIZO,X,O,O,O,X,X,X,X,O
TSLJIOZ,X,O,O,O,X,O,X,X,O
TSLJZIO,X,O,O,O,X,X,X,X,X
TSLJZOI,X,O,O,O,X,O,X,X,X
TSLJOIZ,X,O,O,O,X,O,X,X,X
TSLJOZI,X,O,O,O,X,O,X,X,X
TSLZIJO,X,O,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X
TSLZJIO,X,O,X,O,X,X,X,X,X
TSLZJOI,X,O,X,O,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,O,X,X,X
TSLZOJI,O,O,X,O,X,O,X,X,X
TSLOIJZ,X,O,O,O,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,O,X,X,X
TSLOJIZ,O,O,O,O,X,O,X,X,X
TSLOJZI,O,O,O,O,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,O,X,X,X
TSLOZJI,O,O,X,O,X,O,X,X,X
TSJILZO,X,O,O,O,X,X,X,X,O
TSJILOZ,X,O,O,O,X,X,X,X,O
TSJIZLO,X,O,O,O,X,X,X,X,X
TSJIZOL,X,O,O,X,X,X,X,X,X
TSJIOLZ,X,O,O,O,X,X,X,X,X
TSJIOZL,X,O,O,X,X,X,X,X,X
TSJLIZO,X,O,O,O,X,X,X,X,O
TSJLIOZ,X,O,O,O,O,O,X,X,O
TSJLZIO,X,O,O,O,X,X,X,X,X
TSJLZOI,X,O,O,O,X,O,X,X,X
TSJLOIZ,X,O,O,O,O,O,X,X,X
TSJLOZI,X,O,O,O,X,O,X,X,X
TSJZILO,X,O,O,O,X,X,X,X,X
TSJZIOL,X,O,O,X,X,X,X,X,X
TSJZLIO,X,O,O,O,X,X,X,O,X
TSJZLOI,X,O,O,O,X,X,X,O,X
TSJZOIL,X,O,O,X,X,X,X,X,X
TSJZOLI,X,O,O,X,X,X,X,O,X
TSJOILZ,X,O,O,O,X,X,X,X,X
TSJOIZL,X,O,O,X,X,X,X,X,X
TSJOLIZ,X,O,O,O,O,O,X,X,X
TSJOLZI,X,O,O,O,X,O,X,X,X
TSJOZIL,X,O,O,X,X,X,X,X,X
TSJOZLI,X,O,O,X,X,X,X,O,X
TSZILJO,X,O,O,X,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X,X
TSZIJLO,X,O,O,X,X,X,X,X,X
TSZIJOL,X,O,O,X,O,X,X,X,X
TSZIOLJ,X,O,O,X,X,X,X,X,X
TSZIOJL,X,O,O,X,O,X,X,X,X
TSZLIJO,X,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X,X
TSZLJIO,X,O,O,O,X,X,X,O,X
TSZLJOI,X,O,O,O,X,X,X,O,X
TSZLOIJ,O,O,O,X,X,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,O,X
TSZJILO,X,O,O,O,X,X,X,X,X
TSZJIOL,X,O,O,X,O,X,X,X,X
TSZJLIO,X,O,O,O,O,X,X,O,X
TSZJLOI,X,O,O,O,O,X,X,O,X
TSZJOIL,X,O,O,X,O,X,X,X,X
TSZJOLI,X,O,O,X,O,X,X,O,X
TSZOILJ,O,O,O,X,X,X,X,X,X
TSZOIJL,X,O,O,X,O,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,O,X
TSZOJIL,X,O,O,X,O,X,X,X,X
TSZOJLI,X,O,O,X,O,X,X,O,X
TSOILJZ,X,O,O,O,X,X,O,X,X
TSOILZJ,O,O,O,X,X,X,X,X,X
TSOIJLZ,X,O,O,O,X,X,O,X,X
TSOIJZL,X,O,O,X,X,X,X,X,X
