sequence,v115@EhD8EeF8DeE8BeG8JeT6IvhF0cBxdBmgBFlBSrBXqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFegBCcBxdBlhBUmBXqB,v115@EhD8EeF8DeE8BeG8Je2/IvhFfhB0cBxiBFlBSrBzpB,v115@EhD8EeF8DeE8BeG8Je//IvhF0cBxdBOqBTmBllBCqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFxdBXgBlhBUmBeqBCrB,v115@EhD8EeF8DeE8BeG8Jem6IvhFqgBxdB0fBlhBTmBXqB,v115@EhD8EeF8DeE8BeG8Je//IvhFxdBOlBlhBUmBCmBzpB
TOILZSJ,O,O,X,X,X,X,X
TOIJLSZ,O,O,O,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X
TOIJSLZ,X,O,X,O,X,X,X
TOIJSZL,X,X,X,O,O,X,X
TOIJZLS,X,O,X,X,X,X,X
TOIJZSL,X,O,X,O,X,X,X
TOISLJZ,O,O,X,X,X,X,X
TOISLZJ,O,X,X,X,O,O,X
TOISJLZ,X,O,X,O,X,X,X
TOISJZL,X,O,X,O,O,X,X
TOISZLJ,X,X,X,X,O,O,X
TOISZJL,X,O,X,O,O,X,O
TOIZLJS,O,O,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X
TOIZJSL,X,O,X,O,X,X,O
TOIZSLJ,X,O,X,X,O,X,X
TOIZSJL,X,O,X,O,O,X,O
TOLIJSZ,O,O,O,X,X,X,X
TOLIJZS,O,O,X,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X
TOLISZJ,O,X,O,X,O,X,X
TOLIZJS,O,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X
TOLJISZ,O,O,O,X,X,X,X
TOLJIZS,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,X,X
TOLJSZI,O,X,O,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X
TOLSIZJ,O,X,O,X,O,X,X
TOLSJIZ,O,O,O,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X
TOLSZIJ,O,X,O,X,O,X,X
TOLSZJI,O,X,O,X,O,X,X
TOLZIJS,O,O,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X
TOLZJIS,O,O,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X
TOJILSZ,O,O,O,X,X,X,X
TOJILZS,O,O,X,X,X,X,X
TOJISLZ,X,O,X,O,X,X,X
TOJISZL,X,X,X,O,O,X,X
TOJIZLS,X,O,X,X,X,X,X
TOJIZSL,X,O,X,O,X,X,X
TOJLISZ,O,O,O,X,X,X,X
TOJLIZS,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X
TOJLSZI,O,X,O,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X
TOJLZSI,O,X,X,X,X,X,X
TOJSILZ,X,O,X,O,X,X,X
TOJSIZL,X,X,X,O,O,X,X
TOJSLIZ,X,O,X,O,X,X,X
TOJSLZI,X,X,X,O,X,X,X
TOJSZIL,X,X,X,O,O,X,X
TOJSZLI,X,X,X,O,O,X,X
TOJZILS,X,O,X,X,X,X,X
TOJZISL,X,O,X,O,X,X,X
TOJZLIS,X,O,X,X,X,X,X
TOJZLSI,X,O,X,X,X,X,X
TOJZSIL,X,O,X,O,X,X,X
TOJZSLI,X,O,X,O,X,X,X
TOSILJZ,O,O,X,X,X,X,X
TOSILZJ,O,X,X,X,O,O,X
TOSIJLZ,X,O,X,O,X,X,X
TOSIJZL,X,O,X,O,O,X,X
TOSIZLJ,X,X,X,X,O,O,X
TOSIZJL,X,O,X,O,O,X,O
TOSLIJZ,O,O,X,X,X,X,X
TOSLIZJ,O,X,X,X,O,O,X
TOSLJIZ,O,O,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X
TOSLZIJ,O,X,X,X,O,O,X
TOSLZJI,O,X,X,X,O,O,X
TOSJILZ,X,O,X,O,X,X,X
TOSJIZL,X,O,X,O,O,X,X
TOSJLIZ,X,O,X,O,X,X,X
TOSJLZI,X,O,X,O,X,X,X
TOSJZIL,X,O,X,O,O,X,X
TOSJZLI,X,O,X,O,O,X,X
TOSZILJ,X,X,X,X,O,O,X
TOSZIJL,X,O,X,O,O,X,O
TOSZLIJ,X,X,X,X,O,O,X
TOSZLJI,X,X,X,X,O,O,X
TOSZJIL,X,O,X,O,O,X,O
TOSZJLI,X,O,X,O,O,X,O
TOZILJS,O,O,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X
TOZIJSL,X,O,X,O,X,X,O
TOZISLJ,X,O,X,X,O,X,X
TOZISJL,X,O,X,O,O,X,O
TOZLIJS,O,O,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X
TOZLJIS,O,O,X,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X
TOZJILS,X,O,X,X,X,X,X
TOZJISL,X,O,X,O,X,X,O
TOZJLIS,X,O,X,X,X,X,X
TOZJLSI,X,O,X,X,X,X,X
TOZJSIL,X,O,X,O,X,X,O
TOZJSLI,X,O,X,O,X,X,O
TOZSILJ,X,O,X,X,O,X,X
TOZSIJL,X,O,X,O,O,X,O
TOZSLIJ,X,O,X,X,O,X,X
TOZSLJI,X,O,X,X,O,X,X
TOZSJIL,X,O,X,O,O,X,O
TOZSJLI,X,O,X,O,O,X,O
ITLJSZO,O,O,O,X,X,X,X
ITLJSOZ,O,O,O,X,X,X,X
ITLJZSO,O,O,O,X,X,X,X
ITLJZOS,O,O,X,X,X,X,X
ITLJOSZ,O,O,O,X,X,X,X
ITLJOZS,O,O,X,X,X,X,X
ITLSJZO,O,O,O,X,X,O,X
ITLSJOZ,O,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,O,O
ITLSZOJ,O,O,O,X,X,O,X
ITLSOJZ,O,O,O,X,X,X,X
ITLSOZJ,O,X,O,X,O,O,X
ITLZJSO,O,O,O,X,X,X,O
ITLZJOS,O,O,X,X,X,X,X
ITLZSJO,O,O,O,X,X,X,O
ITLZSOJ,O,O,O,X,O,X,X
ITLZOJS,O,O,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X
ITLOJSZ,O,O,O,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X
ITLOSJZ,O,O,O,X,X,X,X
ITLOSZJ,O,X,O,X,O,X,X
ITLOZJS,O,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X
ITJLSZO,O,O,O,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X
ITJLZSO,O,O,O,X,X,X,X
ITJLZOS,O,O,X,X,X,X,X
ITJLOSZ,O,O,O,X,X,X,X
ITJLOZS,O,O,X,X,X,X,X
ITJSLZO,X,O,O,X,X,O,X
ITJSLOZ,X,O,O,X,X,X,X
ITJSZLO,X,O,X,X,X,O,O
ITJSZOL,X,O,X,X,X,X,O
ITJSOLZ,X,O,X,O,X,X,X
ITJSOZL,X,O,X,O,O,X,X
ITJZLSO,X,O,O,X,X,X,O
ITJZLOS,X,O,X,X,X,X,X
ITJZSLO,X,O,X,X,X,X,O
ITJZSOL,X,O,X,X,O,X,O
ITJZOLS,X,O,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X,O
ITJOLSZ,O,O,O,X,X,X,X
ITJOLZS,O,O,X,X,X,X,X
ITJOSLZ,X,O,X,O,X,X,X
ITJOSZL,X,X,X,O,O,X,X
ITJOZLS,X,O,X,X,X,X,X
ITJOZSL,X,O,X,O,X,X,X
ITSLJZO,O,O,O,X,X,O,X
ITSLJOZ,O,O,O,X,X,X,X
ITSLZJO,O,O,O,X,X,O,O
ITSLZOJ,O,O,O,X,X,O,X
ITSLOJZ,O,O,O,X,X,X,X
ITSLOZJ,O,X,O,X,O,O,X
ITSJLZO,X,O,O,X,X,O,X
ITSJLOZ,X,O,O,X,X,X,X
ITSJZLO,X,O,X,X,X,O,O
ITSJZOL,X,O,X,X,X,X,O
ITSJOLZ,X,O,X,O,X,X,X
ITSJOZL,X,O,X,O,O,X,X
ITSZLJO,X,O,X,X,X,O,O
ITSZLOJ,X,O,X,X,O,O,X
ITSZJLO,X,O,X,X,X,O,O
ITSZJOL,X,O,X,X,O,X,O
ITSZOLJ,X,O,X,X,O,O,X
ITSZOJL,X,O,X,O,O,X,O
ITSOLJZ,O,O,X,X,X,X,X
ITSOLZJ,O,X,X,X,O,O,X
ITSOJLZ,X,O,X,O,X,X,X
ITSOJZL,X,O,X,O,O,X,X
ITSOZLJ,X,O,X,X,O,O,X
ITSOZJL,X,O,X,O,O,X,O
ITZLJSO,O,O,O,X,X,X,O
ITZLJOS,O,O,X,X,X,X,X
ITZLSJO,O,O,O,X,X,X,O
ITZLSOJ,O,O,O,X,O,X,X
ITZLOJS,O,O,X,X,X,X,X
ITZLOSJ,O,O,X,X,X,X,X
ITZJLSO,X,O,O,X,X,X,O
ITZJLOS,X,O,X,X,X,X,X
ITZJSLO,X,O,X,X,X,X,O
ITZJSOL,X,O,X,X,O,X,O
ITZJOLS,X,O,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,O
ITZSLJO,X,O,X,X,X,O,O
ITZSLOJ,X,O,X,X,O,O,X
ITZSJLO,X,O,X,X,X,O,O
ITZSJOL,X,O,X,X,O,X,O
ITZSOLJ,X,O,X,X,O,O,X
ITZSOJL,X,O,X,O,O,X,O
ITZOLJS,O,O,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X
ITZOJSL,X,O,X,O,X,X,O
ITZOSLJ,X,O,X,X,O,X,X
ITZOSJL,X,O,X,O,O,X,O
ITOLJSZ,O,O,O,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X
ITOLSJZ,O,O,O,X,X,X,X
ITOLSZJ,O,X,O,X,O,X,X
ITOLZJS,O,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X
ITOJLSZ,O,O,O,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X
ITOJSLZ,X,O,X,O,X,X,X
ITOJSZL,X,X,X,O,O,X,X
ITOJZLS,X,O,X,X,X,X,X
ITOJZSL,X,O,X,O,X,X,X
ITOSLJZ,O,O,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,O,X
ITOSJLZ,X,O,X,O,X,X,X
ITOSJZL,X,O,X,O,O,X,X
ITOSZLJ,X,X,X,X,O,O,X
ITOSZJL,X,O,X,O,O,X,O
ITOZLJS,O,O,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X
ITOZJSL,X,O,X,O,X,X,O
ITOZSLJ,X,O,X,X,O,X,X
ITOZSJL,X,O,X,O,O,X,O
ILTJSZO,O,O,O,X,X,X,X
ILTJSOZ,O,O,O,X,X,X,X
ILTJZSO,O,O,O,X,X,X,X
ILTJZOS,O,O,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,X,X
ILTJOZS,O,O,X,X,X,X,X
ILTSJZO,O,O,O,X,X,O,X
ILTSJOZ,O,O,O,X,X,X,X
ILTSZJO,O,O,O,X,X,O,O
ILTSZOJ,O,O,O,X,X,O,X
ILTSOJZ,O,O,O,X,X,X,X
ILTSOZJ,O,X,O,X,O,O,X
ILTZJSO,O,O,O,X,X,X,O
ILTZJOS,O,O,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,O
ILTZSOJ,O,O,O,X,O,X,X
ILTZOJS,O,O,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X
ILTOJSZ,O,O,O,X,X,X,X
ILTOJZS,O,O,X,X,X,X,X
ILTOSJZ,O,O,O,X,X,X,X
ILTOSZJ,O,X,O,X,O,X,X
ILTOZJS,O,O,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X
ILJTSZO,O,X,O,X,X,X,X
ILJTSOZ,O,O,O,X,X,X,X
ILJTZSO,O,X,O,X,X,X,X
ILJTZOS,O,O,X,X,X,X,X
ILJTOSZ,O,O,O,X,X,X,X
ILJTOZS,O,O,X,X,X,X,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,X,X
ILJSOTZ,X,X,X,O,X,X,X
ILJSOZT,O,X,O,O,X,X,X
ILJZTSO,O,O,O,X,X,X,X
ILJZTOS,O,O,X,X,X,X,X
ILJZSTO,X,X,O,X,X,X,X
ILJZSOT,O,O,O,X,X,X,X
ILJZOTS,O,O,X,X,X,X,X
ILJZOST,O,O,O,X,X,X,X
ILJOTSZ,O,O,X,X,X,X,X
ILJOTZS,O,O,X,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X
ILJOSZT,O,X,O,O,X,X,X
ILJOZTS,O,O,X,X,X,X,X
ILJOZST,O,O,O,O,X,X,X
ILSTJZO,O,O,O,X,X,O,X
ILSTJOZ,O,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,O,O
ILSTZOJ,O,X,O,X,X,O,X
ILSTOJZ,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,X,O,O,X
ILSJTZO,X,O,O,X,X,O,X
ILSJTOZ,X,O,O,X,X,X,X
ILSJZTO,X,O,O,X,X,O,X
ILSJZOT,O,O,O,X,X,O,X
ILSJOTZ,X,O,X,O,X,X,X
ILSJOZT,O,O,O,O,X,X,X
ILSZTJO,O,O,O,X,X,O,O
ILSZTOJ,O,O,O,X,O,O,X
ILSZJTO,X,O,O,X,X,O,O
ILSZJOT,O,O,O,X,X,O,X
ILSZOTJ,O,O,O,X,O,O,X
ILSZOJT,O,O,O,O,X,O,X
ILSOTJZ,O,O,O,X,X,X,X
ILSOTZJ,O,X,O,X,O,O,X
ILSOJTZ,X,O,X,O,X,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,O,O,O,X,O,O,X
ILSOZJT,O,O,O,O,X,O,X
ILZTJSO,O,O,O,X,X,X,O
ILZTJOS,O,O,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,O
ILZTSOJ,O,O,O,X,O,X,X
ILZTOJS,O,O,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,O
ILZJTOS,O,O,X,X,X,X,X
ILZJSTO,X,O,O,X,X,X,O
ILZJSOT,O,O,O,X,X,X,X
ILZJOTS,O,O,X,X,X,X,X
ILZJOST,O,O,O,X,X,X,X
ILZSTJO,O,O,O,X,X,X,O
ILZSTOJ,O,O,O,X,O,X,X
ILZSJTO,X,O,O,X,X,X,O
ILZSJOT,O,O,O,X,X,X,X
ILZSOTJ,O,O,O,X,O,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,O,O,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,X
ILZOJST,O,O,O,O,X,X,X
ILZOSTJ,O,X,O,X,X,X,X
ILZOSJT,O,O,O,O,X,X,X
ILOTJSZ,O,O,O,X,X,X,X
ILOTJZS,O,O,X,X,X,X,X
ILOTSJZ,O,X,O,X,X,X,X
ILOTSZJ,O,X,O,X,O,X,X
ILOTZJS,O,O,X,X,X,X,X
ILOTZSJ,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X
ILOJSZT,O,X,O,O,X,X,X
ILOJZTS,O,O,X,X,X,X,X
ILOJZST,O,O,O,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,O,X,X
ILOSJTZ,X,X,X,O,X,X,X
ILOSJZT,O,X,O,O,X,X,X
ILOSZTJ,O,X,O,X,O,X,X
ILOSZJT,O,X,O,O,X,X,X
ILOZTJS,O,O,X,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,X
ILOZJST,O,O,O,O,X,X,X
ILOZSTJ,O,X,O,X,X,X,X
ILOZSJT,O,X,O,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X
IJTLSOZ,O,O,O,X,X,X,X
IJTLZSO,O,O,O,X,X,X,X
IJTLZOS,O,O,X,X,X,X,X
IJTLOSZ,O,O,O,X,X,X,X
IJTLOZS,O,O,X,X,X,X,X
IJTSLZO,X,O,O,X,X,O,X
IJTSLOZ,X,O,O,X,X,X,X
IJTSZLO,X,O,X,X,X,O,O
IJTSZOL,X,O,X,X,X,X,O
IJTSOLZ,X,O,X,O,X,X,X
IJTSOZL,X,O,X,O,O,X,X
IJTZLSO,X,O,O,X,X,X,O
IJTZLOS,X,O,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X,O
IJTZSOL,X,O,X,X,O,X,O
IJTZOLS,X,O,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X,O
IJTOLSZ,O,O,O,X,X,X,X
IJTOLZS,O,O,X,X,X,X,X
IJTOSLZ,X,O,X,O,X,X,X
IJTOSZL,X,X,X,O,O,X,X
IJTOZLS,X,O,X,X,X,X,X
IJTOZSL,X,O,X,O,X,X,X
IJLTSZO,O,X,O,X,X,X,X
IJLTSOZ,O,O,O,X,X,X,X
IJLTZSO,O,X,O,X,X,X,X
IJLTZOS,O,O,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,X,X
IJLTOZS,O,O,X,X,X,X,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X
IJLSZTO,X,X,O,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X
IJLSOTZ,X,X,X,O,X,X,X
IJLSOZT,O,X,O,O,X,X,X
IJLZTSO,O,O,O,X,X,X,X
IJLZTOS,O,O,X,X,X,X,X
IJLZSTO,X,X,O,X,X,X,X
IJLZSOT,O,O,O,X,X,X,X
IJLZOTS,O,O,X,X,X,X,X
IJLZOST,O,O,O,X,X,X,X
IJLOTSZ,O,O,X,X,X,X,X
IJLOTZS,O,O,X,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X
IJLOSZT,O,X,O,O,X,X,X
IJLOZTS,O,O,X,X,X,X,X
IJLOZST,O,O,O,O,X,X,X
IJSTLZO,X,O,O,X,X,O,X
IJSTLOZ,X,O,O,X,X,X,X
IJSTZLO,X,O,X,X,X,O,O
IJSTZOL,X,O,X,X,X,X,O
IJSTOLZ,X,O,X,O,X,X,X
IJSTOZL,X,O,X,O,O,X,X
IJSLTZO,X,O,O,X,X,O,X
IJSLTOZ,X,O,X,X,X,X,X
IJSLZTO,X,O,O,X,X,O,X
IJSLZOT,X,O,O,X,X,O,X
IJSLOTZ,X,O,X,O,X,X,X
IJSLOZT,X,O,O,O,X,X,X
IJSZTLO,X,O,X,X,X,O,O
IJSZTOL,X,O,X,X,O,X,O
IJSZLTO,X,O,O,X,X,O,O
IJSZLOT,X,O,O,X,X,O,X
IJSZOTL,X,O,X,O,O,X,O
IJSZOLT,X,O,X,O,X,O,X
IJSOTLZ,X,O,X,O,X,X,X
IJSOTZL,X,O,X,O,O,X,X
IJSOLTZ,X,O,X,O,X,X,X
IJSOLZT,X,O,X,O,X,X,X
IJSOZTL,X,O,X,O,O,X,X
IJSOZLT,X,O,X,O,X,X,X
IJZTLSO,X,O,O,X,X,X,O
IJZTLOS,X,O,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,O
IJZTSOL,X,O,X,X,O,X,O
IJZTOLS,X,O,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,O
IJZLTSO,O,O,O,X,X,X,O
IJZLTOS,O,O,X,X,X,X,X
IJZLSTO,X,O,O,X,X,X,O
IJZLSOT,O,O,O,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,X
IJZSTLO,X,O,X,X,X,X,O
IJZSTOL,X,O,X,X,O,X,O
IJZSLTO,X,O,O,X,X,X,O
IJZSLOT,X,O,O,X,X,X,X
IJZSOTL,X,O,X,O,O,X,O
IJZSOLT,X,O,X,O,X,X,X
IJZOTLS,X,O,X,X,X,X,X
IJZOTSL,X,O,X,O,X,X,O
IJZOLTS,O,O,X,X,X,X,X
IJZOLST,O,O,O,O,X,X,X
IJZOSTL,X,O,X,O,X,X,O
IJZOSLT,X,O,X,O,X,X,X
IJOTLSZ,O,O,O,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X
IJOTSLZ,X,O,X,O,X,X,X
IJOTSZL,X,X,X,O,O,X,X
IJOTZLS,X,O,X,X,X,X,X
IJOTZSL,X,O,X,O,X,X,X
IJOLTSZ,O,O,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X
IJOLSZT,O,X,O,O,X,X,X
IJOLZTS,O,O,X,X,X,X,X
IJOLZST,O,O,O,O,X,X,X
IJOSTLZ,X,O,X,O,X,X,X
IJOSTZL,X,X,X,O,O,X,X
IJOSLTZ,X,X,X,O,X,X,X
IJOSLZT,X,X,X,O,X,X,X
IJOSZTL,X,O,X,O,O,X,X
IJOSZLT,X,O,X,O,X,X,X
IJOZTLS,X,O,X,X,X,X,X
IJOZTSL,X,O,X,O,X,X,X
IJOZLTS,O,O,X,X,X,X,X
IJOZLST,O,O,O,O,X,X,X
IJOZSTL,X,O,X,O,X,X,X
IJOZSLT,X,O,X,O,X,X,X
ISTLJZO,O,O,O,X,X,O,X
ISTLJOZ,O,O,O,X,X,X,X
ISTLZJO,O,O,O,X,X,O,O
ISTLZOJ,O,O,O,X,X,O,X
ISTLOJZ,O,O,O,X,X,X,X
ISTLOZJ,O,X,O,X,O,O,X
ISTJLZO,X,O,O,X,X,O,X
ISTJLOZ,X,O,O,X,X,X,X
ISTJZLO,X,O,X,X,X,O,O
ISTJZOL,X,O,X,X,X,X,O
ISTJOLZ,X,O,X,O,X,X,X
ISTJOZL,X,O,X,O,O,X,X
ISTZLJO,X,O,X,X,X,O,O
ISTZLOJ,X,O,X,X,O,O,X
ISTZJLO,X,O,X,X,X,O,O
ISTZJOL,X,O,X,X,O,X,O
ISTZOLJ,X,O,X,X,O,O,X
ISTZOJL,X,O,X,O,O,X,O
ISTOLJZ,O,O,X,X,X,X,X
ISTOLZJ,O,X,X,X,O,O,X
ISTOJLZ,X,O,X,O,X,X,X
ISTOJZL,X,O,X,O,O,X,X
ISTOZLJ,X,O,X,X,O,O,X
ISTOZJL,X,O,X,O,O,X,O
ISLTJZO,O,O,O,X,X,O,X
ISLTJOZ,O,O,O,X,X,X,X
ISLTZJO,O,O,O,X,X,O,O
ISLTZOJ,O,X,O,X,X,O,X
ISLTOJZ,O,O,O,X,X,X,X
ISLTOZJ,O,X,O,X,O,O,X
ISLJTZO,X,O,O,X,X,O,X
ISLJTOZ,X,O,O,X,X,X,X
ISLJZTO,X,O,O,X,X,O,X
ISLJZOT,O,O,O,X,X,O,X
ISLJOTZ,X,O,X,O,X,X,X
ISLJOZT,O,O,O,O,X,X,X
ISLZTJO,O,O,O,X,X,O,O
ISLZTOJ,O,O,O,X,O,O,X
ISLZJTO,X,O,O,X,X,O,O
ISLZJOT,O,O,O,X,X,O,X
ISLZOTJ,O,O,O,X,O,O,X
ISLZOJT,O,O,O,O,X,O,X
ISLOTJZ,O,O,O,X,X,X,X
ISLOTZJ,O,X,O,X,O,O,X
ISLOJTZ,X,O,X,O,X,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,O,O,O,X,O,O,X
ISLOZJT,O,O,O,O,X,O,X
ISJTLZO,X,O,O,X,X,O,X
ISJTLOZ,X,O,O,X,X,X,X
ISJTZLO,X,O,X,X,X,O,O
ISJTZOL,X,O,X,X,X,X,O
ISJTOLZ,X,O,X,O,X,X,X
ISJTOZL,X,O,X,O,O,X,X
ISJLTZO,X,O,O,X,X,O,X
ISJLTOZ,X,O,X,X,X,X,X
ISJLZTO,X,O,O,X,X,O,X
ISJLZOT,X,O,O,X,X,O,X
ISJLOTZ,X,O,X,O,X,X,X
ISJLOZT,X,O,O,O,X,X,X
ISJZTLO,X,O,X,X,X,O,O
ISJZTOL,X,O,X,X,O,X,O
ISJZLTO,X,O,O,X,X,O,O
ISJZLOT,X,O,O,X,X,O,X
ISJZOTL,X,O,X,O,O,X,O
ISJZOLT,X,O,X,O,X,O,X
ISJOTLZ,X,O,X,O,X,X,X
ISJOTZL,X,O,X,O,O,X,X
ISJOLTZ,X,O,X,O,X,X,X
ISJOLZT,X,O,X,O,X,X,X
ISJOZTL,X,O,X,O,O,X,X
ISJOZLT,X,O,X,O,X,X,X
ISZTLJO,X,O,X,X,X,O,O
ISZTLOJ,X,O,X,X,O,O,X
ISZTJLO,X,O,X,X,X,O,O
ISZTJOL,X,O,X,X,O,X,O
ISZTOLJ,X,O,X,X,O,O,X
ISZTOJL,X,O,X,O,O,X,O
ISZLTJO,O,O,O,X,X,O,O
ISZLTOJ,O,O,O,X,O,O,X
ISZLJTO,X,O,O,X,X,O,O
ISZLJOT,O,O,O,X,X,O,X
ISZLOTJ,O,O,O,X,O,O,X
ISZLOJT,O,O,O,O,X,O,X
ISZJTLO,X,O,X,X,X,O,O
ISZJTOL,X,O,X,X,O,X,O
ISZJLTO,X,O,O,X,X,O,O
ISZJLOT,X,O,O,X,X,O,X
ISZJOTL,X,O,X,O,O,X,O
ISZJOLT,X,O,X,O,X,O,X
ISZOTLJ,X,O,X,X,O,O,X
ISZOTJL,X,O,X,O,O,X,O
ISZOLTJ,O,O,X,X,O,O,X
ISZOLJT,O,O,X,O,X,O,X
ISZOJTL,X,O,X,O,O,X,O
ISZOJLT,X,O,X,O,X,O,X
ISOTLJZ,O,O,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,O,X
ISOTJLZ,X,O,X,O,X,X,X
ISOTJZL,X,O,X,O,O,X,X
ISOTZLJ,X,O,X,X,O,O,X
ISOTZJL,X,O,X,O,O,X,O
ISOLTJZ,O,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,O,O,X
ISOLJTZ,X,O,X,O,X,X,X
ISOLJZT,O,O,X,O,X,X,X
ISOLZTJ,O,O,X,X,O,O,X
ISOLZJT,O,O,X,O,X,O,X
ISOJTLZ,X,O,X,O,X,X,X
ISOJTZL,X,O,X,O,O,X,X
ISOJLTZ,X,O,X,O,X,X,X
ISOJLZT,X,O,X,O,X,X,X
ISOJZTL,X,O,X,O,O,X,X
ISOJZLT,X,O,X,O,X,X,X
ISOZTLJ,X,O,X,X,O,O,X
ISOZTJL,X,O,X,O,O,X,O
ISOZLTJ,O,O,X,X,O,O,X
ISOZLJT,O,O,X,O,X,O,X
ISOZJTL,X,O,X,O,O,X,O
ISOZJLT,X,O,X,O,X,O,X
IZTLJSO,O,O,O,X,X,X,O
IZTLJOS,O,O,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,O
IZTLSOJ,O,O,O,X,O,X,X
IZTLOJS,O,O,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X
IZTJLSO,X,O,O,X,X,X,O
IZTJLOS,X,O,X,X,X,X,X
IZTJSLO,X,O,X,X,X,X,O
IZTJSOL,X,O,X,X,O,X,O
IZTJOLS,X,O,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,O
IZTSLJO,X,O,X,X,X,O,O
IZTSLOJ,X,O,X,X,O,O,X
IZTSJLO,X,O,X,X,X,O,O
IZTSJOL,X,O,X,X,O,X,O
IZTSOLJ,X,O,X,X,O,O,X
IZTSOJL,X,O,X,O,O,X,O
