sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
TLJOIZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJOSIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLJOSZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJOZIS,X,O,O,O,O,X,X,O,O,X,X,X,O,X
TLJOZSI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
TLSIJZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSIZJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TLSIOJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSIOZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TLSJIZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSJIOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSJZIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSJOIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSJOZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSZIJO,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TLSZIOJ,O,O,X,O,O,X,X,X,O,X,X,O,O,X
TLSZJIO,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TLSZJOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLSZOIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLSZOJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLSOIJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSOIZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TLSOJIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSOJZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSOZIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLSOZJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLZIJSO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
TLZIJOS,O,O,X,O,O,X,X,O,O,X,O,X,O,X
TLZISJO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
TLZISOJ,O,O,X,O,O,X,X,X,O,X,O,O,O,O
TLZIOJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TLZIOSJ,O,O,X,O,O,X,X,X,O,X,O,O,O,X
TLZJISO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TLZJIOS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TLZJSIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TLZJSOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZJOIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TLZJOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZSIJO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
TLZSIOJ,O,O,O,O,O,X,X,X,O,X,O,O,O,O
TLZSJIO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
TLZSJOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZSOIJ,O,O,O,O,O,X,X,X,O,X,O,O,O,O
TLZSOJI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZOIJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TLZOISJ,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZOJIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TLZOJSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZOSIJ,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLZOSJI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLOIJSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
