sequence,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BOiB8iB5jBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhFlc?BzdB5jB/nBCmBmrB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhF6h?B2iB5jB3iBzlBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BmdB5jBXiBVrBcsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFOi?B8iB5jBThBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8JeX8IvhFmd?B5jBcmBTiB6lBFsB
TOJLZSI,X,X,O,O,O,O
TOJSILZ,X,X,O,O,X,X
TOJSIZL,X,X,O,X,X,O
TOJSLIZ,X,X,O,O,X,X
TOJSLZI,X,X,O,X,X,X
TOJSZIL,X,X,O,X,X,O
TOJSZLI,X,X,O,X,X,O
TOJZILS,X,X,O,O,O,O
TOJZISL,X,X,O,O,O,O
TOJZLIS,X,X,O,O,O,O
TOJZLSI,X,X,O,O,O,O
TOJZSIL,X,X,O,O,O,O
TOJZSLI,X,X,O,O,O,O
TOSILJZ,O,O,O,O,X,X
TOSILZJ,O,O,O,O,O,X
TOSIJLZ,O,O,O,O,X,X
TOSIJZL,O,O,O,X,X,O
TOSIZLJ,O,O,O,O,O,O
TOSIZJL,O,O,O,O,O,O
TOSLIJZ,O,O,O,O,X,X
TOSLIZJ,O,O,O,O,O,X
TOSLJIZ,O,O,O,O,X,X
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,X
TOSLZJI,O,O,O,O,O,X
TOSJILZ,O,O,O,O,X,X
TOSJIZL,O,O,O,X,X,O
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,O,O,X,X,O
TOSJZLI,O,O,O,X,X,O
TOSZILJ,O,O,O,O,O,O
TOSZIJL,O,O,O,O,O,O
TOSZLIJ,O,O,O,O,O,O
TOSZLJI,O,O,O,O,O,O
TOSZJIL,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,O
TOZILJS,O,X,O,O,O,O
TOZILSJ,X,O,O,O,O,O
TOZIJLS,O,X,O,O,O,O
TOZIJSL,O,X,O,O,O,O
TOZISLJ,O,O,O,O,O,O
TOZISJL,O,O,O,O,O,O
TOZLIJS,O,X,O,O,O,O
TOZLISJ,X,O,O,O,O,O
TOZLJIS,O,X,O,O,O,O
TOZLJSI,O,X,O,O,O,O
TOZLSIJ,X,O,O,O,O,O
TOZLSJI,X,O,O,O,O,O
TOZJILS,O,X,O,O,O,O
TOZJISL,O,X,O,O,O,O
TOZJLIS,O,X,O,O,O,O
TOZJLSI,O,X,O,O,O,O
TOZJSIL,O,X,O,O,O,O
TOZJSLI,O,X,O,O,O,O
TOZSILJ,O,O,O,O,O,O
TOZSIJL,O,O,O,O,O,O
TOZSLIJ,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,O
TOZSJIL,O,O,O,O,O,O
TOZSJLI,O,O,O,O,O,O
ITLJSZO,X,O,O,O,X,X
ITLJSOZ,X,O,X,O,X,X
ITLJZSO,O,O,O,O,O,X
ITLJZOS,O,O,O,O,O,X
ITLJOSZ,X,O,O,O,X,X
ITLJOZS,X,O,O,O,O,O
ITLSJZO,O,O,O,O,X,X
ITLSJOZ,O,O,X,O,X,X
ITLSZJO,O,O,O,O,O,X
ITLSZOJ,O,O,X,O,O,X
ITLSOJZ,O,O,X,O,X,X
ITLSOZJ,O,O,X,O,O,X
ITLZJSO,O,O,O,O,O,X
ITLZJOS,O,O,O,O,O,X
ITLZSJO,O,O,O,O,O,X
ITLZSOJ,O,O,X,O,O,O
ITLZOJS,O,O,O,O,O,O
ITLZOSJ,X,O,X,O,O,O
ITLOJSZ,X,O,O,O,X,X
ITLOJZS,X,O,O,O,O,O
ITLOSJZ,X,O,O,O,X,X
ITLOSZJ,X,O,O,O,O,X
ITLOZJS,O,O,O,O,O,O
ITLOZSJ,X,O,O,O,O,O
ITJLSZO,X,O,O,O,X,X
ITJLSOZ,X,O,X,O,X,X
ITJLZSO,O,O,O,O,O,X
ITJLZOS,O,O,O,O,O,X
ITJLOSZ,X,O,O,O,X,X
ITJLOZS,X,O,O,O,O,O
ITJSLZO,O,O,O,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,O,O,O,O,X,X
ITJSZOL,O,O,X,O,X,X
ITJSOLZ,O,O,O,O,X,X
ITJSOZL,O,O,O,X,X,O
ITJZLSO,O,O,O,O,O,X
ITJZLOS,O,O,O,O,O,X
ITJZSLO,O,O,O,O,O,X
ITJZSOL,O,O,X,O,O,O
ITJZOLS,O,X,O,O,O,O
ITJZOSL,O,O,O,O,O,O
ITJOLSZ,X,X,O,O,X,X
ITJOLZS,X,X,O,O,O,O
ITJOSLZ,X,X,O,O,X,X
ITJOSZL,X,X,O,X,X,O
ITJOZLS,X,X,O,O,O,O
ITJOZSL,X,X,O,O,O,O
ITSLJZO,O,O,O,O,X,X
ITSLJOZ,O,O,X,O,X,X
ITSLZJO,O,O,O,O,O,X
ITSLZOJ,O,O,X,O,O,X
ITSLOJZ,O,O,X,O,X,X
ITSLOZJ,O,O,X,O,O,X
ITSJLZO,O,O,O,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,O,O,O,O,X,X
ITSJZOL,O,O,X,O,X,X
ITSJOLZ,O,O,O,O,X,X
ITSJOZL,O,O,O,X,X,O
ITSZLJO,O,O,O,O,O,X
ITSZLOJ,O,O,X,O,O,O
ITSZJLO,O,O,O,O,O,X
ITSZJOL,O,O,X,O,O,O
ITSZOLJ,O,O,X,O,O,O
ITSZOJL,O,O,X,O,O,O
ITSOLJZ,O,O,O,O,X,X
ITSOLZJ,O,O,O,O,O,X
ITSOJLZ,O,O,O,O,X,X
ITSOJZL,O,O,O,X,X,O
ITSOZLJ,O,O,O,O,O,O
ITSOZJL,O,O,O,O,O,O
ITZLJSO,O,O,O,O,O,X
ITZLJOS,O,O,O,O,O,X
ITZLSJO,O,O,O,O,O,X
ITZLSOJ,O,O,X,O,O,O
ITZLOJS,O,O,O,O,O,O
ITZLOSJ,X,O,X,O,O,O
ITZJLSO,O,O,O,O,O,X
ITZJLOS,O,O,O,O,O,X
ITZJSLO,O,O,O,O,O,X
ITZJSOL,O,O,X,O,O,O
ITZJOLS,O,X,O,O,O,O
ITZJOSL,O,O,O,O,O,O
ITZSLJO,O,O,O,O,O,X
ITZSLOJ,O,O,X,O,O,O
ITZSJLO,O,O,O,O,O,X
ITZSJOL,O,O,X,O,O,O
ITZSOLJ,O,O,X,O,O,O
ITZSOJL,O,O,X,O,O,O
ITZOLJS,O,X,O,O,O,O
ITZOLSJ,X,O,O,O,O,O
ITZOJLS,O,X,O,O,O,O
ITZOJSL,O,O,O,O,O,O
ITZOSLJ,O,O,O,O,O,O
ITZOSJL,O,O,O,O,O,O
ITOLJSZ,X,X,O,O,X,X
ITOLJZS,X,X,O,O,O,O
ITOLSJZ,X,O,O,O,X,X
ITOLSZJ,X,O,O,O,O,X
ITOLZJS,O,X,O,O,O,O
ITOLZSJ,X,O,O,O,O,O
ITOJLSZ,X,X,O,O,X,X
ITOJLZS,X,X,O,O,O,O
ITOJSLZ,X,X,O,O,X,X
ITOJSZL,X,X,O,X,X,O
ITOJZLS,X,X,O,O,O,O
ITOJZSL,X,X,O,O,O,O
ITOSLJZ,O,O,O,O,X,X
ITOSLZJ,O,O,O,O,O,X
ITOSJLZ,O,O,O,O,X,X
ITOSJZL,O,O,O,X,X,O
ITOSZLJ,O,O,O,O,O,O
ITOSZJL,O,O,O,O,O,O
ITOZLJS,O,X,O,O,O,O
ITOZLSJ,X,O,O,O,O,O
ITOZJLS,O,X,O,O,O,O
ITOZJSL,O,X,O,O,O,O
ITOZSLJ,O,O,O,O,O,O
ITOZSJL,O,O,O,O,O,O
ILTJSZO,X,O,O,O,X,X
ILTJSOZ,X,O,X,O,X,X
ILTJZSO,O,O,O,O,O,X
ILTJZOS,O,O,O,O,O,X
ILTJOSZ,X,O,O,O,X,X
ILTJOZS,X,O,O,O,O,O
ILTSJZO,O,O,O,O,X,X
ILTSJOZ,O,O,X,O,X,X
ILTSZJO,O,O,O,O,O,X
ILTSZOJ,O,O,X,O,O,X
ILTSOJZ,O,O,X,O,X,X
ILTSOZJ,O,O,X,O,O,X
ILTZJSO,O,O,O,O,O,X
ILTZJOS,O,O,O,O,O,X
ILTZSJO,O,O,O,O,O,X
ILTZSOJ,O,O,X,O,O,O
ILTZOJS,O,O,O,O,O,O
ILTZOSJ,X,O,X,O,O,O
ILTOJSZ,X,O,O,O,X,X
ILTOJZS,X,O,O,O,O,O
ILTOSJZ,X,O,O,O,X,X
ILTOSZJ,X,O,O,O,O,X
ILTOZJS,O,O,O,O,O,O
ILTOZSJ,X,O,O,O,O,O
ILJTSZO,X,O,O,O,X,X
ILJTSOZ,X,O,X,O,X,X
ILJTZSO,O,O,O,O,O,X
ILJTZOS,O,O,O,O,O,X
ILJTOSZ,X,O,O,O,X,X
ILJTOZS,X,O,O,O,O,O
ILJSTZO,O,O,X,O,X,X
ILJSTOZ,O,O,X,O,X,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,O,O,X,X,X,X
ILJSOTZ,O,O,X,X,X,X
ILJSOZT,O,O,X,X,X,X
ILJZTSO,O,O,O,O,O,X
ILJZTOS,O,O,X,O,O,X
ILJZSTO,O,O,O,O,O,X
ILJZSOT,O,O,O,X,X,X
ILJZOTS,O,O,X,X,O,X
ILJZOST,O,O,O,X,X,X
ILJOTSZ,X,O,X,O,X,X
ILJOTZS,X,O,X,O,X,X
ILJOSTZ,X,O,X,X,X,X
ILJOSZT,X,O,X,X,X,X
ILJOZTS,X,O,O,X,X,X
ILJOZST,X,O,O,X,X,X
ILSTJZO,O,O,X,O,X,X
ILSTJOZ,O,O,X,O,X,X
ILSTZJO,O,O,X,O,O,X
ILSTZOJ,O,O,X,O,O,X
ILSTOJZ,O,O,X,O,X,X
ILSTOZJ,O,O,X,O,O,X
ILSJTZO,O,O,X,O,X,X
ILSJTOZ,O,O,X,O,X,X
ILSJZTO,O,O,X,X,X,X
ILSJZOT,O,O,X,X,X,X
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,O,X,X,X,X
ILSZTJO,O,O,X,X,O,X
ILSZTOJ,O,O,X,X,O,X
ILSZJTO,O,O,X,X,O,X
ILSZJOT,O,O,X,X,X,X
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,X,X,X,X
ILSOTJZ,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X
ILSOJTZ,O,O,X,X,X,X
ILSOJZT,O,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X
ILZTJSO,O,O,O,O,O,X
ILZTJOS,O,O,O,O,O,X
ILZTSJO,O,O,O,O,O,X
ILZTSOJ,O,O,X,O,O,O
ILZTOJS,O,O,O,O,O,O
ILZTOSJ,X,O,X,O,O,O
ILZJTSO,O,O,O,O,O,X
ILZJTOS,O,O,O,O,O,X
ILZJSTO,O,O,O,O,O,X
ILZJSOT,O,O,O,X,X,X
ILZJOTS,O,O,X,X,O,X
ILZJOST,O,O,O,X,X,X
ILZSTJO,O,O,O,O,O,X
ILZSTOJ,O,O,X,O,O,O
ILZSJTO,O,O,O,O,O,X
ILZSJOT,O,O,O,X,X,X
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,O,X,X,X,X
ILZOTJS,O,O,O,X,O,X
ILZOTSJ,X,O,O,X,O,X
ILZOJTS,O,O,O,X,O,X
ILZOJST,O,O,O,X,X,X
ILZOSTJ,O,O,O,X,X,X
ILZOSJT,O,O,O,X,X,X
ILOTJSZ,X,O,O,O,X,X
ILOTJZS,X,O,O,O,O,X
ILOTSJZ,X,O,O,O,X,X
ILOTSZJ,X,O,O,O,O,X
ILOTZJS,O,O,O,O,O,X
ILOTZSJ,X,O,O,O,O,X
ILOJTSZ,X,O,X,O,X,X
ILOJTZS,X,O,X,O,X,X
ILOJSTZ,X,O,X,X,X,X
ILOJSZT,X,O,X,X,X,X
ILOJZTS,X,O,O,X,X,X
ILOJZST,X,O,O,X,X,X
ILOSTJZ,O,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X
ILOSJTZ,O,O,X,X,X,X
ILOSJZT,O,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X
ILOZTJS,O,O,O,X,O,X
ILOZTSJ,X,O,O,X,O,X
ILOZJTS,O,O,O,X,O,X
ILOZJST,O,O,O,X,X,X
ILOZSTJ,O,O,O,X,X,X
ILOZSJT,O,O,O,X,X,X
IJTLSZO,X,O,O,O,X,X
IJTLSOZ,X,O,X,O,X,X
IJTLZSO,O,O,O,O,O,X
IJTLZOS,O,O,O,O,O,X
IJTLOSZ,X,O,O,O,X,X
IJTLOZS,X,O,O,O,O,O
IJTSLZO,O,O,O,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,O,O,O,O,X,X
IJTSZOL,O,O,X,O,X,X
IJTSOLZ,O,O,O,O,X,X
IJTSOZL,O,O,O,X,X,O
IJTZLSO,O,O,O,O,O,X
IJTZLOS,O,O,O,O,O,X
IJTZSLO,O,O,O,O,O,X
IJTZSOL,O,O,X,O,O,O
IJTZOLS,O,X,O,O,O,O
IJTZOSL,O,O,O,O,O,O
IJTOLSZ,X,X,O,O,X,X
IJTOLZS,X,X,O,O,O,O
IJTOSLZ,X,X,O,O,X,X
IJTOSZL,X,X,O,X,X,O
IJTOZLS,X,X,O,O,O,O
IJTOZSL,X,X,O,O,O,O
IJLTSZO,X,O,O,O,X,X
IJLTSOZ,X,O,X,O,X,X
IJLTZSO,O,O,O,O,O,X
IJLTZOS,O,O,O,O,O,X
IJLTOSZ,X,O,O,O,X,X
IJLTOZS,X,O,O,O,O,O
IJLSTZO,O,O,X,O,X,X
IJLSTOZ,O,O,X,O,X,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,O,O,X,X,X,X
IJLSOTZ,O,O,X,X,X,X
IJLSOZT,O,O,X,X,X,X
IJLZTSO,O,O,O,O,O,X
IJLZTOS,O,O,X,O,O,X
IJLZSTO,O,O,O,O,O,X
IJLZSOT,O,O,O,X,X,X
IJLZOTS,O,O,X,X,O,X
IJLZOST,O,O,O,X,X,X
IJLOTSZ,X,O,X,O,X,X
IJLOTZS,X,O,X,O,X,X
IJLOSTZ,X,O,X,X,X,X
IJLOSZT,X,O,X,X,X,X
IJLOZTS,X,O,O,X,X,X
IJLOZST,X,O,O,X,X,X
IJSTLZO,O,O,O,O,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,O,O,O,O,X,X
IJSTZOL,O,O,X,O,X,X
IJSTOLZ,O,O,O,O,X,X
IJSTOZL,O,O,O,X,X,O
IJSLTZO,O,O,X,O,X,X
IJSLTOZ,O,O,X,O,X,X
IJSLZTO,O,O,X,X,X,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,O,O,X,X,X,X
IJSLOZT,O,O,X,X,X,X
IJSZTLO,O,O,X,O,X,X
IJSZTOL,O,O,X,O,X,X
IJSZLTO,O,O,O,O,X,X
IJSZLOT,O,O,O,X,X,X
IJSZOTL,O,O,X,O,X,X
IJSZOLT,O,O,X,X,X,X
IJSOTLZ,O,O,X,X,X,X
IJSOTZL,O,O,X,X,X,X
IJSOLTZ,O,O,X,X,X,X
IJSOLZT,O,O,X,X,X,X
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,O,O,X,X,X
IJZTLSO,O,O,O,O,O,X
IJZTLOS,O,O,O,O,O,X
IJZTSLO,O,O,O,O,O,X
IJZTSOL,O,O,X,O,O,O
IJZTOLS,O,X,O,O,O,O
IJZTOSL,O,O,O,O,O,O
IJZLTSO,O,O,O,O,O,X
IJZLTOS,O,O,O,O,O,X
IJZLSTO,O,O,O,O,O,X
IJZLSOT,O,O,O,X,X,X
IJZLOTS,O,O,X,X,O,X
IJZLOST,O,O,O,X,X,X
IJZSTLO,O,O,X,O,X,X
IJZSTOL,O,O,X,O,X,O
IJZSLTO,O,O,O,O,O,X
IJZSLOT,O,O,O,X,X,X
IJZSOTL,O,O,X,O,X,X
IJZSOLT,O,O,X,X,X,X
IJZOTLS,X,X,O,O,X,X
IJZOTSL,X,O,O,O,X,X
IJZOLTS,O,O,O,X,O,X
IJZOLST,O,O,O,X,X,X
IJZOSTL,O,O,X,O,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,X,X,O,O,X,X
IJOTLZS,X,X,O,O,X,O
IJOTSLZ,X,X,O,O,X,X
IJOTSZL,X,X,O,X,X,O
IJOTZLS,X,X,O,O,X,O
IJOTZSL,X,X,O,O,X,O
IJOLTSZ,X,O,X,O,X,X
IJOLTZS,X,O,X,O,X,X
IJOLSTZ,X,O,X,X,X,X
IJOLSZT,X,O,X,X,X,X
IJOLZTS,X,O,O,X,X,X
IJOLZST,X,O,O,X,X,X
IJOSTLZ,X,O,X,X,X,X
IJOSTZL,X,O,X,X,X,X
IJOSLTZ,X,O,X,X,X,X
IJOSLZT,X,O,X,X,X,X
IJOSZTL,X,O,X,X,X,X
IJOSZLT,X,O,O,X,X,X
IJOZTLS,X,X,O,O,X,X
IJOZTSL,X,O,O,O,X,X
IJOZLTS,X,O,O,X,X,X
IJOZLST,X,O,O,X,X,X
IJOZSTL,X,O,X,O,X,X
IJOZSLT,X,O,O,X,X,X
ISTLJZO,O,O,O,O,X,X
ISTLJOZ,O,O,X,O,X,X
ISTLZJO,O,O,O,O,O,X
ISTLZOJ,O,O,X,O,O,X
ISTLOJZ,O,O,X,O,X,X
ISTLOZJ,O,O,X,O,O,X
ISTJLZO,O,O,O,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,O,O,O,O,X,X
ISTJZOL,O,O,X,O,X,X
ISTJOLZ,O,O,O,O,X,X
ISTJOZL,O,O,O,X,X,O
ISTZLJO,O,O,O,O,O,X
ISTZLOJ,O,O,X,O,O,O
ISTZJLO,O,O,O,O,O,X
ISTZJOL,O,O,X,O,O,O
ISTZOLJ,O,O,X,O,O,O
ISTZOJL,O,O,X,O,O,O
ISTOLJZ,O,O,O,O,X,X
ISTOLZJ,O,O,O,O,O,X
ISTOJLZ,O,O,O,O,X,X
ISTOJZL,O,O,O,X,X,O
ISTOZLJ,O,O,O,O,O,O
ISTOZJL,O,O,O,O,O,O
ISLTJZO,O,O,X,O,X,X
ISLTJOZ,O,O,X,O,X,X
ISLTZJO,O,O,X,O,O,X
ISLTZOJ,O,O,X,O,O,X
ISLTOJZ,O,O,X,O,X,X
ISLTOZJ,O,O,X,O,O,X
ISLJTZO,O,O,X,O,X,X
ISLJTOZ,O,O,X,O,X,X
ISLJZTO,O,O,X,X,X,X
ISLJZOT,O,O,X,X,X,X
ISLJOTZ,O,O,X,X,X,X
ISLJOZT,O,O,X,X,X,X
ISLZTJO,O,O,X,X,O,X
ISLZTOJ,O,O,X,X,O,X
ISLZJTO,O,O,X,X,O,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,X,X,X,X
ISLOTJZ,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X
ISLOJTZ,O,O,X,X,X,X
ISLOJZT,O,O,X,X,X,X
ISLOZTJ,O,O,X,X,X,X
ISLOZJT,O,O,X,X,X,X
ISJTLZO,O,O,O,O,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,O,O,O,O,X,X
ISJTZOL,O,O,X,O,X,X
ISJTOLZ,O,O,O,O,X,X
ISJTOZL,O,O,O,X,X,O
ISJLTZO,O,O,X,O,X,X
ISJLTOZ,O,O,X,O,X,X
ISJLZTO,O,O,X,X,X,X
ISJLZOT,O,O,X,X,X,X
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,O,O,X,X,X,X
ISJZTLO,O,O,X,O,X,X
ISJZTOL,O,O,X,O,X,X
ISJZLTO,O,O,O,O,X,X
ISJZLOT,O,O,O,X,X,X
ISJZOTL,O,O,X,O,X,X
ISJZOLT,O,O,X,X,X,X
ISJOTLZ,O,O,X,X,X,X
ISJOTZL,O,O,X,X,X,X
ISJOLTZ,O,O,X,X,X,X
ISJOLZT,O,O,X,X,X,X
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,O,O,X,X,X
ISZTLJO,O,O,O,O,O,X
ISZTLOJ,O,O,X,O,O,O
ISZTJLO,O,O,O,O,O,X
ISZTJOL,O,O,X,O,O,O
ISZTOLJ,O,O,X,O,O,O
ISZTOJL,O,O,X,O,O,O
ISZLTJO,O,O,O,O,O,X
ISZLTOJ,O,O,X,O,O,O
ISZLJTO,O,O,O,O,O,X
ISZLJOT,O,O,O,X,X,X
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,O,O,X,X,X,X
ISZJTLO,O,O,X,O,X,X
ISZJTOL,O,O,X,O,X,O
ISZJLTO,O,O,O,O,O,X
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,O,X,O,X,X
ISZJOLT,O,O,X,X,X,X
ISZOTLJ,O,O,O,O,X,O
ISZOTJL,O,O,O,O,X,O
ISZOLTJ,O,O,O,X,X,X
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,O,X,O,X,X
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,O,O,X,X,X
ISOTLZJ,O,O,O,X,X,X
ISOTJLZ,O,O,O,X,X,X
ISOTJZL,O,O,O,X,X,X
ISOTZLJ,O,O,O,X,X,X
ISOTZJL,O,O,O,X,X,X
ISOLTJZ,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X
ISOLJTZ,O,O,X,X,X,X
ISOLJZT,O,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X
ISOLZJT,O,O,X,X,X,X
ISOJTLZ,O,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X
ISOJLTZ,O,O,X,X,X,X
ISOJLZT,O,O,X,X,X,X
ISOJZTL,O,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X
ISOZTLJ,O,O,O,X,X,X
ISOZTJL,O,O,O,X,X,X
ISOZLTJ,O,O,O,X,X,X
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X
IZTLJSO,O,O,O,O,O,X
IZTLJOS,O,O,O,O,O,X
IZTLSJO,O,O,O,O,O,X
IZTLSOJ,O,O,X,O,O,O
IZTLOJS,O,O,O,O,O,O
IZTLOSJ,X,O,X,O,O,O
IZTJLSO,O,O,O,O,O,X
IZTJLOS,O,O,O,O,O,X
IZTJSLO,O,O,O,O,O,X
IZTJSOL,O,O,X,O,O,O
IZTJOLS,O,X,O,O,O,O
IZTJOSL,O,O,O,O,O,O
IZTSLJO,O,O,O,O,O,X
IZTSLOJ,O,O,X,O,O,O
IZTSJLO,O,O,O,O,O,X
IZTSJOL,O,O,X,O,O,O
IZTSOLJ,O,O,X,O,O,O
IZTSOJL,O,O,X,O,O,O
IZTOLJS,O,X,O,O,O,O
IZTOLSJ,X,O,O,O,O,O
IZTOJLS,O,X,O,O,O,O
IZTOJSL,O,O,O,O,O,O
IZTOSLJ,O,O,O,O,O,O
IZTOSJL,O,O,O,O,O,O
IZLTJSO,O,O,O,O,O,X
IZLTJOS,O,O,O,O,O,X
IZLTSJO,O,O,O,O,O,X
IZLTSOJ,O,O,X,O,O,O
IZLTOJS,O,O,O,O,O,O
IZLTOSJ,X,O,X,O,O,O
IZLJTSO,O,O,O,O,O,X
IZLJTOS,O,O,O,O,O,X
IZLJSTO,O,O,O,O,O,X
IZLJSOT,O,O,O,X,X,X
IZLJOTS,O,O,X,X,O,X
IZLJOST,O,O,O,X,X,X
IZLSTJO,O,O,O,O,O,X
IZLSTOJ,O,O,X,O,O,O
IZLSJTO,O,O,O,O,O,X
IZLSJOT,O,O,O,X,X,X
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,O,X,X,X,X
IZLOTJS,O,O,O,X,O,X
IZLOTSJ,X,O,O,X,O,X
IZLOJTS,O,O,O,X,O,X
IZLOJST,O,O,O,X,X,X
IZLOSTJ,O,O,O,X,X,X
IZLOSJT,O,O,O,X,X,X
IZJTLSO,O,O,O,O,O,X
IZJTLOS,O,O,O,O,O,X
IZJTSLO,O,O,O,O,O,X
IZJTSOL,O,O,X,O,O,O
IZJTOLS,O,X,O,O,O,O
IZJTOSL,O,O,O,O,O,O
IZJLTSO,O,O,O,O,O,X
IZJLTOS,O,O,O,O,O,X
IZJLSTO,O,O,O,O,O,X
IZJLSOT,O,O,O,X,X,X
IZJLOTS,O,O,X,X,O,X
IZJLOST,O,O,O,X,X,X
IZJSTLO,O,O,X,O,X,X
IZJSTOL,O,O,X,O,X,O
IZJSLTO,O,O,O,O,O,X
IZJSLOT,O,O,O,X,X,X
IZJSOTL,O,O,X,O,X,X
IZJSOLT,O,O,X,X,X,X
IZJOTLS,X,X,O,O,X,X
IZJOTSL,X,O,O,O,X,X
IZJOLTS,O,O,O,X,O,X
IZJOLST,O,O,O,X,X,X
IZJOSTL,O,O,X,O,X,X
IZJOSLT,O,O,O,X,X,X
IZSTLJO,O,O,O,O,O,X
IZSTLOJ,O,O,X,O,O,O
IZSTJLO,O,O,O,O,O,X
IZSTJOL,O,O,X,O,O,O
IZSTOLJ,O,O,X,O,O,O
IZSTOJL,O,O,X,O,O,O
IZSLTJO,O,O,O,O,O,X
IZSLTOJ,O,O,X,O,O,O
IZSLJTO,O,O,O,O,O,X
IZSLJOT,O,O,O,X,X,X
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,O,O,X,X,X,X
IZSJTLO,O,O,X,O,X,X
IZSJTOL,O,O,X,O,X,O
IZSJLTO,O,O,O,O,O,X
IZSJLOT,O,O,O,X,X,X
IZSJOTL,O,O,X,O,X,X
IZSJOLT,O,O,X,X,X,X
IZSOTLJ,O,O,O,O,X,O
IZSOTJL,O,O,O,O,X,O
IZSOLTJ,O,O,O,X,X,X
IZSOLJT,O,O,O,X,X,X
IZSOJTL,O,O,X,O,X,X
IZSOJLT,O,O,O,X,X,X
IZOTLJS,O,X,O,O,O,O
IZOTLSJ,X,O,O,O,O,O
IZOTJLS,O,X,O,O,O,O
IZOTJSL,O,O,O,O,O,O
IZOTSLJ,O,O,O,O,O,O
IZOTSJL,O,O,O,O,O,O
IZOLTJS,O,O,O,X,O,X
IZOLTSJ,X,O,O,X,O,X
IZOLJTS,O,O,O,X,O,X
IZOLJST,O,O,O,X,X,X
IZOLSTJ,O,O,O,X,X,X
IZOLSJT,O,O,O,X,X,X
IZOJTLS,X,X,O,O,X,X
IZOJTSL,X,O,O,O,X,X
IZOJLTS,O,O,O,X,O,X
IZOJLST,O,O,O,X,X,X
IZOJSTL,O,O,X,O,X,X
IZOJSLT,O,O,O,X,X,X
IZOSTLJ,O,O,O,O,X,O
IZOSTJL,O,O,O,O,X,O
IZOSLTJ,O,O,O,X,X,X
IZOSLJT,O,O,O,X,X,X
IZOSJTL,O,O,X,O,X,X
IZOSJLT,O,O,O,X,X,X
IOTLJSZ,X,X,O,O,X,X
IOTLJZS,X,X,O,O,O,O
IOTLSJZ,X,O,O,O,X,X
IOTLSZJ,X,O,O,O,O,X
IOTLZJS,O,X,O,O,O,O
IOTLZSJ,X,O,O,O,O,O
IOTJLSZ,X,X,O,O,X,X
IOTJLZS,X,X,O,O,O,O
IOTJSLZ,X,X,O,O,X,X
IOTJSZL,X,X,O,X,X,O
